shouter,n. 高呼者；喊叫者
explain away,"na. 巧辩过去
 把…解释过去；解释掉；辩解"
at the outset,"na. 在开头时
 在开始时；从一开始；开始的时候"
on the part of, 就…而言，在…一边，由…表现出来的，由…所经历的，由…所作出的
have it,"na. 有性感
 拥有它；有优势；我买了"
have it that,"vt.表明,主张"
capitalize on,"v. 利用
 投机倒把；从中利用；获利"
in possession of,"prep. 占有
 拥有；拥有某物；占有某物"
stir up,"v. 转播；重播；搅拌；煽动
 激起；挑起；引起"
catch on,"na. 流行；受欢迎；理解；懂得
 明白；流行起来；变得流行"
greenhouse,"n. 温室
造成温室效应的"
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
methodically,adv. 有方法地；有系统地
methodical,adj. 有系统的；有方法的
distressed,"v. 使痛苦；使紧张；使困苦（distress的过去分词）
adj. 痛苦的；忧虑的；贫困的；受损的"
mistaken,"adj. 错误的；弄错的；被误解的
v. 弄错（mistake的过去分词）"
misunderstanding,n. 误解；误会；不和
fertilizer,n.  肥料；受精媒介物；促进发展者
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
salvation,n. 拯救；救助
cling,vi. 坚持，墨守；紧贴；附着
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
