affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
rewarding,adj. 有益的，值得的；有报酬的，报答的
replete,"n.  贮蜜蚁
adj. 充满的；装满的"
veteran,"n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
transition,n. 过渡；转变； 转换；变调
turnover,"n. 翻覆； 营业额；流通量；半圆卷饼；失误
adj. 翻过来的；可翻转的"
yearn,vi. 渴望，向往；思念，想念；怀念；同情，怜悯
aspiration,n. 渴望；抱负；送气；吸气；吸引术
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
continuation,n. 继续；续集；延长；附加部分；扩建物
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
distortion,n. 变形； 失真；扭曲；曲解
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
interference,n. 干扰，冲突；干涉
inspiration,n. 灵感；鼓舞；吸气；妙计
investment,n. 投资；投入；封锁
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
monotonous,adj. 单调的，无抑扬顿挫的；无变化的
painting,"n. 绘画；油画；着色
v. 绘画（paint的ing形式）；涂色于"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
priority,n. 优先；优先权； 优先次序；优先考虑的事
restriction,n. 限制；约束；束缚
subsidy,n. 补贴；津贴；补助金
sustain,vt. 维持；支撑，承担；忍受；供养；证实
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
undermine,vt. 破坏，渐渐破坏；挖掘地基
vitality,n. 活力，生气；生命力，生动性
worthwhile,adj. 值得做的，值得花时间的
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
accessible,adj. 易接近的；可进入的；可理解的
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
availability,n. 可用性；有效性；实用性
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
guidance,n. 指导，引导；领导
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
implicate,vt. 使卷入；涉及；暗指；影响
involve,vt. 包含；牵涉；使陷于；潜心于
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
intolerant,adj. 无法忍受的；偏狭的
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
misguided,"adj. 被误导的
v. 使入歧途（misguide的过去分词）"
permissive,adj. 许可的；自由的；宽容的；（两性关系）放纵的
pornography,n. 色情文学；色情描写
potentially,adv. 可能地，潜在地
prohibition,n. 禁止；禁令；禁酒；诉讼中止令
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
violence,n. 暴力；侵犯；激烈；歪曲
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
acquire,vt. 获得；取得；学到；捕获
adapt to,"na. 使(自己行动)配合(同伴)
 适应；适应，适合；使适应"
dynamism,n. 活力；动态；物力论；推动力；精神动力作用
energetic,adj. 精力充沛的；积极的；有力的
expenditure,n. 支出，花费；经费，消费额
give rise to,"na. 惹起
 引起；导致；使发生"
heritage,n. 遗产；传统；继承物；继承权
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
performance,n. 性能；绩效；表演；执行；表现
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
qualification,n. 资格；条件；限制；赋予资格
reluctant,adj. 不情愿的；勉强的；顽抗的
resource,n. 资源，财力；办法；智谋
skill,n. 技能，技巧；本领，技术
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
training,"n. 训练；培养；瞄准；整枝
v. 训练；教养（train的ing形式）"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
work-force, 工作人口，劳动人口
build up,"na. 同“build”；建立；复兴；集结(部队)
 逐步建立；增进；积累"
cope with,"v. 对付；应付
 处理；应对；解决"
corporate restructuring, 企业重组；公司重组；企业重建
decent,adj. 正派的；得体的；相当好的
deficiency,n. 缺陷，缺点；缺乏；不足的数额
establish,"vi. 植物定植
vt. 建立；创办；安置"
enrollment,n. 登记；入伍
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
linkage,n. 连接；结合；联接；联动装置
meet the demand,"v. 符合需求
 满足需要；满足需求；符合要求"
mismatch,"vt. 使配错
n. 错配；不协调"
reorganize,"vt. 整理；改组；重新制定
vi. 整顿；改编"
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
slow-down,n. 减慢速度，怠工
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
sufficient,adj. 足够的；充分的
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
dilapidated,"adj. 荒废的，要塌似的；破坏的
v. 变得荒废（dilapidate的过去分词）"
distinction,n. 区别；差别；特性；荣誉、勋章
intervention,n. 介入；调停；妨碍
juxtaposition,n. 并置，并列；毗邻
landlord,n. 房东，老板；地主
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
shrinkage,n. 收缩；减低
enlightened,"v. 启迪（enlighten的过去式）
adj. 开明的；文明的；进步的；被启发的"
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
feminism,n. 女权主义；女权运动；男女平等主义
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
corporal punishment,"n. 体罚；肉刑
 体刑；肉体刑；体罚其实包括身体的"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
genius,n. 天才，天赋；精神
illogical,adj. 不合逻辑的；不合常理的
imagination,n.  想象力；空想；幻想物
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
innate,adj. 先天的；固有的；与生俱来的
narrow-minded,adj. 狭隘的；心胸狭窄的；有偏见的
nature,n. 自然；性质；本性；种类
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
observation,n. 观察；监视；观察报告
quality education, 素质教育；优质教育；质量教育
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
survival ability, 生存能力；生存技能
technology-dependent, 依赖科技的
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
confident,adj. 自信的；确信的
confront,vt. 面对；遭遇；比较
courageous,adj. 有胆量的，勇敢的
coward,"n. 懦夫，懦弱的人
adj. 胆小的，懦怯的"
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
difficulty,n. 困难，困境
energetic,adj. 精力充沛的；积极的；有力的
instructional,adj. 教学的；指导的，教育的
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
psychology,n. 心理学；心理状态
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
strive,vi. 努力；奋斗；抗争
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
success,n. 成功，成就；胜利；大获成功的人或事物
trouble,"n. 麻烦；烦恼；故障；动乱
vt. 麻烦；使烦恼；折磨
vi. 费心，烦恼"
ability,n. 能力，能耐；才能
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
conducive,adj. 有益的；有助于…的
cultivate,vt. 培养；陶冶；耕作
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
education system, 教育系统；教育制度；教育体制
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
over-rate,vt. 过高估计；对…估价过高
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
instructor,n. 指导书；教员；指导者
irresponsible,adj. 不负责任的；不可靠的
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
responsibility,n. 责任，职责；义务
spare time,"un. 业余时间；业余的
 空闲时间；余暇；空余时间"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
classroom,n. 教室
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
drop behind,"na. 落后；(跟不上而)落在后面
 落伍；赶不上，落在后头"
exclude,vt. 排除；排斥；拒绝接纳；逐出
family tie,家庭联系
gifted,"adj. 有天赋的；有才华的
v. 给予（gift的过去分词）"
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
harmful,adj. 有害的；能造成损害的
meaningful,adj. 有意义的；意味深长的
mentally,adv. 精神上，智力上；心理上
naive,"adj. 天真的,幼稚的"
natural,"adj. 自然的；物质的；天生的；不做作的
n. 自然的事情；白痴；本位音"
near-sightedness, 近视眼
overload,"vt. 超载，超过负荷
n. 超载；负荷过多"
psychological,adj. 心理的；心理学的；精神上的
schooling,"n. 学校教育；学费
v. 教育（school的ing形式）；培养"
schoolwork,n. 家庭作业；学校作业
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
situation,n. 情况；形势；处境；位置
statistics,n. 统计；统计学； 统计资料
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
well-rounded,adj. 丰满的；面面俱到的；多才多艺的；（语句）有表达力的
speech,n. 演讲；讲话； 语音；演说
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
anthropologist,n. 人类学家；人类学者
bequeath,vt. 遗赠；把…遗赠给；把…传下去
civilization,n. 文明；文化
compatible,adj. 兼容的；能共处的；可并立的
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
forefather,n. 祖先；前辈
globalization,n. 全球化
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
indigenous,adj. 本土的；土著的；国产的；固有的
minority language,少数民族语言
monolingual,"adj. 单语的；仅用一种语言的；仅懂一种语言的
n. 只用一种语言的人"
mother tongue,"n. 母语；本国语
 本族语；本国语言；母语式"
nationality,n. 国籍，国家；民族；部落
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
pass down,"un. 过；一闪即逝；下达
 传递；传下去；传下来"
tradition,n. 惯例，传统；传说
destroy,vt. 破坏；消灭；毁坏
hindrance,n. 障碍；妨碍；妨害；阻碍物
impediment,n. 口吃；妨碍；阻止
old-fashioned,adj. 老式的；过时的；守旧的
outmoded,"adj. 过时的，不流行的
v. 使不流行（outmode的过去分词）"
palace,n. 宫殿；宅邸；豪华住宅
precious,adj. 宝贵的；珍贵的；矫揉造作的
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
reconstruct,vt. 重建；改造；修复；重现
showcase,"n. 陈列橱， 陈列柜；显示优点的东西
vt. 使展现；在玻璃橱窗陈列"
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
stylish,adj. 时髦的；现代风格的；潇洒的
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
director,n. 主任，主管；导演；人事助理
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
instinctive,adj. 本能的；直觉的；天生的
judicious,adj. 明智的；头脑精明的；判断正确的
mimic,"vt. 模仿，摹拟
n. 效颦者，模仿者；仿制品；小丑
adj. 模仿的，模拟的；假装的"
nature,n. 自然；性质；本性；种类
soap opera,"n. 肥皂剧
 连续剧；电视剧；泡沫剧"
scary,adj. （事物）可怕的；恐怖的；吓人的；（人）提心吊胆的；引起惊慌的；胆小的
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
thrilling,adj. 毛骨悚然的；令人兴奋的；颤动的
abundant,adj. 丰富的；充裕的；盛产
charming,"adj. 迷人的；可爱的
v. 使陶醉（charm的现在分词）"
circumstance,n. 环境，情况；事件；境遇
educational,adj. 教育的；有教育意义的
embroidery,n. 刺绣；刺绣品；粉饰
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
intricate,adj. 复杂的；错综的，缠结的
intrinsic,adj. 本质的，固有的
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
paper-cutting,adj. paper cutter的变形
places of interests,找不到解释
receptacle,n.  花托；容器；插座
symbol,n. 象征；符号；标志
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
woodcarving,n. 木刻，木雕
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
enrich,vt. 使充实；使肥沃；使富足
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
fine art,"n. 艺术(尤指绘画及雕塑)
 美术；纯艺术；纯美术"
fund,"n. 基金；资金；存款
vt. 投资；资助"
generation,n. 一代；产生；一代人；生殖
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
historian,n. 历史学家
prehistoric,adj. 史前的；陈旧的
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
works of art,"na. 艺术品
 杂项；故宫博物院；关于艺术的著作"
antagonize,"vt. 使…敌对；使…对抗；对…起反作用
vi. 引起反抗"
avid,adj. 渴望的，贪婪的；热心的
foment,vt. 煽动；挑起；热敷
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
misapprehension,n. 误解；误会
mutual,adj. 共同的；相互的，彼此的
political,adj. 政治的；党派的
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
worsen,"vi. 恶化；变得更坏；更坏
vt. 使恶化；使变得更坏"
aboriginal,"n. 土著居民；土生生物
adj. 土著的；原始的"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
community,n. 社区； 群落；共同体；团体
economic,adj. 经济的，经济上的；经济学的
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
inevitably,adv. 不可避免地；必然地
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
misunderstanding,n. 误解；误会；不和
monument,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑"
pillar,"n. 柱子，柱形物；栋梁；墩
vt. 用柱支持"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
priority,n. 优先；优先权； 优先次序；优先考虑的事
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
resentment,n. 愤恨，怨恨
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
scenery,n. 风景；景色；舞台布景
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
trample,"n. 蹂躏；践踏声
vi. 践踏；蔑视，伤害；脚步沉重地走
vt. 践踏；蔑视，伤害"
usage,n. 使用；用法；惯例
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
distinct,adj. 明显的；独特的；清楚的；有区别的
ethical,"n. 处方药
adj. 伦理的；道德的；凭处方出售的"
ethnic,adj. 种族的；人种的
exclusion,n. 排除；排斥；驱逐；被排除在外的事物
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
fading,"n. 褪色；衰退；凋谢
v. 使衰落（fade的ing形式）；褪色"
fierce,adj. 凶猛的；猛烈的；暴躁的
heritage,n. 遗产；传统；继承物；继承权
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
integration,n. 集成；综合
involve,vt. 包含；牵涉；使陷于；潜心于
merger,n. （企业等的）合并；并购；吸收（如刑法中重罪吸收轻罪）
outnumber,vt. 数目超过；比…多
outweigh,vt. 比…重（在重量上）；比…重要；比…有价值
perpetuate,"vt. 使不朽；保持
adj. 长存的"
preservation,n. 保存，保留
abate,"vt. 减轻；减少；废除
vi. 减轻；失效"
compelling,"adj. 引人注目的；强制的；激发兴趣的
v. 强迫；以强力获得（compel的ing形式）"
compulsion,n. 强制；强迫；强制力
contravene,vt. 抵触；违反；反驳；否认
eschew,vt. 避免；避开；远避
forefront,n. 最前线，最前部；活动的中心
gospel truth,"na. 福音书中的真理
 绝对真理；福音真理；大力士"
gratifying,"adj. 悦人的；令人满足的
v. 使满意（gratify的现在分词）；使高兴"
alacrity,n. 敏捷；轻快；乐意
consensus,n. 一致；舆论；合意
head-on,"adj. 正面的；直接的；头朝前的
adv. 迎头；头朝前地；正面针对地"
head-way,找不到解释
intractable,adj. 棘手的；难治的；倔强的；不听话的
self-opinionatedly,找不到解释
torment,"n. 痛苦，苦恼；痛苦的根源
vt. 折磨，使痛苦；纠缠，作弄"
unaccustomed,adj. 不习惯的；奇怪的
understate,"vt. 少说，少报；保守地说；有意轻描淡写
vi. 保守地说；有意轻描淡写"
quagmire,n. 沼泽，沼泽地；无法脱身的困境
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
convey,vt. 传达；运输；让与
marginal,adj. 边缘的；临界的；末端的
infrastructure,n. 基础设施；公共建设；下部构造
displace,vt. 取代；置换；转移；把…免职；排水
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
pall,"n. 幕；棺罩；遮盖物
vt. 覆盖；使乏味
vi. 走味"
lull,"vt. 使平静；使安静；哄骗
vi. 平息；减弱；停止
n. 间歇；暂停；暂时平静"
complimentary,adj. 赠送的；称赞的；问候的
tedious,adj. 沉闷的；冗长乏味的
radiation,n. 辐射；发光；放射物
illusion,n. 幻觉，错觉；错误的观念或信仰
over-commercialized, 过渡商业化的；过度商业化的
supervision,n. 监督，管理
addicted,"v. 使…上瘾（addict的过去分词）
adj. 沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的"
defraud,"vi. 进行诈骗（过去式defrauded，过去分词defrauded，现在分词defrauding，第三人称单数defrauds，名词defraudation）
vt. 欺骗"
digital,"n. 数字；键
adj. 数字的；手指的"
distract,vt. 转移；分心
drawn-out,adj. 延长的；持续很久的
convulse,vt. 震撼；使剧烈震动；使抽搐
coruscating,v. 闪光（coruscate的ing形式）
collateral,"n. 抵押品； 担保品；旁系亲属
adj. 并行的；旁系的；附属的"
