abort,"n. 中止计划
vt. 使流产；使中止
vi. 流产；堕胎；夭折；发育不全"
backward,"adj. 向后的；反向的；发展迟缓的
adv. 向后地；相反地"
backwards,adv. 倒；向后；逆
bacon,n. 咸肉；腌肉；熏猪肉
bacteria,n.  细菌
badge,"n. 徽章；证章；标记
vt. 授给…徽章"
bakery,n. 面包店
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
balcony,n. 阳台；包厢；戏院楼厅
bamboo,"n. 竹，竹子
adj. 竹制的；土著居民的
vt. 为…装上篾条"
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
bandage,"n. 绷带
vt. 用绷带包扎"
bang,"n. 刘海；重击；突然巨响
vt. 重击；发巨响
adv. 直接地；砰然地；突然巨响地"
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
banner,"n. 横幅图片的广告模式
n. 旗帜，横幅,标语"
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
barber,"n. 理发师
vt. 为…理发；修整
vi. 当理发师"
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
barn,"n. 谷仓；畜棚；车库；靶（核反应截面单位）
vt. 把…贮存入仓"
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
baseball,n. 棒球；棒球运动
basement,n. 地下室；地窖
basically,adv. 主要地，基本上
basis,n. 基础；底部；主要成分；基本原则或原理
bat,"n. 蝙蝠；球棒；球拍；批处理文件的扩展名
vt. 用球棒击球；击球率达…
vi. 轮到击球；用球棒击球"
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
bean,"n. 豆；嘴峰；毫无价值的东西
vt. 击…的头部"
bearing,"n.  轴承；关系；方位；举止
v. 忍受（bear的ing形式）"
beast,n. 野兽；畜生，人面兽心的人
beggar,"n. 乞丐；穷人；家伙
vt. 使贫穷；使沦为乞丐"
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
behavior,n. 行为，举止；态度；反应
behaviour,n. 行为；习性；运行状况（=behavior）
behavioral,adj. 行为的
behavioural,adj. 行为的；动作的
being,"n. 存在；生命；本质；品格
adj. 存在的；现有的"
belief,n. 相信，信赖；信仰；教义
belongings,n.  财产，所有物；亲戚
beloved,"n. 心爱的人；亲爱的教友
adj. 心爱的；挚爱的"
beneath,"prep. 在…之下
adv. 在下方"
beneficial,adj. 有益的，有利的；可享利益的
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
best-seller,n. 畅销书；畅销唱片
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
bible,n. 有权威的书
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
bike,"n. 自行车；脚踏车
vi. 骑自行车（或摩托车）"
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
birthright,n. 与生俱来的权利；长子继承权
blade,n. 叶片；刀片，刀锋；剑
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
blend,"n. 混合；掺合物
vi. 混合；协调
vt. 混合"
blog,n. 博客；部落格；网络日志
bloody,"adj. 血腥的；非常的；嗜杀的，残忍的；血色的
vt. 使流血
adv. 很"
bloom,"n. 花；青春；旺盛
vt. 使开花；使茂盛
vi. 开花；茂盛"
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
blur,"n. 污迹；模糊不清的事物
vt. 涂污；使…模糊不清；使暗淡；玷污
vi. 沾上污迹；变模糊"
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
bolt,"n. 螺栓，螺钉；闪电，雷电；门闩；弩箭;（布的）一匹，一卷
vt. 筛选；囫囵吞下；（把门、窗等）闩上；突然说出，脱口说出
vi. （门窗等）闩上，拴住；冲出，跳出；（马等的）脱缰；囫囵吞下
adv. 突然地；像箭似地；直立地"
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
bonus,n. 奖金；红利；额外津贴
booklet,n. 小册子
bookmark,n. 书签（等于bookmarker）；标记
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
boot,"n. 靴子；踢；汽车行李箱
vt. 引导；踢；解雇；使穿靴"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
bore,"n. 孔；令人讨厌的人
vt. 钻孔；使烦扰
vi. 钻孔"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
boundary,n. 边界；范围；分界线
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
bowel,"n. 肠；内部；同情
vt. 将……的肚肠取出"
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
brass,n. 黄铜；黄铜制品；铜管乐器；厚脸皮
breadth,n. 宽度，幅度；宽宏
breast,"n. 乳房，胸部；胸怀；心情
vt. 以胸对着；与…搏斗"
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
bride,n. 新娘；姑娘，女朋友
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
briefcase,n. 公文包
broaden,"vt. 使扩大；使变宽
vi. 扩大，变阔；变宽，加宽"
broken,"v. 折断；打碎；损坏（break的过去分词）
adj. 破碎的；坏掉的"
brow,n. 眉，眉毛；额；表情
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
browser,n.  浏览器；吃嫩叶的动物；浏览书本的人
brunch,n. 早午餐
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
bug,"n. 臭虫，小虫；故障；窃听器
vt. 烦扰，打扰；装窃听器
vi. 装置窃听器；打扰"
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
bull,"n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
adj. 大型的；公牛似的；雄性的
vt. 企图抬高证券价格；吓唬；强力实现
vi. 价格上涨；走运；猛推；吹牛"
bullet,"n. 子弹；只选某党全部候选人的投票；豆子
vi. 射出；迅速行进"
bulletin,"n. 公告，公报
vt. 公布，公告"
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
bundle,"n. 束；捆
vt. 捆
vi. 匆忙离开"
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
bureau,n. 局，处；衣柜；办公桌
burial,"n. 埋葬；葬礼；弃绝
adj. 埋葬的"
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
bystander,n. 旁观者；看热闹的人
cab,"n. 驾驶室；出租汽车；出租马车
vi. 乘出租马车（或汽车）"
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
calculator,n. 计算器；计算者
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
camel,"n.  骆驼；打捞浮筒；工作作风官僚
adj. 驼色的；暗棕色的
vi. 工作刻板平庸"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
campus,n. （大学）校园；大学，大学生活；校园内的草地
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
cancer, 巨蟹座
candy,"n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的
vt. 用糖煮；使结晶为砂糖；美化
vi. 糖煮；成为结晶"
cane,"n. 手杖；藤条；细长的茎
vt. 以杖击；以藤编制"
canteen,n. 食堂，小卖部；水壶
capable,adj. 能干的，能胜任的；有才华的
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
cargo,n. 货物，船货
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
carriage,n. 运输；运费；四轮马车；举止；客车厢
carrier,n.  载体；运送者；带菌者；货架
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
cashier,"n. 出纳员；司库；收银员
vt. 解雇；抛弃"
cassette,n. 盒式磁带；暗盒；珠宝箱；片匣
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
category,n. 种类，分类； 范畴
cautious,adj. 谨慎的；十分小心的
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
cellar,"n. 地窖；酒窖；地下室
vt. 把…藏入地窖"
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
centigrade,adj. 摄氏的； 摄氏温度的；百分度的
centimeter,n.  厘米； 公分
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
certainty,n. 必然；确实；确实的事情
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
champagne,n. 香槟酒；香槟酒色
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
chaos,n. 混沌，混乱
chaotic,adj. 混沌的；混乱的，无秩序的
chap,"n. 小伙子；家伙；龟裂
vt. 使皲裂
vi. 皲裂"
chapter,"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈"
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
checkpoint,n. 检查站，关卡
cheerful,adj. 快乐的；愉快的；高兴的
chemical,"n. 化学制品，化学药品
adj. 化学的"
chemist,n. 化学家；化学工作者；药剂师；炼金术士
chess,n. 国际象棋，西洋棋
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
childhood,n. 童年时期；幼年时代
childish,adj. 幼稚的，孩子气的
childlike,adj. 天真烂漫的；孩子似的
chill,"n. 寒冷；寒意；寒心
vt. 冷冻，冷藏；使寒心；使感到冷
adj. 寒冷的；冷漠的；扫兴的
vi. 冷藏；变冷"
chin,"n. 下巴；聊天；引体向上动作
vt. 用下巴夹住；与…聊天；在单杠上作引体向上动作
vi. 闲谈；作引体向上动作"
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍"
chopsticks,n. 筷子
Christ,"n. 基督；救世主
int. 天啊！"
Christian,"n. 基督徒，信徒
adj. 基督教的；信基督教的"
cigarette,n. 香烟；纸烟
circular,"n. 通知，传单
adj. 循环的；圆形的；间接的"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
circumstance,n. 环境，情况；事件；境遇
cite,vt. 引用；传讯；想起；表彰
citizen,n. 公民；市民；老百姓
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
civilization,n. 文明；文化
civilize,"vt. 使文明；教化；使开化
vi. 变得文明"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
classification,n. 分类；类别，等级
classify,vt. 分类；分等
clause,n. 条款； 子句
claw,"n. 爪；螯，钳；爪形器具
vi. 用爪抓（或挖）
vt. 用爪抓（或挖）"
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
client,n.  客户；顾客；委托人
cliff,n. 悬崖；绝壁
climate,n. 气候；风气；思潮；风土
cling,vi. 坚持，墨守；紧贴；附着
clinical,adj. 临床的；诊所的
clip,"vi. 剪；修剪；剪下报刊上的文章（或新闻、图片等）；迅速行动；用别针别在某物上，用夹子夹在某物上
n. （塑料或金属的）夹子；回纹针；修剪；剪报
vt. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上"
clockwise,"adj. 顺时针方向的
adv. 顺时针方向地"
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
cloudy,adj. 多云的；阴天的；愁容满面的
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
clumsy,"adj. 笨拙的
笨拙地
不得当的
不得当地"
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
coastal,adj. 沿海的；海岸的
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
coil,"n. 线圈；卷
vt. 盘绕，把…卷成圈
vi. 成圈状"
colleague,n. 同事，同僚
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
collection,n. 采集，聚集； 征收；收藏品；募捐
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
colony,n. 殖民地；移民队；种群；动物栖息地
column,n. 纵队，列；专栏；圆柱，柱形物
combination,n. 结合；组合；联合； 化合
comedy,n. 喜剧；喜剧性；有趣的事情
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
commander,n. 指挥官；司令官
commence,v. 开始；着手；<英>获得学位
commentator,n. 评论员，解说员；实况播音员；时事评论者
commerce,n. 贸易；商业；商务
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
committee,n. 委员会
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
communication,n. 通讯， 通信；交流；信函
community,n. 社区； 群落；共同体；团体
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
comparable,adj. 可比较的；比得上的
comparative,"n. 比较级；对手
adj. 比较的；相当的"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
comparison,n. 比较；对照；比喻；比较关系
compass,"n. 指南针，罗盘；圆规
vt. 包围"
competent,adj. 胜任的；有能力的；能干的；足够的
competition,n. 竞争；比赛，竞赛
complementary,adj. 补足的，补充的
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
complicate,vt. 使复杂化；使恶化；使卷入
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
concentration,n. 浓度；集中；浓缩；专心；集合
concept,n. 观念，概念
concerning,"prep. 关于；就…而言
v. 涉及；使关心（concern的ing形式）；忧虑"
concession,n. 让步；特许（权）；承认；退位
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
confident,adj. 自信的；确信的
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
confusion,n. 混淆，混乱；困惑
congratulate,vt. 祝贺；恭喜；庆贺
congress,n. 国会；代表大会；会议；社交
conjunction,n. 结合； 连接词；同时发生
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
connection,n. 连接；关系；人脉；连接件
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
conquest,n. 征服，战胜；战利品
conscience,n. 道德心，良心
conscious,adj. 意识到的；故意的；神志清醒的
consensus,n. 一致；舆论；合意
consequence,n. 结果；重要性；推论
consideration,n. 考虑；原因；关心；报酬
considering,"conj. 考虑到
prep. 考虑到；就...而论
v. 考虑到（consider的ing形式）"
consistency,n.  一致性；稠度；相容性
construct,"n. 构想，概念
vt. 建造，构造；创立"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
consumer,n. 消费者；用户，顾客
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
container,n. 集装箱；容器
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
contented,"v. 使…满足；使…安心（content的过去式和过去分词）
adj. 满足的；心安的"
contestant,n. 竞争者；争辩者
continual,adj. 持续不断的；频繁的
continuity,n. 连续性；一连串；分镜头剧本
continuous,adj. 连续的，持续的；继续的；连绵不断的
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
contribution,n. 贡献；捐献；投稿
controversial,adj. 有争议的；有争论的
convention,n. 大会； 惯例； 约定； 协定；习俗
conversely,adv. 相反地
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
cooperate,vi. 合作，配合；协力
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
cop,"n. 巡警，警官
vt. 抓住"
copper,"n. 铜；铜币；警察
adj. 铜制的
vt. 镀铜"
copyright,"n. 版权，著作权
adj. 版权的；受版权保护的
vt. 保护版权；为…取得版权"
cordless,"n. 不用电线的
adj. 无线的（副词cordlessly）"
core,找不到解释
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
corps,n. 军团；兵种；兵队；（德国大学的）学生联合会
correspond,vi. 符合，一致；相应；通信
correspondence,n. 通信；一致；相当
correspondent,n. 通讯记者；客户；通信者；代理商行
corresponding,"adj. 相当的，相应的；一致的；通信的
v. 类似（correspond的ing形式）；相配"
corridor,走廊
corruption,n. 贪污，腐败；堕落
costly,adj. 昂贵的；代价高的
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
council,n. 委员会；会议；理事会；地方议会；顾问班子
councilor,n. 顾问；评议员；参赞
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
countdown,n. 倒数计秒
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
countryside,n. 农村，乡下；乡下的全体居民
county,n. 郡，县
courtroom,n. 法庭；审判室
coward,"n. 懦夫，懦弱的人
adj. 胆小的，懦怯的"
cowboy,n. 牛仔；牧童；莽撞的人
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
crawl,"n. 爬行；养鱼池；匍匐而行
vt. 爬行；缓慢地行进
vi. 爬行；匍匐行进"
create,vt. 创造，创作；造成
creation,n. 创造，创作；创作物，产物
creative,adj. 创造性的
creator,找不到解释
creature,n. 动物，生物；人；创造物
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
creep,"n. 爬行；毛骨悚然的感觉；谄媚者
vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩"
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
critic,n. 批评家，评论家；爱挑剔的人
criticism,n. 批评；考证；苛求
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
crossroad,n. 十字路口；交叉路；岔道；重大的抉择关头
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
cruelty,n. 残酷；残忍；残酷的行为
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的"
cube,"n. 立方；立方体；骰子
vt. 使成立方形；使自乘二次；量…的体积"
cue,"n. 提示，暗示；线索
vt. 给…暗示"
cultivate,vt. 培养；陶冶；耕作
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
curiosity,n. 好奇，好奇心；珍品，古董，古玩
curl,"n. 卷曲；卷发；螺旋状物
vt. 使…卷曲；使卷起来
vi. 卷曲；盘绕"
currency,n. 货币；通货
curriculum,"n. 课程
总课程"
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
cute,adj. 可爱的；漂亮的；聪明的，伶俐的
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
cyclist,n. 骑自行车的人
cynical,adj. 愤世嫉俗的；冷嘲的
dairy,"n. 奶制品；乳牛；制酪场；乳品店；牛奶及乳品业
adj. 乳品的；牛奶的；牛奶制的；产乳的"
dam,"n.  水坝；障碍
v. 控制；筑坝"
damn,"n. 一点；诅咒
vt. 谴责；罚…下地狱
adj. 可恶的
adv. 非常
vi. 谴责
int. 讨厌"
darling,n. 心爱的人；亲爱的
dash,"n. 破折号；冲撞
vi. 猛冲；撞击
vt. 使…破灭；猛撞；泼溅"
data,n. 数据（datum的复数）；资料
database,n. 数据库，资料库
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
daylight,n. 白天；日光；黎明；公开
deadline,n. 截止期限，最后期限
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
deaf,adj. 聋的
dean,n. 院长；系主任；教务长；主持牧师
debt,n. 债务；借款；罪过
decade,n. 十年，十年期；十
deception,n. 欺骗，欺诈；骗术
deck,"n. 甲板；行李仓；露天平台
vt. 装饰；装甲板；打扮"
