highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
embassy,n. 大使馆；大使馆全体人员
timber,n. 木材；木料
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
rouse,"n. 觉醒；奋起
vt. 唤醒；激起，使振奋；惊起
vi. 醒来；奋起"
nitrogen,n.  氮
commence,v. 开始；着手；<英>获得学位
mould,"vi. 发霉
vt. 浇铸；用泥土覆盖
n. 模具；霉"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
reluctance,n.  磁阻；勉强；不情愿
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
dean,n. 院长；系主任；教务长；主持牧师
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
cargo,n. 货物，船货
auction,"n. 拍卖
vt. 拍卖；竞卖"
dryer,n. 烘干机； 干燥剂
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
loophole,n. 漏洞；枪眼；换气孔；射弹孔
hack,"n. 砍，劈；出租马车
vt. 砍；出租
vi. 砍"
despatch,"n. 派遣；发送（等于dispatch）
vt. 派遣；发送；匆匆吃下
vi. 匆匆离开"
surname,"n. 姓，姓氏；绰号，别名
vt. 给…起别名；给…姓氏"
buffet,"n. 自助餐；小卖部；打击；猛烈冲击
adj. 自助的；自助餐的
vi. 斗争；奋勇前进
vt. 与…搏斗；连续猛击"
teller,n. （美）出纳员；讲述者；讲故事者；计票员
swipe,"n. 猛击；尖刻的话
vt. 猛击；偷窃；刷…卡
vi. 猛打；大口喝酒"
high-tech,"n. 高科技
adj. 高科技的，高技术的；仿真技术的"
dissident,"n. 持不同政见者，意见不同的人
adj. 持不同政见的，意见不同的"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
accustom,vt. 使习惯于
axis,n. 轴；轴线；轴心国
overtime,"n.  加班时间；延长时间；加时赛
adj. 超时的；加班的
vt. 使超过时间
adv. 加班地"
inland,"n. 内地；内陆
adj. 内陆的；内地的；国内的
adv. 在内地；向内地；向内陆；在内陆"
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
ashore,"adj. 在岸上的；在陆上的
adv. 在岸上；向岸"
flash,"n. 闪光，闪现；一瞬间
adj. 闪光的，火速的
vt. 使闪光；反射
vi. 闪光，闪现；反射"
indicate,vt. 表明；指出；预示；象征
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
youngster,n. 年轻人；少年
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
carrier,n.  载体；运送者；带菌者；货架
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
refine,vt. 精炼，提纯；改善；使…文雅
riot,"n. 暴乱；放纵；蔓延
vt. 浪费，挥霍
vi. 骚乱；放荡"
usage,n. 使用；用法；惯例
procession,"n. 队伍，行列；一列，一排；列队行进
vt. 沿著……行进
vi. 列队行进"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
intense,adj. 强烈的；紧张的；非常的；热情的
devil,"n. 魔鬼；撒旦；家伙；恶棍；淘气鬼；冒失鬼
vt. 虐待，折磨；（用扯碎机）扯碎；（替作家，律师等）做助手；抹辣味料烤制或煎煮"
presence,n. 存在；出席；参加；风度；仪态
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
satellite,n. 卫星；人造卫星；随从；卫星国家
organise,"vi. 组织起来；组织工会
vt. 组织（等于organize）；有机化；给予生机"
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
acquire,vt. 获得；取得；学到；捕获
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
bloom,"n. 花；青春；旺盛
vt. 使开花；使茂盛
vi. 开花；茂盛"
emerge,vi. 浮现；摆脱；暴露
create,vt. 创造，创作；造成
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
analysis,n. 分析；分解；验定
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求"
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
furniture,n. 家具；设备；储藏物
discharge,"n. 排放；卸货；解雇
vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出"
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
confident,adj. 自信的；确信的
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
context,n. 环境；上下文；来龙去脉
liquor,"n. 酒，含酒精饮料；溶液；液体；烈酒
vi. 喝酒，灌酒
vt. 使喝醉"
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
delete,vt. 删除
waterproof,"n. 防水材料
vt. 使防水
adj. 防水的，不透水的"
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
injure,vt. 伤害，损害
gratitude,n. 感谢（的心情）；感激
parliament,n. 议会，国会
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
intend,"vi. 有打算
vt. 打算；想要；意指"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
spontaneous,adj. 自发的；自然的；无意识的
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
reunification,n. 重新统一；重新团结
dropout,n. 中途退学；辍学学生
damp,"n. 潮湿，湿气
adj. 潮湿的
vt. 使潮湿；使阻尼；使沮丧，抑制
vi. 减幅，阻尼；变潮湿"
bundle,"n. 束；捆
vt. 捆
vi. 匆忙离开"
parcel,"n. 包裹，小包
vt. 打包；捆扎"
affirmative,"n. 肯定语；赞成的一方
adj. 肯定的；积极的"
hollow,"n. 洞；山谷；窟窿
adj. 空的；中空的，空腹的；凹的；虚伪的
vt. 使成为空洞
adv. 彻底地；无用地
vi. 形成空洞"
embarrass,vt. 使局促不安；使困窘；阻碍
deputy,"n. 代理人，代表
adj. 副的；代理的"
guideline,"n. 指导方针
参考"
lengthy,adj. 漫长的，冗长的；啰唆的
bore,"n. 孔；令人讨厌的人
vt. 钻孔；使烦扰
vi. 钻孔"
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
expansion,n. 膨胀；阐述；扩张物
breadth,n. 宽度，幅度；宽宏
goose,"n. 鹅；鹅肉；傻瓜；雌鹅
vt. 突然加大油门；嘘骂"
commerce,n. 贸易；商业；商务
contented,"v. 使…满足；使…安心（content的过去式和过去分词）
adj. 满足的；心安的"
demanding,"v. 要求；查问（demand的ing形式）
adj. 苛求的；要求高的；吃力的"
bystander,n. 旁观者；看热闹的人
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
attic,n. 阁楼；顶楼；鼓室上的隐窝
baby boom,"n. 婴儿潮；生育高峰
 战后婴儿潮；我家四个宝；人口增长的高峰期"
paddy,n. 稻田（复数paddies）；爱尔兰人；Patrick（男子名）和Patricia（女子名）的昵称
narrate,"vt. 叙述；给…作旁白
vi. 叙述；讲述"
bail,"n. 保释，保释人；保释金；杓
vt. 保释，帮助某人脱离困境；往外舀水"
ought to,"modalv. 应该；应当；（表示期望或可能发生的事）应该；（表示劝告或建议）应该
v. 应该
 理应；应然；应该要"
wilderness,n. 荒地；大量，茫茫一片
homeland,n. 祖国；故乡
underwear,n. 内衣物
biotechnology,n.  生物技术； 生物工艺学
booth,n. 货摊；公用电话亭
gadget,n. 小玩意；小器具；小配件；诡计
allege,vt. 宣称，断言；提出…作为理由
well-off,adj. 富裕的；顺利的，走运的；繁荣昌盛的
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
romance,"n. 传奇；浪漫史；风流韵事；冒险故事
vi. 虚构；渲染；写传奇"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
belly,"n. 腹部；胃；食欲
vt. 使鼓起
vi. 涨满；鼓起"
preview,"n. 预览；试映；事先查看
vt. 预览；预演；事先查看"
horizontal,"n. 水平线，水平面；水平位置
adj. 水平的；地平线的；同一阶层的"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
brave,"n. 勇士
adj. 勇敢的；华丽的
vt. 勇敢地面对"
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
headache,n. 头痛；麻烦；令人头痛之事
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
waist,n. 腰，腰部
indication,n. 指示，指出；迹象；象征
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
core,找不到解释
omit,vt. 省略；遗漏；删除；疏忽
cheerful,adj. 快乐的；愉快的；高兴的
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
ignore,vt. 驳回诉讼；忽视；不理睬
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
imply,vt. 意味；暗示；隐含
recovery,n. 恢复，复原；痊愈；重获
congress,n. 国会；代表大会；会议；社交
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
marvellous,adj. 不可思议的；惊人的
irrigate,"vt. 灌溉；冲洗；使清新
vi. 灌溉；冲洗"
interaction,"n. 相互作用； 交互作用
n. 互动"
observation,n. 观察；监视；观察报告
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
dignity,n. 尊严；高贵
distinct,adj. 明显的；独特的；清楚的；有区别的
entire,adj. 全部的，整个的；全体的
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
missile,"n. 导弹；投射物
adj. 导弹的；可投掷的；用以发射导弹的"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰"
funny,"n. 滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
adj. 有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明"
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
cultivate,vt. 培养；陶冶；耕作
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
widespread,adj. 普遍的，广泛的；分布广的
forbid,vt. 禁止；不准；不允许；严禁
equip,vt. 装备，配备
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
tolerate,vt. 忍受；默许；宽恕
acceptance,n. 接纳；赞同；容忍
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
lad,n. 少年，小伙子；家伙
marshal,"n. 元帅；司仪
vt. 整理；引领；编列
vi. 排列"
insider,n. 内部的人，会员；熟悉内情者
heir,n.  继承人；后嗣；嗣子
exemplify,vt. 例证；例示
density,n. 密度
ribbon,"n. 带；缎带；（勋章等的）绶带；带状物；勋表
vt. 把…撕成条带；用缎带装饰
vi. 形成带状"
lawn,n. 草地；草坪
raid,"n. 袭击；突袭；搜捕；抢劫
vt. 袭击，突袭
vi. 对…进行突然袭击"
arithmetic,n. 算术，算法
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
hail,"n. 冰雹；致敬；招呼；一阵
vt. 致敬；招呼；向...欢呼；猛发；使像下雹样落下（过去式hailed，过去分词hailed，现在分词hailing，第三人称单数hails）
int. 万岁；欢迎
vi. 招呼；下雹"
controversial,adj. 有争议的；有争论的
whip,"n. 鞭子；抽打；车夫； 搅拌器
vt. 抽打；煽动；搅打（蛋，奶油）；彻底击败
vi. 抽打；急走；拍击"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
tuberculosis,n. 肺结核；结核病
ridge,"n. 山脊；山脉；屋脊
vt. 使成脊状；作垄
vi. 成脊状"
symptom,n.  症状；征兆
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
obligation,n. 义务；职责；债务
utility,"n. 实用；效用；公共设施；功用
adj. 实用的；通用的；有多种用途的"
compatible,adj. 兼容的；能共处的；可并立的
volcano,n. 火山
mop,"vt. 擦干；用拖把拖洗
vi. 用拖把擦洗地板；扮鬼脸
n. 拖把；蓬松的头发；鬼脸"
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
haze,"n. 阴霾；薄雾；疑惑
vt. 使变朦胧；使变糊涂
vi. 变朦胧；变糊涂"
panda,n. 熊猫；猫熊
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
diabetes,n. 糖尿病；多尿症
fuck,"n. 性交；杂种；一丁点儿
vt. 与...性交；诅咒；欺骗
int. 他妈的
vi. 性交；鬼混"
mammal,n.  哺乳动物
dew,"n. 珠，滴；露水；清新
vt. （露水等）弄湿
vi. 结露水"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
misfortune,n. 不幸；灾祸，灾难
dock,"n. 码头；船坞；被告席；尾巴的骨肉部分
vt. 使靠码头；剪短
vi. 入船坞"
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
odour,n. 气味；声誉
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
geology,n. 地质学；地质情况
Medicare,找不到解释
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
confront,vt. 面对；遭遇；比较
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
wake,"n. 尾迹；守夜；守丧
vt. 叫醒；激发
vi. 醒来；唤醒；警觉"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
convenient,adj. 方便的；适当的；近便的；实用的
association,n. 协会，联盟，社团；联合；联想
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
climate,n. 气候；风气；思潮；风土
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
tragedy,n. 悲剧；灾难；惨案
genetic,adj. 遗传的；基因的；起源的
emotional,adj. 情绪的；易激动的；感动人的
pessimistic,adj. 悲观的，厌世的；悲观主义的
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
competent,adj. 胜任的；有能力的；能干的；足够的
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
enrich,vt. 使充实；使肥沃；使富足
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
conscious,adj. 意识到的；故意的；神志清醒的
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
accurate,adj. 精确的
durable,"n. 耐用品
adj. 耐用的，持久的"
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
sincere,adj. 真诚的；诚挚的；真实的
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
strategy,n. 战略，策略
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
relax,"vi. 放松，休息；松懈，松弛；变从容；休养
vt. 放松；使休息；使松弛；缓和；使松懈"
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
wheat,n. 小麦；小麦色
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
optional,"adj. 可选择的，随意的
n. 选修科目"
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
transparent,adj. 透明的；显然的；坦率的；易懂的
awake,"adj. 醒着的
vt. 唤醒；使觉醒；激起，唤起
vi. 觉醒，意识到；醒来；被唤起"
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
poverty,n. 贫困；困难；缺少；低劣
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
exist,vi. 存在；生存；生活；继续存在
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
commander,n. 指挥官；司令官
vigorous,adj. 有力的；精力充沛的
attitude,n. 态度；看法；意见；姿势
obvious,adj. 明显的；显著的；平淡无奇的
uncover,"vt. 发现；揭开；揭露
vi. 发现；揭示；揭去盖子"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
roar,"n. 咆哮；吼；轰鸣
vi. 咆哮；吼叫；喧闹
vt. 咆哮；呼喊；使……轰鸣"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
agony,n. 苦恼；极大的痛苦；临死的挣扎
fatty,"n. 胖子
adj. 脂肪的；肥胖的；多脂肪的；脂肪过多的"
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
bucket,"n. 桶，水桶；铲斗；一桶的量
v. 倾盆而下；颠簸着行进"
