a collection of,"un. 收藏的
 集…为一体的；一批；的收藏"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
mirror,"n. 镜子；真实的写照；榜样
vt. 反射；反映"
monopolize,vt. 垄断；独占；拥有…的专卖权
multitude,n. 群众；多数
mysteriously,adv. 神秘地；故弄玄虚地；难以理解地
naturally,"adv. 自然地
自然而然地
轻而易举
天生地
大方地"
necessarily,adv. 必要地；必定地，必然地
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
notably,adv. 显著地；尤其
nothing,"neg. 没什么；毫不
n. 无；零；不关紧要之事
adv. 毫不；决不
pron. 无事；无物
int. 什么也没有"
noticeable,adj. 显而易见的，显著的；值得注意的
notion,n. 概念；见解；打算
novel,"adj. 新奇的；异常的
n. 小说"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
obscurely,adv. 费解地，晦涩地；隐匿地
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
occasionally,adv. 偶尔；间或
occupation,n. 职业；占有；消遣；占有期
offspring,n. 后代，子孙；产物
optimistic,adj. 乐观的；乐观主义的
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
organic,adj.  有机的；组织的；器官的；根本的
originally,adv. 最初，起初；本来
originate,"vt. 引起；创作
vi. 发源；发生；起航"
outcome,n. 结果，结局；成果
overstate,vt. 夸张；夸大的叙述
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
package,"n. 包，包裹；套装软件， 程序包
adj. 一揽子的
vt. 打包；将…包装"
particle,n. 颗粒； 质点；极小量；小品词
passion,n. 激情；热情；酷爱；盛怒
penalty,n. 罚款，罚金；处罚
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
perfectly,adv. 完美地；完全地；无瑕疵地
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
pessimistic,adj. 悲观的，厌世的；悲观主义的
philosophy,n. 哲学；哲理；人生观
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
predator,n.  捕食者； 食肉动物；掠夺者
predominance,n. 优势；卓越
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
presumption,n. 放肆，傲慢；推测
prevail,vi. 盛行，流行；战胜，获胜
prevalent,adj. 流行的；普遍的，广传的
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
primarily,adv. 首先；主要地，根本上
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
prosperity,n. 繁荣，成功
provoke,vt. 驱使；激怒；煽动；惹起
proximately,adv. 近似地
radically,adv. 根本上；彻底地；以激进的方式
ready,"n. 现款；预备好的状态
adj. 准备好；现成的；迅速的；情愿的；快要…的
vt. 使准备好
adv. 迅速地；预先"
reality,n. 现实；实际；真实
reap,"vt. 收获，获得；收割
vi. 收割，收获"
recession,n. 衰退；不景气；后退；凹处
recognition,n. 识别；承认，认出；重视；赞誉；公认
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
reduction,n. 减少；下降；缩小；还原反应
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
relatively,adv. 相当地；相对地，比较地
relay,"n.  继电器；接替，接替人员；驿马
vt. 转播；使接替；分程传递
vi. 转播；接替"
replant,vt. 改种；移植；移居
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
reputation,n. 名声，名誉；声望
respective,adj. 分别的，各自的
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
responsive,adj. 响应的；应答的；回答的
restoration,n. 恢复；复位；王政复辟；归还
restrict,vt. 限制；约束；限定
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
rhythm,n. 节奏；韵律
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
sensitivity,n. 敏感；敏感性；过敏
sentiment,n. 感情，情绪；情操；观点；多愁善感
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
separately,adv. 分别地；分离地；个别地
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
similarly,adv. 同样地；类似于
simplify,vt. 简化；使单纯；使简易
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
simultaneously,adv. 同时地
skeptical,adj. 怀疑的；怀疑论的，不可知论的
slash,"n. 削减；斜线；猛砍；砍痕；沼泽低地
vt. 猛砍；鞭打；严厉批评；大幅度裁减或削减
vi. 猛砍；严厉批评"
slightly,adv. 些微地，轻微地；纤细地
sneak,"n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者
adj. 暗中进行的
vi. 溜；鬼鬼祟祟做事；向老师打小报告
vt. 偷偷地做；偷偷取得"
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
species,"n.  物种；种类
adj. 物种上的"
specifically,adv. 特别地；明确地
specification,n. 规格；说明书；详述
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
spectator,n. 观众；旁观者
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
standardize,vt. 使标准化；用标准检验
statistical,adj. 统计的；统计学的
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
strap,"n. 带；皮带；磨刀皮带；鞭打
vt. 用带捆绑；用皮条抽打；约束
vi. 精力旺盛地工作；受束缚"
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
subsequently,adv. 随后，其后；后来
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
successively,adv. 相继地；接连着地
suppress,vt. 抑制；镇压；废止
surpass,vt. 超越；胜过，优于；非…所能办到或理解
surroundings,n. 环境；周围的事物
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
systematically,adv. 有系统地；有组织地
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
territory,n. 领土，领域；范围；地域；版图
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
throne,"n. 王座；君主；王权
vt. 使登王位
vi. 登上王座"
tighten,"vt. 变紧；使变紧
vi. 绷紧；变紧"
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
typical,adj. 典型的；特有的；象征性的
unchecked,adj. 未经核对的；未加抑制的
underestimate,"n. 低估
vt. 低估；看轻"
undergo,vt. 经历，经受；忍受
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
undermine,vt. 破坏，渐渐破坏；挖掘地基
undertake,vt. 承担，保证；从事；同意；试图
unfortunately,adv. 不幸地
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
unnaturally,adv. 故意地；违反习俗地；不合乎自然规律地
untouched,adj. 未受影响的；未改变的；未触动过的；不受感动的
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
utter,"adj. 完全的；彻底的；无条件的
vt. 发出，表达；发射"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
variety,n. 多样；种类；杂耍；变化，多样化
victim,n. 受害人；牺牲品；牺牲者
violent,adj. 暴力的；猛烈的
visualize,"vt. 形象，形象化；想像，设想
vi. 显现"
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
widespread,adj. 普遍的，广泛的；分布广的
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
worldwide,"adj. 全世界的
adv. 在世界各地"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
accuracy,n.  精确度，准确性
accurate,adj. 精确的
acknowledge,vt. 承认；答谢；报偿；告知已收到
administration,n. 管理；行政；实施；行政机构
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
anticipate,vt. 预期，期望；占先，抢先；提前使用
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
apparent,adj. 显然的；表面上的
appearance,n. 外貌，外观；出现，露面
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
behavior,n. 行为，举止；态度；反应
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
charming,"adj. 迷人的；可爱的
v. 使陶醉（charm的现在分词）"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
colleague,n. 同事，同僚
combination,n. 结合；组合；联合； 化合
commerce,n. 贸易；商业；商务
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
complicated,adj. 难懂的，复杂的
confused,"v. 困惑（confuse的过去式）
adj. 困惑的；混乱的；糊涂的"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
controversy,n. 争论；论战；辩论
convenient,adj. 方便的；适当的；近便的；实用的
creature,n. 动物，生物；人；创造物
decade,n. 十年，十年期；十
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
define,vt. 定义；使明确；规定
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
destructive,adj. 破坏的；毁灭性的；有害的，消极的
detect,vt. 察觉；发现；探测
disadvantaged,"n. 弱势团体；不利条件
adj. 贫困的；处于不利地位的；社会地位低下的
v. 使处于不利地位（disadvantage的过去式和过去分词）"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
discrimination,n. 歧视；区别，辨别；识别力
dissatisfaction,n. 不满；令人不满的事物
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
diverse,adj. 不同的；多种多样的；变化多的
dizzy,"adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
vt. 使头晕眼花；使混乱；使茫然"
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
dropout,n. 中途退学；辍学学生
dutifully,adv. 忠实地；忠贞地
efficient,adj. 有效率的；有能力的；生效的
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
experienced,adj. 老练的，熟练的；富有经验的
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
extinguish,vt. 熄灭；压制；偿清
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
financial,adj. 金融的；财政的，财务的
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
flavor,"n. 情味，风味；香料；滋味
vt. 加味于"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
foundation,n. 基础；地基；基金会；根据；创立
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
gasp,"n. 喘气
vi. 喘气；喘息；渴望
vt. 气喘吁吁地说；喘着气说话"
generation,n. 一代；产生；一代人；生殖
guilt,n. 犯罪，过失；内疚
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
imitate,vt. 模仿，仿效；仿造，仿制
immense,adj. 巨大的，广大的；无边无际的；非常好的
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
imperfect,"n. 未完成体
adj. 有缺点的；未完成的；半过去的；未完成时的
adv. 有瑕疵地；有缺点地"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
incur,vt. 招致，引发；蒙受
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
instinct,"n. 本能，直觉；天性
adj. 充满着的"
instruction,n. 指令，命令；指示；教导；用法说明
intelligent,adj. 智能的；聪明的；理解力强的
interpret,"vi. 解释；翻译
vt. 说明；口译"
investigate,v. 调查；研究
knowledgeable,adj. 知识渊博的，有知识的；有见识的；聪明的
largely,adv. 主要地；大部分；大量地
legislation,n. 立法；法律
literary,adj. 文学的；书面的；精通文学的
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
migration,n. 迁移；移民；移动
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
motivate,vt. 刺激；使有动机；激发…的积极性
motivation,n. 动机；积极性；推动
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
obstacle,n. 障碍，干扰；妨害物
occasionally,adv. 偶尔；间或
offender,n. 罪犯；冒犯者；违法者
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
outcome,n. 结果，结局；成果
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
percentage,n. 百分比；百分率，百分数
personality,n. 个性；品格；名人
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
potentially,adv. 可能地，潜在地
poverty,n. 贫困；困难；缺少；低劣
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
preview,"n. 预览；试映；事先查看
vt. 预览；预演；事先查看"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
profound,adj. 深厚的；意义深远的；渊博的
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
relaxed,"v. relax的过去式和过去分词
adj. 松懈的，放松的；悠闲的，自在的；不严格的，不拘束的"
reluctant,adj. 不情愿的；勉强的；顽抗的
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
revolution,n. 革命；旋转；运行；循环
romantic,"n. 浪漫的人
adj. 浪漫的；多情的；空想的
vt. 使…浪漫化"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
schooling,"n. 学校教育；学费
v. 教育（school的ing形式）；培养"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
squarely,adv. 直角地；诚实地；正好；干脆地；正当地
strategy,n. 战略，策略
sufficiently,adv. 充分地；足够地
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
symbol,n. 象征；符号；标志
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
texture,n. 质地；纹理；结构；本质，实质
tongue,"n. 舌头；语言
vt. 舔；斥责；用舌吹
vi. 说话；吹管乐器"
toxic,adj. 有毒的；中毒的
tragic,adj. 悲剧的；悲痛的，不幸的
transition,n. 过渡；转变； 转换；变调
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
uninformed,adj. 无知的；未被通知的；未受教育的；不学无术的
unpredictable,"n. 不可预言的事
adj. 不可预知的；不定的；出乎意料的"
violation,n. 违反；妨碍，侵害；违背；强奸
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
well-being,n. 幸福；康乐
whereby,adv. 凭借；通过…；借以；与…一致
witty,adj. 诙谐的；富于机智的
a body of,"adj. 一批
det. 一团
 大量；一片"
a multitude of,"na. 许多
 大量；众多的；大批的"
a variety of,"det. 种种；形形色色
 各种各样的；多种多样的；多种的"
apartment building,"na. “apartment house”的变体
 公寓楼；公寓大楼；公寓建筑"
as ... as ...,找不到解释
at sb.'s disposal,找不到解释
deprive ... of,"un. 剥夺
 剥夺某人的；使失去；使丧失"
be concerned with,"na. 干与；关怀
 关心；与…有关；参与"
be entitled to, 有权；有资格；有权做
be linked to, 与…有联系；与…有关；与……相联系
be supposed to,"na. …(在职务上)要；不许
 应该；被认为；被期望"
be capable of sth.,找不到解释
be capable of doing sth.,找不到解释
blood vessel,"n. 血管
 血脉；心脑血管；血液流通的管道"
compare ... to ...,找不到解释
conform to,"na. 遵照；顺应；遵守
 符合；遵从；适合，符合"
date back,"un. 过时；始于
 回溯至；追溯到；回溯到"
date back to,"na. 回溯至
 追溯到；始于；可追溯到"
derive from,"v. 来自；起源于
 衍生；由来；来源于"
draw out,"na. 抽出；拔出；掏出；提出
 拉长；取出；拉出"
end up,"na. 结束；完事；死；直立着
 告终；竖着；最终成为"
for instance,"na. 例如
 比如；举例说；举例来说"
go out of one's way to do,找不到解释
be in favor of,有利于； 支持
in short,"na. 简单地说；总之
 简言之；简而言之；总而言之"
in the wake of sth.,找不到解释
be inferior to, 劣于；不如；低于
interfere with,干扰，干涉；妨碍；触动或弄坏；乱动；与……抵触
scores of, 许多；大量；几十个
seek out,"na. 找出；寻求；想获得
 挑出；找到；搜寻出"
set ... apart,找不到解释
set the stage, 为舞台布景；设置；设置舞台
take sth. into consideration,"v. 顾及
 考虑到；把……考虑进去；予以考虑"
tear ... apart,"v. 弄乱；撕破
 使心碎；扯开；撕开"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
ache,"n. 疼痛
vi. 疼痛；渴望"
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
acre,n. 土地，地产；英亩
adjective,"n. 形容词
adj. 形容词的；从属的"
adverb,"n. 副词
adj. 副词的"
advisory,"n. 报告；公告
adj. 咨询的；顾问的；劝告的"
AIDS,abbr. 获得性免疫缺乏综合征；爱滋病（Acquired Immune Deficiency Syndrome）
ale,n. 麦芽酒
algebra,n. 代数学
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
alphabetical,adj. 字母的； 依字母顺序的
amiable,adj. 和蔼可亲的，亲切的
anew,adv. 重新；再
ankle,n. 踝关节，踝
anonymity,n. 匿名；匿名者；无名之辈
anonymous,adj. 匿名的，无名的；无个性特征的
ant,n. 蚂蚁
antagonism,n. 对抗，敌对；对立；敌意
antagonist,n. 敌手； 对抗肌； 拮抗物；反协同试剂
antagonistic,adj. 敌对的；对抗性的；反对的
antagonistically,adv. 敌对地，对抗性地
antenna,n.  天线； 触角， 触须
anti,"n. 反对者，反对论者
adj. 反对的"
antibiotic,"n. 抗生素，抗菌素
adj. 抗生的；抗菌的"
antonym,n.  反义词
ape,"n.  猿；傻瓜；模仿者
vt. 模仿；抢台词
adj. 狂热的"
apologetic,adj. 道歉的；赔罪的
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
apology,n. 道歉；谢罪；辩护；勉强的替代物
appall,vt. 使胆寒；使惊骇
appalling,"adj. 可怕的；令人震惊的
v. 使惊愕；惊吓（appal的ing形式）"
apron,"n. 围裙； 停机坪；舞台口
vt. 着围裙于；围绕"
arbitrarily,adv. 武断地；反复无常地；专横地
arbitrary,adj.  任意的；武断的；专制的
arbitrate,vt. 仲裁；公断
arbitration,n. 公断，仲裁
archive,"n. 档案馆；档案文件
vt. 把…存档"
arithmetic,n. 算术，算法
armament,n. 武器；军备
armor,"n.  装甲；盔甲
vt. 为…装甲"
artillery,n. 火炮；大炮；炮队；炮术
atlas,n. 地图集；寰椎
attorney,n. 律师；代理人；检查官
auxiliary,"n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的"
bacon,n. 咸肉；腌肉；熏猪肉
badminton,n. 羽毛球
balcony,n. 阳台；包厢；戏院楼厅
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
barber,"n. 理发师
vt. 为…理发；修整
vi. 当理发师"
barbershop,"n. 理发店
adj. 有男声合唱之和声的"
barometer,n.  气压计；晴雨表；显示变化的事物
barracks,"n. 兵营，营房；简陋的房子；警察所（barrack的复数）
v. 使驻扎军营里；住在工房、棚屋里；（澳）大声鼓噪（barrack的三单形式）"
baseball,n. 棒球；棒球运动
bass,"n. 鲈鱼；男低音；低音部；椴树
adj. 低音的"
bath,"n. 沐浴；浴室；浴盆
vt. 洗澡
vi. 洗澡"
bathe,"n. 洗澡；游泳
vt. 沐浴；用水洗
vi. 洗澡；沐浴"
battalion,n. 营，军营；军队，部队
batter,"n. 击球手；（用鸡蛋、牛奶、面粉等调成的）糊状物；墙面的倾斜
vt. 猛击；打坏；使向上倾斜
vi. 接连猛击；向上倾斜"
beetle,"n. 甲虫；大槌
vt. 用槌打
vi. 急忙来回；突出"
beg,"vi. 乞讨；请求
vt. 乞讨；恳求；回避正题"
beggar,"n. 乞丐；穷人；家伙
vt. 使贫穷；使沦为乞丐"
belly,"n. 腹部；胃；食欲
vt. 使鼓起
vi. 涨满；鼓起"
biscuit,n. 小点心，饼干
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
blonde,"n. 白肤金发碧眼的女人
adj. 亚麻色的；金色的；白皙的；白肤金发碧眼的"
