barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
cajole,vt. 以甜言蜜语哄骗；勾引
colleague,n. 同事，同僚
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
dispense,"vi. 免除，豁免
vt. 分配，分发；免除；执行"
distribute,vt. 分配；散布；分开；把…分类
gingerly,"adj. 谨慎的；轻手轻脚的；慎重的
adv. 小心翼翼地；慎重地"
cautiously,adv. 慎重地，谨慎地
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
humiliate,vt. 羞辱；使…丢脸；耻辱
disgrace,"n. 耻辱；丢脸的人或事；失宠
vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜"
obstruct,"vt. 妨碍；阻塞；遮断
vi. 阻塞；设障碍"
impede,vt. 阻碍；妨碍；阻止
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
recapture,"vt. 夺回；拿回；再体验；政府征收再经历
n. 夺回；取回；政府对公司超额收益或利润的征收"
retake,"n. 重考；重新摄录；重新摄录的照片或录音
vt. 再取；重拍；补考"
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
slender,adj. 细长的；苗条的；微薄的
vicinity,n. 邻近，附近；近处
neighborhood,n. 附近；街坊；接近；街区
arctic,"n. 北极圈；御寒防水套鞋
adj. 北极的；极寒的"
antarctic,"adj.南极的, 南极地带的"
attic,n. 阁楼；顶楼；鼓室上的隐窝
basement,n. 地下室；地窖
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
dishonest,adj. 不诚实的；欺诈的
candid,adj. 公正的；坦白的；率直的；偷拍的
drunken,adj. 喝醉的；酒醉的；常醉的
sober,"adj. 冷静的，清醒的；未醉的
vt. 使严肃；使醒酒，使清醒"
foe,n. 敌人；反对者；危害物
friend,n. 朋友；助手；赞助者
foresee,vt. 预见；预知
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
jolly,"adj. 愉快的；欢乐的；宜人的
adv. 很；非常
vt. （口）用好话劝某人做…；（口）用好话使高兴
vi. （口）开玩笑"
gloomy,adj. 黑暗的；沮丧的；阴郁的
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
mistress,n. 情妇；女主人；主妇；女教师；女能人
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
prefix,"n. 前缀
vt. 加前缀；将某事物加在前面"
suffix,"n. 后缀；下标
vt. 添后缀"
relax,"vi. 放松，休息；松懈，松弛；变从容；休养
vt. 放松；使休息；使松弛；缓和；使松懈"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
allege,vt. 宣称，断言；提出…作为理由
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
exalt,"vt. 提升；提拔；赞扬；使得意
vi. 使人得意"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
industrialize,"vt. 使工业化
vi. 实现工业化"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
slaughter,"n. 屠宰，屠杀；杀戮；消灭
vt. 屠宰，屠杀；杀戮；使惨败"
statistics,n. 统计；统计学； 统计资料
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
trifle,"n. 琐事；蛋糕；少量
vt. 浪费；虚度
vi. 开玩笑；闲混；嘲弄"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
armor,"n.  装甲；盔甲
vt. 为…装甲"
buzz,"n. 嗡嗡声
vt. 使嗡嗡叫；暗中散布
vi. 作嗡嗡声；东奔西忙
n. 网络口碑（消费者或网民对于品牌、产品等广告主在乎的事情在网上发出的各种声音）"
cancer, 巨蟹座
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
infantry,n. 步兵；步兵团
monk,n. 僧侣，修道士；和尚
orchard,n. 果园；果树林
pirate,"n. 海盗；盗版；侵犯专利权者
vt. 掠夺；翻印；剽窃
vi. 做海盗；从事劫掠"
sullen,adj. 愠怒的，不高兴的；（天气）阴沉的；沉闷的
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
usher,"n. 引座员，带位员；接待员；门房
vi. 作招待员；当引座员
vt. 引导，招待；迎接；开辟"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
embezzle,vt. 盗用；挪用；贪污
coarse,adj. 粗糙的；粗俗的；下等的
vulgar,"n. 平民，百姓
adj. 粗俗的；通俗的；本土的"
legend,n. 传奇；说明；图例；刻印文字
mischief,n. 恶作剧；伤害；顽皮；不和
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
insist,"vi. 坚持，强调
vt. 坚持，强调"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
prudent,adj. 谨慎的；精明的；节俭的
careful,adj. 仔细的，小心的
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
coincident,adj. 一致的；符合的；同时发生的
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
spatter,"n. 溅；洒；泼溅的污迹；少量
vt. 溅；洒；污蔑
vi. 洒落；溅出水滴"
stubborn,adj. 顽固的；顽强的；难处理的
obstinate,adj. 顽固的；倔强的；难以控制的
symptom,n.  症状；征兆
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
trait,n. 特性，特点；品质；少许
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
vile,adj. 卑鄙的；邪恶的；低廉的；肮脏的
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
adequate,adj. 充足的；适当的；胜任的
insufficient,"adj. 不足的，不充足的；不胜任的；缺乏能力的
n. 不足；缺乏"
careless,adj. 粗心的；无忧无虑的；淡漠的
attentive,adj. 留意的，注意的
chaos,n. 混沌，混乱
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
eminent,adj. 杰出的；有名的；明显的
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
fertile,adj. 富饶的，肥沃的；能生育的
sterile,adj. 不育的；无菌的；贫瘠的；不毛的；枯燥乏味的
futile,adj. 无用的；无效的；没有出息的；琐细的；不重要的
useful,adj. 有用的，有益的；有帮助的
grim,adj. 冷酷的；糟糕的；残忍的
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
impolite,adj. 无礼的；粗鲁的
courteous,adj. 有礼貌的；谦恭的
vague,adj. 模糊的；含糊的；不明确的；暧昧的
distinct,adj. 明显的；独特的；清楚的；有区别的
astronomy,n. 天文学
controversy,n. 争论；论战；辩论
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
nominate,vt. 推荐；提名；任命；指定
provoke,vt. 驱使；激怒；煽动；惹起
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
tyrant,n. 暴君
vigor,n.  活力，精力
blot,"n. 污点，污渍；墨水渍
vt. 涂污，弄脏；用吸墨纸弄干（或除去）
vi. 吸墨水；弄上墨渍或污渍"
caress,"n. 爱抚，拥抱；接吻
vt. 爱抚，抚抱"
chuckle,"n. 轻笑，窃笑
vi. 咯咯的笑，轻声地笑
vt. 轻声笑着表示"
claw,"n. 爪；螯，钳；爪形器具
vi. 用爪抓（或挖）
vt. 用爪抓（或挖）"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
dainty,"n. 美味
adj. 美味的；讲究的；秀丽的；挑剔的"
hermit,n. （尤指宗教原因的）隐士；隐居者
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
phenomenon,n. 现象；奇迹；杰出的人才
spectator,n. 观众；旁观者
thrash,"n. 打谷；逆风浪行进；踢水动作
vt. 打；使逆行
vi. 打谷；白忙；猛烈摆动"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
implore,"vt. 恳求或乞求
vi. 恳求或乞求"
bustle,"n. 喧闹；活跃；裙撑；热闹的活动
vt. 使忙碌；催促
vi. 喧闹；忙乱；充满"
fuss,"n. 大惊小怪，大惊小怪的人；小题大作；忙乱
vt. 使烦恼，使烦忧
vi. 小题大作；忙乱；焦燥；焦急；无事自扰"
crave,"vi. 渴望；恳求
vt. 渴望；恳求"
covet,"vt. 垂涎；觊觎
vi. 垂涎；觊觎"
discord,"n. 不和；不调和；嘈杂声
vi. 不一致；刺耳"
disagreement,n. 不一致；争论；意见不同
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
training,"n. 训练；培养；瞄准；整枝
v. 训练；教养（train的ing形式）"
eventually,adv. 最后，终于
ultimately,adv. 最后；根本；基本上
futile,adj. 无用的；无效的；没有出息的；琐细的；不重要的
vain,adj. 徒劳的；自负的；无结果的；无用的
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
foretell,"vt. 预言；预示；预告
vi. 预言；预示；预告"
raid,"n. 袭击；突袭；搜捕；抢劫
vt. 袭击，突袭
vi. 对…进行突然袭击"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
repel,vt. 击退；抵制；使厌恶；使不愉快
repulse,"n. 拒绝；击退
vt. 拒绝；驱逐；憎恶"
rouse,"n. 觉醒；奋起
vt. 唤醒；激起，使振奋；惊起
vi. 醒来；奋起"
awaken,"vt. 唤醒；唤起；使…意识到
vi. 觉醒；醒来；意识到"
tolerate,vt. 忍受；默许；宽恕
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
hospitable,adj. 热情友好的；（环境）舒适的
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
inevitable,adj. 必然的，不可避免的
avoidable,adj. 可避免的；可作为无效的；可回避的
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
distinct,adj. 明显的；独特的；清楚的；有区别的
optimism,n. 乐观；乐观主义
pessimism,n. 悲观，悲观情绪；厌世主义
serene,"n. 平静；晴朗
adj. 平静的；安详的；清澈的；晴朗的
vt. 使平静"
agitated,"v. 焦虑；鼓动（agitate的过去分词）
adj. 激动的；焦虑的；表现不安的"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
fullness,n. 充满；丰富；完全；成熟
veteran,"n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的"
apprentice,"n. 学徒；生手
vt. 使…当学徒
vi. 当学徒"
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
allegiance,n. 效忠，忠诚；忠贞
analyze,vt. 对…进行分析，分解（等于analyse）
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
fluent,adj. 流畅的，流利的；液态的；畅流的
friction,n. 摩擦， 摩擦力
miser,n. 守财奴；吝啬鬼；（石油工程上用的）凿井机
monarch,n. 君主，帝王；最高统治者
partition,"n. 划分，分开； 分割；隔墙；隔离物
vt.  分割；分隔；区分"
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
succession,n. 连续；继位；继承权； 演替
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
flush,"n. 激动，洋溢；面红；萌芽；旺盛；奔流
adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
vt. 使齐平；发红，使发亮；用水冲洗；使激动
vi. 发红，脸红；奔涌；被冲洗"
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽"
grunt,"n. 咕哝；呼噜声
vt. 咕哝着说
vi. 作呼噜声；发哼声"
junction,n. 连接，接合；交叉点；接合点
pinch,"n. 匮乏；少量；夹痛
vt. 捏；勒索；使苦恼；掐掉某物，修剪
vi. 夹痛；节省"
prairie,n. 大草原；牧场
rim,"n. 边，边缘；轮辋；圆圈
vt. 作…的边，装边于
vi. 作…的边，装边于"
shove,"n. 推；挤
vt. 挤；强使；撞；猛推"
stammer,"n. 口吃；结巴
vt. 口吃；结巴着说出
vi. 口吃；结结巴巴地说"
technical,adj. 工艺的，科技的；技术上的；专门的
tint,"n. 色彩；浅色
vt. 染（发）；给…着色"
amaze,vt. 使吃惊
surprise,"n. 惊奇，诧异；突然袭击
adj. 令人惊讶的
vt. 使惊奇；奇袭"
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
belongings,n.  财产，所有物；亲戚
possessions,n.  财产；所有物（possession的复数形式）
besiege,vt. 围困；包围；烦扰
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
congregate,"vi. 聚集
adj. 集合在一起的
vt. 聚集"
fowl,"n. 家禽；鸟；飞禽
vi. 打鸟；捕野禽"
poultry,"n. 家禽
家禽肉"
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
coarse,adj. 粗糙的；粗俗的；下等的
menace,"n. 威胁；恐吓
vi. 恐吓；进行威胁
vt. 威胁；恐吓"
intimidation,n. 恐吓，威胁
rapture,"n. 兴高采烈
vt. 使…狂喜"
ecstasy,n. 狂喜；入迷；忘形
renowned,"v. 使有声誉（renown的过去分词）
adj. 著名的；有声望的"
famous,adj. 著名的；极好的，非常令人满意的
stool,"n. 凳子；粪便；厕所
vt. 引诱，诱捕
vi. 长新枝；分檗"
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
verify,vt. 核实；查证
certify,v. 证明；保证
abnormal,adj. 反常的，不规则的；变态的
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
abundance,n. 充裕，丰富
shortage,n. 缺乏，缺少；不足
apprentice,"n. 学徒；生手
vt. 使…当学徒
vi. 当学徒"
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
bearable,adj. 可忍受的；支持得住的
intolerable,adj. 无法忍受的；难耐的
immortal,"n. 神仙；不朽人物
adj. 不朽的；神仙的；长生的"
dying,"n. 死，死亡
v. 死，死亡；枯萎；失去活力（die的ing形式）
adj. 临终的，垂死的"
innumerable,adj. 无数的，数不清的
countable,adj. 可计算的；能算的
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
consequent,"n. 结果
adj. 随之发生的；作为结果的"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
near,"adj. 近的；亲近的；近似的
adv. 近；接近
prep. 靠近；近似于"
repose,"n. 休息；睡眠；静止
vt. 使休息；寄托于
vi. 休息；座落；长眠；依靠；静卧；建立于"
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
shrewd,"n. 精明（的人）；机灵（的人）
adj. 精明的；狡猾的；机灵的"
stupid,"n. 傻瓜，笨蛋
adj. 愚蠢的；麻木的；乏味的"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
comprehend,vt. 理解；包含；由…组成
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
glorify,vt. 赞美；美化；崇拜（神）；使更壮丽
priority,n. 优先；优先权； 优先次序；优先考虑的事
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
repetition,n. 重复；背诵；副本
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
behalf,n. 代表；利益
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
domain,n. 领域；域名；产业；地产
morsel,n. 一口；（食物）少量
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
transit,"n. 运输；经过
vt. 运送
vi. 经过"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
warily,adv. 警惕地；谨慎地；留心地
allot,vt. 分配；拨给；分派
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
banner,"n. 横幅图片的广告模式
n. 旗帜，横幅,标语"
flag,"n. 标志；旗子
vt. 标记；插旗
vi. 标记；衰退；枯萎"
cliff,n. 悬崖；绝壁
bluff,"n. 吓唬；绝壁；断崖
vi. 吓唬
adj. 直率的；陡峭的
vt. 吓唬；愚弄"
crook,"n. 骗子，坏蛋；弯处，弯曲部分；钩状物
vt. 使弯曲；欺骗，诈骗
vi. 弯曲，成钩形"
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于"
ensue,"vi. 跟着发生，接着发生；继起
vt. 追求"
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
opening,"n. 开始；机会；通路；空缺的职位
adj. 开始的
v. 开放（open的ing形式）；打开；公开"
hoard,"n. 贮藏物
vt. 贮藏
vi. 积聚钱财；贮藏货物"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
marsh,"n. 沼泽；湿地
adj. 沼泽的；生长在沼泽地的"
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
groan,"n. 呻吟；叹息；吱嘎声
vt. 呻吟；抱怨
vi. 呻吟；抱怨；发吱嘎声"
notorious,adj. 声名狼藉的，臭名昭著的
infamous,adj. 声名狼藉的；无耻的；邪恶的；不名誉的
sermon,"n. 布道；训诫；启示；冗长的讲话
vt. 对…布道；对…说教
vi. 布道"
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
location,n. 位置（形容词locational）；地点；外景拍摄场地
suppress,vt. 抑制；镇压；废止
subdue,vt. 征服；抑制；减轻
agony,n. 苦恼；极大的痛苦；临死的挣扎
joy,"n. 欢乐，快乐；乐趣；高兴
vi. 欣喜，欢喜
vt. 高兴，使快乐"
desolate,"adj. 荒凉的；无人烟的
vt. 使荒凉；使孤寂"
cozy,"n. 保温罩
vt. 蒙骗；抚慰
adj. 舒适的；安逸的"
everlasting,adj. 永恒的；接连不断的
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
idiot,n. 笨蛋，傻瓜；白痴
genius,n. 天才，天赋；精神
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
finite,"n. 有限之物
adj. 有限的；限定的"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
disintegrate,"vi. 瓦解；碎裂；衰变
vt. 使分解；使碎裂；使崩溃；使衰变"
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
irresponsible,adj. 不负责任的；不可靠的
miscellaneous,adj. 混杂的，各种各样的；多方面的，多才多艺的
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
revenue,n. 税收，国家的收入；收益
expenditure,n. 支出，花费；经费，消费额
trifling,"adj. 微不足道的；轻浮的
v. 浪费，闲聊（trifle的现在分词）"
important,adj. 重要的，重大的；有地位的；有权力的
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
architecture,n. 建筑学；建筑风格；建筑式样；架构
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
concept,n. 观念，概念
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
edit,"vt. 编辑；校订
n. 编辑工作"
portrait,n. 肖像；描写；半身雕塑像
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
pulse,"n.  脉冲；脉搏
vt. 使跳动
vi. 跳动，脉跳"
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
transparent,adj. 透明的；显然的；坦率的；易懂的
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
bullet,"n. 子弹；只选某党全部候选人的投票；豆子
vi. 射出；迅速行进"
congressman,n. 国会议员；众议院议员
flake,"n. 小薄片；火花
vt. 使…成薄片；将…剥落
vi. 剥落；成片状剥落"
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
nuisance,n. 讨厌的人；损害；麻烦事；讨厌的东西
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
scramble,"n. 抢夺，争夺；混乱，混乱的一团；爬行，攀登
vi. 爬行，攀登；不规则地生长；仓促行动
vt. 攀登；使混杂，仓促凑成；扰乱"
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
strait,"n. 海峡；困境
adj. 狭窄的；苦恼的"
submarine,"n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
weave,"vi. 纺织；编成；迂回行进
vt. 编织；编排；使迂回前进
n. 织物；织法；编织式样"
zinc,"n. 锌
vt. 镀锌于…; 在…上镀锌"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
awe,"n. 敬畏
vt. 使敬畏；使畏怯"
dread,"n. 恐惧；可怕的人（或物）
vt. 惧怕；担心
adj. 可怕的
vi. 惧怕；担心"
commence,v. 开始；着手；<英>获得学位
begin,"vi. 开始；首先
vt. 开始"
conceit,"n. 自负；狂妄；幻想
vt. 幻想"
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
discharge,"n. 排放；卸货；解雇
vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出"
glisten,"n. 闪光，闪耀
vi. 闪光，闪亮"
glitter,"vi. 闪光；闪烁
n. 闪光；灿烂"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
hearty,"n. 朋友们；伙伴们
adj. 衷心的；丰盛的；健壮的；精神饱满的"
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
kin,"n. 亲戚；家族；同族
adj. 同类的；有亲属关系的；性质类似的"
kindred,"adj. 同类的；血缘的；同族的
n. 家族；相似；亲属关系"
peep,"n. 偷看；隐约看见，瞥见
vi. 窥视；慢慢露出，出现；吱吱叫
vt. 使出现"
peek,"n. 偷看；一瞥，看一眼
vi. 窥视，偷看"
