agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
hexameter,"n. 六步格的诗；六步格
adj. 六步格的"
hologram,n.  全息图；全息摄影，全息照相
holography,n. 全息术；全息摄影； 全息照相术
holophone,n. 全息录音机
holocrystalline,adj. 全晶质的，全晶的
holophote,n. 全光反射装置，全反射镜; 全射镜
holohedron,n. 全面体
homotype,n. 同型，同模标本
homopolar,adj. 同极的，单极的
homosexual,"n. 同性恋者
adj. 同性恋的"
homophone,n. 同音异形异义字
homocentric,adj. 同心的，同圆心的
homograph,n. 同形异义字
homothermic, 恒温的，体温恒定的，温血的
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
hypermilitant,adj. 极端好战的
hyperslow,a. 极慢的
hypersensitive,adj. 过敏的；高灵敏度的；超感光度的
hypersuspicious,a. 极其多疑的
hypersexual,adj. 非常好色的，性欲过度的，纵欲的
hyperverbal,"a. 说话过多的, 极其罗唆的"
hypercriticism,"n. 苛评, 苛求"
hyperactive,adj. 极度活跃的；活动过度的
hypersonic,adj. 极超音速的； 特超声速的
hyperacid,"a. 酸过多的, 胃酸过多的
 酸过多的"
hyposensitize,v. 使敏感度减弱，消除过敏
hypodermic,"n. 皮下注射；皮下注射器
adj. 皮下的"
hypoglossal,"n. 舌下神经
adj. 舌下的；舌下神经的"
hypothermia,n. 降低体温；低体温症
hypotension,n. 低血压，血压过低
hypochlorite,n.  次氯酸盐；低氧化氯
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
illogical,adj. 不合逻辑的；不合常理的
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
illimitable,adj. 无限的；无边际的
illocal,"a. 不只一处的, 无所不在的"
illiberal,adj. 偏执的；吝啬的；粗鄙的；狭隘的；缺乏文化素养的
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
impossible,"n. 不可能；不可能的事
adj. 不可能的；不可能存在的；难以忍受的；不真实的"
immemorial,adj. 远古的，古老的；无法追忆的
imperfect,"n. 未完成体
adj. 有缺点的；未完成的；半过去的；未完成时的
adv. 有瑕疵地；有缺点地"
immoral,adj. 不道德的；邪恶的；淫荡的
impolite,adj. 无礼的；粗鲁的
impure,adj. 不纯的；肮脏的；道德败坏的
impassive,adj. 冷漠的；无感觉的
imbalance,n. 不平衡；不安定
impersonal,"n. 非人称动词；不具人格的事物
adj. 客观的；非个人的；没有人情味的；非人称的"
immaterial,adj. 非物质的；无形的；不重要的；非实质的
immovable,adj. 不动的；固定的；不改变的
impassable,adj. 不能通行的（名词impassability，副词impassably）；无路可通的
immortal,"n. 神仙；不朽人物
adj. 不朽的；神仙的；长生的"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
imprison,vt. 监禁；关押；使…下狱
immigrate,"vi. 移入
vt. 使移居入境"
imbibe,vt. 吸收，接受；喝；吸入
immission,n. 注入，引入，允许进入
immerge,vi. 浸入；埋头；隐没
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
immanacle, 加以手铐
impel,vt. 推动；驱使；激励
imbrute,vt. 使沦为禽兽，堕落，（使）残忍
imperil,vt. 危及；使陷于危险
impearl,vt. 使形成珍珠状，用珍珠装饰
imparadise,vt. 使登天堂，使成乐园
impaste,vt. 用浆糊封，使成糊状
impawn,vt. 抵押，典当，立誓（忠诚等）
impassion,vt. 激动，激起热情
inglorious,adj. 可耻的；不名誉的；不体面的
incapable,adj. 不能的；无能力的；不能胜任的
incorrect,adj. 错误的，不正确的；不适当的；不真实的
incomparable,"n. 盖世无双的人
adj. 无比的；无可匹敌的；不能比较的"
incomplete,adj. 不完全的； 不完备的
insensible,adj. 昏迷的；无知觉的；麻木不仁的
inhuman,adj. 残忍的；野蛮的；无人性的
inartistic,adj. 非艺术的，缺乏艺术性的，无味的
injustice,n. 不公正；不讲道义
informal,adj. 非正式的；不拘礼节的；随便的；通俗的；日常使用的
inside,"prep. 少于；在…之内
n. 里面；内部；内情；内脏
adj. 里面的；内部的；秘密的
adv. 在里面"
inbreak,n. 入侵; 闯进; 冒落
indoor,adj. 室内的，户内的
intake,n. 摄取量；通风口；引入口；引入的量
inland,"n. 内地；内陆
adj. 内陆的；内地的；国内的
adv. 在内地；向内地；向内陆；在内陆"
inbreathe,v. 吸入
inject,vt. 注入；注射
inrush,n. 涌入；侵入；流入
inspirit,vt. 激励，鼓舞；使振奋
inflame,"vt. 激怒；使燃烧；使发炎
vi. 燃烧；发炎；激动"
intrench,v. 用壕沟围绕，固守，使起皱纹
intone,"vt. 吟诵；吟咏
vi. 吟诵；吟咏"
invigorate,vt. 鼓舞；使精力充沛
ingraft,v. 接枝，灌输
incurve,"n. 向内弯曲，向内弯曲的事物
v. 使向内弯曲"
infrared,"n. 红外线
adj. 红外线的"
infrastructure,n. 基础设施；公共建设；下部构造
infrahuman,"a. 类人猿的
n. 似人的生物"
infrasonic,adj. 次声的，使用次声的，次声所产生的
infrasound,n. 次声（风暴产生的低频音波）
infraorbital, 眶下的
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
interlay,vt. 插入中间，插于中间装饰
intercontinental,adj. 洲际的；大陆间的
interline,"adj. 不同路线间联运的
vi. 在字行间书写或作注
vt. 在字行间书写或插入；印刷于行间"
interoceanic,adj. 大洋间的
interplant,n. 间作，套种
intercity,adj. 城市间的
intersexual,adj. 两性间的；具有两性特征的
interpersonal,adj. 人际的；人与人之间的
intergroup,adj. （社会，种族）团体之间的
interchange,"n. 互换；立体交叉道
vt. （指两人等）交换；互换
vi. 交换；相互交换"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
interweave,vt. （使）交织；织进；（使）混杂
intermix,"vt. 使…混杂；使…混合
vi. 混杂；混和"
interdependence,n. 互相依赖
intercourse,n. 性交；交往；交流
interconnect,"vi. 互相联系
vt. 使互相连接"
intraparty,adj. 政党内的
intrapersonal,adj. 内心的；个人头脑中的
intracity,adj. 市内的
intraregional,adj. 地区内部的
intraday,adj. 当天的；一天内的
intracompany,adj. 公司内的，公司雇员间的
intracollegiate,找不到解释
intra-trading,n. 内部贸易
intracloud,adj. 云层内的
intraoffice, 局内；办公室内的
introduce,vt. 介绍；引进；提出；采用
introflection, 向内弯曲
introspect,"vt. 对…进行自省
vi. 反省；内省"
intromit,vt. 使进入；插入
introvision," 内省, 自省"
introvert,"n. 内向的人；内翻的东西
vi. 成为内弯；成为性格内向的人
vt. 使内向；使内倾；使内弯"
irregular,"n. 不规则物；不合规格的产品
adj. 不规则的；无规律的；非正规的；不合法的"
irresistible,adj. 不可抵抗的；不能压制的；极为诱人的
irremovable,adj. 无法移动的，无法除去的
irrelative,adj. 无关系的；不关连的
irrational,"n.  无理数
adj. 不合理的；无理性的；荒谬的"
irresolute,adj. 优柔寡断的；踌躇不定的；无决断的
irrealizable,adj. 不能实现的，不能达到的
irreligious,adj. 无宗教的；反宗教的
irruption,n. 闯入，侵入；激剧繁殖
irrigate,"vt. 灌溉；冲洗；使清新
vi. 灌溉；冲洗"
isogon,n. 等角多边形
isotope,n. 同位素
isoelectric,adj. 等电位的，零电位差的
isomorph,n. 同构，同形，同形体
isoelectronic,adj. 等电子的
isospore,n. 同形孢子
isomagnetic,"n. 等磁线
adj. 等磁线的"
isotherm,n.  等温线
kilogram,n. 公斤；千克
kilowatt,n.  千瓦（功率单位）
kilometer,n.  公里； 千米（等于kilometre）
kilocycle,n. 千周
kiloton,n. 千吨
kilovolt,n. 千伏特
kilolitre,n. 公升，千升（容量单位）
kilocalorie,n.  千卡； 大卡
macroclimate,n.  大气候
macroworld,宏观世界
macroeconomics,"n. 宏观经济学
 宏观经济学的"
macrocosm,n. 宏观世界；宇宙
macrochange,找不到解释
macrostructure,n. 宏观结构
macroplan,找不到解释
macrophysics,n. 宏观物理学
macroscale,n. 宏观尺度；大规模
macrobian,"adj. 长寿的
n. 长寿的人"
macrosociology, 宏观社会学
macropod, 长足的；长尾的
maltreat,vt. 虐待；滥用；粗暴对待
malcontent,"adj. 不满的；不服的
n. 不满现状的人；反抗者"
malpractice,n. 玩忽职守；不法行为；治疗不当
maldevelopment,n. 畸形，变形
malnutrition,n. 营养失调，营养不良
malposition,n. 位置不正，胎位不正; 错位; 异位
malformation,n. 畸形；变形
malediction,n. 坏话，诅咒
maladministration,n. 管理不善；弊政
malodour,n. 难闻的气味，恶臭
malefaction,n. 罪行；罪恶；犯罪行为
malfunction,"vi. 发生故障；不起作用
n. 故障；失灵；疾病"
metaphysical,adj. 形而上学的；超自然的；玄学派诗歌的
metachemistry,"原子结构化学, 超级化学"
metageometrical,找不到解释
metamaterialist,n. 超物质论者；超物质论者
metaculture,n. 超越文化；超文化
metamorphosis,n. 变形；变质
metagenesis,n. 世代交替; 变生作用
metachromatism,n. 因光异色现象
metachrosis,n. 变色机能
microscope,n. 显微镜
microbiology,n. 微生物学
microsystem,n. 微小系统
microelement,n. 微量元素，微量饲料，微型元件
microworld,微型世界；微观世界
microskirt,"microskirt

n.
微型迷你裙，超超短裙，特超短裙
以上来源于：《21世纪大英汉词典》"
microwave,n. 微波
microbus,n. 中客车；微型客车；小型公共汽车
microprint,n. 缩影相片
microcomputer,n. 微电脑； 微型计算机
milligram,n. 毫克
millisecond,n. 毫秒
millimeter,n.  毫米
millilitre,n.  毫升
millennial,adj. 一千年的；千禧年的
millipede,n.  千足虫；倍足纲节动物（等于millepede）
millepore,n. 千孔虫，多孔螅
milligrade, 千度的
ministate,n. （面积狭小、人口极少的）超小国家
minibus,"n. 面包车（等于microbus）；小型公共汽车；中客车
vi. 乘中客车"
minipark,n. （城市中的）小公园
miniskirt,n. 超短裙；迷你短裙
minitrain,n. 微型火车，小火车
minishorts,n. 极短(或极小)的短裤
miniwar,"miniwar

n.
小规模战争，局部战争
以上来源于：《21世纪大英汉词典》"
minicrisis,短暂危机
minielection,n. 小型选举
miniradio,n. 微型(或小)收音机
misspell,"vt. 拼错
vi. 拼错"
mishear,"vt. 听错
vi. 听错"
misread,vt. 误解；看错；读错
misremember,vt. 记错
misuse,"vt. 滥用；误用；虐待
n. 滥用；误用；虐待"
misdoing,"n. 犯罪；坏事
v. 做错事（misdo的现在分词）"
misunderstand,vt. 误解；误会
mistreat,vt. 虐待
mistranslate,vt. 错译; 误译
misrule,"n. 暴政
vt. 施暴政"
misstep,"n. 失足；过失；踏错；失策
vi. 失足；走上歧途"
mistrust,"vt. 不信任；怀疑
vi. 不信任；怀疑
n. 不信任；怀疑"
mispolicy, 失策
misfortune,n. 不幸；灾祸，灾难
monosyllable,n. 单音节词
monatomic,adj. 单原子的
monodrama,n. 单人剧，独脚戏
monocycle,n. （尤指杂技演员用的）独轮车; 单环; 单轮脚踏车
monotone,"n. 单调；单音调
adj. 单调的
vt. 单调地读"
monoplane,n.  单翼机
monarch,n. 君主，帝王；最高统治者
monoxide,n.  一氧化物
multiparty,adj. 多党的; 包括多党的; 包含多党党员的; 导致多党并存的选举（或政治）制度的
multi-purpose,adj. 多用途的，多功能的
multinational,"adj. 跨国公司的；多国的
n. 跨国公司"
multidirectional,adj. 多方向的
multicentric,adj. 多发源点的，发生于多中心的，影响多中心的
multistorey,adj. （建筑物）多层的
multiracial,adj. 多民族的
multilingual,"adj. 使用多种语言的
n. 使用多种语言的人"
multiform,adj. 多样的；多种形式的
multiheaded, （核武器）多弹头的
multilateral,adj.  多边的；多国的，多国参加的
multicoloured,adj. 多色彩的
neorealism,n. 新实在论，新现实主义
neonatal,adj. 新生的；初生的
neogamist, 新婚者
neocolonialism,n. 新殖民主义
neolithic,adj.  新石器时代的；早先的
neoimperialism,n. 新帝国主义
neoimpressionism,n. 新印象主义，新印象画派(19世纪末由法国印象派发展而来的一个流派)
neofascism,n. 新法西斯主义
nonsmoker,n. 不抽烟的人; 禁止抽烟的列车车厢
nonaligned,adj. 中立的，不结盟的
nondrinker,n. 戒酒的人，不喝酒的人
nonexistent,adj. 不存在的
noncooperation,n. 不合作，反抗性的不合作
nonstop,"adj. 直达的；不休息的；不着陆的
n. 直达车
adv. 不休息地"
noncontinuous,adj. 不连续的，间断的
nonnatural,adj. 违背自然的，强迫的
nonproductive,adj. 非生产性的，对生产无直接关系的
nonhuman,adj. 非人类的
nonmetal,n. 非金属（元素）
nonwhite,"adj. 非白人的
n. 非白人"
nonconductor,n. 不传导体，绝缘体
nonperiodic,adj. 非周期的
nonage,n. 青年时期; 早期; 未成熟; 未成年
noneffective,"n. 无效；无战斗力
adj. 无效的；无战斗力的"
nonpayment,n. 拒付
nonparty,adj. 无党派的
nonsexual,adj. 无性别的；无性的；无性生物特有的
nonreader,n. 无法阅读的人，阅读能力很差的小学生
nonelastic,adj. 无弹性的
octagon,n. 八边形，八角形
octosyllable,n. 八音节字，八音节的诗句
October,n.  十月
octolateral,找不到解释
octameter,n. 八步格
octocentenary,adj. 800年的，持续800年的，800周年纪念的
octachord,n. 八的合音，八弦琴，八度音阶
octavalent,adj. 八价的
omnipresent,adj. 无所不在的
omnipotent,adj. 无所不能的；全能的；有无限权力的
omnidirectional,adj. 全方向的
omniform,adj. 呈现各种形态的，千姿百态的
omnibus,"n. 公共汽车；精选集；文集
adj. 综合性的；总括的；（包括）多项的"
omnirange,n. 多向导航系统; 全向导航
omniparity,n. 一切平等
omniscient,"adj. 全知的；无所不知的
n. 上帝；无所不知者"
outdo,vt. 超过；胜过
outrun,vt. 超过；跑得比…快；从…逃脱
outlive,vt. 比…活得长；比…经久；经受住；渡过…而存在
outbrave,v. 在勇气上超过
outgo,"v. 走得比…远或快，优于
n. 支出，消耗"
outact,vt. 行动上胜过
outeat,vt. 吃得比…多
outnumber,vt. 数目超过；比…多
outsize,"adj. 特大的
n. 特大号"
outspend,vt. 开支比…更大
outsit,v. 比…坐得更久，坐得超过…时间限度
outwear,vt. 穿破，穿坏；比…经久耐用；用旧；使筋疲力尽
outdream, 做梦太多
outgrow,vt. 过大而不适于；出生；长大成熟而不再
outdoor,adj. 户外的；露天的；野外的（等于out-of-door）
outflow,"n. 流出；流出量；流出物
vi. 流出"
out-city, 城市之外
out-party,n. 在野党
outwork,"n. 户外工作；外垒
vt. 工作比…做得更好"
outtell,vt. 说出；宣告，宣布; 比…更能讲述；叙述效果超过; 全部讲完
outhouse,n. 外屋；屋外厕所；附属建筑物
outrush,n. 冲出，涌出
outroot,vt. 根绝
outlaw,"n. 歹徒；罪犯；亡命之徒；被剥夺法律保护者
vt. 宣布…为不合法；将…放逐；剥夺…的法律保护"
outgas,vt. 除去…的气
overstudy,"vt. 使…用功过度
vi. 用功过度
n. 过度用功"
overpraise,"vt. 过度称赞，过奖
n. 过奖"
overtalk,n. 讲话太多
overpay,"vt. 多付；多给报酬
vi. 多付"
overuse,"n. 过度使用
vt. 把…使用过度"
overdrink,vt. 饮过量
overwork,"vi. 工作过度
vt. 工作过度
n. 过度工作
过度工作的"
overproduction,n. 生产过剩；过度产生
overbridge,n. 天桥；旱桥
oversea,"adj. 外国的；在海外的
adv. 国外；向国外，向海外"
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
overcoat,n. 大衣，外套
overleap,v. 越过
overshoe,n. 套鞋
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
overfly,"vt. 飞越
vi. 飞越"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
overset,v. 打翻; 颠覆; 推翻; 为…排版过密
paleozoology,n. 古动物学
Paleolithic,adj. 旧石器时代的
paleobotany,n. 古植物学
paleography,n. 古文书，古文书学；古字体
paleoclimate,n. 古气候，地质气候
paleochronology,n. 古年代学
paleoanthropology,n. 古人类学
paleophyte,古植代
Pan-American,adj. 泛美的；全美洲的
pancosmism,n. 泛宇宙论
pantheism,n. 泛神论；多神教
Pan-Asianism,n. 泛亚主义(寻求所有亚洲国家在政治上联合的运动或政策)；对泛亚主义的信仰(或支持)
pansophic,adj. 全知的；有广泛知识的
pantropical,adj. 遍布于热带的，泛热带的
panchromatic,adj. 全色的
Pan-African,"n. 泛非洲
adj. 泛非洲的"
para-party,找不到解释
paramilitary,"n. 准军事部队
adj. 准军事的；辅助军事的"
para-church, 福音机构；准教会；跨教会
para-academic,"adj. 半学术性的
n. 准学者"
para-institution,找不到解释
para-book,n. 类似书籍的刊物
parapolitical,adj. 准政治性的
parareligious, 半宗教性的
pararuminant,n. 类反刍动物
parastatal,"n. 半国营集团
adj. 半国营的"
para-governmental,找不到解释
paralanguage,n. 副语言（指手势语等），辅助语言，超语言（如呻吟声、叹息声等）
paraprofessional,"n. 辅助专职人员的人；专业人员的助手
adj. 辅助专职人员的；专业人员的助手的"
paralinguistics,n. 副语言学; 辅助语言学; 派生语言学; 超语言学
para-police,找不到解释
parabanking,n. 辅助银行业务
paratyphoid,n. 副伤寒
paralegal,"n. 律师帮办；律师的专职助手
adj. 辅助律师业务的"
paranuclein,"核仁素, 拟核蛋白"
paramedic,n. 护理人员；伞兵军医；伞降医务人员
parasite,n. 寄生虫；食客
parabiosphere,副生物圈
para-appendicitis, 阑尾旁炎
paracentral," 旁中央的, 近中心的"
parachronism,n. 年代记录错误
paraphasia,n. 语言错乱，错语症
paralogism,n. 谬论；背理
paramnesia,n. 记忆错误，错构症（指把真正的事实与幻想混淆在一起的记忆的歪曲或窜改）
parachromatism,"n. 色觉倒错
 色盲"
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
paraselene,n. 假月（一种淡色的月晕），幻月
parachute,"n. 降落伞
vi. 跳伞
空投"
parasol,n. 阳伞
parabomb,"n. 伞投炸弹,自动开伞空投器,带伞空投容器"
paradog,空降犬
paratroops,n. 伞兵部队
paradrop,"n. 空投补给；跳伞
vt. 空投；伞投"
paratrooper,n. 伞兵
parapack,n. 空投包
paraoperation,找不到解释
pararescue,n. <美>伞降救援
paramedic,n. 护理人员；伞兵军医；伞降医务人员
parakite,n. （可作降落伞用的）降落风筝
parashoot,vi. 射击敌人伞兵
paraglider,"n. 滑翔伞
滑翔伞运动员"
paraspotter,守望伞兵者
parawing,n. 翼伞
peninsula,n. 半岛
penultimate,"n. 倒数第二；倒数第二音节
adj. 倒数第二的；倒数第二音节的"
penumbra,n. 半影
peneplain,n. 准平原; 准平面
pentagon,n. 五角形
pentode,n. 五极真空管
pentachord,n. 五弦琴，五音音阶
pentavalent,adj. 五价的，五种价的
pentangular,adj. 有五个角的
pentameter,"n. 五步格诗
adj. 有五音步的"
pentagram,n.  五角星形
pentarchy,n. 五头统治，五国联合
pentatomic,adj. 五原子的，五元的
pentoxide,n.  五氧化物
perspective,"n. 观点；远景；透视图
adj. 透视的"
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
pernoctation,n. 彻夜不眠；失眠症
perennial,"n. 多年生植物
adj. 多年生的；常年的；四季不断的；常在的；反复的"
perfuse,vt. 灌注；洒遍；散布
perspire,"vt. 使流汗；分泌出
vi. 流汗；分泌；渗出"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
perorate,vi. 下结论，冗长地谈论
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
pervade,vt. 遍及；弥漫
perambulate,"vt. 巡行；巡视；漫步
vi. 漫步；巡回"
pervious,adj. 能被通过的；能接受的；可渗透的
perplex,vt. 使困惑，使为难；使复杂化
permute,vt. 交换；变更；排列
perturb,vt. 扰乱；使…混乱；使…心绪不宁
perfervid,adj. 非常热心的；热烈的
percussion,n.  叩诊；振动；碰撞；敲打乐器；打击乐器组
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
peroxide,"n. 过氧化氢；过氧化物
vt. 以过氧化氢漂白；以过氧化物处理
adj. 以过氧化氢漂白的"
peracid,n. 高酸，过酸
perchloride,n. 高氯化物
periodide,n. 高碘化物
persulphate,n. 过（二）硫酸盐
permanganate,n.  高锰酸盐
pericentral,  中枢周的
perigee,n. 近地点
perigon,n. 三百六十度角， 周角
perihelion,n.  近日点；最高点
period,"n. 周期，期间；时期；月经；课时；（语法学）句点，句号
adj. 某一时代的"
perilune,n. 近月点
perimeter,n. 周长；周界； 视野计
periastron,n. 近星点
periderm,n. 周皮; 胎皮
pericardial,adj.  心包的；围心的
pericarp,n. 果皮
periarticular,  关节周的
polycentric,adj. 多中心的
polytechnical,"adj. 工艺的
n. 工艺学校"
polysyllable,n. 多音节词（多于三个音节的词）
polydirectional,a. 多方向的
polyatomic,adj. 多原子的；多碱的，多酸的
polygon,n. 多边形；多角形物体
polycrystal,n. 多晶体
polyarchy,n. 多头政治
polyfunctional,adj. 多官能的；多重的
polyclinic,n. 综合医院，联合诊所
postwar,"n. 战后时期
adj. 战后的
adv. 战后；在战后"
postdate,"n. 事后日期；推迟日期
vt. 填迟……的日期；把……的日期填迟；继……之后"
post-liberation,adj. 解放后的
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
postgraduate,"n. 研究生，研究所学生
adj. 大学毕业后的"
postmeridian,adj. 午后的；午后发生的
postscript,n. 附言；又及
posttreatment,n. 后治疗，后处理
postoperative,"n. 手术后病人
adj. 手术后的"
postnatal,adj. 出生后的
postface,n. 刊后语
prewar,"adj. 战前的
adv. 在战前"
preposition,n. 介词；前置词
pre-liberation, 解放前的；之前
prefix,"n. 前缀
vt. 加前缀；将某事物加在前面"
preschool,"n. 幼儿园，育幼院
adj. 未满学龄的；就学前的，入学前的"
predawn,adj. 黎明前的
prehistory,n. 史前；史前史；（导致事件、危机等的）背景
preteen,"n. 青春期前的孩子；不满13岁的儿童
adj. 13岁以下的；青春期前的；接近青春期的"
precondition,"n. 前提；先决条件
vt. 预处理；事先准备"
prehuman,adj. 人类存在以前的，前人类的
preconference,n. 预备会议
predeparture,adj. 出发前的
preexamination,"n. 预试, 预先检查, 预考
 预先检查, 预检"
prepay,vt. 预付；提前缴纳
prebuilt,adj. 预制的，预建的
prejudge,"vt. 预先判断；对…预先作出判决
vi. 预先判断；对未经详察而预作判断"
premade,预先做的
preheat,vt. 预先加热
prechoose,vt. 预先选定
precool,vt. （在包装或装运之前）预冷，预冻
predetermine,vt. 预先确定；预先决定；预先查明
precook,vt. 预煮；预先烹调（食物）
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
prolong,vt. 延长；拖延
protrude,"vi. 突出，伸出
vt. 使突出，使伸出"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
prologue,"n. 开场白；序言
vt. 加上…前言；为…作序"
propel,vt. 推进；驱使；激励；驱策
pronoun,n. 代词
procurator,n. 检察官；代理人；行政长官
pro-consul,n. 代理领事
prolocutor,n. （尤指英国国教宗教会议下院的）主席; 发言人
pro-British,找不到解释
pro-Bolshevik,找不到解释
pro-American,找不到解释
proslavery,"n. （美）支持奴隶制度
adj. （美）支持奴隶制度的"
proabortionist,赞成堕胎者
protogenic,adj. 原生的
protocontinent,"n. 原始大陆(假设中的原始大陆,又称supercontinent)"
protohistory,n. 史前人类学
protozoology,n. 原生动物学
protolanguage,n. 原始母语
protozoan,"n. 原生动物
adj. 原生动物的"
prototype,n. 原型；标准，模范
protohuman,n.& adj. （人类的始祖）原人（的）
pseudo-democratic,a. 假民主的
pseudoclassic,adj. 拟古典的，伪古典的，拟古的
pseudomyopia, 假近视
pseudoscience,n. 伪科学；假科学
pseudopregnancy,n. 假妊娠，假孕
pseudonym,n. 笔名；假名
pseudocrystal,n. 赝晶体
pseudology,n. 谎话；说谎
pseudocompound,n. 假化合物
pseudograph,n. 伪书；伪作
quadrilingual,adj. 四国语言的
quadrangle,n. 四边形；方院
quadricycle,"n. 脚踏四轮车
adj. 四轮的"
quadrisyllable,n. 四音节字; 四音节词
quadrivalent,adj. 四价的
quadripartite,adj. 分成四组的，由四部组成的
quadrilateral,"n. 四边形
adj. 四边形的"
quadrennial,"n. 第四周年纪念
adj. 每四年一次的；连续四年的"
quadruped,"n.  四足动物
adj. 有四足的"
quadruplane,n. 四翼飞机
quasi-judicial,adj. 准司法性的
quasi-historical,adj. 带有历史性质的
quasi-legislative,adj. 准立法性的
quasi-shawl,n. 类似围巾的东西
quasi-official,adj. 半官方的
quasi-public,adj. 私营公用事业的
quasi-sovereign,adj. 半独立的
quasi-war,找不到解释
quasi-cholera,找不到解释
quasi-conductor, 半导体
quinquesyllable,五音节词
quinquangular,"a. 有五角的, 五角形的"
quinquesection, 五等分
quinquevalence,n. 五价
quinqueliteral, 有五字的
quinquennial,"n. 每五年发生一次的事件
adj. 每五年的，每隔五年发生一次的"
quinquepartite,adj. 分成五部的，由五部构成的
quinquelateral,a. 五边的
return,"vi. 返回；报答
adj. 报答的；回程的；返回的
vt. 返回；报答
n. 返回；归还；回球"
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
regress,"n. 回归；退回
vi. 逆行，倒退；复归
vt. 使…倒退"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
retract,"n. 收缩核
vt. 缩回；缩进；取消
vi. 缩回；缩进；撤消"
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
rebound,"n. 回弹；篮板球
v. 重新装订（rebind的过去式和过去分词）
vt. 使弹回
vi. 回升；弹回"
reprint,"n. 重印；翻版
vt. 再版；重印"
reexchange,"n. 再交换
 再交换, 再交易"
reproduction,n. 繁殖，生殖；复制；复制品
rearm,"vt. 使重整军备，使重新武装
vi. 重新武装，重整军备"
rebuild,"vt. 重建；改造，重新组装；复原
vi. 重建"
reconsider,"vt. 重新考虑；重新审议
vi. 重新考虑"
rebirth,n. 再生；复兴
reexamination,n. 再检查，再调查；重考
renumber,vt. 重编号
remarry,"vt. 使再婚
vi. 再婚"
restart,"n. 重新开始；返聘
vt.  重新启动；重新开始
vi.  重新启动；重新开始"
rebroadcast,"n. 重播；转播；重播（或转播）的节目
vt. 重播；转播
vi. 重播；转播"
reaction,n. 反应，感应；反动，复古；反作用
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
revolt,"n. 反抗；叛乱；反感
vt. 使反感；使恶心
vi. 反抗；反叛；反感，厌恶"
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
resent,vt. 怨恨；愤恨；厌恶
retrogress,vi. 倒退，退化
retrograde,"adj. 倒退的；退化的；次序颠倒的
vt. 使倒退
vi. 逆行；倒退；退步
adv. 倒退地；向后地"
retroact,vi. 回动，起反作用
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
retroject,vt. 向后抛；回想；掷回
retrocession,"n. 交还, 后退
 后退, 后移, 退行, 外消内攻"
