accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
laptop,n. 膝上型轻便电脑，笔记本电脑
interaction,"n. 相互作用； 交互作用
n. 互动"
acknowledge,vt. 承认；答谢；报偿；告知已收到
trivial,adj. 不重要的，琐碎的；琐细的
accomplish,vt. 完成；实现；达到
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
purse,"n. (女士)手提袋；(国家、家庭、团体等的) 财力
vt. （嘴巴）皱起，使缩拢；撅嘴"
explosion,n. 爆炸；爆发；激增
defend,"vi. 保卫；防守
vt. 辩护；防护"
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
defence,n. 防御；防卫；答辩；防卫设备
defensive,"n. 防御；守势
adj. 自卫的；防御用的"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
regime,n. 政权，政体；社会制度；管理体制
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
embarrass,vt. 使局促不安；使困窘；阻碍
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
incredible,adj. 难以置信的，惊人的
pottery,n. 陶器；陶器厂；陶器制造术
pilgrim,"n. 朝圣者；漫游者；（美）最初的移民
vi. 去朝圣；漫游"
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
boundary,n. 边界；范围；分界线
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
terrain,n.  地形，地势；领域；地带
horrify,vt. 使恐惧；惊骇；使极度厌恶
terrify,vt. 恐吓；使恐怖；使害怕
terrific,adj. 极好的；极其的，非常的；可怕的
territory,n. 领土，领域；范围；地域；版图
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
density,n. 密度
distribute,vt. 分配；散布；分开；把…分类
prominent,adj. 突出的，显著的；杰出的；卓越的
prestige,n. 威望，声望；声誉
perpetuate,"vt. 使不朽；保持
adj. 长存的"
benefactor,n. 恩人；捐助者；施主
path,n. 道路；小路；轨道
acceptable,adj. 可接受的；合意的；可忍受的
enrage,vt. 激怒；使暴怒
acquaintance,n. 熟人；相识；了解；知道
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
march,n. 三月
hitherto,adv. 迄今；至今
demographic,adj. 人口统计学的；人口学的
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
geographic,adj. 地理的；地理学的
autobiography,n. 自传；自传文学
biographical,adj. 传记的，传记体的
photograph,"n. 照片，相片
vt. 为…拍照；使深深印入
vi. 拍照；在照片上显得"
graph,"n. 图表；曲线图
vt. 用曲线图表示"
photographer,n. 摄影师；照相师
photographic,adj. 摄影的；逼真的；（尤指记忆）详细准确的
outweigh,vt. 比…重（在重量上）；比…重要；比…有价值
victory,n. 胜利；成功；克服
victim,n. 受害人；牺牲品；牺牲者
invalidate,vt. 使无效；使无价值
verify,vt. 核实；查证
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
pessimistic,adj. 悲观的，厌世的；悲观主义的
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
explicit,adj. 明确的；清楚的；直率的；详述的
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
cautious,adj. 谨慎的；十分小心的
cautiousness,n. 谨慎；小心
marvel,"n. 奇迹
vt. 对…感到惊异
vi. 感到惊讶"
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
rally,"n. 集会；回复；公路赛车会
vt. 团结；集合；恢复健康、力量等
vi. 团结；重整；恢复；（网球等）连续对打"
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
alliance,n. 联盟，联合；联姻
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
prevention,n. 预防；阻止；妨碍
critique,"n. 批评；评论文章
vt. 批判；评论"
dare,"n. 挑战；挑动
vt. 敢冒；不惧
vi. 敢；胆敢"
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
accessible,adj. 易接近的；可进入的；可理解的
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
gratification,n. 满意；喜悦；使人满意之事
activist,n. 积极分子；激进主义分子
chairman,n. 主席，会长；董事长
disgrace,"n. 耻辱；丢脸的人或事；失宠
vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜"
grace,"n. 优雅；恩惠；魅力；慈悲
vt. 使优美"
gratitude,n. 感谢（的心情）；感激
hall,n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
explanation,n. 说明，解释；辩解
reap,"vt. 收获，获得；收割
vi. 收割，收获"
rip,"n. 裂口，裂缝
vi. 裂开，被撕裂
vt. 撕；锯"
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
scene,n. 场面；情景；景象；事件
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
army,n. 陆军，军队
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
derive,"vt. 源于；得自；获得
vi. 起源"
pool,"n. 联营；撞球；水塘；共同资金
vt. 合伙经营
vi. 联营，合伙经营"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
council,n. 委员会；会议；理事会；地方议会；顾问班子
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
lineage,n. 血统；家系， 世系
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
disruption,n. 破坏，毁坏；分裂，瓦解
disruptive,adj. 破坏的；分裂性的；制造混乱的
corruption,n. 贪污，腐败；堕落
sharpen,"vt. 削尖；磨快；使敏捷；加重
vi. 尖锐；变锋利"
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
elite,n. 精英；精华；中坚分子
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
fierce,adj. 凶猛的；猛烈的；暴躁的
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
auto,"n. 汽车（等于automobile）；自动
vi. 乘汽车"
automobile,"n. 汽车
vt. 驾驶汽车
"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
atmosphere,n. 气氛；大气；空气
astonish,vt. 使惊讶
stun,"n. 昏迷；打昏；惊倒；令人惊叹的事物
vt. 使震惊；打昏；给以深刻的印象"
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
excellent,adj. 卓越的；极好的；杰出的
excellence,n. 优秀；美德；长处
tolerant,adj. 宽容的；容忍的；有耐药力的
tolerance,n. 公差；宽容；容忍；公差
sentiment,n. 感情，情绪；情操；观点；多愁善感
dense,adj. 稠密的；浓厚的；愚钝的
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
impartial,adj. 公平的，公正的；不偏不倚的
everlasting,adj. 永恒的；接连不断的
compliance,n. 顺从，服从；承诺
aggravate,vt. 加重；使恶化；激怒
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
vanity,n. 虚荣心；空虚；浮华；无价值的东西
vain,adj. 徒劳的；自负的；无结果的；无用的
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
misinterpretation,n. 误解；误释
questionable,adj. 可疑的；有问题的
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
initially,adv. 最初，首先；开头
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
legacy,n. 遗赠，遗产
appointment,n. 任命；约定；任命的职位
philharmonic,"n. 交响乐团；音乐爱好者；爱乐团体
adj. 交响乐团的；爱好音乐的"
harmony,n. 协调；和睦；融洽；调和
amendment,n. 修正案；改善；改正
regulatory,adj. 管理的；控制的；调整的
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
regrettably,adv. 遗憾地；抱歉地；可悲地
poetry,n. 诗；诗意，诗情；诗歌艺术
poem,n. 诗
lenient,adj. 宽大的；仁慈的
enviable,adj. 值得羡慕的；引起忌妒的
impinge,"vi. 撞击；侵犯
vt. 撞击"
doctrine,n. 主义；学说；教义；信条
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
guild,n. 协会，行会；同业公会
restrictive,"n. 限制词
adj. 限制的；限制性的；约束的"
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
metaphysical,adj. 形而上学的；超自然的；玄学派诗歌的
boson,n.  玻色子
arc,"n. 弧（度）；弧光（全称electric arc）；弧形物；天穹
adj. 圆弧的；反三角函数的
vt. 形成电弧；走弧线"
feverish,adj. 发热的；极度兴奋的
indictment,n. 起诉书；控告
intricacy,n. 错综，复杂；难以理解
superfluous,adj. 多余的；不必要的；奢侈的
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
haze,"n. 阴霾；薄雾；疑惑
vt. 使变朦胧；使变糊涂
vi. 变朦胧；变糊涂"
newsstand,n. 报摊；杂志摊
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
vague,adj. 模糊的；含糊的；不明确的；暧昧的
poach,"vt. 水煮；偷猎；窃取；把…踏成泥浆
vi. 偷猎；侵犯；剽窃"
booking,n. 预订；预约；演出契约
cascade,"n. 小瀑布，瀑布状物；串联
vi. 像瀑布般大量倾泻下来
vi. 像瀑布般悬挂着"
transaction,n. 交易；事务；办理；会报，学报
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
creature,n. 动物，生物；人；创造物
paternity,n. 父权；父系；父系后裔
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
allocation,n. 分配，配置；安置
subscriber,n. 订户；签署者；捐献者
convince,vt. 说服；使确信，使信服
win,"n. 赢；胜利
vt. 赢得；在…中获胜；劝诱
vi. 赢；获胜；成功"
fallout,n. 原子尘； 放射性尘埃；原子尘微粒回降；附带结果
lay,"vt. 躺下；产卵；搁放；放置；铺放；涂，敷
adj. 世俗的；外行的；没有经验的
n. 位置；短诗；花纹方向；叙事诗；性伙伴
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）"
layout,n. 布局；设计；安排；陈列
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
numerical,adj. 数值的；数字的；用数字表示的（等于numeric）
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
proverb,n. 谚语，格言；众所周知的人或事
mania,n. 狂热；狂躁；热衷
egalitarian,"n. 平等主义；平等主义者
adj. 平等主义的"
abolish,vt. 废除，废止；取消，革除
precedent,"n. 先例；前例
adj. 在前的；在先的"
bureaucrat,n. 官僚；官僚主义者
suppress,vt. 抑制；镇压；废止
proceeding,"n. 进行；程序；诉讼；事项
v. 开始；继续做；行进（proceed的ing形式）"
enlist,"vt. 使入伍；征募；谋取…的赞助或帮助
vi. 支持；从军；应募；赞助"
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
foresighted,adj. 有先见之明的，深谋远虑的，能预料的
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
emigrate,"vi. 移居；移居外国
vt. 移民"
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
delivery,n.  交付；分娩；递送
subscription,n. 捐献；订阅；订金；签署
absolutely,adv. 绝对地；完全地
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
bribery,n.  贿赂；受贿；行贿
preparation,n. 预备；准备
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
detach,vt. 分离；派遣；使超然
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
negotiation,n. 谈判；转让；顺利的通过
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
fixed,"adj. 确定的；固执的；<美口>处境...的；准备好的
v. 修理（过去式）"
idiom,n. 成语，习语；土话
predecessor,n. 前任，前辈
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
patchwork,n. 拼缝物，拼缀物；混杂物
physician,n.  医师；内科医师
domain,n. 领域；域名；产业；地产
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
inexpressible,adj. 不可言传的；难以形容的；不能用语言表达的
virgin,"n. 处女
adj. 处女的；纯洁的；未经利用的，处于原始状态的"
revelation,n. 启示；揭露；出乎意料的事；被揭露的真相
concertgoer,n. 常去听音乐会者
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
colleague,n. 同事，同僚
transcendence,n. 超越；卓越；超然存在
religion,n. 宗教；宗教信仰
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
naval,adj. 海军的；军舰的
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
credible,adj. 可靠的，可信的
artifact,n. 人工制品；手工艺品
dwelling,"n. 住处；寓所
v. 居住（dwell的现在分词）"
magnetic,adj. 地磁的；有磁性的；有吸引力的
detector,n. 探测器；检测器；发现者；侦察器
endurance,n. 忍耐力；忍耐；持久；耐久
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
skyscraper,n. 摩天楼，超高层大楼；特别高的东西
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
idle,"adj. 闲置的；懒惰的；停顿的
vt. 虚度；使空转
vi. 无所事事；虚度；空转"
minimal,adj. 最低的；最小限度的
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
composer,n. 作曲家；作家，著作者；设计者
continuity,n. 连续性；一连串；分镜头剧本
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
deductible,adj. 可扣除的；可减免的
inclusive,adj. 包括的，包含的
essence,n. 本质，实质；精华；香精
privileged,"adj. 享有特权的；有特别恩典的
v. 给予…特权；免除（privilege的过去分词）"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
turbulence,n. 骚乱，动荡； 湍流；狂暴
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
advertisement,n. 广告，宣传
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
revolution,n. 革命；旋转；运行；循环
occupy,vt. 占据，占领；居住；使忙碌
lengthy,adj. 漫长的，冗长的；啰唆的
idealist,"n. 空想家，理想主义者；唯心主义者
adj. 理想主义的；唯心主义的"
idealism,n. 唯心主义，理想主义；理念论
exceptional,"n. 超常的学生
adj. 异常的，例外的"
knit,"vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法"
numerous,adj. 许多的，很多的
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
decoration,n. 装饰，装潢；装饰品；奖章
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
advent,n. 到来；出现；基督降临；基督降临节
prudent,adj. 谨慎的；精明的；节俭的
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
subsequent,adj. 后来的，随后的
correspond,vi. 符合，一致；相应；通信
deception,n. 欺骗，欺诈；骗术
accountability,n. 有义务；有责任；可说明性
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
fraction,n. 分数；部分；小部分；稍微
exert,vt. 运用，发挥；施以影响
managerial,adj.  管理的；经理的
glaring,adj. 耀眼的；瞪视的；炯炯的
amiable,adj. 和蔼可亲的，亲切的
oppression,n. 压抑；镇压；压迫手段；沉闷；苦恼
imitation,"n. 模仿，仿造；仿制品
adj. 人造的，仿制的"
reception,n. 接待；接收；招待会；感受；反应
unjust,adj. 不公平的，不公正的；非正义的
judiciary,"n. 司法部；法官；司法制度
adj. 司法的；法官的；法院的"
bewilder,vt. 使迷惑，使不知所措
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
speed,"n. 速度，速率；迅速，快速；昌盛，繁荣
vt. 加快…的速度；使成功，使繁荣
vi. 超速，加速；加速，迅速前行；兴隆"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
acceleration,n. 加速，促进； 加速度
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
prerequisite,"n. 先决条件
adj. 首要必备的"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
miserable,adj. 悲惨的；痛苦的；卑鄙的
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
intense,adj. 强烈的；紧张的；非常的；热情的
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
intensity,n. 强度；强烈； 亮度；紧张
duplication,n. 复制；副本；成倍
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
inclination,n. 倾向，爱好；斜坡
contention,n. 争论，争辩；争夺；论点
contemptible,adj. 可鄙的；卑劣的；可轻视的
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
concession,n. 让步；特许（权）；承认；退位
feasible,adj. 可行的；可能的；可实行的
dignity,n. 尊严；高贵
compel,vt. 强迫，迫使；强使发生
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
solidarity,n. 团结，团结一致
propagate,"vt. 传播；传送；繁殖；宣传
vi. 繁殖；增殖"
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
elevation,n. 高地；海拔；提高；崇高；正面图
alleviate,vt. 减轻，缓和
relief,n. 救济；减轻，解除；安慰；浮雕
engrave,vt. 雕刻；铭记
contempt,n. 轻视，蔑视；耻辱
contemptuous,adj. 轻蔑的；侮辱的
allege,vt. 宣称，断言；提出…作为理由
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
lopsided,adj. 不平衡的，倾向一方的
anatomy,n. 解剖；解剖学；剖析；骨骼
duly,adv. 适当地；充分地；按时地
decisive,adj. 决定性的；果断的，坚定的
magical,adj. 魔术的；有魔力的
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
radically,adv. 根本上；彻底地；以激进的方式
assembly,n. 装配；集会，集合
downgrade,"n. 退步；下坡
vt. 使降级（过去式downgraded，过去分词downgraded，现在分词downgrading，第三人称单数downgrades）；小看
adj. 下坡的
adv. 下坡地"
preferable,adj. 更好的，更可取的；更合意的
lump,"n. 块，块状；肿块；瘤；很多；笨人
vt. 混在一起；使成块状；忍耐；笨重地移动
vi. 结块
adj. 成团的；总共的
adv. 很；非常"
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
genealogist,n. 系谱学者；系谱专家
consultant,n. 顾问；咨询者；会诊医生
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
implicitly,adv. 含蓄地；暗中地
appetite,n. 食欲；嗜好
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
incidental,"n. 附带事件；偶然事件；杂项
adj. 附带的；偶然的；容易发生的"
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
coincidence,n. 巧合；一致；同时发生
spontaneous,adj. 自发的；自然的；无意识的
bedrock,n.  基岩；根底；基本原理
dentist,"n. 牙科医生
牙医诊所"
dental,"n. 齿音
adj. 牙科的；牙齿的，牙的"
formula,n.  公式，准则；配方；婴儿食品
bipedal,"n. 两足动物
adj. 两足动物的；二足的"
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
submission,n. 投降；提交（物）；服从；（向法官提出的）意见；谦恭
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
reproductive,adj. 生殖的；再生的；复制的
devastating,"adj. 毁灭性的；全然的
v. 摧毁（devastate的ing形式）；毁坏"
obligation,n. 义务；职责；债务
incompatible,"n. 互不相容的人或事物
adj. 不相容的；矛盾的；不能同时成立的"
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
tremble,"n. 颤抖；战栗；摇晃
vi. 发抖；战栗；焦虑；摇晃
vt. 使挥动；用颤抖的声音说出"
tremendous,adj. 极大的，巨大的；惊人的；极好的
modesty,n. 谦逊；质朴；稳重
apprehension,n. 理解；恐惧；逮捕；忧惧
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
collaborate,vi. 合作；勾结，通敌
authentic,adj. 真正的，真实的；可信的
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
intricate,adj. 复杂的；错综的，缠结的
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
shortcoming,n. 缺点；短处
poke,"n. 戳；刺；袋子；懒汉
vt. 刺，捅；戳；拨开
vi. 刺，捅；戳；伸出；刺探；闲荡"
attorney,n. 律师；代理人；检查官
deduce,vt. 推论，推断；演绎出
prevalent,adj. 流行的；普遍的，广传的
immoral,adj. 不道德的；邪恶的；淫荡的
inborn,adj. 天生的；先天的
noteworthy,adj. 值得注意的；显著的
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
competent,adj. 胜任的；有能力的；能干的；足够的
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
