progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
service,"n. 服务，服侍；服役；仪式
adj. 服务性的；耐用的；服现役的
vt. 维修，检修；保养"
servant,n. 仆人，佣人；公务员；雇工
wise,"adj. 明智的；聪明的；博学的
vt. 使知道；教导
vi. 了解"
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
junction,n. 连接，接合；交叉点；接合点
text,"n.  文本；课文；主题
vt. 发短信"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
hall,n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
canteen,n. 食堂，小卖部；水壶
café,找不到解释
cafeteria,n. 自助餐厅
restaurant,n. 餐馆； 饭店
hotel,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公"
inn,"n. 客栈；旅馆
vi. 住旅馆"
audience,n. 观众；听众；读者；接见；正式会见；拜会
seminar,n. 讨论会，研讨班
sympathy,n. 同情；慰问；赞同
symphony,n. 交响乐；谐声，和声
symbol,n. 象征；符号；标志
geometry,"n. 几何学
几何结构"
symptom,n.  症状；征兆
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
attention,n. 注意力；关心；立正！（口令）
tendency,n. 倾向，趋势；癖好
tent,"n. 帐篷；住处；帷幕
vt. 用帐篷遮盖；使在帐篷里住宿
vi. 住帐蓬；暂时居住"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
intention,n. 意图；目的；意向；愈合
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
tennis,n. 网球（运动）
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
ignore,vt. 驳回诉讼；忽视；不理睬
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
option,n.  选项；选择权；买卖的特权
optimism,n. 乐观；乐观主义
enthusiasm,n. 热心，热忱，热情
passion,n. 激情；热情；酷爱；盛怒
mercy,n. 仁慈，宽容；怜悯；幸运；善行
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
pale,"n. 前哨；栅栏；范围
adj. 苍白的；无力的；暗淡的
vt. 使失色；使变苍白；用栅栏围
vi. 失色；变苍白；变得暗淡"
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
especially,adv. 特别；尤其；格外
species,"n.  物种；种类
adj. 物种上的"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
jet,"n. 喷射，喷嘴；喷气式飞机；黑玉
adj. 墨黑的
vt. 射出
vi. 射出； 乘喷气式飞机"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
limit,"n. 限制；限度；界线
vt. 限制；限定"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
omit,vt. 省略；遗漏；删除；疏忽
missile,"n. 导弹；投射物
adj. 导弹的；可投掷的；用以发射导弹的"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
commitment,n. 承诺，保证；委托；承担义务；献身
committee,n. 委员会
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
devote,vt. 致力于；奉献
dictation,n. 听写；口述；命令
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
controversy,n. 争论；论战；辩论
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
tub,"n. 浴盆；桶
vt. 把…装入桶；为…洗盆浴
vi. 洗盆浴；（衣服等）被放在桶里洗"
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入"
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
dam,"n.  水坝；障碍
v. 控制；筑坝"
condemn,vt. 谴责；判刑，定罪；声讨
afraid,adj. 害怕的；恐怕；担心的
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
fragile,adj. 脆的；易碎的
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
fridge,n. 电冰箱
fragrance,n. 香味，芬芳
fright,"n. 惊吓；惊骇
vt. 使惊恐"
friction,n. 摩擦， 摩擦力
friend,n. 朋友；助手；赞助者
friendship,n. 友谊；友爱；友善
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
acknowledge,vt. 承认；答谢；报偿；告知已收到
accustom,vt. 使习惯于
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
dialog,n. 对话；会话
dialogue,"n. 对话；意见交换
vt. 用对话表达
vi. 对话"
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
technology,n. 技术；工艺；术语
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
motto,n. 座右铭，格言；箴言
language,n. 语言；语言文字；表达能力
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
clarity,n. 清楚，明晰；透明
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
confirm,vt. 确认；确定；证实；批准；使巩固
sure,"adj. 确信的；可靠的；必定的
adv. 当然；的确"
ensure,vt. 保证，确保；使安全
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
market,"n. 市场；行情；股票市场；市面；集市；销路；商店
vt. 在市场上出售
vi. 做买卖"
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
remarkable,adj. 卓越的；非凡的；值得注意的
reputation,n. 名声，名誉；声望
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
faith,n. 信仰；信念；信任；忠实
sell,"n. 销售；失望；推销术
vt. 销售；推销；出卖；欺骗
vi. 卖；出售；受欢迎；有销路"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
bench,"n. 长凳；工作台；替补队员
vt. 给…以席位；为…设置条凳"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
boundary,n. 边界；范围；分界线
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
abundant,adj. 丰富的；充裕的；盛产
fluent,adj. 流畅的，流利的；液态的；畅流的
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
flu,n. 流感
flag,"n. 标志；旗子
vt. 标记；插旗
vi. 标记；衰退；枯萎"
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
game,"n. 游戏；比赛
adj. 勇敢的
vi. 赌博"
flexible,adj. 灵活的；柔韧的；易弯曲的
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
graph,"n. 图表；曲线图
vt. 用曲线图表示"
geography,n. 地理；地形
photograph,"n. 照片，相片
vt. 为…拍照；使深深印入
vi. 拍照；在照片上显得"
biography,n. 传记；档案；个人简介
Bible,找不到解释
telegraph,"n.  电报机，电报
vt. 电汇；流露出；打电报给…
vi. 打电报"
grammar,n. 语法；语法书
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
gram,n. 克；鹰嘴豆（用作饲料）
diagram,"n. 图表；图解
vt. 用图解法表示"
dial,"n. 转盘；刻度盘；钟面
vt. 给…拨号打电话
vi. 拨号"
diamond,"n. 钻石，金刚石；菱形；方块牌
adj. 菱形的；金刚钻的"
diary,n. 日志，日记；日记簿
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
microscope,n. 显微镜
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
strange,"adj. 奇怪的；陌生的；外行的
adv. 奇怪地；陌生地，冷淡地"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
area,n. 区域，地区；面积；范围
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
atmosphere,n. 气氛；大气；空气
environment,n. 环境，外界
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
mainland,"n. 大陆；本土
adj. 大陆的；本土的"
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
zone,  地带、地区（德语）
district,n. 区域；地方；行政区
region,n. 地区；范围；部位
religion,n. 宗教；宗教信仰
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
basin,n. 水池；流域；盆地；盆
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
plan,"n. 计划；平面图
vt. 计划；设计；打算
vi. 计划；打算"
plane,"n. 飞机；平面；程度，水平
adj. 平的；平面的
vt. 刨平；用刨子刨；掠过水面
vi. 刨；乘飞机旅行；翱翔"
astronomy,n. 天文学
astronaut,n. 宇航员，航天员；太空旅行者
disaster,n. 灾难，灾祸；不幸
catastrophe,n. 大灾难；大祸；惨败
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
sun,"n. 太阳
vt. 使晒
vi. 晒太阳"
moon,"n. 月亮；月球；月光；卫星
vi. 闲荡；出神
vt. 虚度"
satellite,n. 卫星；人造卫星；随从；卫星国家
theory,n. 理论；原理；学说；推测
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
cathedral,n. 大教堂
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
together,"adj. 新潮的；情绪稳定的，做事有效率的
adv. 一起；同时；相互；连续地；总共"
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
philosophy,n. 哲学；哲理；人生观
genius,n. 天才，天赋；精神
generation,n. 一代；产生；一代人；生殖
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
diligent,adj. 勤勉的；用功的，费尽心血的
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
final,"n. 决赛；期末考试；当日报纸的末版
adj. 最终的；决定性的；不可更改的"
finish,"n. 结束；完美；回味（葡萄酒）
vt. 完成；结束；用完
vi. 结束，终止；终结"
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
fund,"n. 基金；资金；存款
vt. 投资；资助"
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
define,vt. 定义；使明确；规定
definite,adj. 一定的；确切的
finger,"n. 手指；指针，指状物
vt. 伸出；用手指拨弄
vi. 用指触摸；拨弄"
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
tax,"n. 税金；重负
vt. 向…课税；使负重担"
money,n. 钱；货币；财富
income,n. 收入，收益；所得
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
appendix,n. 附录；阑尾；附加物
depend,vi. 依赖，依靠；取决于；相信，信赖
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
fact,n. 事实；实际；真相
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
factory,n. 工厂；制造厂；代理店
face,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖"
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
facility,n. 设施；设备；容易；灵巧
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
affection,n. 喜爱，感情；影响；感染
shortcoming,n. 缺点；短处
infect,vt. 感染，传染
efficient,adj. 有效率的；有能力的；生效的
sufficient,adj. 足够的；充分的
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
plus,"prep. 加，加上
n. 正号，加号；好处；附加额
adj. 正的；附加的"
difficult,adj. 困难的；不随和的；执拗的
dilemma,n. 困境；进退两难；两刀论法
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
fiction,n. 小说；虚构，编造；谎言
tale,n. 故事；传说；叙述；流言蜚语
talent,n. 才能；天才；天资
anecdote,n. 轶事；奇闻；秘史
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
accountant,n. 会计师；会计人员
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
county,n. 郡，县
nation,n. 国家；民族；国民
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
relay,"n.  继电器；接替，接替人员；驿马
vt. 转播；使接替；分程传递
vi. 转播；接替"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
assess,vt. 评定；估价；对…征税
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
semester,n. 学期；半年
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
property,n. 性质，性能；财产；所有权
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
wealth,n. 财富；大量；富有
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
debt,n. 债务；借款；罪过
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
correspond,vi. 符合，一致；相应；通信
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
commerce,n. 贸易；商业；商务
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
indicate,vt. 表明；指出；预示；象征
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
enterprise,n. 企业；事业；进取心；事业心
undertake,vt. 承担，保证；从事；同意；试图
enter,"n.  输入；回车
vt. 进入；开始；参加
vi. 参加，登场；进去"
tail,"n. 尾巴；踪迹；辫子；燕尾服
adj. 从后面而来的；尾部的
vt. 尾随；装上尾巴
vi. 跟踪；变少或缩小"
tailor,"n. 裁缝
vt. 剪裁；使合适
vi. 做裁缝"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
earn,vt. 赚，赚得；获得，挣得；使得到；博得
learn,"vt. 学习；得知；认识到
vi. 学习；获悉"
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
please,"int. 请（礼貌用语）
vt. 使喜欢；使高兴，使满意
vi. 讨人喜欢；令人高兴"
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
let,"vt. 允许，让；出租；假设；妨碍
vi. 出租；被承包
n. 障碍；出租屋"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
tire,"n. 轮胎；头饰
vt. 使…疲倦；使…厌烦
vi. 疲劳；厌倦"
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
entire,adj. 全部的，整个的；全体的
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
thorough,adj. 彻底的；十分的；周密的
delete,vt. 删除
athlete,n. 运动员，体育家；身强力壮的人
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
volcano,n. 火山
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
scold,"n. 责骂；爱责骂的人
vt. 骂；责骂
vi. 责骂；叱责"
afford,vt. 给予，提供；买得起
attitude,n. 态度；看法；意见；姿势
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
amaze,vt. 使吃惊
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
appear,vi. 出现；显得；似乎；出庭；登场
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
arrive,vi. 到达；成功；达成；出生
resemble,vt. 类似，像
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
adult,"n. 成年人
adj. 成年的；成熟的"
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
