apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
manipulate,vt. 操纵；操作；巧妙地处理；篡改
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
install,vt. 安装；任命；安顿
equip,vt. 装备，配备
appliance,n. 器具；器械；装置
device,n. 装置；策略；图案
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
streamline,"n. 流线；流线型
vt. 把…做成流线型；使现代化；组织；使合理化；使简单化
adj. 流线型的"
maintain,vt. 维持；继续；维修；主张；供养
refine,vt. 精炼，提纯；改善；使…文雅
purify,"vt. 净化；使纯净
vi. 净化；变纯净"
imitate,vt. 模仿，仿效；仿造，仿制
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
brew,"n. 啤酒；质地
vi. 酿酒；被冲泡；即将发生
vt. 酿造；酝酿"
eliminate,vt. 消除；排除
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
setback,n. 挫折；退步；逆流
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
configuration,n. 配置；结构；外形
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
alloy,"n. 合金
vt. 使成合金；使减低成色
vi. 易于铸成合金"
electrician,n. 电工；电气技师
generate,vt. 使形成；发生；生殖；产生物理反应
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
foam,"n. 泡沫；水沫；灭火泡沫
vt. 使起泡沫；使成泡沫状物
vi. 起泡沫；吐白沫；起着泡沫流动"
insulate,vt. 隔离，使孤立；使绝缘，使隔热
foil,"n. 箔，金属薄片；衬托，烘托；叶形片
abbr. 面向文件的翻译语言（file-Oriented interpretive language）
vt. 衬托；阻止，挡开；挫败；贴箔于"
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
sieve,"vt. 筛；滤
n.  筛子；滤网；不能保守秘密的人
vi. 筛；滤"
groove,"n.  凹槽，槽；最佳状态；惯例
vt. 开槽于
vi. 形成沟槽"
hinge,"n. 铰链，折叶；关键，转折点；枢要，中枢
v. 用铰链连接；依…为转移；给…安装铰链；（门等）装有蝶铰"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
hoist,"n. 起重机；升起，吊起
vt. （用绳索，起重机等）使升起
vi. 升起；吊起"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
clamp,"n. 夹钳，螺丝钳
vt. 夹紧，固定住"
lubricate,"vi. 润滑；涂油；起润滑剂作用
vt. 使…润滑；给…加润滑油"
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
composite,"n. 复合材料；合成物；菊科
adj. 复合的；合成的；菊科的
vt. 使合成；使混合"
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
package,"n. 包，包裹；套装软件， 程序包
adj. 一揽子的
vt. 打包；将…包装"
economy,n. 经济；节约；理财
commodity,n. 商品，货物；日用品
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
monetary,adj. 货币的；财政的
circumstance,n. 环境，情况；事件；境遇
fiscal,adj. 会计的，财政的；国库的
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
entity,n. 实体；存在；本质
entrepreneur,n. 企业家；承包人；主办者
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
enrich,vt. 使充实；使肥沃；使富足
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
aggregate,"n. 合计；集合体；总计
adj. 聚合的；集合的；合计的
vt. 集合；聚集；合计
vi. 集合；聚集；合计"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
autonomous,adj. 自治的；自主的；自发的
autonomy,n. 自治，自治权
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
stabilize,"vt. 使稳固，使安定
vi. 稳定，安定"
stability,n. 稳定性；坚定，恒心
instability,n. 不稳定（性）；基础薄弱；不安定
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
tendency,n. 倾向，趋势；癖好
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
recession,n. 衰退；不景气；后退；凹处
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
disturbance,n. 干扰；骚乱；忧虑
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
slump,"vt. 使降低；使衰落；使倒下
n. 衰退；暴跌；消沉
vi. 下降，衰落；倒下；大幅度下降，暴跌"
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
slack,"n. 煤末；峡谷
adj. 松弛的；疏忽的；不流畅的
vt. 放松；使缓慢
adv. 马虎地；缓慢地
vi. 松懈；减弱"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
depress,vt. 压抑；使沮丧；使萧条
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
tilt,"n. 倾斜
vt. 使倾斜；使翘起
vi. 倾斜；翘起；以言词或文字抨击"
crumble,"n. 面包屑
vi. 崩溃；破碎，粉碎
vt. 崩溃；弄碎，粉碎"
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
recovery,n. 恢复，复原；痊愈；重获
stimulus,n. 刺激；激励；刺激物
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
thrive,vi. 繁荣，兴旺；茁壮成长
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
zoom,"vi. 嗡嗡作响; 急速上升
n. 嗡嗡声; 隆隆声; （车辆等）疾驰的声音; 变焦
vt. 使急速上升; 使猛增"
rectify,vt. 改正；精馏；整流
quota,n. 配额；定额；限额
revenue,n. 税收，国家的收入；收益
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
receipt,"n. 收到；收据；收入
vt. 收到"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
bull,"n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
adj. 大型的；公牛似的；雄性的
vt. 企图抬高证券价格；吓唬；强力实现
vi. 价格上涨；走运；猛推；吹牛"
dividend,n. 红利；股息； 被除数；奖金
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
circulation,n. 流通，传播；循环；发行量
clearance,n. 清除；空隙
strategy,n. 战略，策略
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
deficit,n. 赤字；不足额
repression,n. 抑制， 压抑；镇压
constrain,vt. 驱使；强迫；束缚
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
property,n. 性质，性能；财产；所有权
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
expend,vt. 花费；消耗；用光；耗尽
expenditure,n. 支出，花费；经费，消费额
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
impetus,n. 动力；促进；冲力
exceed,"vt. 超过；胜过
vi. 超过其他"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
management,n. 管理；管理人员；管理部门；操纵；经营手段
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
establish,"vi. 植物定植
vt. 建立；创办；安置"
accumulate,"vt. 积攒
vi. 累积；积聚"
speculate,"vi. 推测；投机；思索
vt. 推断"
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
nominal,"adj. 名义上的；有名无实的； 票面上的
n.  名词性词"
subsidiary,"n. 子公司；辅助者
adj. 附属的；辅助的"
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
cooperative,"n. 合作社
adj. 合作的；合作社的"
transaction,n. 交易；事务；办理；会报，学报
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
symposium,n. 讨论会，座谈会；专题论文集；酒宴，宴会
turnover,"n. 翻覆； 营业额；流通量；半圆卷饼；失误
adj. 翻过来的；可翻转的"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
trademark,"n. 商标
标志"
slogan,n. 标语；呐喊声
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
warranty,n. 保证；担保；授权；（正当）理由
specification,n. 规格；说明书；详述
await,vt. 等候，等待；期待
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
redeem,vt. 赎回；挽回；兑换；履行；补偿；恢复
repay,"vt. 回报；报复；付还
vi. 偿还；报答；报复"
incur,vt. 招致，引发；蒙受
compensation,n. 补偿；报酬；赔偿金
instalment,n. 分期付款；装设；就职
inventory,n. 存货，存货清单；详细目录；财产清册
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
lucrative,adj. 有利可图的，赚钱的；合算的
merchandise,"n. 商品；货物
vt. 买卖；推销
vi. 经商"
embargo,"vt. 禁止出入港口；禁止或限制贸易；征用或扣押
n. 禁令；禁止；封港令"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
swap,"n. 交换；交换之物
vt. 与...交换；以...作交换
vi. 交换；交易"
withdrawal,n. 撤退，收回；提款；取消；退股
revoke,"n. 有牌不跟
vt. 撤回，取消；废除
vi. 有牌不跟"
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
tariff,"n. 关税表；收费表
vt. 定税率；征收关税"
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
latent,adj. 潜在的；潜伏的；隐藏的
monopoly,n. 垄断；垄断者；专卖权
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
appraisal,n. 评价；估价（尤指估价财产，以便征税）；估计
auction,"n. 拍卖
vt. 拍卖；竞卖"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
compete,vi. 竞争；比赛；对抗
adversary,n. 对手；敌手
commitment,n. 承诺，保证；委托；承担义务；献身
reciprocal,"n.  倒数；互相起作用的事物
adj. 互惠的；相互的；倒数的，彼此相反的"
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
aesthetic,adj. 美的；美学的；审美的，具有审美趣味的
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
permeate,"vt. 渗透，透过；弥漫
vi. 弥漫；透入；散布"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
criterion,n. （批评判断的）标准；准则；规范；准据
historian,n. 历史学家
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
graphic,adj. 形象的；图表的；绘画似的
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
portray,vt. 描绘；扮演
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
pottery,n. 陶器；陶器厂；陶器制造术
ceramic,"n. 陶瓷；陶瓷制品
adj. 陶瓷的；陶器的；制陶艺术的"
bronze,"n. 青铜；古铜色；青铜制品
adj. 青铜色的；青铜制的
vt. 镀青铜于
vi. 变成青铜色，被晒黑"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
bust,"n. 破产；半身像；萧条；胸部
adj. 破产了的；毁坏了的
vt. 使破产；使爆裂；逮捕
vi. 破产；爆裂；降低级别"
badge,"n. 徽章；证章；标记
vt. 授给…徽章"
literary,adj. 文学的；书面的；精通文学的
literature,n. 文学；文献；文艺；著作
literal,adj. 文字的；逐字的；无夸张的
renaissance,n. 文艺复兴（欧洲14至17世纪）
cradle,"n. 摇篮；发源地；发祥地；支船架
vt. 抚育；把...搁在支架上；把...放在摇篮内"
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
author,"n. 作者；作家；创始人
vt. 创作出版"
audience,n. 观众；听众；读者；接见；正式会见；拜会
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
creation,n. 创造，创作；创作物，产物
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
compile,vt. 编译；编制；编辑； 汇编
depict,vt. 描述；描画
unfold,"vi. 展开；显露
vt. 打开；呈现"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
modify,"vt. 修改，修饰；更改
vi. 修改"
comparison,n. 比较；对照；比喻；比较关系
romance,"n. 传奇；浪漫史；风流韵事；冒险故事
vi. 虚构；渲染；写传奇"
masterpiece,n. 杰作；绝无仅有的人
manuscript,"n.  手稿；原稿
adj. 手写的"
fiction,n. 小说；虚构，编造；谎言
myth,n. 神话；虚构的人，虚构的事
mythology,n. 神话；神话学；神话集
legend,n. 传奇；说明；图例；刻印文字
satire,n. 讽刺；讽刺文学，讽刺作品
imaginary,adj. 虚构的，假想的；想像的；虚数的
prototype,n. 原型；标准，模范
skeleton,"n. 骨架，骨骼；纲要；骨瘦如柴的人
adj. 骨骼的；骨瘦如柴的；概略的"
biography,n. 传记；档案；个人简介
poetry,n. 诗；诗意，诗情；诗歌艺术
verse,"n. 诗，诗篇；韵文；诗节
vi. 作诗
vt. 使熟练，使精通"
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
idiom,n. 成语，习语；土话
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
excerpt,"n. 摘录，引用
vt. 引用，摘录
vi. 摘录，引用"
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
stray,"n. 走失的家畜；流浪者
adj. 迷路的；离群的；偶遇的
vi. 流浪；迷路；偏离"
blueprint,"n. 蓝图，设计图；计划
vt. 计划；制成蓝图"
mansion,n. 大厦；宅邸
fort,"n. 堡垒；要塞；（美）边界贸易站
vt. 设要塞保卫
vi. 构筑要塞"
aspect,n. 方面；方向；形势；外貌
ample,adj. 丰富的；足够的；宽敞的
tile,"n. 瓷砖，瓦片
vt. 铺以瓦；铺以瓷砖"
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
arch,"n. 弓形，拱形；拱门
adj. 主要的
vt. 使…弯成弓形；用拱连接
vi. 拱起；成为弓形"
threshold,n. 入口；门槛；开始；极限；临界值
porch,n. 门廊；走廊
staircase,n. 楼梯
varnish,"n. 亮光漆，清漆；虚饰；光泽面
vt. 装饰，粉饰；在…上涂清漆；使…有光泽"
basement,n. 地下室；地窖
cellar,"n. 地窖；酒窖；地下室
vt. 把…藏入地窖"
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
partition,"n. 划分，分开； 分割；隔墙；隔离物
vt.  分割；分隔；区分"
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
drainage,n. 排水；排水系统；污水；排水面积
ventilate,vt. 使通风；给…装通风设备；宣布
vent,"n. （感情的）发泄；出口；通风孔
vt. 发泄感情；放出…；给…开孔
vi. 放出；（通过排泄等）减轻压力"
construct,"n. 构想，概念
vt. 建造，构造；创立"
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
prevalent,adj. 流行的；普遍的，广传的
religion,n. 宗教；宗教信仰
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
conversion,n. 转换；变换； 兑换；改变信仰
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
divine,"n. 牧师；神学家
adj. 神圣的；非凡的；天赐的；极好的
vt. 占卜；预言；用占卜勘探
vi. 占卜；预言；使用占卜勘探矿"
Catholic,找不到解释
pope,n. 教皇，罗马教皇；权威，大师
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
priest,"n. 牧师；神父；教士
vt. 使成为神职人员；任命…为祭司"
missionary,"adj. 传教的；传教士的
n. 传教士"
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
sermon,"n. 布道；训诫；启示；冗长的讲话
vt. 对…布道；对…说教
vi. 布道"
doctrine,n. 主义；学说；教义；信条
prophet,n. 先知；预言者；提倡者
prophecy,n. 预言；预言书；预言能力
prophetic,adj. 预言的，预示的；先知的
destiny,n. 命运，定数，天命
pilgrim,"n. 朝圣者；漫游者；（美）最初的移民
vi. 去朝圣；漫游"
oath,n. 誓言，誓约；诅咒，咒骂
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
paradise,"n. 天堂
至福境地"
bless,vt. 祝福；保佑；赞美
bliss,"n. 极乐；天赐的福
vt. 使欣喜若狂
vi. 狂喜
n. 必列斯（化妆品品牌）"
cathedral,n. 大教堂
chapel,"n. 小礼拜堂，小教堂；礼拜
adj. 非国教的"
customary,"n. 习惯法汇编
adj. 习惯的；通常的"
conventional,adj. 符合习俗的，传统的；常见的；惯例的
unorthodox,adj. 非正统的；异端的；异教的
superstition,n. 迷信
regime,n. 政权，政体；社会制度；管理体制
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
independence,n. 独立性，自立性；自主
capitalism,n. 资本主义
monarchy,n. 君主政体；君主国；君主政治
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
imperial,"n. 纸张尺寸；特等品
adj. 帝国的；皇帝的；至高无上的；威严的"
majesty,n. 威严；最高权威，王权；雄伟；权威
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
throne,"n. 王座；君主；王权
vt. 使登王位
vi. 登上王座"
prestige,n. 威望，声望；声誉
commonwealth,n. 联邦；共和国；国民整体
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
federation,n. 联合；联邦；联盟；联邦政府
coalition,n. 联合；结合，合并
alliance,n. 联盟，联合；联姻
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
convene,"vt. 召集，集合；传唤
vi. 聚集，集合"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
congress,n. 国会；代表大会；会议；社交
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
convention,n. 大会； 惯例； 约定； 协定；习俗
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
agenda,n. 议程；日常工作事项；日程表
committee,n. 委员会
council,n. 委员会；会议；理事会；地方议会；顾问班子
statesman,n. 政治家；国务活动家
diplomat,n. 外交家，外交官；有外交手腕的人；处事圆滑机敏的人
premier,"n. 总理，首相
adj. 第一的；最初的"
senator,n. 参议员；（古罗马的）元老院议员；评议员，理事
counterpart,n. 副本；配对物；极相似的人或物
candidate,n. 候选人，候补者；应试者
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
pursuit,n. 追赶，追求；职业，工作
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
ballot,"n. 投票；投票用纸；投票总数
vt. 使投票表决；拉选票
vi. 投票；抽签决定"
booth,n. 货摊；公用电话亭
veto,"n. 否决权
vt. 否决；禁止
vi. 否决；禁止"
abstain,vi. 自制；放弃；避免
authority,n. 权威；权力；当局
municipal,adj. 市政的，市的；地方自治的
privilege,"n. 特权；优待
vt. 给与…特权；特免"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
authorize,vt. 批准，认可；授权给；委托代替
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
momentum,n. 势头； 动量；动力；冲力
conservative,找不到解释
bureaucracy,n. 官僚主义；官僚机构；官僚政治
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
crumple,"n. 皱纹；褶皱
vi. 起皱；倒坍；一蹶不振
vt. 弄皱；使一蹶不振"
accordance,n. 一致；和谐
solidarity,n. 团结，团结一致
unity,n. 团结；一致；联合；个体
unify,vt. 统一；使相同，使一致
consistent,adj. 始终如一的，一致的；坚持的
pact,n. 协定；公约；条约；契约
treaty,n. 条约，协议；谈判
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
draught,"n. 气流；汇票；草稿（等于draft）
vt. 起草；征兵；选派（等于draft）
adj. 汲出的；拖拉的（等于draft）"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
intervene,vi. 干涉；调停；插入
jeopardize,vt. 危害；使陷危地；使受危困
statement,n. 声明；陈述，叙述；报表，清单
proclaim,vt. 宣告，公布；声明；表明；赞扬
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
banish,vt. 放逐；驱逐
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
ethnic,adj. 种族的；人种的
fanatic,"n. 狂热入迷者；盲信者；盲信
adj. 狂热的；盲信的"
