code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
framework,n. 框架，骨架；结构，构架
heyday,"n. 全盛期
int. 嘿！（表喜悦或惊奇等）"
horticulture,n. 园艺，园艺学
sever,"vt. 割断，断绝；分开；使分离
vi. 断；裂开；分离"
celestial,"n. 神仙，天堂里的居民
adj. 天上的，天空的"
converse,"n. 逆行，逆向；倒；相反的事物
adj. 相反的，逆向的；颠倒的
vi. 交谈，谈话；认识
n. 匡威（服装品牌）"
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
graze,"n. 放牧；轻擦
vi. 吃草；擦伤
vt. 放牧；擦伤"
inhospitable,adj. 荒凉的；冷淡的，不好客的；不适居留的
skeletal,adj. 骨骼的，像骨骼的；骸骨的；骨瘦如柴的
strand,"n. 线；串；海滨
vt. 使搁浅；使陷于困境；弄断；使落后
vi. 搁浅"
gypsum,"n. 石膏；石膏肥料
vt. 用石膏处理；施石膏肥料于"
intermediary,"n. 中间人；仲裁者；调解者；媒介物
adj. 中间的；媒介的；中途的"
intestine,"n. 肠
adj. 内部的；国内的"
fauna,n. 动物群； 动物区系
semiarid,adj. 半干旱的；雨量非常少的
muffle,"vt. 蒙住；裹住；抑制；发低沉的声音
n. 低沉的声音；消声器；包裹物（如头巾，围巾等）；唇鼻部"
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
judicial,adj. 公正的，明断的；法庭的；审判上的
spherical,adj. 球形的，球面的；天体的
purify,"vt. 净化；使纯净
vi. 净化；变纯净"
riot,"n. 暴乱；放纵；蔓延
vt. 浪费，挥霍
vi. 骚乱；放荡"
empirical,adj. 经验主义的，完全根据经验的；实证的
stunt,"n. 噱头，手腕；绝技
vt. 阻碍…的正常生长或发展
vi. 表演特技；作惊人表演"
multitude,n. 群众；多数
Anglo-Saxon,n. 盎格鲁-撒克逊
avalanche,"n. 雪崩
vt. 雪崩
vi. 崩塌"
silicon,n.  硅；硅元素
incompatibility,n. 不相容；不协调；不一致
expanse,n. 宽阔；广阔的区域；苍天；膨胀扩张
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
buffer,"n.  缓冲区；缓冲器， 减震器
vt. 缓冲"
aggregate,"n. 合计；集合体；总计
adj. 聚合的；集合的；合计的
vt. 集合；聚集；合计
vi. 集合；聚集；合计"
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
vertebral,adj. 脊椎的；椎骨的；由椎骨组成的；有脊椎的
impermeable,adj. 不渗透性的；（对水等）不能渗透的
implicate,vt. 使卷入；涉及；暗指；影响
allergy,n. 过敏症；反感；厌恶
respiratory,adj. 呼吸的
pigment,"n.  色素；颜料
vt. 给…着色
vi. 呈现颜色"
inadvertent,adj. 疏忽的；不注意的（副词inadvertently）；无意中做的
crater,"n. 火山口；弹坑
vt. 在…上形成坑；取消；毁坏
vi. 形成坑；消亡"
cargo,n. 货物，船货
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
marvel,"n. 奇迹
vt. 对…感到惊异
vi. 感到惊讶"
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
contention,n. 争论，争辩；争夺；论点
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
consistency,n.  一致性；稠度；相容性
counterpart,n. 副本；配对物；极相似的人或物
residue,n. 残渣；剩余；滤渣
subside,vi. 平息；减弱；沉淀；坐下
deception,n. 欺骗，欺诈；骗术
marble,"n. 大理石；大理石制品；弹珠
adj. 大理石的；冷酷无情的"
craftspeople,n. 手艺人；工匠
obligatory,adj. 义务的；必须的；义不容辞的
shrine,"n. 圣地；神殿；神龛；圣祠
vt. 将…置于神龛内；把…奉为神圣"
clam,"n. 蛤；沉默寡言的人；钳子
vi. 捞蛤；保持沉默，闭嘴不言"
extermination,n. 消灭；根绝
deteriorate,"vi. 恶化，变坏
vt. 恶化"
spatial,adj. 空间的；存在于空间的；受空间条件限制的
permanence,n. 持久；永久
regenerate,"vt. 使再生；革新
adj. 再生的；革新的
vi. 再生；革新"
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
analogous,adj. 类似的； 同功的；可比拟的
verdict,n. 结论；裁定
qualitatively,adv. 定性地；从品质上讲
frigid,adj. 寒冷的，严寒的；冷淡的
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
ruthless,adj. 无情的，残忍的
eradication,n. 消灭，扑灭；根除
watt,n. 瓦特
enliven,vt. 使活泼；使生动；使有生气，使活跃
intrinsic,adj. 本质的，固有的
provincial,"n. 粗野的人；乡下人；外地人
adj. 省的；地方性的；偏狭的"
nibble,"vi. 细咬；一点一点地咬；吹毛求疵
vt. 细咬；一点一点地咬；吹毛求疵
n. 轻咬；啃；细咬"
marshy,adj. 沼泽的；湿地的
stingless, 无刺的
engender,"vt. 使产生；造成
vi. 产生；引起"
glaze,"n. 釉；光滑面
vt. 装以玻璃；上釉于
vi. 变呆滞；变得光滑"
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
horizontal,"n. 水平线，水平面；水平位置
adj. 水平的；地平线的；同一阶层的"
sporadic,adj. 零星的；分散的；不定时发生的
lethal,"adj. 致命的，致死的
n. 致死因子"
virtuoso,"n. 艺术品鉴赏家；古董收藏家；艺术大师
adj. 行家里手的；艺术爱好者的"
innate,adj. 先天的；固有的；与生俱来的
hemispheric,adj. 半球的，半球形状的
stratum,n. （组织的）层； 地层；社会阶层
intertwine,"vt. 缠绕；纠缠
vi. 纠缠；编结"
drench,"n. 滂沱大雨；浸液
vt. 使湿透；给（牲畜）灌药"
descent,"n. 下降；血统；袭击
vt. 除去…的气味；使…失去香味"
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
delegate,"n. 代表
vt. 委派…为代表"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
unravel,"vt. 解开；阐明；解决；拆散
vi. 解决；散开"
twig,"n. 小枝；嫩枝；末梢
vt. 理解
vi. 理解"
paddle,"n. 划桨；明轮翼
vt. 拌；搅；用桨划
vi. 划桨；戏水；涉水"
incomprehensible,adj. 费解的；不可思议的；无限的
scrupulous,adj. 细心的；小心谨慎的；一丝不苟的
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
magnitude,n. 大小；量级； 震级；重要；光度
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
thermometer,n. 温度计；体温计
perpendicular,"n. 垂线；垂直的位置
adj. 垂直的，正交的；直立的；陡峭的"
acupuncture,"n. 针刺； 针刺疗法
vt. 对…施行针刺疗法"
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
quilt,"n. 被子；棉被
vt. 东拼西凑地编；加软衬料后缝制
vi. 缝被子"
gaze,"n. 凝视；注视
vi. 凝视；注视"
revision,n.  修正；复习；修订本
biography,n. 传记；档案；个人简介
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
renaissance,n. 文艺复兴（欧洲14至17世纪）
infection,n. 感染；传染；影响；传染病
modem,n. 调制解调器（等于modulator-demodulator）
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
grid,n. 网格；格子，栅格；输电网
lumber,"vi. 伐木；喧闹地向前走；笨重地行动，缓慢地移动
vt. 砍伐木材；乱堆
n. 木材；废物，无用的杂物；隆隆声"
miracle,n. 奇迹，奇迹般的人或物；惊人的事例
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
folklore,n. 民俗学；民间传说；民间风俗
heed,"n. 注意到；留心到
vt. 注意，留心
vi. 注意，留心"
integrity,n. 完整；正直；诚实；廉正
lateral,"adj. 侧面的，横向的
n. 侧部； 边音
vt. 横向传球"
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
inherent,adj. 固有的；内在的；与生俱来的，遗传的
plagiarism,n. 剽窃；剽窃物
acquisition,n. 获得物，获得；收购
encyclopedia,n. 百科全书（亦是encyclopaedia）
physician,n.  医师；内科医师
prototype,n. 原型；标准，模范
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
agility,n. 敏捷；灵活；机敏
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
brew,"n. 啤酒；质地
vi. 酿酒；被冲泡；即将发生
vt. 酿造；酝酿"
deduce,vt. 推论，推断；演绎出
eternal,adj. 永恒的；不朽的
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
ferment,"vt. 使发酵；酝酿；使动乱
vi. 发酵；动乱
n. 发酵；酵素；动乱"
mower,n. 割草机；割草的人
robust,adj. 强健的；健康的；粗野的；粗鲁的
sentiment,n. 感情，情绪；情操；观点；多愁善感
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
summon,vt. 召唤；召集；鼓起；振作
unveil,"vt. 使公之于众，揭开；揭幕
vi. 除去面纱；显露"
adapter,n. 适配器；改编者；接合器；适应者
atlas,n. 地图集；寰椎
championship,n. 锦标赛；冠军称号；冠军的地位
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
famine,n. 饥荒；饥饿，奇缺
hospitable,adj. 热情友好的；（环境）舒适的
hospitality,n. 好客；殷勤
overestimate,"vt. 对……评价过高；对……估计过高
n. 估计过高；评价过高；出价过高
vi. 估计过高；评价过高"
oversimplify,"vt. 使…过分地单纯化
vi. 过分地单纯化"
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
semiconductor,n.  半导体
sensational,adj. 轰动的；耸人听闻的；非常好的；使人感动的
sip,"n. 抿；小口喝；单列直插式组件
vt. 啜
vi. 啜饮"
steroid,n. 类固醇； 甾族化合物
sympathy,n. 同情；慰问；赞同
tranquil,adj. 安静的，平静的；安宁的；稳定的
tranquilizer,n. 镇定剂；使镇定的人或物
underpin,vt. 巩固；支持；从下面支撑；加强…的基础
unearth,vt. 发掘；揭露，发现；从洞中赶出
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
vow,"n. 发誓；誓言；许愿
vi. 发誓；郑重宣告
vt. 发誓；郑重宣告"
curator,n. 馆长；监护人；管理者
congenital,adj. 先天的，天生的；天赋的
guild,n. 协会，行会；同业公会
gazelle,"n. 瞪羚；小羚羊
vi. 似瞪羚般跳跃"
elongate,"adj. 伸长的；延长的
vi. 拉长；延长；伸长
vt. 拉长；使延长；使伸长"
epitome,n. 缩影；摘要；象征
herder,n. 牧人；（美俚）监狱看守
edifice,n. 大厦；大建筑物
niche,"n. 壁龛；合适的职业；有利可图的市场(或形势等)
vt. 放入壁龛"
hem,"n. 边，边缘；摺边
vt. 包围；给...缝边
vi. 做褶边"
oscillate,"vt. 使振荡；使振动；使动摇
vi. 振荡；摆动；犹豫"
blockage,n. 堵塞，堵塞；封锁；妨碍
bison,n. 北美野牛；欧洲野牛
mercantile,"adj. 商业的；商人的；重商主义的
n. 商品"
clump,"n. 丛；笨重的脚步声；土块
vt. 使成一丛；使凝结成块
vi. 形成一丛；以沉重的步子行走"
viscera,n. 内脏；内容（viscus的复数）
piston,n. 活塞
incongruous,adj. 不协调的；不一致的；不和谐的
hieroglyph,n. 象形文字；图画文字；秘密符号
ravage,"n. 蹂躏，破坏
vt. 毁坏；破坏；掠夺
vi. 毁坏；掠夺"
gorilla,n. 大猩猩
caravan,"n. （可供居住的）拖车，大篷车；（穿过沙漠地带的）旅行队（如商队）；<英>活动住宅；<美>移民列车
vi. 乘拖车度假；参加旅行队旅行"
presage,"n. 预感；前兆
vt. 预感；预言
vi. 预示；预言"
choreographer,n. 编舞者，舞蹈指导
caravel,n. 轻快帆船
conservatism,n. 保守主义；守旧性
interlock,v.  互锁；连锁
nickel,"n. 镍；镍币；五分镍币
vt. 镀镍于"
guilder,n. 荷兰盾（荷兰货币单位，等于Florin）；金币（或银币，等于gilder或gulden）
buzzer,n. 蜂鸣器；嗡嗡作声的东西；信号手
faunal,adj. 动物区系的
necrosis,n. 坏死；坏疽；骨疽
refractory,"n. 倔强的人；耐火物质
adj. 难治的；难熔的；不听话的"
semisubsistence,找不到解释
empress,n. 皇后；女皇
flange,"n.  法兰； 凸缘；轮缘；边缘
vt. 给…装凸缘"
pastoralism,n. 牧歌体；田园主义
aborigine,n. 土著；土著居民
manganese,n.  锰
canopy,"n. 天篷；华盖；遮篷；苍穹
vt. 用天蓬遮盖；遮盖"
gaseous,adj. 气态的，气体的；无实质的
nectar,n.  花蜜；甘露；神酒；任何美味的饮料
brackish,adj. 含盐的；令人不快的；难吃的
pheromone,n. 信息素（用于生化领域）；费洛蒙（昆虫分泌以刺激同种昆虫之化合物质）
chloride,n. 氯化物
bombard,"n. 射石炮
vt. 轰炸；炮击"
equilibrium,n. 均衡；平静；保持平衡的能力
beau,"n. 花花公子；喜修饰者；情郎
adj. 美的；好的"
cobalt,n.  钴；钴类颜料；由钴制的深蓝色
forager,n. 搜寻（食物）的人；四处寻找的人
brusquely,adv. 唐突地；直率地
goof,"n. 呆瓜
vt. 弄糟
vi. 打发时间；混；出大错"
gripe,"n. 发牢骚；肠绞痛
vt. 绞痛；握紧；惹恼
vi. 抱怨，发牢骚；肠绞痛"
fissure,"n. 裂缝；裂沟（尤指岩石上的）
vt. 裂开；分裂
vi. 裂开；分裂"
confer,"vt. 授予；给予
vi. 协商"
mortality,n. 死亡数，死亡率；必死性，必死的命运
crevice,n. 裂缝；裂隙
crevasse,n. 裂缝；破口，崩溃处
fossilize,"vt. 使成化石；使陈腐
vi. 变成化石；变陈腐；使过时或固定不变；搜集（或发掘）化石标本"
query,"n. 疑问，质问；疑问号 ； 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
harp,"n. 竖琴
vi. 弹奏竖琴；喋喋不休；不停地说"
concur,vi. 同意；一致；互助
cuticle,n. 角质层；表皮；护膜
contour,"n. 轮廓；等高线；周线；电路；概要
vt. 画轮廓；画等高线"
commonality,n. 公共；共性；平民
crystalline,adj. 透明的；水晶般的；水晶制的
amniotic,adj.  羊膜的
marshal,"n. 元帅；司仪
vt. 整理；引领；编列
vi. 排列"
encapsulate,"vt. 压缩；将…装入胶囊；将…封进内部；概述
vi. 形成胶囊"
zinc,"n. 锌
vt. 镀锌于…; 在…上镀锌"
estivate,vi. 度夏，过夏天，夏眠
gull,"n.  鸥；笨人；易受骗之人
vt. 骗；欺诈"
outcrop,"n. 露头；露出地面的岩层
vi. 露出"
grasshopper,"n. 蚱蜢； 蝗虫；小型侦察机
vi. 见异思迁；蚱蜢似地跳"
gusher,n. 喷油井；说话滔滔不绝的人
adobe,n. 土砖，砖坯
sulfate,"n.  硫酸盐
vt. 使成硫酸盐；用硫酸处理；使在上形成硫酸铅沉淀
vi. 硫酸盐化"
brook,"n. 小溪；小河
vt. 忍受；容忍"
demean,vt. 贬低...的身分；举止
precipitation,n.  沉淀， 沉淀物；降水；冰雹；坠落；鲁莽
phosphorus,n. 磷
grapple,"n. 抓住；格斗
vi. 抓住；格斗；抓斗机
vt. 抓住；与…格斗"
rift,"n. 裂缝；不和； 裂口
vt. 使断裂；使分开
vi. 裂开"
diffuser,n.  扩散器；散布者；  扩压器
excruciate,vt. 使苦恼；施酷刑；折磨
eardrum,n. 鼓膜，耳膜；中耳
prairie,n. 大草原；牧场
Himalayas,n. 喜马拉雅山脉
arboreal,adj. 树木的；栖息在树上的
neurotransmitter,n.  神经递质； 神经传递素
ephemeral,"adj. 短暂的；朝生暮死的
n. 只生存一天的事物"
folktale,n. 民间故事；民间传说
sludge,n. 烂泥；泥泞；泥状雪；沉淀物；（海上）小浮冰
hiccup,"n. 打嗝
vi. 打嗝
vt. 呃逆着（或间断地）说出"
entrench,"vt. 确立，牢固；用壕沟围住；挖掘
vi. 侵犯；挖掘壕沟"
figurine,n. 小雕像，小塑像
constituency,n. （选区的）选民；支持者；（一批）顾客
conifer,n. 针叶树； 松柏科植物
acorn,n.  橡子； 橡实
cheep,"n. 吱吱的叫声
vt. 吱吱地叫（过去式cheeped，过去分词cheeped，现在分词cheeping，第三人称单数cheeps，名词cheeper）"
remuneration,n. 报酬；酬劳，赔偿
hearth,n. 灶台；炉边；炉床；壁炉地面
serpentine,"n.  蛇纹石
vt. 使迂回曲折地行进
vi. 像蛇般行进
adj. 蜿蜒的；阴险的；弯弯曲曲的"
hiss,"n. 嘘声；嘶嘶声
vi. 发出嘘声；发嘘声"
pathogen,n. 病原体；病菌
algae,n.  藻类； 海藻
bask,"vt. 使…晒太阳；使暖和而舒适
vi. 晒太阳；取暖；愉快或舒适"
arthropod,"n. 节肢动物
adj. 节肢动物的"
ameliorate,"vt. 改善；减轻（痛苦等）；改良
vi. 变得更好"
anthropological,adj. 人类学的；人类学上的
conspicuous,adj. 显著的；显而易见的
bellow,"n. 吼叫声；轰鸣声
vi. 吼叫；怒吼；咆哮
vt. 大声喊叫；大声发出"
choreograph,"vt. 设计舞蹈动作；为…编舞
vi. 设计舞蹈动作"
fecund,adj. 肥沃的；多产的；丰饶的；生殖力旺盛的
turnpike,n.  收费高速公路；收税关卡
hoe,"n. 锄头
vi. 用锄耕地
vt. 锄，用锄头"
Pleistocene,n. 更新世；更新世岩
forage,"n. 饲料；草料；搜索
vi. 搜寻粮草；搜寻"
aquifer,n. （美）蓄水层；含水土层
dune,n. （由风吹积而成的）沙丘
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
obsidian,n. 黑曜石
supersede,"vt. 取代，代替；紧接着……而到来
vi. 推迟行动"
bovine,"n. 牛科动物
adj. 牛的；似牛的；迟钝的"
Jurassic,"adj. 侏罗纪的；侏罗系的
n.  侏罗纪"
circumvent,v. 包围；智取；绕行，规避
parish,"n. 教区
地方行政区"
chimp,n. （非洲的）黑猩猩
steppe,n. 大草原， 干草原（特指西伯利亚一带没有树木的大草原）
aspen,"n. 山杨
adj. 山杨的；类似白杨的；颤抖的"
taro,n. 芋头， 芋艿
barter,"n. 易货贸易；物物交换；实物交易
vt. 以…作为交换；拿…进行易货贸易
vi. 进行易货贸易； 作物物交换；讨价还价"
cult,n. 祭仪（尤其指宗教上的）；礼拜；狂热信徒
chariot,"n. 二轮战车
vt. 驾驭（过去式charioted，过去分词charioted，现在分词charioting，第三人称单数chariots）
vi. 乘战车；驾驭战车"
bidder,n. 投标人；出价人；命令者
titanium,n.  钛（金属元素）
calve,"vt. 下仔；生小牛；使崩解
vi. 生小牛；下仔；崩解"
instigate,vt. 唆使；煽动；教唆；怂恿
bode,"vt. 预示；为…的兆头
v. 停留；继续；遭到（bide的过去式）
vi. 预示"
genotype,n. 基因型；遗传型
enamor,vt. 使迷恋，使倾心
cobra,n. 眼镜蛇；（澳）头颅
flue,n. 烟道；暖气管；蓬松的东西；钩爪；渔网（等于flew）
ooze,"vt. 渗出；泄漏
vi. 渗出；泄漏
n.  软泥"
resin,"n. 树脂；松香
vt. 涂树脂；用树脂处理"
alp,n. 高山
kinetic,adj.  运动的；活跃的
estuary,n. 河口；江口
infantile,adj. 婴儿的；幼稚的；初期的
farmstead,n. 农庄；农场及其建筑物
clove,"n.  丁香
v. 劈开（cleave的过去式）"
fortuitous,adj. 偶然的，意外的；幸运的
flutter,"n. 摆动；鼓翼；烦扰
vt. 拍；使焦急；使飘动
vi. 飘动；鼓翼；烦扰"
genus,n. 类，种； 属
petrifaction,n. 石化；化石；吓呆
democratization,n. 民主化
deity,n. 神；神性
ensemble,"n. 全体；总效果；全套服装；全套家具；合奏组
adv. 同时"
protract,vt. 绘制；延长；伸展
bushel,"n. 蒲式耳
vt. 修整（衣服等）"
convulsion,n.  惊厥；动乱；震撼；震动
harken,"vt. 倾听；留心；听出（等于hearken）
vi. 倾听；留心"
Caucasian,"n. 白种人；高加索人
adj. 白种人的；高加索的"
scanty,adj. 缺乏的；吝啬的；仅有的；稀疏的
custodian,n. 管理人；监护人；保管人
bowel,"n. 肠；内部；同情
vt. 将……的肚肠取出"
relic,n. 遗迹，遗物；废墟；纪念物
fling,"n. 掷，抛；嘲弄；急冲
vt. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动
vi. 猛冲，急行"
ion,n.  离子
fledgling,n. 无经验的人；刚会飞的幼鸟
excrete,vt. 排泄；分泌
deciduous,adj. 落叶性的，脱落性的；非永久性的
hare,n. 野兔
legume,n. 豆类；豆科植物；豆荚
mutualism,n.  共栖，互利共生；互助论
epoch,n.  世；新纪元；新时代；时间上的一点
mustard,n. 芥末；芥菜；深黄色；强烈的兴趣
pomegranate,n. 石榴
aria,n. 咏叹调，独唱曲
flotation,n. 浮选（等于floatation）
scrubland,n. 灌木丛林地
fresco,n. 壁画
caput,n.  头；章
hemlock,n. 铁杉；毒芹属植物；毒胡萝卜
detritus,n. 碎石， 岩屑
intertidal,adj. 潮间带的；高潮线与低潮线之间的
stratify,"vt. 分层；成层；使形成阶层
vi. 分层；成层；阶层化"
shale,n.  页岩；泥板岩
feud,"n. 不和；争执；封地;（部落或家族间的）世仇
vi. 长期不和；长期争斗"
chondrite,n.  球粒状陨石
fortification,n.  设防； 防御工事；加强；配方
fern,n.  蕨； 蕨类植物
despondent,adj. 沮丧的；失望的
clamor,"n. 喧闹，叫嚷；大声的要求
vt. 喧嚷着说出
vi. 喧嚷，发喧嚣声；持续地喊声"
cascade,"n. 小瀑布，瀑布状物；串联
vi. 像瀑布般大量倾泻下来
vi. 像瀑布般悬挂着"
chromosome,n.  染色体（形容词chromosomal，副词chromosomally）
nebula,n. 星云；角膜云翳
loam,"n. 壤土；肥土（含有黏土、沙和有机物质的土地）；亚黏土
vt. 用壤土填"
precipitate,"n.  沉淀物
vt. 使沉淀；促成；猛抛；使陷入
adj. 突如其来的；猛地落下的；急促的
vi.  沉淀；猛地落下；冷凝成为雨或雪等"
befit,vt. 适合于；为…该做的；对…适当
capillary,"n. 毛细管
adj. 毛细管的；毛状的"
fen,n. 沼地，沼泽；沼泽地区
floodplain,n. 泛滥平原
enzyme,n.  酶
garrison,"n. 要塞；卫戍部队
vt. 驻防；守卫"
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
intraspecies,adj. 种内的
derrick,n. 起重机， 转臂起重机；油井的铁架塔
boulder,n. 卵石，大圆石；巨砾
calcite,n.  方解石
bulldozer,n. 推土机；欺凌者，威吓者
floral,adj. 花的；植物的，植物群的；花似的
dredge,"n. 挖泥船，疏浚机；拖捞网
vt. （用挖泥船等）疏浚；（用拖捞网等）捞取；（在食物上）撒（面粉等）
vi. 疏浚，挖掘；采捞"
crumble,"n. 面包屑
vi. 崩溃；破碎，粉碎
vt. 崩溃；弄碎，粉碎"
exponential,"n. 指数
adj. 指数的"
noria,n. （西班牙和东方国家的）戽水车
gully,"n. 冲沟；水沟
vt. 在…上开沟
vi. 形成沟"
smelter,n. 熔炉；冶金厂；熔炼工
pellet,"n. 小球； 小子弹（枪用）
vt. 将…制成丸状；用子弹打；用小球扔"
caterpillar,"adj. 有履带装置的
n.  毛虫；履带车"
laden,"adj. 负载的；装满的；苦恼的
vt. 装载（等于lade）
vi. 装载（等于lade）
v. 装载（lade的过去分词）"
sulfide,n.  硫化物
scavenger,n. 食腐动物；清道夫； 清除剂；拾荒者
fir,"n. 冷杉；枞木
abbr. 弗京（firkin）"
spore,"n. 孢子
vi. 长孢子"
detractor,n. 贬低者；诽谤者
lobe,n. （脑、肺等的）叶；裂片；耳垂；波瓣
grunt,"n. 咕哝；呼噜声
vt. 咕哝着说
vi. 作呼噜声；发哼声"
conceptualize,"vt. 使概念化
vi. 概念化"
flipper,"n. 鳍状肢；鳍；烤饼；胖听罐头
adj. 无礼的
vi. 靠鳍足（或鸭甲板）行动"
maroon,"n. 褐红色；逃亡黑人奴隶；孤立的人
v. 使孤立；放逐到无人岛上
adj. 褐红色的"
diagonal,"n. 对角线；斜线
adj. 斜的；对角线的；斜纹的"
fiddler,n. 拉提琴的人；小提琴手；骗子；游荡者
commensalism,n.  共栖；共生
quartz,n. 石英
fluorescent,"n. 荧光；日光灯
adj. 荧光的；萤光的；发亮的"
coyote,n. 一种产于北美大草原的小狼；引外国人从墨西哥偷渡进入美国的不法分子
broom,"n. 扫帚；金雀花
vt. 扫除
vi. 桩顶开花或开裂"
commissioner,n. 理事；委员；行政长官；总裁
Oceania,n. 大洋洲
geyser,n. 喷泉； 间歇泉；（英）烧水锅炉
diode,n.  二极管
slab,"n. 厚板，平板；混凝土路面；厚片
vt. 把…分成厚片；用石板铺"
etch,"n. 刻蚀；腐蚀剂
vt. 蚀刻；鲜明地描述；铭记
vi. 蚀刻"
flank,"n. 侧面；侧翼；侧腹
vt. 守侧面；位于…的侧面；攻击侧面
vi. 侧面与…相接
adv. 在左右两边"
conglomerate,"n.  砾岩；企业集团；聚合物
vi. 凝聚成团
adj. 成团的；砾岩性的
vt. 使聚结；凝聚成团"
engraving,"n. 雕刻；雕刻术；雕刻品
v. 在…上雕刻；给…深刻的印象（engrave的ing形式）"
granule,n. 颗粒
emulsion,n.  乳剂； 乳状液；感光乳剂
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
never,adv. 从未；决不
man-made,adj. 人造的；人工的；合成的
need,"n. 需要，要求；缺乏；必要之物
vt. 需要
vi. 需要"
underwater,"n. 水下
adj. 在水中的；水面下的
adv. 在水下"
nor,"conj. 也不；也不是
adv. 也不；也没有"
wet,"n. 雨天；湿气
adj.  潮湿的；有雨的
vt. 弄湿
vi. 变湿"
tax,"n. 税金；重负
vt. 向…课税；使负重担"
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
wait,"n. 等待；等候
vi. 等待；耽搁；伺候用餐
vt. 等候；推迟；延缓"
possible,"n. 可能性；合适的人；可能的事物
adj. 可能的；合理的；合适的"
least,"adj. 最小的；最少的（little的最高级）
adv. 最小；最少
n. 最小；最少"
traveler,n. 旅行者；旅客；旅行推销员（等于traveller）
farmer,n. 农夫，农民
exam,n. 考试；测验
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走"
windy,adj. 多风的，有风的；腹胀的；吹牛的
truth,n. 真理；事实；诚实；实质
lucky,adj. 幸运的；侥幸的
then,"conj. 然后，当时
n. 那时
adv. 然后；那么；于是；当时；此外"
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
