emperor,n. 皇帝，君主
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
judicious,adj. 明智的；头脑精明的；判断正确的
landfill,n. 垃圾填埋地；垃圾堆
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
quartz,n. 石英
longitudinal,adj. 长度的，纵向的；经线的
disillusion,"n. 幻灭；醒悟
vt. 使醒悟；使不再抱幻想"
clientele,n. 客户；诉讼委托人
holistic,adj. 整体的；全盘的
exodus,n. 《出埃及记》（《圣经》第二卷）
concur,vi. 同意；一致；互助
preventative,"n. 预防法；预防物
adj. 预防性的；防止的"
complementary,adj. 补足的，补充的
adjunct,"n. 附属物；助手；修饰语
adj. 附属的"
simplistic,adj. 过分简单化的；过分单纯化的
hiccup,"n. 打嗝
vi. 打嗝
vt. 呃逆着（或间断地）说出"
prowess,n. 英勇；超凡技术；勇猛
engross,vt. 使全神贯注；用大字体书写；正式写成（决议等）；独占；吸引
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
exuberant,adj. 繁茂的；生气勃勃的，充溢的
cavort,vi. 腾跃；欢跃；寻欢作乐
socialise,"vt. 使社会化；使社会主义化
vi. 参加社交活动；发生社交往来（等于socialize）"
optimum,"adj. 最适宜的
n. 最佳效果；最适宜条件"
molecule,n.  分子；微小颗粒，微粒
fitness,n. 健康；适当；适合性
regarding,prep. 关于，至于
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
creative,adj. 创造性的
consultant,n. 顾问；咨询者；会诊医生
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的"
in favour of,"na. 赞成；有利于；付与
 支持；赞同；以……为受益人"
fraction,n. 分数；部分；小部分；稍微
dictation,n. 听写；口述；命令
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
populate,vt. 居住于；构成人口；移民于；殖民于
merchandising,"n. 推销；销售规划
v. 推销；经营（merchandise的ing形式）"
meteorology,n. 气象状态，气象学
dealer,"n. 经销商；商人
n. 发牌员
n. 毒品贩子，贩毒者"
weapon,n. 武器，兵器
authorise,vt. 授权；批准；允许；委任（等于authorize）
pore over, 注视；钻研；凝视
spectator,n. 观众；旁观者
compatriot,"n. 同胞；同国人
adj. 同胞的；同国的"
dreadful,adj. 可怕的；糟透的，令人不快的
laboratory,n. 实验室，研究室
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
alchemist,n. 炼金术士
less than,"adj. 少于
 不到；小于；低于"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
derive,"vt. 源于；得自；获得
vi. 起源"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
minimal,adj. 最低的；最小限度的
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
vivid,adj. 生动的；鲜明的；鲜艳的
as for,"na. 至于
 关于；就…而言；对于"
to,"prep. 到；向；（表示时间、方向）朝…方向
adv. 向前；（门等）关上"
enclose,vt. 围绕；装入；放入封套
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
on the horizon,"na. 在地平线上
 在那地平线上；即将来临的；刚刚冒出地平线"
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
achievement,n. 成就；完成；达到；成绩
dusk,"n. 黄昏，薄暮；幽暗，昏暗
vt. 使变微暗
adj. 微暗的
vi. 变微暗"
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
arable,"n. 耕地
adj. 适于耕种的；可开垦的"
congested,"adj. 堵塞的，拥挤的
v. 挤满；超负荷（congest的过去分词）"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
distinct,adj. 明显的；独特的；清楚的；有区别的
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
Nordic,"adj. 北欧人的；斯堪的纳维亚的；日耳曼民族的
n. 北欧人；日耳曼民族；斯堪的纳维亚人；具有北欧日尔曼民族外貌特征的人"
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
womb,"n.  子宫；发源地
vt. 容纳"
advantageous,adj. 有利的；有益的
manoeuvre,"vi. 调动；演习；用策略
vt. 诱使；操纵；耍花招
n. 策略（等于maneuvre）"
predatory,adj. 掠夺的，掠夺成性的；食肉的；捕食生物的
converse,"n. 逆行，逆向；倒；相反的事物
adj. 相反的，逆向的；颠倒的
vi. 交谈，谈话；认识
n. 匡威（服装品牌）"
context,n. 环境；上下文；来龙去脉
entrepreneurial,adj. 企业家的，创业者的；中间商的
dearth,n. 缺乏；饥馑；粮食不足
adventurous,adj. 爱冒险的；大胆的；充满危险的
exploitative,adj. 剥削的；利用的；开发资源的
impoverish,vt. 使贫穷；使枯竭
convection,n.  对流；传送
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
overlie,vt. 躺在…上面；覆在…上面；压在（婴儿、幼仔）身上使之窒息而死
brittle,adj. 易碎的，脆弱的；易生气的
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
extrusion,n. 挤出；推出；赶出；喷出
pumice,"n. 浮石；轻石
vt. 用轻石磨；用浮石去污；磨光"
predictable,adj. 可预言的
geological,adj. 地质的，地质学的
halve,vt. 二等分；把……减半
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
harbour,"n. 海港（等于harbor）；避难所
vt. 庇护；藏匿；入港停泊
vi. 藏匿；入港停泊；庇护"
hybrid,"n. 杂种，混血儿；混合物
adj. 混合的；杂种的"
inhale,"vt. 吸入；猛吃猛喝
vi. 吸气"
decibel,n. 分贝
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
cherry,n. 樱桃；樱桃树；如樱桃的鲜红色；处女膜，处女
contingency,n. 偶然性； 意外事故；可能性； 意外开支；偶然式
for the sake of,"adv. 为了…起见
 为了…的利益；为了…的目的；为了…的缘故"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
stance,n. 立场；姿态；位置；准备击球姿势
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
mate,"n. 助手，大副；配偶；同事；配对物
vt. 使配对；使一致；结伴
vi. 交配；成配偶；紧密配合"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
discredit,"n. 怀疑；无信用；名声的败坏
vt. 不信；使……丢脸"
flora,n. 植物区系；植物群
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
anticipate,vt. 预期，期望；占先，抢先；提前使用
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
undetected,adj. 未被发现的；未检测到的
shaft,"n. 拍杆； 轴；箭杆；杆状物
vt. 利用；在……上装杆"
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
instrumental,"n. 器乐曲；工具字，工具格
adj. 乐器的；有帮助的；仪器的，器械的"
load,"n. 负载，负荷；工作量；装载量
vi.  加载；装载；装货
vt. 使担负；装填"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
abolish,vt. 废除，废止；取消，革除
conception,n. 怀孕；概念；设想；开始
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
qualitative,adj. 定性的；质的，性质上的
accountant,n. 会计师；会计人员
plaster,"n. 石膏；灰泥；膏药
vt. 减轻；粘贴；涂以灰泥；敷以膏药；使平服"
storey,n.  楼层；叠架的一层
gang,"n. 群；一伙；一组
vt. 使成群结队；结伙伤害或恐吓某人
vi. 成群结队"
enterprise,n. 企业；事业；进取心；事业心
verify,vt. 核实；查证
string,n. 线，弦，细绳；一串，一行
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
manor,n. 庄园；领地；采邑，采地
location,n. 位置（形容词locational）；地点；外景拍摄场地
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
irresistible,adj. 不可抵抗的；不能压制的；极为诱人的
fluency,"n. （语言、文章）流利；（技能）娴熟
n. 流畅度（写作演讲等）"
transcription,n. 抄写；抄本；誊写
introspection,n. 内省；反省
elicitation,n. 引出；诱出；抽出
informant,n. 被调查者；告密者；提供消息者
ambiguity,n. 含糊；不明确；暧昧；模棱两可的话
generative,adj. 生殖的；生产的；有生殖力的；有生产力的
recourse,n. 求援，求助； 追索权；依赖；救生索
scrupulous,adj. 细心的；小心谨慎的；一丝不苟的
utterance,n. 表达；说话；说话方式
emeritus,adj. 退休的；名誉退休的
bilingual,"n. 通两种语言的人
adj. 双语的"
substitution,n. 代替； 置换；代替物
mundane,adj. 世俗的，平凡的；世界的，宇宙的
foreseeable,adj. 可预知的；能预测的
invoke,vt. 调用；祈求；引起；恳求
hurl,"n. 用力的投掷
vt. 丢下；用力投掷；愤慨地说出
vi. 猛投；猛掷"
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
mushroom,"n. 蘑菇，伞菌；蘑菇形物体；暴发户
adj. 蘑菇的；蘑菇形的；迅速生长的
vi. 迅速增加；采蘑菇；迅速生长"
adaptation,n. 适应；改编；改编本，改写本
elite,n. 精英；精华；中坚分子
up-to-date,adj. 最新的，最近的；现代的，新式的
bury,vt. 埋葬；隐藏
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
award,"n. 奖品；判决
vt. 授予；判定"
hassle,"n. 困难，麻烦；激战
vt. 找麻烦，搅扰；与…争辩；使…烦恼
vi. 争论，争辩"
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
restrain,vt. 抑制，控制；约束；制止
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
signpost,n. 路标；指示牌
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
artefact,n. 工艺品；人工制品，加工品
highland,"n. 高地；丘陵地带
adj. 高原的；高地的"
application,n. 应用；申请；应用程序；敷用
acquaintance,n. 熟人；相识；了解；知道
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
guideline,"n. 指导方针
参考"
hemisphere,n. 半球
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
viable,adj. 可行的；能养活的；能生育的
cameral,adj. 有关立法或司法机构之一院的
gigantic,adj. 巨大的，庞大的
venue,n. 审判地；犯罪地点；发生地点；集合地点
grieve,"vi. 悲痛，哀悼
vt. 使悲伤，使苦恼"
studio,n. 工作室； 演播室；画室；电影制片厂
inhabitant,n. 居民；居住者
suicidal,adj. 自杀的，自杀性的；自我毁灭的；自取灭亡的
bilateral,adj. 双边的；有两边的
clinic,n. 临床；诊所
memorable,adj. 显著的，难忘的；值得纪念的
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
scholar,n. 学者；奖学金获得者
compete,vi. 竞争；比赛；对抗
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
in vain,"na. 无益地；轻慢地
 徒劳；徒然；白白地"
alley,n. 小巷；小路；小径
dolphin,n. 海豚
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
platform,n. 平台；月台，站台；坛；讲台
atmosphere,n. 气氛；大气；空气
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
excitement,n. 兴奋；刺激；令人兴奋的事物
contradiction,n. 矛盾；否认；反驳
painstaking,"adj. 艰苦的；勤勉的；小心的
n. 辛苦；勤勉"
pursuit,n. 追赶，追求；职业，工作
humanistic,adj. 人文主义的；人道主义的
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
apportion,vt. 分配，分派；分摊
finitude,n. 有限；界限；限制
exhaustible,adj. 可被用尽的；会枯竭的
revelation,n. 启示；揭露；出乎意料的事；被揭露的真相
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
attainable,adj. 可得到的；可达到的；可到达的
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
cuisine,n. 烹饪，烹调法
reputable,adj. 声誉好的；受尊敬的；卓越的
overshadow,vt. 使失色；使阴暗；遮阴；夺去…的光彩
unparalleled,adj. 无比的；无双的；空前未有的
opulence,n. 富裕；丰富
supersede,"vt. 取代，代替；紧接着……而到来
vi. 推迟行动"
exploitation,n. 开发，开采；利用；广告推销；剥削
passionate,adj. 热情的；热烈的，激昂的；易怒的
poisonous,adj. 有毒的；恶毒的；讨厌的
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
mysterious,adj. 神秘的；不可思议的；难解的
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
passport,n. 护照，通行证；手段
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
dissemination,n. 宣传；散播；传染（病毒）
perpetual,adj. 永久的；不断的；四季开花的；无期限的
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
column,n. 纵队，列；专栏；圆柱，柱形物
source,n. 来源；水源；原始资料
cater,vt. 投合，迎合；满足需要；提供饮食及服务
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
flexible,adj. 灵活的；柔韧的；易弯曲的
penalty,n. 罚款，罚金；处罚
comply,vi. 遵守；顺从，遵从；答应
racket,"n. 球拍；吵闹，喧闹
vt. 过着花天酒地的生活
vi. 过着花天酒地的生活"
wire,"n. 电线；金属丝；电报
vt. 拍电报；给…装电线
vi. 打电报"
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
canteen,n. 食堂，小卖部；水壶
aeronautics,n. 航空学；飞行术
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
bit,"n.  比特（二进位制信息单位）；少量；马嚼子；辅币；老一套；一点，一块
adj. 很小的；微不足道的
vt. 咬（bite的过去式和过去分词）
vt. 控制
adv. 有点儿；相当"
conceal,vt. 隐藏；隐瞒
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
haphazard,"n. 偶然；偶然事件
adj. 偶然的；随便的；无计划的
adv. 偶然地；随意地"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
feasible,adj. 可行的；可能的；可实行的
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
existence,n. 存在，实在；生存，生活；存在物，实在物
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
slurry,n. 泥浆；悬浮液
admission,n. 承认；入场费；进入许可；坦白；录用
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
jaw,"n. 颌；下巴；狭窄入口；唠叨
vt. 教训；对…唠叨
vi. 教训；唠叨"
inference,n. 推理；推论；推断
loop,"vi. 打环；翻筋斗
n. 环；圈；弯曲部分；翻筋斗
vt. 使成环；以环连结；使翻筋斗"
subtract,vt. 减去；扣掉
linguistic,adj. 语言的；语言学的
aptitude,n. 天资；自然倾向；适宜
lava,n. 火山岩浆；火山所喷出的熔岩
premier,"n. 总理，首相
adj. 第一的；最初的"
enquiry,n.  询问， 询盘
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
universe,n. 宇宙；世界；领域
skull,n. 头盖骨，脑壳
domination,n. 控制；支配
animate,"adj. 有生命的
vt. 使有生气；使活泼；鼓舞；推动"
accountancy,n. 会计工作；会计学；会计师之职
availability,n. 可用性；有效性；实用性
payable,adj. 应付的；到期的；可付的；可获利的
solicitor,n. 律师；法务官；募捐者；掮客
departure,n. 离开；出发；违背
audit,"n. 审计； 查账
vt. （美）旁听
vi. 审计； 查账"
receipt,"n. 收到；收据；收入
vt. 收到"
scamper,"n. 蹦跳；奔跑
vi. 蹦蹦跳跳；奔跑，惊惶奔跑"
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
encode,vt. （将文字材料）译成密码；编码，编制成计算机语言
scout,"n. 搜索，侦察；侦察员；侦察机
vt. 侦察；跟踪，监视；发现
vi. 侦察；巡视；嘲笑"
regurgitate,"vt. 使回流；使回涌；使反刍
vi. 回流；回涌；反胃；反刍"
propellant,"n. 推进物；推进燃料；发射火药
adj. 推进的"
ejection,n. 喷出；排出物
barrage,"n. 弹幕；阻塞；齐射式攻击； 拦河坝
vt. 以密集炮火进攻
vi. 以密集火力阻击"
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
transition,n. 过渡；转变； 转换；变调
realm,n. 领域，范围；王国
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
friction,n. 摩擦， 摩擦力
astronaut,n. 宇航员，航天员；太空旅行者
banner,"n. 横幅图片的广告模式
n. 旗帜，横幅,标语"
ounce,n. 盎司；少量；雪豹
technique,n. 技巧，技术；手法
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
petrol,n. （英）汽油
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤"
arboreal,adj. 树木的；栖息在树上的
facade,n. 正面；表面；外观
post-mortem,"n. 验尸
adv. 死后，在死后
adj. 验尸的；死后的
vt. 对……验尸"
disillusionment,n. 幻灭；醒悟
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
blunt,"adj. 钝的，不锋利的；生硬的；直率的
vt. 使迟钝"
stockpile,"n. 库存；积蓄
vt. 贮存；储蓄
vi. 积累；储备物资"
indicate,vt. 表明；指出；预示；象征
statistically,adv. 统计地；统计学上
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
uncertainty,n. 不确定，不可靠
hypothesis,n. 假设
ultraclean,adj.  超净的
mountainous,adj. 多山的；巨大的；山一般的
trim,"n. 修剪；整齐；情形
vt. 修剪；整理；装点
adj. 整齐的
vi. 削减"
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
orientation meeting,比赛季节开始时研究训练和比赛的会议
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
amorphous,adj. 无定形的；无组织的； 非晶形的
solve,"vt. 解决；解答；溶解
vi. 作解答"
blade,n. 叶片；刀片，刀锋；剑
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
bulletin,"n. 公告，公报
vt. 公布，公告"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
chapel,"n. 小礼拜堂，小教堂；礼拜
adj. 非国教的"
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
foil,"n. 箔，金属薄片；衬托，烘托；叶形片
abbr. 面向文件的翻译语言（file-Oriented interpretive language）
vt. 衬托；阻止，挡开；挫败；贴箔于"
invoice,"n. 账单，发货单，收款请求
vt. 开发票；记清单"
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
transmute,"vt. 使变形；使变质
vi. 变形；变质"
analyse,vt. 分析；分解；细察
acoustic,"n. 原声乐器；不用电传音的乐器
adj. 声学的；音响的；听觉的"
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
breakthrough,n. 突破；突破性进展
microprocessor,n.  微处理器
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
generalise,"vi. 推广；笼统地讲；概括（等于generalize）
vt. 概括；归纳；普及"
remarkable,adj. 卓越的；非凡的；值得注意的
clot,"n.  凝块
vi. 凝结
vt. 使凝结成块"
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
exemplify,vt. 例证；例示
herdsman,n. 牧人
formulation,n. 构想，规划；公式化；简洁陈述
exploratory,adj. 勘探的；探究的；考察的
pasture,"n. 草地；牧场；牧草
vt. 放牧；吃草"
nutrient,"n. 营养物；滋养物
adj. 营养的；滋养的"
plough,"n. 犁；耕地（等于plow）
vi. 用犁耕田；开路
vt. 犁；耕"
patriotic,adj. 爱国的
scrub,"n. 矮树；洗擦；擦洗者；矮小的人（或物）
vt. 用力擦洗；使净化
vi. 擦洗；进行手臂消毒
adj. 矮小的；临时凑合的；次等的"
formality,n. 礼节；拘谨；仪式；正式手续
perquisite,n. 额外补贴；临时津贴；特权
heighten,"vt. 提高；增高；加强；使更显著
vi. 升高；变强"
assimilation,n. 同化；吸收； 同化作用
necessity,n. 需要；必然性；必需品
disposable,adj. 可任意处理的；可自由使用的；用完即可丢弃的
ingenuity,"n. 心灵手巧，独创性；精巧；精巧的装置
n. 西门子公司将其品牌宣言“Ingenuity for life” 诠释为“博大精深 同心致远”"
simplicity,n. 朴素；简易；天真；愚蠢
luxuriant,adj. 繁茂的；丰富的；奢华的；肥沃的
consequential,adj. 间接的；结果的；重要的；随之发生的；自傲的
scour,"n. 擦，冲刷；洗涤剂；（畜类等的）腹泻
vt. 擦亮，洗涤；冲洗，清除
vi. 冲刷；擦；腹泻"
seasonal,adj. 季节的；周期性的；依照季节的
murky,adj. 黑暗的；朦胧的；阴郁的
melatonin,n. 褪黑激素；N-乙酰-5-甲氧基色胺
cue,"n. 提示，暗示；线索
vt. 给…暗示"
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
revolution,n. 革命；旋转；运行；循环
ID card,"n. 身份证
 身分证；身份证号码；身份卡"
romance,"n. 传奇；浪漫史；风流韵事；冒险故事
vi. 虚构；渲染；写传奇"
currently,adv. 当前；一般地
inferential,adj. 推理的；推论的；根据推理的
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
output,"n. 输出，输出量；产量；出产
vt. 输出"
stash,"n. 藏匿处；藏匿物
vt. 存放；贮藏
vi. 存放；藏起来"
species,"n.  物种；种类
adj. 物种上的"
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
competent,adj. 胜任的；有能力的；能干的；足够的
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
available,adj. 可获得的；可购得的；可找到的；有空的
illustration,n. 说明；插图；例证；图解
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
