deviate,"vi. 脱离；越轨
vt. 使偏离"
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
prolong,vt. 延长；拖延
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
supervisor,n. 监督人， 管理人；检查员
specialization,n. 专门化；特殊化；特化作用
unilateral,adj. 单边的； 单侧的；单方面的；单边音；（父母）单系的
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害"
watchdog,n. 看门狗；监察人；忠实的看守人
conception,n. 怀孕；概念；设想；开始
versatile,adj. 多才多艺的；通用的，万能的；多面手的
underdeveloped,adj. 不发达的
disability,n. 残疾；无能；无资格；不利条件
scenario,n. 方案；情节；剧本；设想
constrict,vt. 压缩；束紧
rein,"n. 缰绳；驾驭；统治；支配
vt. 控制；驾驭；勒住
vi. 勒住马"
reside,vi. 住，居住；属于
sniff at,"v. 嗤之以鼻
 对…嗤之以鼻；用鼻吸；轻蔑地批评"
work through,"un. 急救；推敲；过…关；贯穿
 通过……工作；完成；修通"
right off the bat,"na. “hot off the bat”的变体
 立刻；立即；马上"
off the bat, 马上；立即；立刻
clamp down,"v. 严厉打击；强制执行；严禁；施压
 取缔；施加压力；对……施压"
clamp down on ...,找不到解释
out of character,"na. 不适当
 角色个性偏差；不相称；不相符"
under the weight of,"na. 在…的重压下
 迫于；在……重压下；以货代款"
