considerable,adj. 相当大的；重要的，值得考虑的
decimal,"n. 小数
adj. 小数的；十进位的"
denominator,n.  分母；命名者；共同特征或共同性质；平均水平或标准
derivative,"n.  衍生物，派生物；导数
adj. 派生的；引出的"
deviation,n. 偏差；误差；背离
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
enumerate,vt. 列举；枚举；计算
error,n. 误差；错误；过失
even,"adj.  偶数的；平坦的；相等的
adv. 甚至；即使；还；实际上
vt. 使平坦；使相等
vi. 变平；变得可比较；成为相等"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
exponent,"n.  指数；典型；说明者，说明物
n. 倡导者，鼓吹者，代表者，拥护者
adj. 说明的"
formula,n.  公式，准则；配方；婴儿食品
hyperbola,n.  双曲线
infinity,n. 无穷；无限大；无限距
intersect,"vt. 横断，横切；贯穿
vi. 相交，交叉"
intersection,n. 交叉；十字路口；交集；交叉点
invariance,n. 不变性；不变式
logarithm,n.  对数
maximize,"vt. 取…最大值；对…极为重视
vi. 尽可能广义地解释；达到最大值"
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
numerator,n. 分子；计算者；计算器
pentagon,n. 五角形
percentage,n. 百分比；百分率，百分数
permutation,n.  排列； 置换
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
progression,n. 前进；连续
quadrant,n. 象限； 象限仪；四分之一圆
quotient,n.  商；系数；份额
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
statistics,n. 统计；统计学； 统计资料
summation,n. 和； 总和；合计
addition,n. 添加； 加法；增加物
classification,n. 分类；类别，等级
combination,n. 结合；组合；联合； 化合
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
dimensional,adj. 空间的；尺寸的
fraction,n. 分数；部分；小部分；稍微
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
equation,n. 方程式，等式；相等； 反应式
circumference,n. 圆周；周长；胸围
cone,"n. 圆锥体，圆锥形； 球果
vt. 使成锥形"
cylinder,n. 圆筒；汽缸； 柱面；圆柱状物
diameter,n. 直径
ellipse,n.  椭圆形， 椭圆
geometry,"n. 几何学
几何结构"
geometric,adj. 几何学的； 几何学图形的
perimeter,n. 周长；周界； 视野计
polygon,n. 多边形；多角形物体
radius,n. 半径，半径范围； 桡骨；辐射光线；有效航程
rectangle,n. 矩形；长方形
square,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地"
symmetry,n. 对称（性）；整齐，匀称
asymmetry,n. 不对称
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
ranger,n. 突击队员；漫游者；骑警；别动队员
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
beneficial,adj. 有益的，有利的；可享利益的
discounted,"adj. 已贴现的；已折扣的
v. 打折扣（discount的过去分词）；不重视"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
secret,"n. 秘密；秘诀；机密
adj. 秘密的；机密的"
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
healthcare,n. 医疗保健；健康护理，健康服务；卫生保健
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂"
purchaser,n. 买方；购买者
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
along with,"na. 与…一道；以外
 与……一起；伴随；和…一起"
one-off,"n. 一次性事物
adj. 一次性的"
amusement,n. 消遣，娱乐；乐趣
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
coordination,n. 协调，调和；对等，同等
coordinator,n. 协调者； 协调器；同等的人或物
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
consultation,n. 咨询；磋商； 会诊；讨论会
convention,n. 大会； 惯例； 约定； 协定；习俗
meeting,"n. 会议；会见；集会；汇合点
v. 会面；会合（meet的ing形式）"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
intercede,vi. 调解，调停；求情，说项
negotiable,adj. 可通过谈判解决的；可协商的
pact,n. 协定；公约；条约；契约
reconcile,vt. 使一致；使和解；调停，调解；使顺从
reconciliation,n. 和解；调和；和谐；甘愿
treaty,n. 条约，协议；谈判
unanimity,n. 同意，全体一致
amuse,vt. 娱乐；消遣；使发笑；使愉快
distraction,n. 注意力分散；消遣；心烦意乱
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
leisured,adj. 从容的；有闲的
pastime,n. 娱乐，消遣
recess,"n. 休息；休会；凹处
vt. 使凹进；把…放在隐蔽处
vi. 休息；休假"
recreate,"vt. 再创造；使得到娱乐/消遣
vi. 娱乐；消遣"
recreation,n. 娱乐；消遣；休养
recreational,adj. 娱乐的，消遣的；休养的
relaxation,n. 放松；缓和；消遣
repose,"n. 休息；睡眠；静止
vt. 使休息；寄托于
vi. 休息；座落；长眠；依靠；静卧；建立于"
slacken,"vi. 松劲，懈怠；变松弛；变缓慢
vt. 使缓慢；使松弛"
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
entitlement,n. 权利；津贴
subsidise,vt. 给…津贴或补贴，资助或补助…
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
well-being,n. 幸福；康乐
enthusiast,n. 狂热者，热心家
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
jet,"n. 喷射，喷嘴；喷气式飞机；黑玉
adj. 墨黑的
vt. 射出
vi. 射出； 乘喷气式飞机"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
equipment,n. 设备，装备；器材
enable,vt. 使能够，使成为可能；授予权利或方法
climb,"n. 爬；攀登
vi. 爬；攀登；上升
vt. 爬；攀登；上升"
vertically,adv. 垂直地
forwards,adv. 向前；今后
backwards,adv. 倒；向后；逆
crazy,adj. 疯狂的；狂热的，着迷的
devoted,"v. 献身于…；致力于…（devote的过去分词）
adj. 献身的；忠诚的"
fanatic,"n. 狂热入迷者；盲信者；盲信
adj. 狂热的；盲信的"
fanaticism,n. 狂热，著迷；盲信
frenetic,"n. 疯子；狂人
adj. 狂热的；发狂的"
frenzy,"n. 狂暴；狂怒；暴怒
vt. 使发狂；使狂怒"
furor,n. 狂热；激怒；喧闹；感动
mania,n. 狂热；狂躁；热衷
zealotry,n. 狂热的行为；狂言；狂热
ardent,adj. 热情的；热心的；激烈的；燃烧般的
ardor,n. 热情；狂热；灼热
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
enthusiasm,n. 热心，热忱，热情
enthusiastic,adj. 热情的；热心的；狂热的
fervent,adj. 热心的；强烈的；炽热的；热烈的
fervor,n. 热情；热烈；热心；炽热
passionate,adj. 热情的；热烈的，激昂的；易怒的
verve,n. 热情；神韵；活力；气魄
zeal,n. 热情；热心；热诚
zealous,adj. 热心的，热情的，积极的
zest,"n. 风味；热心；强烈的兴趣
vt. 给…调味"
ache for, 渴望；想念；深切同情
aspire,vi. 渴望；立志；追求
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
crave,"vi. 渴望；恳求
vt. 渴望；恳求"
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
desirous,adj. 渴望的；想要的
desperate for, 急需；迫切需要的；极想得到
hunger,"n. 饿，饥饿；渴望
vt. 使……挨饿
vi. 渴望；挨饿"
long,"n. 长时间； 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终"
reverie,n. 幻想；沉思；幻想曲
yearn,vi. 渴望，向往；思念，想念；怀念；同情，怜悯
yen,"n. 日元（日本货币单位）；渴望
vi. 渴望"
clockwise,"adj. 顺时针方向的
adv. 顺时针方向地"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
disorientate,vt. 使迷惑；使失去方向感
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
orientate,"vi. 向东；定向
vt. 给...定位；使适应"
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
uphill,"n. 上升；登高
adj. 上坡的，向上的
adv. 向上地；往上坡"
typical,adj. 典型的；特有的；象征性的
typically,adv. 代表性地；作为特色地
high-pitched,adj. 声调高的；声音尖锐的；紧张的；陡的
exaggerated,"v. 夸张，夸大（exaggerate的过去式）
adj. 夸张的，言过其实的"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
exaggeration,n. 夸张；夸大之词；夸张的手法
repetitious,adj. 重复的；唠唠叨叨的
repetition,n. 重复；背诵；副本
source,n. 来源；水源；原始资料
fascination,n. 魅力；魔力；入迷
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
linguist,"n. 语言学家
学多种外语的人"
linguistic,adj. 语言的；语言学的
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
boastful,adj. 自夸的；自负的；喜夸耀的
bombastic,adj. 夸大的；言过其实的
brag,"n. 吹牛，自夸
vi. 吹牛，自夸
vt. 吹牛，吹嘘"
magniloquent,adj. 夸张的；说大话的
overstate,vt. 夸张；夸大的叙述
pretentious,adj. 自命不凡的；炫耀的；做作的
acquaint,vt. 使熟悉；使认识
acquaintance,n. 熟人；相识；了解；知道
ambiguous,adj. 模糊不清的；引起歧义的
apprehend,"vt. 理解；逮捕；忧虑
vi. 理解；担心"
comprehend,vt. 理解；包含；由…组成
comprehensible,adj. 可理解的
comprehension,n. 理解；包含
comprehension,n. 理解；包含
evident,adj. 明显的；明白的
explicit,adj. 明确的；清楚的；直率的；详述的
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
ignorance,n. 无知，愚昧；不知，不懂
ignorant,adj. 无知的；愚昧的
intelligible,adj. 可理解的；明了的；仅能用智力了解的
unintelligible,adj. 莫名其妙的；无法了解的
incomprehensible,adj. 费解的；不可思议的；无限的
tangibly,adv. 可触知地；明白地
tangible,"n. 有形资产
adj. 有形的；切实的；可触摸的"
intangible,adj. 无形的，触摸不到的；难以理解的
understandable,adj. 可以理解的；可以了解的
understanding,"n. 谅解，理解；理解力；协议
v. 理解；明白（understand的ing形式）
adj. 了解的；聪明的；有理解力的"
acquisition,n. 获得物，获得；收购
acquire,vt. 获得；取得；学到；捕获
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
alphabetical,adj. 字母的； 依字母顺序的
first-language acquisition,找不到解释
language acquisition, 语言习得；语言获得；语言的习得
language study, 语言学习；语言点学习；语言学习频道
mother tongue,"n. 母语；本国语
 本族语；本国语言；母语式"
native language,"n. 本族语
 母语；本国语；本国语言"
oral,"n. 口试
adj. 口头的，口述的"
phonetic,adj. 语音的，语音学的；音形一致的；发音有细微区别的
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
pronounceable,adj. 可发音的，可断言的
spoken language,"na. 口语；“oral language”的变体
 语言；口头语言；言语"
accost,vt. 勾引；引诱；对…说话；搭讪
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈"
coax,"vt. 哄；哄诱；慢慢将…弄好
vi. 哄骗；劝诱"
colloquial,adj. 白话的；通俗的；口语体的
confide,"vt. 吐露；委托
vi. 信赖；吐露秘密"
declaim,"vt. 演讲；慷慨激昂地发表
vi. 慷慨陈词；演讲；朗读"
dumb,adj. 哑的，无说话能力的；不说话的，无声音的
mute,"adj. 哑的；沉默的；无声的
vt. 减弱……的声音；使……柔和
n. 哑巴；弱音器；闭锁音"
speechless,adj. 说不出话的；哑的；非言语所能表达的
voiceless,adj. 无声的；清音的；沉默的
effuse,"adj.  疏展的
vt. 流出；涌出；泻出
vi. 流出；涌出；泻出"
equivocate,vi. 说模棱两可的话；支吾， 躲闪；推诿；含糊其词
excuse,"n. 借口；理由
vt. 原谅；为…申辩；给…免去
vi. 作为借口；请求宽恕；表示宽恕"
gabble,"n. 急促不清的话
vt. 喋喋不休地说；七嘴八嘴地说
vi. 急促而含糊地说话"
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
grumble,"n. 怨言
adv. 抱怨地表示；嘟囔地说
vi. 抱怨；嘟囔
vt. 喃喃地说出"
hearsay,"n. 传闻，谣言
adj. 传闻的，风闻的"
hoarse,"adj. 嘶哑的
嘶哑地"
hubbub,n. 喧哗；骚动
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
oration,n. 演说；致辞；叙述法
outwit,vt. 瞒骗；以智取胜
rumble,"n. 隆隆声；抱怨声
vi. 隆隆作响
vt. 使隆隆响；低沉地说"
solicit,"vt. 征求；招揽；请求；乞求
vi. 征求；招揽；恳求；请求"
psychologist,n. 心理学家，心理学者
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
undergo,vt. 经历，经受；忍受
transformation,n.  转化；转换；改革；变形
meaningful,adj. 有意义的；意味深长的
trait,n. 特性，特点；品质；少许
attribute,"n. 属性；特质
vt. 归属；把…归于"
personality,n. 个性；品格；名人
adorable,adj. 可爱的；可敬重的，值得崇拜的
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
aspiring,"v. 立志（aspire的ing形式）
adj. 有抱负的；追求…的；高耸的"
aspire,vi. 渴望；立志；追求
bravery,n. 勇敢；勇气
brave,"n. 勇士
adj. 勇敢的；华丽的
vt. 勇敢地面对"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
courageous,adj. 有胆量的，勇敢的
courage,n. 勇气；胆量
daring,"n. 胆量，勇气
v. 敢（dare的现在分词）
adj. 大胆的，勇敢的"
fearless,adj. 无畏的；大胆的
forgiving,"adj. 宽恕的；宽容的；宽大的
v. 原谅；豁免（forgive的ing形式）"
genial,adj. 亲切的，友好的；和蔼的；适宜的
amiable,adj. 和蔼可亲的，亲切的
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
humor,"n. 幽默，诙谐；心情
vt. 迎合，迁就；顺应"
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
ingenuous,adj. 天真的；坦白的；正直的；朴实的
naive,"adj. 天真的,幼稚的"
intrepid,adj. 无畏的；勇敢的；勇猛的
intrepidity,n. 无畏；大胆
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
perfection,n. 完善；完美
quick wit, 急智；机智灵敏；机敏
romantic,"n. 浪漫的人
adj. 浪漫的；多情的；空想的
vt. 使…浪漫化"
romanticism,n. 浪漫主义；浪漫精神
spunky,adj. 有精神的；容易发怒的；充满勇气的；生气蓬勃的
arbitrary,adj.  任意的；武断的；专制的
arrogant,adj. 自大的，傲慢的
haughty,adj. 傲慢的；自大的
bad-tempered,adj. 脾气不好的；易怒的
barbaric,adj. 野蛮的，粗野的；原始的
savage,"n. 未开化的人；粗鲁的人；残暴成性的人
adj. 野蛮的；残酷的；狂怒的；荒凉的
vt. 乱咬；粗暴的对待"
bossy,"n. 母牛；牛犊
adj. 专横的；浮雕装饰的；爱指挥他人的"
conceited,adj. 自负的；狂想的；逞能的
conceit,"n. 自负；狂妄；幻想
vt. 幻想"
dishonest,adj. 不诚实的；欺诈的
honest,adj. 诚实的，实在的；可靠的；坦率的
foxy,adj. 狡猾的；赤褐色的；如狐的
crafty,adj. 狡猾的；灵巧的
hasty,"adj. 轻率的；匆忙的；草率的；懈怠的
"
haste,"n. 匆忙；急忙；轻率
vt. 赶快
vi. 匆忙；赶紧"
hasten,"vt. 加速；使赶紧；催促
vi. 赶快；急忙"
hypocritical,adj. 虚伪的；伪善的
hypocrisy,n. 虚伪；伪善
impatient,adj. 焦躁的；不耐心的
irresponsible,adj. 不负责任的；不可靠的
responsible,adj. 负责的，可靠的；有责任的
irritable,adj. 过敏的；急躁的；易怒的
irritation,n. 刺激；激怒，恼怒，生气；兴奋；令人恼火的事
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
inactive,adj. 不活跃的；不活动的；怠惰的；闲置的
quarrelsome,adj. 喜欢吵架的；好争论的
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
selfish,adj. 自私的；利己主义的
vulgar,"n. 平民，百姓
adj. 粗俗的；通俗的；本土的"
vulgarity,n. 粗俗；粗俗语；粗野的动作
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
hull,"n. 船体；（果实的）外壳
vt.  去壳"
hang,"n. 悬挂；暂停，中止
vt. 悬挂，垂下；装饰；绞死；使悬而未决
vi. 悬着，垂下；被绞死；悬而不决"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
clear of sth.,找不到解释
seabed,n. 海底；海床
suction,n. 吸；吸力；抽吸
surrounding,"n. 环境，周围的事物
adj. 周围的，附近的"
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
surroundings,n. 环境；周围的事物
mud,"vt. 弄脏；用泥涂
vi. 钻入泥中
n. 泥；诽谤的话；无价值的东西"
salvage,"n. 打捞；海上救助；抢救财货；救难的奖金
vt. 抢救；海上救助"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
progression,n. 前进；连续
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
cape,n.  海角，岬；披肩
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
coastal,adj. 沿海的；海岸的
gulf,"n. 海湾；深渊；分歧；漩涡
vt. 吞没"
inlet,"n. 入口，进口；插入物；水湾
v. 引进; 嵌入; 插入;"
islet,n. 小岛
main stream,"n. 干流；主流；(河流的)主流
v. 使…成为主流；将(残障儿童等)纳入正规班级
adj. 主流的
 主流型；主流菸；主流烟"
maritime,adj. 海的；海事的；沿海的；海员的
ocean current,"n. 海流
 洋流；洋流或海流；海洋流"
oceanic basin,洋盆
oceanic ridge, 海岭
oceanic trench, 海沟
offshore,"adj. 离岸的； 近海的；吹向海面的
adv. 向海面，向海"
saline,"n. 盐湖；碱盐泻药
adj. 盐的；含盐分的"
sea level,"n. 海平面
 海面；海拔；平均海面"
sediment,n. 沉积；沉淀物
sedimentation,n.  沉降， 沉淀
sedimentary,adj. 沉淀的
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
strait,"n. 海峡；困境
adj. 狭窄的；苦恼的"
submarine,"n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
antiquity,n. 高龄；古物；古代的遗物
archaeological,adj.  考古学的； 考古学上的
archaeologist,n. 考古学家
archaeology,"n. 考古学
考古学的"
archaic,adj. 古代的；陈旧的；古体的；古色古香的
artifact,n. 人工制品；手工艺品
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
burial object,找不到解释
chronological,adj. 按年代顺序排列的；依时间前后排列而记载的
data processing,"n. 数据处理
 资料处理；数据加工；数据整理"
excavate,"vt. 挖掘；开凿
vi. 发掘；细查"
excavation,n. 挖掘，发掘
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
Mesolithic,n. 中石器时代(旧石器时代与新石器时代之间的时代)
Neolithic,找不到解释
origination,n. 起源；开始；起始
Paleolithic,adj. 旧石器时代的
prehistoric,adj. 史前的；陈旧的
prehistory,n. 史前；史前史；（导致事件、危机等的）背景
primordial,adj. 原始的；根本的；原生的
remainder,"n.  余数，残余；剩余物；其余的人
adj. 剩余的；吃剩的
vt. 廉价出售；削价出售
vi. 廉价出售；削价出售"
remains,n. 残余；遗骸
remnant,"n. 剩余
adj. 剩余的"
remote sensing,"n. 遥感；遥测
 遥感技术；遥感探测；远距离读出"
residue,n. 残渣；剩余；滤渣
scientific method,"n. 科学方法
 科学的方法；所谓科学；科学化的研究方法"
skull,n. 头盖骨，脑壳
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
unearth,vt. 发掘；揭露，发现；从洞中赶出
vestige,n. 遗迹；残余；退化的器官
population,n. 人口； 种群， 群体；全体居民
rapidly,adv. 迅速地；很快地；立即
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
more or less,"na. 有几分；约；或多或少；一点也…
 差不多；有点儿；溢短装"
the arrival of ...,找不到解释
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
deathful,adj. 致命的
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
islander,n. 岛上居民
immunity,n. 免疫力；豁免权；免除
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
immunology,n.  免疫学
assassination,n. 暗杀，行刺
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
defunct,"n. 死者
adj. 死的；非现存的"
demise,"n. 死亡，终止；转让；传位
vt. 遗赠；禅让"
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
expiry,n. 满期，逾期；呼气；终结
incinerate,"vt. 焚化；烧成灰
vi. 把……烧成灰；烧弃"
invasive,adj. 侵略性的；攻击性的
lethal,"adj. 致命的，致死的
n. 致死因子"
mischievous,adj. 淘气的；（人、行为等）恶作剧的；有害的
naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
harmful,adj. 有害的；能造成损害的
mortal,"adj. 凡人的；致死的；终有一死的；不共戴天的
n. 人类，凡人"
mortality,n. 死亡数，死亡率；必死性，必死的命运
immortal,"n. 神仙；不朽人物
adj. 不朽的；神仙的；长生的"
immortality,n. 不朽；不朽的声名；不灭
noxious,adj. 有害的；有毒的；败坏道德的；讨厌的
poisonous,adj. 有毒的；恶毒的；讨厌的
smother,"n. 窒息状态；令人窒息的浓烟
vt. 使窒息；抑制；（用灰等）闷熄；忍住
vi. 窒息；被抑制；闷死"
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
suicidal,adj. 自杀的，自杀性的；自我毁灭的；自取灭亡的
toxic,adj. 有毒的；中毒的
toxicity,n.  毒性
non-toxic,"adj. 无毒的
n. 无毒性"
toxin,n. 毒素；毒质
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
venom,"n. 毒液；恶意
vt. 使有毒；放毒"
venomous,adj. 有毒的；恶毒的；分泌毒液的；怨恨的
affirm,"vt. 肯定；断言
vi. 确认；断言"
affirmation,n. 主张，肯定；断言
reaffirm,vt. 再肯定，重申；再断言
assert,vt. 维护，坚持；断言；主张；声称
assertive,adj. 肯定的；独断的；坚定而自信的
assertiveness,n. 魄力，自信
assertion,n. 断言，声明；主张，要求；坚持；认定
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
discerning,"adj. 有辨识能力的；眼光敏锐的
v. 辨别（discern的ing形式）"
discernible,adj. 可辨别的；可识别的
dogmatic,adj. 教条的；武断的
illegible,adj. 难辨认的；字迹模糊的
pending,"prep. 在…期间；直到…时为止；在等待…之际
v. 待定；悬而不决（pend的ing形式）
adj. 未决定的；行将发生的"
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
presumably,adv. 大概；推测起来；可假定
presumable,adj. 可能有的；可推测的
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
awareness,"n. 意识，认识；明白，知道
n. 人群对品牌或产品的认知"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
unaware,"adj. 不知道的，无意的；未察觉到的
adv. 意外地；不知不觉地"
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
dealer,"n. 经销商；商人
n. 发牌员
n. 毒品贩子，贩毒者"
political,adj. 政治的；党派的
acid rain,"n. 酸雨；酸性降水
 酸雨公司；酸雨问题；酸性雨"
air pollution,"na. 大气污染
 空气污染；由于空气污染；空气染污"
biodegradable,adj. 生物所能分解的，能进行生物降解的
carbon emission, 碳排放；碳排放量；二氧化碳排放
carpool,"vt. 合伙使用汽车
vi. 合伙使用汽车"
climatic deterioration,气候恶化
deteriorate,"vi. 恶化，变坏
vt. 恶化"
disposable,adj. 可任意处理的；可自由使用的；用完即可丢弃的
drive less,找不到解释
ecological degradation,找不到解释
environmental awareness, 环保意识；环境意识；环境觉知
environmental issue, 环境问题；环境议题；环保
environmental pollution,"na. 环境污染
 公害；污染环境；环境的污染"
environmental protection, 环境保护；环保；环保性
groundwater contamination,地下水污染
hybrid electric vehicle,"混合电动汽车, 混合动力车辆, 油电混合车　"
industrial waste control,un. 工业废料管理
land resource,"un. 土地资源
 土地资源学"
low carbon,"na. 低碳的
 低碳理念；碳·调；低碳环保"
mass transportation,"un. 大规模运输
 公共交通运输；大众运输；大众交通工具"
mineral resource,"矿物资源, 矿产资源"
noise pollution,"na. 噪音污染
 噪声污染；公害噪音；治理噪声"
