gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
necessity,n. 需要；必然性；必需品
region,n. 地区；范围；部位
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
threat,n. 威胁，恐吓；凶兆
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
equipment,n. 设备，装备；器材
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
merely,adv. 仅仅，只不过；只是
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
relation,n. 关系；叙述；故事；亲属关系
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活"
qualification,n. 资格；条件；限制；赋予资格
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
groan,"n. 呻吟；叹息；吱嘎声
vt. 呻吟；抱怨
vi. 呻吟；抱怨；发吱嘎声"
gasoline,n. 汽油
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
orphan,"adj. 孤儿的；无双亲的
n. 孤儿
vt. 使成孤儿"
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
nominate,vt. 推荐；提名；任命；指定
revenue,n. 税收，国家的收入；收益
junk,n. 垃圾，废物；舢板
counterpart,n. 副本；配对物；极相似的人或物
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
integrity,n. 完整；正直；诚实；廉正
guideline,"n. 指导方针
参考"
mode,n. 模式；方式；风格；时尚
editorial,"n. 社论
adj. 编辑的；社论的"
assumption,n. 假定；设想；担任；采取
imply,vt. 意味；暗示；隐含
offence,n. 犯罪；违反；过错；攻击
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
ache,"n. 疼痛
vi. 疼痛；渴望"
abortion,n. 流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折
spear,"n. 矛，枪
vt. 用矛刺"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
subtract,vt. 减去；扣掉
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
distinction,n. 区别；差别；特性；荣誉、勋章
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
enquiry,n.  询问， 询盘
department,n. 部；部门；系；科；局
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
ancestor,n. 始祖，祖先；被继承人
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
recreation,n. 娱乐；消遣；休养
extension,n. 延长；延期；扩大；伸展；电话分机
mend,"vt. 修理，修补；改善；修改
vi. 改善，好转
n. 好转，改进；修补处"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
emigrate,"vi. 移居；移居外国
vt. 移民"
scandal,n. 丑闻；流言蜚语；诽谤；公愤
journal,n. 日报，杂志；日记；分类账
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
realistic,adj. 现实的；现实主义的；逼真的；实在论的
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
heritage,n. 遗产；传统；继承物；继承权
lodge,"n. 旅馆；门房；集会处；山林小屋
vt. 提出；寄存；借住；嵌入
vi. 寄宿；临时住宿"
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
sufficient,adj. 足够的；充分的
adjoin,"vt. 毗连，邻接
vi. 毗连，邻接"
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
poisonous,adj. 有毒的；恶毒的；讨厌的
currency,n. 货币；通货
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
relax,"vi. 放松，休息；松懈，松弛；变从容；休养
vt. 放松；使休息；使松弛；缓和；使松懈"
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
colleague,n. 同事，同僚
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
stamp,"n. 邮票；印记；标志；跺脚
vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
vi. 跺脚；捣碎；毁掉"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
latter,adj. 后者的；近来的；后面的；较后的
terrify,vt. 恐吓；使恐怖；使害怕
brochure,n. 手册，小册子
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
rescue,"n. 营救；援救；解救
vt. 营救；援救"
vigor,n.  活力，精力
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
drown,"vt. 淹没；把…淹死
vi. 淹死；溺死"
bolt,"n. 螺栓，螺钉；闪电，雷电；门闩；弩箭;（布的）一匹，一卷
vt. 筛选；囫囵吞下；（把门、窗等）闩上；突然说出，脱口说出
vi. （门窗等）闩上，拴住；冲出，跳出；（马等的）脱缰；囫囵吞下
adv. 突然地；像箭似地；直立地"
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
doctrine,n. 主义；学说；教义；信条
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
competent,adj. 胜任的；有能力的；能干的；足够的
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
slap,"n. 掴；侮辱；掌击；拍打声
vt. 拍击；侮辱；掌击；掴…的耳光
vi. 掴；拍击
adv. 直接地；猛然地；恰好"
strap,"n. 带；皮带；磨刀皮带；鞭打
vt. 用带捆绑；用皮条抽打；约束
vi. 精力旺盛地工作；受束缚"
outfit,"n. 机构；用具；全套装备
vi. 得到装备
vt. 配备；供应"
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
mobilize,"vt. 动员，调动；集合，组织；使…流通；使…松动
vi. 组织；动员起来"
terrain,n.  地形，地势；领域；地带
wither,"vi. 枯萎；凋谢；衰弱
vt. 使凋谢；使畏缩；使衰弱"
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
transcript,n. 成绩单；抄本，副本；文字记录
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
inborn,adj. 天生的；先天的
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
urgent,adj. 紧急的；急迫的
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
acknowledge,vt. 承认；答谢；报偿；告知已收到
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
alive,adj. 活着的；活泼的；有生气的
atmosphere,n. 气氛；大气；空气
output,"n. 输出，输出量；产量；出产
vt. 输出"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
possession,n. 拥有；财产；领地；自制；着迷
practical,adj. 实际的；实用性的
load,"n. 负载，负荷；工作量；装载量
vi.  加载；装载；装货
vt. 使担负；装填"
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
disaster,n. 灾难，灾祸；不幸
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
bring,vt. 带来；促使；引起；使某人处于某种情况或境地
waist,n. 腰，腰部
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
expel,vt. 驱逐；开除
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
quantify,"vt. 量化；为…定量；确定数量
vi. 量化；定量"
manipulate,vt. 操纵；操作；巧妙地处理；篡改
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
column,n. 纵队，列；专栏；圆柱，柱形物
unify,vt. 统一；使相同，使一致
shout,"n. 呼喊；呼叫
vi. 呼喊；喊叫；大声说
vt. 呼喊；大声说"
immigrate,"vi. 移入
vt. 使移居入境"
worth,"n. 价值；财产
adj. 值…的"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
broom,"n. 扫帚；金雀花
vt. 扫除
vi. 桩顶开花或开裂"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
mourn,v. 哀悼；忧伤；服丧
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
jam,"n. 果酱；拥挤；困境；扣篮
vt. 使堵塞；挤进，使塞满；混杂；压碎
vi. 堵塞；轧住"
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
throw,"n. 投掷；冒险
vt. 投；抛；掷
vi. 抛；投掷"
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
oval,"adj. 椭圆的；卵形的
n. 椭圆形；卵形"
speed,"n. 速度，速率；迅速，快速；昌盛，繁荣
vt. 加快…的速度；使成功，使繁荣
vi. 超速，加速；加速，迅速前行；兴隆"
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
rewind,"n. 重绕；倒带器
vt. 倒回；重绕
vi. 倒回；重绕"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
apparent,adj. 显然的；表面上的
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
forgive,"vt. 原谅；免除（债务、义务等）
vi. 表示原谅"
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
glide,"vi. 滑翔；滑行；悄悄地走；消逝
vt. 使滑行；使滑动
n. 滑翔；滑行；滑移；滑音"
unfold,"vi. 展开；显露
vt. 打开；呈现"
dew,"n. 珠，滴；露水；清新
vt. （露水等）弄湿
vi. 结露水"
erode,"vt. 腐蚀，侵蚀
vi. 侵蚀；受腐蚀"
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
throne,"n. 王座；君主；王权
vt. 使登王位
vi. 登上王座"
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
hospitable,adj. 热情友好的；（环境）舒适的
recur,vi. 复发；重现；采用；再来；循环；递归
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击"
nuisance,n. 讨厌的人；损害；麻烦事；讨厌的东西
rejoice,"vi. 高兴；庆祝
vt. 使高兴"
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
transition,n. 过渡；转变； 转换；变调
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
destination,n. 目的地，终点
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
assistance,n. 援助，帮助；辅助设备
platform,n. 平台；月台，站台；坛；讲台
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
tremble,"n. 颤抖；战栗；摇晃
vi. 发抖；战栗；焦虑；摇晃
vt. 使挥动；用颤抖的声音说出"
obvious,adj. 明显的；显著的；平淡无奇的
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
idiom,n. 成语，习语；土话
urban,adj. 城市的；住在都市的
flock,"n. 群；棉束（等于floc）
vi. 聚集；成群而行
vt. 用棉束填满"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
direction,n. 方向；指导；趋势；用法说明
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
unbelievable,adj. 难以置信的；不可信的
abolish,vt. 废除，废止；取消，革除
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
immigration,n. 外来移民；移居
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
reputation,n. 名声，名誉；声望
limit,"n. 限制；限度；界线
vt. 限制；限定"
action,n. 行动；活动；功能；战斗；情节
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
corn,"n. （美）玉米；（英）谷物； 鸡眼
vt. 腌；使成颗粒"
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
collaborate,vi. 合作；勾结，通敌
oversee,vt. 监督；审查；俯瞰；偷看到，无意中看到
restrain,vt. 抑制，控制；约束；制止
depress,vt. 压抑；使沮丧；使萧条
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
enclose,vt. 围绕；装入；放入封套
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
suite,n. （一套）家具；套房；组曲；（一批）随员，随从
evident,adj. 明显的；明白的
sharpen,"vt. 削尖；磨快；使敏捷；加重
vi. 尖锐；变锋利"
approval,n. 批准；认可；赞成
warm,"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖"
perfume,"n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气"
astonish,vt. 使惊讶
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
acquaintance,n. 熟人；相识；了解；知道
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
verse,"n. 诗，诗篇；韵文；诗节
vi. 作诗
vt. 使熟练，使精通"
idle,"adj. 闲置的；懒惰的；停顿的
vt. 虚度；使空转
vi. 无所事事；虚度；空转"
ambiguous,adj. 模糊不清的；引起歧义的
solidarity,n. 团结，团结一致
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
frank,"n. 免费邮寄特权
adj. 坦白的，直率的；老实的
vt. 免费邮寄"
chill,"n. 寒冷；寒意；寒心
vt. 冷冻，冷藏；使寒心；使感到冷
adj. 寒冷的；冷漠的；扫兴的
vi. 冷藏；变冷"
empire,n. 帝国；帝王统治，君权
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
drip,"n. 水滴，滴水声；静脉滴注；使人厌烦的人
vt. 使滴下；溢出，发出
vi. 滴下；充满；漏下"
graze,"n. 放牧；轻擦
vi. 吃草；擦伤
vt. 放牧；擦伤"
literal,adj. 文字的；逐字的；无夸张的
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
liver,n. 肝脏；生活者，居民
eliminate,vt. 消除；排除
therapy,n. 治疗，疗法
aisle,n. 通道，走道；侧廊
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
junction,n. 连接，接合；交叉点；接合点
lay,"vt. 躺下；产卵；搁放；放置；铺放；涂，敷
adj. 世俗的；外行的；没有经验的
n. 位置；短诗；花纹方向；叙事诗；性伙伴
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）"
abundant,adj. 丰富的；充裕的；盛产
agriculture,n. 农业；农耕；农业生产；农艺，农学
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
electrical,adj. 有关电的；电气科学的
spoonful,n. 一匙；一匙的量
aloud,adv. 大声地；出声地
changeable,adj. 无常的；可改变的；易变的；不定的
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
accuracy,n.  精确度，准确性
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
punishment,n. 惩罚；严厉对待，虐待
convenient,adj. 方便的；适当的；近便的；实用的
bright,"n. 车头灯光
adj. 明亮的，鲜明的；聪明的；愉快的
adv. 明亮地；光明地；欢快地"
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
stubborn,adj. 顽固的；顽强的；难处理的
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
miserable,adj. 悲惨的；痛苦的；卑鄙的
fierce,adj. 凶猛的；猛烈的；暴躁的
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
correspond,vi. 符合，一致；相应；通信
solemn,adj. 庄严的，严肃的；隆重的，郑重的
entrust,vt. 委托，信托
monopoly,n. 垄断；垄断者；专卖权
infer,"vi. 推断；作出推论
vt. 推断；推论"
distract,vt. 转移；分心
viewpoint,n. 观点，看法；视角
misfortune,n. 不幸；灾祸，灾难
insane,adj. 疯狂的；精神病的；极愚蠢的
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
conscious,adj. 意识到的；故意的；神志清醒的
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
cite,vt. 引用；传讯；想起；表彰
ignorant,adj. 无知的；愚昧的
fear,"n. 害怕；恐惧；敬畏；担心
vt. 害怕；敬畏；为…担心
vi. 害怕；敬畏；为…担心"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
movement,n. 运动；活动；运转；乐章
environment,n. 环境，外界
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
obtain,"vi. 获得；流行
vt. 获得"
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
especially,adv. 特别；尤其；格外
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
dilemma,n. 困境；进退两难；两刀论法
confirm,vt. 确认；确定；证实；批准；使巩固
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
guidance,n. 指导，引导；领导
haze,"n. 阴霾；薄雾；疑惑
vt. 使变朦胧；使变糊涂
vi. 变朦胧；变糊涂"
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
source,n. 来源；水源；原始资料
saucer,n. 茶托，浅碟；浅碟形物；眼睛
crush,"n. 粉碎；迷恋；压榨；拥挤的人群
vt. 压碎；弄皱，变形；使…挤入
vi. 挤；被压碎"
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
murmur,"n. 低语；低语声；低声抱怨；潺潺声
vi. 低声说；私下抱怨；发出轻柔持续的声音
vt. 低声说"
decoration,n. 装饰，装潢；装饰品；奖章
temperament,n. 气质，性情，性格；急躁
astronomer,n. 天文学家
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
marsh,"n. 沼泽；湿地
adj. 沼泽的；生长在沼泽地的"
pedal,"n. 踏板；脚蹬子
vi. 踩踏板；骑车
vt. 骑（自行车）；踩……的踏板
adj. 脚的；脚踏的"
dump,"n. 垃圾场；仓库；无秩序地累积
vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销
vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等）"
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
bin,"n. 箱子，容器；二进制
vt. 把…放入箱中"
clockwise,"adj. 顺时针方向的
adv. 顺时针方向地"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
beneficial,adj. 有益的，有利的；可享利益的
fee,"n. 费用；酬金；小费
vt. 付费给……"
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
pollute,vt. 污染；玷污；败坏
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污"
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
alcoholic,"n. 酒鬼，酗酒者
adj. 酒精的，含酒精的"
association,n. 协会，联盟，社团；联合；联想
beast,n. 野兽；畜生，人面兽心的人
