spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
overpass,"vt. 超越；胜过；忽略
n. 天桥；陆桥"
equality,n. 平等；相等； 等式
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
presentation,n. 展示；描述，陈述；介绍；赠送
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
communication,n. 通讯， 通信；交流；信函
bibliography,n. 参考书目；文献目录
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
uphold,vt. 支撑；鼓励；赞成；举起
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
diversion,n. 转移；消遣；分散注意力
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
formulate,vt. 规划；用公式表示；明确地表达
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
skeleton,"n. 骨架，骨骼；纲要；骨瘦如柴的人
adj. 骨骼的；骨瘦如柴的；概略的"
buck,n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
champagne,n. 香槟酒；香槟酒色
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
perfection,n. 完善；完美
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
consistent,adj. 始终如一的，一致的；坚持的
urban,adj. 城市的；住在都市的
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
exert,vt. 运用，发挥；施以影响
adjoin,"vt. 毗连，邻接
vi. 毗连，邻接"
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
crush,"n. 粉碎；迷恋；压榨；拥挤的人群
vt. 压碎；弄皱，变形；使…挤入
vi. 挤；被压碎"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
snatch,"n. 抢夺；抓举；小量
vt. 夺得；抽空做；及时救助
vi. 抢走；很快接受"
propagate,"vt. 传播；传送；繁殖；宣传
vi. 繁殖；增殖"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
circumstance,n. 环境，情况；事件；境遇
utilize,vt. 利用
equip,vt. 装备，配备
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
deport,vt. 驱逐出境；举止；放逐
quartz,n. 石英
consumption,n. 消费；消耗；肺痨
versus,prep. 对；与...相对；对抗
disable,vt. 使失去能力；使残废；使无资格
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
ferry,"n. 渡船；摆渡；渡口
vt. （乘渡船）渡过；用渡船运送；空运
vi. 摆渡；来往行驶"
distract,vt. 转移；分心
owl,n. 猫头鹰；枭；惯于晚上活动的人
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
constrain,vt. 驱使；强迫；束缚
refreshment,n. 点心；起提神作用的东西；精力恢复
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
vent,"n. （感情的）发泄；出口；通风孔
vt. 发泄感情；放出…；给…开孔
vi. 放出；（通过排泄等）减轻压力"
council,n. 委员会；会议；理事会；地方议会；顾问班子
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
penguin,n. 企鹅；空军地勤人员
efficiency,n. 效率；效能；功效
assignment,n. 分配；任务；作业；功课
bronze,"n. 青铜；古铜色；青铜制品
adj. 青铜色的；青铜制的
vt. 镀青铜于
vi. 变成青铜色，被晒黑"
sake,n. 目的；利益；理由；日本米酒
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
illusion,n. 幻觉，错觉；错误的观念或信仰
definition,n. 定义； 清晰度；解说
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
vain,adj. 徒劳的；自负的；无结果的；无用的
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
authentic,adj. 真正的，真实的；可信的
ivory,"n. 象牙；乳白色；长牙
adj. 乳白色的；象牙制的"
pearl,"n. 珍珠；珍珠色；杰出者；珍品
adj. 镶珍珠的；珍珠状的
vt. 使成珠状；用珍珠装饰；使呈珍珠色
vi. 采珍珠；成珍珠状"
comprehension,n. 理解；包含
slap,"n. 掴；侮辱；掌击；拍打声
vt. 拍击；侮辱；掌击；掴…的耳光
vi. 掴；拍击
adv. 直接地；猛然地；恰好"
valid,adj. 有效的；有根据的；合法的；正当的
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
bacteria,n.  细菌
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
overwhelming,"adj. 压倒性的；势不可挡的
v. 压倒；淹没（overwhelm的ing形式）；制服"
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
murmur,"n. 低语；低语声；低声抱怨；潺潺声
vi. 低声说；私下抱怨；发出轻柔持续的声音
vt. 低声说"
occupation,n. 职业；占有；消遣；占有期
minimize,"vt. 使减到最少；小看，极度轻视
vi. 最小化"
employment,n. 使用；职业；雇用
valve,"n. 阀； 瓣膜；真空管；活门
vt. 装阀于；以活门调节"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
gasp,"n. 喘气
vi. 喘气；喘息；渴望
vt. 气喘吁吁地说；喘着气说话"
spine,n. 脊柱，脊椎；刺；书脊
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
masculine,"adj. 男性的；阳性的；男子气概的
n. 男性；阳性，阳性词"
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
furious,adj. 激烈的；狂怒的；热烈兴奋的；喧闹的
van,"n. 先锋；厢式货车；增值网
vt. 用车搬运"
variation,n. 变化； 变异，变种
masterpiece,n. 杰作；绝无仅有的人
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
various,adj. 各种各样的；多方面的
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
epoch,n.  世；新纪元；新时代；时间上的一点
semester,n. 学期；半年
basis,n. 基础；底部；主要成分；基本原则或原理
entity,n. 实体；存在；本质
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
jeopardize,vt. 危害；使陷危地；使受危困
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
inland,"n. 内地；内陆
adj. 内陆的；内地的；国内的
adv. 在内地；向内地；向内陆；在内陆"
crucial,adj. 重要的；决定性的；定局的；决断的
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
petty,adj. 琐碎的；小气的；小规模的
brink,n. （峭壁的）边缘
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
vegetation,n. 植被；植物，草木；呆板单调的生活
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
occupy,vt. 占据，占领；居住；使忙碌
priest,"n. 牧师；神父；教士
vt. 使成为神职人员；任命…为祭司"
resemblance,n. 相似；相似之处；相似物；肖像
pact,n. 协定；公约；条约；契约
hurl,"n. 用力的投掷
vt. 丢下；用力投掷；愤慨地说出
vi. 猛投；猛掷"
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
federation,n. 联合；联邦；联盟；联邦政府
rhythm,n. 节奏；韵律
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
blink,"n. 眨眼；瞬间；闪光
vt. 眨眼；使…闪烁
vi. 眨眼；闪烁"
vein,"n. 血管；叶脉； 岩脉；纹理；翅脉；性情
vt. 使成脉络；象脉络般分布于"
comply,vi. 遵守；顺从，遵从；答应
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
comparison,n. 比较；对照；比喻；比较关系
solution,n. 解决方案；溶液；溶解；解答
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
auction,"n. 拍卖
vt. 拍卖；竞卖"
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
occasional,adj. 偶然的；临时的；特殊场合的
equator,n. 赤道
magnet,n. 磁铁； 磁体；磁石
velocity,n. 速度
inspiration,n. 灵感；鼓舞；吸气；妙计
extensive,adj. 广泛的；大量的；广阔的
bulletin,"n. 公告，公报
vt. 公布，公告"
reciprocal,"n.  倒数；互相起作用的事物
adj. 互惠的；相互的；倒数的，彼此相反的"
contradiction,n. 矛盾；否认；反驳
radius,n. 半径，半径范围； 桡骨；辐射光线；有效航程
knob,"n. 把手；瘤；球形突出物
vi. 鼓起
vt. 使有球形突出物"
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
irrigation,n. 灌溉； 冲洗；冲洗法
velvet,"adj. 天鹅绒的
n. 天鹅绒，丝绒；天鹅绒似的东西"
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发"
prevalent,adj. 流行的；普遍的，广传的
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
pilgrim,"n. 朝圣者；漫游者；（美）最初的移民
vi. 去朝圣；漫游"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
manufacturer,n. 制造商； 厂商
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
clamp,"n. 夹钳，螺丝钳
vt. 夹紧，固定住"
premature,"n. 早产儿；过早发生的事物
adj. 早产的；不成熟的；比预期早的"
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
incidentally,adv. 顺便；偶然地；附带地
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
perfume,"n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气"
exception,n. 例外；异议
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
perspective,"n. 观点；远景；透视图
adj. 透视的"
permissible,adj. 可允许的；获得准许的
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
displace,vt. 取代；置换；转移；把…免职；排水
oxide,n.  氧化物
ventilate,vt. 使通风；给…装通风设备；宣布
denial,n. 否认；拒绝；节制；背弃
alienate,vt. 使疏远，离间；让与
legend,n. 传奇；说明；图例；刻印文字
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
ballet,n. 芭蕾舞剧；芭蕾舞乐曲
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
productivity,n. 生产力；生产率；生产能力
feminine,adj. 女性的；妇女（似）的；阴性的；娇柔的
distill,"vt. 提取；蒸馏；使滴下
vi. 蒸馏；滴下；作为精华产生（等于distil）"
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
readily,adv. 容易地；乐意地；无困难地
exceptional,"n. 超常的学生
adj. 异常的，例外的"
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
forum,n. 论坛，讨论会；法庭；公开讨论的广场
hose,"n. 软管；长筒袜；男性穿的紧身裤
vt. 用软管浇水；痛打"
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
abundant,adj. 丰富的；充裕的；盛产
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
silicon,n.  硅；硅元素
expansion,n. 膨胀；阐述；扩张物
integrity,n. 完整；正直；诚实；廉正
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
ecology,n. 生态学；社会生态学
pave,vt. 铺设；安排；作铺设之用
induce,vt. 诱导；引起；引诱；感应
dual,"n. 双数；双数词
adj. 双的；双重的"
passion,n. 激情；热情；酷爱；盛怒
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
irrespective,adj. 无关的；不考虑的；不顾的
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
verdict,n. 结论；裁定
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
cumulative,adj. 累积的
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
construct,"n. 构想，概念
vt. 建造，构造；创立"
rig,"n. 装备；钻探设备；服装； 帆装
vt. 操纵；装配；装扮；装上索具"
protein,"n. 蛋白质；朊
adj. 蛋白质的"
embed,vt. 栽种；使嵌入，使插入；使深留脑中
verify,vt. 核实；查证
versatile,adj. 多才多艺的；通用的，万能的；多面手的
messenger,n. 报信者，送信者；先驱
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
lofty,adj. 高的；崇高的；高级的；高傲的
verse,"n. 诗，诗篇；韵文；诗节
vi. 作诗
vt. 使熟练，使精通"
repel,vt. 击退；抵制；使厌恶；使不愉快
version,n. 版本；译文；倒转术
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
lash,"vt. 鞭打；冲击；摆动；扎捆；煽动；讽刺
vi. 鞭打；猛击；急速甩动
n. 鞭打；睫毛；鞭子；责骂；讽刺"
intimidate,vt. 恐吓，威胁；胁迫
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
senator,n. 参议员；（古罗马的）元老院议员；评议员，理事
gown,"n. 长袍，长外衣；礼服；睡袍；法衣
vt. 使穿睡衣"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
cocktail,"n. 鸡尾酒；开胃食品
n. 混合物
adj. 鸡尾酒的"
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
nominate,vt. 推荐；提名；任命；指定
poke,"n. 戳；刺；袋子；懒汉
vt. 刺，捅；戳；拨开
vi. 刺，捅；戳；伸出；刺探；闲荡"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
apt,adj. 恰当的；有…倾向的；灵敏的
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
friction,n. 摩擦， 摩擦力
refute,vt. 反驳，驳斥；驳倒
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
offense,n. 犯罪，过错；进攻；触怒；引起反感的事物
veto,"n. 否决权
vt. 否决；禁止
vi. 否决；禁止"
detective,"n. 侦探
adj. 侦探的"
available,adj. 可获得的；可购得的；可找到的；有空的
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
inject,vt. 注入；注射
melody,n. 旋律；歌曲；美妙的音乐
embarrass,vt. 使局促不安；使困窘；阻碍
affirm,"vt. 肯定；断言
vi. 确认；断言"
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
manipulate,vt. 操纵；操作；巧妙地处理；篡改
congress,n. 国会；代表大会；会议；社交
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
partition,"n. 划分，分开； 分割；隔墙；隔离物
vt.  分割；分隔；区分"
vicinity,n. 邻近，附近；近处
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
moreover,adv. 而且；此外
complication,n. 并发症；复杂；复杂化；混乱
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
rotary,"n. 旋转式机器； 转缸式发动机
adj. 旋转的，转动的；轮流的"
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
penalty,n. 罚款，罚金；处罚
fusion,n. 融合；熔化；熔接；融合物； 核聚变
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
motivate,vt. 刺激；使有动机；激发…的积极性
patriotic,adj. 爱国的
exceed,"vt. 超过；胜过
vi. 超过其他"
descent,"n. 下降；血统；袭击
vt. 除去…的气味；使…失去香味"
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
outset,n. 开始；开端
rebellion,n. 叛乱；反抗；谋反；不服从
victim,n. 受害人；牺牲品；牺牲者
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
energetic,adj. 精力充沛的；积极的；有力的
monetary,adj. 货币的；财政的
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
facilitate,vt. 促进；帮助；使容易
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
vigorous,adj. 有力的；精力充沛的
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
recreation,n. 娱乐；消遣；休养
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
violate,vt. 违反；侵犯，妨碍；亵渎
responsible,adj. 负责的，可靠的；有责任的
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
commence,v. 开始；着手；<英>获得学位
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
logical,adj. 合逻辑的，合理的；逻辑学的
expel,vt. 驱逐；开除
prune,"n. 深紫红色；傻瓜；李子干
vt. 修剪；删除；剪去
vi. 删除；减少"
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
spacious,adj. 宽敞的，广阔的；无边无际的
pope,n. 教皇，罗马教皇；权威，大师
violent,adj. 暴力的；猛烈的
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
output,"n. 输出，输出量；产量；出产
vt. 输出"
coincidence,n. 巧合；一致；同时发生
virgin,"n. 处女
adj. 处女的；纯洁的；未经利用的，处于原始状态的"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
abbreviation,n. 缩写；缩写词
salvage,"n. 打捞；海上救助；抢救财货；救难的奖金
vt. 抢救；海上救助"
forfeit,"n. 罚金；没收物；丧失的东西
vt. （因犯罪、失职、违约等）丧失（权利、名誉、生命等）
adj. 因受罚而丧失的；被没收的"
devastate,vt. 毁灭；毁坏
artifact,n. 人工制品；手工艺品
flirt,"n. 急扔；调情的人；卖弄风骚的人
vt. 挥动；忽然弹出
vi. 调情；玩弄；轻率地对待；摆动"
dissertation,n. 论文，专题；学术演讲
numb,"vt. 使麻木；使发愣；使失去感觉
adj. 麻木的；发愣的"
brigade,"n. 旅；大部队；队列
vt. 把…编成旅；把…编成队"
rehabilitate,"vt. 使康复；使恢复名誉；使恢复原状
vi. 复兴；复权；恢复正常生活"
restless,adj. 焦躁不安的；不安宁的；得不到满足的
confide,"vt. 吐露；委托
vi. 信赖；吐露秘密"
counterfeit,"n. 赝品；冒牌货；伪造品
adj. 假冒的，伪造的；虚伪的
vt. 伪造，仿造；假装，伪装
vi. 仿造；假装"
buffer,"n.  缓冲区；缓冲器， 减震器
vt. 缓冲"
prop,"vt. 支撑，支持，维持；使倚靠在某物上
n. 支柱，支撑物；支持者；道具；（橄榄球中的）支柱前锋"
herald,"n. 预兆，征兆；先驱；传令官；报信者
vt. 通报；预示…的来临"
standby,"n. 备用品；可信赖的人
adj. 备用的
adv. 备用地；待命地"
observatory,n. 天文台；气象台；瞭望台
converse,"n. 逆行，逆向；倒；相反的事物
adj. 相反的，逆向的；颠倒的
vi. 交谈，谈话；认识
n. 匡威（服装品牌）"
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
proofread,"vt. 校对，校勘
vi. 做校对工作"
lyric,"adj. 抒情的；吟唱的
n. 抒情诗；歌词"
assassinate,vt. 暗杀；行刺
perch,"n. 鲈鱼; 高位；栖木；杆
vt. 栖息；就位；位于；使坐落于
vi. 栖息；就位；位于"
solitude,n. 孤独；隐居；荒僻的地方
stance,n. 立场；姿态；位置；准备击球姿势
relic,n. 遗迹，遗物；废墟；纪念物
bluff,"n. 吓唬；绝壁；断崖
vi. 吓唬
adj. 直率的；陡峭的
vt. 吓唬；愚弄"
endorse,vt. 背书；认可；签署；赞同；在背面签名
turtle,n. 龟，甲鱼；海龟
buffalo,n.  水牛； 野牛（产于北美）；水陆两用坦克
acupuncture,"n. 针刺； 针刺疗法
vt. 对…施行针刺疗法"
reminiscent,"n. 回忆录作者；回忆者
adj. 怀旧的，回忆往事的；耽于回想的"
errand,n. 使命；差事；差使
franchise,"n. 特权；公民权；经销权；管辖权
vt. 给…以特许（或特权）；赋予公民权"
ranch,"n. 大农场；大牧场
vi. 经营牧场；在牧场工作
vt. 经营牧场；在牧场饲养…"
ration,"n. 定量；口粮；配给量
vt. 配给；定量供应"
aftermath,n. 后果；余波
relentless,adj. 无情的；残酷的；不间断的
credential,n. 证书；凭据；国书
abreast,"adj. 并排的；肩并肩的
adv. 并肩地；并列"
negligent,adj. 疏忽的；粗心大意的
antagonism,n. 对抗，敌对；对立；敌意
loop,"vi. 打环；翻筋斗
n. 环；圈；弯曲部分；翻筋斗
vt. 使成环；以环连结；使翻筋斗"
passer-by,n. 过路人；经过的人
stigma,n.  柱头；耻辱；污名；烙印；特征
dough,n. 生面团；金钱
diesel,"n. 柴油机；柴油；（俚）健康的身体
adj. 内燃机传动的；供内燃机用的
n. 迪赛（意大利时装品牌）"
yearn,vi. 渴望，向往；思念，想念；怀念；同情，怜悯
rust,"n. 锈；生锈； 锈病
vt. 使生锈；腐蚀
vi. 生锈；成铁锈色；变迟钝"
underlie,vt. 成为……的基础；位于……之下
clearing,"n. 结算；空地；清扫
v. 澄清；放晴（clear的ing形式）"
toil,"n. 辛苦；苦工；网；圈套
vt. 费力地做；使…过度劳累
vi. 辛苦工作；艰难地行进"
beetle,"n. 甲虫；大槌
vt. 用槌打
vi. 急忙来回；突出"
advent,n. 到来；出现；基督降临；基督降临节
lesbian,"adj.  女同性恋的
n. 女同性恋者"
partisan,"n. 游击队；虔诚信徒；党羽
adj. 党派的；效忠的；偏袒的；盲目推崇的"
encyclopedia,n. 百科全书（亦是encyclopaedia）
pending,"prep. 在…期间；直到…时为止；在等待…之际
v. 待定；悬而不决（pend的ing形式）
adj. 未决定的；行将发生的"
crackdown,n. 镇压；（美）制裁；强制取缔；惩罚
cauliflower,n. 花椰菜，菜花
eradicate,vt. 根除，根绝；消灭
bishop,n. （基督教的）主教；（国际象棋的）象
retarded,adj. 智力迟钝的；发展迟缓的
sinister,adj. 阴险的；凶兆的；灾难性的；左边的
contingent,"n. 分遣队；偶然事件；分得部分；代表团
adj. 因情况而异的；不一定的；偶然发生的；可能的；依情况而定的；偶然的；有条件的"
synonym,n. 同义词；同义字
militia,n. 民兵组织；自卫队；义勇军；国民军
