guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
reinvent,vt. 重新使用；彻底改造；重复发明（在不知他人已发明的情况下）
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
notion,n. 概念；见解；打算
respond to,"v. 响应
 对…反应；回答；对…作出反应"
predictable,adj. 可预言的
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
standardized,"adj. 标准的；标准化的；定型的
v. 使合乎标准；按标准校准；制定标准（standardize的过去分词）"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
creativity,n. 创造力；创造性
formula,n.  公式，准则；配方；婴儿食品
rely on,"v. 依靠；信赖
 依赖；依仗；凭借"
imagination,n.  想象力；空想；幻想物
unexpected,adj. 意外的，想不到的
reframe,vt. 再构造，再组织；重新制订；给……装上新框架
innovate,"vi. 创新；改革；革新
vt. 改变；创立；创始；引人"
given,"prep. 考虑到
v. 给予（give的过去分词）
adj. 赠予的；沉溺的；规定的"
electronic,"adj. 电子的
n. 电子电路；电子器件"
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
cashless,adj. 无现款的；无钱的；不通过现金的
around the corner,"na. (=  round the corner)在拐角那里
 在拐角处；即将来临；即将到来"
efficient,adj. 有效率的；有能力的；生效的
disappearance,n. 消失；不见
telecommunications,n. 通讯行业：服务类型变更，缴纳话费，账户总览等所有业务均可通过移动设备完成
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
receipt,"n. 收到；收据；收入
vt. 收到"
be unwilling to, 不愿意；不愿意做某事
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
eliminate,vt. 消除；排除
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
set up,"na. 建立；创立；发起；开办
 设立；设置；成立"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
consumer,n. 消费者；用户，顾客
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
funds,"n.  资金，现金（fund的复数）；基金
v. 资助（fund的三单形式）；提供资金"
issuer,n. 发行人
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
unauthorized,adj. 非法的；未被授权的；独断的
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
alter,"vt. 改变，更改
vi. 改变；修改"
dishonest,adj. 不诚实的；欺诈的
cope with,"v. 对付；应付
 处理；应对；解决"
a large amount of,"det. 大量
 大量的；许多；接不可数名词大量"
violate,vt. 违反；侵犯，妨碍；亵渎
privacy,n. 隐私；秘密；隐居；隐居处
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
hacker,n. 电脑黑客，企图不法侵入他人电脑系统的人
database,n. 数据库，资料库
occurrence,n. 发生；出现；事件；发现
fraud,n. 欺骗；骗子；诡计
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
thereby,adv. 从而，因此；在那附近；在那方面
evaluation,n. 评价； 评估；估价；求值
favorable,adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
recognition,n. 识别；承认，认出；重视；赞誉；公认
acknowledge,vt. 承认；答谢；报偿；告知已收到
enthusiasm,n. 热心，热忱，热情
supervisor,n. 监督人， 管理人；检查员
deserve,"vi. 应受，应得
vt. 应受，应得"
promotion,n. 提升， 晋升；推销，促销；促进；发扬，振兴
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
additional,adj. 附加的，额外的
deficiency,n. 缺陷，缺点；缺乏；不足的数额
ensure,vt. 保证，确保；使安全
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
attitude,n. 态度；看法；意见；姿势
be unaware of, 不知道；没有意识到；没意识到
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
consistent,adj. 始终如一的，一致的；坚持的
reassign,vt. 再分配；再指定
penalty,n. 罚款，罚金；处罚
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
guideline,"n. 指导方针
参考"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
productivity,n. 生产力；生产率；生产能力
be obsessed with,"un. 昼夜萦绕在…心头；被…缠住；埋头研究
 沉迷于；痴迷于；对…着迷"
encode,vt. （将文字材料）译成密码；编码，编制成计算机语言
pervasive,adj. 普遍的；到处渗透的；流行的
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
come into one's own,"na. 取得属于自己的财产；获得应有的名誉
 被人认识；进入繁盛期；得到自己该得的东西"
gender-neutral,adj. 性别中立的；不分性别的
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
inherently,adv. 内在地；固有地；天性地
profoundly,adv. 深刻地；深深地；极度地
perception,n. 知觉； 感觉；看法；洞察力；获取
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
core,找不到解释
manufacturer,n. 制造商； 厂商
publication,n. 出版；出版物；发表
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
category,n. 种类，分类； 范畴
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
sure-fire,adj. （美）一定可以达到目的的；一定会成功等的
segment,"n. 段；部分
vt. 分割
vi. 分割"
previously,adv. 以前；预先；仓促地
financial,adj. 金融的；财政的，财务的
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
stock market,"n. 股市；证券交易（所）；股票交易（所）
 股票市场；证券市场；牲畜市场"
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
return,"vi. 返回；报答
adj. 报答的；回程的；返回的
vt. 返回；报答
n. 返回；归还；回球"
tolerance,n. 公差；宽容；容忍；公差
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
exposure,n. 暴露；曝光；揭露；陈列
appetite,n. 食欲；嗜好
conclusion,n. 结论；结局；推论
recession,n. 衰退；不景气；后退；凹处
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
data,n. 数据（datum的复数）；资料
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
marital status,"n. 婚姻状况
 婚姻状态；婚否；婚姻情况"
region,n. 地区；范围；部位
variation,n. 变化； 变异，变种
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
belief,n. 相信，信赖；信仰；教义
suppress,vt. 抑制；镇压；废止
irrespective of,"prep. 不考虑；不管；不受…影响
adj. 不顾；不考虑
 不论；不顾的；不顾或不考虑"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
detailed,"adj. 详细的，精细的；复杂的，详尽的
v. 详细说明（detail的过去分词）"
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
analyze,vt. 对…进行分析，分解（等于analyse）
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
occupation,n. 职业；占有；消遣；占有期
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
ownership,n. 所有权；物主身份
attribute ... to,"na. 认为(成功)是(努力)的结果
 归因于；把…归因于；归咎于"
preference,n. 偏爱，倾向；优先权
consistent,adj. 始终如一的，一致的；坚持的
disaster,n. 灾难，灾祸；不幸
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
cautious,adj. 谨慎的；十分小心的
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
victim,n. 受害人；牺牲品；牺牲者
complaint,n. 抱怨；诉苦；疾病；委屈
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
efficiency,n. 效率；效能；功效
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
advertisement,n. 广告，宣传
forbid,vt. 禁止；不准；不允许；严禁
in addition,"na. 加之
 另外；此外；又"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
given,"prep. 考虑到
v. 给予（give的过去分词）
adj. 赠予的；沉溺的；规定的"
sensation,n. 感觉；轰动；感动
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
create,vt. 创造，创作；造成
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
perceived,"v. 感知；认为（perceive的过去分词）；领会
adj. 感知到的；感观的"
occur,vi. 发生；出现；存在
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
tend to,"v. 倾向于；有助于
 趋向；趋于；往往"
involve,vt. 包含；牵涉；使陷于；潜心于
skillful,adj. 熟练的；巧妙的
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
contributor,n. 贡献者；投稿者；捐助者
variation,n. 变化； 变异，变种
intensity,n. 强度；强烈； 亮度；紧张
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
tricks of the trade, 某门生意或职业的诀窍；嫁祸诀窍；转换的技巧
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
drown out,"na. (洪水)把(人)赶跑；把(另一声音)压倒
 压过；盖过；常比喻声音被盖过"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
become adapted to,找不到解释
low-frequency,adj. 低频的；低周波的
filter out,"un. 滤光；滤出；慢慢传出；听不进去
 过滤；滤除；过滤掉"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
electronically,adv. 电子地
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
be aware of,"na. 知道
 意识到；觉察；了解"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
property,n. 性质，性能；财产；所有权
ignore,vt. 驳回诉讼；忽视；不理睬
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
drought,n. 干旱；缺乏
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
anticipate,vt. 预期，期望；占先，抢先；提前使用
potentially,adv. 可能地，潜在地
violent,adj. 暴力的；猛烈的
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
guard against,"v. 防止；加以预防；抵御
 提防；防备；防范"
disastrous,adj. 灾难性的；损失惨重的；悲伤的
concept,n. 观念，概念
livelihood,n. 生计，生活；营生
mounting,"n. 装备，装配；上马；衬托纸
v. 增加（mount的ing形式）；爬上
adj. 逐渐增加的"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
prominence,n. 突出；显著；突出物；卓越
poverty,n. 贫困；困难；缺少；低劣
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
intervention,n. 介入；调停；妨碍
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
strength,n. 力量；力气；兵力；长处
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
have access to,"na. 得接近；得会见；得进入
 使用；有权使用；可以接近"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
insurance,n. 保险；保险费；保险契约；赔偿金
fertilizer,n.  肥料；受精媒介物；促进发展者
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
undergo,vt. 经历，经受；忍受
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
relaunch,"vt. 重新发射；重新发动
vi. 重新发射；重新发动
n. 重新开张；重新上市"
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
editor,n. 编者，编辑；社论撰写人；编辑装置
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
given,"prep. 考虑到
v. 给予（give的过去分词）
adj. 赠予的；沉溺的；规定的"
significantly,adv. 显著地；相当数量地
revenue,n. 税收，国家的收入；收益
market capitalization,"un. 市场资本化
 市值；市场资本总额；资本市值"
telling,"n. 命令；叙述；吐露真情
v. 告诉；讲述（tell的ing形式）；命令
adj. 有效的；生动的；显著的"
economic,adj. 经济的，经济上的；经济学的
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
bring in,"na. 生产；生(利)；收获(农作物等)；挣得(报酬等)
 引进；带来；引入"
measurement,n. 测量； 度量；尺寸；量度制
reorganize,"vt. 整理；改组；重新制定
vi. 整顿；改编"
portrait,n. 肖像；描写；半身雕塑像
holdover,n. 延期；任期届满后仍占据同样地位的人；剩余物
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
legendary,"adj. 传说的，传奇的
n. 传说集；圣徒传"
overwhelming,"adj. 压倒性的；势不可挡的
v. 压倒；淹没（overwhelm的ing形式）；制服"
briefly,adv. 短暂地；简略地；暂时地
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
era,n. 时代；年代；纪元
acquisition,n. 获得物，获得；收购
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
emerging,"v. 形成；浮现；显露（emerge的ing形式）；由…中脱出
adj. 新兴的；出现的；形成的"
surge ahead,vi.一浪推一浪地发展
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
entertainment,n. 娱乐；消遣；款待
decade,n. 十年，十年期；十
decreasing,"v. 减少；缩减（decrease的ing形式）
adj. 渐减的"
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
digital,"n. 数字；键
adj. 数字的；手指的"
firmly,adv. 坚定地，坚决地；坚固地，稳固地
portray,vt. 描绘；扮演
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
emerge,vi. 浮现；摆脱；暴露
catastrophe,n. 大灾难；大祸；惨败
virus,n.  病毒；恶毒；毒害
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
be named after, 以……命名；以…来命名；以…的名字命名
originally,adv. 最初，起初；本来
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
mortality,n. 死亡数，死亡率；必死性，必死的命运
pass through,"na. 穿过；经历；经验；遭受
 通过；经过；穿越"
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
symptom,n.  症状；征兆
version,n. 版本；译文；倒转术
infect,vt. 感染，传染
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
origin,n. 起源；原点；出身；开端
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
simultaneously,adv. 同时地
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
unknowingly,adv. 不知不觉地
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
be traced back to,找不到解释
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
ensure,vt. 保证，确保；使安全
contaminated,"v. 污染（contaminate的过去式）
adj. 受污染的；弄脏的"
capable,adj. 能干的，能胜任的；有才华的
worldwide,"adj. 全世界的
adv. 在世界各地"
fierce,adj. 凶猛的；猛烈的；暴躁的
die out,"na. 死绝
 灭绝；消失；逐渐消失"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫"
potentially,adv. 可能地，潜在地
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
temporarily,adv. 临时地，临时
in panic, 惊慌失措地；惊慌地；在恐慌中
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
injection,n. 注射；注射剂；充血；射入轨道
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
available,adj. 可获得的；可购得的；可找到的；有空的
vaccination,n. 接种疫苗；种痘
personality,n. 个性；品格；名人
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
confident,adj. 自信的；确信的
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
perspective,"n. 观点；远景；透视图
adj. 透视的"
essentially,adv. 本质上；本来
comically,adv. 滑稽地；诙谐地
relatively,adv. 相当地；相对地，比较地
indicator,n. 指示器； 指示剂； 指示符；压力计
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
gifted,"adj. 有天赋的；有才华的
v. 给予（gift的过去分词）"
well-founded,adj. 有根据的；理由充足的；有充分根据的
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
connection,n. 连接；关系；人脉；连接件
exclude,vt. 排除；排斥；拒绝接纳；逐出
self-esteem,n. 自尊；自负；自大
enhance,vt. 提高；加强；增加
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
maintain,vt. 维持；继续；维修；主张；供养
similarly,adv. 同样地；类似于
tolerance,n. 公差；宽容；容忍；公差
hostility,n. 敌意；战争行动
amused,"v. 逗笑（amuse的过去分词）；使欢乐
adj. 愉快的，顽皮的；被逗乐的"
shortcoming,n. 缺点；短处
stressful,adj. 紧张的；有压力的
energetic,adj. 精力充沛的；积极的；有力的
take effective action,找不到解释
continually,adv. 不断地；频繁地
response,n. 响应；反应；回答
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
reaction,n. 反应，感应；反动，复古；反作用
production,n. 成果；产品；生产；作品
effectiveness,n. 效力
thereby,adv. 从而，因此；在那附近；在那方面
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
mood,n. 情绪，语气；心境；气氛
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
range from ... to ...,找不到解释
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
behavior,n. 行为，举止；态度；反应
anxious,adj. 焦虑的；担忧的；渴望的；急切的
in addition,"na. 加之
 另外；此外；又"
ache,"n. 疼痛
vi. 疼痛；渴望"
symptom,n.  症状；征兆
acceptable,adj. 可接受的；合意的；可忍受的
depressed,"adj. 沮丧的；萧条的；压低的
v. 使沮丧；使萧条（depress的过去式和过去分词形式）；压低"
sensation,n. 感觉；轰动；感动
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
medical,"adj. 医学的；药的；内科的
n. 医生；体格检查"
neighborhood,n. 附近；街坊；接近；街区
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
environment,n. 环境，外界
amid,prep. 在其中，在其间
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
attribute,"n. 属性；特质
vt. 归属；把…归于"
inactivity,n. 静止；不活泼；休止状态；不放射性
be related to,"na. 和…有(亲戚)关系
 与……有关；与…有关系；与…相关"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
psychologist,n. 心理学家，心理学者
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
symptom,n.  症状；征兆
journal,n. 日报，杂志；日记；分类账
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
vital,adj. 至关重要的；生死攸关的；有活力的
activity,n. 活动；行动；活跃
cognitive,adj. 认知的，认识的
attention-deficit,注意力缺陷
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
exposure,n. 暴露；曝光；揭露；陈列
analysis,n. 分析；分解；验定
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
resident,"n. 居民；住院医生
adj. 居住的；定居的"
citizen,n. 公民；市民；老百姓
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
causal,"n. 表示原因的连词
adj. 因果关系的；有原因的"
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
aim at,"v. 目的在于
 瞄准；针对；旨在"
not necessarily,"na. 不一定
 未必；不见得；这倒未必"
nonetheless,adv. 尽管如此，但是
action,n. 行动；活动；功能；战斗；情节
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
expose sb. to,"un. 暴露于
 接触；使易受；使受"
crippling,"v. 削弱（cripple的ing形式）；使受损
adj. 造成严重后果的
n. 残缺的东西；有缺陷的事物"
inability,n. 无能力；无才能
physician,n.  医师；内科医师
backbone,n. 支柱；主干网；决心，毅力；脊椎
