relationship,n. 关系；关联
necessity,n. 需要；必然性；必需品
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
compensation,n. 补偿；报酬；赔偿金
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
facilitate,vt. 促进；帮助；使容易
readily,adv. 容易地；乐意地；无困难地
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
obligation,n. 义务；职责；债务
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
suffering,"n. 受难；苦楚
v. 受苦；蒙受（suffer的ing形式）
adj. 受苦的；患病的"
architecture,n. 建筑学；建筑风格；建筑式样；架构
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
portrait,n. 肖像；描写；半身雕塑像
reception,n. 接待；接收；招待会；感受；反应
statement,n. 声明；陈述，叙述；报表，清单
species,"n.  物种；种类
adj. 物种上的"
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
comparable,adj. 可比较的；比得上的
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
bore,"n. 孔；令人讨厌的人
vt. 钻孔；使烦扰
vi. 钻孔"
cite,vt. 引用；传讯；想起；表彰
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
registration,n. 登记；注册；挂号
qualification,n. 资格；条件；限制；赋予资格
recognition,n. 识别；承认，认出；重视；赞誉；公认
academy,n. 学院；研究院；学会；专科院校
specify,vt. 指定；详细说明；列举；把…列入说明书
unexpected,adj. 意外的，想不到的
category,n. 种类，分类； 范畴
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
perfection,n. 完善；完美
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
shortcoming,n. 缺点；短处
favorable,adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
favourable,"n. 有利
adj. 有利的，顺利的；赞成的"
considerate,adj. 体贴的；体谅的；考虑周到的
consideration,n. 考虑；原因；关心；报酬
considerable,adj. 相当大的；重要的，值得考虑的
surroundings,n. 环境；周围的事物
identification,n. 鉴定，识别；认同；身份证明
microwave,n. 微波
weaken,"vt. 减少；使变弱；使变淡
vi. 变弱；畏缩；变软弱"
distribution,n. 分布；分配
semester,n. 学期；半年
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
genetic,adj. 遗传的；基因的；起源的
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
rack,"n.  齿条；架子；拷问台
vt. 折磨；榨取
vi. 变形；随风飘；小步跑"
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
pessimistic,adj. 悲观的，厌世的；悲观主义的
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
clinical,adj. 临床的；诊所的
artistic,adj. 艺术的；风雅的；有美感的
exclude,vt. 排除；排斥；拒绝接纳；逐出
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
subtract,vt. 减去；扣掉
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
diverse,adj. 不同的；多种多样的；变化多的
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
relief,n. 救济；减轻，解除；安慰；浮雕
odds,n. 几率；胜算；不平等；差别
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
frequency,n. 频率；频繁
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
manner,n. 方式；习惯；种类；规矩；风俗
ribbon,"n. 带；缎带；（勋章等的）绶带；带状物；勋表
vt. 把…撕成条带；用缎带装饰
vi. 形成带状"
rhythm,n. 节奏；韵律
emigrate,"vi. 移居；移居外国
vt. 移民"
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
passion,n. 激情；热情；酷爱；盛怒
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
intimidate,vt. 恐吓，威胁；胁迫
deceive,v. 欺骗；行骗
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
standpoint,n. 立场；观点
communication,n. 通讯， 通信；交流；信函
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
sweat,"n. 汗；水珠；焦急；苦差使
vt. 使出汗；流出；使干苦活；剥削；藉出汗减轻；焦急地期待
vi. 出汗；辛苦工作；懊恼；结水珠"
visa,"n. 签证
vt. 签发签证"
imaginary,adj. 虚构的，假想的；想像的；虚数的
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
palm,"n. 手掌；棕榈树；掌状物
vt. 将…藏于掌中"
related,"v. 叙述（relate过去式）
adj. 有关系的，有关联的；讲述的，叙述的"
elementary,adj. 基本的；初级的； 元素的
irrigation,n. 灌溉； 冲洗；冲洗法
occurrence,n. 发生；出现；事件；发现
technician,n. 技师，技术员；技巧纯熟的人
combination,n. 结合；组合；联合； 化合
equality,n. 平等；相等； 等式
troublesome,adj. 麻烦的；讨厌的；使人苦恼的
significance,n. 意义；重要性；意思
defend,"vi. 保卫；防守
vt. 辩护；防护"
complicate,vt. 使复杂化；使恶化；使卷入
complicated,adj. 难懂的，复杂的
dignity,n. 尊严；高贵
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
thrust,"n.  推力；刺
vt. 插；插入；推挤
vi. 插入；用向某人刺去；猛然或用力推"
absorbed,"v. 吸收；使全神贯注（absorb的过去分词形式）
adj. 被吸收的；一心一意的"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
discharge,"n. 排放；卸货；解雇
vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出"
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
alongside,"prep. 在……旁边
adv. 在旁边"
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
density,n. 密度
interaction,"n. 相互作用； 交互作用
n. 互动"
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
feedback,n. 反馈；成果，资料；回复
fearful,adj. 可怕的；担心的；严重的
faulty,adj. 有错误的；有缺点的
fatty,"n. 胖子
adj. 脂肪的；肥胖的；多脂肪的；脂肪过多的"
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
dumb,adj. 哑的，无说话能力的；不说话的，无声音的
ethnic,adj. 种族的；人种的
downward,"adj. 向下的，下降的
adv. 向下"
dessert,n. 餐后甜点；甜点心
embassy,n. 大使馆；大使馆全体人员
furnish,vt. 提供；供应；装备
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
daylight,n. 白天；日光；黎明；公开
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
naked,adj. 裸体的；无装饰的；无证据的；直率的
conversely,adv. 相反地
waterproof,"n. 防水材料
vt. 使防水
adj. 防水的，不透水的"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
knit,"vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法"
physicist,n. 物理学家；唯物论者
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
cruise,"n. 巡航，巡游；乘船游览
vt. 巡航，巡游；漫游
vi. 巡航，巡游；漫游"
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
directly,"conj. 一…就
adv. 直接地；立即；马上；正好地；坦率地"
reunion,n. 重聚；（班级或学校的）同学会，同窗会
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
disposal,n. 处理；支配；清理；安排
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
congress,n. 国会；代表大会；会议；社交
competent,adj. 胜任的；有能力的；能干的；足够的
singular,"n. 单数
adj. 单数的；单一的；非凡的；异常的"
commitment,n. 承诺，保证；委托；承担义务；献身
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
consist,vi. 由…组成；在于；符合
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
backup,"n. 支持；后援；阻塞
adj. 支持的；候补的
vt. 做备份"
wrinkle,"n. 皱纹
vi. 起皱
vt. 使起皱纹"
genius,n. 天才，天赋；精神
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
sidewalk,n. 人行道
grateful,adj. 感谢的；令人愉快的，宜人的
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
resent,vt. 怨恨；愤恨；厌恶
modify,"vt. 修改，修饰；更改
vi. 修改"
manual,"adj. 手工的；体力的
n. 手册，指南"
vivid,adj. 生动的；鲜明的；鲜艳的
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
presentation,n. 展示；描述，陈述；介绍；赠送
mill,"vi. 乱转；被碾磨
n. 工厂；磨坊；磨粉机；制造厂；压榨机
vt. 搅拌；碾磨；磨细；使乱转"
therapy,n. 治疗，疗法
lengthy,adj. 漫长的，冗长的；啰唆的
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
norm,n. 标准，规范
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出"
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
neighborhood,n. 附近；街坊；接近；街区
neighbourhood,n. 邻近；周围；邻居关系；附近一带
moist,"adj. 潮湿的；多雨的；含泪的
n. 潮湿"
moisture,n. 水分；湿度；潮湿；降雨量
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求"
deserve,"vi. 应受，应得
vt. 应受，应得"
philosophy,n. 哲学；哲理；人生观
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
property,n. 性质，性能；财产；所有权
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
departure,n. 离开；出发；违背
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
deficiency,n. 缺陷，缺点；缺乏；不足的数额
preference,n. 偏爱，倾向；优先权
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
facial,"n. 美容，美颜；脸部按摩
adj. 面部的，表面的；脸的，面部用的"
polish,找不到解释
saddle,"n. 鞍，鞍状物；车座；拖具
vt. 承受；使负担；装以马鞍
vi. 跨上马鞍"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
distinctive,adj. 有特色的，与众不同的
tendency,n. 倾向，趋势；癖好
organic,adj.  有机的；组织的；器官的；根本的
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
anticipate,vt. 预期，期望；占先，抢先；提前使用
parade,"n. 游行；阅兵；炫耀；行进；阅兵场
vt. 游行；炫耀；列队行进
vi. 游行；炫耀；列队行进"
retain,vt. 保持；雇；记住
explicit,adj. 明确的；清楚的；直率的；详述的
veteran,"n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的"
restrain,vt. 抑制，控制；约束；制止
version,n. 版本；译文；倒转术
perception,n. 知觉； 感觉；看法；洞察力；获取
undergo,vt. 经历，经受；忍受
banner,"n. 横幅图片的广告模式
n. 旗帜，横幅,标语"
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
up-to-date,adj. 最新的，最近的；现代的，新式的
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
trait,n. 特性，特点；品质；少许
signature,n. 署名；签名；信号
bake,"n. 烤；烘烤食品
vi. 烘面包；被烤干；受热
vt. 烤，烘焙"
contaminate,vt. 污染，弄脏
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
circular,"n. 通知，传单
adj. 循环的；圆形的；间接的"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
guidance,n. 指导，引导；领导
valid,adj. 有效的；有根据的；合法的；正当的
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
thorough,adj. 彻底的；十分的；周密的
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
democratic,adj. 民主的；民主政治的；大众的
explosion,n. 爆炸；爆发；激增
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
equation,n. 方程式，等式；相等； 反应式
manipulate,vt. 操纵；操作；巧妙地处理；篡改
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
visual,adj. 视觉的，视力的；栩栩如生的
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
rob,"vt. 抢劫；使…丧失；非法剥夺
vi. 抢劫；掠夺"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
virus,n.  病毒；恶毒；毒害
destination,n. 目的地，终点
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
emit,vt. 发出，放射；发行；发表
authentic,adj. 真正的，真实的；可信的
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
sticky,adj. 粘的；粘性的
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
limp,"adj. 柔软的，无力的；软弱的
vi. 跛行，一拐一拐地走；缓慢费力地前进
n. 跛行"
technique,n. 技巧，技术；手法
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
prohibit,vt. 阻止，禁止
donation,n. 捐款，捐赠物；捐赠
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
jail,"n. 监狱；监牢；拘留所
vt. 监禁；下狱"
sting,"n. 刺痛；讽刺，刺激；刺毛
vt. 刺；驱使；使…苦恼；使…疼痛
vi. 刺痛；被刺痛；感到剧痛"
fierce,adj. 凶猛的；猛烈的；暴躁的
disappoint,vt. 使失望
utility,"n. 实用；效用；公共设施；功用
adj. 实用的；通用的；有多种用途的"
utilize,vt. 利用
utilise,vt. 使用（等于utilize）；利用
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
attorney,n. 律师；代理人；检查官
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
trim,"n. 修剪；整齐；情形
vt. 修剪；整理；装点
adj. 整齐的
vi. 削减"
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
assess,vt. 评定；估价；对…征税
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
episode,n. 插曲；一段情节；插话；有趣的事件
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
victim,n. 受害人；牺牲品；牺牲者
lane,n. 小巷； 航线；车道；罚球区
client,n.  客户；顾客；委托人
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
inspiration,n. 灵感；鼓舞；吸气；妙计
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
fraction,n. 分数；部分；小部分；稍微
habitual,adj. 习惯的；惯常的；习以为常的
landlord,n. 房东，老板；地主
psychology,n. 心理学；心理状态
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
stale,"n. 尿
adj. 陈腐的；不新鲜的
vt. 使变旧；变得不新鲜
vi. 变陈旧；撒尿；变得不新鲜"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
intact,adj. 完整的；原封不动的；未受损伤的
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
drown,"vt. 淹没；把…淹死
vi. 淹死；溺死"
parcel,"n. 包裹，小包
vt. 打包；捆扎"
honesty,n. 诚实，正直
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
exemplify,vt. 例证；例示
simplify,vt. 简化；使单纯；使简易
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
surgery,n. 外科；外科手术；手术室；诊疗室
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
sightseeing,"n. 观光；游览
v. 观光（sightsee的ing形式）；游览
adj. 观光的；游览的"
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
fate,"n. 命运
vt. 注定"
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
scenery,n. 风景；景色；舞台布景
selection,n. 选择，挑选；选集；精选品
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
vitamin,n.  维生素； 维他命
definite,adj. 一定的；确切的
correspond,vi. 符合，一致；相应；通信
incidence,n. 发生率；影响； 入射；影响范围
bug,"n. 臭虫，小虫；故障；窃听器
vt. 烦扰，打扰；装窃听器
vi. 装置窃听器；打扰"
rural,adj. 农村的，乡下的；田园的，有乡村风味的
comprehension,n. 理解；包含
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
consultant,n. 顾问；咨询者；会诊医生
glorious,adj. 光荣的；辉煌的；极好的
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
inadequate,adj. 不充分的，不适当的
precise,adj. 精确的；明确的；严格的
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
grace,"n. 优雅；恩惠；魅力；慈悲
vt. 使优美"
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
punctual,adj. 准时的，守时的；精确的
wholly,adv. 完全地；全部；统统
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
context,n. 环境；上下文；来龙去脉
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
corps,n. 军团；兵种；兵队；（德国大学的）学生联合会
compel,vt. 强迫，迫使；强使发生
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
slap,"n. 掴；侮辱；掌击；拍打声
vt. 拍击；侮辱；掌击；掴…的耳光
vi. 掴；拍击
adv. 直接地；猛然地；恰好"
mislead,vt. 误导；带错
urgent,adj. 紧急的；急迫的
applause,n. 欢呼，喝采；鼓掌欢迎
detection,n. 侦查，探测；发觉，发现；察觉
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
orchestra,n. 管弦乐队；乐队演奏处
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
oral,"n. 口试
adj. 口头的，口述的"
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
fabric,n. 织物；布；组织；构造；建筑物
underneath,"prep. 在…的下面；在…的形式下；在…的支配下
n. 下面；底部
adj. 下面的；底层的
adv. 在下面；在底下"
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
bundle,"n. 束；捆
vt. 捆
vi. 匆忙离开"
vague,adj. 模糊的；含糊的；不明确的；暧昧的
undermine,vt. 破坏，渐渐破坏；挖掘地基
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
ancestor,n. 始祖，祖先；被继承人
soak,"n. 浸；湿透；大雨
vi. 浸泡；渗透
vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透"
gaze,"n. 凝视；注视
vi. 凝视；注视"
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
approval,n. 批准；认可；赞成
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
prevail,vi. 盛行，流行；战胜，获胜
confirmation,n. 确认；证实；证明；批准
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
tedious,adj. 沉闷的；冗长乏味的
economical,adj. 经济的；节约的；合算的
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
slippery,adj. 滑的；狡猾的；不稳定的
tremble,"n. 颤抖；战栗；摇晃
vi. 发抖；战栗；焦虑；摇晃
vt. 使挥动；用颤抖的声音说出"
storage,n. 存储；仓库；贮藏所
senator,n. 参议员；（古罗马的）元老院议员；评议员，理事
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
imitate,vt. 模仿，仿效；仿造，仿制
ownership,n. 所有权；物主身份
miracle,n. 奇迹，奇迹般的人或物；惊人的事例
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
grief,n. 悲痛；忧伤；不幸
horror,n. 惊骇；惨状；极端厌恶；令人恐怖的事物
horrible,adj. 可怕的；极讨厌的
