accuse of,"un. 控告
 指责；指控；因某事控告某人"
in exchange for,"na. 换
 交换；用……交换；作为交换"
in fashion,"na. 时新的
 流行；时兴；正流行"
influence on, 影响；对…的影响；对…有影响
in front of,"na. 在…的前面
 在……前面；在……的前面；在…面前"
in large numbers, 大量地；大量的；云涌
in matter of, 与……有关
in memory of,"na. 纪念…
 为纪念；为了纪念；以纪念"
in need, 在危难中；需要帮助的；在困难时
in order,"na. 整整齐齐；合规则；情况正常；健康
 按顺序；秩序井然；按次序"
in other ways, 在其他方面；用别的方式；用其他方法
in other words,"na. 换句话说
 换言之；也就是说；也就是"
in part,"na. 一部份地；有几成；在某种程度上
 部分地；一部分；有些部分"
in perspective,"na. 按照透视画法的；展望中的；正确的
 正确地；观察合理地；符合透视法地"
in practice,"na. 事实上；在实践中；在不断练习中；练习充足
 实际上；在实际中；从实践上看"
in print,"na. 已出版的；(书等)在出售中的；(书等)尚有供应的
 在印刷中；印出来；在销售中"
in public,"na. 公然
 当众；公开地；在公共场合"
in quest of,"na. 为求…
 寻找；探求；为了寻求"
in reality,"na. 事实上；实在
 实际上；在现实中；其实"
in respect of,"na. 关于
 就…来说；关于和涉及；至于"
in response to,"na. 应…而
 响应；回答；对…做出反应"
in return,"na. 作报复；作替换
 作为回报；作为报答；作为交换"
in return for,"na. 作…的报酬
 作为…的报答；作为对…的回报；作为…的交换"
in search of,"na. 寻找；去找；追求；为了寻求
 为了寻找；搜索；查究"
in short supply,"na. 供应不足
 短缺；供不应求；缺乏"
in small amount,找不到解释
in some ways, 在某些方面；在某种程度上；在一些方面
in spite of,"na. spite of 不管；无视
 尽管；不顾；虽然"
in store,"na. 准备着
 贮藏着；必将发生；储藏着"
in sympathy with,"na. 同情；赞成；跟着
 和...一致；赞同；同意"
in ... terms,找不到解释
in the background,"na. 背地下；在幕后(活动)
 在背后；在后面；在后台"
in the end,"na. 终于
 最后；最终；结果到头来"
in the eyes of,"na. 在…的心目中
 在……看来；眼里；观点看来"
in the form of,"na. 用…的形式
 以…形式；以……的形式；以某种形式"
in the heart of,"na. 在…中心
 处于重要的位置；在…中央；在……的中心地带"
in the interest of,"na. 为了…的利益
 对……有利；为了……利益；符合……的利益"
in the knowledge of,找不到解释
in the light of,"na. 按照；以…的模样；当作…
 根据；鉴于；依据"
in the long run,"na. 归根到底；“in the long run/term”的变体
 从长远来看；最后；从长远观点看"
in the long term,"na. 从长期看
 从长远角度看；从长远来看；从长远观点来看"
in the short term, 从短期来说；短期内；从眼前的观点看
in the manner of,"na. 照…的式样
 照...的式样；方式；以…方式"
in the matter of,"na. 关于…；就…而论
 就而论；在…方面；就…而言"
in the past,"na. 在过去
 以往；从前；过往"
in the process of,"na. 在…的过程中
 在……的过程中；在…过程中；在进程中"
in the way,"na. 在路上；妨碍
 挡道；挡路；妨碍人的"
in the way of,"na. 妨碍；在…方面；使能于
 在……方面；关于；至于说"
in use,"na. 正在用；通行；“in/out of use”的变体
 在使用中；在使用着；在使用着的"
in words, 口头上；用语言；用言语
impose on,"v. 强迫；欺骗
 把…强加于；施加影响于；利用"
interfere in,"v. 干涉
 干预；在某件事上打扰；相关词组"
issue in, 导致；结果是；以…结束
in ample supply,找不到解释
in a row,"na. 成一排；连续
 连续的；一连串；接连"
in a vacuum, 在真空中；似在真空中；在真空环境下
in blinding flash,找不到解释
in keeping with,"na. 和…一致
 符合；与……协调；与…一致"
in the array of,找不到解释
in the grip of,"un. 控制自己的情绪；被捏在…里；在…控制之下；患了
 受……控制；处于；受…的控制"
in the medium term, 词语或英文单词
in the pipeline, 在考虑（或规划、准备） 中; 在酿中; 在准备中; 在完成中
jump at,"v. 欣然接受
 立即抓住；急忙接受；欣然接收"
jump on,"na. 严词责备；突然袭击；同“jump”
 跳上；叱责；责骂"
keep down,"na. 压住；压服；用小活字排印；缩减
 控制；镇压；控制，压制，镇压"
keep ... from doing, 避免做；避免做某事；从某事中停下来
keep a close watch on,"v. 密切注意
 密切关注；严密监视；密切监视"
keep an eye on,"v. 密切注意
 照看；留意；密切注视"
keep one's word,"na. 守约；履行诺言；说话算话
 守信用；遵守诺言；信守诺言"
keep up,"na. 支持；保持；继续；停歇
 维持；坚持；持续"
keep up with,"na. 不落后
 跟上；赶上；紧跟"
kill off,"na. 消灭
 杀光；扼杀，否决；除去"
keen on, 热衷于；喜爱；喜欢
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
keep one's eyes open,"na. 时刻提防；留神监视
 留心看着；保持警惕；留意"
keep abreast of,"na. 跟着(时代)跑
 了解……的最新情况；跟贴；跟上"
be abreast of, 使不落后于
abreast,"adj. 并排的；肩并肩的
adv. 并肩地；并列"
keep one's end up,"na. 坚持到底
 精神饱满地对付；坚持不懈；不泄气积极地解难"
hold one's end up,见 keep one's end up
hold up one's end, 赏罚分明
keep track of,"na. 追踪；记录；保持联系；密切注意…的动向
 与…保持联系；跟踪；保持对……的联系"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
key in,"un. 插上；键入
 键盘输入；电脑操作及输入；按键矩阵输入"
knee-jerk reaction,不由自主的迅速反应
lay off,"na. 辞退；停止；暂停
 解雇；下岗；裁员"
lead to,"na. 通向
 导致；引起；通往"
lead up to,"na. 渐渐诱入；设法引出
 导致；引起；把…一直带领到"
look for,"v. 寻找；探索；渴望；盼望
 期待；找寻；查找"
look up to,"v. 尊敬；另眼看待；向…一举一动看齐
 敬仰；仰望；尊重"
lose faith in,"na. 对…失去信念
 对…失去信心；不再信任；失去对-----的信任"
lack of,"v. 缺乏
 缺少；不足；不够"
land in, 着陆；在……着陆；在大地点着陆
lay the roots for,找不到解释
lead into,把…带入; 导致; (道路等)通向
lead on,"na. 哄骗；怂恿
 继续引领；雷帝；率领"
lean on,"na. 靠在；倚赖；据险(固守)
 依靠；依赖；倚靠"
let alone,"na. 任随；更不用说；放任；莫说…(连)
 更别提；更不必说；不管"
lie down,"v. 躺下；不反抗；屈服；顺从
 躺下不干；躺下来；躺倒"
lie in,"na. 存在于；(分娩后)坐月子
 位于；睡懒觉；躺在"
lie with,"na. 和…发生性关系；(责任,义务,决定权等)在于…
 取决于；是…的责任；苟合"
line up,"na. 整顿(机械等)；排成一列；使(兵士)排齐；整顿阵容
 排队；整队；排成一行"
live by,"na. 靠…为生；住在…附近
 以……为生；靠……为生；靠……生活"
live in,"na. 住进；(雇员)住在东家
 居住在；住在某地；居住于"
live off,"na. 住在…之外；以…为生
 靠…生活；靠……供养；依赖…生活"
long for,"v. 渴望
 盼望；思慕；思念"
look back,"na. 回头看；回顾；追想 (to；upon)；(对事业等)不起劲
 回忆；追忆；向后看"
look at,"na. 看；考虑
 看着；注视；瞧"
look on,"na. 旁观；面向；看做
 观看；看待；观望"
look to,"na. 依赖；注意；照料；倾向…
 指望；照顾；期望"
look into,"na. 窥视；调查；过问
 研究；检查；了解"
look upon,"na. 像很健康；看上去漂亮；(事情)顺利
 看待；看作；把…看作"
look forward to,"na. 盼望
 期待；期望；期盼"
look into,"na. 窥视；调查；过问
 研究；检查；了解"
look out,"na. 挑选；注意；看外头；展望 (on；over)
 当心；小心；留神"
lose sleep,"na. 失眠
 忧虑；担心"
laughing stock,"n. 笑柄；笑料
 成了笑料；笑柄酒园；的笑柄"
less ... and more ...,找不到解释
less than,"adj. 少于
 不到；小于；低于"
life sentence,"n. 无期徒刑；终身监禁
 终生监禁；判处无期徒刑；无期徒刑之判决"
lay over,"n. 中途的短暂停留
 覆盖；涂，覆盖；延期"
loom large, 显得突出；赫然耸现；显得严重
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
lump together,"na. 总计
 把…混为一谈；合在一起；合并"
lump,"n. 块，块状；肿块；瘤；很多；笨人
vt. 混在一起；使成块状；忍耐；笨重地移动
vi. 结块
adj. 成团的；总共的
adv. 很；非常"
learning curve,"n. 经验学习曲线
 学习过程；曲线学习；认知曲线"
leave sb. in the dust,找不到解释
leave sth. in the dust,找不到解释
make fun of,"na. 嘲弄
 取笑；嘲笑；开玩笑"
make up,"na. 弥补；起草；定；签订
 组成；化妆；编造"
make no difference,"un. 在意；没关系；没有差别；无动于衷
 没有影响；没有区别；没影响"
make demand of,找不到解释
make reflection on,找不到解释
reflection,n. 反射；沉思；映象
make use of,"na. 使用
 利用；利用某事物；利用好时间"
manage to,"v. 设法处理
 达成；设法完成；设法做到"
marvel at,"v. 对…感到惊异
 惊奇；惊叹；感到惊讶"
meet the requirements of,vt.  适应(满足 ... 的需要)
requirement,n. 要求；必要条件；必需品
move on,"na. 继续前进；(使)继续前进；向前!
 继续移动；往前走；继续前行"
multiply by,"v. 乘
 乘以；乘上；使相乘"
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
make an effort,"na. 努力作出
 作出努力；做出努力；尽一番努力"
make money,"na. 赚钱；发财
 挣钱；生财；网路赚钱"
make progress,"na. 前进；进展
 取得进步；取得进展；有进步"
make sacrifice,找不到解释
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
market-oriented,adj. 以市场为导向；市场取向
meet one's need,满足某人的需要
millions of,"det. 数百万
 数百万的；成百万的；数以百万计"
more often than not,"na. 通常
 多半；时常；往往"
more than,"na. …以上；比…更
 多于；超过；不止"
multitudes of, 众多
multitude,n. 群众；多数
move against, 行动起来反对
make a splash,"na. 发出泼溅声；引起轰动
 造成轰动；引人注意；发出溅水声"
cause a splash, 引人注目；引起轰动
merit pay, 绩效工资；绩效加薪；绩效薪酬
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
muscle tone,"un. 肌紧张
 肌肉张力；肌张力；肌肉紧张度"
no less than,"prep. 多达
 不少于；不亚于；不下"
no longer,"na. 不再
 已不；再也；再也不"
nothing more than,"un. 只有；跟…迥然不同；只不过
 仅仅；只不过是；无非是"
now that,"na. 由于
 既然；既然已；现在已经"
neglect of, 疏忽；对…的疏忽
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
neither here nor there,"na. 无关紧要；不得要领；不相干；没有关系
 与本题无关；不中肯；不相干的"
neither ... nor, 既不……也不；两者都不；均不
never mind,"un. 没关系；不要紧；开诚布公地谈
 别介意；别放在心上；别在意"
night and day,"na. 日夜；不分昼夜
 日日夜夜；夜与日；日以继夜"
no doubt,"na. 无疑地；很可能
 毫无疑问；必定；不要怀疑合唱团"
no end,"na. 非常
 永无休止；无休无止；无止无休"
none but,"na. 只有；除…以外谁都不
 仅；除...以外谁都不；不是别的正是"
none other than,"na. 正是；而是；恰恰是
 不是别的；不是别人而正是；不是别人正是"
no other than,"na. 就是；只有
 正是；除…外没有；不是别的"
no sooner ... than,"na. 才…(就)
 一……就；不早于；刚…就"
not as ... as,找不到解释
not so ... as,找不到解释
not ... at all,找不到解释
not ... but ...,找不到解释
not have a leg to stand on, （论点等）站不住脚， 对行为无合理的解释等
nothing but,"na. 不外；的确
 只有；只不过；只是"
not in the least,"na. 一点也不
 毫不；绝不；一点儿也不"
not so much ... as,"conj. 甚至不
 与其说…不如说；甚至没有；连…都不肯"
not to mention,"na. …不用说
 更不用说；更不必说；更别提"
no way,"na. 无论如何不
 不行；不可能；没门"
nowhere near,"na. 远远没有；总不如(那么好等)
 远不及；差得远；离得远，差得远"
no wonder, 难怪；怪不得；不足为奇
nose about,"打听,探听,刺探"
nose around, 到处打听；查探
narrow escape,"n. 九死一生
 幸免于难；死里逃生；侥幸脱险"
narrow victory, 险胜；微弱的胜利
none too,"adv. 并不；一点也不
 不太；一点都不；也不会过分"
oppose to,"v. 反对；反抗
 正反对；相对"
owe to,"v. 由于；把…归功于
 应该把…归功于；欠；因为"
on average, 平均；平均起来；通常
on behalf of,"na. 替；为…的利益
 代表；代表某人；以…名义"
once for all,"na. 只此一次；断然
 一劳永逸地；永远地；彻底地"
only if,"conj. 只有当
 只要；除非；只要…就"
on the average,"na. 平均；一般说来
 平均起来；按平均值；平均而言"
on an average,"na. 平均；一般说来
 平均起来；平均而言；按平均"
on the basis of,"na. 以…为基础
 根据；在…基础上；在…的基础上"
on the contrary,"na. 反之
 正相反；相反地；相反的"
on the one hand,"na. 一方面
 在一方面；一方面…在另一方面；这一方面"
on the other hand,"na. 从另一方面来说；在另一方面
 一方面…另一方面；但是；表示而另一方面"
on the whole,"na. 整体上说
 总的来说；大体上；基本上"
other than,"na. 与…不同；除了
 不同于；除…之外；而不是"
out of date,"adj. 过时的；缺乏新信息的；陈腐的；失效的
 过期；过期的；过时了"
owing to,"conj. 由于；因为
prep. 因为；由于
 归因于；由于…的原因；多亏"
occur to, 想到；被想起；被想到
open up,"na. (打)开；割开；开发(资源)；揭示
 打开；开辟；开放"
operate on,"v. 对…施行手术；用…开动
 动手术；为……动手术；给……动手术"
originate in,"v. 来源于
 起源于；起源於；从某物中派生出"
originate from,"v. 起源于；发源于
 来源于；来自；起源於"
ought to,"modalv. 应该；应当；（表示期望或可能发生的事）应该；（表示劝告或建议）应该
v. 应该
 理应；应然；应该要"
objection to, 反对；反对某事；对……反对
of a kind, 同类的；同一类的；徒有其名的
of all kinds, 各种各样的；所有种类的；七七八八
of a sort,"na. 勉强凑合的
 勉强称得上的；同一种；较差的"
of course,"na. 当然
 自然；当然可以；当然了"
off and on,"na. 断断续续；偶尔；(航海)时而靠岸时而离岸地；不规则地
 断断续续地；间歇地；不时地"
off balance,"un. 偿清债务；趔趄
 失去平衡的；失去平衡；不平衡"
off duty,"na. 下班；在工作时间外
 不在值班；下了班；不值班"
off one's guard,"na. 疏忽
 不提防；不警惕；没有提防地"
off the air,"un. 广播中止；没发射
 停播；停止广播；不播放"
on account of,"na. 因为
 由于；为了；基于"
on a daily basis, 每天；日常；每天都
on a diet,"adj. 在节食
 吃某种特殊饮食；吃规定的饮食；节食减肥"
on and on,"na. 不停地
 继续；不断地；继续不停地"
on business,"na. 因公
 因事；出差办事；有事"
once again,"na. 一再；再一次；“once again/more”的变体
 再度；再次；又一次"
once in a while,偶尔；有时（等于every once in a while）
once more,"na. 再一次；“once again/more”的变体
 又一次；再次；再来一次"
once upon a time,"na. 从前；很久很久以前；古时候
 童话镇；曾经；童话小镇"
on condition that,"na. 在…的条件下
 在…条件下；条件是；如果"
on demand,"na. 请求即
 按需；随选；随需应变"
on duty,"na. 在工作时间内；上班；值班
 值日；当班；在值班"
one after another,"na. 一个又一个地；陆续；相继
 一个接一个；一个接一个地；先后"
one another,"pron. 互相
 相互；彼此；互相地"
on earth,"na. 到底；在地球上；全然
 究竟；在世上；在人间"
one by one,"na. 一个一个；一个一个地
 一个接一个；一个接一个地；一个接着一个"
one day,"na. 有一天；(过去或将来的)某一天
 真爱挑日子；情约一天；总有一天"
on end,"na. 继续；竖着
 连续地；竖立着；直立"
one way or another,"na. 以某种方式；想方设法；无论如何；(好歹)设法
 不管怎样；表示某种方法或途径；以某种形式"
on file,"na. 合订成册
 存档；记录下来备查；归档，存卷"
on fire,"na. 燃烧着；兴奋着
 着火；起火；起火着火"
on foot,"na. 步行；在进行中；徒步
 走路；步行时；走路去"
on guard,"na. 看守；值班
 站岗；警惕；防范"
on hand,"na. 现有；出席；在近处
 在手边；在场；在手头"
on impulse, 一时冲动；一时心血来潮；冲动的
on leave,"na. 请假中
 休假；在休假；休假中"
on line,"un. 在线的；联机；电站并网；机控
 在线式；线上；上线"
on loan,"na. 出借
 暂借的；借出；借调"
only too,"na. 极；实在；可惜；“all/only too”的变体
 非常；太；极其，非常"
on no account,"na. … on any account 决不
 无论如何；不论什么原因也不；绝对不"
on occasion,"na. 有时；遇必要时
 间或；偶尔；不时"
on occasions, 不时地；有必要时；在…场合
on one's guard,"na. 警戒
 警惕；提防；警戒着"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
 单独；靠自己；靠自己的力量"
on order,"adj. 已定购
 已订购；定购中；已定购而尚未交货的"
on paper,"na. 纸上；统计上；理论上
 以书面形式；在纸上；在名义上"
on purpose,"na. 故意；意欲
 故意地；有意；故意的"
on record, 记录在案的；记录在案；记录下来的
on sale,"na. 出售的；上市的；出售(的)；廉价出售(的)
 减价；打折；大减价"
on schedule,"na. 按时；按时间表；按照预定计划
 准时；按预定时间；正点"
on that score,"na. 因此；在那一点上；“on that/this score”的变体
 就那一点来说；在那点上；关于那一点"
on the air,"na. 广播中；(正在)广播；哭着；闹着
 正在播出的；播送；在广播"
on the alert,"na. 警惕
 提防；警戒；处于戒备状态"
on the decline,"na. 没落；在低落中；在衰退中
 走下坡路；在衰落；在下降"
on the go,"adj. 忙忙碌碌的
 忙个不停；在活动；正在忙碌中"
on the hour,"na. 准时地；按整小时地
 整点；在整点时刻；每小时"
on the increase, 在增加；正在增加；正在增长
on the job,"na. (努力)工作者
 在工作；工作中；工作着"
on the move,"na. 一直在动；开始活动；(事件)正在发展；动着
 在活动中；移动中；在移动中"
on the net, 在网上；网上资讯；网络上
on the occasion of,"na. 在…的时候
 值此之际；值…之际；在...的时候"
on the point of,"prep. 正要N；将要N
 正要…的时候；正要…之际；即将…的时候"
on the quiet,"na. 私下；偷偷
 秘密地；偷偷地；私下地"
on the rise,"na. 在涨；在增加；好转
 在上升；正在上升；在上涨"
on the road to,"un. 在旅途中；要；在…过程中
 在去……的旅途中；通向…路当中；他终于感到自己快要成功了"
on the run,"na. 跑着
 我很忙；亡命鸳鸯；逃亡"
on the shelf,"un. 废弃的；滞销的；闲置的
 在书架上；在架子上；束之高阁"
on the spot,"na. 当场；立刻；用现货；(人)准备妥当
 在现场；在场；马上"
on the table,"na. 公开地；摆在桌面上；在桌子上
 在桌上；在桌子上面；在桌上的东西"
on the verge of,"na. 将近(几岁)；即将…
 濒于；接近于；濒临于"
on thin ice, 如履薄冰；履於薄冰；步履薄冰
on time,"na. 按时；及时
 准时；正点；准时地"
on top,"na. 在上；在(双层公共车辆的)顶座；成功；占优势
 在上面；在顶上；顶部"
open-minded,adj. 虚心的；思想开明的；无偏见的
or else,"na. 不然
 否则；要不然；否则，要不然"
or so,"un. 与其说…不如说…；大约
 左右；上下；大概"
out of condition,"adj. 情况不佳
 健康状况不好；身体不好；健康不佳"
out of control,"na. 失去控制
 失控；不受控制；过界"
out of doors,"na. 在户外；在外；“out-of-doors”的变体
 室外；户外的；不在"
out of fashion,"adj. 过时
 不流行；不合时尚；过时的"
out of hand,"na. 即时；脱手；告终；难对付
 无法控制；失去控制；失控"
out of the way,"na. 向旁边；让开；迷失；误
 让路；不挡道；不碍事"
over the years,"na. 长年累月
 多年来；这些年来；很多年来"
over time,"conj. 随着时间的过去
 三十拉警报；随着时间的推移；久而久之"
odds and ends,"n. 零碎；琐碎的东西；小玩意
 零碎的工作；零碎东西；零星杂物"
off-the-cuff,adj. 即席的
off the hook,"un. 齿轮脱开
 逃脱；摆脱困境；脱身"
off the record,"na. 不得发表的；不可以公开的；非正式的
 非公开事件；不宜公开报道；非正式地"
of no account,"na. 不重要的
 无价值的；毫不重要；无足轻重"
of one's own accord,"na. 自愿地
 主动地；出于自愿；自愿的"
on approval,"na. (商品)供试用的
 包退包换的；试销；看货和试用后决定"
on cue, 恰好在这个时候；恰好在这时候；就在这个时候
on edge,"na. 易怒；急切；竖着
 紧张；紧张不安；烦躁"
on oath,"na. 发誓
 必定；依照誓言"
under oath,"na. 发誓
 宣过誓；受誓言的约束；发誓说真话"
on one's conscience, 引起某人悔恨的；使内疚；良心上
on one's honor, 以名誉担保
upon one's honor,找不到解释
on one's own initiative,"na. 主动地
 主动地做某事；自觉；主动作某事"
on the blink,"na. 坏了；喝醉的；(机器等)出毛病；(人)不舒服
 失灵；身体不爽；性能不佳"
on the brink of,"na. 即将要
 濒于；濒临；在……的边缘"
on the button,"na. 击中下颌；准确；准时；确切
 按钮；按钮位置；百发百中"
on the fence,"na. 犹豫未决的；中立的
 保持中立；抱观望态度；抱骑墙态度"
on the grounds of,"na. 根据
 以…为理由；由于；想抓住"
on the grounds that,"un. 基于；由于
 因为；基于…理由；为理由"
on the horizon,"na. 在地平线上
 在那地平线上；即将来临的；刚刚冒出地平线"
on the ropes,"na. 被击倒在(拳击场的)围栏索上；使窘困
 岌岌可危；即将完蛋；摇摇欲坠"
on the sly,"na. 秘密地
 偷偷地；偷偷的；暗地里"
on the spur of the moment,"na. 一时兴起；当场
 一时冲动；一时冲动之下；一时冲动地"
out of character,"na. 不适当
 角色个性偏差；不相称；不相符"
out of joint,"na. 脱节；纷乱；不协调；不满
 脱臼；下巴被人打得脱臼；脱臼的"
over-the-counter,adj. 不通过交易所而直接售给顾客的；不需处方可以出售的
pay attention to,"na. 注意
 重视；对……注意；关心"
persuade into,劝某人做某事
play a role in,"v. 起作用于
 在……中起作用；在……扮演一个角色；在……中扮演角色"
point out,"na. 指出
 指明；说明；指示"
prefer to,"un. 较喜欢；宁愿:
 更喜欢；宁可；倾向于"
prevent ... from doing,找不到解释
provide for,"v. 为…作准备
 为…提供；供养；赡养"
provide ... with,"v. 供给；供应
 提供；给…提供；以…装备"
put down to, 归因于；说…因而起；归因为
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
 提前；推荐；表提出"
parallel to,"v. 和…相似
 平行；类似；平行于"
parallel with,"v. 和…相似
 平行的；比较；与…比较"
peculiar to, 特有的；独具的；独有的
prior to,"adj. 前于
 此前；在…之前；先于"
participate in,"v. 参加；分享
 参与；参加某事；参加例句"
part with,"na. 跟…分别；解雇；卖掉(东西)
 放弃；割舍；辞退"
pass down,"un. 过；一闪即逝；下达
 传递；传下去；传下来"
pave the way for,"na. 为…铺平道路；使…容易到来
 为…创造条件；为…做好准备；为…铺路"
pay back,"na. 偿还；报答；向…报复；付还
 回报；还钱；还钱给"
pay for,"na. 付开销；赔偿(损失)；(为某种过失)付出代价；吃亏
 付款；付钱；支付"
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
piece together,"na. 拼合
 拼凑；拼凑在一起；综合"
place emphasis on,"na. 着重在；加强(语气)
 强调；重视；以…为重心"
play off against, 完成同其他优胜者的平分比赛; （使）相互争斗以坐收渔利
play with,"na. 玩弄(火等)；以…自娱
 玩耍；和……一起玩；和…玩"
pop into, 访问某人；匆匆走进；不假思索地到
prepare against, 准备应付；准备应付不好的事情；防备
prepare for, 准备；为…作准备；为…做准备
press for,"na. 催逼；(时间)迫促；(资金)短少
 迫切要求；催促；敦促"
press on,"na. 向前挤；坚决推进；“press ahead”的变体
 加紧赶路；加紧进行；压迫"
pull through,"na. 恢复健康；痊愈；渡过难关
 度过难关；渡过危机；度过危机"
push aside,"v. 推开
 把…推到一边；拨开；扒开"
push up,"v. 提高；强使(物价等)上升
n. 俯卧撑
 向上推；伏地挺身；掌上压"
put an end to,"na. 结束
 终止；废除；停止"
put on hold,"v. 暂时中止
 搁置；暂停；延期"
put through,"na. 经受；测试；试验；使…通过
 接通；完成；把……接通"
put up,提供；建造；举起；提高；推举，提名；供给…住宿；直接行动
package deal,"un. 一揽子交易
 一揽子交易中的条款；一揽子工程；一揽子计划"
pay rise, 加薪；涨工资；增加工资
pay raise, 加薪；增加工资；调高薪资
persuade sb. to do sth.,找不到解释
point of view,"n. 观点；态度；意见；看法
 视角；视点；角度"
pose a contrast,找不到解释
preferable to,"adj. 优于；胜过
 更好的；更可取的；比…更可取"
public figure, 公众人物；公共人物；知名人士
put another way, 换句话说
put ... on notice,找不到解释
put pen to paper,"na. 拿笔写；开始写
 落笔；着笔；下笔"
pair with, 与…配对；与…成对；使…与…配成对
pepper ... with, 用小物体不断打击某人
pin down,"na. 强迫(人)承认条约；用…束缚住；阻止；牵制
 确定；压制；使受约束"
plead for,"na. 恳求
 辩护；请求；为……辩护"
plough through,"un. 破浪航行
 费劲地阅读；吃力地钻研，艰难地通过；费力的阅读"
point at,"v. 指向
 指着；瞄准；对准"
point to,"v. 指向；针对
 指着；表明；指出"
prey on,"v. 捕食；掠夺
 杀害；掠夺折磨；折磨，损害"
part and parcel,"na. 重要部分；(…的)重要部分
 主要部分；重要的部分；不可或缺"
pink slip,"n. 解雇通知书
 解雇职工通知单；解雇通知单；解雇的通知"
prejudice against, 偏重；对……的偏见；对……偏见
put down roots, 扎根于：在某地建立永久的住所; 定居
quick-witted,adj. 机智灵敏的
refer to,"v. 查阅；提到
 参考；涉及；谈到"
regard as,"v. 当作
 认为；把…认作；视为"
renege on, 食言；违背；违约
resort to,"na. 使用(武力)
 诉诸于；求助于；采取"
rest on,"na. 被支持在…上；(目光等)停留在…上
 依靠；依赖；被搁在"
result from,"v. 由于
 由...产生；起因于；由…引起"
result in,"na. 终于(失败)
 导致；结果是；造成"
run against,"v. 背叛
 对……不利；违反；偶遇"
rather than,"na. 而不
 而不是；宁愿；与其"
regardless of,"prep. 不管；不顾；不理会
 不论；无论；不注意"
reliance on, 依赖；依靠；对……的依赖
reluctant to, 不愿意；不情愿的；勉强的
reflect on,"v. 考虑；回想
 反省；思考；仔细考虑"
relate to,"na. 有关联；与…有关；理解
 涉及；与…有联系；与……有关联"
rely on,"v. 依靠；信赖
 依赖；依仗；凭借"
reply to,"v. 答复；回答
 回复；答复某人；特此回信"
report back, 回禀；传达报告；汇报
resign from,"v. 辞职
 辞去；辞去……职务；从…辞职"
respond to,"v. 响应
 对…反应；回答；对…作出反应"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
rest with,"na. 取决于
 在于；归于；由……负责"
retreat from,"v. 放弃；撤退
 从退出；从……退却；避开"
return to,"v. 回到；返回；还给；降到
 返回到；恢复；回来"
ride on,"un. 在…上运动:；依…而定:；骑在(马、自行车等)上:；在…上航行
 骑在上面；取决于；乘"
roll in,"na. (预约者,捐款等)滚滚而来；(浪)滚滚打来；大量进来；到达
 蜂拥而来；转入；推击入洞"
root in, 扎根于；来源于；起因于
rule out,"na. 排除
 排除…的可能性；划去；拒绝考虑"
run out,"na. 耗尽；用光；过有效期；失效
 用完；用尽；到期"
rush through,"v. 匆匆完成
 匆忙做完；快速通过；匆忙通过"
rare bird, 珍禽；珍稀鸟类；奇异珍贵的宝物
ready for, 准备好干某事; 准备供（某人、事）用的; 准备应付; 对付
ready-made,adj. 现成的；做好的；陈旧的；平凡的
real estate,"n. 房地产；不动产；房产
 房地产业；房地产专业；房地产学"
estate,n. 房地产；财产；身份
reason for, 理由；原因；的原因
research into,"v. 研究
 探究；调查；对…进行研究"
research on,"v. 研究
 的研究；做有关…的研究；参考"
responsible for,"na. 为…负责；是造成…的原因
 的程度介乎前两种表达之间；应对……负责；对…负有责任"
responsible to, 有责任于；对…有反应；向某人负责
run wild,"na. 蔓延；狂暴起来；放肆起来；放荡
 胡闹；撒野；发疯"
rake in,"un. 赚大钱
 迅速取得；大量地敛集；大量敛集"
rake,"n. 耙子；斜度；钱耙；放荡的人，浪子
vt. 倾斜；搜索；掠过；用耙子耙
vi. 搜索；用耙子耙；掠过，擦过"
revolve around,"v. 旋绕
 围绕…转；旋转；环绕"
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
run counter to,"na. 违反
 背道而驰；与…背道而驰；对着干"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
rallying cry,"n. （团结众人的）战斗口号
 呐喊；鼓舞之吼；振奋战呼"
rally,"n. 集会；回复；公路赛车会
vt. 团结；集合；恢复健康、力量等
vi. 团结；重整；恢复；（网球等）连续对打"
