alter,"vt. 改变，更改
vi. 改变；修改"
beating,"n. 打； 打浆；敲打；失败
v. 打（beat的ing形式）"
championship,n. 锦标赛；冠军称号；冠军的地位
handling,"n. 处理
v. 负责；对待（handle的ing形式）；触摸
adj. 操作的"
riding,"n. 骑马；骑术
v. 骑；乘坐（ride的现在分词）"
rugby,n. 英式橄榄球；拉格比（英格兰中部的城市）
surfing,"n. 冲浪游戏
v. 冲浪（surf的ing形式）"
arithmetic,n. 算术，算法
biology,n. （一个地区全部的）生物；生物学
calculation,n. 计算；估计；计算的结果；深思熟虑
evolution,n. 演变；进化论；进展
noun,n. 名词
organism,n. 有机体；生物体；微生物
renaissance,n. 文艺复兴（欧洲14至17世纪）
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
tragedy,n. 悲剧；灾难；惨案
verb,"n. 动词；动词词性；动词性短语或从句
adj. 动词的；有动词性质的；起动词作用的"
belly,"n. 腹部；胃；食欲
vt. 使鼓起
vi. 涨满；鼓起"
footprint,n. 足迹；脚印
footstep,n. 脚步；脚步声；足迹
appreciation,n. 欣赏，鉴别；增值；感谢
awareness,"n. 意识，认识；明白，知道
n. 人群对品牌或产品的认知"
awe,"n. 敬畏
vt. 使敬畏；使畏怯"
creativity,n. 创造力；创造性
daring,"n. 胆量，勇气
v. 敢（dare的现在分词）
adj. 大胆的，勇敢的"
disgrace,"n. 耻辱；丢脸的人或事；失宠
vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜"
eagerness,n. 渴望；热心
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
illusion,n. 幻觉，错觉；错误的观念或信仰
inspiration,n. 灵感；鼓舞；吸气；妙计
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
perception,n. 知觉； 感觉；看法；洞察力；获取
preference,n. 偏爱，倾向；优先权
seriousness,n. 严重性；严肃；认真
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
wit,"n. 智慧；才智；智力
v. <古>知道；即"
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
clover,n.  三叶草；苜蓿；红花草
daylight,n. 白天；日光；黎明；公开
hay,"n. 干草
vt. 把晒干
vi. 割草晒干"
moss,"n. 苔藓；泥沼
vt. 使长满苔藓"
pansy,"n.  三色堇；同性恋男子；三色紫罗兰
vt. 打扮
vi. 打扮
adj. 女性化的；搞同性恋的；爱打扮的"
raindrop,n. 雨滴；雨点
thorn,n. 刺； 荆棘
twilight,"adj. 黎明，黄昏；薄暮；衰退期；朦胧状态
n. 黄昏；薄暮；衰退期；朦胧状态"
typhoon,n.  台风
vine,"n. 藤；葡萄树；藤本植物；攀缘植物
vi. 长成藤蔓；爬藤"
volcano,n. 火山
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
assumption,n. 假定；设想；担任；采取
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
bang,"n. 刘海；重击；突然巨响
vt. 重击；发巨响
adv. 直接地；砰然地；突然巨响地"
belonging,n. 所有物；行李；附属物
climax,n. 高潮；顶点；层进法；极点
congratulation,n. 祝贺；贺辞
decoration,n. 装饰，装潢；装饰品；奖章
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
earning,"n. 收入；所赚的钱
v. 赚得( earn的现在分词 )；挣钱；生（利）；获（利）"
Easter,n. 复活节
errand,n. 使命；差事；差使
exploration,n. 探测；探究；踏勘
exposure,n. 暴露；曝光；揭露；陈列
farewell,"n. 告别，辞别；再见；再会
adj. 告别的
int. 别了！（常含有永别或不容易再见面的意思）；再会！"
ferry,"n. 渡船；摆渡；渡口
vt. （乘渡船）渡过；用渡船运送；空运
vi. 摆渡；来往行驶"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
graduation,n. 毕业；毕业典礼；刻度，分度；分等级
heading,"n. 标题；（足球）头球；信头
v. 用头顶（head的ing形式）"
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
housekeeping,n. 家政；家务管理；家用开支
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
keyword,n. 密码；关键字
knitting,"n. 针织；编织物； 骨愈合
v. 编织；皱眉（knit的ing形式）"
lighting,"n. 照明设备，舞台灯光
v. 照明；点燃（light的ing形式）"
listing,"n. 列表，清单
v. 列表（list的现在分词）"
lump,"n. 块，块状；肿块；瘤；很多；笨人
vt. 混在一起；使成块状；忍耐；笨重地移动
vi. 结块
adj. 成团的；总共的
adv. 很；非常"
midday,"n. 中午；正午
adj. 正午的"
mixture,n. 混合；混合物；混合剂
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
offering,"n. 提供；祭品；奉献物；牲礼
v. 提供（offer的ing形式）"
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
packaging,"n. 包装；包装业，包装风格
v. 包装（package的ing形式）"
packing,"n. 包装；填充物
v. 包装；装满；压紧（pack的ing形式）"
password,n. 密码；口令
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
phenomenon,n. 现象；奇迹；杰出的人才
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
prevention,n. 预防；阻止；妨碍
procession,"n. 队伍，行列；一列，一排；列队行进
vt. 沿著……行进
vi. 列队行进"
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
publishing,"n. 出版；出版业
v. 出版；发行（publish的现在分词形式）；发表
adj. 出版的；出版业的"
reflection,n. 反射；沉思；映象
removal,n. 免职；移动；排除；搬迁
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
shipping,"n.  船舶，船舶吨数；海运；运送
v. 运送，乘船（ship的ing形式）"
sightseeing,"n. 观光；游览
v. 观光（sightsee的ing形式）；游览
adj. 观光的；游览的"
similarity,n. 类似；相似点
solitude,n. 孤独；隐居；荒僻的地方
standing,"n. 站立；持续；身分
adj. 长期的；直立的；固定的
v. 站立；坚持不变；坐落于（stand的ing形式）"
stitch,"n. 针脚，线迹；一针
vt. 缝，缝合
vi. 缝，缝合"
streetcar,n. 有轨电车
testing,"n.  测试
v. 测验；考查；受考验（test的ing形式）
adj. 试验的；棘手的"
topping,"n. 糕点上的装饰配料；构成顶部的东西；除顶部；修剪树稍
v. 加顶；超越（top的现在分词形式）
adj. 杰出的，一流的；高耸的"
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
vigor,n.  活力，精力
warming,"n. 加温，暖和；气温升高
v. 加温；兴奋；同情（warm的ing形式）
adj. 让人感到暖和的"
alliance,n. 联盟，联合；联姻
assembly,n. 装配；集会，集合
behalf,n. 代表；利益
broadcasting,"n. 播放；广播节目
v. 广播（broadcast的ing形式）"
capitalism,n. 资本主义
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
commitment,n. 承诺，保证；委托；承担义务；献身
concept,n. 观念，概念
conquest,n. 征服，战胜；战利品
consensus,n. 一致；舆论；合意
dealing,n. 交易；行为
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
demonstration,n. 示范；证明；示威游行
distinction,n. 区别；差别；特性；荣誉、勋章
evaluation,n. 评价； 评估；估价；求值
expansion,n. 膨胀；阐述；扩张物
fairness,n. 公平；美好；清晰；顺利性
famine,n. 饥荒；饥饿，奇缺
guideline,"n. 指导方针
参考"
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
invasion,n. 入侵，侵略；侵袭；侵犯
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
majesty,n. 威严；最高权威，王权；雄伟；权威
missile,"n. 导弹；投射物
adj. 导弹的；可投掷的；用以发射导弹的"
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
partnership,n. 合伙； 合伙企业；合作关系；合伙契约
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
publicity,n. 宣传，宣扬；公开；广告；注意
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
revival,n. 复兴；复活；苏醒；恢复精神；再生效
satellite,n. 卫星；人造卫星；随从；卫星国家
senate,n. 参议院，上院；（古罗马的）元老院
separation,n. 分离，分开；间隔，距离； 分居；缺口
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
trading,"n. 交易；贸易；购物
adj. 交易的；贸易的
v. 交换（trade的ing形式）；做买卖"
transition,n. 过渡；转变； 转换；变调
unity,n. 团结；一致；联合；个体
wartime,n. 战时
blueberry,n. 蓝莓； 越橘属的浆果
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
cider,n. 苹果酒；苹果汁
coconut,n. 椰子；椰子肉
cucumber,n. 黄瓜；胡瓜
liquor,"n. 酒，含酒精饮料；溶液；液体；烈酒
vi. 喝酒，灌酒
vt. 使喝醉"
mango,n.  芒果
oyster,n. 牡蛎， 蚝；沉默寡言的人
pasta,n. 意大利面食；面团
raisin,n. 葡萄干
raspberry,n. 覆盆子；舌头放在唇间发出的声音；（表示轻蔑，嘲笑等的）咂舌声
abundance,n. 充裕，丰富
breadth,n. 宽度，幅度；宽宏
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
calorie,n. 卡路里（热量单位）
frequency,n. 频率；频繁
hardness,n.  硬度；坚硬；困难；冷酷
ounce,n. 盎司；少量；雪豹
particle,n. 颗粒； 质点；极小量；小品词
shilling,n. 先令
academy,n. 学院；研究院；学会；专科院校
aisle,n. 通道，走道；侧廊
arcade,"n. 拱廊；（内设投角子电子游戏机等的）游乐场；有拱廊的街道
vt. 使有拱廊"
arena,n. 舞台；竞技场
barn,"n. 谷仓；畜棚；车库；靶（核反应截面单位）
vt. 把…贮存入仓"
brim,"n. 边；边缘
vi. 满溢；溢出
vt. 使…满溢"
bureau,n. 局，处；衣柜；办公桌
cape,n.  海角，岬；披肩
cathedral,n. 大教堂
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
coffeehouse,"n. 咖啡馆
vi. 进行漫谈；聊天"
corridor,走廊
crossroad,n. 十字路口；交叉路；岔道；重大的抉择关头
crosswalk,n. 人行横道
disco,n. 迪斯科舞厅；的士高
dock,"n. 码头；船坞；被告席；尾巴的骨肉部分
vt. 使靠码头；剪短
vi. 入船坞"
farmhouse,n. 农家， 农舍
freeway,n. 高速公路
greenhouse,"n. 温室
造成温室效应的"
headquarters,n. 总部；指挥部；司令部
hilltop,n. 小山顶
laboratory,n. 实验室，研究室
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
nursery,n. 苗圃；托儿所；温床
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
riverside,"n. 河边；河畔
adj. 河畔的"
schoolhouse,n. 校舍
schoolroom,n. 教室；讲堂
veranda,n. 走廊，游廊；阳台
viewpoint,n. 观点，看法；视角
workshop,n. 车间；研讨会；工场；讲习班
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
biologist,n. 生物学家
borrower,n. 剽窃者，借用人
breaker,n.  断路器；打破者；碎浪
capitalist,"n. 资本家；资本主义者
adj. 资本主义的；资本家的"
catcher,n. 捕手，捕捉者；接球手
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
conqueror,n. 征服者；胜利者
consultant,n. 顾问；咨询者；会诊医生
democrat,n. 民主党人；民主主义者；民主政体论者
developer,n. 开发者； 显影剂
dresser,n. 梳妆台；碗柜；化妆师；裹伤员
dressmaker,n. 裁缝
educator,n. 教育家；教育工作者；教师
elite,n. 精英；精华；中坚分子
entertainer,n. 演艺人员，表演者
fighter,n. 战士，斗争者；斗士；奋斗者；好战者
follower,n. 追随者；信徒；属下
golfer,n. 高尔夫球手
heroine,n. 女主角；女英雄；女杰出人物
historian,n. 历史学家
horseman,n. 骑马者；马术师
housekeeper,n. 女管家；主妇
idiot,n. 笨蛋，傻瓜；白痴
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
inhabitant,n. 居民；居住者
insider,n. 内部的人，会员；熟悉内情者
inspector,n. 检查员；巡视员
instructor,n. 指导书；教员；指导者
inventor,n. 发明家； 发明人；创造者
investor,n. 投资者
laborer,n. 劳动者；工人
marker,n. 记分员；书签；标识物；作记号的人
milkman,n. 牛奶商；送奶工人；挤奶员工
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
monarch,n. 君主，帝王；最高统治者
motorist,n. 驾车旅行的人，开汽车的人
observer,n. 观察者； 观测者；遵守者
organist,n. 风琴演奏者
pal,"n. 朋友，伙伴；同志
vi. 结为朋友"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
performer,n. 演出者；执行者；演奏者
philosopher,n. 哲学家；哲人
playmate,n. 玩伴；游伴
provider,n. 供应者；养家者
publisher,n. 出版者，出版商；发行人
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
republican,"n. 共和党人
adj. 共和党的
共和的"
rider,n. 骑手；附文；扶手
salesclerk,n. 售货员；商店里的店员
salespeople,n. 推销员； 售货员；店员
salesperson,n. 售货员
schoolmaster,n. 男校长；教导者；男教师
schoolteacher,n. 教师
shoemaker,n. 鞋匠；补鞋工人
spectator,n. 观众；旁观者
statesman,n. 政治家；国务活动家
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
sufferer,n. 患者；受害者
surgeon,n. 外科医生
survivor,n. 幸存者；生还者；残存物
terrorist,n. 恐怖主义者，恐怖分子
thinker,n. 思想家；思想者
trader,n. 交易者；商人；商船
troop,"vt. 把（骑兵）编成骑兵连
vi. 群集；成群而行；结队
n. 军队；组；群；多数"
warrior,n. 战士，勇士；鼓吹战争的人
widow,"n. 寡妇；孀妇
vt. 使成寡妇"
witch,"n. 巫婆，女巫
vt. 迷惑；施巫术"
antenna,n.  天线； 触角， 触须
armor,"n.  装甲；盔甲
vt. 为…装甲"
ballpoint,n. 圆珠笔
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发"
bra,n. 胸罩
bracelet,n. 手镯；手链
bronze,"n. 青铜；古铜色；青铜制品
adj. 青铜色的；青铜制的
vt. 镀青铜于
vi. 变成青铜色，被晒黑"
bundle,"n. 束；捆
vt. 捆
vi. 匆忙离开"
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
cooker,n. 炊具；烹饪用水果；窜改者
copper,"n. 铜；铜币；警察
adj. 铜制的
vt. 镀铜"
core,找不到解释
coupon,n. 息票；赠券；联票； 配给券
cradle,"n. 摇篮；发源地；发祥地；支船架
vt. 抚育；把...搁在支架上；把...放在摇篮内"
currency,n. 货币；通货
dishwater,n. 洗碗水；洗碟的水；（美）味道蹩脚的汤
drier,"n. 干燥机；干燥剂；吹风机
dry的比较级"
dryer,n. 烘干机； 干燥剂
fastener,n. 扣件；钮扣；按钮；使系牢之物
fiber,n. 纤维；光纤（等于fibre）
flashlight,n. 手电筒；闪光灯
foam,"n. 泡沫；水沫；灭火泡沫
vt. 使起泡沫；使成泡沫状物
vi. 起泡沫；吐白沫；起着泡沫流动"
folder,n. 文件夹；折叠机；折叠式印刷品
garbage,n. 垃圾；废物
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
graph,"n. 图表；曲线图
vt. 用曲线图表示"
gum,"n. 口香糖；树胶；橡皮
vt. 用胶粘，涂以树胶；使…有粘性"
hanger,n. 衣架；挂钩；绞刑执行者
hardware,n. 计算机硬件；五金器具
harmonica,n. 口琴（等于mouth organ）
headphone,n. 双耳式耳机；头载数话器；戴在头上的收话器
imitation,"n. 模仿，仿造；仿制品
adj. 人造的，仿制的"
lighter,"n. 打火机；驳船；点火者
vt. 驳运
adj. 明亮的；光明的；照明好的；光线充足的"
makeup,n. 化妆品；组成；补充；补考
marking,"n. 标志；打分；做记号；斑纹
v. 注意；作记号于；给…打分数（mark的ing形式）"
mat,"n. 垫；垫子；衬边
vt. 缠结；铺席于……上
vi. 纠缠在一起
adj. 无光泽的"
mattress,n. 床垫；褥子；空气垫
memo,n. 备忘录
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
microwave,n. 微波
mitten,n. 露指手套；连指手套
nickel,"n. 镍；镍币；五分镍币
vt. 镀镍于"
nightdress,n. 女式睡衣；孩子穿的睡衣
nightgown,n. 睡衣（等于dressing gown或nightdress）
nylon,n. 尼龙， 聚酰胺纤维；尼龙袜
oar,"n. 桨；橹；桨手
vt. 划（船）
vi. 划行"
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
pad,"n. 衬垫；护具；便笺簿；填补
vi. 步行；放轻脚步走
vt. 填补；走"
pamphlet,n. 小册子
paperback,"n. 平装本；廉价本
adj. 纸面装订的；纸面平装本书籍的
vt. 以平装本出版"
parasol,n. 阳伞
paste,"n. 面团，膏；糊状物， 浆糊
vt. 张贴，裱糊；用浆糊粘"
perfume,"n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气"
petrol,n. （英）汽油
pillowcase,n. 枕头套（等于pillow slip）
plow,"n.  犁；似犁的工具；北斗七星
vt.  犁；耕；开路
vi.  犁；耕地；破浪前进；开路"
pocketbook,n. 钱包；笔记本；经济来源；皮夹
pointer,n. 指针；指示器；教鞭；暗示
pullover,"n. 套衫
adj. 套领的"
rag,"n. 破布；碎屑
vt. 戏弄；责骂
vi. 变破碎；穿着讲究"
saddle,"n. 鞍，鞍状物；车座；拖具
vt. 承受；使负担；装以马鞍
vi. 跨上马鞍"
schoolbook,"n. 教科书
adj. （美）教科书式的；过于简单的"
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
shovel,"n. 铁铲；一铲的量；铲车
vi. 铲
vt. 铲除；用铲挖；把…胡乱塞入"
strap,"n. 带；皮带；磨刀皮带；鞭打
vt. 用带捆绑；用皮条抽打；约束
vi. 精力旺盛地工作；受束缚"
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
thermometer,n. 温度计；体温计
thriller,n. 惊险小说；使人毛骨悚然的东西；使人毛骨悚然的小说
tights,紧身裤袜
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
torch,"n. 火把，火炬；手电筒；启发之物
vt. 用火炬点燃
vi. 像火炬一样燃烧"
trombone,n. 长号，伸缩喇叭
tub,"n. 浴盆；桶
vt. 把…装入桶；为…洗盆浴
vi. 洗盆浴；（衣服等）被放在桶里洗"
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
wineglass,n. 玻璃酒杯；葡萄酒杯
zipper,  齐珀
exterior,"n. 外部；表面；外型；外貌
adj. 外部的；表面的；外在的"
horizontal,"n. 水平线，水平面；水平位置
adj. 水平的；地平线的；同一阶层的"
mid,"adj. 中间的；中央的
prep. 在…之中"
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
provincial,"n. 粗野的人；乡下人；外地人
adj. 省的；地方性的；偏狭的"
regional,adj. 地区的；局部的；整个地区的
widespread,adj. 普遍的，广泛的；分布广的
biological,adj. 生物的；生物学的
Catholic,找不到解释
educated,"v. 训练；教导；培育（educate的过去分词形式）
adj. 受过教育的；有教养的"
experimental,adj. 实验的；根据实验的；试验性的
mathematical,adj. 数学的，数学上的；精确的
psychological,adj. 心理的；心理学的；精神上的
sacred,adj. 神的；神圣的；宗教的；庄严的
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
adventurous,adj. 爱冒险的；大胆的；充满危险的
caring,"v. 关心；照顾（care的现在分词）
adj. 有同情心的；表示或感到关怀或关心的"
delightful,adj. 可爱的，可喜的；讨人喜欢的；令人愉快的
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
forgetful,adj. 健忘的；不注意的；疏忽的；使遗忘的
inclined,"v. 使…倾向（incline的过去分词）
adj. 趋向于…的"
talented,adj. 有才能的；多才的
thoughtful,adj. 深思的；体贴的；关切的
arched,"adj. 拱形的；有拱的；弓形结构的
v. 成弓形弯曲；成弓形（arch的过去分词形式）"
auto,"n. 汽车（等于automobile）；自动
vi. 乘汽车"
beaten,"v. 打败（beat的过去分词）
adj. 被打败了的；筋疲力竭的；踏平的"
bent,"n. 爱好，嗜好
adj. 弯曲的；决心的"
burning,"n. 燃烧
adj. 燃烧的；强烈的；发热的
vi. 燃烧（burn的现在分词）"
circular,"n. 通知，传单
adj. 循环的；圆形的；间接的"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
creamy,adj. 奶油色的；乳脂状的；含乳脂的
dairy,"n. 奶制品；乳牛；制酪场；乳品店；牛奶及乳品业
adj. 乳品的；牛奶的；牛奶制的；产乳的"
damp,"n. 潮湿，湿气
adj. 潮湿的
vt. 使潮湿；使阻尼；使沮丧，抑制
vi. 减幅，阻尼；变潮湿"
dense,adj. 稠密的；浓厚的；愚钝的
drawn,"v. 画，绘图（draw的过去分词）
adj. 拔出的"
dying,"n. 死，死亡
v. 死，死亡；枯萎；失去活力（die的ing形式）
adj. 临终的，垂死的"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
flexible,adj. 灵活的；柔韧的；易弯曲的
frozen,"v. 结冰（freeze的过去分词）；凝固；变得刻板
adj. 冻结的；冷酷的"
gloomy,adj. 黑暗的；沮丧的；阴郁的
graphic,adj. 形象的；图表的；绘画似的
iced,adj. 冰冻的；冰冷的；装冰的
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
nude,"adj. 裸的，裸体的；无装饰的；与生俱有的
n. 裸体；裸体画"
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
rocky,adj. 岩石的，多岩石的；坚如岩石的；摇晃的；头晕目眩的
sandy,adj. 沙地的；多沙的；含沙的
sexy,adj. 性感的；迷人的；色情的
shiny,adj. 有光泽的，擦亮的；闪耀的；晴朗的；磨损的
slender,adj. 细长的；苗条的；微薄的
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序"
wireless,"n. 无线电
adj. 无线的；无线电的
vt. 用无线电报与…联系；用无线电报发送
vi. 打无线电报；打无线电话"
abandoned,"v. 抛弃（abandon的过去式和过去分词）
adj. 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的"
accidental,"n. 次要方面；非主要的特性；临时记号
adj. 意外的；偶然的；附属的；临时记号的"
accomplished,adj. 完成的；熟练的，有技巧的；有修养的；有学问的
accustomed,"v. 使习惯于（accustom的过去分词）
adj. 习惯的；通常的；独有的"
agreeable,adj. 令人愉快的；适合的；和蔼可亲的
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
broke,"v. 打破，断掉（break的过去式）
adj. 一文不名的，破产的"
concentrated,"v. 集中（concentrate的过去分词）
adj. 集中的；浓缩的；全神贯注的"
confused,"v. 困惑（confuse的过去式）
adj. 困惑的；混乱的；糊涂的"
confusing,"v. 使迷惑；使混乱不清；使困窘（confuse的ing形式）
adj. 混乱的；混淆的；令人困惑的"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
continuous,adj. 连续的，持续的；继续的；连绵不断的
decided,"vt. 决定（decide的过去式）
adj. 明确的；显然的；坚决的，果断的"
destructive,adj. 破坏的；毁灭性的；有害的，消极的
diligent,adj. 勤勉的；用功的，费尽心血的
disappointed,adj. 失望的，沮丧的；受挫折的
disgusting,"adj. 令人厌恶的
令人极不能接受的"
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
earthly,adj. 地球的；尘世的；可能的
embarrassing,adj. 使人尴尬的；令人为难的
exhausted,"v. 耗尽；用尽；使…精疲力尽（exhaust的过去式）
adj. 疲惫的；耗尽的"
fascinating,"adj. 迷人的；吸引人的；使人神魂颠倒的
v. 使…着迷；使…陶醉（fascinate的ing形式）"
forbidden,adj. 被禁止的；严禁的，禁用的
forced,"v. 强迫（force的过去式）
adj. 被迫的；强迫的；用力的；不自然的"
frightening,adj. 令人恐惧的；引起突然惊恐的
fruitful,adj. 富有成效的；多产的；果实结得多的
graceful,adj. 优雅的；优美的
grim,adj. 冷酷的；糟糕的；残忍的
hasty,"adj. 轻率的；匆忙的；草率的；懈怠的
"
heavenly,"adj. 天上的；神圣的；天国似的
adv. 无比；极其"
imaginary,adj. 虚构的，假想的；想像的；虚数的
indirect,adj. 间接的；迂回的；非直截了当的
industrious,adj. 勤勉的
optimistic,adj. 乐观的；乐观主义的
passionate,adj. 热情的；热烈的，激昂的；易怒的
pleasing,"v. 取悦（please的现在分词）
adj. 令人愉快的；讨人喜欢的；合意的"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
prosperous,adj. 繁荣的；兴旺的
protective,adj. 防护的；关切保护的；保护贸易的
proven,v. 证明（prove的过去分词）
relieved,"v. 减轻；解除（relieve的过去分词）
adj. 放心的"
reserved,adj. 保留的，预订的；缄默的，冷淡的，高冷的；包租的
