dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
hot,"adj. 热的；辣的；热情的；激动的；紧迫的
vt. 增加；给…加温
adv. 热；紧迫地
vi. 变热"
quite,adv. 很；相当；完全
give,"n. 弹性；弯曲；伸展性
vi. 捐赠；面向；有弹性；气候转暖
vt. 给；产生；让步；举办；授予"
fill,"n. 满足；填满的量；装填物
vt. 装满，使充满；满足；堵塞；任职
vi. 被充满，膨胀"
phenomenon,n. 现象；奇迹；杰出的人才
table,"n. 桌子；表格；平地层
vt. 制表；搁置；嵌合
adj. 桌子的"
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
drum,"n. 鼓；鼓声
vi. 击鼓；大力争取
vt. 击鼓；大力争取"
coffee,n. 咖啡；咖啡豆；咖啡色
hat,"n. 帽子
vt. 给……戴上帽子
vi. 供应帽子；制造帽子"
thief,n. 小偷，贼
art,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的"
broad,"n. 宽阔部分
adj. 宽的，辽阔的；显著的；大概的
adv. 宽阔地"
brunch,n. 早午餐
airways,n. 航空公司；广播频道
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
nod,"n. 点头；打盹；摆动
vt. 点头；点头表示
vi. 点头；打盹；摆动"
fork,"n. 叉；餐叉；耙
vt. 叉起；使成叉状
vi. 分叉；分歧"
kilometre,n.  公里； 千米
kilometer,n.  公里； 千米（等于kilometre）
leave,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假"
deep,"n. 深处；深渊
adj. 深的；低沉的；深奥的
adv. 深入地；深深地；迟"
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂"
secretary,n. 秘书；书记；部长；大臣
lake,"n. 湖；深红色颜料；胭脂红
vt. （使）血球溶解
vi. （使）血球溶解"
multimedia,"n. 多媒体
adj. 多媒体的"
swan,"n. 天鹅；天鹅星座
vi. 游荡，闲荡"
make,"vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成
vi. 开始；前进；增大；被制造
n. 制造；构造；性情"
web,"n. 网；卷筒纸；蹼；织物；圈套
vt. 用网缠住；使中圈套
vi. 形成网"
onion,n. 洋葱；洋葱头
garage,"n. 车库；汽车修理厂；飞机库
vt. 把……送入车库；把（汽车）开进车库"
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
sleep,"n. 睡眠
vi. 睡，睡觉"
coat,"n. 外套
vt. 覆盖…的表面"
shadow,"n. 阴影；影子；幽灵；庇护；隐蔽处
adj. 影子内阁的
vt. 遮蔽；使朦胧；尾随；预示
vi. 渐变；变阴暗"
although,conj. 尽管；虽然；但是；然而
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
southeast,"n. 东南；东南地区
adj. 东南的；来自东南的
adv. 来自东南"
Halloween,n. 万圣节前夕（指十月三十一日夜晚）
side,"n. 方面；侧面；旁边
adj. 旁的，侧的
vt. 同意，支持
vi. 支持；赞助；偏袒"
sand,"n. 沙；沙地；沙洲；沙滩；沙子
vt. 撒沙于；以沙掩盖；用砂纸等擦平或磨光某物；使撒沙似地布满；给…掺沙子
vi. 被沙堵塞"
smog,n. 烟雾
tailor,"n. 裁缝
vt. 剪裁；使合适
vi. 做裁缝"
pasta,n. 意大利面食；面团
bag,"n. 袋；猎获物；（俚）一瓶啤酒
vt. 猎获；把…装入袋中；占据，私吞；使膨大
vi. 松垂"
news,n. 新闻，消息；新闻报导
nice,adj. 精密的；美好的；细微的；和蔼的
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
sunrise,n. 日出；黎明
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
such,adj. 这样的，如此的
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
town,n. 城镇，市镇；市内商业区
however,"conj. 无论以何种方式; 不管怎样
adv. 无论如何；不管怎样（接副词或形容词）；然而；可是"
ill,"n. 疾病；不幸
adj. 生病的；坏的；邪恶的；不吉利的
adv. 不利地；恶劣地；几乎不"
husband,"n. 丈夫
vt. 节约地使用（或管理）"
iceberg,n.  冰山；显露部分
burn,"n. 灼伤，烧伤；烙印
vt. 燃烧；烧毁，灼伤；激起…的愤怒
vi. 燃烧；烧毁；发热"
soil,"n. 土地；土壤；国家；粪便；务农；温床
vt. 弄脏；污辱
vi. 变脏"
vase,n. 瓶；花瓶
happy,adj. 幸福的；高兴的；巧妙的
then,"conj. 然后，当时
n. 那时
adv. 然后；那么；于是；当时；此外"
rope,"n. 绳，绳索
vt. 捆，绑
vi. 拧成绳状"
mail,"n. 邮件；邮政，邮递；盔甲
vt. 邮寄；给…穿盔甲
vi. 邮寄；寄出"
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
spell,"n. 符咒；一段时间；魅力
vi. 拼字；轮替
vt. 拼，拼写；意味着；招致；拼成；迷住；轮值"
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
fast,"n. 斋戒；绝食
adj. 快速的，迅速的；紧的，稳固的
adv. 迅速地；紧紧地；彻底地
vi. 禁食，斋戒"
ring,"n. 戒指；铃声，钟声；拳击场；环形物
vi. 按铃；敲钟；回响；成环形
vt. 按铃；包围；敲钟；套住"
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
help,"n. 帮助；补救办法；帮忙者；有益的东西
vt. 帮助；促进；治疗；补救
vi. 帮助；有用；招待"
frog,"n. 青蛙； 辙叉；饰扣
vi. 捕蛙"
hobby,n. 嗜好；业余爱好
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
quiet,"n. 安静；和平
adj. 安静的；安定的；不动的；温顺的
vt. 使平息；安慰
vi. 平静下来"
chess,n. 国际象棋，西洋棋
among,prep. 在…中间；在…之中
online,"adj. 联机的；在线的
adv. 在线地"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
sweet,"n. 糖果；乐趣；芳香；宝贝
adj. 甜的；悦耳的；芳香的；亲切的
（俚）酷毙了"
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
castle,"n. 城堡；象棋中的车
vt. 置…于城堡中；筑城堡防御"
author,"n. 作者；作家；创始人
vt. 创作出版"
lot,"n. 份额；许多；命运；阄
adv. （与形容词和副词连用）很，非常；（与动词连用）非常
pron. 大量，许多
vt. 分组，把…划分（常与out连用）；把（土地）划分成块
vi. 抽签，拈阄"
have,"aux. 已经
vt. 有；让；拿；从事；允许"
same,"adj. 相同的；同一的；上述的（通常与the连用）；无变化的
adv. 同样地（通常与the连用）
pron. 同样的事物或人（通常与the连用）"
grammar,n. 语法；语法书
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
hunger,"n. 饿，饥饿；渴望
vt. 使……挨饿
vi. 渴望；挨饿"
tonight,"n. 今晚
adv. 在今晚"
where,"conj. 在…的地方
n. 地点
adv. 在哪里
pron. 哪里"
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐"
cousin,n. 堂兄弟姊妹；表兄弟姊妹
weight,"n. 重量，重力；负担；砝码；重要性
vt. 加重量于，使变重"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
chairman,n. 主席，会长；董事长
movie,"n. 电影；电影院；电影业
adj. 电影的"
kindergarten,n. 幼儿园；幼稚园
bread,"n. 面包；生计
vt. 在…上洒面包屑"
who,pron. 谁；什么人
paradise,"n. 天堂
至福境地"
wrist,"n. 手腕；腕关节
vt. 用腕力移动"
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
page,"n. 页；记录；大事件，时期；男侍者
vt. 给…标页码
vi. 翻书页，浏览"
television,n. 电视，电视机；电视业
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
hairstyle,n. 发型
rabbit,"n. 兔子，野兔
vt. 让…见鬼去吧
vi. 猎兔"
album,n. 相簿；唱片集；集邮簿；签名纪念册
age,"n. 年龄；时代；寿命，使用年限；阶段
vt. 使成熟；使变老，使上年纪
vi. 成熟；变老"
nest,"n. 巢，窝；安乐窝；温床
vt. 筑巢；嵌套
vi. 筑巢；找鸟巢"
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
drawer,n. 抽屉；开票人；出票人；起草者；酒馆侍
straw,"n. 稻草；吸管；一文不值的东西
adj. 稻草的；无价值的"
start,"n. 开始；起点
vt. 开始；启动
vi. 出发"
small,"n. 小件物品；矮小的人
adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的
adv. 小小地；卑鄙地"
altogether,"n. 整个；裸体
adv. 完全地；总共；总而言之"
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
lifelong,adj. 终身的
teamwork,n. 团队合作；协力
skateboard,"n. 溜冰板
vi. 用滑板滑行"
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
week,n. 周，星期
king,"n. 国王；最有势力者；王棋
vi. 统治；做国王
vt. 立…为王
adj. 主要的，最重要的，最大的"
bee,n. 蜜蜂，蜂；勤劳的人
genius,n. 天才，天赋；精神
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
destination,n. 目的地，终点
pear,n.  梨树；梨子
soap,"n. 肥皂
vt. 将肥皂涂在……上；对……拍马屁（俚语）
vi. 用肥皂擦洗"
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
low,"adj. 低的，浅的；卑贱的；粗俗的；消沉的
adv. 低声地；谦卑地，低下地
n. 低；低价；低点；牛叫声
vi. 牛叫"
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
pub,n. 酒馆；客栈
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
roast,"n. 烤肉；烘烤
adj. 烘烤的；烤过的
vt. 烤，焙；烘，烘烤；暴露于某种热力下以得温暖
vi. 烤；烘"
prince,n. 王子，国君；亲王；贵族
heavy,"n. 重物；严肃角色
adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的
adv. 大量地；笨重地"
but,"conj. 但是；而是；然而
adv. 仅仅，只
prep. 除…以外"
nor,"conj. 也不；也不是
adv. 也不；也没有"
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
full,"n. 全部；完整
adj. 完全的，完整的；满的，充满的；丰富的；完美的；丰满的；详尽的
vt. 把衣服缝得宽大
adv. 十分，非常；完全地；整整"
until,"prep. 在…以前；到…为止
conj. 在…以前；直到…时"
mile,n. 英里；一英里赛跑；较大的距离
ball,"n. 球；舞会
vt. 捏成球形
vi. 成团块"
stamp,"n. 邮票；印记；标志；跺脚
vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
vi. 跺脚；捣碎；毁掉"
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
role,n. 角色；任务
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
forever,adv. 永远；不断地；常常
collar,"n. 衣领；颈圈
vt. 抓住；给…上领子；给…套上颈圈"
dean,n. 院长；系主任；教务长；主持牧师
rather,"adv. 宁可，宁愿；相当
int. 当然啦（回答问题时用）"
away,adv. 离去，离开；在远处
bridge,"n. 桥；桥牌；桥接器；船桥
vt. 架桥；渡过"
story,"n. 故事；小说；新闻报道；来历；假话
vt. 用历史故事画装饰
vi. 说谎"
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
mouth,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话"
worse,"n. 更坏的事；更恶劣的事
adj. 更坏的；更差的；更恶劣的（bad的比较级）；（病情）更重的（ill的比较级）
adv. 更糟；更坏；更恶劣地；更坏地"
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
according,"adj. 相符的；一致的；相应的；和谐的；调和的
adv. 依照；根据；按照
v. 给予( accord的现在分词 )；使和谐一致；使符合；使适合"
hurry,"n. 匆忙，急忙
v. 仓促（做某事）；催促；（朝某方向）迅速移动；迅速处理"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
letter,"n. 信；字母，文字；证书；文学，学问；字面意义
vt. 写字母于
vi. 写印刷体字母"
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
instead,adv. 代替；反而；相反
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
never,adv. 从未；决不
tennis,n. 网球（运动）
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
blouse,"n. 宽松的上衣；女装衬衫
vt. 使…宽松下垂
vi. 宽松下垂"
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
dynasty,n. 王朝，朝代
flower,"n. 花；精华；开花植物
vt. 使开花；用花装饰
vi. 成熟，发育；开花；繁荣；旺盛"
born,"v. 出世（bear的过去分词）
adj. 天生的"
teapot,"n. 茶壶
小题大做"
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退"
sock,"vt. 重击；给……穿袜
n. 短袜；一击
adv. 正着地；不偏不倚地
adj. 非常成功的"
message,"n. 消息；差使；启示；预言；广告词
vi. 报信，报告； 报文
vt. 通知"
honey,"n. 蜂蜜；宝贝；甜蜜
adj. 甘美的；蜂蜜似的
vt. 对…说甜言蜜语；加蜜使甜
vi. 奉承；说甜言蜜语"
guest,"n. 客人，宾客；顾客
adj. 客人的；特邀的，客座的
vt. 款待，招待
vi. 作客，寄宿"
orange,"adj. 橙色的；橘色的
n. 橙；橙色；桔子"
fond,adj. 喜欢的；温柔的；宠爱的
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
sick,"adj. 厌恶的；病态的；不舒服；渴望的；恶心的 ；生病的
n. 病人
vt. 使狗去咬；呕吐；追击"
hillside,n. 山坡，山腹；山腰
network,n. 网络；广播网；网状物
beneath,"prep. 在…之下
adv. 在下方"
lock,"vt. 锁，锁上；隐藏
vi. 锁；锁住；卡住
n. 锁；水闸；刹车"
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
memo,n. 备忘录
napkin,n. 餐巾；餐巾纸；尿布
facial,"n. 美容，美颜；脸部按摩
adj. 面部的，表面的；脸的，面部用的"
robot,n. 机器人；遥控设备，自动机械；机械般工作的人
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
print,"n. 印刷业；印花布；印刷字体；印章；印记
vt. 印刷；打印；刊载；用印刷体写；在…印花样
vi. 印刷；出版；用印刷体写"
old,"adj. 陈旧的，古老的；年老的
n. 古时"
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
belong,vi. 属于，应归入；居住；适宜；应被放置
grandfather,"n. 祖父；始祖
vt. 不受新规定限制"
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
usual,adj. 通常的，惯例的；平常的
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
slow,"adj. 慢的；减速的；迟钝的
vt. 放慢；阻碍
vi. 变慢；变萧条
adv. 慢慢地；迟缓地"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
stubborn,adj. 顽固的；顽强的；难处理的
cheek,"n. 面颊，脸颊；臀部
vt. 无礼地向…讲话，对…大胆无礼"
toe,"n. 脚趾；足尖
vt. 用脚尖走；以趾踏触
vi. 动脚尖；用足尖跳舞"
mailbox,n. 邮箱；邮筒
blueprint,"n. 蓝图，设计图；计划
vt. 计划；制成蓝图"
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
best,"n. 最好的人，最好的事物；最佳状态
adj. 最好的
vt. 打败，胜过
adv. 最好地"
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
downtown,"n. 市中心区；三分线以外
adj. 市中心的
adv. 往闹市区；在市区"
all,"n. 全部
adj. 全部的
adv. 全然地；越发
pron. 全部"
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
rail,"n. 铁轨；扶手；横杆；围栏
vt. 铺铁轨；以横木围栏
vi. 抱怨；责骂"
vain,adj. 徒劳的；自负的；无结果的；无用的
dig,"n. 戳，刺；挖苦
vi. 挖掘
vt. 挖，掘；探究"
lawn,n. 草地；草坪
apple,n. 苹果，苹果树，苹果似的东西；炸弹，手榴弹，（棒球的）球；人，家伙。
also,"conj. 并且；另外
adv. 也；而且；同样"
wipe,"n. 擦拭；用力打
vi. 擦；打
vt. 擦；消除；涂上"
room,"n. 房间；空间；余地；机会；房间里所有的人
vt. 为…提供住处；租房，合住；投宿，住宿；留…住宿
vi. 居住；住宿"
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
day,"n. 一天；时期；白昼
adj. 日间的；逐日的
adv. 每天；经常在白天地"
shower,"n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨
vt. 大量地给予；把……弄湿
vi. 淋浴；下阵雨"
smell,"n. 气味，嗅觉；臭味
vt. 嗅，闻；察觉到；发出…的气味
vi. 嗅，闻；有…气味"
warm,"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖"
neighbour,"n. n. 邻居;同胞；仁慈的人
vt. 邻接
vi. 住在邻近；毗邻；友善，和睦
adj. 邻居的；邻近的"
neighbor,"n. 邻居
adj. 邻近的
vi. 友好；毗邻而居
vt. 邻接"
underwater,"n. 水下
adj. 在水中的；水面下的
adv. 在水下"
nightclub,"n. 夜总会
vi. 去夜总会"
air,"n. 空气，大气；天空；样子；曲调
vt. 使通风，晾干；夸耀
vi. 通风"
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
pull,"n. 拉，拉绳；拉力，牵引力；拖
vt. 拉；拔；拖
vi. 拉，拖；拔"
shy,"n. 投掷；惊跳
adj. 害羞的；畏缩的，胆怯的
vi. 投；畏缩；惊退；厌恶
vt. 投；乱掷"
ice,"n. 冰；冰淇淋；矜持；（俚）钻石
adj. 冰的
vt. 冰镇；结冰
vi. 结冰"
juice,n. （水果）汁，液；果汁
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈"
peace,n. 和平；平静；和睦；秩序
pizza,n. 比萨饼（一种涂有乳酪核番茄酱的意大利式有馅烘饼）
knock,"vi. 敲；打；敲击
vt. 敲；打；敲击；批评
n. 敲；敲打；爆震声"
plus,"prep. 加，加上
n. 正号，加号；好处；附加额
adj. 正的；附加的"
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
pond,"n. 池塘
vt. 筑成池塘
vi. 筑成池塘"
paper,"n. 纸；论文；文件；报纸
adj. 纸做的
vt. 用纸糊；用纸包装
vi. 贴糊墙纸；发交通违章传票"
midnight,"n. 午夜，半夜12点钟
adj. 半夜的；漆黑的"
hour,n. 小时；钟头；课时；…点钟
fox,"n. 狐狸；狡猾的人
vt. 欺骗；使变酸
vi. 假装；耍狡猾手段"
helmet,n. 钢盔，头盔
miner,n. 矿工；开矿机
baseball,n. 棒球；棒球运动
toothpaste,n. 牙膏
bull,"n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
adj. 大型的；公牛似的；雄性的
vt. 企图抬高证券价格；吓唬；强力实现
vi. 价格上涨；走运；猛推；吹牛"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
way,"n. 方法；道路；方向；行业；习惯
adj. 途中的
adv. 大大地；远远地"
birthday,n. 生日，诞辰；诞生的日子
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
tear,"vi. 流泪, 撕破
n. 眼泪, （撕破的）洞或裂缝, 撕扯
vt. 撕掉, 扯下, 扰乱"
corn,"n. （美）玉米；（英）谷物； 鸡眼
vt. 腌；使成颗粒"
overwork,"vi. 工作过度
vt. 工作过度
n. 过度工作
过度工作的"
gold,"n. 金，黄金；金色；金币
adj. 金的，金制的；金色的"
versus,prep. 对；与...相对；对抗
how,"adv. 如何；多少；多么
n. 方法；方式
conj. 如何"
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
cigarette,n. 香烟；纸烟
pork,"n. 猪肉
vt. 与女子性交"
brother,"n. 兄弟；同事；战友
int. 我的老兄！"
envelope,n. 信封，封皮；包膜； 包层；包迹
pencil,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状"
once,"adv. 一次；曾经
conj. 一旦
n. 一次，一回"
clock,"n. 时钟；计时器
vt. 记录；记时
vi. 打卡；记录时间"
foot,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计"
fingerprint,"n. 指纹；手印
vt. 采指纹"
push,"n. 推，决心；大规模攻势；矢志的追求
vi. 推进；增加；努力争取
vt. 推动，增加；对…施加压力，逼迫；按；说服"
short,"n. 短；缺乏；短路；短裤
adj. 短的；不足的；矮的，低的
adv. 不足；突然；唐突地"
pearl,"n. 珍珠；珍珠色；杰出者；珍品
adj. 镶珍珠的；珍珠状的
vt. 使成珠状；用珍珠装饰；使呈珍珠色
vi. 采珍珠；成珍珠状"
north,找不到解释
lemon,"adj. 柠檬色的
n. 柠檬"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
motor,"n. 发动机，马达；汽车
adj. 汽车的；机动的
vi. 乘汽车
vt. 以汽车载运"
till,"prep. 直到
conj. 直到...为止
n.  冰碛；放钱的抽屉；备用现金
vt. 耕种；犁
vi. 耕种；耕耘"
ask,"vt. 问，询问；要求；需要；邀请；讨价
vi. 问，询问；要求"
welcome,"n. 欢迎
vt. 欢迎
adj. 受欢迎的
int. 欢迎"
people,"n. 人；人类；民族；公民
vt. 居住于；使住满人"
since,"conj. 因为；由于；既然；自…以来；自…以后
prep. 自…以来；自…以后
adv. 后来"
egg,"n. 蛋；卵子；家伙；鸡蛋
vt. 煽动；怂恿"
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
sail,"n. 帆，篷；航行
vi. 航行；启航，开船
vt. 航行"
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
silver,"n. 银；银器；银币；银质奖章；餐具；银灰色
adj. 银的；含银的；有银色光泽的；口才流利的；第二十五周年的婚姻
vt. 镀银；使有银色光泽
vi. 变成银色"
other,"adj. 其他的，另外的
pron. 另外一个"
line,"n. 路线，航线；排；绳
vt. 排成一行；划线于；以线条标示；使…起皱纹
vi. 排队；站成一排"
bath,"n. 沐浴；浴室；浴盆
vt. 洗澡
vi. 洗澡"
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
dinosaur,n. 恐龙；过时、落伍的人或事物
pioneer,"n. 先锋；拓荒者
vt. 开辟；倡导；提倡
vi. 作先驱"
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
against,"prep. 反对，违反；靠；倚；防备
adj. 不利的；对立的"
