adolescence,n. 青春期
step down,"na. 走下；退出；下降；辞退
 辞职；下台；让位"
step up,"v. 加紧；走上前；登上；增加
 舞出我人生；提高；舞出真我"
adaptation,n. 适应；改编；改编本，改写本
additionally,adv. 此外；又，加之
algal,adj. 海藻的
arid,adj. 干旱的；不毛的， 荒芜的
bacterium,n.  细菌；杆菌属
coastal,adj. 沿海的；海岸的
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
dengue,n.  登革热
displace,vt. 取代；置换；转移；把…免职；排水
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
estuary,n. 河口；江口
ethnic,adj. 种族的；人种的
exacerbate,vt. 使加剧；使恶化；激怒
extraction,n. 取出；抽出；拔出；抽出物；出身
fishery,n. 渔业；渔场；水产业
frail,"n. 灯心草篓；少妇；少女
adj. 脆弱的；虚弱的"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
indigenous,adj. 本土的；土著的；国产的；固有的
infectious,adj. 传染的；传染性的；易传染的
infirm,adj. 衰弱的；意志薄弱的；不坚固的
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
inherently,adv. 内在地；固有地；天性地
irrigation,n. 灌溉； 冲洗；冲洗法
latitude,n. 纬度；界限；活动范围
livelihood,n. 生计，生活；营生
livestock,n. 牲畜；家畜
magnitude,n. 大小；量级； 震级；重要；光度
malaria,n.  疟疾；瘴气
malnutrition,n. 营养失调，营养不良
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
meningitis,n. 脑膜炎
meningococcal,adj. 脑膜炎球菌的
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
negatively,adv. 消极地；否定地
neurological,adj. 神经病学的，神经学上的
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
precipitation,n.  沉淀， 沉淀物；降水；冰雹；坠落；鲁莽
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
ratio,n. 比率，比例
runoff,"n.  径流；决赛；流走的东西
adj. 决胜的"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
snowpack,n.  积雪场
sub-Saharan,找不到解释
subsistence,n. 生活；生存；存在
subtropics,n.  亚热带
sustained,"v. 维持（sustain的过去式和过去分词）；承受
adj. 持续的；持久的；持久不变的"
tropical,adj. 热带的；热情的；酷热的
beyond repair,"na. 无法修理(的)
 无法补救；无法修复；无法医复"
gain access to,"na. 接近；会见；接通(计算机)
 可以获得；进入；有机会获得"
