unofficial,adj. 非官方的；非正式的
camouflage,"n. 伪装，掩饰
vt. 伪装，掩饰
vi. 伪装起来"
swirl,"n. 漩涡；打旋；涡状形
vi. 盘绕；打旋；眩晕；大口喝酒
vt. 使成漩涡"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
swung,v. 摇摆（swing的过去式和过去分词）
swung,v. 摇摆（swing的过去式和过去分词）
string,n. 线，弦，细绳；一串，一行
stringent,adj. 严格的；严厉的；紧缩的；短缺的
rightful,adj. 合法的；正当的；公正的；正直的
bright,"n. 车头灯光
adj. 明亮的，鲜明的；聪明的；愉快的
adv. 明亮地；光明地；欢快地"
limelight,"n. 石灰光，石灰光灯；众人注目的中心
vt. 使显露头角，使受到注目"
enlighten,vt. 启发，启蒙；教导，开导；照耀
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
blight,"n. 枯萎病；荒芜
vi. 枯萎
vt. 破坏；使…枯萎"
plight,"n. 困境；境况；誓约
vt. 保证；约定"
dilemma,n. 困境；进退两难；两刀论法
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
muddy,"adj. 泥泞的；模糊的；混乱的
vt. 使污浊；使沾上泥；把…弄糊涂
vi. 变得泥泞；沾满烂泥"
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
unearth,vt. 发掘；揭露，发现；从洞中赶出
uncover,"vt. 发现；揭开；揭露
vi. 发现；揭示；揭去盖子"
discover,"vi. 发现
vt. 发现；发觉"
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
mentality,n. 心态； 智力；精神力；头脑作用
dismantle,"vt. 拆除；取消；解散；除掉…的覆盖物
vi. 可拆卸"
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
soak,"n. 浸；湿透；大雨
vi. 浸泡；渗透
vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透"
sacred,adj. 神的；神圣的；宗教的；庄严的
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
infer,"vi. 推断；作出推论
vt. 推断；推论"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
priority,n. 优先；优先权； 优先次序；优先考虑的事
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
criterion,n. （批评判断的）标准；准则；规范；准据
criteria,n. 标准，条件（criterion的复数）
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
eternal,adj. 永恒的；不朽的
interval,n. 间隔；间距；幕间休息
internship,n. 实习生；（美）实习期；实习医师职位
intervene,vi. 干涉；调停；插入
convention,n. 大会； 惯例； 约定； 协定；习俗
convenient,adj. 方便的；适当的；近便的；实用的
lenient,adj. 宽大的；仁慈的
ownership,n. 所有权；物主身份
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
renown,"n. 声誉；名望
vt. 使有声望"
drown,"vt. 淹没；把…淹死
vi. 淹死；溺死"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
eject,vt. 喷射；驱逐，逐出
inject,vt. 注入；注射
dejected,adj. 沮丧的，灰心的
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
ingest,vt. 摄取；咽下；吸收；接待
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
congestion,n. 拥挤；拥塞；淤血
facet,"n. 面；方面；小平面
vt. 在…上琢面"
efface,vt. 抹去，抹掉；使自己不受人注意
deface,vt. 损伤外观，丑化
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
obligation,n. 义务；职责；债务
resultant,"n. 合力；结果； 生成物
adj. 结果的；合成的"
reluctant,adj. 不情愿的；勉强的；顽抗的
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
inundate,vt. 淹没；泛滥；浸水；（洪水般的）扑来
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
slender,adj. 细长的；苗条的；微薄的
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
abrade,"vt. 擦伤；磨损
vi. 经受磨损；受擦伤"
parade,"n. 游行；阅兵；炫耀；行进；阅兵场
vt. 游行；炫耀；列队行进
vi. 游行；炫耀；列队行进"
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
gradation,n. （色彩、颜色、次序、音调等的）渐变；分等级；（各种状态、性质等的）分阶段渐变；元音交替
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
relentless,adj. 无情的；残酷的；不间断的
continuous,adj. 连续的，持续的；继续的；连绵不断的
strenuous,adj. 紧张的；费力的；奋发的；艰苦的；热烈的
arduous,adj. 努力的；费力的；险峻的
ardent,adj. 热情的；热心的；激烈的；燃烧般的
enthusiasm,n. 热心，热忱，热情
escalate,"vt. 使逐步上升
vi. 逐步增强；逐步升高"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
intimidate,vt. 恐吓，威胁；胁迫
timorous,adj. 胆怯的；胆小的；羞怯的
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
legislation,n. 立法；法律
endless,adj. 无止境的；连续的；环状的；漫无目的的
blend,"n. 混合；掺合物
vi. 混合；协调
vt. 混合"
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
demanding,"v. 要求；查问（demand的ing形式）
adj. 苛求的；要求高的；吃力的"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
commence,v. 开始；着手；<英>获得学位
commerce,n. 贸易；商业；商务
civilize,"vt. 使文明；教化；使开化
vi. 变得文明"
utilize,vt. 利用
utilitarian,"n. 功利主义者
adj. 功利的；功利主义的；实利的"
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
desolate,"adj. 荒凉的；无人烟的
vt. 使荒凉；使孤寂"
insight,n. 洞察力；洞悉
cite,vt. 引用；传讯；想起；表彰
incite,vt. 煽动；激励；刺激
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
imbibe,vt. 吸收，接受；喝；吸入
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
ascribe,vt. 归因于；归咎于
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
inscribe,vt. 题写；题献；铭记；雕
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
myth,n. 神话；虚构的人，虚构的事
myriad,"adj. 无数的；种种的
n. 无数，极大数量；无数的人或物"
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
enigma,n. 谜，不可思议的东西
hind,"n. 雌鹿
adj. 后部的"
hindsight,n. 后见之明；枪的照门
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
divest,vt. 剥夺；使脱去，迫使放弃
deprive,vt. 使丧失，剥夺
derive,"vt. 源于；得自；获得
vi. 起源"
investigate,v. 调查；研究
instigate,vt. 唆使；煽动；教唆；怂恿
mitigate,"vt. 使缓和，使减轻
vi. 减轻，缓和下来"
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
abrogate,vt. 废除；取消
crucial,adj. 重要的；决定性的；定局的；决断的
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
superfluous,adj. 多余的；不必要的；奢侈的
supersede,"vt. 取代，代替；紧接着……而到来
vi. 推迟行动"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
empathy,"n. 神入；移情作用；执着
n. 感同身受；同感；共鸣"
sympathy,n. 同情；慰问；赞同
symptom,n.  症状；征兆
symbol,n. 象征；符号；标志
symmetry,n. 对称（性）；整齐，匀称
council,n. 委员会；会议；理事会；地方议会；顾问班子
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
exert,vt. 运用，发挥；施以影响
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
execute,vt. 实行；执行；处死
persecute,vt. 迫害；困扰；同…捣乱
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
rotate,"vt. 使旋转；使转动；使轮流
adj.  辐状的
vi. 旋转；循环"
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
immediate,adj. 立即的；直接的；最接近的
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
meditate,"vt. 考虑；计划；企图
vi. 冥想；沉思"
mediate,"vi. 调解；斡旋；居中
vt. 调停；传达
adj. 间接的；居间的"
reconcile,vt. 使一致；使和解；调停，调解；使顺从
mediocre,adj. 普通的；平凡的；中等的
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
mediums,n. 中期证券
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
punctual,adj. 准时的，守时的；精确的
puncture,"n. 穿刺；刺痕
vt. 刺穿；揭穿；削弱
vi. 被刺穿；被戳破"
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
fierce,adj. 凶猛的；猛烈的；暴躁的
coerce,vt. 强制，迫使
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
element,n. 元素；要素；原理；成分；自然环境
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
rudimentary,adj. 基本的；初步的；退化的；残遗的；未发展的
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
pragmatic,adj. 实际的；实用主义的；国事的
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
diverge,"vt. 使偏离；使分叉
vi. 分歧；偏离；分叉；离题"
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
converse,"n. 逆行，逆向；倒；相反的事物
adj. 相反的，逆向的；颠倒的
vi. 交谈，谈话；认识
n. 匡威（服装品牌）"
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
avert,vt. 避免，防止；转移
revert,"n. 恢复原状者
vt. 使回复原状
vi. 回复；重提；返祖遗传；归还"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
traverse,"n. 穿过；横贯；横木
vt. 穿过；反对；详细研究；在…来回移动
vi. 横越；旋转；来回移动
adj. 横贯的"
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
adversary,n. 对手；敌手
antagonistic,adj. 敌对的；对抗性的；反对的
standing,"n. 站立；持续；身分
adj. 长期的；直立的；固定的
v. 站立；坚持不变；坐落于（stand的ing形式）"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
strand,"n. 线；串；海滨
vt. 使搁浅；使陷于困境；弄断；使落后
vi. 搁浅"
strangle,"vt. 把…勒死；使…窒息
vi. 窒息而死；被勒死"
smother,"n. 窒息状态；令人窒息的浓烟
vt. 使窒息；抑制；（用灰等）闷熄；忍住
vi. 窒息；被抑制；闷死"
stifle,"n. （马等的）后膝关节；（马等的） 后膝关节病
vt. 扼杀；使窒息；藏匿
vi. 窒息；被扼杀"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
journal,n. 日报，杂志；日记；分类账
nocturnal,adj. 夜的；夜曲的；夜间发生的
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
downturn,n. 衰退（经济方面）；低迷时期
downside,"n. 负面，缺点；下降趋势；底侧
adj. 底侧的"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
pregnant,adj. 怀孕的；富有意义的
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
residue,n. 残渣；剩余；滤渣
reside,vi. 住，居住；属于
preside,"vi. 主持，担任会议主席
vt. 管理"
diction,n. 用语；措词
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
desiccate,"vt. 使干；干贮
vi. 变干"
decimate,vt. 十中抽一，取十分之一；大批杀害
animate,"adj. 有生命的
vt. 使有生气；使活泼；鼓舞；推动"
unanimity,n. 同意，全体一致
ubiquitous,adj. 普遍存在的；无所不在的
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
proclaim,vt. 宣告，公布；声明；表明；赞扬
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
transcend,vt. 胜过，超越
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
anticipate,vt. 预期，期望；占先，抢先；提前使用
dissipate,"vi. 驱散；放荡
vt. 浪费；使…消散"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
intersperse,"vt. 点缀；散布
vi. 点缀；散布"
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
construct,"n. 构想，概念
vt. 建造，构造；创立"
destroy,vt. 破坏；消灭；毁坏
instructive,adj. 有益的；教育性的
obstruct,"vt. 妨碍；阻塞；遮断
vi. 阻塞；设障碍"
obstacle,n. 障碍，干扰；妨害物
miracle,n. 奇迹，奇迹般的人或物；惊人的事例
squander,"n. 浪费
vt. 浪费
vi. 浪费；漂泊"
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
preponderance,n. 优势；多数；占优势
despondent,adj. 沮丧的；失望的
outspoken,adj. 坦率的，直言不讳的
outpouring,"n. 流露；流出；倾泄
v. 使流出（outpour的ing形式）"
outgrowth,n. 结果；副产物；自然的发展；分枝
outweigh,vt. 比…重（在重量上）；比…重要；比…有价值
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
trance,"n. 恍惚；出神；着迷，入迷
vt. 使恍惚；使发呆"
nuance,n. 细微差别
circumstance,n. 环境，情况；事件；境遇
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
exemplify,vt. 例证；例示
exemplary,adj. 典范的；惩戒性的；可仿效的
exceptional,"n. 超常的学生
adj. 异常的，例外的"
evolution,n. 演变；进化论；进展
involve,vt. 包含；牵涉；使陷于；潜心于
revolt,"n. 反抗；叛乱；反感
vt. 使反感；使恶心
vi. 反抗；反叛；反感，厌恶"
rebellion,n. 叛乱；反抗；谋反；不服从
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
soluble,adj.  可溶的，可溶解的；可解决的
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
controversy,n. 争论；论战；辩论
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
depress,vt. 压抑；使沮丧；使萧条
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
suppress,vt. 抑制；镇压；废止
repress,"vt. 抑制；镇压（叛乱等）；约束
vi. 抑制；镇压"
encompass,vt. 包含；包围，环绕；完成
embarrass,vt. 使局促不安；使困窘；阻碍
harass,vt. 使困扰；使烦恼；反复袭击
abort,"n. 中止计划
vt. 使流产；使中止
vi. 流产；堕胎；夭折；发育不全"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
occupy,vt. 占据，占领；居住；使忙碌
preoccupy,vt. 迷住；使全神贯注
methodical,adj. 有系统的；有方法的
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
cushion,"n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击"
deviate,"vi. 脱离；越轨
vt. 使偏离"
alleviate,vt. 减轻，缓和
abbreviate,"vt. 缩写，使省略；使简短
vi. 使用缩写词"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
sensation,n. 感觉；轰动；感动
sentimental,adj. 伤感的；多愁善感的；感情用事的；寓有情感的
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
luminous,adj. 发光的；明亮的；清楚的
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
eliminate,vt. 消除；排除
disseminate,"vt. 宣传，传播；散布
vi. 散布；广为传播"
nominate,vt. 推荐；提名；任命；指定
illusion,n. 幻觉，错觉；错误的观念或信仰
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
blur,"n. 污迹；模糊不清的事物
vt. 涂污；使…模糊不清；使暗淡；玷污
vi. 沾上污迹；变模糊"
allure,"n. 诱惑力
vt. 引诱，诱惑；吸引
vi. 诱人，吸引人"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
detach,vt. 分离；派遣；使超然
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
predate,vt. 在日期上早于（先于）
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
mandate,"n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管"
percolate,"vt. 使渗出；使过滤
vi. 过滤；渗出；浸透
n. 滤过液；渗出液"
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
permeate,"vt. 渗透，透过；弥漫
vi. 弥漫；透入；散布"
pervade,vt. 遍及；弥漫
comprehension,n. 理解；包含
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
identity,n. 身份；同一性，一致；特性；恒等式
oppose,"vt. 反对；对抗，抗争
vi. 反对"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
proponent,n. 支持者；建议者；提出认证遗嘱者
propagate,"vt. 传播；传送；繁殖；宣传
vi. 繁殖；增殖"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
apportion,vt. 分配，分派；分摊
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
gratify,vt. 使满足；使满意，使高兴
calibrate,vt. 校正；调整；测定口径
vibrate,"vt. 使振动；使颤动
vi. 振动；颤动；摇摆；踌躇"
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
attribute,"n. 属性；特质
vt. 归属；把…归于"
distribute,vt. 分配；散布；分开；把…分类
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
agenda,n. 议程；日常工作事项；日程表
agency,n. 代理，中介；代理处，经销处
cogent,adj. 强有力的；使人信服的
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
fluent,adj. 流畅的，流利的；液态的；畅流的
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
infrequent,adj. 罕见的；稀少的；珍贵的；不频发的
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
subsequent,adj. 后来的，随后的
consequence,n. 结果；重要性；推论
tyrant,n. 暴君
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
grand,"n. 大钢琴；一千美元
adj. 宏伟的；豪华的；极重要的"
grandiose,adj. 宏伟的；堂皇的；浮夸的；宏大的
spectacular,adj. 壮观的，惊人的；公开展示的
speculate,"vi. 推测；投机；思索
vt. 推断"
stipulate,"adj. 有托叶的
vi. 规定；保证
vt. 规定；保证"
manipulate,vt. 操纵；操作；巧妙地处理；篡改
maneuver,"n.  机动；演习；策略；调遣
vi.  机动；演习；调遣；用计谋
vt.  机动；演习；用计；调遣"
manoeuvre,"vi. 调动；演习；用策略
vt. 诱使；操纵；耍花招
n. 策略（等于maneuvre）"
mobility,n. 移动性；机动性； 迁移率
mobilize,"vt. 动员，调动；集合，组织；使…流通；使…松动
vi. 组织；动员起来"
crystallize,"vt. 使结晶；明确；使具体化；做成蜜饯
vi. 结晶，形成结晶；明确；具体化"
concede,"vi. 让步
vt. 承认；退让；给予，容许"
recede,"vi. 后退；减弱
vt. 撤回"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
unprecedented,adj. 空前的；无前例的
predecessor,n. 前任，前辈
antecede,vt. 在...之前；胜过；居前
ancestor,n. 始祖，祖先；被继承人
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
typify,vt. 代表；作为…的典型；具有…的特点
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
archetype,n. 原型
prototype,n. 原型；标准，模范
protocol,"n. 协议；草案；礼仪
vt. 拟定
vi. 拟定"
etiquette,n. 礼节，礼仪；规矩
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
deficient,adj. 不足的；有缺陷的；不充分的
sufficient,adj. 足够的；充分的
proficient,"n. 精通；专家，能手
adj. 熟练的，精通的"
evoke,vt. 引起，唤起；博得
