purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
absence,n. 没有；缺乏；缺席；不注意
spacious,adj. 宽敞的，广阔的；无边无际的
space,"n. 空间；太空；距离
vt. 隔开
vi. 留间隔"
install,vt. 安装；任命；安顿
installment,n. 安装；分期付款；部分；就职
instalment,n. 分期付款；装设；就职
installation,n. 安装，装置；就职
apparatus,n. 装置，设备；仪器；器官
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
mend,"vt. 修理，修补；改善；修改
vi. 改善，好转
n. 好转，改进；修补处"
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
modify,"vt. 修改，修饰；更改
vi. 修改"
modification,n. 修改，修正；改变
maintain,vt. 维持；继续；维修；主张；供养
maintenance,n. 维护，维修；保持；生活费用
furnish,vt. 提供；供应；装备
furniture,n. 家具；设备；储藏物
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
decoration,n. 装饰，装潢；装饰品；奖章
decorative,adj. 装饰性的；装潢用的
exterior,"n. 外部；表面；外型；外貌
adj. 外部的；表面的；外在的"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
outside,"adj. 外面的，外部的；外来的
n. 外部；外观
adv. 在外面，向外面；在室外
prep. 在…范围之外"
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
inner,"n. 内部
adj. 内部的；内心的；精神的"
inward,"n. 内部；内脏；密友
adj. 向内的；内部的；精神的；本质上的；熟悉的
adv. 向内；内心里"
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
pillar,"n. 柱子，柱形物；栋梁；墩
vt. 用柱支持"
column,n. 纵队，列；专栏；圆柱，柱形物
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
domed,"adj. 半球形的；有穹顶的
v. 在…上加穹顶；隆起成穹顶状（dome的过去分词）"
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
pyramidal,"adj. 锥体的；金字塔形的；角锥状的
n. 三角骨"
pyramidic,"a. 金字塔的, 角锥状的, 金字塔形的, 角锥体的
n. 锥骨"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷"
steely,adj. 似钢的，钢铁般的；钢制的；严格的
saw,"n. 锯子；谚语
v. see的过去式
vi. 锯；用锯；将某物锯成小块
vt. 看见；明白，了解；锯；锯成；锯开"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
hook,"n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状"
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
porch,n. 门廊；走廊
arch,"n. 弓形，拱形；拱门
adj. 主要的
vt. 使…弯成弓形；用拱连接
vi. 拱起；成为弓形"
arched,"adj. 拱形的；有拱的；弓形结构的
v. 成弓形弯曲；成弓形（arch的过去分词形式）"
ceiling,n. 天花板；上限
chimney,n. 烟囱
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
structural,adj. 结构的；建筑的
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
layout,n. 布局；设计；安排；陈列
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
reception,n. 接待；接收；招待会；感受；反应
receptionist,n. 接待员；传达员
elevator,n. 电梯；升降机；升降舵；起卸机
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
stair,n. 楼梯，阶梯；梯级
upstairs,"n. 楼上
adj. 楼上的
adv. 在楼上，向楼上；上楼；往楼上"
downstairs,"n. 楼下
adj. 楼下的
adv. 在楼下"
staircase,n. 楼梯
booth,n. 货摊；公用电话亭
tollbooth,n. 过路收费亭
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
infrastructure,n. 基础设施；公共建设；下部构造
plumbing,"n. 铅工业；铅管品制造
v. 探究；垂直悬挂；用铅锤测量；灌铅以增重（plumb的现在分词）"
plumb,"n. 垂直；铅锤
adj. 垂直的
vt. 使垂直；探测，探索
adv. 恰恰，正；垂直地
vi. 当管子工"
plumber,n. 水管工；堵漏人员
aisle,n. 通道，走道；侧廊
balcony,n. 阳台；包厢；戏院楼厅
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
chambered,adj. 有房间的；隔成房间的
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
lounger,n. 闲荡的人；懒人
bench,"n. 长凳；工作台；替补队员
vt. 给…以席位；为…设置条凳"
fireplace,n. 壁炉
kitchen,n. 厨房；炊具；炊事人员
lavatory,n. 厕所，盥洗室
bath,"n. 沐浴；浴室；浴盆
vt. 洗澡
vi. 洗澡"
bathe,"n. 洗澡；游泳
vt. 沐浴；用水洗
vi. 洗澡；沐浴"
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
lobbyist,n. 说客；活动议案通过者
auditorium,n. 礼堂，会堂；观众席
auditory,"n. 听众；礼堂
adj. 听觉的；耳朵的"
auditory,"n. 听众；礼堂
adj. 听觉的；耳朵的"
theatre,n. 电影院，戏院；戏剧；阶梯式讲堂
theater,n. 电影院，戏院，剧场；戏剧；手术室
castle,"n. 城堡；象棋中的车
vt. 置…于城堡中；筑城堡防御"
workshop,n. 车间；研讨会；工场；讲习班
warehouse,n. 仓库；货栈；大商店
basement,n. 地下室；地窖
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
cemetery,n. 墓地；公墓
graveyard,n. 墓地
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
supermarket,n. 超级市场；自助售货商店
studio,n. 工作室； 演播室；画室；电影制片厂
nursery,n. 苗圃；托儿所；温床
skyscraper,n. 摩天楼，超高层大楼；特别高的东西
downtown,"n. 市中心区；三分线以外
adj. 市中心的
adv. 往闹市区；在市区"
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
slum,"n. 贫民窟；陋巷；脏乱的地方
vi. （为猎奇或救济等）去贫民窟"
slummy,adj. 贫民区的
aerial,"n.  天线
adj. 空中的，航空的；空气的；空想的"
aeroplane,n. 飞机（等于airplane）
airplane,n. 飞机
aircraft,n. 飞机，航空器
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
jet,"n. 喷射，喷嘴；喷气式飞机；黑玉
adj. 墨黑的
vt. 射出
vi. 射出； 乘喷气式飞机"
parachute,"n. 降落伞
vi. 跳伞
空投"
aviation,n. 航空；飞行术；飞机制造业
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
airline,"n. 航空公司；航线
adj. 航线的"
airliner,n. 班机；大型客机
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
journey,"n. 旅行；行程
vi. 旅行"
travel,"n. 旅行；游历；漫游
vt. 经过；在…旅行
vi. 旅行；行进；步行；交往"
parade,"n. 游行；阅兵；炫耀；行进；阅兵场
vt. 游行；炫耀；列队行进
vi. 游行；炫耀；列队行进"
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
acquaintance,n. 熟人；相识；了解；知道
acquaint,vt. 使熟悉；使认识
visa,"n. 签证
vt. 签发签证"
luggage,n. 行李；皮箱
baggage,n. 行李； 辎重（军队的）
suite,n. （一套）家具；套房；组曲；（一批）随员，随从
suited,"v. 适合（suit的过去分词）
adj. 合适的"
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
inertia,n.  惯性；惰性，迟钝；不活动
inertial,adj. 惯性的；不活泼的
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理"
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
astronaut,n. 宇航员，航天员；太空旅行者
astronomy,n. 天文学
spaceship,n.  宇宙飞船
spacecraft,n.  宇宙飞船，航天器
satellite,n. 卫星；人造卫星；随从；卫星国家
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
horsepower,n. 马力（功率单位）
motor,"n. 发动机，马达；汽车
adj. 汽车的；机动的
vi. 乘汽车
vt. 以汽车载运"
motorcycle,"n. 摩托车；机动车
vi. 骑摩托车"
engine,n. 引擎，发动机；机车，火车头；工具
engineer,"n. 工程师；工兵；火车司机
vt. 设计；策划；精明地处理
vi. 设计；建造"
wheel,"n. 车轮；方向盘；转动
vt. 转动；使变换方向；给…装轮子
vi. 旋转；突然转变方向；盘旋飞行"
speed,"n. 速度，速率；迅速，快速；昌盛，繁荣
vt. 加快…的速度；使成功，使繁荣
vi. 超速，加速；加速，迅速前行；兴隆"
velocity,n. 速度
tempo,n. 速度，发展速度；拍子
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
freighter,n.  货船；承运人
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活"
carfare,n. 车资，票价；电车费，汽车费
postage,n. 邮资，邮费
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
postman,n. 邮递员；邮差
postcode,n. （英）邮政编码；邮区号
stamp,"n. 邮票；印记；标志；跺脚
vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
vi. 跺脚；捣碎；毁掉"
envelope,n. 信封，封皮；包膜； 包层；包迹
messenger,n. 报信者，送信者；先驱
message,"n. 消息；差使；启示；预言；广告词
vi. 报信，报告； 报文
vt. 通知"
mail,"n. 邮件；邮政，邮递；盔甲
vt. 邮寄；给…穿盔甲
vi. 邮寄；寄出"
e-mail,找不到解释
packet,"n. 数据包，信息包；小包，小捆
vt. 包装，打包"
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
parcel,"n. 包裹，小包
vt. 打包；捆扎"
load,"n. 负载，负荷；工作量；装载量
vi.  加载；装载；装货
vt. 使担负；装填"
unload,"vt. 卸；摆脱…之负担；倾销
vi. 卸货；退子弹"
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
delivery,n.  交付；分娩；递送
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
transmission,n. 传动装置， 变速器；传递；传送；播送
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
departure,n. 离开；出发；违背
arrive,vi. 到达；成功；达成；出生
arrival,n. 到来；到达；到达者
destination,n. 目的地，终点
destined,"v. 注定（destine的过去式和过去分词）
adj. 注定的；命定的；去往…的"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
garage,"n. 车库；汽车修理厂；飞机库
vt. 把……送入车库；把（汽车）开进车库"
garbage,n. 垃圾；废物
wagon,"n. 货车，四轮马车
vt. 用运货马车运输货物"
carrier,n.  载体；运送者；带菌者；货架
carriage,n. 运输；运费；四轮马车；举止；客车厢
cart,"n. 二轮运货马车
vt. 用车装载
vi. 驾运货马车；用运货车运送"
truck,"n. 卡车；交易；手推车
adj. （美）运货汽车的
vt. 交易；以卡车运输
vi. 驾驶卡车；以物易物"
rail,"n. 铁轨；扶手；横杆；围栏
vt. 铺铁轨；以横木围栏
vi. 抱怨；责骂"
railroad,"n. 铁路；铁路公司
vt. 由铁道运输；铺设铁路；以捏造不实之罪使入狱
vi. 在铁路工作；乘火车旅行；筑铁路"
tram,"n. 电车轨道；煤车
vt. 用煤车运载
vi. 乘电车"
ambulance,n.  救护车；战时流动医院
tractor,n. 拖拉机；牵引机
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
lorry,n. （英）卡车； 货车；运料车
van,"n. 先锋；厢式货车；增值网
vt. 用车搬运"
tanker,n. 油轮；运油飞机；油槽车；坦克手
pave,vt. 铺设；安排；作铺设之用
pavement,"n. 人行道
路面"
path,n. 道路；小路；轨道
way,"n. 方法；道路；方向；行业；习惯
adj. 途中的
adv. 大大地；远远地"
highway,n. 公路，大路；捷径
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
stroller,n. 散步者；流浪者；（美）折叠式婴儿车；巡回演出的演员
strolling,"adj. 巡回演出的；消闲散步的
v. 散步（stroll的ing形式）；闲逛"
passage,n. 一段（文章）；走廊；通路
massage,"vt. 按摩；揉
n. 按摩；揉"
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
trailer,"n. 拖车； 预告片；追踪者
vt. 用拖车载运
vi. 乘拖车式活动房屋旅行"
route,"n. 路线；航线；通道
vt. 按某路线发送"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
intersection,n. 交叉；十字路口；交集；交叉点
captain,"n. 队长，首领；船长；上尉；海军上校
vt. 指挥；率领"
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
steerable,adj. 易驾驶的；可操纵的；易改变位置的
steering,"n. 操纵；指导；掌舵
v. 驾驶；掌舵（steer的ing形式）"
sail,"n. 帆，篷；航行
vi. 航行；启航，开船
vt. 航行"
sailor,n. 水手，海员；乘船者
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
port,"n. 港口，口岸；（计算机的）端口；左舷；舱门
vt. 持（枪）；左转舵
vi. 转向左舷"
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
dock,"n. 码头；船坞；被告席；尾巴的骨肉部分
vt. 使靠码头；剪短
vi. 入船坞"
ferry,"n. 渡船；摆渡；渡口
vt. （乘渡船）渡过；用渡船运送；空运
vi. 摆渡；来往行驶"
steamer,n. 轮船；蒸汽机；蒸笼
vessel,n. 船，舰； 脉管，血管；容器，器皿
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
turbine,n.  涡轮； 涡轮机
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
oar,"n. 桨；橹；桨手
vt. 划（船）
vi. 划行"
oared,"adj. 有桨的
v. 划（行）( oar的过去式和过去分词 )"
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
submarine,"n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动"
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
appear,vi. 出现；显得；似乎；出庭；登场
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
hazardous,adj. 有危险的；冒险的；碰运气的
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
memory,n. 记忆，记忆力；内存， 存储器；回忆
commemorate,vt. 庆祝，纪念；成为…的纪念
monumental,adj. 不朽的；纪念碑的；非常的
subway,"n. 地铁；地道
vi. 乘地铁"
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
expiration,n. 呼气；终结；届期
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）"
overdue,adj. 过期的；迟到的；未兑的
accurate,adj. 精确的
accuracy,n.  精确度，准确性
inaccurate,adj. 错误的
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
multimedia,"n. 多媒体
adj. 多媒体的"
mediator,n. 调停者；传递者；中介物
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
public,"n. 公众；社会；公共场所
adj. 公众的；政府的；公用的；公立的"
publicity,n. 宣传，宣扬；公开；广告；注意
publication,n. 出版；出版物；发表
propaganda,n. 宣传；传道总会
journalist,n. 新闻工作者；报人；记日志者
editor,n. 编者，编辑；社论撰写人；编辑装置
edit,"vt. 编辑；校订
n. 编辑工作"
typist,n. 打字员，打字者
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
foresee,vt. 预见；预知
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
foreshadow,"vt. 预示；成为…的前兆
n. 预兆"
anticipate,vt. 预期，期望；占先，抢先；提前使用
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
expectation,n. 期待；预期；指望
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
entertainment,n. 娱乐；消遣；款待
recreation,n. 娱乐；消遣；休养
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
festival,"n. 节日；庆祝，纪念活动；欢乐
adj. 节日的，喜庆的；快乐的"
programme,"n. 计划，规划；节目；程序
vt. 规划；拟…计划
vi. 编程序；制作节目"
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
programmer,n.  程序设计员
rehearsal,n. 排演；预演；练习；训练；叙述
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
performance,n. 性能；绩效；表演；执行；表现
imitate,vt. 模仿，仿效；仿造，仿制
imitation,"n. 模仿，仿造；仿制品
adj. 人造的，仿制的"
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
simulative,adj. 模拟的；假装的
tragedy,n. 悲剧；灾难；惨案
comedy,n. 喜剧；喜剧性；有趣的事情
film,"n. 电影；薄膜；胶卷；轻烟
vt. 在…上覆以薄膜；把…拍成电影
vi. 摄制电影；生薄膜；变得朦胧"
movie,"n. 电影；电影院；电影业
adj. 电影的"
artist,n. 艺术家；美术家（尤指画家）；大师
art,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的"
artistic,adj. 艺术的；风雅的；有美感的
painter,n. 画家；油漆匠
role,n. 角色；任务
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
exhibition,n. 展览，显示；展览会；展览品
painting,"n. 绘画；油画；着色
v. 绘画（paint的ing形式）；涂色于"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
drawing,"n. 图画；牵引；素描术
v. 绘画；吸引（draw的ing形式）；拖曳"
depict,vt. 描述；描画
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
selection,n. 选择，挑选；选集；精选品
opt,vi. 选择
option,n.  选项；选择权；买卖的特权
await,vt. 等候，等待；期待
scene,n. 场面；情景；景象；事件
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
circus,n. 马戏；马戏团
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
concertgoer,n. 常去听音乐会者
concerto,n. 协奏曲
orchestra,n. 管弦乐队；乐队演奏处
ballet,n. 芭蕾舞剧；芭蕾舞乐曲
opera,n. 歌剧；歌剧院；歌剧团
musical,"adj. 音乐的；悦耳的
n. 音乐片"
musician,n. 音乐家
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
pop,abbr. 卖点广告（Point of Purchase）
jazz,"n. 爵士乐，爵士舞；喧闹
vi. 奏爵士乐，跳爵士舞；游荡
vt. 奏爵士乐；使活泼
adj. 爵士乐的；喧吵的"
rock,"n. 岩石；摇滚乐；暗礁
vt. 摇动；使摇晃
vi. 摇动；摇晃"
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
rhythm,n. 节奏；韵律
rhythmical,adj. 有节奏的；有韵律的
tune,"n. 曲调；和谐；心情
vt. 调整；使一致；为…调音
vi.  调谐；协调"
tuner,n.  调谐器；调音师
disc,"n. 圆盘， 唱片（等于disk）
vt. 灌唱片"
disk,n.  磁盘，磁碟片；圆盘，盘状物；唱片
piano,n. 钢琴
violin,n. 小提琴；小提琴手
fiddle,"n. 小提琴
vt. 虚度时光；拉小提琴
vi. 瞎搞；拉小提琴"
guitar,"n. 吉他，六弦琴
vi. 弹吉他"
drum,"n. 鼓；鼓声
vi. 击鼓；大力争取
vt. 击鼓；大力争取"
athlete,n. 运动员，体育家；身强力壮的人
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
sponsorship,n. 赞助；发起；保证人的地位；教父母身份
spectator,n. 观众；旁观者
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
energetic,adj. 精力充沛的；积极的；有力的
energy,n.  能量；精力；活力；精神
vigourous,a. 朝气蓬勃；精力充沛的；强有力的
vigorous,adj. 有力的；精力充沛的
vigour,n. 活力；气势
vigor,n.  活力，精力
stadium,n. 体育场；露天大型运动场
indoor,adj. 室内的，户内的
indoors,adv. 在室内，在户内
outdoor,adj. 户外的；露天的；野外的（等于out-of-door）
outdoors,"adv. 在户外
n. 户外
adj. 户外的（等于outdoor）"
competition,n. 竞争；比赛，竞赛
compete,vi. 竞争；比赛；对抗
competitor,n. 竞争者，对手
foul,"n. 犯规；缠绕
adj. 犯规的；邪恶的；污秽的；淤塞的
vt. 犯规；弄脏；淤塞；缠住，妨害
adv. 违反规则地，不正当地
vi. 犯规；腐烂；缠结"
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
championship,n. 锦标赛；冠军称号；冠军的地位
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
movement,n. 运动；活动；运转；乐章
move,"n. 移动；步骤；迁居；策略
vi. 移动；搬家，迁移；离开
vt. 移动；感动"
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
constrain,vt. 驱使；强迫；束缚
numb,"vt. 使麻木；使发愣；使失去感觉
adj. 麻木的；发愣的"
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
pull,"n. 拉，拉绳；拉力，牵引力；拖
vt. 拉；拔；拖
vi. 拉，拖；拔"
push,"n. 推，决心；大规模攻势；矢志的追求
vi. 推进；增加；努力争取
vt. 推动，增加；对…施加压力，逼迫；按；说服"
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
climb,"n. 爬；攀登
vi. 爬；攀登；上升
vt. 爬；攀登；上升"
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于"
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
