shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
spectacular,adj. 壮观的，惊人的；公开展示的
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
retain,vt. 保持；雇；记住
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
prevail,vi. 盛行，流行；战胜，获胜
submissive,adj. 顺从的；服从的；柔顺的
therapy,n. 治疗，疗法
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
successor,n. 继承者；后续的事物
trivial,adj. 不重要的，琐碎的；琐细的
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
versatile,adj. 多才多艺的；通用的，万能的；多面手的
whereby,adv. 凭借；通过…；借以；与…一致
solemn,adj. 庄严的，严肃的；隆重的，郑重的
utilitarian,"n. 功利主义者
adj. 功利的；功利主义的；实利的"
yacht,"n. 游艇，快艇；轻舟
vi. 乘游艇，驾游艇"
spectator,n. 观众；旁观者
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
stainless,adj. 不锈的；纯洁的，未被玷污的；无瑕疵的
alter,"vt. 改变，更改
vi. 改变；修改"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
antibiotic,"n. 抗生素，抗菌素
adj. 抗生的；抗菌的"
bough,n. 大树枝
capitalist,"n. 资本家；资本主义者
adj. 资本主义的；资本家的"
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
authentic,adj. 真正的，真实的；可信的
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
criticism,n. 批评；考证；苛求
swan,"n. 天鹅；天鹅星座
vi. 游荡，闲荡"
customary,"n. 习惯法汇编
adj. 习惯的；通常的"
decompose,"vi. 分解；腐烂
vt. 分解；使腐烂"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
sue,"vt. 控告；请求
vi. 控告；提出请求"
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
invincible,adj. 无敌的；不能征服的
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
subconscious,"n. 潜在意识；下意识心理活动
adj. 潜意识的；下意识的"
distribute,vt. 分配；散布；分开；把…分类
electronic,"adj. 电子的
n. 电子电路；电子器件"
duration,"n. 持续，持续的时间，期间
音长，音延"
encircle,vt. 包围；围绕；环绕
impersonal,"n. 非人称动词；不具人格的事物
adj. 客观的；非个人的；没有人情味的；非人称的"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
entertainment,n. 娱乐；消遣；款待
incur,vt. 招致，引发；蒙受
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
mast,"n. 桅杆；柱；橡树果实
vt. 在…上装桅杆"
forceful,adj. 强有力的；有说服力的；坚强的
exert,vt. 运用，发挥；施以影响
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
gang,"n. 群；一伙；一组
vt. 使成群结队；结伙伤害或恐吓某人
vi. 成群结队"
innovation,n. 创新，革新；新方法
guidance,n. 指导，引导；领导
hazardous,adj. 有危险的；冒险的；碰运气的
famine,n. 饥荒；饥饿，奇缺
holy,"n. 神圣的东西
adj. 圣洁的，神圣的；至善的
（俚）太棒了"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
mammal,n.  哺乳动物
insurance,n. 保险；保险费；保险契约；赔偿金
coward,"n. 懦夫，懦弱的人
adj. 胆小的，懦怯的"
interpret,"vi. 解释；翻译
vt. 说明；口译"
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的"
lateral,"adj. 侧面的，横向的
n. 侧部； 边音
vt. 横向传球"
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
shrug,"n. 耸肩
vi. 耸肩
vt. 耸肩，耸肩表示"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
metaphor,n. 暗喻，隐喻；比喻说法
misuse,"vt. 滥用；误用；虐待
n. 滥用；误用；虐待"
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
oriental,"adj. 东方的；东方人的
n. 东方人"
pine,"n.  松树；凤梨，菠萝
adj. 松木的；似松的
vt. 为…悲哀；哀悼
vi. 渴望，痛苦；憔悴"
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
serial,"n. 电视连续剧； 期刊；连载小说
adj. 连续的；连载的；分期偿还的"
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
clip,"vi. 剪；修剪；剪下报刊上的文章（或新闻、图片等）；迅速行动；用别针别在某物上，用夹子夹在某物上
n. （塑料或金属的）夹子；回纹针；修剪；剪报
vt. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上"
profusion,n. 丰富，充沛；慷慨
limelight,"n. 石灰光，石灰光灯；众人注目的中心
vt. 使显露头角，使受到注目"
colony,n. 殖民地；移民队；种群；动物栖息地
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
confound,vt. 使混淆；挫败；讨厌；使混乱
rack,"n.  齿条；架子；拷问台
vt. 折磨；榨取
vi. 变形；随风飘；小步跑"
psychology,n. 心理学；心理状态
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
version,n. 版本；译文；倒转术
conceal,vt. 隐藏；隐瞒
relentless,adj. 无情的；残酷的；不间断的
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
rot,"n. 腐烂；腐败；腐坏
vt. 使腐烂；使腐朽；使堕落
vi. 腐烂；腐败；堕落
int. （表示厌恶、蔑视、烦恼等）胡说；糟了"
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
retard,"n. 延迟；阻止
vt. 延迟；阻止；妨碍；使减速
vi. 减慢；受到阻滞"
soften,"vt. 使温和；使缓和；使变柔软
vi. 减轻；变柔和；变柔软"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
acquaint,vt. 使熟悉；使认识
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
urgent,adj. 紧急的；急迫的
advisable,adj. 明智的，可取的，适当的
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
whilst,conj. 同时；时时，有时；当…的时候
textile,"n. 纺织品，织物
adj. 纺织的"
wrinkle,"n. 皱纹
vi. 起皱
vt. 使起皱纹"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
brutal,adj. 残忍的；野蛮的，不讲理的
reliability,n. 可靠性
circular,"n. 通知，传单
adj. 循环的；圆形的；间接的"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
reside,vi. 住，居住；属于
capitalism,n. 资本主义
bizarre,adj. 奇异的（指态度，容貌，款式等）
contaminate,vt. 污染，弄脏
convey,vt. 传达；运输；让与
acknowledge,vt. 承认；答谢；报偿；告知已收到
delude,vt. 欺骗；哄骗；诱惑；迷惑；逃避；使失望
diligence,n. 勤奋，勤勉；注意的程度
latitude,n. 纬度；界限；活动范围
mound,"n. 堆；高地；坟堆；护堤
vt. 堆起；筑堤
vi. 积成堆"
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
grace,"n. 优雅；恩惠；魅力；慈悲
vt. 使优美"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
absence,n. 没有；缺乏；缺席；不注意
dedicate,vt. 致力；献身；题献
havoc,"n. 大破坏；浩劫；蹂躏
vt. 严重破坏
vi. 损毁"
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
fiscal,adj. 会计的，财政的；国库的
authorize,vt. 批准，认可；授权给；委托代替
infinity,n. 无穷；无限大；无限距
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
anticipate,vt. 预期，期望；占先，抢先；提前使用
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
fanatic,"n. 狂热入迷者；盲信者；盲信
adj. 狂热的；盲信的"
entire,adj. 全部的，整个的；全体的
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
franchise,"n. 特权；公民权；经销权；管辖权
vt. 给…以特许（或特权）；赋予公民权"
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
guise,"n. 伪装；装束；外观
vt. 使化装
vi. 伪装"
homesick,adj. 想家的；思乡病的
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
encase,vt. 包住；围绕；包装
incredulous,adj. 怀疑的；不轻信的
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
dump,"n. 垃圾场；仓库；无秩序地累积
vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销
vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等）"
interpersonal,adj. 人际的；人与人之间的
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
limber,"adj. 柔软的；敏捷的
vt. 使柔软；将接在前车上
vi. 做准备活动"
malicious,adj. 恶意的；恶毒的；蓄意的；怀恨的
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
clockwise,"adj. 顺时针方向的
adv. 顺时针方向地"
mastery,n. 掌握；精通；优势；征服；统治权
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
normally,adv. 正常地；通常地，一般地
offence,n. 犯罪；违反；过错；攻击
confront,vt. 面对；遭遇；比较
origin,n. 起源；原点；出身；开端
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
census,"n. 人口普查，人口调查
vt. 实施统计调查"
loosen,"vt. 放松；松开
vi. 放松；松开"
computerize,vt. 使电脑化；使计算机化；用电脑处理
payable,adj. 应付的；到期的；可付的；可获利的
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
scorch,"n. 烧焦；焦痕
vt. 烧焦；使枯萎；挖苦
vi. 烧焦；枯萎"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
reconciliation,n. 和解；调和；和谐；甘愿
roam,"n. 漫步，漫游；流浪
vt. 在…漫步，漫游；在…流浪
vi. 漫游，漫步；流浪"
trim,"n. 修剪；整齐；情形
vt. 修剪；整理；装点
adj. 整齐的
vi. 削减"
undermine,vt. 破坏，渐渐破坏；挖掘地基
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
spectrum,n. 光谱；频谱；范围；余象
proximity,n. 接近，邻近；接近；接近度，距离；亲近
sob,"n. 啜泣，呜咽
vt. 哭诉，啜泣
vi. 啜泣，呜咽；（风等）发出呜咽声"
stupendous,adj. 惊人的；巨大的
cushion,"n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击"
sufficient,adj. 足够的；充分的
crocodile,n. 鳄鱼
tournament,n. 锦标赛，联赛；比赛
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
testify,"vi. 作证；证明
vt. 证明，证实；作证"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
stagnant,adj. 停滞的；不景气的；污浊的；迟钝的
vow,"n. 发誓；誓言；许愿
vi. 发誓；郑重宣告
vt. 发誓；郑重宣告"
whimsical,adj. 古怪的；异想天开的；反复无常的
still,"conj. 仍然；但是；尽管如此
n. 寂静；剧照；蒸馏室
adj. 静止的，不动的；寂静的，平静的；不起泡的
adv. 仍然；更；静止地
vt. 蒸馏；使…静止；使…平静下来
vi. 静止；平静；蒸馏"
wretched,adj. 可怜的；卑鄙的；令人苦恼或难受的
malfunction,"vi. 发生故障；不起作用
n. 故障；失灵；疾病"
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
mobility,n. 移动性；机动性； 迁移率
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
autobiography,n. 自传；自传文学
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
botany,n. 植物学；地区植物总称
maximize,"vt. 取…最大值；对…极为重视
vi. 尽可能广义地解释；达到最大值"
dilemma,n. 困境；进退两难；两刀论法
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
element,n. 元素；要素；原理；成分；自然环境
crook,"n. 骗子，坏蛋；弯处，弯曲部分；钩状物
vt. 使弯曲；欺骗，诈骗
vi. 弯曲，成钩形"
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
descent,"n. 下降；血统；袭击
vt. 除去…的气味；使…失去香味"
dislocate,vt. 使脱臼；使混乱
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）"
empower,vt. 授权，允许；使能够
extent,n. 程度；范围；长度
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
incredible,adj. 难以置信的，惊人的
finite,"n. 有限之物
adj. 有限的；限定的"
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
gaudy,"n. 盛大宴会
adj. 华而不实的；俗丽的"
hysterical,adj. 歇斯底里的；异常兴奋的
gum,"n. 口香糖；树胶；橡皮
vt. 用胶粘，涂以树胶；使…有粘性"
haunt,"n. 栖息地；常去的地方
vt. 常出没于…；萦绕于…；经常去…
vi. 出没；作祟"
distract,vt. 转移；分心
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
inflammation,n.  炎症； 发炎；燃烧；发火
centimeter,n.  厘米； 公分
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
chronic,adj. 慢性的；长期的；习惯性的
nostalgic,adj. 怀旧的；乡愁的
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
congested,"adj. 堵塞的，拥挤的
v. 挤满；超负荷（congest的过去分词）"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
innate,adj. 先天的；固有的；与生俱来的
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
antioxidant,n.  抗氧化剂；硬化防止剂； 防老化剂
pillar,"n. 柱子，柱形物；栋梁；墩
vt. 用柱支持"
insurmountable,adj. 不能克服的；不能超越的；难以对付的
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
involve,vt. 包含；牵涉；使陷于；潜心于
jetlag,n. 时差综合症（跨时区高速飞行后生理节奏的破坏）
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
prestige,n. 威望，声望；声誉
lorry,n. （英）卡车； 货车；运料车
motto,n. 座右铭，格言；箴言
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
prohibit,vt. 阻止，禁止
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
prowess,n. 英勇；超凡技术；勇猛
sensor,n. 传感器
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
reconcile,vt. 使一致；使和解；调停，调解；使顺从
poppy,"n. 罂粟花；罂粟属植物；深红色
adj. 罂粟科的"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
scrabble,"n. 一种拼字游戏；抓；摸索；挣扎；涂鸦
vt. 在…上乱涂；在…上乱扒
vi. 扒寻；摸索；挣扎；乱涂"
simplicity,n. 朴素；简易；天真；愚蠢
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
honorary,"n. 名誉学位；获名誉学位者；名誉团体
adj. 荣誉的；名誉的；道义上的"
forego,vt. 放弃；居先；在……之前
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
toxic,adj. 有毒的；中毒的
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
viable,adj. 可行的；能养活的；能生育的
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
undertake,vt. 承担，保证；从事；同意；试图
vomit,"n. 呕吐；呕吐物；催吐剂
vi. 呕吐；吐出
vt. 吐出；使……呕吐"
stunt,"n. 噱头，手腕；绝技
vt. 阻碍…的正常生长或发展
vi. 表演特技；作惊人表演"
whistle,"n. 口哨；汽笛；呼啸声
vt. 吹口哨；鸣汽笛"
stagger,"n. 蹒跚；交错安排
vt. 蹒跚；使交错；使犹豫
adj. 交错的；错开的
vi. 蹒跚；犹豫"
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
speculate,"vi. 推测；投机；思索
vt. 推断"
tactless,adj. 不机智的；不老练的；笨拙的
eventually,adv. 最后，终于
sufficiency,n. 足量，充足；自满
terrorism,n. 恐怖主义；恐怖行动；恐怖统治
reluctant,adj. 不情愿的；勉强的；顽抗的
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
alliance,n. 联盟，联合；联姻
populate,vt. 居住于；构成人口；移民于；殖民于
recollection,n. 回忆；回忆起的事物
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
diffident,adj. 羞怯的；缺乏自信的；谦虚谨慎的
accustom,vt. 使习惯于
reservation,n. 预约，预订；保留
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
peel,"n. 皮
v. 剥，剥落；削"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
bankruptcy,n. 破产
arrogant,adj. 自大的，傲慢的
prolong,vt. 延长；拖延
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
provoke,vt. 驱使；激怒；煽动；惹起
buffalo,n.  水牛； 野牛（产于北美）；水陆两用坦克
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
colleague,n. 同事，同僚
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
comprise,vt. 包含；由…组成
congregation,n. 集会；集合；圣会
constrain,vt. 驱使；强迫；束缚
afflict,vt. 折磨；使痛苦；使苦恼
bosom,"n. 胸；胸怀；中间；胸襟；内心；乳房；内部
adj. 知心的；亲密的
vt. 怀抱；把…藏在心中"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
delinquency,n. 行为不良，违法犯罪；失职，怠工
deserve,"vi. 应受，应得
vt. 应受，应得"
disloyal,adj. 不忠的；不忠诚的；背叛的
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
downhill,"n. 下坡；滑降
adj. 下坡的；容易的
adv. 下坡；向下；每况愈下"
dub,"n. 笨蛋；鼓声
vt. 配音；轻点；打击；授予称号"
elementary,adj. 基本的；初级的； 元素的
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
scramble,"n. 抢夺，争夺；混乱，混乱的一团；爬行，攀登
vi. 爬行，攀登；不规则地生长；仓促行动
vt. 攀登；使混杂，仓促凑成；扰乱"
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
gust,"n. 风味；一阵狂风；趣味
vi. 一阵阵地劲吹"
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
hoof,"n. 蹄；人的脚
vt. 用蹄踢；步行
vi. 步行；踢；跳舞"
injustice,n. 不公正；不讲道义
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
intake,n. 摄取量；通风口；引入口；引入的量
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
