bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
hypermarket,n. 大规模超级市场
hypertension,n. 高血压；过度紧张
hyphenate,"n. 归化的美国公民
vt. 用连字符号连接"
hypnosis,n. 催眠；催眠状态
hypnotic,"n. 安眠药；催眠状态的人
adj. 催眠的，催眠术的；易于催眠的"
hypnotism,n. 催眠术；催眠状态
hypodermic,"n. 皮下注射；皮下注射器
adj. 皮下的"
hypotenuse,n. 直角三角形的斜边
icebreaker,n. 碎冰船；破冰设备
icicle,n. 冰柱；垂冰；冷冰冰的人
icing,"n. 结冰；糖衣；酥皮
v. 冰冻（ice的ing形式）"
icon,n. 图标；偶像；肖像，画像；圣像
idolatry,n. 偶像崇拜；盲目崇拜；邪神崇拜
ignition,n. 点火，点燃；着火，燃烧；点火开关，点火装置
illustrator,n. 插图画家；说明者；图解者
imagery,n. 像；意象；比喻；形象化
imbecile,"n. 低能者；愚蠢的人
adj. 低能的；愚笨的；虚弱的"
impostor,n. 骗子；冒充者
inbuilt,adj. 内置的；内藏的；嵌入的
incantation,n. 咒语
inception,"n. 起初；获得学位
n. 《盗梦空间》（电影名）"
incest,n. 乱伦；近亲通婚
incinerate,"vt. 焚化；烧成灰
vi. 把……烧成灰；烧弃"
indecision,n. 优柔寡断；犹豫不决
indigo,"n. 靛蓝，靛蓝染料；靛蓝色；槐蓝属植物
adj. 靛蓝色的"
infamous,adj. 声名狼藉的；无耻的；邪恶的；不名誉的
infantry,n. 步兵；步兵团
infidelity,n. 无信仰，不信神；背信
infighting,"n. 暗斗；混战；接近战
v. 暗斗（infight的ing形式）；近击"
infirmary,n. 医务室；医院；养老院
inflection,n. 弯曲，变形；音调变化
influx,n. 流入；汇集；河流的汇集处
infrared,"n. 红外线
adj. 红外线的"
infrastructure,n. 基础设施；公共建设；下部构造
injurious,adj. 有害的；诽谤的
inkling,"n. 暗示；略知；模糊概念
v. 暗示 （inkle的ing形式）；略知；低声说出"
inlaid,"adj. 镶嵌的；嵌入的；镶饰的
v. 把…镶入；用镶嵌物装饰（inlay的过去分词形式）"
inmate,n. (尤指)同院病人；同狱犯人；同被(收容所)收容者
insatiable,adj. 贪得无厌的；不知足的
inset,"n. 插图，插页；插入物
vt. 嵌入；插入"
insofar,adv. 在…的范围；在…情况下
insoluble,adj. 不能解决的； 不能溶解的；难以解释的
insomnia,n. 失眠症，失眠
insomniac,n. 失眠症患者
insomuch,adv. 由于，就此程度而言
instep,n. 脚背；背部；脚背形的东西
insurrection,n. 暴动；叛乱
intake,n. 摄取量；通风口；引入口；引入的量
integer,n.  整数；整体；完整的事物
interlocutor,n. 对话者；谈话者
interloper,n. 闯入者；（为私利）干涉他人事务者；无执照营业者
intermediary,"n. 中间人；仲裁者；调解者；媒介物
adj. 中间的；媒介的；中途的"
interment,n. 葬礼；埋葬
intestinal,adj. 肠的
intoxicant,"n. 使醉的东西
adj. 使醉的，醉人的"
intransitive,"n. 不及物动词
adj. 不及物的"
introvert,"n. 内向的人；内翻的东西
vi. 成为内弯；成为性格内向的人
vt. 使内向；使内倾；使内弯"
invigilate,"vt. 监考
vi. 监考；看守"
invigilator,n. 监考人； 监视器
invocation,n. 祈祷；符咒；(法院对另案的)文件调取；(法权的)行使
iodide,n. 碘负离子
iodine,n. 碘；碘酒
ion,n.  离子
iris,"n.  虹膜；鸢尾属植物
adj. 鸢尾属植物的"
irruption,n. 闯入，侵入；激剧繁殖
isotherm,n.  等温线
isothermal,"n. 等温线
adj. 等温的；等温线的"
isotope,n. 同位素
issuance,n. 发布，发行
itinerary,"n. 旅程，路线； 旅行日程
adj. 旅程的； 巡回的，流动的"
ivy,"n. 常春藤
adj. 常春藤联盟的"
jack-in-the-box,n. 玩偶盒
jack-of-all-trades,找不到解释
jagged,"adj. 锯齿状的；参差不齐的
v. 使成缺口；使成锯齿状（jag的过去式）"
jargon,n. 行话，术语；黄锆石
jasmin,n. 茉莉属，茉莉属的植物；茉莉花
jasmine,n. 茉莉；淡黄色
javelin,n. 标枪，投枪
jaywalk,vi. 乱穿马路（不遵守交通规则）
jellyfish,n. 水母； 海蜇；软弱无能的人
jetty,"n. 码头；防波堤
adj. 乌黑发亮的，煤玉似的
vi. 伸出"
jigsaw,"n. 拼图玩具；线锯；镂花锯
vt. 用线锯锯"
jingle,"n. 叮当声；节拍十分规则的简单诗歌
v. （使）叮当作响；具有简单而又引人注意的韵律"
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
joystick,n. 操纵杆， 控制杆
jurisdiction,n. 司法权，审判权，管辖权；权限，权力
juror,n. 审查委员，陪审员
kennel,"n. 狗屋；养狗场； 阴沟；一群狗
vt. 把…关进狗舍；宿于狗舍
vi. 待在狗舍里"
kernel,n. 核心，要点； 内核；仁；麦粒，谷粒；精髓
kick-off,n. 开球；剔除；分离
kin,"n. 亲戚；家族；同族
adj. 同类的；有亲属关系的；性质类似的"
kindred,"adj. 同类的；血缘的；同族的
n. 家族；相似；亲属关系"
kinship,n.  亲属关系，家属关系；亲密关系
kiwi,n. 猕猴桃；几维（一种新西兰产的无翼鸟）；新西兰人
lacquer,"vt. 涂漆；使表面光泽
n. 漆；漆器"
ladle,"vt. 不分对象予以赠送；以杓舀取
n. 钢水包；杓子；长柄杓"
lager,n. （美）贮藏啤酒（等于lager beer）
lagoon,n.  泻湖；环礁湖；咸水湖
lance,"n. 长矛；执矛战士；柳叶刀
vt. 以长矛攻击；用柳叶刀割开；冲进
vi. 急速前进"
laryngitis,n.  喉炎
larynx,n.  喉；喉头
latch,"vi. 占有，抓住；闭锁
vt. 闩上；纠缠住某人
n. 门闩"
lathe,"vt. 用车床加工
n. 车床；机床"
launderette,n. 自助洗衣店
laurel,"n. 桂冠，殊荣；月桂树
vt. 授予荣誉，使戴桂冠"
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
layoff,n. 活动停止期间；临时解雇；操作停止；失业期
ledge,n. 壁架；突出之部份；暗礁；矿层
ledger,n. 总帐，分户总帐； 分类帐；帐簿；底帐；（手脚架上的）横木
lee,"n. 保护；背风处
adj. 保护的；庇荫的；避风的"
leek,n. 韭； 韭葱
leeway,n. 余地；风压差；偏航；落后
lentil,n.  兵豆， 小扁豆
leprosy,n. 麻疯病；腐败
lesbian,"adj.  女同性恋的
n. 女同性恋者"
leukemia,n.  白血病
leukaemia,n. 白血病
levee,"n. 堤坝（码头）；（旧时君主或显贵的）早晨接见
vt. 为…筑堤"
leverage,"n. 手段，影响力；杠杆作用；杠杆效率
v. 利用；举债经营"
lexical,adj. 词汇的； 词典的；词典编纂的
lexicography,n. 词典编纂
lexis,n. 词汇；词语
lieu,n. 代替；场所
ligament,n. 韧带；纽带，系带
liken,vt. 比拟；把…比作
likeness,n. 相似，相像；样子，肖像；照片，画像；相似物
lilac,"n. 淡紫色；丁香花； 紫丁香
adj. 淡紫色的"
limelight,"n. 石灰光，石灰光灯；众人注目的中心
vt. 使显露头角，使受到注目"
lineage,n. 血统；家系， 世系
linesman,n. 巡线工人；前锋；架线工，线条员；巡边员
litigation,n. 诉讼；起诉
liven,"vt. 使高兴，使快活
vi. 快活起来；活跃起来"
lobe,n. （脑、肺等的）叶；裂片；耳垂；波瓣
loft,"n. 阁楼；顶楼；鸽房
vt. 把…储放在阁楼内
vi. 将球高击"
logistics,"n.  后勤；后勤学
物流"
logo,n. 商标，徽标；标识语
loin,n. 腰；腰部；腰肉
lookout,n. 监视；监视哨；警戒；守望者；担心的事；前景
loophole,n. 漏洞；枪眼；换气孔；射弹孔
lopsided,adj. 不平衡的，倾向一方的
lotion,n. 洗液；洗涤剂
lotus,n. 莲花（汽车品牌）
louse,"n. 虱子；寄生虫；卑鄙的家伙
vt. 搞糟；清除（虱子）"
lousy,adj. 讨厌的；多虱的；污秽的；极坏的
lowbrow,"adj. 教养浅薄的；文化修养浅薄的
n. 教养浅薄的人"
lubricant,"n. 润滑剂；润滑油
adj. 润滑的"
lug,"n. 支托；接线片；耳状物
vt. 用力拉或拖
vi. 用力拉或拖"
lullaby,"n. 摇篮曲；催眠曲
vt. 唱摇篮曲使入睡"
lunacy,n. 精神失常；愚蠢的行为
lust,"n. 性欲；强烈的欲望
vi. 贪求，渴望"
lychee,n.  荔枝（等于litchi）
lynch,"n. 私刑；私刑处死；（英）田埂
vt. 处以私刑；以私刑处死"
lyric,"adj. 抒情的；吟唱的
n. 抒情诗；歌词"
lyrical,adj. 抒情诗调的；感情丰富的；充满愉悦的
macaroni,n. 通心粉；通心面条；纨绔子弟
macho,"adj. 大男子气概的
n. 强壮男子；大丈夫"
mackerel,n. 鲭（产于北大西洋）；马鲛鱼
macroeconomic,"adj. 宏观经济的，总体经济的
n. 整体经济"
madden,"vt. 使疯狂；激怒
vi. 发狂"
Mafia,找不到解释
maggot,n.  蛆；空想，狂想
magnate,n. 巨头；大资本家；要人；富豪；……大王
magnetism,n. 磁性，磁力；磁学；吸引力
magnolia,"n.  木兰；玉兰类的植物
adj. 木兰科的"
magpie,"n. 鹊，喜鹊；饶舌的人；有收集零碎东西癖好的人
adj. 鹊的；有收集癖的；斑驳的，混杂的"
mainspring,n. 主要动力；（钟表）主发条；主要原因；主要动机
mainstay,n. 支柱；中流砥柱；主要的依靠；主桅支索
make-believe,"n. 伪装；虚伪；假扮者
adj. 假装的；虚假的"
maladministration,n. 管理不善；弊政
malformed,adj. 畸形的，难看的
malfunction,"vi. 发生故障；不起作用
n. 故障；失灵；疾病"
malt,"n. 麦芽；麦芽酒
adj. 麦芽的；含麦芽的，用麦芽作的
vt. 用麦芽处理"
mammoth,"n. 长毛象；猛犸象；庞然大物
adj. 巨大的，庞大的；猛犸似的"
manacle,"n. 束缚；手铐
vt. 束缚；给…上手铐"
managerial,adj.  管理的；经理的
mandarin,"n. （中国）普通话；国语；官话；满清官吏；柑橘
adj. 紧身马褂的"
mane,n. （马等的）鬃毛
manful,adj. 勇敢的
manger,n. 马槽；牛槽；挡水板
manic,"adj. 躁狂的；狂热的
n. 躁狂症者"
manicure,"vt. 修剪，美甲
n. 修指甲，美甲"
manslaughter,n. 杀人；过失杀人；一般杀人罪
mantelpiece,n. 壁炉架；壁炉台
mantle,"n. 地幔；斗篷；覆盖物
vi. 覆盖；脸红
vt. 覆盖"
manure,"vt. 施肥于；耕种
n. 肥料；粪肥"
Maori,"adj. 毛利人的；毛利语的
n. 毛利人；毛利语"
mare,n. 母马；母驴；月球表面阴暗部
marijuana,n. 大麻；大麻毒品
marital,adj. 婚姻的；夫妇间的
marking,"n. 标志；打分；做记号；斑纹
v. 注意；作记号于；给…打分数（mark的ing形式）"
marksman,n. 神射手；不能用笔署名者
marquee,n. 选取框；大天幕；华盖
mart,n. 集市；商业中心
mascot,n. 吉祥物；福神（等于mascotte）
masked,"adj. 戴面具的；掩蔽的
v. 戴面具；掩饰；使模糊（mask的过去分词）"
matinée,找不到解释
mating,"n. （动物等的）交配，交尾；配套；（植物等的）杂交
v. 交配；使配对；使紧密配合（mate的现在分词）"
matron,n. 主妇；保姆；妇女；女舍监
mauve,"n. 淡紫色；苯胺紫；淡紫色染料
adj. 淡紫色的"
maverick,"n. 没打烙印的动物；持不同意见的人
vt. 用不正当手段获取
vi. 迷途；背离
adj. 未打烙印的；行为不合常规的；特立独行的"
maxim,找不到解释
mayhem,n. 故意的伤害罪；重伤罪；蓄意的破坏
maze,"n. 迷宫；迷惑；糊涂
vt. 迷失；使混乱；使困惑"
measles,n.  麻疹；风疹
measurable,adj. 可测量的；重要的；重大的
Mecca,n. 麦加（沙特阿拉伯一座城市）；众人渴望去的地方
medicaid,n. （美）医疗补助计划
medication,n. 药物；药物治疗；药物处理
megaphone,"n. 扩音器，喇叭筒
vt. 用扩音器对…讲话
vi. 用扩音器传达"
melodrama,n. 情节剧；音乐剧；耸人听闻的事件，闹剧
membrane,n. 膜；薄膜；羊皮纸
memento,n. 纪念品，引起回忆的东西
memorandum,n. 备忘录；便笺
meningitis,n. 脑膜炎
menopause,n. 更年期；活动终止期
menstrual,adj. 月经的；每月的；一月一次的
mermaid,n. 美人鱼（传说中的）；女子游泳健将
merry-go-round,n. 旋转木马
Messiah,找不到解释
metabolism,n.  新陈代谢
metallurgy,n. 冶金；冶金学；冶金术
metaphysical,adj. 形而上学的；超自然的；玄学派诗歌的
meteor,n. 流星； 大气现象
meteorological,adj. 气象的；气象学的
meteorology,n. 气象状态，气象学
methane,n.  甲烷； 沼气
methodology,n. 方法学，方法论
microbiology,n. 微生物学
microscope,n. 显微镜
midget,"n. 侏儒；极小者
adj. 小型的"
migraine,n.  偏头痛
migrant,"n. 候鸟；移居者；随季节迁移的民工
adj. 移居的；流浪的"
milometer,n. 计程表
militarism,n. 军国主义；尚武精神，好战态度；职业军人的精神
militiaman,n. 民兵；民兵组织
millet,n. 小米；粟；稷；黍的子实
milligram,n. 毫克
milligramme,n. 毫克
millipede,n.  千足虫；倍足纲节动物（等于millepede）
mime,"n. 哑剧；小丑；滑稽戏
vi. 摸拟表演
vt. 摸拟表演"
mince,"vt. 切碎；矫揉做作地说
vi. 装腔作势；碎步走
n. 切碎物，肉馅"
mink,"n. 貂；貂皮衣
adj. 豪华的；富裕的"
mire,"n. 泥潭； 泥沼
vi. 陷于泥坑；陷入困境
vt. 使陷于泥坑；使陷入困境"
mirth,n. 欢笑；欢乐；高兴
misadventure,n. 灾难；不幸遭遇
misfit,"n. 不适合；不适应环境的人
vt. 对…不适合"
misplace,vt. 放错地方；忘记把…放在什么地方；错误地信任某人
mitten,n. 露指手套；连指手套
moat,"n. 护城河；壕沟
vt. 将...围以壕沟"
mockery,n. 嘲弄；笑柄；徒劳无功；拙劣可笑的模仿或歪曲
modular,adj. 模块化的；模数的；有标准组件的
module,n.  模块；组件；模数
mongrel,"n. 杂种；混血儿；杂种动物
adj. 杂种的；混血儿的"
monochrome,"n. 单色；单色画
adj. 单色的；黑白的"
monogamy,n. 一夫一妻制； 单配偶， 单配性
monolingual,"adj. 单语的；仅用一种语言的；仅懂一种语言的
n. 只用一种语言的人"
monolith,n. 整块石料；庞然大物
monotone,"n. 单调；单音调
adj. 单调的
vt. 单调地读"
monotony,n. 单调；千篇一律
monsoon,n. 季风；（印度等地的）雨季；季候风
montage,n. 蒙太奇（电影的基本结构手段和叙事方式）；混合画，拼集的照片
mores,n. 习惯，习俗；风俗；道德观念
moribund,"adj. 垂死的；停滞不前的
n. 垂死的人"
morphine,n.  吗啡
mortar,"n. 迫击炮；臼，研钵；灰浆
vt. 用灰泥涂抹，用灰泥结合"
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
mortuary,"n. 太平间；停尸间
adj. 死的；悲哀的"
mosaic,"adj. 摩西的；拼成的；嵌花式的
n. 马赛克；镶嵌；镶嵌细工"
motif,n. 主题；动机；主旨；图形；意念
motionless,adj. 静止的；不运动的
mound,"n. 堆；高地；坟堆；护堤
vt. 堆起；筑堤
vi. 积成堆"
mousse,"n. 摩丝；奶油冻
vt. 在…上抹摩丝"
movable,"adj. 动产的；可移动的；不固定的
n. 动产；可移动的东西"
muffin,n. （涂牛油趁热吃的）英格兰松饼，（常含小块水果等）杯状小松糕；玛芬
mummy,n. 妈妈；木乃伊；干瘪的人
mumps,n.  流行性腮腺炎；愠怒；生气
municipality,n. 市民；市政当局；自治市或区
munitions,"n.  军需品（尤指武器弹药）；必需品（munition的复数）
v. 供应…军需品；从事军需品生产（munition的三单形式）"
mural,"adj. 墙壁的
n. 壁画；（美）壁饰"
musk,n. 麝香；麝香鹿；麝香香味
mussel,n. 蚌；贻贝；淡菜
mutant,"n. 突变体；突变异种
adj. 突变的"
muzzle,"n. 枪口，炮口；口套，口络；动物的鼻口
vt. 使…缄默；给…戴口套；封锁…的言论"
mystic,"adj. 神秘的；神秘主义的
n. 神秘主义者"
mythology,n. 神话；神话学；神话集
namesake,n. 名义；同名物；同名的人
nape,n. 颈背；项
narcissus,n. 水仙
nasal,"adj. 鼻的；鼻音的
n. 鼻骨；鼻音；鼻音字"
navel,n.  肚脐；中央；中心点
Nazism,n. 纳粹主义
nectar,n.  花蜜；甘露；神酒；任何美味的饮料
neoclassical,adj. 新古典主义的
neon,n. 霓虹灯；氖（10号元素，符号Ne）
newsreel,n. 新闻影片
nib,"n. 钢笔尖；嘴；鹅管笔的尖端
vt. 装尖头；削尖；插入"
nicely,adv. 漂亮地；恰好地；精细地
niche,"n. 壁龛；合适的职业；有利可图的市场(或形势等)
vt. 放入壁龛"
nicotine,n.  尼古丁； 烟碱
nipple,n. 乳头，奶头；奶嘴
nirvana,n. 涅槃；天堂
nitrate,"n. 硝酸盐
vt. 用硝酸处理"
node,n. 节点；瘤； 叉点
nomad,"n. 游牧民；流浪者
adj. 游牧的；流浪的"
nomenclature,n. 命名法；术语
nominee,n. 被任命者；被提名的人；代名人
nonetheless,adv. 尽管如此，但是
nonstop,"adj. 直达的；不休息的；不着陆的
n. 直达车
adv. 不休息地"
Nordic,"adj. 北欧人的；斯堪的纳维亚的；日耳曼民族的
n. 北欧人；日耳曼民族；斯堪的纳维亚人；具有北欧日尔曼民族外貌特征的人"
norm,n. 标准，规范
notary,n.  公证人
notation,n. 符号；乐谱；注释；记号法
notification,n. 通知；通告； 告示
notwithstanding,"adv. 尽管，仍然
prep. 尽管，虽然
conj. 虽然"
nought,n.  零；没有
novice,n. 初学者，新手
nucleus,n. 核，核心；原子核
nude,"adj. 裸的，裸体的；无装饰的；与生俱有的
n. 裸体；裸体画"
nudity,n. 裸露；裸体像
nuzzle,"vt. 用鼻紧挨，用鼻爱抚；紧贴某人
vi. 用鼻擦；舒服地躺著"
nymph,n. 女神；居于山林水泽的仙女；美丽的少女；蛹
oasis,n. 绿洲；舒适的地方；令人宽慰的事物
obituary,"adj. 讣告的；死亡的
n. 讣告"
oboe,n. 双簧管
observance,n. 惯例；遵守；仪式；庆祝
occidental,"n. 西方人；欧美人
adj. 西方的；西洋的"
occupancy,n. 居住；占有；占用
oceanography,n. 海洋学
octopus,"n. 章鱼
章鱼肉"
ode,n. 赋；颂歌；颂诗
odor,n. 气味；名声
odour,n. 气味；声誉
ointment,n. 药膏； 油膏
omega,"n. 最后；终了；希腊字母的最后一个字Ω
n. 欧米茄（品牌名称）"
omelet,"n. 煎蛋卷, 煎蛋饼, 炒蛋"
omelette,n. 煎蛋卷
onomatopoeia,n. 拟声；声喻法
onset,n. 开始，着手；发作；攻击，进攻
onslaught,n. 猛攻；突击
opal,n. 猫眼石，蛋白石；乳白玻璃
opus,n. 作品
oracle,n. 神谕；预言；神谕处；圣人
orator,n. 演说者；演讲者；雄辩家；原告
orbital,adj. 轨道的；眼窝的
orchid,"n. 兰花； 兰科植物；淡紫色
adj. 淡紫色的"
ordinal,"adj. 顺序的，依次的
n.  序数"
ordinance,n. 条例；法令；圣餐礼
orgasm,n.  性高潮；极度兴奋
orgy,n. 狂欢；放荡
orientation,n. 方向；定向；适应；情况介绍；向东方
oscillation,n. 振荡；振动；摆动
ostensibly,adv. 表面上；外表
outcry,n. 强烈抗议；大声疾呼；尖叫；倒彩
outfit,"n. 机构；用具；全套装备
vi. 得到装备
vt. 配备；供应"
outgrow,vt. 过大而不适于；出生；长大成熟而不再
outnumber,vt. 数目超过；比…多
outpost,n. 前哨；警戒部队；边区村落
ovation,n. 热烈欢迎；大喝采
overboard,"adv. 自船上落下；向船外
adj. 极其热心的；全身心投入的"
overly,adv. 过度地；极度地
oversight,n. 监督，照管；疏忽
overture,"n. 前奏曲；提案；序幕
vt. 提议；为……奏前奏曲"
overview,n.  综述；概观
ovum,n.  卵；卵子；卵形装饰
oxidize,"vt. 使氧化；使生锈
vi. 氧化"
paddy,n. 稻田（复数paddies）；爱尔兰人；Patrick（男子名）和Patricia（女子名）的昵称
padlock,"n. 挂锁；关闭；禁止进入
vt. 用挂锁锁上；关闭"
pagan,"adj. 异教的；异教徒的
n. 异教徒；无宗教信仰者"
pal,"n. 朋友，伙伴；同志
vi. 结为朋友"
palatal,"n. 上颚音
adj. 腭的；上颚的"
palate,n. 味觉；上颚；趣味
palette,n. 调色板；颜料
pancake,"n. 薄烤饼；粉饼；平降（全称pancake landing）
vt. 使平坠著陆；使平展
vi. 平坠着陆；平展"
pang,"n. （肉体上）剧痛；苦闷；（精神上）一阵极度的痛苦
vt. 使剧痛；折磨"
panther,n. 豹；黑豹；美洲豹
pantomime,"n. 哑剧；舞剧；手势
vi. 打手势；演哑剧
vt. 打手势；演哑剧"
parable,n. 寓言，比喻；隐晦或谜般的格言
paradigm,n. 范例；词形变化表
paraffin,"n. 石蜡； 链烷烃；硬石蜡
vt. 用石蜡处理；涂石蜡于…"
parameter,n. 参数；系数；参量
paramilitary,"n. 准军事部队
adj. 准军事的；辅助军事的"
paranoia,n.  偏执狂， 妄想狂
parasite,n. 寄生虫；食客
pare,vt. 消减；削皮；剪；修掉（边等）
parentage,n. 出身；亲子关系；门第；起源
parenthetical,adj. 插句的；附加说明的；放在括号里的
parsley,n. 荷兰芹，欧芹
parson,n. 牧师，教区牧师；神职人员
partisan,"n. 游击队；虔诚信徒；党羽
adj. 党派的；效忠的；偏袒的；盲目推崇的"
pasta,n. 意大利面食；面团
pastel,"n. 粉蜡笔；粉蜡笔画
adj. 柔和的；彩色蜡笔的，粉蜡笔的"
patio,n. 露台；天井
patriarch,n. 家长；族长；元老；创始人
patriarchal,adj. 家长的；族长的；由族长统治的
patter,"n. 行话；轻快脚步声；急速拍打声
vt. 喋喋不休地说；使…发出嗒嗒声
vi. 滴答地响；急速地说；发出急速轻拍声"
payout,n. 支出；花费
payroll,n. 工资单；在册职工人数；工资名单
peat,n. 泥煤；泥炭块；泥炭色
pedagogic,adj. 教师的（等于pedagogical）；教育学的；教授法的
pedagogical,adj. 教育学的；教学法的
pedestal,"n. 基架，基座；基础
vt. 搁在台上；支持；加座"
pedigree,"n. 血统；家谱
adj. 纯种的"
pelican,n.  鹈鹕
pendant,n. 下垂物，垂饰
penis,n. 阳物； 阴茎
pensioner,n. 领养老金者；领取抚恤金者
pentathlon,n. 五项运动；五项全能运动
penthouse,n. 阁楼；顶层公寓，屋顶房间
percussion,n.  叩诊；振动；碰撞；敲打乐器；打击乐器组
perimeter,n. 周长；周界； 视野计
perjury,n. 伪证；伪誓；背信弃义
personage,n. 要人；角色；名士
pesticide,n. 杀虫剂
phantom,"n. 幽灵；幻影；虚位
adj. 幽灵的；幻觉的；有名无实的"
pharmaceutical,"n. 药物
adj. 制药（学）的"
pheasant,n. 野鸡；雉科鸟
phonology,n. 音系学；音韵学；语音体系
phosphorous,adj. 磷的，含磷的；发磷光的
phosphorus,n. 磷
physiotherapy,n. 物理疗法
physique,n. 体格，体形
picket,"n. 警戒哨；纠察队； 尖木桩
vt. 派……担任纠察；用尖桩围住
vi. 担任纠察"
pickle,"n. 泡菜；盐卤；腌制食品
vt. 泡；腌制"
pidgin,n. 洋泾滨语；混杂语言；事务
pier,n. 码头，直码头；桥墩；窗间壁
piety,n. 虔诚；孝敬；虔诚的行为或语言
pigsty,n. 猪舍；木垛；脏乱的地方
pike,"n. 通行费；矛；梭子鱼；尖头；收费道路
vt. 用矛刺穿"
piracy,n. 海盗行为；剽窃；著作权侵害；非法翻印
piss,"n. 小便
vt. 撒尿弄脏
vi. 小便
int. 呸！"
piston,n. 活塞
pitcher,n. 投手；大水罐
pitfall,n. 陷阱，圈套；缺陷；诱惑
pivot,"n. 枢轴；中心点；旋转运动
adj. 枢轴的；关键的
vt. 以…为中心旋转；把…置于枢轴上
vi. 在枢轴上转动；随…转移"
pivotal,"n. 关键事物；中心事物
adj. 关键的；中枢的；枢轴的"
plaid,"n. 格子花呢；格子图案
adj. 有格子图案的"
plaintiff,n. 原告
planetary,adj. 行星的
plank,"n.  厚木板；支架；政纲条款
vt. 在…上铺板；撂下；立刻付款"
plaque,n. 匾；血小板；饰板
plasma,n.  等离子体；血浆； 深绿玉髓
plaster,"n. 石膏；灰泥；膏药
vt. 减轻；粘贴；涂以灰泥；敷以膏药；使平服"
platoon,n. 排，团；一组
playoff,n. 双方得分相等时的最后决赛；复赛；季后赛
pleat,"n. 褶；褶状物
vt. 使…打褶"
plenipotentiary,"n. 全权代表；全权大使
adj. 全权代表的；有全权的"
plunger,n.  活塞；潜水者；跳水者；莽撞的人
plush,"adj. 豪华的；长毛绒做的；舒服的
n. 长毛绒"
plutonium,n.  钚（94号元素）
pockmark,"n. 麻子；凹坑
vt. 使留下痘疤；使有凹坑"
polarity,n.  极性；两极；对立
polemic,"n. 争论；辩论者
adj. 好争论的"
polio,n. 小儿麻痹症（等于poliomyelitis）；脊髓灰质炎
pollen,"n.  花粉
vt. 传授花粉给"
pollster,n. 民意测验专家，民意调查人；整理民意测验结果的人
polyester,n. 聚酯
poplar,n. 白杨；白杨木
poppy,"n. 罂粟花；罂粟属植物；深红色
adj. 罂粟科的"
populous,adj. 人口稠密的；人口多的
portfolio,n. 公文包；文件夹；证券投资组合；部长职务
posthumous,adj. 死后的；遗腹的；作者死后出版的
postscript,n. 附言；又及
potluck,n. 家常便饭；百乐餐（每人自带一个菜的家庭聚会）
pouch,"n. 小袋；育儿袋；烟草袋
vi. 成袋状
vt. 使成袋状；把…装入袋中"
practicality,n. 实用性，实际性；实际，实例
precinct,n. 选区；管理区；管辖区
predatory,adj. 掠夺的，掠夺成性的；食肉的；捕食生物的
prefabricate,vt. 预先制造；预先构思；预制构件
prenatal,adj. 产前的；胎儿期的； 出生以前的
preschool,"n. 幼儿园，育幼院
adj. 未满学龄的；就学前的，入学前的"
presidium,n. 主席团
pressing,"n. 压；冲压件
v. 压；按；熨烫衣物（press的ing形式）
adj. 紧迫的；迫切的；恳切的"
prism,n. 棱镜； 棱柱
pro,"n. 赞成者；赞成的意见
prep. 赞成
adv. 赞成地"
probation,n. 试用；缓刑；查验
projection,n. 投射；规划；突出；发射；推测
prologue,"n. 开场白；序言
vt. 加上…前言；为…作序"
prophecy,n. 预言；预言书；预言能力
proponent,n. 支持者；建议者；提出认证遗嘱者
prostate,"n.  前列腺
adj. 前列腺的"
protagonist,n. 主角，主演；主要人物，领导者
psychiatrist,n. 精神病学家，精神病医生
psycho,"n. 心理分析，精神分析；精神病患者
adj. 精神病的；精神病学的"
psychoanalyst,n. 精神分析学家；心理分析学家
psychotherapist,n. 精神治疗医师
psychotherapy,n. 心理疗法；精神疗法
puberty,n. 青春期；开花期
pullover,"n. 套衫
adj. 套领的"
pulpit,n. 讲道坛；高架操纵台；神职人员
pun,"n. 双关语；俏皮话
vt. 捣实敲打
vi. 说双关语；说俏皮话"
purely,adv. 纯粹地；仅仅，只不过；完全地；贞淑地；清洁地
purport,"n. 意义，主旨；意图
vt. 声称；意图；意指；打算"
python,n. 巨蟒；大蟒
quack,"n. 庸医；鸭叫声
adj. 骗人的；冒牌医生的
vi. （鸭子）嘎嘎叫；吹嘘；大声闲聊"
quadrangle,n. 四边形；方院
quadrant,n. 象限； 象限仪；四分之一圆
quadratic,"n. 二次方程式
adj.  二次的"
quadrilateral,"n. 四边形
adj. 四边形的"
Quaker,找不到解释
qualifier,"n.  修饰语
n. 资格赛，预选赛；取得资格的人"
quantifier,n.  量词；数量词；精于计算的人
quantum,n. 量子论；额；美国昆腾公司（世界领先的硬盘生产商）
quartet,n. 四重奏；四重唱；四件一套
quartz,n. 石英
querulous,adj. 易怒的，暴躁的；爱发牢骚的，抱怨的；爱挑剔的
quick,"n. 核心；伤口的嫩肉
adj. 快的；迅速的，敏捷的；灵敏的
adv. 迅速地，快"
quicksand,n.  流沙，危险状态
quintessence,n. 精华；典范；第五元素（被视为地、水、火、风以外之构成宇宙的元素）
