technology,n. 技术；工艺；术语
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
restructure,vt. 调整；重建；更改结构
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
ridiculous,adj. 可笑的；荒谬的
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
seminar,n. 讨论会，研讨班
senate,n. 参议院，上院；（古罗马的）元老院
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
spacious,adj. 宽敞的，广阔的；无边无际的
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
speculate,"vi. 推测；投机；思索
vt. 推断"
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
standpoint,n. 立场；观点
sue,"vt. 控告；请求
vi. 控告；提出请求"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
thesis,n. 论文；论点
tolerant,adj. 宽容的；容忍的；有耐药力的
undertake,vt. 承担，保证；从事；同意；试图
unfavorable,adj. 不宜的；令人不快的；不顺利的
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
whereby,adv. 凭借；通过…；借以；与…一致
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
alleviate,vt. 减轻，缓和
apparent,adj. 显然的；表面上的
appliance,n. 器具；器械；装置
aristocrat,n. 贵族
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
bless,vt. 祝福；保佑；赞美
boundary,n. 边界；范围；分界线
brew,"n. 啤酒；质地
vi. 酿酒；被冲泡；即将发生
vt. 酿造；酝酿"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
buzz,"n. 嗡嗡声
vt. 使嗡嗡叫；暗中散布
vi. 作嗡嗡声；东奔西忙
n. 网络口碑（消费者或网民对于品牌、产品等广告主在乎的事情在网上发出的各种声音）"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
catastrophe,n. 大灾难；大祸；惨败
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
commodity,n. 商品，货物；日用品
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
competent,adj. 胜任的；有能力的；能干的；足够的
comply,vi. 遵守；顺从，遵从；答应
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
constraint,n.  约束；局促，态度不自然；强制
contempt,n. 轻视，蔑视；耻辱
copyright,"n. 版权，著作权
adj. 版权的；受版权保护的
vt. 保护版权；为…取得版权"
correlation,n.  相关，关联；相互关系
countless,adj. 无数的；数不尽的
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
depict,vt. 描述；描画
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
devastating,"adj. 毁灭性的；全然的
v. 摧毁（devastate的ing形式）；毁坏"
dilemma,n. 困境；进退两难；两刀论法
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
displace,vt. 取代；置换；转移；把…免职；排水
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
dosage,n. 剂量，用量
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
emergence,n. 出现，浮现；发生；露头
enrich,vt. 使充实；使肥沃；使富足
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
expenditure,n. 支出，花费；经费，消费额
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
fate,"n. 命运
vt. 注定"
flavour,"n. 香味；滋味
vt. 给……调味；给……增添风趣"
flavor,"n. 情味，风味；香料；滋味
vt. 加味于"
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
flock,"n. 群；棉束（等于floc）
vi. 聚集；成群而行
vt. 用棉束填满"
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
fond,adj. 喜欢的；温柔的；宠爱的
forthcoming,"n. 来临
adj. 即将来临的"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
genius,n. 天才，天赋；精神
gloomy,adj. 黑暗的；沮丧的；阴郁的
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
habitat,n.  栖息地，产地
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
hazardous,adj. 有危险的；冒险的；碰运气的
horrible,adj. 可怕的；极讨厌的
hospitality,n. 好客；殷勤
hybrid,"n. 杂种，混血儿；混合物
adj. 混合的；杂种的"
imperial,"n. 纸张尺寸；特等品
adj. 帝国的；皇帝的；至高无上的；威严的"
injustice,n. 不公正；不讲道义
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
inspiration,n. 灵感；鼓舞；吸气；妙计
intervene,vi. 干涉；调停；插入
invasive,adj. 侵略性的；攻击性的
comprehension,n. 理解；包含
lion,n. 狮子；名人；勇猛的人；社交场合的名流
taxpayer,n. 纳税人；所收租金只够支付地产税的建筑物
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
ski,"n. 滑雪橇
vi. 滑雪
adj. 滑雪（用）的"
ant,n. 蚂蚁
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
resilience,n. 恢复力；弹力；顺应力
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
database,n. 数据库，资料库
socially,adv. 在社会上；在社交方面；善于交际地
wine,"n. 酒，葡萄酒；紫红色
vt. 请…喝酒
vi. 喝酒"
livestock,n. 牲畜；家畜
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
physicist,n. 物理学家；唯物论者
pit,"n. 矿井；深坑；陷阱；（物体或人体表面上的）凹陷；（英国剧场的）正厅后排；正厅后排的观众
vt. 使竞争；窖藏；使凹下；去…之核；使留疤痕
vi. 凹陷；起凹点"
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
gymnasium,n. 体育馆；健身房
idiom,n. 成语，习语；土话
metabolism,n.  新陈代谢
prestigious,adj. 有名望的；享有声望的
universe,n. 宇宙；世界；领域
alumnus,n. 男校友；男毕业生
exhibition,n. 展览，显示；展览会；展览品
sensor,n. 传感器
acupuncture,"n. 针刺； 针刺疗法
vt. 对…施行针刺疗法"
delta,n. （河流的）三角洲；德耳塔（希腊字母的第四个字）
deplete,vt. 耗尽，用尽；使衰竭，使空虚
labour,n. （英国）工党
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦"
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
willpower,n. 意志力；毅力
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
autonomous,adj. 自治的；自主的；自发的
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
lump,"n. 块，块状；肿块；瘤；很多；笨人
vt. 混在一起；使成块状；忍耐；笨重地移动
vi. 结块
adj. 成团的；总共的
adv. 很；非常"
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
minimize,"vt. 使减到最少；小看，极度轻视
vi. 最小化"
obsess,vt. 迷住，缠住；使…着迷；使…困扰
physician,n.  医师；内科医师
revolutionize,"vt. 发动革命；彻底改革；宣传革命
vi. 革命化；从事革命"
tier,"n. 层，排；行，列；等级
vt. 使层叠
vi. 成递升排列"
carbohydrate,n.  碳水化合物； 糖类
formula,n.  公式，准则；配方；婴儿食品
rainfall,n. 降雨；降雨量
additive,"n. 添加剂，添加物
adj. 附加的； 加法的"
calculus,n.  结石；微积分学
harmonious,adj. 和谐的，和睦的；协调的；悦耳的
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
journalism,n. 新闻业，新闻工作；报章杂志
offline,"n. 脱机；挂线
adj. 脱机的；离线的，未连线的
adv. 未连线地"
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
resilient,"adj. 弹回的，有弹力的
adj. 能复原的；有复原力的"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
significance,n. 意义；重要性；意思
stun,"n. 昏迷；打昏；惊倒；令人惊叹的事物
vt. 使震惊；打昏；给以深刻的印象"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
surname,"n. 姓，姓氏；绰号，别名
vt. 给…起别名；给…姓氏"
unpredictable,"n. 不可预言的事
adj. 不可预知的；不定的；出乎意料的"
advisable,adj. 明智的，可取的，适当的
autonomy,n. 自治，自治权
renovate,vt. 更新；修复；革新；刷新
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
analyse,vt. 分析；分解；细察
analyze,vt. 对…进行分析，分解（等于analyse）
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
indigenous,adj. 本土的；土著的；国产的；固有的
irrational,"n.  无理数
adj. 不合理的；无理性的；荒谬的"
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
permission,n. 允许，许可
tongue,"n. 舌头；语言
vt. 舔；斥责；用舌吹
vi. 说话；吹管乐器"
accurately,adv. 精确地，准确地
acquaintance,n. 熟人；相识；了解；知道
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
destruction,n. 破坏，毁灭；摧毁
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
ecologist,n. 生态学者
gale,n.  大风，狂风；（突发的）一阵
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
lane,n. 小巷； 航线；车道；罚球区
misconception,n. 误解；错觉；错误想法
modification,n. 修改，修正；改变
monument,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
subsistence,n. 生活；生存；存在
unintended,adj. 无意识的；非计划中的
waterway,n. 航道；水路；排水沟
academically,adv. 学术上；学业上
accessibility,n. 易接近；可亲；可以得到
aspire,vi. 渴望；立志；追求
bake,"n. 烤；烘烤食品
vi. 烘面包；被烤干；受热
vt. 烤，烘焙"
besiege,vt. 围困；包围；烦扰
blend,"n. 混合；掺合物
vi. 混合；协调
vt. 混合"
botanist,n. 植物学家
civilisation,n. （英）文明（等于civilization）
civilization,n. 文明；文化
crossbreed,"n. 杂种
vt. 使杂交繁育
vi. 杂交繁育"
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
detach,vt. 分离；派遣；使超然
dissertation,n. 论文，专题；学术演讲
entity,n. 实体；存在；本质
establishment,n. 确立，制定；公司；设施
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
geological,adj. 地质的，地质学的
hectic,"n. 脸红；患肺结核
adj. 兴奋的，狂热的；脸上发红；肺病的；忙碌的"
hobbyist,n. 业余爱好者；沉溺于某嗜好之人
hollow,"n. 洞；山谷；窟窿
adj. 空的；中空的，空腹的；凹的；虚伪的
vt. 使成为空洞
adv. 彻底地；无用地
vi. 形成空洞"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的"
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
mechanic,"n. 技工，机修工
adj. 手工的"
milestone,n. 里程碑，划时代的事件
pasture,"n. 草地；牧场；牧草
vt. 放牧；吃草"
rationality,n. 合理性；合理的行动
relaxation,n. 放松；缓和；消遣
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
remnant,"n. 剩余
adj. 剩余的"
spicy,adj. 辛辣的；香的，多香料的；下流的
surpass,vt. 超越；胜过，优于；非…所能办到或理解
theoretical,adj. 理论的；理论上的；假设的；推理的
transmission,n. 传动装置， 变速器；传递；传送；播送
wrestle,"n. 摔跤；搏斗；斗争
vi. 摔跤；斗争；斟酌
vt. 与摔跤；与…搏斗；使劲搬动"
authorship,n. （书等的）原创作者，来源；作者的身份；著述业
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
chronicle,"n. 编年史，年代记；记录
vt. 记录；把…载入编年史"
collegial,adj. 学院的；社团的；大学生的
decode,"vt. 译(密码文电等)，译(码)，解(码)等：；(尤指在学习过程中)把拼写和读音关系用于(阅读)
vi. 从事破译(或解译)工作"
diagnosis,n. 诊断
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
fulfil,vt. 履行；完成；实践；满足
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
grey,"n. 灰色
adj. 灰色的；灰白的
vt. 使变成灰色；使变老
vi. 变成灰色；老化"
gray,"n. 灰色；暗淡的光线
adj. 灰色的；苍白的；灰白头发的；阴郁的
vt. 使成灰色或灰白
vi. 成为灰色或灰白"
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫"
honour,"n. 荣誉；尊敬；勋章
vt. 尊敬； 承兑；承兑远期票据"
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
impart,vt. 给予（尤指抽象事物），传授；告知，透露
injection,n. 注射；注射剂；充血；射入轨道
irresponsible,adj. 不负责任的；不可靠的
laborious,adj. 勤劳的；艰苦的；费劲的
leaf,"n. 叶子；（书籍等的）一张；扇页
vi. 生叶；翻书页
vt. 翻…的页，匆匆翻阅"
legacy,n. 遗赠，遗产
livelihood,n. 生计，生活；营生
masterpiece,n. 杰作；绝无仅有的人
mathematician,"n. 数学家
善作数字计算的人"
medal,n. 勋章，奖章；纪念章
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
misunderstanding,n. 误解；误会；不和
necessity,n. 需要；必然性；必需品
needle,"n. 针；指针；刺激；针状物
vi. 缝纫；做针线
vt. 刺激；用针缝"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
overstate,vt. 夸张；夸大的叙述
pave,vt. 铺设；安排；作铺设之用
popularize,"vt. 普及；使通俗化
vi. 通俗化"
presumably,adv. 大概；推测起来；可假定
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
satisfactory,adj. 满意的；符合要求的；赎罪的
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
sensitivity,n. 敏感；敏感性；过敏
setback,n. 挫折；退步；逆流
solitude,n. 孤独；隐居；荒僻的地方
spectrum,n. 光谱；频谱；范围；余象
strategically,adv. 战略性地；战略上
statistician,n. 统计学家，统计员
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
trickery,n. 欺骗；诡计；奸计
turmoil,n. 混乱，骚动
unprecedented,adj. 空前的；无前例的
uplift,"n. 举起，抬起；道德的向上；精神的高涨
vt. 提高；抬起
vi. 提高；上升；升起"
vigorously,adv. 精神旺盛地，活泼地
workaholic,"n. 专心工作的人；醉心于工作的人；为免遭辞退而工作过份卖力的人
adj. 醉心于工作的"
advent,n. 到来；出现；基督降临；基督降临节
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
anecdote,n. 轶事；奇闻；秘史
annually,adv. 每年；一年一次
aptitude,n. 天资；自然倾向；适宜
attentive,adj. 留意的，注意的
biodiversity,n. 生物多样性
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
collaboration,n. 合作；勾结；通敌
complement,"n. 补语；余角；补足物
vt. 补足，补助"
congestion,n. 拥挤；拥塞；淤血
conservancy,n. 管理；保护；保存
determinant,"n. 决定因素； 行列式
adj. 决定性的"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
distortion,n. 变形； 失真；扭曲；曲解
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
dwell,vi. 居住；存在于；细想某事
eradicate,vt. 根除，根绝；消灭
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
foe,n. 敌人；反对者；危害物
footwear,n. 鞋类
frustration,n. 挫折
glamour,"n. 魅力，魔力；迷人的美
vt. 迷惑，迷住"
glamor,"n. 魅力；魔法；迷人的美（等于glamour）
vt. 迷惑；使有魅力（等于glamour）"
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
graze,"n. 放牧；轻擦
vi. 吃草；擦伤
vt. 放牧；擦伤"
implementation,n.  实现；履行；安装启用
inaccurate,adj. 错误的
instantly,"conj. 一…就…
adv. 立即地；马上地；即刻地"
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
inventory,n. 存货，存货清单；详细目录；财产清册
leverage,"n. 手段，影响力；杠杆作用；杠杆效率
v. 利用；举债经营"
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
minimal,adj. 最低的；最小限度的
modesty,n. 谦逊；质朴；稳重
multinational,"adj. 跨国公司的；多国的
n. 跨国公司"
neuroscientist,n. 神经系统科学家
outsmart,vt. 比…更聪明；用计谋打败
parameter,n. 参数；系数；参量
prestige,n. 威望，声望；声誉
proclamation,n. 公告；宣布；宣告；公布
promptly,adv. 迅速地；立即地；敏捷地
prototype,n. 原型；标准，模范
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
resourceful,adj. 资源丰富的；足智多谋的；机智的
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
sensational,adj. 轰动的；耸人听闻的；非常好的；使人感动的
sneak,"n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者
adj. 暗中进行的
vi. 溜；鬼鬼祟祟做事；向老师打小报告
vt. 偷偷地做；偷偷取得"
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
subconscious,"n. 潜在意识；下意识心理活动
adj. 潜意识的；下意识的"
surgeon,n. 外科医生
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
therapeutic,"n. 治疗剂；治疗学家
adj. 治疗的；治疗学的；有益于健康的"
tolerance,n. 公差；宽容；容忍；公差
toughness,n.  韧性；强健；有粘性
tranquility,n. 宁静；平静
trustworthy,adj. 可靠的；可信赖的
unconventional,adj. 非常规的；非传统的；不依惯例的
untapped,adj. 未开发的；未使用的；塞子未开的
achiever,n. 获得成功的人
additionally,adv. 此外；又，加之
advocacy,n. 主张；拥护；辩护
aeronautical,adj. 航空的；航空学的；飞机驾驶员的（等于aeronautic）
ambush,"n. 埋伏，伏击；伏兵
vt. 埋伏，伏击
vi. 埋伏"
analytic,adj. 分析的；解析的；善于分析的
ardently,adv. 热烈地；热心地
axis,n. 轴；轴线；轴心国
babysitter,n. 临时照顾幼儿者
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
Celsius,找不到解释
changeable,adj. 无常的；可改变的；易变的；不定的
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
compatible,adj. 兼容的；能共处的；可并立的
conception,n. 怀孕；概念；设想；开始
concise,adj. 简明的，简洁的
conclusive,adj. 决定性的；最后的；确实的；确定性的
conducive,adj. 有益的；有助于…的
copper,"n. 铜；铜币；警察
adj. 铜制的
vt. 镀铜"
deception,n. 欺骗，欺诈；骗术
delicacy,n. 美味；佳肴；微妙；精密；精美；敏锐，敏感；世故，圆滑
discredit,"n. 怀疑；无信用；名声的败坏
vt. 不信；使……丢脸"
doorstep,n. 门阶
durability,n. 耐久性；坚固；耐用年限
dye,"n. 染料；染色
vt. 染；把…染上颜色
vi. 被染色"
exceedingly,adv. 非常；极其；极度地；极端
exhaustion,n. 枯竭；耗尽；精疲力竭
expressive,adj. 表现的；有表现力的；表达…的
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
footprint,n. 足迹；脚印
fraction,n. 分数；部分；小部分；稍微
generously,adv. 慷慨地；宽大地；丰盛地
healthcare,n. 医疗保健；健康护理，健康服务；卫生保健
hyperactivity,n. 极度活跃；活动过度
icy,adj. 冰冷的；冷淡的；结满冰的
impair,vt. 损害；削弱；减少
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
inconsequential,adj. 不重要的；不合理的；不合逻辑的
independently,adv. 独立地；自立地
inherently,adv. 内在地；固有地；天性地
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
introductory,adj. 引导的，介绍的；开端的
iron,"n. 熨斗；烙铁；坚强
adj. 铁的；残酷的；刚强的
vt. 熨；用铁铸成
vi. 熨衣；烫平"
kidnap,vt. 绑架；诱拐；拐骗
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
lifeline,n. 生命线；救生索
likelihood,n. 可能性，可能
lonely,"adj. 寂寞的；偏僻的
n. 孤独者"
loop,"vi. 打环；翻筋斗
n. 环；圈；弯曲部分；翻筋斗
vt. 使成环；以环连结；使翻筋斗"
magical,adj. 魔术的；有魔力的
magnetic,adj. 地磁的；有磁性的；有吸引力的
massively,adv. 大量地；沉重地；庄严地
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
molecular,adj.  分子的；由分子组成的
naturalize,"vt. 移植；使入国籍；采纳
vi. 归化；加入国籍"
newsletter,n. 时事通讯
omit,vt. 省略；遗漏；删除；疏忽
operational,adj. 操作的；运作的
optimize,"vt. 使最优化，使完善
vi. 优化；持乐观态度"
outrageous,adj. 粗暴的；可恶的；令人吃惊的
oversimplify,"vt. 使…过分地单纯化
vi. 过分地单纯化"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
predictable,adj. 可预言的
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
proclaim,vt. 宣告，公布；声明；表明；赞扬
provoke,vt. 驱使；激怒；煽动；惹起
punctuality,n. 严守时间；正确；规矩
rationally,adv. 理性地；讲道理地
regulatory,adj. 管理的；控制的；调整的
reliability,n. 可靠性
reputational,"信誉的
声誉的"
respectively,adv. 分别地；各自地，独自地
retort,"n. 反驳，顶嘴；曲颈瓶
vi. 反驳，回嘴
vt. 反驳，反击"
revelation,n. 启示；揭露；出乎意料的事；被揭露的真相
scary,adj. （事物）可怕的；恐怖的；吓人的；（人）提心吊胆的；引起惊慌的；胆小的
sceptical,adj. 怀疑的；怀疑论的；习惯怀疑的
segment,"n. 段；部分
vt. 分割
vi. 分割"
settlement,n. 解决，处理； 结算；沉降；殖民
shortcut,n. 捷径；被切短的东西
sightseeing,"n. 观光；游览
v. 观光（sightsee的ing形式）；游览
adj. 观光的；游览的"
similarity,n. 类似；相似点
skillful,adj. 熟练的；巧妙的
skilful,adj. 灵巧的; 熟练的; 技术好的
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
stubborn,adj. 顽固的；顽强的；难处理的
stupidity,n. 愚蠢；糊涂事
