ability,n. 能力，能耐；才能
motivate,vt. 刺激；使有动机；激发…的积极性
motivation,n. 动机；积极性；推动
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
mountainous,adj. 多山的；巨大的；山一般的
mourn,v. 哀悼；忧伤；服丧
mournful,adj. 悲哀的；令人惋惜的
multicultural,adj. 多种文化的；融合或具有多种文化的
multilateral,adj.  多边的；多国的，多国参加的
multilingual,"adj. 使用多种语言的
n. 使用多种语言的人"
multinational,"adj. 跨国公司的；多国的
n. 跨国公司"
multitude,n. 群众；多数
municipal,adj. 市政的，市的；地方自治的
nagging,"adj. 唠叨的；挑剔的；使人不得安宁的
n. 唠叨；挑剔
v. 唠叨（nag的ing形式）"
narration,n. 叙述，讲述；故事
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
nascent,adj. 初期的；开始存在的，发生中的
nationalism,n. 民族主义；国家主义；民族特性
nationalistic,adj. 民族主义的；国家的
necessarily,adv. 必要地；必定地，必然地
necessitate,vt. 使成为必需，需要；迫使
necessity,n. 需要；必然性；必需品
negligent,adj. 疏忽的；粗心大意的
negligible,adj. 微不足道的，可以忽略的
nominee,n. 被任命者；被提名的人；代名人
nominal,"adj. 名义上的；有名无实的； 票面上的
n.  名词性词"
nominate,vt. 推荐；提名；任命；指定
nomination,n. 任命，提名；提名权
nominative,"adj. 主格的；记名的；被提名的
n. 主格"
nonetheless,adv. 尽管如此，但是
normalize,vt. 使正常化；使规格化，使标准化
northernmost,adj. 最北的
notably,adv. 显著地；尤其
noteworthy,adj. 值得注意的；显著的
notorious,adj. 声名狼藉的，臭名昭著的
notwithstanding,"adv. 尽管，仍然
prep. 尽管，虽然
conj. 虽然"
nourish,vt. 滋养；怀有；使健壮
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
numb,"vt. 使麻木；使发愣；使失去感觉
adj. 麻木的；发愣的"
numerical,adj. 数值的；数字的；用数字表示的（等于numeric）
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
obedient,adj. 顺从的，服从的；孝顺的
obedience,n. 顺从；服从；遵守
obese,adj. 肥胖的，过胖的
obesity,n. 肥大，肥胖
oblivious,adj. 遗忘的；健忘的；不注意的；不知道的
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
obsess,vt. 迷住，缠住；使…着迷；使…困扰
obsession,n. 痴迷；困扰； 强迫观念
occasional,adj. 偶然的；临时的；特殊场合的
occupational,adj. 职业的；占领的
offence,n. 犯罪；违反；过错；攻击
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
omission,n. 疏忽，遗漏；省略；冗长
optical,adj. 光学的；眼睛的，视觉的
opt,vi. 选择
optimize,"vt. 使最优化，使完善
vi. 优化；持乐观态度"
optimum,"adj. 最适宜的
n. 最佳效果；最适宜条件"
origin,n. 起源；原点；出身；开端
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
outdate,vt. 使过时；使废弃；使陈旧
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
outflow,"n. 流出；流出量；流出物
vi. 流出"
outlay,"vt. 花费
n.  经费；支出；费用"
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
outreach,"vt. 超越，伸出；超出…的范围
vi. 拓广，延伸
n. 延伸，拓广；扩大服务范围
adj. 扩大服务的"
outset,n. 开始；开端
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界"
outweigh,vt. 比…重（在重量上）；比…重要；比…有价值
overbook,vt. 使过量预订；超额订出
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
overflow,"vi. 溢出；泛滥；充溢
n. 充满，洋溢；泛滥；超值；溢值
vt. 使溢出；使泛滥；使充溢"
overhear,"vt. 无意中听到；偷听
vi. 无意中听到；偷听到"
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
oversee,vt. 监督；审查；俯瞰；偷看到，无意中看到
oversight,n. 监督，照管；疏忽
overstate,vt. 夸张；夸大的叙述
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
overwhelming,"adj. 压倒性的；势不可挡的
v. 压倒；淹没（overwhelm的ing形式）；制服"
pander,"n. 怂恿者；拉皮条者；老鸨
vi. 迎合；勾引；怂恿；拉皮条
vt. 为…拉皮条"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
parental,adj. 父母亲的，父母的；亲代的，亲本的
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
participation,n. 参与；分享；参股
participative,adj. 分担的；由多人一起参加的
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
passivity,n. 被动性；被动结构；无抵抗
pastime,n. 娱乐，消遣
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
partition,"n. 划分，分开； 分割；隔墙；隔离物
vt.  分割；分隔；区分"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
pave,vt. 铺设；安排；作铺设之用
pavement,"n. 人行道
路面"
peel,"n. 皮
v. 剥，剥落；削"
penalty,n. 罚款，罚金；处罚
penalize,vt. 处罚；处刑；使不利
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
perceptual,adj. 知觉的；感知的；有知觉的
perception,n. 知觉； 感觉；看法；洞察力；获取
periodic,adj. 周期的；定期的
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
permissible,adj. 可允许的；获得准许的
permission,n. 允许，许可
perpetual,adj. 永久的；不断的；四季开花的；无期限的
perpetuate,"vt. 使不朽；保持
adj. 长存的"
persecute,vt. 迫害；困扰；同…捣乱
persecution,n. 迫害；烦扰
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
persistent,adj. 固执的，坚持的；持久稳固的
persistence,n. 持续；固执；存留；坚持不懈；毅力
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
persuasion,n. 说服；说服力；信念；派别
persuasive,adj. 有说服力的；劝诱的，劝说的
pessimistic,adj. 悲观的，厌世的；悲观主义的
pervade,vt. 遍及；弥漫
piecework,n. 计件工作
pigment,"n.  色素；颜料
vt. 给…着色
vi. 呈现颜色"
pilgrim,"n. 朝圣者；漫游者；（美）最初的移民
vi. 去朝圣；漫游"
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
plump,"n. 扑通声
adj. 圆胖的，丰满的；鼓起的
vt. 使丰满；使鼓起；突然放下
adv. 沉重地；突然地
vi. 变丰满；鼓起"
plus,"prep. 加，加上
n. 正号，加号；好处；附加额
adj. 正的；附加的"
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
polarization,n. 极化；偏振；两极分化
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
ponderable,"n. 值得考虑的事物
adj. 有重量的；可称量的；有价值的"
ponderance,n. 重量；重要性
ponderation,n. 过磅，称重
popularity,n. 普及，流行；名气；受大众欢迎
populate,vt. 居住于；构成人口；移民于；殖民于
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
portray,vt. 描绘；扮演
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
possession,n. 拥有；财产；领地；自制；着迷
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
postponement,n. 延期；延缓
postponable,adj. 可以延缓的
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
potentiate,"n. 统治者
vt. 加强；赋与力量"
potentiation,n. 增强作用；势差现象
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
procedure,n. 程序，手续；步骤
precedent,"n. 先例；前例
adj. 在前的；在先的"
precedential,adj. 有先例的；优先的
precise,adj. 精确的；明确的；严格的
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
predecessor,n. 前任，前辈
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
prediction,n. 预报；预言
predictive,adj. 预言性的；成为前兆的
predictable,adj. 可预言的
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
premier,"n. 总理，首相
adj. 第一的；最初的"
prestige,n. 威望，声望；声誉
pretext,"n. 借口；托辞
vt. 以…为借口"
prestigious,adj. 有名望的；享有声望的
prevail,vi. 盛行，流行；战胜，获胜
prevailing,"adj. 流行的；一般的，最普通的；占优势的；盛行很广的
v. 盛行，流行（prevail的现在分词形式）；获胜"
prevalent,adj. 流行的；普遍的，广传的
prevalence,n. 流行；普遍；广泛
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
privacy,n. 隐私；秘密；隐居；隐居处
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
privatization,n. 私有化
privatize,vt. 使私有化；使归私有
probable,"n. 很可能的事；大有希望的候选者
adj. 很可能的；可信的"
probability,n. 可能性；机率； 或然率
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
problematic,adj. 问题的；有疑问的；不确定的
proceedings,n. 诉讼；行动（proceeding的复数形式）；会议记录；议程
proclaim,vt. 宣告，公布；声明；表明；赞扬
proclamation,n. 公告；宣布；宣告；公布
profess,"vt. 自称；公开表示；宣称信奉；正式准予加入
vi. 声称；承认；当教授"
profession,n. 职业，专业；声明，宣布，表白
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
profitable,adj. 有利可图的；赚钱的；有益的
profitability,n. 盈利能力；收益性；利益率
profound,adj. 深厚的；意义深远的；渊博的
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
prolong,vt. 延长；拖延
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
prone,adj. 俯卧的；有…倾向的，易于…的
prophet,n. 先知；预言者；提倡者
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
prospective,"n. 预期；展望
adj. 未来的；预期的"
prospection, 预期; 勘探; 探矿
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
provided,"conj. 假如；倘若
v. 提供；给予（provide的过去式）"
provoke,vt. 驱使；激怒；煽动；惹起
prudent,adj. 谨慎的；精明的；节俭的
publicity,n. 宣传，宣扬；公开；广告；注意
publicize,vt. 宣传；公布
punctual,adj. 准时的，守时的；精确的
punctuality,n. 严守时间；正确；规矩
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
pursuable,adj. 可实行的，可追赶的
pursuance,n. 追求；从事；追踪；实行
pursuant,"adj. 依据的；追赶的；随后的
adv. 根据；依照"
purify,"vt. 净化；使纯净
vi. 净化；变纯净"
purity,n.  纯度；纯洁；纯净；纯粹
pursuit,n. 追赶，追求；职业，工作
quantify,"vt. 量化；为…定量；确定数量
vi. 量化；定量"
quantitative,adj. 定量的；量的，数量的
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
questionable,adj. 可疑的；有问题的
questionnaire,n. 问卷；调查表
quota,n. 配额；定额；限额
quotable,adj. 可引用的；适于引用的；有引用价值的
quotation,n.  报价单；引用语；引证
rationalise,"vt. 使合理化
vt.& vi. 为错误的或有害的行为找理由"
realign,vi. 重新排列；再结盟；改组；重组
realistically,adv. 现实地；实际地；逼真地
reap,"vt. 收获，获得；收割
vi. 收割，收获"
reaper,"n. 收割者；收割机；收获者； 死神,死"
reassure,vt. 使…安心，使消除疑虑
reassurance,n. 使安心，再保证
rebound,"n. 回弹；篮板球
v. 重新装订（rebind的过去式和过去分词）
vt. 使弹回
vi. 回升；弹回"
recalcitrant,"n. 顽抗者；不服从的人
adj. 反抗的；反对的；顽强的"
recede,"vi. 后退；减弱
vt. 撤回"
recess,"n. 休息；休会；凹处
vt. 使凹进；把…放在隐蔽处
vi. 休息；休假"
recession,n. 衰退；不景气；后退；凹处
recessive,"adj. 隐性的；逆行的；后退的
n. 隐性性状"
recipe,n. 食谱； 处方；秘诀；烹饪法
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
reckless,adj. 鲁莽的，不顾后果的；粗心大意的
recruiter,n. 招聘人员，征兵人员
reconcile,vt. 使一致；使和解；调停，调解；使顺从
reconciliation,n. 和解；调和；和谐；甘愿
recount,"n. 重算
vt. 叙述；重新计算"
recoverable,adj. 可收回的；可恢复的；可补偿的
rectify,vt. 改正；精馏；整流
rectification,n. 改正，矫正； 精馏； 整流； 求长
rectifiable,"a. 可矫正的, 可精馏的"
rectum,n. 直肠
recuperation,n. 恢复；复原
recur,vi. 复发；重现；采用；再来；循环；递归
recurrence,n. 再发生；循环；重现；重新提起
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
recyclable,adj. 可回收利用的；可再循环的
redecoration,n. 重新装饰；再装饰
redeem,vt. 赎回；挽回；兑换；履行；补偿；恢复
redefine,vt. 重新定义
redistribution,n.  重新分配
redneck,n. 乡下人；红脖子（指美国南方保守的露天劳动者）
redound,"vt. 带来
vi. 有助于；报偿，报应；被转移"
reduction,n. 减少；下降；缩小；还原反应
refinery,n. 精炼厂；提炼厂；冶炼厂
refining,"n. 精炼；改善
v. 精炼（refine的ing形式）"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
reflection,n. 反射；沉思；映象
reflective,adj. 反射的；反映的；沉思的
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
refreshment,n. 点心；起提神作用的东西；精力恢复
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
refute,vt. 反驳，驳斥；驳倒
refutable,adj. 可驳倒的；容易驳倒的
refutation,n. 反驳；驳斥；辩驳
regime,n. 政权，政体；社会制度；管理体制
regiment,"n. 团；大量
vt. 把…编成团；严格地管制"
rehearse,"vt. 排练；预演
vi. 排练；演习"
rehearsal,n. 排演；预演；练习；训练；叙述
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
reinforcement,n. 加固；增援；援军；加强
reinstate,vt. 使恢复；使复原
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
rejection,n. 抛弃；拒绝；被抛弃的东西；盖帽
rejoice,"vi. 高兴；庆祝
vt. 使高兴"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
relevance,n. 关联；适当；中肯
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
reliance,n. 信赖；信心；受信赖的人或物
reliant,adj. 依赖的；可靠的；信赖的
relief,n. 救济；减轻，解除；安慰；浮雕
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
reluctant,adj. 不情愿的；勉强的；顽抗的
reluctance,n.  磁阻；勉强；不情愿
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
renewal,n. 更新，恢复；复兴；补充；革新；续借；重申
renovate,vt. 更新；修复；革新；刷新
renovation,n. 革新；修理；恢复活力
renowned,"v. 使有声誉（renown的过去分词）
adj. 著名的；有声望的"
repay,"vt. 回报；报复；付还
vi. 偿还；报答；报复"
repel,vt. 击退；抵制；使厌恶；使不愉快
repellent,"n. 防护剂；防水布；排斥力
adj. 排斥的；防水的；弹回的；令人讨厌的"
reprehend,"n. 责备
vt. 申斥；指责"
repression,n. 抑制， 压抑；镇压
reproach,"n. 责备；耻辱
vt. 责备；申斥"
resemblance,n. 相似；相似之处；相似物；肖像
resent,vt. 怨恨；愤恨；厌恶
resentful,adj. 充满忿恨的；厌恶的
resentment,n. 愤恨，怨恨
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
reservation,n. 预约，预订；保留
reserved,adj. 保留的，预订的；缄默的，冷淡的，高冷的；包租的
reside,vi. 住，居住；属于
resident,"n. 居民；住院医生
adj. 居住的；定居的"
residence,n. 住宅，住处；居住
residential,adj. 住宅的；与居住有关的
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
resignation,n. 辞职；放弃；辞职书；顺从
resolute,adj. 坚决的；果断的
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
respective,adj. 分别的，各自的
restock,"vt. 重新进货；再储存
vi. 补充货源；补足"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
restrain,vt. 抑制，控制；约束；制止
restraint,n. 抑制，克制；约束
restructure,vt. 调整；重建；更改结构
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
resumption,n. 恢复；重新开始；取回；重获；恢复硬币支付
retain,vt. 保持；雇；记住
retainable,"a. 可保持的, 可保留的, 可记住的, 可聘请的, 可雇用的"
rethink,"n. 重新考虑；反思；新想法
vt. 重新考虑；再想
vi. 重新考虑；再想"
retort,"n. 反驳，顶嘴；曲颈瓶
vi. 反驳，回嘴
vt. 反驳，反击"
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
retrievable,adj. 可取回的；可补偿的；可检索的
retrieval,n. 检索；恢复；取回；拯救
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
revengeful,adj. 深藏仇恨的；燃起复仇念头的
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
retrospective,"n. 回顾展
adj. 回顾的；怀旧的；可追溯的"
reunification,n. 重新统一；重新团结
reunion,n. 重聚；（班级或学校的）同学会，同窗会
reunite,"vi. 重聚；再结合；再联合
vt. 使重聚；使再结合；使再联合"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
reversal,n. 逆转； 反转； 撤销
reversible,"adj. 可逆的；可撤消的；可反转的
n. 双面布料"
revert,"n. 恢复原状者
vt. 使回复原状
vi. 回复；重提；返祖遗传；归还"
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
revivable,"a. 可复生的, 可复活的, 可复兴的"
revival,n. 复兴；复活；苏醒；恢复精神；再生效
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
revolt,"n. 反抗；叛乱；反感
vt. 使反感；使恶心
vi. 反抗；反叛；反感，厌恶"
revolvable,"a. 能旋转的, 能被旋转的"
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
rigorous,adj. 严格的，严厉的；严密的；严酷的
rigour,n. 严格；严厉；苛刻；精确
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
rivalry,n. 竞争；对抗；竞赛
rivalrous,adj. 敌对性的；有竞争性的
rot,"n. 腐烂；腐败；腐坏
vt. 使腐烂；使腐朽；使堕落
vi. 腐烂；腐败；堕落
int. （表示厌恶、蔑视、烦恼等）胡说；糟了"
sabotage,"n. 破坏；破坏活动；怠工
vt. 妨害；对…采取破坏行动
vi. 从事破坏活动"
sacred,adj. 神的；神圣的；宗教的；庄严的
salvation,n. 拯救；救助
salvage,"n. 打捞；海上救助；抢救财货；救难的奖金
vt. 抢救；海上救助"
sanitary,"n. 公共厕所
adj. 卫生的，清洁的"
satanic,找不到解释
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
scant,"adj. 不足的；缺乏的；勉强够的
vt. 减少；节省；限制"
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
scarcely,adv. 几乎不，简直不；简直没有
scarcity,n. 不足；缺乏
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
scattered,adj. 分散的；散乱的
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
scoff,"n. 嘲笑；愚弄；笑柄
vt. 嘲笑；嘲弄；贪婪地吃
vi. 嘲笑；嘲弄；狼吞虎咽"
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
scramble,"n. 抢夺，争夺；混乱，混乱的一团；爬行，攀登
vi. 爬行，攀登；不规则地生长；仓促行动
vt. 攀登；使混杂，仓促凑成；扰乱"
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
securities,n.  有价证券；担保；抵押物（security的复数）；保证人
sediment,n. 沉积；沉淀物
seduction,n. 诱惑；魅力；（复数）诱惑物
seemingly,adv. 看来似乎；表面上看来
seep,"n. 小泉；水陆两用的吉普车
vi. 漏；渗出"
seethe,"n. 沸腾；感情等的迸发
vt. 使浸透；使煮沸
vi. 沸腾；冒泡；激动"
segment,"n. 段；部分
vt. 分割
vi. 分割"
segmental,adj. 部分的
segmentation,n. 分割；割断；细胞分裂
segregate,vt. 使隔离；使分离；在…实行种族隔离
segregation,n. 隔离，分离；种族隔离
segregative,adj. 分离的，易分离的，不喜欢交际的
seismic,adj. 地震的；因地震而引起的
selected,adj. 挑选出来的
selectivity,n. 选择性；分离性；选择度
self-driven,a. 自动的
semantically,adv. 语义地
seminal,"adj. 种子的；精液的；生殖的
adj. 有创造力的，对未来有影响的；重大的"
senator,n. 参议员；（古罗马的）元老院议员；评议员，理事
seniority,n. 长辈；老资格；前任者的特权
sensation,n. 感觉；轰动；感动
sensational,adj. 轰动的；耸人听闻的；非常好的；使人感动的
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
sensibly,adv. 明显地；容易感知地；聪明地
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
sentiment,n. 感情，情绪；情操；观点；多愁善感
sentimental,adj. 伤感的；多愁善感的；感情用事的；寓有情感的
setback,n. 挫折；退步；逆流
shake-up,n. 动摇；剧变；振作；权宜之计；人事改组
shareholder,n. 股东；股票持有人
shortfall,n. 差额；缺少
shrewd,"n. 精明（的人）；机灵（的人）
adj. 精明的；狡猾的；机灵的"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
shrinkage,n. 收缩；减低
shutter,"n. 快门；百叶窗；关闭物；遮板
vt. 为…装百叶窗；以百叶窗遮闭"
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
similarity,n. 类似；相似点
simplification,n. 简单化；单纯化
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
simulation,n. 仿真；模拟；模仿；假装
simulative,adj. 模拟的；假装的
simulated,"adj. 模拟的；模仿的；仿造的
v. 模仿（simulate的变形）；假装"
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
single-minded,adj. 专心的；纯真的；真诚的；率直的
singular,"n. 单数
adj. 单数的；单一的；非凡的；异常的"
situate,"adj. 位于…的
vt. 使位于；使处于"
sizable,adj. 相当大的；大小相当的
skeptical,adj. 怀疑的；怀疑论的，不可知论的
skyrocket,"n. 流星烟火；冲天火箭
vi. 飞涨，突然高升
vt. 使…猛然上涨"
slack,"n. 煤末；峡谷
adj. 松弛的；疏忽的；不流畅的
vt. 放松；使缓慢
adv. 马虎地；缓慢地
vi. 松懈；减弱"
slaught, 屠杀；杀器
slaughter,"n. 屠宰，屠杀；杀戮；消灭
vt. 屠宰，屠杀；杀戮；使惨败"
slippery,adj. 滑的；狡猾的；不稳定的
slowdown,n. 减速；怠工；降低速度
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
smuggle,"vt. 走私；偷运
vi. 走私，私运；偷带"
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
socialize,"vt. 使社会化；使社会主义化；使适应社会生活
vi. 交际；参与社交"
sociologist,n. 社会学家
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
spacious,adj. 宽敞的，广阔的；无边无际的
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
specialization,n. 专门化；特殊化；特化作用
specialized,"adj. 专业的；专门的
v. 专攻（specialize的过去分词）；使…专门化；详细说明"
