state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
integration,n. 集成；综合
integrated,"adj. 综合的；完整的；互相协调的
v. 整合；使…成整体（integrate的过去分词）"
disintegrate,"vi. 瓦解；碎裂；衰变
vt. 使分解；使碎裂；使崩溃；使衰变"
integrate with,"v. 结合起来
 使与…结合；结合在一起；与人交往"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
highly,adv. 高度地；非常；非常赞许地
extremely,adv. 非常，极其；极端地
exceedingly,adv. 非常；极其；极度地；极端
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
at short notice,"na. 在短时间内；临时；一收到通知就…
 只给很少时间准备；提前很短时间通知；一得到通知"
on short notice,"na. 忽然；急忙；“at/on short notice”的变体
 一接到通知就；在很短的时间内；临时通知"
take notice of,"v. 注意；理会；留心
 注意到；在意；睬"
advertisement,n. 广告，宣传
detect,vt. 察觉；发现；探测
obtain,"vi. 获得；流行
vt. 获得"
obtainable,adj. 能得到的
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
derive,"vt. 源于；得自；获得
vi. 起源"
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
be characterized by,"na. 有…的(显著)特点
 以…为特征；的特点在于；典型代表了"
portray,vt. 描绘；扮演
depict,vt. 描述；描画
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
on the decline,"na. 没落；在低落中；在衰退中
 走下坡路；在衰落；在下降"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
formula,n.  公式，准则；配方；婴儿食品
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
performer,n. 演出者；执行者；演奏者
performance,n. 性能；绩效；表演；执行；表现
performative,"n. 述行成分，述行语
adj. 表述行为的"
formation,n. 形成；构造；编队
reformatory,"n. 少年管教所；妓女教养所
adj. 改革的；感化的；革新的"
informed,"v. 通知；使了解；提供资料（inform的过去分词）
adj. 消息灵通的；见多识广的"
informative,adj. 教育性的，有益的；情报的；见闻广博的
informally,adv. 非正式地；不拘礼节地
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
conformity,n. 一致，适合；符合；相似
nonconformist,"n. 不顺从一般公认信念习惯的人；不属于圣公会的英国基督教徒
adj. 不墨守成规的；不顺从一般公认信念习惯的；不信奉国教的"
transformation,n.  转化；转换；改革；变形
formulate,vt. 规划；用公式表示；明确地表达
formulation,n. 构想，规划；公式化；简洁陈述
informativeness,n. 信息量；忠实度
uninformed,adj. 无知的；未被通知的；未受教育的；不学无术的
misinformation,n. 误报；错误的消息
uniformity,n. 均匀性；一致；同样
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
vastly,adv. 极大地；广大地；深远地
devastating,"adj. 毁灭性的；全然的
v. 摧毁（devastate的ing形式）；毁坏"
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
effectiveness,n. 效力
effectively,adv. 有效地，生效地；有力地；实际上
ineffectual,"n. 无用的人；无一技之长者
adj. 无效的，不起作用的；徒劳无益的"
ineffective,adj. 无效的，失效的；不起作用的
efficient,adj. 有效率的；有能力的；生效的
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
testify,"vi. 作证；证明
vt. 证明，证实；作证"
verify,vt. 核实；查证
confirm,vt. 确认；确定；证实；批准；使巩固
affirm,"vt. 肯定；断言
vi. 确认；断言"
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置"
underlie,vt. 成为……的基础；位于……之下
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
lie in,"na. 存在于；(分娩后)坐月子
 位于；睡懒觉；躺在"
lie with sb.,找不到解释
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
puzzlement,n. 迷惑；费解
puzzled,adj. 困惑的；茫然的；搞糊涂的
confuse,vt. 使混乱；使困惑
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
satisfied,"v. 使满意（satisfy的过去式）
adj. 感到满意的"
dissatisfied,"v. 使不满（dissatisfy的过去式和过去分词）
adj. 不满意的；不高兴的；流露不满的"
dissatisfaction,n. 不满；令人不满的事物
be satisfied with,"v. 满足于
 对……感到满意；对……满意；对……表示满意或满足"
be dissatisfied with,"na. 不满于
 对……不满；对……不满意"
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
stock price,"n. 股价
 股票价格；正股价格；目前股票的股价"
stock market,"n. 股市；证券交易（所）；股票交易（所）
 股票市场；证券市场；牲畜市场"
laughing stock,"n. 笑柄；笑料
 成了笑料；笑柄酒园；的笑柄"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
controversy,n. 争论；论战；辩论
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
equally,adv. 同样地；相等地，平等地；公平地
equate,"vt. 使相等；视为平等
vi. 等同"
equality,n. 平等；相等； 等式
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
frequently,adv. 频繁地，经常地；时常，屡次
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
repeatedly,adv. 反复地；再三地；屡次地
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
universe,n. 宇宙；世界；领域
universally,adv. 普遍地；人人；到处
university,n. 大学；综合性大学；大学校舍
universalize,vt. 使普遍化，使一般化
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
deprive,vt. 使丧失，剥夺
emotion,n. 情感；情绪
emotional,adj. 情绪的；易激动的；感动人的
sentiment,n. 感情，情绪；情操；观点；多愁善感
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
mood,n. 情绪，语气；心境；气氛
disposition,n. 处置； 性情； 部署；倾向
modify,"vt. 修改，修饰；更改
vi. 修改"
mode,n. 模式；方式；风格；时尚
modification,n. 修改，修正；改变
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
recast,"n. 重铸；重做的事物
vt. 重铸；彻底改动"
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
network,n. 网络；广播网；网状物
intranet,n. 内联网；企业内部网
Internet-based,找不到解释
philosopher,n. 哲学家；哲人
philosophy,n. 哲学；哲理；人生观
philosophical,adj. 哲学的（等于philosophic）；冷静的
poetry,n. 诗；诗意，诗情；诗歌艺术
poet,n. 诗人
remains,n. 残余；遗骸
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
remaining,adj. 剩下的，剩余的
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
well-balanced,adj. 匀称的；神智健全的；通情达理的；明智的
counterbalance,"n. 平衡力；自动抵销
vt. 使平衡；抵消"
level off,"na. 弄平；达到同一水准；(物价等)稳定；(飞机降落前)水平飞行
 达到平衡；平整；趋向平稳"
break even,"na. 扯平；不赔不赚；(球赛)不分胜负
 收支平衡；收支相抵；不赚不赔"
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
stabilize,"vt. 使稳固，使安定
vi. 稳定，安定"
elite,n. 精英；精华；中坚分子
elitism,n. 精英主义；杰出人物统治论
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
entrepreneur,n. 企业家；承包人；主办者
colony,n. 殖民地；移民队；种群；动物栖息地
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
comply,vi. 遵守；顺从，遵从；答应
complicate,vt. 使复杂化；使恶化；使卷入
complicated,adj. 难懂的，复杂的
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
in contact with,"prep. 和…联系
 和……联系；接触；与…联系"
historian,n. 历史学家
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
inherent,adj. 固有的；内在的；与生俱来的，遗传的
privilege,"n. 特权；优待
vt. 给与…特权；特免"
privileged,"adj. 享有特权的；有特别恩典的
v. 给予…特权；免除（privilege的过去分词）"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
description,n. 描述，描写；类型；说明书
describe,vt. 描述，形容；描绘
definition,n. 定义； 清晰度；解说
picture,"n. 照片，图画；影片；景色；化身
vt. 画；想像；描写"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
admission,n. 承认；入场费；进入许可；坦白；录用
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
adoptive,adj. 采用的；有收养关系的
crucial,adj. 重要的；决定性的；定局的；决断的
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
decisive,adj. 决定性的；果断的，坚定的
overriding,"adj. 高于一切的，最重要的
v. 践踏；压垮；不顾（override的ing形式）"
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
quotation,n.  报价单；引用语；引证
cite,vt. 引用；传讯；想起；表彰
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
restoration,n. 恢复；复位；王政复辟；归还
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
enable,vt. 使能够，使成为可能；授予权利或方法
empower,vt. 授权，允许；使能够
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
strive for,"v. 争取；奋发图强；收下
 为…而奋斗；为…奋斗；力求"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
agenda,n. 议程；日常工作事项；日程表
flexible schedule, 弹性时间表；弹性上课时段；灵活作业计划
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
context,n. 环境；上下文；来龙去脉
exert,vt. 运用，发挥；施以影响
impose sth. on,"v. 强迫；欺骗
 把…强加于；施加影响于；利用"
option,n.  选项；选择权；买卖的特权
optional,"adj. 可选择的，随意的
n. 选修科目"
opportunity,n. 时机，机会
exception,n. 例外；异议
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
durable,"n. 耐用品
adj. 耐用的，持久的"
trait,n. 特性，特点；品质；少许
attribute,"n. 属性；特质
vt. 归属；把…归于"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
peculiarity,n. 特性；特质；怪癖；奇特
cater,vt. 投合，迎合；满足需要；提供饮食及服务
cater for,"un. 备办食物:；凑合
 迎合；投合；满足"
cater to,"v. 迎合
 投合；满足某种需要或要求；满足……的需要"
capable,adj. 能干的，能胜任的；有才华的
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
reliant,adj. 依赖的；可靠的；信赖的
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
extremely,adv. 非常，极其；极端地
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
imply,vt. 意味；暗示；隐含
simply,adv. 简单地；仅仅；简直；朴素地；坦白地
indicate,vt. 表明；指出；预示；象征
infer,"vi. 推断；作出推论
vt. 推断；推论"
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
exhibition,n. 展览，显示；展览会；展览品
be exposed to, 暴露于；面临；暴露在
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
eventually,adv. 最后，终于
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
finally,adv. 最后；终于；决定性地
ultimately,adv. 最后；根本；基本上
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
psychology,n. 心理学；心理状态
typical,adj. 典型的；特有的；象征性的
typically,adv. 代表性地；作为特色地
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
various,adj. 各种各样的；多方面的
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
varied,"v. 改变；使多样化（vary的过去式和过去分词形式）
adj. 多变的；各式各样的；杂色的"
variety,n. 多样；种类；杂耍；变化，多样化
varying,"adj. 不同的；变化的
v. 变化，改变（vary的现在分词）"
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
variation,n. 变化； 变异，变种
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
unfamiliar,adj. 不熟悉的；不常见的；没有经验的
be familiar with,"na. 精通；同…相好
 熟悉；对…熟悉；对…而熟悉"
be proficient in,"v. 精通
 熟练…；熟练掌握；技术熟练"
be adept at,"na. 善于
 擅长；精通；擅长于"
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
downshift,"n. 换低速档
vt. 使…调低速挡；使工作降格
vi. 调低速档；工作降格"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
alter,"vt. 改变，更改
vi. 改变；修改"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
though,"conj. 虽然；尽管
prep. 但
adv. 可是，虽然；不过；然而"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
radically,adv. 根本上；彻底地；以激进的方式
sufficient,adj. 足够的；充分的
adequate,adj. 充足的；适当的；胜任的
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
abundant,adj. 丰富的；充裕的；盛产
ample,adj. 丰富的；足够的；宽敞的
extent,n. 程度；范围；长度
extension,n. 延长；延期；扩大；伸展；电话分机
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
extended,"v. 延长；扩充（extend的过去分词）
adj. 延伸的；扩大的；长期的；广大的"
extensive,adj. 广泛的；大量的；广阔的
to some extent,"na. 在某种程度上
 在一定程度上；从某种程度上讲；从某种程度来讲"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
guaranteed,"v. 担保（guarantee的过去式和过去分词）
adj. 有保证的，；有人担保的"
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
convention,n. 大会； 惯例； 约定； 协定；习俗
conventional,adj. 符合习俗的，传统的；常见的；惯例的
unconventional,adj. 非常规的；非传统的；不依惯例的
expectation,n. 期待；预期；指望
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
unexpected,adj. 意外的，想不到的
expectancy,n. 期望，期待
meet the expectation,找不到解释
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
acceptance,n. 接纳；赞同；容忍
clothe,vt. 给…穿衣；覆盖；赋予
clothes,n. 衣服
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
norm,n. 标准，规范
numerous,adj. 许多的，很多的
numerical,adj. 数值的；数字的；用数字表示的（等于numeric）
orchestra,n. 管弦乐队；乐队演奏处
privacy,n. 隐私；秘密；隐居；隐居处
illusion,n. 幻觉，错觉；错误的观念或信仰
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
pursuit,n. 追赶，追求；职业，工作
insist,"vi. 坚持，强调
vt. 坚持，强调"
insistence,n. 坚持，强调；坚决主张
consist in,"v. 在于
 存在于；主要在于；存在于…中"
consist of,"v. 由…合成
 由……组成；由…构成；包括"
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
persevere,vi. 坚持；不屈不挠；固执己见（在辩论中）
uphold,vt. 支撑；鼓励；赞成；举起
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
previously,adv. 以前；预先；仓促地
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
remind,vt. 提醒；使想起
reminder,n. 暗示；提醒的人/物；催单
remind sb. of ...,找不到解释
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
chronic,adj. 慢性的；长期的；习惯性的
whereas,conj. 然而；鉴于；反之
elsewhere,adv. 在别处；到别处
wise,"adj. 明智的；聪明的；博学的
vt. 使知道；教导
vi. 了解"
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
likewise,adv. 同样地；也
wisely,adv. 明智地；聪明地；精明地
prudent,adj. 谨慎的；精明的；节俭的
acknowledge,vt. 承认；答谢；报偿；告知已收到
knowledge,n. 知识，学问；知道，认识；学科
knowledgeable,adj. 知识渊博的，有知识的；有见识的；聪明的
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
announcement,n. 公告；宣告；发表；通告
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
proclaim,vt. 宣告，公布；声明；表明；赞扬
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
combine with,"na. 和…结合；与…化合
 与…结合；联合；与…混合"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
ghost,"n. 鬼，幽灵
vt. 作祟于；替…捉刀；为人代笔
vi. 替人代笔"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
hostility,n. 敌意；战争行动
hostage,n. 人质；抵押品
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
military intelligence,"na. 军事情报；军事情报工作
 军事情报学；军事情报局；军情"
armed,adj. 武装的；有扶手的；有防卫器官的（指动物）
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
alternatively,adv. 非此即彼；二者择一地；作为一种选择
procedure,n. 程序，手续；步骤
working procedure,"un. 工序；运行程序
 工作程序；工作流程；作业流程"
starting procedure,"un. 启动程序；启动过程
 起动程序；发车程序；起动过程"
loading procedure, 装载过程；加载程序；装料程序
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
recommendation,n. 推荐；建议；推荐信
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
masterpiece,n. 杰作；绝无仅有的人
mastery,n. 掌握；精通；优势；征服；统治权
be proficient in,"v. 精通
 熟练…；熟练掌握；技术熟练"
be adept at,"na. 善于
 擅长；精通；擅长于"
be good at,"v. 善于
 擅长；擅长于；擅长做某事"
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
outpouring,"n. 流露；流出；倾泄
v. 使流出（outpour的ing形式）"
pour into, 不断地流进; 注入; 灌注; 倾注
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
strength,n. 力量；力气；兵力；长处
bury,vt. 埋葬；隐藏
bury one's head in the sand,"na. 逃避现实
 把头埋在沙里；自欺欺人；掩耳盗铃"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
celebrity,n. 名人；名声
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
disaster,n. 灾难，灾祸；不幸
catastrophe,n. 大灾难；大祸；惨败
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
oriented,"adj. 导向的；定向的；以…为方向的
v. 调整；使朝向（orient的过去分词）；确定…的方位"
prevail,vi. 盛行，流行；战胜，获胜
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
request,"n. 请求；需要
vt. 要求，请求"
question,"n. 问题，疑问；询问；疑问句
vt. 询问；怀疑；审问
vi. 询问；怀疑；审问"
unquestioned,adj. 无争议的；不成问题的；无需调查的
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
rearing,"n. 饲养；养育；抚养
v. 抚养；建立（rear的ing形式）；竖起"
reap,"vt. 收获，获得；收割
vi. 收割，收获"
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
specialize in,"v. 专攻；专门研究
 专营；专门经营；专门从事"
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
fragile,adj. 脆的；易碎的
brittle,adj. 易碎的，脆弱的；易生气的
ambiguous,adj. 模糊不清的；引起歧义的
unambiguous,adj. 不含糊的；清楚的；明白的
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
opaque,"adj. 不透明的；不传热的；迟钝的
n. 不透明物
vt. 使不透明；使不反光"
vague,adj. 模糊的；含糊的；不明确的；暧昧的
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
paramount,"n. 最高统治者
adj. 最重要的，主要的；至高无上的"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
climax,n. 高潮；顶点；层进法；极点
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
suspension,n. 悬浮；暂停；停职
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
subsidy,n. 补贴；津贴；补助金
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
in a rage,"na. 一怒之下
 在愤怒中；发怒；盛怒"
fury,n. 狂怒；暴怒；激怒者
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
eliminate,vt. 消除；排除
elimination,n. 消除；淘汰；除去
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
faraway,adj. 遥远的；恍惚的
farther,"adj. 进一步的；更远的（far的比较级）
adv. 更远地；此外；更进一步地"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
immune to, 不受影响的；不受影响；有免疫力的
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
implementation,n.  实现；履行；安装启用
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
expansion,n. 膨胀；阐述；扩张物
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
outlay,"vt. 花费
n.  经费；支出；费用"
expenditure,n. 支出，花费；经费，消费额
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
advisable,adj. 明智的，可取的，适当的
practically,adv. 实际地；几乎；事实上
practicality,n. 实用性，实际性；实际，实例
practical experience,"na. 实际经验
 实践经验；实务经验；实战经验"
realistic,adj. 现实的；现实主义的；逼真的；实在论的
intention,n. 意图；目的；意向；愈合
intentionally,adv. 故意地，有意地
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
reasonable,adj. 合理的，公道的；通情达理的
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
reasonably,adv. 合理地；相当地；适度地
