a bunch of,"det. 一束
 一群；一堆；一串"
remind sb. of,"v. 提醒
 使记起；想起；使想起"
remind sb. that, 从句
reply to,"v. 答复；回答
 回复；答复某人；特此回信"
report sth. to sb.,找不到解释
require to do sth.,找不到解释
result from,"v. 由于
 由...产生；起因于；由…引起"
result in,"na. 终于(失败)
 导致；结果是；造成"
return sth. to sb.,找不到解释
return to,"v. 回到；返回；还给；降到
 返回到；恢复；回来"
return to normal,"un. 恢复正常
 回复正常；恢复常态；回归正常"
right away,"na. 立刻
 马上；立即；立即，马上"
right now,"na. 目前；方才
 现在；马上；立刻"
ring back,"v. 回电话
 再打电话；回复电话；回电话给"
ring off,"na. 挂断电话；停止说话；静默
 挂电话；不要挂断电话；挂到电话"
rob sb. of sth.,找不到解释
rot away,"na. “rot”的变体；“rot off”的变体
 腐烂；烂掉；逐渐腐烂"
round the clock,"na. 昼夜不停；整天整夜；昼夜不停地
 夜以继日的；日夜不停地；连续一整天"
run about,"v. 跑来跑去
 到处跑；乱跑；到处乱跑"
run around,"v. 到处跑
 东奔西跑；寻花问柳；跑来跑去"
run at a speed of ...,找不到解释
run at top speed,找不到解释
run in,"na. 跑进；(火车)进站；流入；注入
 试车；磨合；插入"
run off,"na. 逃走；流出；(火车等)出轨；越轨
 跑掉；跑掉，逃掉；复印"
run out,"na. 耗尽；用光；过有效期；失效
 用完；用尽；到期"
run out of sth.,找不到解释
run short,"na. 用完；缺乏
 快用完；耗尽；短缺"
rush hour,"n. (上,下班的)高峰期
 尖峰时刻；高峰时间；尖峰时间"
safe and sound,"na. 平安无恙
 安然无恙；平安无事；安全"
satisfy one's needs,找不到解释
satisfy one's demands,找不到解释
satisfy one's requirements,找不到解释
save sth. for,找不到解释
say hello to sb.,找不到解释
say to oneself,心里想到
search for,"na. 寻找；寻求；探求
 搜寻；搜索；搜查"
search ... for ...,找不到解释
see around, 看见什么在附近；回头见；参观
see off,"na. 送行；送别；告别；赶走
 给…送行；为…送行；给某人送行"
seek for,"na. 求；寻求；探究
 寻找；追求；企求"
seek the sun,找不到解释
self-trust,n. 自信，自恃
sell well,"na. 易于销售
 畅销；好卖；卖得好"
send away,"na. 撵走；开除；解雇；把…送到远处
 赶走；送走；打发走"
send back,"na. 送回
 退还；退回；遣送"
send for,"na. 派人去叫；遣人去拿；乞求
 派人去请；派人去请，召唤；派人去拿"
send off,"na. 寄出；发出；送走；打发
 为…送行；给……送行；送别"
send out,"na. “send forth”的变体
 发出；派遣；发送"
send up,"na. 弄上去；使上升；提出(报告等)；传递(球等)
 发射；发出；往上送"
sentence sb. to death, 判死刑；被判死刑；判处…死刑
separate ... from ...,找不到解释
set a good example to sb.,找不到解释
set about doing, 着手做某事；开始做；着手干
set aside,"na. 搁置；拨出；驳回
 留出；取消；挑出，留出"
set fire to sth.,找不到解释
set in,"na. 固定；停当；涨潮；进来
 开始；来临；插入"
set off for, 出发；出发去；动身前往
set out for, 动身到某地；出发前往；出发去
set out to do, 着手做；着手做某事；开始做
set phrases, 成语；固定短语；固定词组
set sb. free,找不到解释
set up,"na. 建立；创立；发起；开办
 设立；设置；成立"
set up a record,找不到解释
settle down,"na. 定居；成家；移居；平静下来
 安下心来；安定下来；安顿下来"
settle oneself,"安顿下来,定居;卧倒,躺下"
settle the problem,找不到解释
shake hands with sb.,找不到解释
share ... with sb.,找不到解释
shift round the clock,找不到解释
shock the whole world,找不到解释
shoot at,"na. 力争；切望
 向……射击；朝…射击；瞄准"
should have done, 本应该做；表应该做而未做；原本该做但是没做
shout at sb.,找不到解释
shout to sb.,找不到解释
show off,"na. 卖弄；自以为是；趾高气扬；炫耀
 出风头；摆谱儿；使显眼"
show one's respect to sb.,找不到解释
show sb. around,"v. 带…参观
 带……参观；四处参观；领…参观"
since then,"na. 以后；从此一直
 从那时起；自从那以后；自从那时起"
sing high praise for,"为…高唱赞歌,歌颂,赞颂…"
slip out,"un. 穿上；通过；伸到；一溜烟走出
 悄悄地溜出去；被溜走；悄悄溜出去"
smooth away,"na. 排除；调停；粉饰
 克服；消除；解决"
so as to,"na. (= in order to) 以便；为使
 为了；为的是；使得"
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
 到目前为止；迄今为止；至今"
"So far as I know, ...",找不到解释
"So far as I see, ...",找不到解释
so that,"conj. 因此；以便
 为了；以致；以便于"
so ... that ...,找不到解释
solve the problem, 解决问题；解决问题难者；解决难题
some time,"na. 早晚；一段时间
 一些时间；经过若干时间；在未来的某时"
some times, 几次；好几次；数次
someone else's,找不到解释
someone else's book,找不到解释
something as follows,找不到解释
sooner or later,"na. 迟早；早晚
 迟早会的；或迟或早；迟早有一天"
speak highly of sb.,找不到解释
speak in a high voice,找不到解释
speak in a low voice,找不到解释
speed up,"na. 加快(机器等的)速度；使加紧做
 加速；加快速度；增加速度"
spend time in doing,找不到解释
spend time on sth.,找不到解释
spit out,"na. 同“spit”
 吐出；吐出来；中吐出"
stand for,"na. 忍耐；忍受；主张；拥护
 代表；象征；代替"
stand on end,"v. 竖立起来
 竖着放；直立；竖起来"
stand still,"na. 站住；搁置不动
 站着不动；静止；站着别动"
stare at,"na. 瞪着看
 凝视；盯着；盯着看"
start a fire, 点火；生火；引起火灾
start doing, 开始做某事；开始做某事，两者无区别；都可以表示开始做某事
start for,"na. 动身
 出发；动身去；往…出发"
start to do, 开始做某事；都可以表示开始做某事；开始做某事，两者无区别
stay silent,找不到解释
stay still,"v. 静止不动
 呆着别动；一直呆着；保持不动"
stay up,"na. 不去睡觉；不沉
 熬夜；不睡觉；熬夜，不睡觉"
step by step,"na. 一步一步；切切实实
 逐步地；循序渐进；一步一步地"
step into,"v. 走进
 单步执行；步入；单步进入"
step onto,找不到解释
sth. cost sb. some money,找不到解释
sth. happen to sb.,找不到解释
sth. last some time,找不到解释
stick in, 坚持; 把…放入…; 将…刺入…; 把某物贴在…内
stick to,"na. 忠于
 坚持；粘住；遵守"
stop doing sth.,找不到解释
stop sb. doing sth.,找不到解释
stop sb. from doing sth.,找不到解释
store up,"na. 贮藏；记住
 储存；收藏；蓄积"
strictly speaking,"na. 严格地讲
 严格地说；严格来说；严格的说"
strike a match,"na. 擦火柴
 划火柴；划一根火柴；擦根火柴"
struggle against,"v. 反对
 同……作斗争；与…作斗争；和…斗争"
struggle for,"v. 争取
 为…而斗争；为…奋斗；为……斗争"
struggle to one's feet,挣扎着站立起来
struggle with, 与…斗争；与…作斗争；和…斗争
succeed in doing sth.,找不到解释
such as,"un. 例如；像；象…这样；诸如…之类
 比如；像这种的；像……那样的"
suffer from, 患（某种病），受（某种病痛）折磨; 因…而受罚; 闹; 罹
suggest doing ...,找不到解释
suggest sth.,找不到解释
suggest to sb. sth.,找不到解释
supply sb. with sth.,找不到解释
supply sth. to sb.,找不到解释
swim to ...,找不到解释
switch off,"na. 不收听(某一广播)
 关掉；切断；关闭"
take a deep breath,"na. 行深呼吸
 深吸一口气；做深呼吸；作深呼吸"
take a message for sb.,找不到解释
take a message to sb.,找不到解释
take a rest,"na. 休息一下
 休息一会儿；休息一下吧；暂停活动，以恢复精神体力"
take a seat,"na. 坐下
 请坐；就座；就坐"
take after,"na. 尾随；仿效；像
 象；长得像；与相像"
take along, 携带；随身带着；随身携带
take around, 领四处参观；领某人四处参观；带人参观
take ... as ...,找不到解释
take aside,v. 把…叫到一旁
take away,"adj. 买回去的
 拿走；带走；外带"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
 取消；取回；拿回来"
take care,"v. 当心；留心
 保重；小心；注意"
take control of, 控制；掌管；取得对……的控制
take down,"na. 扯下；卷起；记下；卸下
 拿下；取下；拆卸"
take ... for ...,找不到解释
take ... for example,找不到解释
take in,"na. 加以考虑；访问；收进；收容
 欺骗；吸收；接受"
take it easy,"na. “take things easy”的变体
 别紧张；别着急；放轻松"
take it for granted that ...,找不到解释
take measures,"na. 测定
 采取措施；采取措施例句；采取行动"
take no notice of,"na. 不采取应有的措施
 不注意；置之不理；不理会"
take notes,"na. 做记录
 记笔记；做笔记；作笔记"
take notice,"na. 注意；(幼儿)；开始了解事物
 关心事物；请注意；是固定词组"
take off,"v. (飞机)起飞；出去；拿掉；移送
 脱下；脱掉；脱去"
take office,"na. 就职
 上任；就任；走马上任"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
 承担；雇用；雇佣"
take one's attention,找不到解释
take one's exam,找不到解释
take one's leave, 告辞；作别；离开
take one's time,"na. 从容
 慢慢来；从容不迫；不急"
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
 拿出；去掉；拿出来"
take out of,"na. 除去；要赔偿；报仇
 取出；把……从……拿出来；领出"
take over,"na. 接管；继承
 接收；接任；接替"
take part in,"na. 参加；贡献
 参与；参加活动；参与…活动"
take an active part in,"na. 积极参加
 积极参与；积极参加某事；积极参加活动"
take photographs of,找不到解释
take pity on,"na. 因可怜…
 怜悯；怜惜；好生怜惜"
take mercy on,对…表示怜悯
take place,"na. 发生；举行
 产生；多指通过人为安排的发生；进行"
take pride in,"na. 以…自豪；对…感到满意
 对…感到自豪；以……为自豪；骄傲"
take sb. up to ...,找不到解释
take ... seriously,"na. 重视；认真(想)；当真
 认真对待；认真看待；高度重视"
take sides in, 站在…一边；偏袒；站在某某一边
take sides with,"v. 袒护；拥护
 偏袒；站在……一边；左右袒"
take the place of,"na. 接替某人的位置
 代替；取代；替代"
take to,"na. 嗜好；开始；参加；逃入
 喜欢；从事；喜爱"
take turns to do sth.,找不到解释
take two more pills,找不到解释
take up,"na. 拿起；举起；拾起；给搭(火车等)
 占据；从事；开始"
talk to oneself,"na. 自言自语
 自己对自己说；自言自语地说；喃喃自语"
talk of,"na. 讲；说要
 谈论；谈到；议论"
tear oneself away from,"na. 忍痛离开…而去；挣开
 爱不释手；免强离开；忍痛舍去"
tell lies,"v. 说谎
 撒谎；妄语；讲假话"
tell a lie,"v. 说谎
 撒谎；说谎话；说慌"
tell the difference between ... and ...,找不到解释
tend to do, 倾向于做某事；倾向去做某事；倾向做某事
tens of thousands of, 数以万计；成千上万；几万
thanks ... for ...,找不到解释
thanks to,"v. 感谢；幸亏；多亏
 由于；多亏了；归功于"
That is ...,找不到解释
That is to say ...,找不到解释
the answer to the question,找不到解释
the key to the question,找不到解释
the attitude to sth.,找不到解释
the attitude towards sth.,找不到解释
the ban on sth.,找不到解释
the ban on doing,找不到解释
the cost of living,"n. 生活费用
 生活的费用；生活的代价；生活成本"
the damage to,"n.对...的损伤,对...损害"
the entrance to,找不到解释
the first time to do,找不到解释
the key to, 的答案；的关键；的钥匙
the level of the sea,找不到解释
the lines of the play,找不到解释
the majority,"n. 多数
 大多数；大多数人；多数党"
the majority of,"adj. 大多数
 大部分；大多数的；的大多数"
"the more ..., the more ...",找不到解释
the other day,"na. 上回
 前几天；几天前；几天以前"
the other, 他者；另一个；其他
the others, 小岛惊魂；其他；其他人
the reason for sth.,找不到解释
The reason why ... is that ...,找不到解释
the rest of,"adj. 其余
 其余的；剩下的；剩余的"
the road to, 通向……之路；到…的路；公开讲座
the same as,"adj. 与…同样
 与…相同；与…一样；和……相同"
the students' union,找不到解释
the way to, 去……的路；到哪的路；到……的路
There is no doubt that ...,找不到解释
There is no need to do ...,找不到解释
There is no point in doing sth.,找不到解释
There is no trouble in doing ...,找不到解释
There seem to be ...,找不到解释
There seems to be ...,找不到解释
There used to be ...,找不到解释
think about,"un. 思考；探讨；为…费心思；想像
 考虑；回想；思索"
think highly of,"na. 尊重；评价极高
 看重；器重；高度评价"
think of sb. as,找不到解释
think of sth.,找不到解释
think of sb.,找不到解释
think of doing,"有...的看法, 对...有某种看法, 考虑...是否适合..."
think over,"v. 仔细考虑
 仔细思考；仔细考虑一下；再三考虑"
think well of sb.,找不到解释
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
 扔掉；丢弃；丢掉"
throw up,"na. 呕吐；抛上；急造；丢弃
 吐出；抛起；举起"
tie ... to ...,找不到解释
time and time again,"na. 常常；反复
 一次又一次；一次次；多次"
times as big as ...,找不到解释
times the size of ...,找不到解释
to one's joy,prep.使欣慰的
to one's delight,找不到解释
to one's surprise, 使……惊讶的是；竟然；让某人惊讶的是
to tell the truth,"na. 实际是
 说实话；老实说；实话实说"
to the joy of sb.,找不到解释
to the delight of sb.,找不到解释
too many, 太多；太多了；太多的
too much,"na. 太过份
 太多；太多的；过分"
track down,"v. 追赶
 追捕到；查出；追踪"
trade in sth.,找不到解释
trade sth. for sth.,找不到解释
trade sth. with sb.,找不到解释
translate ... into ...,找不到解释
treat ... as if,找不到解释
treat ... as though,找不到解释
treat ... as, 对待；当作；当做
trust in,"v. 信任；相信
 对……的信赖；对…的信任；信靠"
try doing, 试着做某事；尝试做某事；试验，试着做某事
try one's best to do,找不到解释
try one's fortune,"na. 碰运气
 碰碰运气；试运气；试某人的运气"
try to do, 尽力做某事；努力做某事；试着做某事
turn a blind eye to,"na. 对…熟视无睹；假装不见
 对…视而不见；睁一只眼闭一只眼；对…装作不见"
turn a deaf ear to,"na. 充耳不闻；装听不见
 对…充耳不闻；不听；不理睬"
turn against,"na. 背叛；使对抗；厌恶
 反对；转而反对；反抗"
turn away,"v. 转变方向
 转过脸去；避开；走开"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
 关小；调低；驳回"
turn for the worse,"na. 恶化
 越来越坏了；越来越糟"
turn into,"v. 变成
 成为；把……变成；变为"
turn off,"v. 关掉
 关上；关闭；解雇"
turn on,"na. 转向；对…进行突击
 打开；接通；开启"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
turn out ...,找不到解释
turn out to be ...,找不到解释
turn over,"na. ￡ 500 a week 每星期卖得五百镑
 移交；翻转；翻过来"
turn sth. into,找不到解释
turn to,"v. 向(某人)求助；求助于
 转向；变成；翻到"
turn to sb.,找不到解释
turn to sb. for help,找不到解释
turn up,"v. 朝上翻；出现
 开大；找到；露面"
turn yellow, 变黄；胆怯起来；发黄
turn green, 变绿；返青；便绿
turn ...,找不到解释
under control,"un. 失去控制；被控制住；克制；在控制之下
 处于控制之下；在控制中；受到控制"
under management,由 ... 经营； 由 ... 管理
under one's direction,找不到解释
under the pressure,找不到解释
upside down,"adv. 颠倒；倒转；翻转
 颠倒世界；逆世界；上下颠倒"
use up,"na. 用完；耗尽
 用光；用尽；消耗"
used to do, 过去常常做某事；过去常做某事；过去常常作某事
wait for sb.,找不到解释
wait for sb. to do,找不到解释
wake up,"na. 同“wake”；叫醒；醒来；振作起来
 唤醒；起床；醒醒"
warn sb. not to do,找不到解释
warn sb. never to do,找不到解释
warn sb. of sth.,找不到解释
wash away,"v. 清洗
 冲走；洗掉；冲掉"
wash out,"v. 洗掉
 洗出；冲洗；淘汰"
watch out,"na. 当心；留神；小心；提防
 注意；密切注视；监视"
wave hello to sb.,找不到解释
wave goodbye to sb.,找不到解释
way of life,"na. 生活方式
 生活之道；人生之路；生活的方式"
wear out,"na. 精疲力尽；用坏；穿破；磨破
 磨损；穿坏；穿旧"
What's going on ?,找不到解释
what's more, 而且；另外；更重要的是
What's the population of ...?,找不到解释
What's up ?,找不到解释
whether ... or ...,找不到解释
Why not do ...?,找不到解释
win a majority,找不到解释
wind one's way,找不到解释
wind sth. around sth.,找不到解释
wind the clock,找不到解释
wind the watch,找不到解释
wish for sth.,找不到解释
wish to do, 希望做某事；想做某事；希望去做某事
with great care, 非常小心；小心翼翼；小心翼翼地
with this method,找不到解释
within reach,"un. 在…的手边；近在咫尺；附近；力所能及
 够得着；伸手可及；伸手可及的"
wonder at,"na. 看见…而惊奇；惊讶
 对…感到惊讶；吃惊；对……感到惊奇"
wonder about,"na. 怀疑
 想知道；对…感到疑惑；对……好奇"
wonder if ...,找不到解释
wonder whether ...,找不到解释
wonder to do,找不到解释
word came that ...,找不到解释
work at ...,找不到解释
work on sth.,找不到解释
worry about,"v. 发愁；担忧；为…发愁；替…担忧
 担心；烦恼；为……担心"
would prefer to do,找不到解释
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
 写下；写下来；减记"
year after year,"adv. 年复一年
 年年；一年又一年；每年"
year by year,"na. 年年；逐年
 一年又一年；一年一年地；每年"
You'd better do sth.,找不到解释
