state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
relish,"n. 滋味；风味；食欲；开胃小菜；含义；调味品
vt. 盼望;期待;享受; 品味；喜爱；给…加佐料
vi. 有特定意味；味道可口"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
ridicule,"n. 嘲笑；笑柄；愚弄
vt. 嘲笑；嘲弄；愚弄"
throw,"n. 投掷；冒险
vt. 投；抛；掷
vi. 抛；投掷"
hurl,"n. 用力的投掷
vt. 丢下；用力投掷；愤慨地说出
vi. 猛投；猛掷"
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
fling,"n. 掷，抛；嘲弄；急冲
vt. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动
vi. 猛冲，急行"
toxic,adj. 有毒的；中毒的
poisonous,adj. 有毒的；恶毒的；讨厌的
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
transit,"n. 运输；经过
vt. 运送
vi. 经过"
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
carrier,n.  载体；运送者；带菌者；货架
ferry,"n. 渡船；摆渡；渡口
vt. （乘渡船）渡过；用渡船运送；空运
vi. 摆渡；来往行驶"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
universe,n. 宇宙；世界；领域
cosmos,n. 宇宙；和谐；秩序；大波斯菊
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
oral,"n. 口试
adj. 口头的，口述的"
victory,n. 胜利；成功；克服
success,n. 成功，成就；胜利；大获成功的人或事物
virgin,"n. 处女
adj. 处女的；纯洁的；未经利用的，处于原始状态的"
maiden,"adj. 未婚的，处女的；初次的
n. 少女；处女"
visual,adj. 视觉的，视力的；栩栩如生的
optical,adj. 光学的；眼睛的，视觉的
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
youthful,adj. 年轻的；早期的
teenage,"n. 青少年时期
adj. 青少年的；十几岁的"
advent,n. 到来；出现；基督降临；基督降临节
arrival,n. 到来；到达；到达者
emergence,n. 出现，浮现；发生；露头
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
alcohol,n. 酒精，乙醇
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
liquor,"n. 酒，含酒精饮料；溶液；液体；烈酒
vi. 喝酒，灌酒
vt. 使喝醉"
allegiance,n. 效忠，忠诚；忠贞
loyalty,n. 忠诚；忠心；忠实；忠于…感情
fidelity,n. 保真度；忠诚；精确；尽责
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
aspiring,"v. 立志（aspire的ing形式）
adj. 有抱负的；追求…的；高耸的"
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
arduous,adj. 努力的；费力的；险峻的
amuse,vt. 娱乐；消遣；使发笑；使愉快
please,"int. 请（礼貌用语）
vt. 使喜欢；使高兴，使满意
vi. 讨人喜欢；令人高兴"
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
anecdote,n. 轶事；奇闻；秘史
story,"n. 故事；小说；新闻报道；来历；假话
vt. 用历史故事画装饰
vi. 说谎"
tale,n. 故事；传说；叙述；流言蜚语
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
flatter,vt. 奉承；谄媚；使高兴
awful,adj. 可怕的；极坏的；使人敬畏的
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
embarrassing,adj. 使人尴尬的；令人为难的
clumsy,"adj. 笨拙的
笨拙地
不得当的
不得当地"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
obstacle,n. 障碍，干扰；妨害物
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
hurdle,"n. 障碍；栏；跳栏
vt. 克服
vi. 克服；跳过"
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
benign,adj. 良性的；和蔼的，亲切的；吉利的
amiable,adj. 和蔼可亲的，亲切的
harmless,adj. 无害的；无恶意的
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
gamble,"n. 赌博；冒险；打赌
vi. 赌博；孤注一掷；投机；打赌
vt. 赌博；孤注一掷；冒险假设"
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
desolate,"adj. 荒凉的；无人烟的
vt. 使荒凉；使孤寂"
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
courageous,adj. 有胆量的，勇敢的
brave,"n. 勇士
adj. 勇敢的；华丽的
vt. 勇敢地面对"
heroic,"n. 史诗；英勇行为
adj. 英雄的；英勇的；记叙英雄及其事迹的；夸张的"
brutal,adj. 残忍的；野蛮的，不讲理的
ruthless,adj. 无情的，残忍的
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
relax,"vi. 放松，休息；松懈，松弛；变从容；休养
vt. 放松；使休息；使松弛；缓和；使松懈"
composure,n. 镇静；沉着
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
chronicle,"n. 编年史，年代记；记录
vt. 记录；把…载入编年史"
cautious,adj. 谨慎的；十分小心的
wary,adj. 谨慎的；机警的；惟恐的；考虑周到的
discreet,adj. 谨慎的；小心的
prudent,adj. 谨慎的；精明的；节俭的
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
consistent,adj. 始终如一的，一致的；坚持的
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
solace,"n. 安慰；慰藉；安慰之物
vt. 安慰；抚慰；使快乐（过去式solaced，过去分词solaced，现在分词solacing，第三人称单数solaces）"
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
reassure,vt. 使…安心，使消除疑虑
commodity,n. 商品，货物；日用品
merchandise,"n. 商品；货物
vt. 买卖；推销
vi. 经商"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
counteract,vt. 抵消；中和；阻碍
counterbalance,"n. 平衡力；自动抵销
vt. 使平衡；抵消"
repay,"vt. 回报；报复；付还
vi. 偿还；报答；报复"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
obligatory,adj. 义务的；必须的；义不容辞的
mandatory,"adj. 强制的；托管的；命令的
n. 受托者（等于mandatary）"
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
harmony,n. 协调；和睦；融洽；调和
concord,n. 和谐；和睦；一致；协调
consensus,n. 一致；舆论；合意
agreement,n. 协议；同意，一致
unanimity,n. 同意，全体一致
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
discuss,vt. 讨论；论述，辩论
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
contempt,n. 轻视，蔑视；耻辱
despise,vt. 轻视，鄙视
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
advice,n. 建议；忠告；劝告；通知
attorney,n. 律师；代理人；检查官
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
cunning,"n. 狡猾
adj. 狡猾的；巧妙的；可爱的"
sly,adj. 狡猾的；淘气的；诡密的
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
outset,n. 开始；开端
threshold,n. 入口；门槛；开始；极限；临界值
origin,n. 起源；原点；出身；开端
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入"
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
plummet,"n.  铅锤，坠子
vi. 垂直落下；（价格、水平等）骤然下跌"
diligent,adj. 勤勉的；用功的，费尽心血的
conscientious,adj. 认真的；尽责的；本着良心的；小心谨慎的
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
distract,vt. 转移；分心
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
agony,n. 苦恼；极大的痛苦；临死的挣扎
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
hardship,n. 困苦；苦难；艰难险阻
grieve,"vi. 悲痛，哀悼
vt. 使悲伤，使苦恼"
doctrine,n. 主义；学说；教义；信条
ideology,n. 意识形态；思想意识；观念学
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
hemisphere,n. 半球
ego,n. 自我；自负；自我意识
self-esteem,n. 自尊；自负；自大
embed,vt. 栽种；使嵌入，使插入；使深留脑中
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
undergo,vt. 经历，经受；忍受
confront,vt. 面对；遭遇；比较
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
enlighten,vt. 启发，启蒙；教导，开导；照耀
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
jealousy,n. 嫉妒；猜忌；戒备
essence,n. 本质，实质；精华；香精
nature,n. 自然；性质；本性；种类
entity,n. 实体；存在；本质
ethnic,adj. 种族的；人种的
racial,adj. 种族的；人种的
national,"adj. 国家的；国民的；民族的；国立的
n. 国民"
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
shout,"n. 呼喊；呼叫
vi. 呼喊；喊叫；大声说
vt. 呼喊；大声说"
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
dormant,adj. 休眠的；静止的；睡眠状态的；隐匿的
facility,n. 设施；设备；容易；灵巧
infrastructure,n. 基础设施；公共建设；下部构造
installation,n. 安装，装置；就职
talent,n. 才能；天才；天资
genius,n. 天才，天赋；精神
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送"
faculty,n. 科，系；能力；全体教员
fierce,adj. 凶猛的；猛烈的；暴躁的
intense,adj. 强烈的；紧张的；非常的；热情的
violent,adj. 暴力的；猛烈的
flexible,adj. 灵活的；柔韧的；易弯曲的
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
envelop,"n. 信封；包裹
vt. 包围；包封；遮盖"
furthermore,adv. 此外；而且
moreover,adv. 而且；此外
besides,"prep. 除…之外
adv. 此外；而且"
giggle,"n. 吃吃的笑
vt. 咯咯地笑着说
vi. 傻笑；咯咯地笑"
chuckle,"n. 轻笑，窃笑
vi. 咯咯的笑，轻声地笑
vt. 轻声笑着表示"
snigger,"n. 窃笑；偷偷的笑
vi. 吃吃窃笑；暗笑"
grin,"n. 露齿笑
v. 露齿而笑，咧着嘴笑"
laugh,"n. 笑；引人发笑的事或人
vi. 笑
vt. 以笑表示；使…笑得"
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
peep,"n. 偷看；隐约看见，瞥见
vi. 窥视；慢慢露出，出现；吱吱叫
vt. 使出现"
peek,"n. 偷看；一瞥，看一眼
vi. 窥视，偷看"
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
grateful,adj. 感谢的；令人愉快的，宜人的
appreciative,adj. 感激的；赏识的；有欣赏力的；承认有价值的
greet,vt. 欢迎，迎接；致敬，致意；映入眼帘
salute,"n. 致敬，欢迎；敬礼
vt. 行礼致敬，欢迎
vi. 致意，打招呼；行礼"
hail,"n. 冰雹；致敬；招呼；一阵
vt. 致敬；招呼；向...欢呼；猛发；使像下雹样落下（过去式hailed，过去分词hailed，现在分词hailing，第三人称单数hails）
int. 万岁；欢迎
vi. 招呼；下雹"
hostage,n. 人质；抵押品
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
reside,vi. 住，居住；属于
dwell,vi. 居住；存在于；细想某事
inhale,"vt. 吸入；猛吃猛喝
vi. 吸气"
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
gasp,"n. 喘气
vi. 喘气；喘息；渴望
vt. 气喘吁吁地说；喘着气说话"
respire,"vt. 呼吸
vi. 呼吸"
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
provisional,"adj. 临时的，暂时的；暂定的
n. 临时邮票"
interval,n. 间隔；间距；幕间休息
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
intervene,vi. 干涉；调停；插入
intimidate,vt. 恐吓，威胁；胁迫
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
menace,"n. 威胁；恐吓
vi. 恐吓；进行威胁
vt. 威胁；恐吓"
blackmail,"n. 勒索，敲诈；勒索所得之款
vt. 勒索，敲诈"
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
trot,"n. （人）慢跑；马小跑的步态；小跑的马蹄声；刚学步的小孩；老太婆；腹泻；（学生作弊用的）译文对照本
vi. （马）小跑；（人）慢跑；快步走
vt. 使小跑；使快步走"
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
knit,"vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法"
weave,"vi. 纺织；编成；迂回行进
vt. 编织；编排；使迂回前进
n. 织物；织法；编织式样"
knot,"n. （绳等的）结；节瘤，疙瘩；海里/小时（航速单位）
vt. 打结
vi. 打结"
intertwine,"vt. 缠绕；纠缠
vi. 纠缠；编结"
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
meek,adj. 温顺的；谦恭的；驯服的
lenient,adj. 宽大的；仁慈的
mortal,"adj. 凡人的；致死的；终有一死的；不共戴天的
n. 人类，凡人"
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
malignant,"adj.  恶性的；有害的；有恶意的
n. 保王党员；怀恶意的人"
lethal,"adj. 致命的，致死的
n. 致死因子"
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
murmur,"n. 低语；低语声；低声抱怨；潺潺声
vi. 低声说；私下抱怨；发出轻柔持续的声音
vt. 低声说"
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出"
mutter,"vi. 咕哝；喃喃自语
vt. 咕哝；抱怨地说；低声含糊地说
n. 咕哝；喃喃低语"
rustle,"n. 沙沙声；急忙；飒飒声
vt. 使…沙沙作响
vi. 发出沙沙声"
mutual,adj. 共同的；相互的，彼此的
reciprocal,"n.  倒数；互相起作用的事物
adj. 互惠的；相互的；倒数的，彼此相反的"
communal,adj. 公共的；公社的
myth,n. 神话；虚构的人，虚构的事
legend,n. 传奇；说明；图例；刻印文字
fable,"n. 寓言；无稽之谈
vt. 煞有介事地讲述；虚构
vi. 编寓言；虚构"
superstition,n. 迷信
nuts,"adj. 发狂的；热衷的；狂热的
int. 胡说；呸
n. 坚果；螺母（nut的复数）；核心
v. 采坚果；用头撞（nut的三单形式）"
insane,adj. 疯狂的；精神病的；极愚蠢的
mad,"adj. 疯狂的；发疯的；愚蠢的；着迷的
n. 狂怒"
irrational,"n.  无理数
adj. 不合理的；无理性的；荒谬的"
packet,"n. 数据包，信息包；小包，小捆
vt. 包装，打包"
parcel,"n. 包裹，小包
vt. 打包；捆扎"
carton,"n. 纸板箱；靶心白点
vt. 用盒包装
vi. 制作纸箱"
pat,"n. 轻拍；小块；轻拍声
adj. 恰好的；熟练的；合适的
vt. 轻拍
adv. 恰好；熟记地
vi. 轻拍"
tap,"n. 水龙头；轻打
vt. 轻敲；轻打；装上嘴子
vi. 轻拍；轻击；轻叩
vt. 采用，利用"
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
caress,"n. 爱抚，拥抱；接吻
vt. 爱抚，抚抱"
touch,"n. 接触；触觉；格调；少许
vt. 接触；触动；使轻度受害
vi. 触摸；涉及；接近；提到"
pave,vt. 铺设；安排；作铺设之用
tile,"n. 瓷砖，瓦片
vt. 铺以瓦；铺以瓷砖"
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
highland,"n. 高地；丘陵地带
adj. 高原的；高地的"
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
contaminate,vt. 污染，弄脏
pollute,vt. 污染；玷污；败坏
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
cascade,"n. 小瀑布，瀑布状物；串联
vi. 像瀑布般大量倾泻下来
vi. 像瀑布般悬挂着"
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
predecessor,n. 前任，前辈
forefathers,n. 祖先；先人（forefather的复数）
ancestor,n. 始祖，祖先；被继承人
preside,"vi. 主持，担任会议主席
vt. 管理"
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
victim,n. 受害人；牺牲品；牺牲者
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
conceit,"n. 自负；狂妄；幻想
vt. 幻想"
arrogance,n. 自大；傲慢态度
dignity,n. 尊严；高贵
prone,adj. 俯卧的；有…倾向的，易于…的
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
inclined,"v. 使…倾向（incline的过去分词）
adj. 趋向于…的"
rational,"n. 有理数
adj. 合理的；理性的"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
repeat,"n. 重复；副本
vi. 重做；重复发生
vt. 重复；复制；背诵"
recount,"n. 重算
vt. 叙述；重新计算"
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
reluctant,adj. 不情愿的；勉强的；顽抗的
unwilling,adj. 不愿意的；不情愿的；勉强的
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
scandal,n. 丑闻；流言蜚语；诽谤；公愤
rumor,"n. 谣言；传闻
vt. 谣传；传说"
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
disgrace,"n. 耻辱；丢脸的人或事；失宠
vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜"
sew,"vt. 缝合，缝上；缝纫
vi. 缝纫，缝"
stitch,"n. 针脚，线迹；一针
vt. 缝，缝合
vi. 缝，缝合"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
fluent,adj. 流畅的，流利的；液态的；畅流的
stubborn,adj. 顽固的；顽强的；难处理的
inflexible,adj. 顽固的；不可弯曲的；不屈挠的；不能转变的
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结"
sip,"n. 抿；小口喝；单列直插式组件
vt. 啜
vi. 啜饮"
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
thread,"n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线
vt. 穿过；穿线于；使交织
vi. 通过；穿透过"
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
message,"n. 消息；差使；启示；预言；广告词
vi. 报信，报告； 报文
vt. 通知"
timely,"adj. 及时的；适时的
adv. 及时地；早"
opportune,adj. 适当的；恰好的；合时宜的
punctual,adj. 准时的，守时的；精确的
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
chaotic,adj. 混沌的；混乱的，无秩序的
