abdicate,"vt. 退位；放弃
vi. 退位；放弃"
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
strategy,n. 战略，策略
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
strict,adj. 严格的；绝对的；精确的；详细的
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
strive,vi. 努力；奋斗；抗争
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
subsequent,adj. 后来的，随后的
subsidize,vt. 资助；给与奖助金；向…行贿
subsidy,n. 补贴；津贴；补助金
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
suitable,adj. 适当的；相配的
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
superb,adj. 极好的；华丽的；宏伟的
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
supervision,n. 监督，管理
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
suppress,vt. 抑制；镇压；废止
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
surgery,n. 外科；外科手术；手术室；诊疗室
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
suspension,n. 悬浮；暂停；停职
sustain,vt. 维持；支撑，承担；忍受；供养；证实
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
symbolic,adj. 象征的；符号的；使用符号的
sympathy,n. 同情；慰问；赞同
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
tendency,n. 倾向，趋势；癖好
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
terrify,vt. 恐吓；使恐怖；使害怕
testify,"vi. 作证；证明
vt. 证明，证实；作证"
thorny,adj. 多刺的；痛苦的；令人苦恼的
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
thrive,vi. 繁荣，兴旺；茁壮成长
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
tolerate,vt. 忍受；默许；宽恕
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
toxic,adj. 有毒的；中毒的
transaction,n. 交易；事务；办理；会报，学报
transcendence,n. 超越；卓越；超然存在
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
transition,n. 过渡；转变； 转换；变调
transparency,n. 透明，透明度；幻灯片；有图案的玻璃
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
transportation,n. 运输；运输系统；运输工具；流放
tremendous,adj. 极大的，巨大的；惊人的；极好的
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
unanimous,adj. 全体一致的；意见一致的；无异议的
undermine,vt. 破坏，渐渐破坏；挖掘地基
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
unsurpassed,adj. 非常卓越的；未被超越的
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
urban,adj. 城市的；住在都市的
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
utility,"n. 实用；效用；公共设施；功用
adj. 实用的；通用的；有多种用途的"
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
vague,adj. 模糊的；含糊的；不明确的；暧昧的
vain,adj. 徒劳的；自负的；无结果的；无用的
valid,adj. 有效的；有根据的；合法的；正当的
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
vanity,n. 虚荣心；空虚；浮华；无价值的东西
various,adj. 各种各样的；多方面的
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
verdict,n. 结论；裁定
verify,vt. 核实；查证
viable,adj. 可行的；能养活的；能生育的
vibrant,adj. 振动的；充满生气的；响亮的；战栗的
victory,n. 胜利；成功；克服
vigorously,adv. 精神旺盛地，活泼地
violate,vt. 违反；侵犯，妨碍；亵渎
virtually,adv. 事实上，几乎；实质上
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
visualize,"vt. 形象，形象化；想像，设想
vi. 显现"
vital,adj. 至关重要的；生死攸关的；有活力的
vivid,adj. 生动的；鲜明的；鲜艳的
vocation,n. 职业；天职；天命；神召
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
zone,  地带、地区（德语）
