system,n. 制度，体制；系统；方法
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
eternal,adj. 永恒的；不朽的
benign,adj. 良性的；和蔼的，亲切的；吉利的
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
allege,vt. 宣称，断言；提出…作为理由
intricate,adj. 复杂的；错综的，缠结的
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
absolutely,adv. 绝对地；完全地
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
accustom,vt. 使习惯于
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
acumen,n. 聪明，敏锐
aggression,n. 侵略；进攻；侵犯；侵害
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
amusement,n. 消遣，娱乐；乐趣
ancestor,n. 始祖，祖先；被继承人
assembly,n. 装配；集会，集合
assistance,n. 援助，帮助；辅助设备
automatically,"adj. 不经思索的
adv. 自动地；机械地；无意识地"
automobile,"n. 汽车
vt. 驾驶汽车
"
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
blizzard,"n. 暴风雪，大风雪；大打击
vi. 下暴风雪"
brisk,"adj. 敏锐的，活泼的，轻快的；凛冽的
vt. 使……活泼；使……轻快；使……兴旺
vi. 活跃起来；变得轻快"
certify,v. 证明；保证
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
clinical,adj. 临床的；诊所的
coincidence,n. 巧合；一致；同时发生
collaboration,n. 合作；勾结；通敌
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
concentration,n. 浓度；集中；浓缩；专心；集合
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
constitute,vt. 组成，构成；建立；任命
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
detach,vt. 分离；派遣；使超然
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
predecessor,n. 前任，前辈
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
immerse,vt. 沉浸；使陷入
permeate,"vt. 渗透，透过；弥漫
vi. 弥漫；透入；散布"
dilemma,n. 困境；进退两难；两刀论法
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
seemingly,adv. 看来似乎；表面上看来
criterion,n. （批评判断的）标准；准则；规范；准据
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
illusion,n. 幻觉，错觉；错误的观念或信仰
threshold,n. 入口；门槛；开始；极限；临界值
destructive,adj. 破坏的；毁灭性的；有害的，消极的
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
thrive,vi. 繁荣，兴旺；茁壮成长
truly,adv. 真实地，不假；真诚地
liberty,n. 自由；许可；冒失
myth,n. 神话；虚构的人，虚构的事
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
logical,adj. 合逻辑的，合理的；逻辑学的
feasible,adj. 可行的；可能的；可实行的
democratic,adj. 民主的；民主政治的；大众的
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
poetry,n. 诗；诗意，诗情；诗歌艺术
colleague,n. 同事，同僚
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
slap,"n. 掴；侮辱；掌击；拍打声
vt. 拍击；侮辱；掌击；掴…的耳光
vi. 掴；拍击
adv. 直接地；猛然地；恰好"
union,n. 联盟，协会；工会；联合
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
repeatedly,adv. 反复地；再三地；屡次地
currency,n. 货币；通货
optimistic,adj. 乐观的；乐观主义的
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
resemble,vt. 类似，像
revenue,n. 税收，国家的收入；收益
administration,n. 管理；行政；实施；行政机构
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤"
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
mankind,n. 人类；男性
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
category,n. 种类，分类； 范畴
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
vocabulary,n. 词汇；词表；词汇量
vain,adj. 徒劳的；自负的；无结果的；无用的
fund,"n. 基金；资金；存款
vt. 投资；资助"
flesh,"n. 肉；肉体
vt. 喂肉给…；使发胖
vi. 长胖"
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
marry,"vt. 嫁；娶；与……结婚
vi. 结婚"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
discharge,"n. 排放；卸货；解雇
vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出"
discriminative,adj. 区别的，歧视的；有识别力的
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
division,n.  除法；部门；分配；分割；师（军队）；赛区
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
dweller,n. 居民，居住者
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
emergence,n. 出现，浮现；发生；露头
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
endow,vt. 赋予；捐赠；天生具有
essentially,adv. 本质上；本来
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
ethical,"n. 处方药
adj. 伦理的；道德的；凭处方出售的"
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
evolutionary,adj. 进化的；发展的；渐进的
exotic,adj. 异国的；外来的；异国情调的
fawn,"vi. 奉承
n. 小鹿；浅黄褐色；小动物
adj. 浅黄褐色的
vt. 生（小鹿或小动物）"
flexible,adj. 灵活的；柔韧的；易弯曲的
genetic,adj. 遗传的；基因的；起源的
hacker,n. 电脑黑客，企图不法侵入他人电脑系统的人
hazardous,adj. 有危险的；冒险的；碰运气的
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
helmet,n. 钢盔，头盔
ignore,vt. 驳回诉讼；忽视；不理睬
impart,vt. 给予（尤指抽象事物），传授；告知，透露
impetus,n. 动力；促进；冲力
inability,n. 无能力；无才能
inhabitant,n. 居民；居住者
inject,vt. 注入；注射
instantaneous,adj. 瞬间的；即时的；猝发的
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
interactive,adj. 交互式的；相互作用的
enable,vt. 使能够，使成为可能；授予权利或方法
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
acquaintance,n. 熟人；相识；了解；知道
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
sake,n. 目的；利益；理由；日本米酒
tropical,adj. 热带的；热情的；酷热的
oral,"n. 口试
adj. 口头的，口述的"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
confusion,n. 混淆，混乱；困惑
critic,n. 批评家，评论家；爱挑剔的人
probable,"n. 很可能的事；大有希望的候选者
adj. 很可能的；可信的"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
interpret,"vi. 解释；翻译
vt. 说明；口译"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
radar,n.  雷达，无线电探测器
tolerance,n. 公差；宽容；容忍；公差
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
decent,adj. 正派的；得体的；相当好的
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
musician,n. 音乐家
mixture,n. 混合；混合物；混合剂
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
favorable,adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
reaction,n. 反应，感应；反动，复古；反作用
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
guilty,adj. 有罪的；内疚的
violent,adj. 暴力的；猛烈的
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
monument,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
definite,adj. 一定的；确切的
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
analysis,n. 分析；分解；验定
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
fee,"n. 费用；酬金；小费
vt. 付费给……"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
historical,adj. 历史的；史学的；基于史实的
weapon,n. 武器，兵器
tremendous,adj. 极大的，巨大的；惊人的；极好的
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
specifically,adv. 特别地；明确地
forth,adv. 向前，向外；自…以后
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
facility,n. 设施；设备；容易；灵巧
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
assumption,n. 假定；设想；担任；采取
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
intervene,vi. 干涉；调停；插入
irresistible,adj. 不可抵抗的；不能压制的；极为诱人的
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
linguistic,adj. 语言的；语言学的
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
maneuver,"n.  机动；演习；策略；调遣
vi.  机动；演习；调遣；用计谋
vt.  机动；演习；用计；调遣"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
negotiation,n. 谈判；转让；顺利的通过
orientation,n. 方向；定向；适应；情况介绍；向东方
partially,adv. 部分地；偏袒地
pessimistic,adj. 悲观的，厌世的；悲观主义的
philosophy,n. 哲学；哲理；人生观
pregnant,adj. 怀孕的；富有意义的
pupil,n. 学生； 瞳孔；未成年人
pursuit,n. 追赶，追求；职业，工作
radically,adv. 根本上；彻底地；以激进的方式
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
rescue,"n. 营救；援救；解救
vt. 营救；援救"
resignation,n. 辞职；放弃；辞职书；顺从
retirement,n. 退休，退役
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
robotic,"n. 机器人学
adj. 机器人的，像机器人的；自动的"
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
shrug,"n. 耸肩
vi. 耸肩
vt. 耸肩，耸肩表示"
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
slightly,adv. 些微地，轻微地；纤细地
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
establishment,n. 确立，制定；公司；设施
steadily,adv. 稳定地；稳固地；有规则地
faithful,adj. 忠实的，忠诚的；如实的；准确可靠的
sin,"n. 罪恶；罪孽；过失
vt. 犯罪
vi. 犯罪；犯过失"
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结"
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
profession,n. 职业，专业；声明，宣布，表白
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
anticipate,vt. 预期，期望；占先，抢先；提前使用
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
foundation,n. 基础；地基；基金会；根据；创立
concession,n. 让步；特许（权）；承认；退位
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球"
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
leader,n. 领导者；首领；指挥者
unexpected,adj. 意外的，想不到的
novel,"adj. 新奇的；异常的
n. 小说"
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
relax,"vi. 放松，休息；松懈，松弛；变从容；休养
vt. 放松；使休息；使松弛；缓和；使松懈"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
emotional,adj. 情绪的；易激动的；感动人的
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
unusual,adj. 不寻常的；与众不同的；不平常的
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
distinction,n. 区别；差别；特性；荣誉、勋章
enthusiasm,n. 热心，热忱，热情
timber,n. 木材；木料
fertilizer,n.  肥料；受精媒介物；促进发展者
observation,n. 观察；监视；观察报告
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
expectation,n. 期待；预期；指望
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
forbid,vt. 禁止；不准；不允许；严禁
salary,"n. 薪水
vt. 给...加薪；给...薪水"
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
circumstance,n. 环境，情况；事件；境遇
controversial,adj. 有争议的；有争论的
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
neighborhood,n. 附近；街坊；接近；街区
museum,n. 博物馆
railway,"n. （英）铁路；轨道；铁道部门
vi. 乘火车旅行"
massive,adj. 大量的；巨大的，厚重的；魁伟的
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
digital,"n. 数字；键
adj. 数字的；手指的"
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
movie,"n. 电影；电影院；电影业
adj. 电影的"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
manner,n. 方式；习惯；种类；规矩；风俗
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
necessity,n. 需要；必然性；必需品
impatient,adj. 焦躁的；不耐心的
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
segment,"n. 段；部分
vt. 分割
vi. 分割"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
era,n. 时代；年代；纪元
leadership,n. 领导能力；领导阶层
outer,"adj. 外面的，外部的；远离中心的
n. 环外命中"
mostly,adv. 主要地；通常；多半地
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
personality,n. 个性；品格；名人
religion,n. 宗教；宗教信仰
cite,vt. 引用；传讯；想起；表彰
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
mysterious,adj. 神秘的；不可思议的；难解的
overnight,"adv. 通宵；突然；昨晚
adj. 晚上的；通宵的；前夜的
n. 头天晚上；一夜的逗留
vt. 连夜快递
vi. 过一夜"
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
protection,n. 保护；防卫；护照
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
introduction,n. 介绍；引进；采用；入门；传入
tradition,n. 惯例，传统；传说
advertisement,n. 广告，宣传
software,n. 软件
apartment,n. 公寓；房间
status,n. 地位；状态；情形；重要身份
analyze,vt. 对…进行分析，分解（等于analyse）
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
so-called,adj. 所谓的；号称的
controversy,n. 争论；论战；辩论
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
senator,n. 参议员；（古罗马的）元老院议员；评议员，理事
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
compete,vi. 竞争；比赛；对抗
diverse,adj. 不同的；多种多样的；变化多的
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
normally,adv. 正常地；通常地，一般地
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
satisfactory,adj. 满意的；符合要求的；赎罪的
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
output,"n. 输出，输出量；产量；出产
vt. 输出"
ad,n. 公元；广告（ad）
hardship,n. 困苦；苦难；艰难险阻
primarily,adv. 首先；主要地，根本上
undergo,vt. 经历，经受；忍受
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
imitate,vt. 模仿，仿效；仿造，仿制
confuse,vt. 使混乱；使困惑
emerge,vi. 浮现；摆脱；暴露
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
campus,n. （大学）校园；大学，大学生活；校园内的草地
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
election,n. 选举；当选；选择权；上帝的选拔
deserve,"vi. 应受，应得
vt. 应受，应得"
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
membership,n. 资格；成员资格；会员身份
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
rust,"n. 锈；生锈； 锈病
vt. 使生锈；腐蚀
vi. 生锈；成铁锈色；变迟钝"
thoughtful,adj. 深思的；体贴的；关切的
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
adequate,adj. 充足的；适当的；胜任的
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
combination,n. 结合；组合；联合； 化合
elementary,adj. 基本的；初级的； 元素的
numerous,adj. 许多的，很多的
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
conclusion,n. 结论；结局；推论
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
attraction,n. 吸引，吸引力；引力；吸引人的事物
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
genuine,adj. 真实的，真正的；诚恳的
detection,n. 侦查，探测；发觉，发现；察觉
offending,"adj. 不愉快的；厌恶的
v. 冒犯（offend的ing形式）"
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
optimism,n. 乐观；乐观主义
commemorate,vt. 庆祝，纪念；成为…的纪念
petty,adj. 琐碎的；小气的；小规模的
affirm,"vt. 肯定；断言
vi. 确认；断言"
grieve,"vi. 悲痛，哀悼
vt. 使悲伤，使苦恼"
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
abolish,vt. 废除，废止；取消，革除
abundant,adj. 丰富的；充裕的；盛产
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
accurately,adv. 精确地，准确地
