compatible,adj. 兼容的；能共处的；可并立的
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
lateral,"adj. 侧面的，横向的
n. 侧部； 边音
vt. 横向传球"
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
sneeze,"n. 喷嚏
vi. 打喷嚏"
alienate,vt. 使疏远，离间；让与
raid,"n. 袭击；突袭；搜捕；抢劫
vt. 袭击，突袭
vi. 对…进行突然袭击"
agency,n. 代理，中介；代理处，经销处
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
ruby,"n. 红宝石；红宝石色
adj. 红宝石色的
vt. 使带红宝石色"
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
dumb,adj. 哑的，无说话能力的；不说话的，无声音的
clothe,vt. 给…穿衣；覆盖；赋予
dormitory,"n. 宿舍，学生宿舍
adj. 住宅区的"
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
portrait,n. 肖像；描写；半身雕塑像
stationery,n. 文具；信纸
powerful,"adj. 强大的；强有力的
adv. 很；非常"
railroad,"n. 铁路；铁路公司
vt. 由铁道运输；铺设铁路；以捏造不实之罪使入狱
vi. 在铁路工作；乘火车旅行；筑铁路"
railway,"n. （英）铁路；轨道；铁道部门
vi. 乘火车旅行"
habitat,n.  栖息地，产地
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
shrewd,"n. 精明（的人）；机灵（的人）
adj. 精明的；狡猾的；机灵的"
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
torment,"n. 痛苦，苦恼；痛苦的根源
vt. 折磨，使痛苦；纠缠，作弄"
reality,n. 现实；实际；真实
architecture,n. 建筑学；建筑风格；建筑式样；架构
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
historical,adj. 历史的；史学的；基于史实的
construct,"n. 构想，概念
vt. 建造，构造；创立"
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
liter,n.  公升（容量单位）
litre,n.  公升（米制容量单位）
moss,"n. 苔藓；泥沼
vt. 使长满苔藓"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
cognitive,adj. 认知的，认识的
detective,"n. 侦探
adj. 侦探的"
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
fertilizer,n.  肥料；受精媒介物；促进发展者
fertiliser,n. 化肥（等于fertilizer）
reception,n. 接待；接收；招待会；感受；反应
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
grief,n. 悲痛；忧伤；不幸
enforce,vt. 实施，执行；强迫，强制
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
decent,adj. 正派的；得体的；相当好的
provoke,vt. 驱使；激怒；煽动；惹起
adult,"n. 成年人
adj. 成年的；成熟的"
whereas,conj. 然而；鉴于；反之
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
temple,n. 庙宇；寺院；神殿；太阳穴
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
planet,n. 行星
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
hinge,"n. 铰链，折叶；关键，转折点；枢要，中枢
v. 用铰链连接；依…为转移；给…安装铰链；（门等）装有蝶铰"
slack,"n. 煤末；峡谷
adj. 松弛的；疏忽的；不流畅的
vt. 放松；使缓慢
adv. 马虎地；缓慢地
vi. 松懈；减弱"
chaos,n. 混沌，混乱
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
genuine,adj. 真实的，真正的；诚恳的
weep,"n. 哭泣；眼泪；滴下
vt. 哭泣；流泪；悲叹；流出或渗出液体
vi. 哭泣；流泪；哀悼；滴落；渗出液体"
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
fascinated,"v. 使着迷；使陶醉（fascinate的过去分词）
adj. 着迷的；被深深吸引的"
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
timid,adj. 胆小的；羞怯的
sportsman,n. 运动员；运动家；冒险家
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
engineering,"n. 工程，工程学
v. 设计；管理（engineer的ing形式）；建造"
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
jazz,"n. 爵士乐，爵士舞；喧闹
vi. 奏爵士乐，跳爵士舞；游荡
vt. 奏爵士乐；使活泼
adj. 爵士乐的；喧吵的"
envisage,vt. 正视，面对；想像
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
robust,adj. 强健的；健康的；粗野的；粗鲁的
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
unfold,"vi. 展开；显露
vt. 打开；呈现"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
spider,n. 蜘蛛；设圈套者；三脚架
invasion,n. 入侵，侵略；侵袭；侵犯
precedent,"n. 先例；前例
adj. 在前的；在先的"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
message,"n. 消息；差使；启示；预言；广告词
vi. 报信，报告； 报文
vt. 通知"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
environment,n. 环境，外界
cosy,"n. 保温罩
adj. 舒适的；惬意的"
cozy,"n. 保温罩
vt. 蒙骗；抚慰
adj. 舒适的；安逸的"
boundary,n. 边界；范围；分界线
peep,"n. 偷看；隐约看见，瞥见
vi. 窥视；慢慢露出，出现；吱吱叫
vt. 使出现"
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
conductor,n. 导体；售票员；领导者；管理人
neighborhood,n. 附近；街坊；接近；街区
neighbourhood,n. 邻近；周围；邻居关系；附近一带
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫"
isle,"n. 岛
vt. 使成为岛屿
vi. 住在岛屿上"
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
stoop,"n. 弯腰，屈背；屈服
vt. 辱没，堕落；俯曲
vi. 弯腰；屈服；堕落"
cater,vt. 投合，迎合；满足需要；提供饮食及服务
inertia,n.  惯性；惰性，迟钝；不活动
deviate,"vi. 脱离；越轨
vt. 使偏离"
drawer,n. 抽屉；开票人；出票人；起草者；酒馆侍
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
luggage,n. 行李；皮箱
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
repay,"vt. 回报；报复；付还
vi. 偿还；报答；报复"
underneath,"prep. 在…的下面；在…的形式下；在…的支配下
n. 下面；底部
adj. 下面的；底层的
adv. 在下面；在底下"
blur,"n. 污迹；模糊不清的事物
vt. 涂污；使…模糊不清；使暗淡；玷污
vi. 沾上污迹；变模糊"
percentage,n. 百分比；百分率，百分数
nucleus,n. 核，核心；原子核
ambiguous,adj. 模糊不清的；引起歧义的
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
interference,n. 干扰，冲突；干涉
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
lick,"vt. 舔；卷过；鞭打
vt. （非正式）战胜
vi. 舔；轻轻拍打
n. 舔；打；少许"
lest,conj. 唯恐，以免；担心
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
textile,"n. 纺织品，织物
adj. 纺织的"
grieve,"vi. 悲痛，哀悼
vt. 使悲伤，使苦恼"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
infectious,adj. 传染的；传染性的；易传染的
mat,"n. 垫；垫子；衬边
vt. 缠结；铺席于……上
vi. 纠缠在一起
adj. 无光泽的"
union,n. 联盟，协会；工会；联合
intelligible,adj. 可理解的；明了的；仅能用智力了解的
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
propel,vt. 推进；驱使；激励；驱策
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
hierarchy,n. 层级；等级制度
ozone,n.  臭氧；新鲜的空气
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
intuition,n. 直觉；直觉力；直觉的知识
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
fraud,n. 欺骗；骗子；诡计
illustration,n. 说明；插图；例证；图解
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
realm,n. 领域，范围；王国
bug,"n. 臭虫，小虫；故障；窃听器
vt. 烦扰，打扰；装窃听器
vi. 装置窃听器；打扰"
undermine,vt. 破坏，渐渐破坏；挖掘地基
organise,"vi. 组织起来；组织工会
vt. 组织（等于organize）；有机化；给予生机"
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
costly,adj. 昂贵的；代价高的
priest,"n. 牧师；神父；教士
vt. 使成为神职人员；任命…为祭司"
route,"n. 路线；航线；通道
vt. 按某路线发送"
lantern,n. 灯笼；提灯；灯笼式天窗
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
concession,n. 让步；特许（权）；承认；退位
excitement,n. 兴奋；刺激；令人兴奋的事物
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
loop,"vi. 打环；翻筋斗
n. 环；圈；弯曲部分；翻筋斗
vt. 使成环；以环连结；使翻筋斗"
fridge,n. 电冰箱
roar,"n. 咆哮；吼；轰鸣
vi. 咆哮；吼叫；喧闹
vt. 咆哮；呼喊；使……轰鸣"
ultraviolet,"adj. 紫外的；紫外线的
n. 紫外线辐射，紫外光"
abdomen,n. 腹部；下腹；腹腔
memorandum,n. 备忘录；便笺
glove,"n. 手套
vt. 给…戴手套"
foundation,n. 基础；地基；基金会；根据；创立
embarrass,vt. 使局促不安；使困窘；阻碍
jar,"n. 罐；广口瓶；震动；刺耳声
vi. 冲突；不一致；震惊；发刺耳声
vt. 震动；刺激；使震动"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
novel,"adj. 新奇的；异常的
n. 小说"
involve,vt. 包含；牵涉；使陷于；潜心于
emperor,n. 皇帝，君主
cathedral,n. 大教堂
analogy,n. 类比；类推；类似
texture,n. 质地；纹理；结构；本质，实质
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
deaf,adj. 聋的
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
bronze,"n. 青铜；古铜色；青铜制品
adj. 青铜色的；青铜制的
vt. 镀青铜于
vi. 变成青铜色，被晒黑"
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
missionary,"adj. 传教的；传教士的
n. 传教士"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
being,"n. 存在；生命；本质；品格
adj. 存在的；现有的"
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
Catholic,
convey,vt. 传达；运输；让与
recorder,n. 录音机；记录器；记录员；八孔直笛
watt,n. 瓦特
criticise,"vt. 批评；吹毛求疵；非难
vi. 批评；吹毛求疵；非难"
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
dump,"n. 垃圾场；仓库；无秩序地累积
vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销
vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等）"
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
doze,"n. 瞌睡
vi. 打瞌睡；假寐
vt. 打瞌睡度过"
moisture,n. 水分；湿度；潮湿；降雨量
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
ankle,n. 踝关节，踝
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
priority,n. 优先；优先权； 优先次序；优先考虑的事
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
estate,n. 房地产；财产；身份
pregnant,adj. 怀孕的；富有意义的
significance,n. 意义；重要性；意思
entire,adj. 全部的，整个的；全体的
innovation,n. 创新，革新；新方法
hypocrisy,n. 虚伪；伪善
humor,"n. 幽默，诙谐；心情
vt. 迎合，迁就；顺应"
humour,"n. 幽默（等于humor）；诙谐
vt. 迁就；使满足"
warfare,n. 战争；冲突
bean,"n. 豆；嘴峰；毫无价值的东西
vt. 击…的头部"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
lap,"n. 一圈；膝盖；下摆；山坳
vt. 使重叠；拍打；包围
vi. 重叠；轻拍；围住"
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
latent,adj. 潜在的；潜伏的；隐藏的
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
gym,n. 健身房；体育；体育馆
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
classification,n. 分类；类别，等级
mutual,adj. 共同的；相互的，彼此的
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
avail,"vi. 有益于，有益于；使对某人有利。
vt. 有益于，有益于；使对某人有利。
n. 效用，利益"
guy,"n. 男人，家伙
vt. 嘲弄，取笑
vi. 逃跑"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
ambulance,n.  救护车；战时流动医院
tolerant,adj. 宽容的；容忍的；有耐药力的
existence,n. 存在，实在；生存，生活；存在物，实在物
proceeding,"n. 进行；程序；诉讼；事项
v. 开始；继续做；行进（proceed的ing形式）"
congratulate,vt. 祝贺；恭喜；庆贺
prospective,"n. 预期；展望
adj. 未来的；预期的"
sneak,"n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者
adj. 暗中进行的
vi. 溜；鬼鬼祟祟做事；向老师打小报告
vt. 偷偷地做；偷偷取得"
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
species,"n.  物种；种类
adj. 物种上的"
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
panorama,n. 全景，全貌；全景画；概论
classify,vt. 分类；分等
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
eagle,n. 鹰；鹰状标饰
conquest,n. 征服，战胜；战利品
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
slipper,"n. 拖鞋
vt. 用拖鞋打"
equator,n. 赤道
bait,"n. 饵；诱饵
vt. 引诱；在…中放诱饵；折磨
vi. 中途休息"
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
guild,n. 协会，行会；同业公会
seemingly,adv. 看来似乎；表面上看来
veto,"n. 否决权
vt. 否决；禁止
vi. 否决；禁止"
alcohol,n. 酒精，乙醇
lightning,"adj. 闪电的；快速的
n. 闪电
vi. 闪电"
anniversary,n. 周年纪念日
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
comparative,"n. 比较级；对手
adj. 比较的；相当的"
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
carbohydrate,n.  碳水化合物； 糖类
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
complicate,vt. 使复杂化；使恶化；使卷入
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
numerical,adj. 数值的；数字的；用数字表示的（等于numeric）
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
overhaul,"vt. 分解检查，大修；追上并超过
n. 彻底检修，详细检查"
sturdy,"n. 羊晕倒病
adj. 坚定的；强健的；健全的"
fuss,"n. 大惊小怪，大惊小怪的人；小题大作；忙乱
vt. 使烦恼，使烦忧
vi. 小题大作；忙乱；焦燥；焦急；无事自扰"
undo,"vt. 取消；解开；破坏；扰乱
vi. 撤消"
ax,"n. 斧头
vt. 削减；用斧修整；解雇"
axe,"n. 斧
vt. 削减；用斧砍"
majority,n. 多数；成年
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
elevator,n. 电梯；升降机；升降舵；起卸机
buffet,"n. 自助餐；小卖部；打击；猛烈冲击
adj. 自助的；自助餐的
vi. 斗争；奋勇前进
vt. 与…搏斗；连续猛击"
mirror,"n. 镜子；真实的写照；榜样
vt. 反射；反映"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
permeate,"vt. 渗透，透过；弥漫
vi. 弥漫；透入；散布"
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
dam,"n.  水坝；障碍
v. 控制；筑坝"
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
worldwide,"adj. 全世界的
adv. 在世界各地"
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
vulgar,"n. 平民，百姓
adj. 粗俗的；通俗的；本土的"
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
farewell,"n. 告别，辞别；再见；再会
adj. 告别的
int. 别了！（常含有永别或不容易再见面的意思）；再会！"
equality,n. 平等；相等； 等式
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
pamphlet,n. 小册子
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
fairy,"n. 仙女，小精灵；漂亮姑娘
adj. 虚构的；仙女的"
transistor,n. 晶体管（收音机）
whatsoever,pron. 无论什么
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
recur,vi. 复发；重现；采用；再来；循环；递归
surroundings,n. 环境；周围的事物
slender,adj. 细长的；苗条的；微薄的
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
rein,"n. 缰绳；驾驭；统治；支配
vt. 控制；驾驭；勒住
vi. 勒住马"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
exert,vt. 运用，发挥；施以影响
lamb,"n. 羔羊，小羊；羔羊肉
vt. 生小羊，产羔羊
vi. 生小羊，产羔羊"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
wholly,adv. 完全地；全部；统统
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
opera,n. 歌剧；歌剧院；歌剧团
spill,"n. 溢出，溅出；溢出量；摔下；小塞子
vi. 溢出，流出；摔下；涌流
vt. 使溢出，使流出；使摔下"
solemn,adj. 庄严的，严肃的；隆重的，郑重的
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
fringe,"n. 边缘；穗；刘海
adj. 边缘的；附加的
vt. 加穗于"
turnover,"n. 翻覆； 营业额；流通量；半圆卷饼；失误
adj. 翻过来的；可翻转的"
summarise,vt. 总结，概述
summarize,"vt. 总结；概述
vi. 作总结；作概括"
allege,vt. 宣称，断言；提出…作为理由
longitude,n.  经度；经线
forbid,vt. 禁止；不准；不允许；严禁
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
blade,n. 叶片；刀片，刀锋；剑
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害"
dot,"n. 点，圆点；嫁妆
vt. 加小点于
vi. 打上点"
maintain,vt. 维持；继续；维修；主张；供养
spit,"n. 唾液
vi. 吐痰；吐口水；发出劈啪声
vt. 吐，吐出；发出；发射"
deck,"n. 甲板；行李仓；露天平台
vt. 装饰；装甲板；打扮"
tow,"n. 拖；麻的粗纤维；拖曳所用之绳
vt. 拖；牵引；曳
vi. 被拖带；拖行"
cocaine,n.  可卡因
disturbance,n. 干扰；骚乱；忧虑
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
ownership,n. 所有权；物主身份
rug,n. 小地毯；毛皮地毯；男子假发
archeology,n. 考古学（等于archaeology）
archaeology,"n. 考古学
考古学的"
assignment,n. 分配；任务；作业；功课
confuse,vt. 使混乱；使困惑
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
holy,"n. 神圣的东西
adj. 圣洁的，神圣的；至善的
（俚）太棒了"
alliance,n. 联盟，联合；联姻
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
criterion,n. （批评判断的）标准；准则；规范；准据
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
guilty,adj. 有罪的；内疚的
comparison,n. 比较；对照；比喻；比较关系
profitable,adj. 有利可图的；赚钱的；有益的
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
roast,"n. 烤肉；烘烤
adj. 烘烤的；烤过的
vt. 烤，焙；烘，烘烤；暴露于某种热力下以得温暖
vi. 烤；烘"
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
sham,"n. 假装；骗子；赝品
adj. 假的；虚假的；假装的
vt. 假装；冒充
vi. 假装；佯装"
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
trivial,adj. 不重要的，琐碎的；琐细的
lyric,"adj. 抒情的；吟唱的
n. 抒情诗；歌词"
crush,"n. 粉碎；迷恋；压榨；拥挤的人群
vt. 压碎；弄皱，变形；使…挤入
vi. 挤；被压碎"
scattered,adj. 分散的；散乱的
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
deficiency,n. 缺陷，缺点；缺乏；不足的数额
ape,"n.  猿；傻瓜；模仿者
vt. 模仿；抢台词
adj. 狂热的"
