appoint,"vt. 任命；指定；约定
vi. 任命；委派"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
talent,n. 才能；天才；天资
undoubtedly,adv. 确实地，毋庸置疑的
deteriorate,"vi. 恶化，变坏
vt. 恶化"
ambassador,n. 大使；代表；使节
amid,prep. 在其中，在其间
analyze,vt. 对…进行分析，分解（等于analyse）
analysis,n. 分析；分解；验定
belief,n. 相信，信赖；信仰；教义
beloved,"n. 心爱的人；亲爱的教友
adj. 心爱的；挚爱的"
collection,n. 采集，聚集； 征收；收藏品；募捐
comedy,n. 喜剧；喜剧性；有趣的事情
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
dial,"n. 转盘；刻度盘；钟面
vt. 给…拨号打电话
vi. 拨号"
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
diplomatic,adj. 外交的；外交上的；老练的
emotional,adj. 情绪的；易激动的；感动人的
enable,vt. 使能够，使成为可能；授予权利或方法
enterprise,n. 企业；事业；进取心；事业心
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
flesh,"n. 肉；肉体
vt. 喂肉给…；使发胖
vi. 长胖"
grace,"n. 优雅；恩惠；魅力；慈悲
vt. 使优美"
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
highly,adv. 高度地；非常；非常赞许地
injection,n. 注射；注射剂；充血；射入轨道
insight,n. 洞察力；洞悉
instance,"n. 实例；情况；建议
vt. 举...为例"
jeans,n. 牛仔裤；工装裤
jury,"n.  陪审团；评判委员会
adj. 应急的"
practically,adv. 实际地；几乎；事实上
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求"
beneath,"prep. 在…之下
adv. 在下方"
besides,"prep. 除…之外
adv. 此外；而且"
comparable,adj. 可比较的；比得上的
concentration,n. 浓度；集中；浓缩；专心；集合
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
disposal,n. 处理；支配；清理；安排
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
episode,n. 插曲；一段情节；插话；有趣的事件
fluent,adj. 流畅的，流利的；液态的；畅流的
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
greenhouse,"n. 温室
造成温室效应的"
grind,"n. 磨；苦工作
vt. 磨碎；磨快
vi. 磨碎；折磨"
hook,"n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状"
hopeful,"n. 有希望成功的人
adj. 有希望的；有前途的"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
layout,n. 布局；设计；安排；陈列
mill,"vi. 乱转；被碾磨
n. 工厂；磨坊；磨粉机；制造厂；压榨机
vt. 搅拌；碾磨；磨细；使乱转"
namely,adv. 也就是；即是；换句话说
powerful,"adj. 强大的；强有力的
adv. 很；非常"
preceding,"v. 在...之前（precede的ing形式）
adj. 在前的；前述的"
residence,n. 住宅，住处；居住
stadium,n. 体育场；露天大型运动场
standpoint,n. 立场；观点
statement,n. 声明；陈述，叙述；报表，清单
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
anniversary,n. 周年纪念日
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
concerning,"prep. 关于；就…而言
v. 涉及；使关心（concern的ing形式）；忧虑"
concession,n. 让步；特许（权）；承认；退位
confusion,n. 混淆，混乱；困惑
congress,n. 国会；代表大会；会议；社交
connection,n. 连接；关系；人脉；连接件
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
doll,"n. 洋娃娃；玩偶；无头脑的美丽女人
vt. 把…打扮得花枝招展"
era,n. 时代；年代；纪元
estate,n. 房地产；财产；身份
formation,n. 形成；构造；编队
fortnight,n. 两星期
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
leading,"adj. 领导的；主要的
n. 领导；铅板；行距
v. 领导（lead的ing形式）"
learned,adj. 博学的；有学问的；学术上的
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
pregnant,adj. 怀孕的；富有意义的
preparation,n. 预备；准备
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
primarily,adv. 首先；主要地，根本上
statistic,"n. 统计数值
adj. 统计的，统计学的"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
provoke,vt. 驱使；激怒；煽动；惹起
applause,n. 欢呼，喝采；鼓掌欢迎
architect,"n. 建筑师
缔造者"
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
assumption,n. 假定；设想；担任；采取
bloody,"adj. 血腥的；非常的；嗜杀的，残忍的；血色的
vt. 使流血
adv. 很"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
consumer,n. 消费者；用户，顾客
consumption,n. 消费；消耗；肺痨
context,n. 环境；上下文；来龙去脉
controversial,adj. 有争议的；有争论的
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
evolution,n. 演变；进化论；进展
existence,n. 存在，实在；生存，生活；存在物，实在物
frank,"n. 免费邮寄特权
adj. 坦白的，直率的；老实的
vt. 免费邮寄"
fry,"n. 鱼苗；油炸食物
vt. 油炸；油煎
vi. 油炸；油煎"
intelligent,adj. 智能的；聪明的；理解力强的
interference,n. 干扰，冲突；干涉
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
Internet,
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
repetition,n. 重复；背诵；副本
strategic,adj. 战略上的，战略的
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
athlete,n. 运动员，体育家；身强力壮的人
automobile,"n. 汽车
vt. 驾驶汽车
"
await,vt. 等候，等待；期待
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
controversy,n. 争论；论战；辩论
conversely,adv. 相反地
copyright,"n. 版权，著作权
adj. 版权的；受版权保护的
vt. 保护版权；为…取得版权"
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
county,n. 郡，县
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
drunk,"v. 喝酒（drink的过去分词）
adj. 喝醉了的"
fund,"n. 基金；资金；存款
vt. 投资；资助"
fur,"n. 皮，皮子；毛皮；软毛
n. 水垢
vt. 用毛皮覆盖；使穿毛皮服装"
furnace,n. 火炉，熔炉
furthermore,adv. 此外；而且
fuss,"n. 大惊小怪，大惊小怪的人；小题大作；忙乱
vt. 使烦恼，使烦忧
vi. 小题大作；忙乱；焦燥；焦急；无事自扰"
introduction,n. 介绍；引进；采用；入门；传入
invasion,n. 入侵，侵略；侵袭；侵犯
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
successive,adj. 连续的；继承的；依次的；接替的
suggestion,n. 建议；示意；微量，细微的迹象
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
summarize,"vt. 总结；概述
vi. 作总结；作概括"
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
superb,adj. 极好的；华丽的；宏伟的
survival,n. 幸存，残存；幸存者，残存物
symptom,n.  症状；征兆
cube,"n. 立方；立方体；骰子
vt. 使成立方形；使自乘二次；量…的体积"
cue,"n. 提示，暗示；线索
vt. 给…暗示"
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
curl,"n. 卷曲；卷发；螺旋状物
vt. 使…卷曲；使卷起来
vi. 卷曲；盘绕"
currency,n. 货币；通货
curriculum,"n. 课程
总课程"
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
legal,adj. 法律的；合法的；法定的；依照法律的
liberate,vt. 解放；放出；释放
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
mode,n. 模式；方式；风格；时尚
mostly,adv. 主要地；通常；多半地
mug,"n. 杯子；脸；苦读者
vi. 扮鬼脸，做怪相
vt. 行凶抢劫"
myth,n. 神话；虚构的人，虚构的事
neighborhood,n. 附近；街坊；接近；街区
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
occurrence,n. 发生；出现；事件；发现
opening,"n. 开始；机会；通路；空缺的职位
adj. 开始的
v. 开放（open的ing形式）；打开；公开"
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
output,"n. 输出，输出量；产量；出产
vt. 输出"
riot,"n. 暴乱；放纵；蔓延
vt. 浪费，挥霍
vi. 骚乱；放荡"
romantic,"n. 浪漫的人
adj. 浪漫的；多情的；空想的
vt. 使…浪漫化"
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
victim,n. 受害人；牺牲品；牺牲者
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
virus,n.  病毒；恶毒；毒害
vocabulary,n. 词汇；词表；词汇量
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
action,n. 行动；活动；功能；战斗；情节
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
balcony,n. 阳台；包厢；戏院楼厅
basis,n. 基础；底部；主要成分；基本原则或原理
cautious,adj. 谨慎的；十分小心的
cheerful,adj. 快乐的；愉快的；高兴的
climate,n. 气候；风气；思潮；风土
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
recession,n. 衰退；不景气；后退；凹处
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
element,n. 元素；要素；原理；成分；自然环境
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
fate,"n. 命运
vt. 注定"
fearful,adj. 可怕的；担心的；严重的
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
gene,n.  基因，遗传因子
generally,adv. 通常；普遍地，一般地
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
harden,"vi. 变硬，变坚固；变坚强；变冷酷
vt. 使…变硬；使…坚强；使…冷酷；使…麻木不仁"
ignorance,n. 无知，愚昧；不知，不懂
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
medal,n. 勋章，奖章；纪念章
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
poisonous,adj. 有毒的；恶毒的；讨厌的
politics,n. 政治，政治学；政治活动；政纲
poster,n. 海报，广告；招贴
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
accountant,n. 会计师；会计人员
accuracy,n.  精确度，准确性
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
cashier,"n. 出纳员；司库；收银员
vt. 解雇；抛弃"
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
delegate,"n. 代表
vt. 委派…为代表"
deputy,"n. 代理人，代表
adj. 副的；代理的"
edit,"vt. 编辑；校订
n. 编辑工作"
edition,"n. 版本
版次
集"
electrical,adj. 有关电的；电气科学的
famine,n. 饥荒；饥饿，奇缺
fasten,"vt. 使固定；集中于；扎牢；强加于
vi. 扣紧；抓住；集中注意力"
fee,"n. 费用；酬金；小费
vt. 付费给……"
given,"prep. 考虑到
v. 给予（give的过去分词）
adj. 赠予的；沉溺的；规定的"
glue,"n. 胶；各种胶合物
vt. 粘合；似胶般固着于"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
haste,"n. 匆忙；急忙；轻率
vt. 赶快
vi. 匆忙；赶紧"
hatred,n. 憎恨；怨恨；敌意
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
manner,n. 方式；习惯；种类；规矩；风俗
polish,
pollution,"n. 污染
污染物"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
quiz,"n. 考查；恶作剧；课堂测验
vt. 挖苦；张望；对…进行测验"
sauce,"n. 酱油；沙司；调味汁
vt. 使增加趣味；给…调味"
scarcely,adv. 几乎不，简直不；简直没有
species,"n.  物种；种类
adj. 物种上的"
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
waterproof,"n. 防水材料
vt. 使防水
adj. 防水的，不透水的"
advertisement,n. 广告，宣传
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
beggar,"n. 乞丐；穷人；家伙
vt. 使贫穷；使沦为乞丐"
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
deaf,adj. 聋的
fashionable,adj. 流行的；时髦的；上流社会的
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
festival,"n. 节日；庆祝，纪念活动；欢乐
adj. 节日的，喜庆的；快乐的"
global,adj. 全球的；总体的；球形的
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
hearing,"n. 听力；审讯，听讯
v. 听见（hear的ing形式）"
identity,n. 身份；同一性，一致；特性；恒等式
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
pat,"n. 轻拍；小块；轻拍声
adj. 恰好的；熟练的；合适的
vt. 轻拍
adv. 恰好；熟记地
vi. 轻拍"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
policy,n. 政策，方针；保险单
queue,"n. 队列；长队；辫子
vt. 将…梳成辫子；使…排队
vi. 排队；排队等候"
realistic,adj. 现实的；现实主义的；逼真的；实在论的
shortcoming,n. 缺点；短处
shrug,"n. 耸肩
vi. 耸肩
vt. 耸肩，耸肩表示"
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
comply,vi. 遵守；顺从，遵从；答应
acquisition,n. 获得物，获得；收购
addition,n. 添加； 加法；增加物
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
chaos,n. 混沌，混乱
circular,"n. 通知，传单
adj. 循环的；圆形的；间接的"
clause,n. 条款； 子句
client,n.  客户；顾客；委托人
editor,n. 编者，编辑；社论撰写人；编辑装置
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活"
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
merry,"adj. 愉快的；微醉的；嬉戏作乐的
n. 甜樱桃"
phone,"n. 电话；耳机，听筒
vt. 打电话
vi. 打电话"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
raid,"n. 袭击；突袭；搜捕；抢劫
vt. 袭击，突袭
vi. 对…进行突然袭击"
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的"
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
shiver,"n. 颤抖，战栗；碎片
vi. 颤抖；哆嗦；打碎
vt. 颤抖；打碎"
sin,"n. 罪恶；罪孽；过失
vt. 犯罪
vi. 犯罪；犯过失"
sow,"n. 母猪
vt. 播种；散布；使密布
vi. 播种"
understanding,"n. 谅解，理解；理解力；协议
v. 理解；明白（understand的ing形式）
adj. 了解的；聪明的；有理解力的"
weep,"n. 哭泣；眼泪；滴下
vt. 哭泣；流泪；悲叹；流出或渗出液体
vi. 哭泣；流泪；哀悼；滴落；渗出液体"
collaborate,vi. 合作；勾结，通敌
commodity,n. 商品，货物；日用品
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
cite,vt. 引用；传讯；想起；表彰
clumsy,"adj. 笨拙的
笨拙地
不得当的
不得当地"
definition,n. 定义； 清晰度；解说
election,n. 选举；当选；选择权；上帝的选拔
farewell,"n. 告别，辞别；再见；再会
adj. 告别的
int. 别了！（常含有永别或不容易再见面的意思）；再会！"
fascinating,"adj. 迷人的；吸引人的；使人神魂颠倒的
v. 使…着迷；使…陶醉（fascinate的ing形式）"
faulty,adj. 有错误的；有缺点的
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
publication,n. 出版；出版物；发表
publicity,n. 宣传，宣扬；公开；广告；注意
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
rid,vt. 使摆脱；使去掉
skillful,adj. 熟练的；巧妙的
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
spectacular,adj. 壮观的，惊人的；公开展示的
temptation,n. 引诱；诱惑物
therapy,n. 治疗，疗法
thirst,"n. 渴望；口渴；热望
vi. 渴望；口渴"
thorough,adj. 彻底的；十分的；周密的
thrive,vi. 繁荣，兴旺；茁壮成长
timber,n. 木材；木料
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
useless,adj. 无用的；无效的
uneasy,adj. 不舒服的；心神不安的；不稳定的
whereas,conj. 然而；鉴于；反之
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
subjective,adj. 主观的；个人的；自觉的
agenda,n. 议程；日常工作事项；日程表
alongside,"prep. 在……旁边
adv. 在旁边"
banner,"n. 横幅图片的广告模式
n. 旗帜，横幅,标语"
bearing,"n.  轴承；关系；方位；举止
v. 忍受（bear的ing形式）"
chap,"n. 小伙子；家伙；龟裂
vt. 使皲裂
vi. 皲裂"
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
damn,"n. 一点；诅咒
vt. 谴责；罚…下地狱
adj. 可恶的
adv. 非常
vi. 谴责
int. 讨厌"
dash,"n. 破折号；冲撞
vi. 猛冲；撞击
vt. 使…破灭；猛撞；泼溅"
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
echo,"n. 回音；效仿
vt. 反射；重复
vi. 随声附和；发出回声"
editorial,"n. 社论
adj. 编辑的；社论的"
elderly,adj. 上了年纪的；过了中年的；稍老的
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
feedback,n. 反馈；成果，资料；回复
fertile,adj. 富饶的，肥沃的；能生育的
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
ignorant,adj. 无知的；愚昧的
immense,adj. 巨大的，广大的；无边无际的；非常好的
painful,adj. 痛苦的；疼痛的；令人不快的
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
perception,n. 知觉； 感觉；看法；洞察力；获取
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
politician,n. 政治家，政客
regarding,prep. 关于，至于
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
senator,n. 参议员；（古罗马的）元老院议员；评议员，理事
sexual,adj. 性的；性别的；有性的
shortly,adv. 立刻；简短地；唐突地
sigh,"n. 叹息，叹气
vt. 叹息，叹气
vi. 叹息，叹气"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
ski,"n. 滑雪橇
vi. 滑雪
adj. 滑雪（用）的"
tremble,"n. 颤抖；战栗；摇晃
vi. 发抖；战栗；焦虑；摇晃
vt. 使挥动；用颤抖的声音说出"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
quiver,"n. 颤抖；箭袋；震动
vi. 颤抖；振动
vt. 使…颤动；抖动"
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
union,n. 联盟，协会；工会；联合
unload,"vt. 卸；摆脱…之负担；倾销
vi. 卸货；退子弹"
abnormal,adj. 反常的，不规则的；变态的
abortion,n. 流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
acceptable,adj. 可接受的；合意的；可忍受的
ace,"n. 幺点；直接得分的发球；佼佼者；（俚）最好的朋友
adj. 一流的，突出的
vt. 以发球赢一分；击败
int. 太棒了；太好了"
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
acre,n. 土地，地产；英亩
adjective,"n. 形容词
adj. 形容词的；从属的"
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
administrate,vt. 管理；经营，实施
administration,n. 管理；行政；实施；行政机构
adult,"n. 成年人
adj. 成年的；成熟的"
adverb,"n. 副词
adj. 副词的"
aerial,"n.  天线
adj. 空中的，航空的；空气的；空想的"
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
afterward,adv. 以后，后来
afterwards,adv. 后来；然后
agency,n. 代理，中介；代理处，经销处
agony,n. 苦恼；极大的痛苦；临死的挣扎
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
AIDS,abbr. 获得性免疫缺乏综合征；爱滋病（Acquired Immune Deficiency Syndrome）
air-conditioning,n. 空调系统；空气调节
aircraft,n. 飞机，航空器
airline,"n. 航空公司；航线
adj. 航线的"
aisle,n. 通道，走道；侧廊
album,n. 相簿；唱片集；集邮簿；签名纪念册
alcohol,n. 酒精，乙醇
algebra,n. 代数学
allege,vt. 宣称，断言；提出…作为理由
alley,n. 小巷；小路；小径
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
aluminium,"n. 铝
adj. 铝的"
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
