abnormal,adj. 反常的，不规则的；变态的
intrinsic,adj. 本质的，固有的
inherent,adj. 固有的；内在的；与生俱来的，遗传的
innate,adj. 先天的；固有的；与生俱来的
ivory,"n. 象牙；乳白色；长牙
adj. 乳白色的；象牙制的"
milky,adj. 乳白色的；牛奶的；乳状的；柔和的；混浊不清的
tan,"vi. 晒成棕褐色
adj. 黄褐色的；鞣皮的
n. （日晒后皮肤的）黝黑色；棕褐色；鞣料；马戏团
vt. 鞣（革）；晒成褐色"
coral,"n. 珊瑚；珊瑚虫
adj. 珊瑚的；珊瑚色的"
grassy,adj. 长满草的；草绿色的
bronze,"n. 青铜；古铜色；青铜制品
adj. 青铜色的；青铜制的
vt. 镀青铜于
vi. 变成青铜色，被晒黑"
jam,"n. 果酱；拥挤；困境；扣篮
vt. 使堵塞；挤进，使塞满；混杂；压碎
vi. 堵塞；轧住"
obstruct,"vt. 妨碍；阻塞；遮断
vi. 阻塞；设障碍"
clog,"n. 障碍；木底鞋
v. 阻塞；障碍"
journey,"n. 旅行；行程
vi. 旅行"
journal,n. 日报，杂志；日记；分类账
journalist,n. 新闻工作者；报人；记日志者
judicial,adj. 公正的，明断的；法庭的；审判上的
judiciary,"n. 司法部；法官；司法制度
adj. 司法的；法官的；法院的"
jurisdiction,n. 司法权，审判权，管辖权；权限，权力
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的"
eagle,n. 鹰；鹰状标饰
smuggle,"vt. 走私；偷运
vi. 走私，私运；偷带"
jury,"n.  陪审团；评判委员会
adj. 应急的"
referee,"n. 裁判员；调解人；介绍人
vt. 为…当裁判；调停
vi. 仲裁；担任裁判"
committee,n. 委员会
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
plaintiff,n. 原告
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
solicitor,n. 律师；法务官；募捐者；掮客
deputy,"n. 代理人，代表
adj. 副的；代理的"
client,n.  客户；顾客；委托人
patron,n. 赞助人；保护人；主顾
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
limelight,"n. 石灰光，石灰光灯；众人注目的中心
vt. 使显露头角，使受到注目"
milestone,n. 里程碑，划时代的事件
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
bleach,"n. 漂白剂
vt. 使漂白，使变白
vi. 变白，漂白"
lotion,n. 洗液；洗涤剂
cleanse,vt. 净化；使…纯净；使…清洁
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
proceedings,n. 诉讼；行动（proceeding的复数形式）；会议记录；议程
petition,"n. 请愿；请愿书；祈求； 诉状
vt. 请愿；请求；恳求
vi. 请愿；请求"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
warranty,n. 保证；担保；授权；（正当）理由
arbitrate,vt. 仲裁；公断
decree,"n. 法令；判决
vt. 命令；颁布；注定；判决
vi. 注定；发布命令"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
brink,n. （峭壁的）边缘
rim,"n. 边，边缘；轮辋；圆圈
vt. 作…的边，装边于
vi. 作…的边，装边于"
axis,n. 轴；轴线；轴心国
layoff,n. 活动停止期间；临时解雇；操作停止；失业期
unemployment,n. 失业；失业率；失业人数
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
resignation,n. 辞职；放弃；辞职书；顺从
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
legislation,n. 立法；法律
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
legal,adj. 法律的；合法的；法定的；依照法律的
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
mechanics,n. 力学（用作单数）；结构；技术；机械学（用作单数）
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
dynamical,adj. 动力学的（等于dynamic）；有生气的；有力的
watt,n. 瓦特
velocity,n. 速度
friction,n. 摩擦， 摩擦力
echo,"n. 回音；效仿
vt. 反射；重复
vi. 随声附和；发出回声"
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
prone,adj. 俯卧的；有…倾向的，易于…的
apt,adj. 恰当的；有…倾向的；灵敏的
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
lime,"n. 石灰；酸橙；绿黄色
vt. 撒石灰于；涂粘鸟胶于
adj. 绿黄色的"
limp,"adj. 柔软的，无力的；软弱的
vi. 跛行，一拐一拐地走；缓慢费力地前进
n. 跛行"
lump,"n. 块，块状；肿块；瘤；很多；笨人
vt. 混在一起；使成块状；忍耐；笨重地移动
vi. 结块
adj. 成团的；总共的
adv. 很；非常"
literature,n. 文学；文献；文艺；著作
literacy,n. 读写能力；精通文学
literary,adj. 文学的；书面的；精通文学的
literate,"adj. 受过教育的；精通文学的
n. 学者"
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
literal,adj. 文字的；逐字的；无夸张的
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
locality,n. 所在；位置；地点
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
relocate,"n. 浮动
vt. 重新安置；迁移
vi. 重新安置；迁移新址"
location,n. 位置（形容词locational）；地点；外景拍摄场地
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
lodging,n. 寄宿；寄宿处；出租的房间、住房；倒伏
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
loop,"vi. 打环；翻筋斗
n. 环；圈；弯曲部分；翻筋斗
vt. 使成环；以环连结；使翻筋斗"
loot,"n. 战利品；抢劫；掠夺品
vt. 抢劫，洗劫；强夺
vi. 洗劫，掠夺；抢劫"
luminous,adj. 发光的；明亮的；清楚的
brightness,n.  亮度；聪明，活泼；鲜艳；愉快
emission,n. （光、热等的）发射，散发；喷射；发行
spotlight,"n. 聚光灯；反光灯；公众注意的中心
vt. 聚光照明；使公众注意"
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
Mars,n. 战神； 火星
comet,n.  彗星
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
cosmos,n. 宇宙；和谐；秩序；大波斯菊
cosmic,adj. 宇宙的（等于cosmical）
astronomy,n. 天文学
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
allure,"n. 诱惑力
vt. 引诱，诱惑；吸引
vi. 诱人，吸引人"
seduce,vt. 引诱；诱惑；诱奸；怂恿
elicit,vt. 抽出，引出；引起
magistrate,n. 地方法官；文职官员；治安推事
premier,"n. 总理，首相
adj. 第一的；最初的"
superintendent,n. 监督人；负责人；主管；指挥者
inspector,n. 检查员；巡视员
tribune,n. 护民官；讲坛；看台；公民权利保护者
envoy,n. 使者；全权公使
treasurer,n. 会计；司库；财务主管；出纳员
senator,n. 参议员；（古罗马的）元老院议员；评议员，理事
spokesman,n. 发言人；代言人
consulate,n. 领事；领事馆；领事任期；领事职位
diplomatic,adj. 外交的；外交上的；老练的
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
tenure,"n. 任期；占有
vt. 授予…终身职位"
magnet,n. 磁铁； 磁体；磁石
magnetic,adj. 地磁的；有磁性的；有吸引力的
pole,
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
escalate,"vt. 使逐步上升
vi. 逐步增强；逐步升高"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
maintenance,n. 维护，维修；保持；生活费用
detain,vt. 拘留；留住；耽搁
retention,n. 保留；扣留，滞留；记忆力；闭尿
mandate,"n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
commander,n. 指挥官；司令官
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
conspicuous,adj. 显著的；显而易见的
obvious,adj. 明显的；显著的；平淡无奇的
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
noteworthy,adj. 值得注意的；显著的
prominent,adj. 突出的，显著的；杰出的；卓越的
manipulate,vt. 操纵；操作；巧妙地处理；篡改
maneuver,"n.  机动；演习；策略；调遣
vi.  机动；演习；调遣；用计谋
vt.  机动；演习；用计；调遣"
manoeuvre,"vi. 调动；演习；用策略
vt. 诱使；操纵；耍花招
n. 策略（等于maneuvre）"
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
marsh,"n. 沼泽；湿地
adj. 沼泽的；生长在沼泽地的"
glacier,n. 冰河，冰川
iceberg,n.  冰山；显露部分
gorge,"n. 峡谷；胃；暴食；咽喉；障碍物
vt. 使吃饱；吞下；使扩张
vi. 拚命吃；狼吞虎咽"
cliff,n. 悬崖；绝壁
ridge,"n. 山脊；山脉；屋脊
vt. 使成脊状；作垄
vi. 成脊状"
cavity,n. 腔；洞，凹处
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
marshal,"n. 元帅；司仪
vt. 整理；引领；编列
vi. 排列"
lieutenant,n. 中尉；副官；助理人员
sergeant,n. 军士；警察小队长；海军陆战队中士；高等律师
colonel,n. 陆军上校
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
badge,"n. 徽章；证章；标记
vt. 授给…徽章"
masculine,"adj. 男性的；阳性的；男子气概的
n. 男性；阳性，阳性词"
feminine,adj. 女性的；妇女（似）的；阴性的；娇柔的
lesbian,"adj.  女同性恋的
n. 女同性恋者"
virgin,"n. 处女
adj. 处女的；纯洁的；未经利用的，处于原始状态的"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
dodge,"n. 躲闪；托词
vi. 躲避，避开
vt. 躲避，避开
n. 道奇（汽车品牌）"
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
slaughter,"n. 屠宰，屠杀；杀戮；消灭
vt. 屠宰，屠杀；杀戮；使惨败"
persecute,vt. 迫害；困扰；同…捣乱
strangle,"vt. 把…勒死；使…窒息
vi. 窒息而死；被勒死"
stifle,"n. （马等的）后膝关节；（马等的） 后膝关节病
vt. 扼杀；使窒息；藏匿
vi. 窒息；被扼杀"
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
ordeal,n. 折磨；严酷的考验；痛苦的经验
memorable,adj. 显著的，难忘的；值得纪念的
memorandum,n. 备忘录；便笺
commemorate,vt. 庆祝，纪念；成为…的纪念
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
memory,n. 记忆，记忆力；内存， 存储器；回忆
merchandise,"n. 商品；货物
vt. 买卖；推销
vi. 经商"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
syndicate,"n. 辛迪加；企业联合；财团
vt. 把…联合成辛迪加；在多家报刊上同时发表
vi. 联合成辛迪加；组成企业联合组织"
jargon,n. 行话，术语；黄锆石
showcase,"n. 陈列橱， 陈列柜；显示优点的东西
vt. 使展现；在玻璃橱窗陈列"
voucher,"n. 收据；证人；保证人；证明者；代金
vt. 证实...的可靠性"
coupon,n. 息票；赠券；联票； 配给券
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
peddle,"vt. 叫卖；兜售；散播
vi. 沿街叫卖；忙于琐事"
lucrative,adj. 有利可图的，赚钱的；合算的
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
second-hand,"adj. 旧的，二手的
adv. 间接地，第二手地"
mall,n. 购物商场；林荫路；铁圈球场
plaza,n. 广场；市场，购物中心
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
coalition,n. 联合；结合，合并
commonwealth,n. 联邦；共和国；国民整体
conjunction,n. 结合； 连接词；同时发生
junction,n. 连接，接合；交叉点；接合点
mingle,"vi. 混合；交往
vt. 使混合；使相混"
fuse,"n. 保险丝，熔线；导火线，雷管
vt. 使融合；使熔化，使熔融
vi. 融合；熔化，熔融"
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
cosmopolitan,"n. 四海为家者；世界主义者；世界各地都有的东西
adj. 世界性的；世界主义的，四海一家的"
policy,n. 政策，方针；保险单
microscope,n. 显微镜
microscopic,adj. 微观的；用显微镜可见的
microwave,n. 微波
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
emigrate,"vi. 移居；移居外国
vt. 移民"
immigrate,"vi. 移入
vt. 使移居入境"
militant,"adj. 好战的
n. 富有战斗性的人；好斗者；激进分子"
malignant,"adj.  恶性的；有害的；有恶意的
n. 保王党员；怀恶意的人"
remnant,"n. 剩余
adj. 剩余的"
millionaire,"n. 百万富翁；大富豪
adj. 100万以上人口的"
trillion,"num.  万亿
n.  万亿
adj. 万亿的"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
luxurious,adj. 奢侈的；丰富的；放纵的；特级的
lavish,"adj. 浪费的；丰富的；大方的
vt. 浪费；慷慨给予；滥用"
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
minimal,adj. 最低的；最小限度的
marginal,adj. 边缘的；临界的；末端的
negligible,adj. 微不足道的，可以忽略的
insignificant,adj. 无关紧要的
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
trivial,adj. 不重要的，琐碎的；琐细的
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
minimize,"vt. 使减到最少；小看，极度轻视
vi. 最小化"
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
minus,"prep. 减，减去
n. 负号，减号；不足；负数
adj. 减的；负的"
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
complication,n. 并发症；复杂；复杂化；混乱
dilemma,n. 困境；进退两难；两刀论法
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
plight,"n. 困境；境况；誓约
vt. 保证；约定"
setback,n. 挫折；退步；逆流
deadlock,"n. 僵局，停顿
vt. 停顿；相持不下
vi. 死锁；停顿"
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
assignment,n. 分配；任务；作业；功课
undertaking,"n. 事业；企业；保证；殡仪业
v. 同意；担任；许诺（undertake的ing形式）"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
moderation,n. 适度；节制；温和；缓和
monarch,n. 君主，帝王；最高统治者
monarchy,n. 君主政体；君主国；君主政治
monotony,n. 单调；千篇一律
monk,n. 僧侣，修道士；和尚
bishop,n. （基督教的）主教；（国际象棋的）象
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
clergy,n. 神职人员；牧师；僧侣
nun,n. 修女，尼姑
priest,"n. 牧师；神父；教士
vt. 使成为神职人员；任命…为祭司"
cult,n. 祭仪（尤其指宗教上的）；礼拜；狂热信徒
martyr,"vt. 牺牲；折磨；杀害
n. 烈士；殉道者"
mentor,"n. 指导者，良师益友
vt. 指导"
pilgrim,"n. 朝圣者；漫游者；（美）最初的移民
vi. 去朝圣；漫游"
missionary,"adj. 传教的；传教士的
n. 传教士"
monopoly,n. 垄断；垄断者；专卖权
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
wholesale,"n. 批发
adj. 批发的；大规模的
vt. 批发
adv. 大规模地；以批发方式
vi. 批发；经营批发业"
morality,n. 道德；品行，美德
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
disposition,n. 处置； 性情； 部署；倾向
temperament,n. 气质，性情，性格；急躁
motivate,vt. 刺激；使有动机；激发…的积极性
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
mobilize,"vt. 动员，调动；集合，组织；使…流通；使…松动
vi. 组织；动员起来"
mobilise,"vt. 动员；调动；使流通
vi. 动员起来（等于mobilize）"
mobility,n. 移动性；机动性； 迁移率
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
mutter,"vi. 咕哝；喃喃自语
vt. 咕哝；抱怨地说；低声含糊地说
n. 咕哝；喃喃低语"
murmur,"n. 低语；低语声；低声抱怨；潺潺声
vi. 低声说；私下抱怨；发出轻柔持续的声音
vt. 低声说"
groan,"n. 呻吟；叹息；吱嘎声
vt. 呻吟；抱怨
vi. 呻吟；抱怨；发吱嘎声"
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
magician,n. 魔术师，变戏法的人
witch,"n. 巫婆，女巫
vt. 迷惑；施巫术"
superstition,n. 迷信
mythology,n. 神话；神话学；神话集
myth,n. 神话；虚构的人，虚构的事
folklore,n. 民俗学；民间传说；民间风俗
navigation,n. 航行；航海
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
cruise,"n. 巡航，巡游；乘船游览
vt. 巡航，巡游；漫游
vi. 巡航，巡游；漫游"
shipyard,n. 造船厂；船坞；修船厂
convoy,"n. 护送；护卫；护航队
vt. 护航；护送"
tanker,n. 油轮；运油飞机；油槽车；坦克手
submarine,"n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动"
liner,n. 班轮，班机；衬垫；画线者
yacht,"n. 游艇，快艇；轻舟
vi. 乘游艇，驾游艇"
canoe,"n. 独木舟；轻舟
vi. 乘独木舟
vt. 用独木舟运"
oar,"n. 桨；橹；桨手
vt. 划（船）
vi. 划行"
propeller,n.  螺旋桨；推进器
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
maritime,adj. 海的；海事的；沿海的；海员的
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
negate,"vt. 否定；取消；使无效
vi. 否定；否认；无效
n. 对立面；反面"
negligence,n. 疏忽；忽视；粗心大意
nest,"n. 巢，窝；安乐窝；温床
vt. 筑巢；嵌套
vi. 筑巢；找鸟巢"
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
owl,n. 猫头鹰；枭；惯于晚上活动的人
parrot,"n. 鹦鹉；学舌者，应声虫；机械模仿别人的人
vt. 机械地模仿"
penguin,n. 企鹅；空军地勤人员
crow,"n.  乌鸦；鸡鸣；撬棍
vi. 啼叫；报晓"
dove,"n. 鸽子；鸽派人士
v. 潜水（dive的过去式）"
poultry,"n. 家禽
家禽肉"
peck,"n. 许多；配克（容量单位，等于2加仑）；啄痕；快速轻吻
vt. 啄食；扔
vi. 啄食；扔石头；吹毛求疵"
perch,"n. 鲈鱼; 高位；栖木；杆
vt. 栖息；就位；位于；使坐落于
vi. 栖息；就位；位于"
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
network,n. 网络；广播网；网状物
web,"n. 网；卷筒纸；蹼；织物；圈套
vt. 用网缠住；使中圈套
vi. 形成网"
browser,n.  浏览器；吃嫩叶的动物；浏览书本的人
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
antenna,n.  天线； 触角， 触须
nominal,"adj. 名义上的；有名无实的； 票面上的
n.  名词性词"
corporal,"n. 下士
adj. 肉体的，身体的"
electoral,adj. 选举的；选举人的
maternal,adj. 母亲的；母性的；母系的；母体遗传的
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
multilateral,adj.  多边的；多国的，多国参加的
physiological,adj. 生理学的，生理的
temporal,"n. 世间万物；暂存的事物
adj. 暂时的；当时的；现世的"
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
unilateral,adj. 单边的； 单侧的；单方面的；单边音；（父母）单系的
normalization,n. 正常化；标准化；正规化；常态化
normality,n. 常态； 当量浓度； 规定浓度
norm,n. 标准，规范
notorious,adj. 声名狼藉的，臭名昭著的
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
slack,"n. 煤末；峡谷
adj. 松弛的；疏忽的；不流畅的
vt. 放松；使缓慢
adv. 马虎地；缓慢地
vi. 松懈；减弱"
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
irrespective,adj. 无关的；不考虑的；不顾的
nourish,vt. 滋养；怀有；使健壮
nourishment,n. 食物；营养品；滋养品
nursery,n. 苗圃；托儿所；温床
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
nutrition,n. 营养，营养学；营养品
nucleus,n. 核，核心；原子核
subatomic,adj.  亚原子的；原子内的
uranium,n.  铀
fusion,n. 融合；熔化；熔接；融合物； 核聚变
numerical,adj. 数值的；数字的；用数字表示的（等于numeric）
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
multiplication,n.  乘法；增加
addition,n. 添加； 加法；增加物
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
tertiary,"n. 第三纪；第三修道会会员；第三级教士
adj. 第三的；第三位的；三代的"
halve,vt. 二等分；把……减半
dual,"n. 双数；双数词
adj. 双的；双重的"
shorthand,"n. 速记；速记法
adj. 速记法的"
decimal,"n. 小数
adj. 小数的；十进位的"
fraction,n. 分数；部分；小部分；稍微
nil,n. 无，零
formula,n.  公式，准则；配方；婴儿食品
oath,n. 誓言，誓约；诅咒，咒骂
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
vow,"n. 发誓；誓言；许愿
vi. 发誓；郑重宣告
vt. 发誓；郑重宣告"
obedience,n. 顺从；服从；遵守
obedient,adj. 顺从的，服从的；孝顺的
comply,vi. 遵守；顺从，遵从；答应
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
reconcile,vt. 使一致；使和解；调停，调解；使顺从
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
compel,vt. 强迫，迫使；强使发生
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
observation,n. 观察；监视；观察报告
observatory,n. 天文台；气象台；瞭望台
preservation,n. 保存，保留
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
deserve,"vi. 应受，应得
vt. 应受，应得"
reserved,adj. 保留的，预订的；缄默的，冷淡的，高冷的；包租的
occupation,n. 职业；占有；消遣；占有期
vocation,n. 职业；天职；天命；神召
vocational,adj. 职业的，行业的
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
practitioner,n. 开业者，从业者，执业医生
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理"
stewardess,n. 女管家；女干事；女服务员
consultant,n. 顾问；咨询者；会诊医生
dentist,"n. 牙科医生
牙医诊所"
apprentice,"n. 学徒；生手
vt. 使…当学徒
vi. 当学徒"
aide,n. 助手；副官；侍从武官
occurrence,n. 发生；出现；事件；发现
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
odor,n. 气味；名声
odour,n. 气味；声誉
perfume,"n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气"
sniff,"vt. 嗅；闻；用力吸；发觉
vi. 嗅；嗤之以鼻
n. 吸，闻；嗤之以鼻；气味；以鼻吸气；吸气声"
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
offence,n. 犯罪；违反；过错；攻击
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
execution,n. 执行，实行；完成；死刑
grease,"n. 油脂；贿赂
vt. 涂脂于；贿赂"
malpractice,n. 玩忽职守；不法行为；治疗不当
inmate,n. (尤指)同院病人；同狱犯人；同被(收容所)收容者
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
illicit,adj. 违法的；不正当的
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
defend,"vi. 保卫；防守
vt. 辩护；防护"
offender,n. 罪犯；冒犯者；违法者
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
defence,n. 防御；防卫；答辩；防卫设备
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
compensation,n. 补偿；报酬；赔偿金
opt,vi. 选择
