foods,n.  食品
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
summary report, 总结报告；汇总报表；摘要报告
conclusions,n. 结论，总结；决定（conclusion的复数）
outcomes,n. 产出，结局；效果（outcome的复数）
library,n. 图书馆，藏书室；文库
reading,"n. 阅读，朗读；读物；读数
v. 阅读（read的ing形式）
adj. 阅读的"
read aloud,"v. 朗读
 大声朗读；大声读；诵读"
read difficulty,
books,"n. 书籍（book的复数）；书评
v. 预订；领会（book的第三人称单数）；把…记载入册"
bookshelf,n. 书架
bookshop,n. 书店
booklets,n. 小册子（booklet的复数形式）
free booklet,
manual,"adj. 手工的；体力的
n. 手册，指南"
references,"n.  参考文献；参照；推荐信（reference的复数）
v. 附…以供参考；把…引作参考（reference的三单形式）"
reference number,"un. 参考号数；参考数；基准数；引用号
 编号；参考编号；参考序列号"
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
categories,n. 类别（category的复数）；分类
classifying,v. 把…分类；把…分等级（classify的ing形式）
classification,n. 分类；类别，等级
attachments,n.  附件；附着物；附属装置（attachment的复数形式）
articles,"n.  文章；物品； 条款（article的复数）； 冠词
v. 使受协议条款的约束；指控（article的三单形式）"
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
documentation,"n. 文件, 证明文件, 史实, 文件编制"
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
files,"n.  文件； 文档（file的复数）
v. 提出（file的第三人称单数）；发送；汇订"
archives,"n. 档案，档案室；案卷（archive的复数）
v. 把…收集归档；把…存档（archive的三单形式）"
handouts,n. 讲义；宣传册子，宣传品（handout的复数形式）
handbook,n. 手册；指南
copy,"n. 副本；一册；摹仿
vt. 复制；复印；抄袭
vi. 复制；复印；抄袭"
photocopy shop,
photocopies,"n. 影印本；影印机（photocopy的复数）
v. 影印（photocopy的第三人称单数）"
printers,n. 打印机( printer的名词复数 ); 印刷机; 印刷厂; 印刷业从业人员
printing,n. 印刷；印刷术
printing press,"n. 印刷机
 印刷厂；加压的印刷机；印刷术"
printing technology, 印刷工艺；印刷技术；印刷概要技术
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
typing,"n. 打字；键入
v. 打字；按类型把…归类（type的现在分词）"
paper,"n. 纸；论文；文件；报纸
adj. 纸做的
vt. 用纸糊；用纸包装
vi. 贴糊墙纸；发交通违章传票"
paper jams,
pens,n. 钢笔（pen的复数）
pencils,n. 铅笔，彩色铅笔( pencil的名词复数 ); 光线锥
ink,"n. 墨水，墨汁；油墨
vt. 签署；涂墨水于"
chalk,"n. 粉笔；白垩；用粉笔划的记号
adj. 用粉笔写的
vt. 用粉笔写；用白垩粉擦；记录；规划
vi. 变成白垩状"
textbooks,n. 教科书；课本（textbook的复数）
textbooks allowance,
textbook lesson,
text structure,正文结构
knowledge sharing,
knowledge,n. 知识，学问；知道，认识；学科
learn,"vt. 学习；得知；认识到
vi. 学习；获悉"
learners,n. 学习者，初学者，见习驾驶员( learner的名词复数 )
learning,"n. 学习；学问
v. 学习（learn的现在分词）"
learning difficulty,学习难度
learning styles, 学习方式；学习风格；学习型态
learning zone,
distance learning,"n. 远程教育；远程学习
 远距教学；远距学习；远程教学"
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
professional learning, 专业学习；专业的学习；专业授课
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
study skill,学习技巧
comprehension,n. 理解；包含
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
acknowledgment,n. 感谢；承认；承认书
understand,"vi. 理解；懂得；熟悉
vt. 理解；懂；获悉；推断；省略"
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
sharing,"n. 公用，共享
v. 分享；分担（share的ing形式）"
ideas,abbr. 工业设计优秀奖
share ideas,
approaches,处理
methods,n. 方法，方式；研究方法（method的复数）
methodology,n. 方法学，方法论
planning,"n. 规划；计划编制
v. 计划；设计；预期（plan的ing形式）"
plan time,
case studies,"n. 个案研究；专题
 案例研究；案例分析；个案分析"
examples,"n. 例子；列证（example的复数形式）
v. 举例说明；作出榜样（example的第三人称单数形式）"
general discussion,"n. 泛论
 综合讨论；一般讨论；综合讨论区"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
homework,n. 家庭作业，课外作业
notes,n. 注释，说明，笔记（note复数）； 票据
note-taking,n. 笔记，记笔记；随手记
make notes,"un. 打听；记下；审批
 做笔记；作笔记；读书笔记"
notebook,n. 笔记本，笔记簿；手册
note system,
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
guideline,"n. 指导方针
参考"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
objectives,n. 目的（objective的复数形式）；目标；宗旨
objective matters,
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
prepared,"v. 准备（prepare的过去分词）
adj. 准备好的；精制的"
preparation,n. 预备；准备
exam,n. 考试；测验
exam preparation,
quiz,"n. 考查；恶作剧；课堂测验
vt. 挖苦；张望；对…进行测验"
tests,"n. 测验（test的复数）
v. 测验（test的第三人称单数）"
result,"n. 结果；成绩；答案；比赛结果
vi. 结果；导致；产生"
test results,"un. 试验结果的换算
 测试结果；检测结果；检验结果"
academic record, 学习成绩；学业成绩；成绩单
achievement,n. 成就；完成；达到；成绩
schools,n. 学校（school的复数形式）
local schools,
primary school,"n. 小学
 本村小学；小学教育；小学组"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
secondary school,"n. 中学；中等学校
 中学教育；高中；初中"
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的"
summer school,"n. 暑期班（一般在大学开设，美国中小学也有）
 暑期学校；暑期课程；夏季课程"
nursery,n. 苗圃；托儿所；温床
education,n. 教育；培养；教育学
education officer, 教育主任；教育官员；教育事务主任
education plan,
educational,adj. 教育的；有教育意义的
student,n. 学生；学者
student card, 学生证；学生卡；学生票
student loan, 学生贷款；助学贷款；免息学生贷款
student union,"na. (大学生)学生活动大楼
 学生会；学生活动中心；学生联会"
student service,学生服务
first-year students,
first,"num. 第一
n. 第一；开始；冠军
adj. 第一的；基本的；最早的
adv. 第一；首先；优先；宁愿"
teachers,n. 教师（teacher的复数形式）
teaching staff, 教育工作者；教学人员；教师团队
professor,n. 教授；教师；公开表示信仰的人
tuition,n. 学费；讲授
admission,n. 承认；入场费；进入许可；坦白；录用
tutors,"n. 导师；助教；家庭教师（tutor的复数形式）
v. 辅导（tutor的单三形式）；当…的教师"
personal tutor,
tutorials,n. 教程；专题报告；学习指南（tutorial的复数）
university,n. 大学；综合性大学；大学校舍
college,n. 大学；学院；学会
department,n. 部；部门；系；科；局
department head,"n. 系主任
 部门主管；部门经理；部门主任"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
semester,n. 学期；半年
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
degree,n. 程度，等级；度；学位；阶层
grade,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化"
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
qualification,n. 资格；条件；限制；赋予资格
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
course codes,
coursework,n. 作业，修习；指定功课，职业培训
programmes,"n. 方案；计划（programme的复数）；项目； 程序；简介
v. 安排节目；按预定的步骤进行；编程序；按遗传密码工作（programme的三单形式）"
subjects,"n. 学科；科目（subject的复数）； 主题；被试者
v. 使服从；使经受；提交（subject的三单形式）"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
classroom,n. 教室
classroom tour,
lab,n. 实验室，研究室
self-access lab,
laboratory,n. 实验室，研究室
laboratories report,
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
timetable,n. 时间表；时刻表；课程表
times,"n. 时代（time的复数）； 次数
prep. 乘以
v. 使…相乘（time的第三人称单数）"
minutes,"n. 分钟（minute的复数）；会议记录；备忘录
v. 把…记录在案；为…测定时间（minute的单三形式）"
hour,n. 小时；钟头；课时；…点钟
daily,"n. 日报；朝来夜去的女佣
adj. 日常的；每日的
adv. 日常地；每日；天天"
daily routine,"na. 日常工作
 日常生活；例行公事；日常杂务"
geographical,adj. 地理的；地理学的
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
sea level,"n. 海平面
 海面；海拔；平均海面"
atlas,n. 地图集；寰椎
map,"vt. 映射；计划；绘制地图；确定基因在染色体中的位置
n. 地图；示意图；染色体图
vi. 基因被安置"
mapping,"v. 绘图；筹划（map的ing形式）
n. 地图；绘图； 映像"
circulation,n. 流通，传播；循环；发行量
oxygen,n.  氧气， 氧
ozone layer,"n. 臭氧层
 臭气层；臭氧层破坏；因臭氧层"
layers,n. 图层面板，图层集合（layer复数形式）；层面板
seasonal,adj. 季节的；周期性的；依照季节的
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
summer,"n. 夏季；全盛时期
adj. 夏季的
vi. 避暑；过夏天"
autumn,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的"
winter,"n. 冬季；年岁；萧条期
adj. 冬天的；越冬的
vi. 过冬"
earth,"n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴
vt. 把（电线） 接地；盖（土）；追赶入洞穴
vi. 躲进地洞"
planet,n. 行星
planet science,
day,"n. 一天；时期；白昼
adj. 日间的；逐日的
adv. 每天；经常在白天地"
daylight,n. 白天；日光；黎明；公开
morning,n. 早晨；黎明；初期
evenings,adv. 在（任何）晚上；每晚
evening news, 晚间新闻；晚报；新闻晚报
night,"n. 夜晚，晚上；黑暗，黑夜
adj. 夜晚的，夜间的"
night tour,夜班
night shifts,"na. 夜班(时间)；夜班工人
 夜斑"
stars,"n. 明星类, 明星（star的复数形式）"
moonlight,"adj. 月夜的；有月光的
n. 月光
v. 兼职，夜袭"
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
solar energy,"na. 太阳能
 大阳能；太阳能电池；太阳能发电"
solar power,"n. 太阳能
 美国国际太阳能展览会；太阳能发电；年美国国际太阳能展览会"
sun,"n. 太阳
vt. 使晒
vi. 晒太阳"
sun flower,"n.追日器,太阳跟踪器,向日葵"
sunset,n. 日落，傍晚
sun-cream,n. (进行日光浴时用的)防晒乳，防晒霜
sunscreen,n. （防晒油中的）遮光剂；防晒霜
sun hat,"n. 阔边遮阳帽
 太阳帽；海滩帽；大边帽"
sun position,
sunlight,n. 日光
water,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水"
watering,"n. 浇水；灌溉；排水沟
v. 浇水；灌溉；流口水（water的ing形式）
adj. 灌溉的；浇水用的；流口水的"
watering plants,
waterproof,"n. 防水材料
vt. 使防水
adj. 防水的，不透水的"
water level,n. 水准，水位，水平; 水平面; 吃水线; 潜水面
water collection tank,
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
deserts,"n.  沙漠； 荒原（desert的复数）；应得到的报应
v. 放弃；遗弃（desert的第三人称单数）"
desert locations,
hill,n. 小山；丘陵；斜坡；山冈
mountains,n. 山脉； 山区；山岳（mountain的复数）
mountain bike,"n. 山地自行车；越野单车
 山地车；山地自行车赛；登山车"
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
land bridge,"n. 陆桥说
 大陆桥；大地之桥术；陆桥运输"
cave,"n. 洞穴，窑洞
vi. 凹陷，塌落；投降
vt. 使凹陷，使塌落；在…挖洞穴"
holes,n. 小孔；破洞（hole的复数）
cliffs,n.  悬崖，峭壁；陡岸（cliff的复数形式）
edges,"n.  边缘；边界；优势（edge的复数）
v. 挤进；侧身移动（edge的三单形式）"
rocks,"n.  岩石，岩礁；岩石礁石（rock复数形式）
v. 轻轻摇摆；发抖；演唱摇滚乐（rock的第三人称单数形式）"
stones,"n. 石子（stone的复数）；小石头
v. 向…扔石子；用石块铺（stone的三单形式）"
limestone,n.  石灰岩
magnet,n. 磁铁； 磁体；磁石
mud,"vt. 弄脏；用泥涂
vi. 钻入泥中
n. 泥；诽谤的话；无价值的东西"
soil,"n. 土地；土壤；国家；粪便；务农；温床
vt. 弄脏；污辱
vi. 变脏"
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
sand,"n. 沙；沙地；沙洲；沙滩；沙子
vt. 撒沙于；以沙掩盖；用砂纸等擦平或磨光某物；使撒沙似地布满；给…掺沙子
vi. 被沙堵塞"
sandy,adj. 沙地的；多沙的；含沙的
sand-glasses,砂玻璃；砂时计，砂漏
soft sediment,
ash,n. 灰；灰烬
volcanic ash,"na. 火山灰
 火山灰尘；火山灰烬；尘埃"
dirt,n. 污垢，泥土；灰尘，尘土；下流话
mining,n. 矿业；采矿
minerals,n. 矿物；矿产，矿产品（mineral的复数）；矿物质
mineral soil,矿质土
resources,"n.  资源；物力（resource的复数）
v. 向…提供资金（resource的第三人称单数）"
coal,"n. 煤；煤块；木炭
vt. 给…加煤；把…烧成炭
vi. 上煤；加煤"
metals,五金
gold,"n. 金，黄金；金色；金币
adj. 金的，金制的；金色的"
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
carbon dioxide,"n. 二氧化碳
 一氧化碳；二氧货碳；碳酐"
fountain,n. 喷泉，泉水；源泉
steams,v. 冒蒸汽( steam的第三人称单数 ); 快速行走，疾行; （靠蒸汽）行驶; 蒸煮
waterfall,n. 瀑布；瀑布似的东西
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
coastal,adj. 沿海的；海岸的
coastline,n. 海岸线
coastal cities, 沿海城市；海边城市；滨海城市
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
tides,"n.  潮汐（tide的复数）
v. 随潮水漂浮（tide的第三人称单数）"
sill,n. 窗台；基石；门槛； 海底山脊
ocean,n. 海洋；大量；广阔
ocean condition,
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
sea,n. 海；海洋；许多；大量
seagrass, 海草
sea view,
lakes,n. 湖( lake的名词复数 ); 湖泊
lakeside,n. 湖边
pool,"n. 联营；撞球；水塘；共同资金
vt. 合伙经营
vi. 联营，合伙经营"
padding pool,
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
rivers,n. 里弗斯（人名）；河流州（尼日利亚州名）；河水钻
riverside,"n. 河边；河畔
adj. 河畔的"
river trip,
river view,
natural,"adj. 自然的；物质的；天生的；不做作的
n. 自然的事情；白痴；本位音"
nature,n. 自然；性质；本性；种类
unnatural,adj. 不自然的；反常的；不近人情的
habitat,n.  栖息地，产地
undeveloped,adj. 未开发的；不发达的；未充分发育的
environment,n. 环境，外界
environment agency,
environment damage,
environment issues,
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
ecosystem,n. 生态系统
system,n. 制度，体制；系统；方法
global warming,"n. 全球（气候）变暖；地球大气层变暖
 全球变暖；全球暖化；警惕全球变暖"
hot house,"un. 温室；燃烧室
 温房；热屋；暖室"
pollution,"n. 污染
污染物"
air pollution,"na. 大气污染
 空气污染；由于空气污染；空气染污"
pollutants,n.  污染物（pollutant的复数）
contaminated,"v. 污染（contaminate的过去式）
adj. 受污染的；弄脏的"
chemical contaminants,
water pollution,"n. 水污染
 水质污染；水源污染；水体污染"
water quality,"n. 水质品质
 水盾；水质标准认证；水面质量"
water treatment,"na. 水的净化
 水处理；给水处理；水的处理"
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
transparency,n. 透明，透明度；幻灯片；有图案的玻璃
fell,"n.  一季所伐的木材；折缝；兽皮
v. 掉下；摔倒；下垂；变坏（fall的过去式）
adj. 凶猛的；毁灭性的
vt. 砍伐；打倒；击倒"
green tax,"n. 绿色税；生态税；环保税
 绿色税收；绿税；绿色租税"
alternative energy, 替代能源；可替代能源；替代性能源
recycled materials, 回收的材料；循环再用的物料；再生材料
recycling,"n. （资源、垃圾的）回收利用
v. 回收；再循环利用（recycle的现在分词）"
climate,n. 气候；风气；思潮；风土
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
weather observing,
hot weather, 热天气；天气热；天气炎热
tropical,adj. 热带的；热情的；酷热的
temperature,n. 温度；体温；气温；发烧
high,"n. 高水平；天空；由麻醉品引起的快感；高压地带
adj. 高的；高级的；崇高的；高音调的
adv. 高；奢侈地"
high temperature,"adj. 高温度的
n. 高温
 耐高温；高温状态；高温型"
higher,adj. 更高的，较高的（high的比较级）
warm,"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖"
warm climate,"un. 温暖气候
 温暖的气候；温带；温暖的暖热的使温暖"
warm up,"na. 加热；变暖；热中起来；作准备动作
 热身；暖身；热身运动"
heat,"n. 高温；压力；热度；热烈
vt. 使激动；把…加热"
damp,"n. 潮湿，湿气
adj. 潮湿的
vt. 使潮湿；使阻尼；使沮丧，抑制
vi. 减幅，阻尼；变潮湿"
humidity,n.  湿度；湿气
moisture,n. 水分；湿度；潮湿；降雨量
evaporation,n. 蒸发；消失
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
drought,n. 干旱；缺乏
dried,"v. 使干（原形是dry）
adj. 干燥的；弄干了的"
dry,"n. 干涸
adj. 干的；口渴的；枯燥无味的；禁酒的
vt. 把…弄干
vi. 变干"
drying,"n. 干燥
v. 把…弄干（dry的ing形式）"
dry season,"un. 旱季；枯水期；干季
 枯水季节；乾季；干旱期"
cloud,"n. 云；阴云；云状物；一大群；黑斑
vt. 使混乱；以云遮敝；使忧郁；玷污
vi. 阴沉；乌云密布"
rain,"n. 雨；下雨；雨天；雨季
vt. 大量地给；使大量落下
vi. 下雨；降雨"
rainfall,n. 降雨；降雨量
rain water,"n. 雨水
 雨水节气；雨水是；二十四节气之雨水"
rainbow,"n. 彩虹；五彩缤纷的排列；幻想
adj. 五彩缤纷的；彩虹状的
vt. 使呈彩虹状；如彩虹般装饰
vi. 呈彩虹状"
air,"n. 空气，大气；天空；样子；曲调
vt. 使通风，晾干；夸耀
vi. 通风"
air quality,"n. 空气质量
 空气品质；空气质素；大气质量"
air pump,"n. 抽气泵；抽气机
 空气泵；打气筒；风泵"
flooding,n. 泛滥；产后出血
floodwater,n. 洪水
hurricane,n. 飓风，暴风
winds,"缠绕
上发条
使弯曲
绕住或缠住某人（wind的第三人称单数）
 风
呼吸
气味
卷绕（wind的名词复数）"
storm,"n. 暴风雨；大动荡
vt. 猛攻；怒骂
vi. 起风暴；横冲直撞；狂怒咆哮"
thunderstorm,n.  雷暴；雷暴雨；大雷雨
self-evaluation,n. 自我评价；自我评估
assessment,n. 评定；估价
ability,n. 能力，能耐；才能
improvement,n. 改进，改善；提高
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
effort,n. 努力；成就
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
clever,"adj. 聪明的；机灵的；熟练的
"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
intelligent,adj. 智能的；聪明的；理解力强的
savvy,"n. 悟性；理解能力；懂行（的人）
vt. 理解；懂
vi. 理解；知道"
think quickly,
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
gifts,"n. 礼品， 赠品；礼物；天赋（gift的复数形式）
v. 赐予（gift的三单形式）；给与"
talent,n. 才能；天才；天资
invent,vt. 发明；创造；虚构
innovation,n. 创新，革新；新方法
originality,n. 创意；独创性，创造力；原始；新奇
origins,n. 起源（origin的复数）
creativity,n. 创造力；创造性
creation,n. 创造，创作；创作物，产物
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
excellent,adj. 卓越的；极好的；杰出的
skills,n. 技能；技巧（skill的复数形式）；技术
skills focus,
negotiation skills, 谈判技巧；谈判技能；谈判能力
communication skills, 沟通技巧；沟通能力；沟通技能
problem solving,"un. 问题求解
 解决问题；问题解决；解决问题能力"
problems,n.  问题；难题（problem的复数）
strategies,n. 策略，战略（strategy的复数形式）
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
morality,n. 道德；品行，美德
kindness,n. 仁慈；好意；友好的行为
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
loyalty,n. 忠诚；忠心；忠实；忠于…感情
honest,adj. 诚实的，实在的；可靠的；坦率的
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
responsible,adj. 负责的，可靠的；有责任的
responsibility,n. 责任，职责；义务
obligation,n. 义务；职责；债务
patience,n. 耐性，耐心；忍耐，容忍
self-centered,adj. 自我中心的；利己主义的
success,n. 成功，成就；胜利；大获成功的人或事物
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
private company,"n. 私营企业
 私人公司；私营公司；非上市公司"
self-employed,adj. 个体经营的；自己经营的；不受雇于他人的
head office,"n. 总部；总公司
 总行；中国银行总行；总店"
finance office,
organizations,n. 组织，构造，有机体（organization的复数）；组织机构
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
teams,"n. 团队，参赛队伍（team的复数形式）
v. 协作（team的第三人称单数）；赶联畜；结成一对"
groups,"n. 群组，组；团体（group的复数形式）；用户组
v. 分组，归类（group的第三人称单数）；聚合"
group size, 团体大小；组团人数；团体的大小
group organizer,
meetings,n. 会议，集会，会见（meeting的复数形式）
formal meetings,
group meetings,
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
conference centre, 会议中心
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
discussions,n. 讨论；论述（discussion的复数）；审议
group discussion,"n. 小组讨论
 分组讨论；团体讨论；集体讨论"
interaction,"n. 相互作用； 交互作用
n. 互动"
translator,n. 译者；翻译器
translation,n. 翻译；译文；转化；调任
rivals,"n. 对手（rival的复数）； 竞争者
v. 竞争（rival的三单形式）"
cooperative,"n. 合作社
adj. 合作的；合作社的"
cooperation,n. 合作，协作； 协力
collaborative,adj. 合作的，协作的
combination,n. 结合；组合；联合； 化合
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
teamwork,n. 团队合作；协力
administration,n. 管理；行政；实施；行政机构
business,n. 商业； 生意； 交易；事情
management,n. 管理；管理人员；管理部门；操纵；经营手段
business management,"un. 企业管理
 商务管理；商业管理；工商管理"
business plan, 商业计划书；经营规划；经营计划
business area,"un. 商业区
 业务领域；业务范围；业务区域"
business visits,
business studies,"n. 企业管理研究；商学
 商科；商业研究；商务研究"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
annual report,"un. 年报；年度报告书；年终报告
 决算书；年度财务报告；年度报表"
market,"n. 市场；行情；股票市场；市面；集市；销路；商店
vt. 在市场上出售
vi. 做买卖"
marketing,"n. 行销，销售
v. 出售；在市场上进行交易；使…上市（market的ing形式）"
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
advertising,"n. 广告；广告业；登广告
adj. 广告的；广告业的
v. 公告；为…做广告（advertise的ing形式）"
advertisements,n.  广告（advertisement的复数）；宣传
profits,n.  收益，红利；盈利（profit的复数）
revenue,n. 税收，国家的收入；收益
financial results, 财务业绩；财务结算；财报
benefits,"n. 利益, 收益；福利, 效益（benefit的复数形式）"
risks,"n. 风险，危险（risk复数）
v. 冒…危险（risk的第三人称单数）"
take risks,"un. 冒险
 冒风险；勇于冒险；承担风险"
closed,"v. 关；结束；接近（close的过去分词）
adj. 关着的；不公开的"
closed down,"v. 关闭；关门；倒闭；歇业
 使停业；停机；停止"
chief executive,"n. 总裁；美国总统
 行政长官；执行长；首席行政长官"
chairman,n. 主席，会长；董事长
administration officer,
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
leader,n. 领导者；首领；指挥者
leadership,n. 领导能力；领导阶层
leadership style, 领导风格；领导方式；领袖风格
council,n. 委员会；会议；理事会；地方议会；顾问班子
consultant,n. 顾问；咨询者；会诊医生
advisors,n. 顾问，劝告者( advisor的名词复数 ); <美>（指导大学新生学科问题等的）指导教授
senior advisor, 高级顾问；资深顾问；高级理财顾问
offer advice,
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
secretary,n. 秘书；书记；部长；大臣
manager,n. 经理；管理人员
department manager,"un. 部门经理
 部门一线经理；部经理；病区主管"
senior management,"n. 高阶管理人员
 高级管理；高级管理层；高层管理人员"
animals,n.  动物，动物世界；牲畜（animal的复数形式）
mammals,n.  哺乳类；哺乳类动物（mammal的复数）；哺乳纲
wildlife,"n. 野生动植物
adj. 野生动植物的"
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
vet,"n. 兽医
vt. 审查；诊疗
vi. 作兽医；诊疗"
birds,"n.  鸟类；禽（bird的复数）
v. 打鸟；观察研究野鸟；起哄（bird的三单形式）"
bird park,
bird-watching,n. 观察研究野鸟
nests,"n. （鸟）窝( nest的名词复数 ); 温床; （套叠在一起的）一套物件; 藏匿处
v. 筑巢( nest的第三人称单数 )"
nesting,"n.  嵌套；造巢；镶嵌
v. 为…筑巢；整天呆在家里；使套入（nest的ing形式）"
feathers,"n. 羽毛（feather的复数）；翅膀；羽状裂缝
v. 为…装上羽毛；给…以薄边；使桨与水面平行；长羽毛（feather的三单形式）"
wings,n.  翅膀（wing的复数形式）；飞行章；女童军戴的一种翼形章
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
fishing,"n. 渔业；捕鱼（术）；试探；装配
adj. 钓鱼的；钓鱼用的
v. 捕鱼（fish的ing形式）"
fishing lesson,
fishing boats, 渔船；渔船图片；钓鱼艇
biological fishing,
fishing net,"na. 渔网
 鱼网；渔网图片；捕鱼网"
frogs,n. 青蛙（frog的复数形式）
crocodiles,n. 鳄鱼( crocodile的名词复数 ); （做成皮革的）鳄鱼皮; 成对纵列行进的人（尤指儿童）
dolphin,n. 海豚
seals,n. seal的复数形式
