approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
stymie,"n. 妨碍球
vt. 从中作梗，阻挠；妨碍"
subject to,"v. 处于…中；使服从
 受制于；以……为条件；以……为准"
take for granted,"v. 想当然
 认为…理所当然；视为当然；认为…是理所当然"
tangle up, 扭结；缠结；缠在一起
tap into,"na. 同“tap”
 利用；挖掘；打入"
teem with,"v. 富有；拥有大量N
 盛产；充满；富于"
trappings,n. 服饰，礼服；外部标志；马饰
travail,"n. 分娩的痛苦；艰苦劳动
vi. 辛勤努力；经受分娩的阵痛"
undertaking,"n. 事业；企业；保证；殡仪业
v. 同意；担任；许诺（undertake的ing形式）"
utopia,
wretched,adj. 可怜的；卑鄙的；令人苦恼或难受的
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
clinical,adj. 临床的；诊所的
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
refugee,n. 难民，避难者；流亡者，逃亡者
par,"n. 标准；票面价值；平均数量
adj. 标准的；票面的"
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
interface,"n. 界面；<计>接口；交界面
v. （使通过界面或接口）接合，连接；使联系
vi. 相互作用（或影响）；交流，交谈"
injection,n. 注射；注射剂；充血；射入轨道
auction,"n. 拍卖
vt. 拍卖；竞卖"
mortality,n. 死亡数，死亡率；必死性，必死的命运
flip,"n. 弹；筋斗
vi. 用指轻弹；蹦跳
adj. 无礼的；轻率的
vt. 掷；轻击"
tumor,n. 肿瘤；肿块；赘生物
rack,"n.  齿条；架子；拷问台
vt. 折磨；榨取
vi. 变形；随风飘；小步跑"
membrane,n. 膜；薄膜；羊皮纸
semantic,adj. 语义的；语义学的（等于semantical）
syndrome,n.  综合症状；并发症状；校验子；并发位
molecular,adj.  分子的；由分子组成的
maternal,adj. 母亲的；母性的；母系的；母体遗传的
denote,vt. 表示，指示
trauma,n.  创伤（由心理创伤造成精神上的异常）；外伤
equilibrium,n. 均衡；平静；保持平衡的能力
antibiotic,"n. 抗生素，抗菌素
adj. 抗生的；抗菌的"
ion,n.  离子
neuron,n.  神经元，神经单位
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
cone,"n. 圆锥体，圆锥形； 球果
vt. 使成锥形"
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
numerical,adj. 数值的；数字的；用数字表示的（等于numeric）
nominal,"adj. 名义上的；有名无实的； 票面上的
n.  名词性词"
quantum,n. 量子论；额；美国昆腾公司（世界领先的硬盘生产商）
slab,"n. 厚板，平板；混凝土路面；厚片
vt. 把…分成厚片；用石板铺"
consonant,"n. 辅音；辅音字母
adj. 辅音的；一致的；和谐的"
notation,n. 符号；乐谱；注释；记号法
dissertation,n. 论文，专题；学术演讲
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
theorem,n.  定理；原理
mole,n. 鼹鼠；痣；防波堤；胎块；间谍
solvent,"n. 溶剂；解决方法
adj. 有偿付能力的；有溶解力的"
yeast,n. 酵母；泡沫；酵母片；引起骚动因素
longitudinal,adj. 长度的，纵向的；经线的
flux,"n.  流量；变迁；不稳定；流出
vt. 使熔融；用焊剂处理
vi. 熔化；流出"
infinity,n. 无穷；无限大；无限距
chloride,n. 氯化物
splice,"n. 接合；结婚
vt. 拼接；接合；使结婚"
fiscal,adj. 会计的，财政的；国库的
commander,n. 指挥官；司令官
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
raid,"n. 袭击；突袭；搜捕；抢劫
vt. 袭击，突袭
vi. 对…进行突然袭击"
query,"n. 疑问，质问；疑问号 ； 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入"
lad,n. 少年，小伙子；家伙
verse,"n. 诗，诗篇；韵文；诗节
vi. 作诗
vt. 使熟练，使精通"
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
plaintiff,n. 原告
fleet,"n. 舰队；港湾；小河
adj. 快速的，敏捷的
vt. 消磨
vi. 飞逝；疾驰；掠过"
debut,"n. 初次登台；开张
vi. 初次登台"
nominate,vt. 推荐；提名；任命；指定
whip,"n. 鞭子；抽打；车夫； 搅拌器
vt. 抽打；煽动；搅打（蛋，奶油）；彻底击败
vi. 抽打；急走；拍击"
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
subsidiary,"n. 子公司；辅助者
adj. 附属的；辅助的"
gamble,"n. 赌博；冒险；打赌
vi. 赌博；孤注一掷；投机；打赌
vt. 赌博；孤注一掷；冒险假设"
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
arena,n. 舞台；竞技场
tray,n. 托盘；文件盒；隔底匣；（无线电的）发射箱
curl,"n. 卷曲；卷发；螺旋状物
vt. 使…卷曲；使卷起来
vi. 卷曲；盘绕"
commentator,n. 评论员，解说员；实况播音员；时事评论者
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
plea,n. 恳求，请求；辩解，辩护；借口，托辞
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
petition,"n. 请愿；请愿书；祈求； 诉状
vt. 请愿；请求；恳求
vi. 请愿；请求"
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
shrug,"n. 耸肩
vi. 耸肩
vt. 耸肩，耸肩表示"
scramble,"n. 抢夺，争夺；混乱，混乱的一团；爬行，攀登
vi. 爬行，攀登；不规则地生长；仓促行动
vt. 攀登；使混杂，仓促凑成；扰乱"
revelation,n. 启示；揭露；出乎意料的事；被揭露的真相
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
sew,"vt. 缝合，缝上；缝纫
vi. 缝纫，缝"
slap,"n. 掴；侮辱；掌击；拍打声
vt. 拍击；侮辱；掌击；掴…的耳光
vi. 掴；拍击
adv. 直接地；猛然地；恰好"
buzz,"n. 嗡嗡声
vt. 使嗡嗡叫；暗中散布
vi. 作嗡嗡声；东奔西忙
n. 网络口碑（消费者或网民对于品牌、产品等广告主在乎的事情在网上发出的各种声音）"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
strap,"n. 带；皮带；磨刀皮带；鞭打
vt. 用带捆绑；用皮条抽打；约束
vi. 精力旺盛地工作；受束缚"
franchise,"n. 特权；公民权；经销权；管辖权
vt. 给…以特许（或特权）；赋予公民权"
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
cholesterol,n.  胆固醇
feast,"n. 筵席，宴会；节日
vt. 享受；款待，宴请
vi. 享受；参加宴会"
slump,"vt. 使降低；使衰落；使倒下
n. 衰退；暴跌；消沉
vi. 下降，衰落；倒下；大幅度下降，暴跌"
militant,"adj. 好战的
n. 富有战斗性的人；好斗者；激进分子"
chapel,"n. 小礼拜堂，小教堂；礼拜
adj. 非国教的"
knot,"n. （绳等的）结；节瘤，疙瘩；海里/小时（航速单位）
vt. 打结
vi. 打结"
proclaim,vt. 宣告，公布；声明；表明；赞扬
invoice,"n. 账单，发货单，收款请求
vt. 开发票；记清单"
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
naval,adj. 海军的；军舰的
morale,n. 士气，斗志
helmet,n. 钢盔，头盔
pinch,"n. 匮乏；少量；夹痛
vt. 捏；勒索；使苦恼；掐掉某物，修剪
vi. 夹痛；节省"
missionary,"adj. 传教的；传教士的
n. 传教士"
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
encompass,vt. 包含；包围，环绕；完成
scout,"n. 搜索，侦察；侦察员；侦察机
vt. 侦察；跟踪，监视；发现
vi. 侦察；巡视；嘲笑"
artery,n. 动脉；干道；主流
bail,"n. 保释，保释人；保释金；杓
vt. 保释，帮助某人脱离困境；往外舀水"
tenure,"n. 任期；占有
vt. 授予…终身职位"
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
casino,n. 俱乐部，赌场；娱乐场
theology,n. 神学；宗教体系
playoff,n. 双方得分相等时的最后决赛；复赛；季后赛
tan,"vi. 晒成棕褐色
adj. 黄褐色的；鞣皮的
n. （日晒后皮肤的）黝黑色；棕褐色；鞣料；马戏团
vt. 鞣（革）；晒成褐色"
flank,"n. 侧面；侧翼；侧腹
vt. 守侧面；位于…的侧面；攻击侧面
vi. 侧面与…相接
adv. 在左右两边"
inmate,n. (尤指)同院病人；同狱犯人；同被(收容所)收容者
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
lieutenant,n. 中尉；副官；助理人员
tremble,"n. 颤抖；战栗；摇晃
vi. 发抖；战栗；焦虑；摇晃
vt. 使挥动；用颤抖的声音说出"
fling,"n. 掷，抛；嘲弄；急冲
vt. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动
vi. 猛冲，急行"
savage,"n. 未开化的人；粗鲁的人；残暴成性的人
adj. 野蛮的；残酷的；狂怒的；荒凉的
vt. 乱咬；粗暴的对待"
subsidize,vt. 资助；给与奖助金；向…行贿
grate,"n. 壁炉；格栅
vi. 发摩擦声
vt. 装格栅于；磨擦"
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
tread,"n. 踏；胎面；步态；鞋底；踏板；梯级
vi. 踏；踩；行走；交尾
vt. 踏；踩；践踏；跳；踩出"
flare,"n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹
vi. 闪耀，闪光；燃烧；突然发怒
vt. 使闪耀；使张开；用发光信号发出；使外倾"
inheritance,n. 继承；遗传；遗产
rhyme,"n. 韵律；韵脚；韵文；押韵词
vt. 使押韵；用韵诗表达；把…写作诗
vi. 押韵；作押韵诗"
saddle,"n. 鞍，鞍状物；车座；拖具
vt. 承受；使负担；装以马鞍
vi. 跨上马鞍"
vain,adj. 徒劳的；自负的；无结果的；无用的
shove,"n. 推；挤
vt. 挤；强使；撞；猛推"
crumble,"n. 面包屑
vi. 崩溃；破碎，粉碎
vt. 崩溃；弄碎，粉碎"
revolt,"n. 反抗；叛乱；反感
vt. 使反感；使恶心
vi. 反抗；反叛；反感，厌恶"
chord,n. 弦；和弦；香水的基调
cemetery,n. 墓地；公墓
murmur,"n. 低语；低语声；低声抱怨；潺潺声
vi. 低声说；私下抱怨；发出轻柔持续的声音
vt. 低声说"
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
outset,n. 开始；开端
booth,n. 货摊；公用电话亭
poise,"n. 平衡；姿势；镇静
vi. 平衡；准备好；悬着
vt. 使平衡；保持...姿势"
preside,"vi. 主持，担任会议主席
vt. 管理"
rigorous,adj. 严格的，严厉的；严密的；严酷的
giggle,"n. 吃吃的笑
vt. 咯咯地笑着说
vi. 傻笑；咯咯地笑"
compassion,n. 同情；怜悯
envisage,vt. 正视，面对；想像
coupon,n. 息票；赠券；联票； 配给券
dub,"n. 笨蛋；鼓声
vt. 配音；轻点；打击；授予称号"
beneficiary,"n.  受益人，受惠者；封臣
adj. 拥有封地的；受圣俸的"
lapse,n. (一时的) 走神，判断错误
mutter,"vi. 咕哝；喃喃自语
vt. 咕哝；抱怨地说；低声含糊地说
n. 咕哝；喃喃低语"
ranch,"n. 大农场；大牧场
vi. 经营牧场；在牧场工作
vt. 经营牧场；在牧场饲养…"
acoustic,"n. 原声乐器；不用电传音的乐器
adj. 声学的；音响的；听觉的"
shiver,"n. 颤抖，战栗；碎片
vi. 颤抖；哆嗦；打碎
vt. 颤抖；打碎"
retention,n. 保留；扣留，滞留；记忆力；闭尿
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害"
spacious,adj. 宽敞的，广阔的；无边无际的
jerk,"n. 肌肉抽搐；性情古怪的人；蠢人；急拉
vi. 痉挛；急拉；颠簸地行进
vt. 猛拉"
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
crunch,"n. 咬碎，咬碎声；扎扎地踏
vt. 压碎；嘎扎嘎扎的咬嚼；扎扎地踏过
vi. 嘎吱作响地咀嚼；嘎吱嘎吱地踏过"
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
wholesale,"n. 批发
adj. 批发的；大规模的
vt. 批发
adv. 大规模地；以批发方式
vi. 批发；经营批发业"
groove,"n.  凹槽，槽；最佳状态；惯例
vt. 开槽于
vi. 形成沟槽"
dart,"vt. 投掷，投射；使迅速突然移动
vi. 向前冲，飞奔
n. 飞镖，标枪；急驰，飞奔；（虫的）螯；飞快的移动"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
tout,"vt. 兜售；招徕；刺探赛马情报
vi. 兜售；招徕顾客；拉选票
n. 侦查者；兜售者"
genome,n. 基因组；染色体组
outright,"adv. 全部地；立刻地；率直地；一直向前；痛快地
adj. 完全的，彻底的；直率的；总共的"
peg,"n. 钉；桩；借口；琴栓
vt. 限制；钉木钉
adj. 越往下端越细的
vi. 疾行；孜孜不倦地做某事"
insulin,n.  胰岛素
nuisance,n. 讨厌的人；损害；麻烦事；讨厌的东西
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
siege,"n. 围攻；包围；围城；不断袭击；长期努力
vt. 围攻；包围"
glitter,"vi. 闪光；闪烁
n. 闪光；灿烂"
rein,"n. 缰绳；驾驭；统治；支配
vt. 控制；驾驭；勒住
vi. 勒住马"
tractor,n. 拖拉机；牵引机
ramp,"n. 斜坡，坡道；敲诈
vt. 敲诈；使有斜面
vi. 蔓延；狂跳乱撞；敲诈"
foil,"n. 箔，金属薄片；衬托，烘托；叶形片
abbr. 面向文件的翻译语言（file-Oriented interpretive language）
vt. 衬托；阻止，挡开；挫败；贴箔于"
smear,"n. 涂片；诽谤；污点
vt. 诽谤；弄脏；涂上；把…擦模糊
vi. 被弄脏"
glide,"vi. 滑翔；滑行；悄悄地走；消逝
vt. 使滑行；使滑动
n. 滑翔；滑行；滑移；滑音"
weary,"adj. 疲倦的；厌烦的；令人厌烦的
vt. 使疲倦；使厌烦
vi. 疲倦；厌烦"
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
swirl,"n. 漩涡；打旋；涡状形
vi. 盘绕；打旋；眩晕；大口喝酒
vt. 使成漩涡"
analog,"n.  模拟；类似物
adj.  模拟的；有长短针的"
lash,"vt. 鞭打；冲击；摆动；扎捆；煽动；讽刺
vi. 鞭打；猛击；急速甩动
n. 鞭打；睫毛；鞭子；责骂；讽刺"
tug,"n. 拖船；拖曳；苦干
vt. 用力拉；较量；用拖船拖
vi. 用力拉；竞争；努力做"
intersection,n. 交叉；十字路口；交集；交叉点
hitherto,adv. 迄今；至今
ascertain,vt. 确定；查明；探知
blunt,"adj. 钝的，不锋利的；生硬的；直率的
vt. 使迟钝"
preacher,n. 牧师；传教士；鼓吹者
cram,"n. 死记硬背；极度拥挤
adj. 填鸭式学的
vi. 狼吞虎咽地吃东西；死记硬背功课
vt. 填满，塞满；死记硬背；猛吃"
pedal,"n. 踏板；脚蹬子
vi. 踩踏板；骑车
vt. 骑（自行车）；踩……的踏板
adj. 脚的；脚踏的"
viability,n. 生存能力，发育能力；可行性
muse,"n. 沉思；冥想
vt. 沉思；沉思地说
vi. 沉思；凝望"
drape,"n. 窗帘；褶裥
vt. 用布帘覆盖；使呈褶裥状
vi. 成褶皱状垂下"
clamp,"n. 夹钳，螺丝钳
vt. 夹紧，固定住"
groan,"n. 呻吟；叹息；吱嘎声
vt. 呻吟；抱怨
vi. 呻吟；抱怨；发吱嘎声"
blush,"n. 脸红；红色；羞愧
vt. 红著脸表示；使成红色
vi. 脸红；感到惭愧"
masculine,"adj. 男性的；阳性的；男子气概的
n. 男性；阳性，阳性词"
crest,"n.  波峰；冠；山顶；顶饰
vi. 到达绝顶；形成浪峰"
customary,"n. 习惯法汇编
adj. 习惯的；通常的"
fiddle,"n. 小提琴
vt. 虚度时光；拉小提琴
vi. 瞎搞；拉小提琴"
parlor,"n. 客厅；会客室；业务室
adj. 客厅的"
lurk,"vi. 潜伏；潜藏；埋伏
n. 潜伏；埋伏"
sprinkle,"n. 撒，洒；少量
vt. 洒；微雨；散置
vi. 洒，撒；下稀疏小雨；喷撒"
villain,n. 坏人，恶棍；戏剧、小说中的反派角色；顽童；罪犯
torment,"n. 痛苦，苦恼；痛苦的根源
vt. 折磨，使痛苦；纠缠，作弄"
preclude,vt. 排除；妨碍；阻止
trek,"n. 艰苦跋涉
vi. 艰苦跋涉
vt. （牛）拉（货车）；搬运"
stifle,"n. （马等的）后膝关节；（马等的） 后膝关节病
vt. 扼杀；使窒息；藏匿
vi. 窒息；被扼杀"
rotten,"adj. 腐烂的；堕落的；恶臭的；虚弱的；极坏的
adv. 非常"
avert,vt. 避免，防止；转移
slack,"n. 煤末；峡谷
adj. 松弛的；疏忽的；不流畅的
vt. 放松；使缓慢
adv. 马虎地；缓慢地
vi. 松懈；减弱"
bowel,"n. 肠；内部；同情
vt. 将……的肚肠取出"
Pope,
lime,"n. 石灰；酸橙；绿黄色
vt. 撒石灰于；涂粘鸟胶于
adj. 绿黄色的"
exacerbate,vt. 使加剧；使恶化；激怒
recess,"n. 休息；休会；凹处
vt. 使凹进；把…放在隐蔽处
vi. 休息；休假"
grease,"n. 油脂；贿赂
vt. 涂脂于；贿赂"
picturesque,adj. 独特的；生动的；别致的；图画般的
repeal,"n. 废除；撤销
vt. 废除；撤销；废止；放弃；否定"
mesh,"n. 网眼；网丝；圈套
vi. 相啮合
vt.  啮合；以网捕捉"
intercourse,n. 性交；交往；交流
yearn,vi. 渴望，向往；思念，想念；怀念；同情，怜悯
limp,"adj. 柔软的，无力的；软弱的
vi. 跛行，一拐一拐地走；缓慢费力地前进
n. 跛行"
howl,"n. 嗥叫；怒号；嚎哭
vt. 狂喊着说；对…吼叫
vi. 咆哮；怒吼；狂吠"
squat,"vt. 使蹲坐，使蹲下
vi. 蹲，蹲下；蹲坐；蹲伏
n. 蹲坐，蜷伏
adj. 蹲着的；矮胖的"
shred,"n. 碎片；少量剩余；最少量；破布
vi. 撕碎
vt. 切成条状；用碎纸机撕毁"
rake,"n. 耙子；斜度；钱耙；放荡的人，浪子
vt. 倾斜；搜索；掠过；用耙子耙
vi. 搜索；用耙子耙；掠过，擦过"
nude,"adj. 裸的，裸体的；无装饰的；与生俱有的
n. 裸体；裸体画"
blot,"n. 污点，污渍；墨水渍
vt. 涂污，弄脏；用吸墨纸弄干（或除去）
vi. 吸墨水；弄上墨渍或污渍"
slick,"n.  平滑器； 修光工具；通俗杂志
adj. 光滑的；华而不实的；聪明的；熟练的；老套的
adv. 灵活地；聪明地
vt. 使光滑；使漂亮
vi. 打扮整洁"
vomit,"n. 呕吐；呕吐物；催吐剂
vi. 呕吐；吐出
vt. 吐出；使……呕吐"
dictatorship,n. 专政；独裁权；独裁者职位
streamline,"n. 流线；流线型
vt. 把…做成流线型；使现代化；组织；使合理化；使简单化
adj. 流线型的"
chuckle,"n. 轻笑，窃笑
vi. 咯咯的笑，轻声地笑
vt. 轻声笑着表示"
mortal,"adj. 凡人的；致死的；终有一死的；不共戴天的
n. 人类，凡人"
fixture,n. 设备；固定装置；固定于某处不大可能移动之物
grumble,"n. 怨言
adv. 抱怨地表示；嘟囔地说
vi. 抱怨；嘟囔
vt. 喃喃地说出"
rumble,"n. 隆隆声；抱怨声
vi. 隆隆作响
vt. 使隆隆响；低沉地说"
forensic,adj. 法院的；辩论的；适于法庭的
bog,"n. 沼泽；泥塘
vt. 使陷于泥沼；使动弹不得
vi. 陷于泥沼；动弹不得"
overhaul,"vt. 分解检查，大修；追上并超过
n. 彻底检修，详细检查"
comrade,n. 同志；伙伴
jockey,"vt. 驾驶；欺骗；移动
n. 操作工；驾驶员；赛马的骑师
vi. 当赛马的骑师；耍手段图谋；搞欺骗"
rash,"n.  皮疹；突然大量出现的事物
adj. 轻率的；鲁莽的；不顾后果的"
pervasive,adj. 普遍的；到处渗透的；流行的
shear,"n.  切变；修剪；大剪刀
vi. 剪；剪切；修剪
vt. 剪；修剪；剥夺"
yen,"n. 日元（日本货币单位）；渴望
vi. 渴望"
rugged,adj. 崎岖的；坚固的；高低不平的；粗糙的
lush,"adj. 丰富的，豪华的；苍翠繁茂的
vi. 喝酒
n. 酒；酒鬼
vt. 饮"
mar,"vt. 损毁；损伤；糟蹋；玷污
n. 污点；瑕疵"
hurl,"n. 用力的投掷
vt. 丢下；用力投掷；愤慨地说出
vi. 猛投；猛掷"
hiss,"n. 嘘声；嘶嘶声
vi. 发出嘘声；发嘘声"
anthropologist,n. 人类学家；人类学者
trot,"n. （人）慢跑；马小跑的步态；小跑的马蹄声；刚学步的小孩；老太婆；腹泻；（学生作弊用的）译文对照本
vi. （马）小跑；（人）慢跑；快步走
vt. 使小跑；使快步走"
mustache,n. 胡子，髭
whine,"n. 抱怨；牢骚；哀鸣
vt. 哀诉
vi. 发牢骚；哭诉；嘎嘎响；发呜呜声"
continuum,n.  连续统； 连续统一体；闭联集
vocational,adj. 职业的，行业的
wield,vt. 使用；行使；挥舞
wink,"n. 眨眼；使眼色；闪烁；瞬间
vt. 眨眼
vi. 眨眼；使眼色；闪烁"
assassinate,vt. 暗杀；行刺
markedly,adv. 明显地；显著地；引人注目地
pneumonia,n. 肺炎
conjure,"vt. 念咒召唤；用魔法驱赶；提出，想象；恳求
vi. 施魔法；变魔术"
fortress,"n. 堡垒；要塞
vt. 筑要塞；以要塞防守"
flex,"n. 屈曲；电线；松紧带
vt. 折曲；使收缩
adj. 弹性工作制的
vi. 弯曲；收缩"
hygiene,n. 卫生；卫生学；保健法
shudder,"n. 发抖；战栗；震动
vi. 发抖；战栗"
snapshot,"n. 快照，快相；急射，速射；简单印象
vt. 给…拍快照
vi. 拍快照"
arithmetic,n. 算术，算法
conspicuous,adj. 显著的；显而易见的
sling,"n.  吊索；投石器；抛掷
vt. 用投石器投掷；吊起"
lust,"n. 性欲；强烈的欲望
vi. 贪求，渴望"
bracelet,n. 手镯；手链
proprietor,n. 业主；所有者；经营者
corpse,n. 尸体
presumption,n. 放肆，傲慢；推测
muster,"vt. 召集；对…进行点名；使振作
n. 集合；检阅；点名册；集合人员
vi. 召集；聚集"
bandage,"n. 绷带
vt. 用绷带包扎"
foe,n. 敌人；反对者；危害物
disseminate,"vt. 宣传，传播；散布
vi. 散布；广为传播"
waive,vt. 放弃；搁置
frantic,adj. 狂乱的，疯狂的
monarch,n. 君主，帝王；最高统治者
nudge,"n. 推动；用肘轻推；没完没了抱怨的人
vt. 推进；用肘轻推；向…不停地唠叨
vi. 轻推；推进；唠叨"
salient,"n. 凸角；突出部分
adj. 显著的；突出的；跳跃的"
fret,"n. 烦躁；焦急；磨损
vi. 烦恼；焦急；磨损
vt. 使烦恼；焦急；使磨损"
oust,vt. 驱逐；剥夺；取代
tornado,n.  龙卷风；旋风；暴风；大雷雨
jargon,n. 行话，术语；黄锆石
itch,"n. 痒；渴望；疥疮
vi. 发痒；渴望
vt. 使发痒；使恼怒"
frail,"n. 灯心草篓；少妇；少女
adj. 脆弱的；虚弱的"
ramble,"vi. 漫步；漫游；闲逛；漫谈；蔓延
vt. 漫步于…
n. 漫步；漫游；随笔"
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
rejoice,"vi. 高兴；庆祝
vt. 使高兴"
fray,"n. 争论；打架；磨损处
vt. 使磨损；变得令人紧张、急躁
vi. 被磨损"
wail,"n. 哀号；悲叹；恸哭声
vt. 为某人死亡而悲痛；哀悼某人；哀号着说
vi. 哀号；悲叹"
avail,"vi. 有益于，有益于；使对某人有利。
vt. 有益于，有益于；使对某人有利。
n. 效用，利益"
flutter,"n. 摆动；鼓翼；烦扰
vt. 拍；使焦急；使飘动
vi. 飘动；鼓翼；烦扰"
riddle,"n. 谜语；粗筛；谜一般的人、东西、事情等
vt. 解谜；给...出谜；充满于
vi. 出谜"
strangle,"vt. 把…勒死；使…窒息
vi. 窒息而死；被勒死"
bluff,"n. 吓唬；绝壁；断崖
vi. 吓唬
adj. 直率的；陡峭的
vt. 吓唬；愚弄"
notch,"n. 刻痕，凹口；等级；峡谷
vt. 赢得；用刻痕计算；在…上刻凹痕"
mumble,"vt. 含糊地说；抿着嘴嚼
vi. 含糊地说话
n. 含糊的话；咕噜"
banish,vt. 放逐；驱逐
wade,"n. 跋涉；可涉水而过的地方
vi. 跋涉
vt. 涉水；费力行走"
fanatic,"n. 狂热入迷者；盲信者；盲信
adj. 狂热的；盲信的"
burglar,n. 夜贼，窃贼
swoop,"n. 猛扑；俯冲；突然袭击
vt. 攫取；抓起
vi. 猛扑；突然袭击；突然下降；飞扑"
patriot,n. 爱国者
entrench,"vt. 确立，牢固；用壕沟围住；挖掘
vi. 侵犯；挖掘壕沟"
erotic,"n. 好色之徒
adj. 色情的；性爱的；性欲的"
metabolic,adj. 变化的；新陈代谢的
sleek,"adj. 圆滑的；井然有序的
vt. 使…光滑；掩盖
vi. 打扮整洁；滑动"
municipality,n. 市民；市政当局；自治市或区
flurry,"n. 慌张；疾风；飓风；骚动
vt. 使恐慌；使激动
vi. 慌张；激动"
scribble,"n. 潦草写成的东西；潦草的写法；杂文
vt. 乱写；滥写；潦草地书写
vi. 乱写；乱涂"
relinquish,vt. 放弃；放手；让渡
automotive,adj. 汽车的；自动的
clad,"v. 穿衣（clothe的过去式和过去分词）
adj. 穿衣的；覆盖的
vt. 在金属外覆以另一种金属"
ail,"n. 病痛，苦恼
vi. 生病
vt. 使苦恼，使烦恼"
aura,n. 光环；气氛；（中风等的）预兆；气味
anthem,"n. 赞美诗；圣歌
vt. 唱圣歌庆祝；唱赞歌"
taunt,"n. 嘲弄；讥讽
adj. 很高的
vt. 奚落；逗弄"
neutron,n.  中子
scarlet,"n. 猩红色；红衣；绯红色；鲜红色布
adj. 深红的；鲜红色的；罪孽深重的；淫荡的"
creek,n. 小溪；小湾
incense,"n. 香；奉承
vt. 向…焚香；使…发怒
vi. 焚香"
