consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
as for,"na. 至于
 关于；就…而言；对于"
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
barber,"n. 理发师
vt. 为…理发；修整
vi. 当理发师"
astronomy,n. 天文学
astronomer,n. 天文学家
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
system,n. 制度，体制；系统；方法
solar system,"n. 太阳系；类太阳系
 太阳能系统；太阳系统；太阳系统炮"
religion,n. 宗教；宗教信仰
theory,n. 理论；原理；学说；推测
Big Bang,n. （基本而具有深远意义的）一整套改革，一揽子改革计划，具有轰动效应的大变革; （宇宙）大爆炸
atom,n. 原子
billion,"num. 十亿
n. 十亿；大量
adj. 十亿的"
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
global,adj. 全球的；总体的；球形的
violent,adj. 暴力的；猛烈的
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
 及时；钟点战；时间规划局"
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
atmosphere,n. 气氛；大气；空气
unlike,"prep. 和…不同，不像
adj. 不同的，不相似的"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
presence,n. 存在；出席；参加；风度；仪态
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
harmful,adj. 有害的；能造成损害的
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
reaction,n. 反应，感应；反动，复古；反作用
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
oxygen,n.  氧气， 氧
lay eggs,"na. 产卵
 下蛋；生蛋；产蛋"
exist,vi. 存在；生存；生活；继续存在
mammal,n.  哺乳动物
give birth to, 生（孩子），生育; 引起，产生; 娩出; 娩
thus,"conj. 因此
n. 乳香
adv. 因此；从而；这样；如此"
take turns to,
dioxide,n. 二氧化物
carbon dioxide,"n. 二氧化碳
 一氧化碳；二氧货碳；碳酐"
prevent ... from,
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
biology,n. （一个地区全部的）生物；生物学
biologist,n. 生物学家
gravity,n. 重力，地心引力；严重性；庄严
satellite,n. 卫星；人造卫星；随从；卫星国家
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
geologist,n. 地质学家，地质学者
physicist,n. 物理学家；唯物论者
block out,"na. 画略图；拟大纲；同“block in ”
 挡住；封闭；把对方球员挡住"
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
climate,n. 气候；风气；思潮；风土
comet,n.  彗星
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
spaceship,n.  宇宙飞船
pull,"n. 拉，拉绳；拉力，牵引力；拖
vt. 拉；拔；拖
vi. 拉，拖；拔"
lessen,"vt. 使…变小；使…减轻；使…变少
vi. 减少；减轻；变小"
cheer up,"v. 鼓舞；振作一点
 振作起来；高兴起来；使高兴起来"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
now that,"na. 由于
 既然；既然已；现在已经"
have a command of,
break out,"na. 起；(战争等)突发；(囚犯等)逃脱；起(锚)
 爆发；突然发生；逃出"
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
watch out,"na. 当心；留神；小心；提防
 注意；密切注视；监视"
multicultural,adj. 多种文化的；融合或具有多种文化的
quiz,"n. 考查；恶作剧；课堂测验
vt. 挖苦；张望；对…进行测验"
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
prime minister,"n. 首相；总理
 丞相；宰相；英国首相"
governor,n. 主管人员；统治者，管理者； 调节器；地方长官
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
baggage,n. 行李； 辎重（军队的）
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈"
chit-chat,n. 闲谈；聊天
scenery,n. 风景；景色；舞台布景
eastward,"n. 东部；东方
adj. 向东方的；朝东的
adv. 向东"
westward,"n. 西部；西方
adj. 向西的；西方的
adv. 向西"
upward,"adj. 向上的；上升的
adv. 向上"
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
harbour,"n. 海港（等于harbor）；避难所
vt. 庇护；藏匿；入港停泊
vi. 藏匿；入港停泊；庇护"
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
settle down,"na. 定居；成家；移居；平静下来
 安下心来；安定下来；安顿下来"
manage to do, 设法做某事；设法做成某事；设法做成了某事
catch sight of,"na. 看出
 发现；看见；看到"
eagle,n. 鹰；鹰状标饰
cowboy,n. 牛仔；牧童；莽撞的人
have a gift for, 有某方面的天赋；对……有天赋；有……的天赋
within,"prep. 在…之内
n. 里面
adv. 在内部"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
slightly,adv. 些微地，轻微地；纤细地
acre,n. 土地，地产；英亩
urban,adj. 城市的；住在都市的
location,n. 位置（形容词locational）；地点；外景拍摄场地
topic,n. 主题（等于theme）；题目；一般规则；总论
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱"
mixture,n. 混合；混合物；混合剂
bush,"n. 灌木；矮树丛
adj. 如灌木般长得低矮的；粗野的
vt. 以灌木装饰；使…精疲力竭
vi. 丛生；浓密地生长"
frost,"n. 霜；冰冻，严寒；冷淡
vi. 结霜；受冻
vt. 结霜于；冻坏"
confirm,vt. 确认；确定；证实；批准；使巩固
wealthy,"n. 富人
adj. 富有的；充分的；丰裕的"
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
in the distance,"na. 在远处；在很远的那边
 在远方；远方的；在远处那边"
schoolmate,n. 同学；同窗
classmate,n. 同班同学
booth,n. 货摊；公用电话亭
downtown,"n. 市中心区；三分线以外
adj. 市中心的
adv. 往闹市区；在市区"
pearl,"n. 珍珠；珍珠色；杰出者；珍品
adj. 镶珍珠的；珍珠状的
vt. 使成珠状；用珍珠装饰；使呈珍珠色
vi. 采珍珠；成珍珠状"
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
workplace,n. 工作场所；车间
broad,"n. 宽阔部分
adj. 宽的，辽阔的；显著的；大概的
adv. 宽阔地"
nearby,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近"
terrify,vt. 恐吓；使恐怖；使害怕
terrified,"v. 使恐惧；恐吓（terrify的过去分词）
adj. 感到恐惧的；受惊吓的"
pleased,"adj. 高兴的；喜欢的；乐意做某事
v. 满意；愿意（please的过去分词形式）"
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
achievement,n. 成就；完成；达到；成绩
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
connection,n. 连接；关系；人脉；连接件
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
landmine,n. 地雷（等于land mine）
organization,n. 组织；机构；体制；团体
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
behaviour,n. 行为；习性；运行状况（=behavior）
behavior,n. 行为，举止；态度；反应
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
move off,"na. 离去；死；(货物)畅销
 离开；出发；走掉"
worthwhile,adj. 值得做的，值得花时间的
nest,"n. 巢，窝；安乐窝；温床
vt. 筑巢；嵌套
vi. 筑巢；找鸟巢"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
observation,n. 观察；监视；观察报告
childhood,n. 童年时期；幼年时代
outspoken,adj. 坦率的，直言不讳的
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
argument,n. 论证；论据；争吵；内容提要
entertainment,n. 娱乐；消遣；款待
lead a ... life,
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
inspiration,n. 灵感；鼓舞；吸气；妙计
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
look down upon,"v. 轻视
 看不起；瞧不起；蔑视"
look down on,"v. 轻视；看不起
 瞧不起；蔑视；看不起某人"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
refer to,"v. 查阅；提到
 参考；涉及；谈到"
audience,n. 观众；听众；读者；接见；正式会见；拜会
by chance,"na. 偶然
 碰巧；偶然地；意外地"
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
 遇见；偶然遇见；碰到"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
sickness,n. 疾病；呕吐；弊病
intend,"vi. 有打算
vt. 打算；想要；意指"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
generation,n. 一代；产生；一代人；生殖
determination,n. 决心；果断；测定
kindness,n. 仁慈；好意；友好的行为
considerate,adj. 体贴的；体谅的；考虑周到的
consideration,n. 考虑；原因；关心；报酬
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
carry on,"adj. (飞机乘客的行李)可随身携带的
n. (飞机乘客的)随身行李
 继续；继续下去；进行"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
statistic,"n. 统计数值
adj. 统计的，统计学的"
statistics,n. 统计；统计学； 统计资料
sunburned,"adj. 晒黑的；日灼的
v. 晒伤（sunburn的过去分词）；晒黑"
sunburnt,"adj. 晒黑的；有晒斑的；日炙的
v. 晒黑（sunburn的过去式和过去分词）"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
decade,n. 十年，十年期；十
super,"n. 特级品，特大号；临时雇员
adj. 特级的；极好的"
output,"n. 输出，输出量；产量；出产
vt. 输出"
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
hunger,"n. 饿，饥饿；渴望
vt. 使……挨饿
vi. 渴望；挨饿"
disturbing,"v. 干扰；打断（disturb的ing形式）
adj. 令人不安的；烦扰的"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
rid,vt. 使摆脱；使去掉
rid ... of,
be satisfied with,"v. 满足于
 对……感到满意；对……满意；对……表示满意或满足"
freedom,n. 自由，自主；直率
would rather,"na. 宁愿
 宁可；宁可…也不；宁肯"
therefore,adv. 因此；所以
equipment,n. 设备，装备；器材
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
peanut,n. 花生
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
nationality,n. 国籍，国家；民族；部落
occupation,n. 职业；占有；消遣；占有期
personality,n. 个性；品格；名人
confuse,vt. 使混乱；使困惑
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
chemical,"n. 化学制品，化学药品
adj. 化学的"
organic,adj.  有机的；组织的；器官的；根本的
fertile,adj. 富饶的，肥沃的；能生育的
fertilizer,n.  肥料；受精媒介物；促进发展者
production,n. 成果；产品；生产；作品
bacteria,n.  细菌
bacterium,n.  细菌；杆菌属
pest,n. 害虫；有害之物；讨厌的人
build up,"na. 同“build”；建立；复兴；集结(部队)
 逐步建立；增进；积累"
lead to,"na. 通向
 导致；引起；通往"
nutrition,n. 营养，营养学；营养品
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
discovery,n. 发现，发觉；被发现的事物
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
soil,"n. 土地；土壤；国家；粪便；务农；温床
vt. 弄脏；污辱
vi. 变脏"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
keep ... free from,
keep ... free of,
soybean,n. 大豆；黄豆
soya bean,"n. 大豆
 黄豆；大豆油；豆奶"
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
producer,n. 制作人，制片人；生产者；发生器
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
humour,"n. 幽默（等于humor）；诙谐
vt. 迁就；使满足"
humor,"n. 幽默，诙谐；心情
vt. 迎合，迁就；顺应"
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
non-verbal,adj. 非语言的；非用言语的
mime,"n. 哑剧；小丑；滑稽戏
vi. 摸拟表演
vt. 摸拟表演"
comedy,n. 喜剧；喜剧性；有趣的事情
up to now,"na. 到现在为止
 直到现在；到目前为止；迄今"
brighten,"vt. 使闪亮；使生辉；使快乐高兴
vi. 明亮；变亮；活跃；快乐高兴"
depressed,"adj. 沮丧的；萧条的；压低的
v. 使沮丧；使萧条（depress的过去式和过去分词形式）；压低"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
feel content with,vi.对...感到满足
be content with,"na. 以…为满足
 对…满意；满足于；对……满足"
performer,n. 演出者；执行者；演奏者
astonish,vt. 使惊讶
astonishing,"adj. 惊人的；令人惊讶的
v. 使…惊讶；使…诧异（astonish的ing形式）"
fortunate,adj. 幸运的；侥幸的；吉祥的；带来幸运的
unfortunately,adv. 不幸地
teens,n. 十多岁，十几岁；青少年
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
bored,"v. 使厌烦（bore的过去式）；烦扰
adj. 无聊的；无趣的；烦人的"
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
entertaining,"v. 款待（entertain的ing形式）
adj. 令人愉快的"
charming,"adj. 迷人的；可爱的
v. 使陶醉（charm的现在分词）"
tramp,"n. 流浪者；沉重的脚步声；徒步旅行
vi. 流浪；践踏，踩；脚步沉重地行走
vt. 践踏，踩；走过"
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
homeless,"adj. 无家可归的
无家可归的人
无家可归"
moustache,n. 小胡子；髭；触须
worn,"v. 穿；磨损（wear的过去分词）；佩戴
adj. 疲倦的；用旧的"
worn out,"adj. 破烂不堪的；废旧的；疲惫不堪；精疲力竭
 破旧不堪的；破旧的；磨损"
stiffly,adv. 生硬地；顽固地；呆板地
failure,n. 失败；故障；失败者；破产
optimism,n. 乐观；乐观主义
overcome,"vt. 克服；胜过
vi. 克服；得胜"
underdog,n. 比赛中不被看好者；失败者；受压迫者；斗败了的狗
snowstorm,n. 暴风雪；雪暴
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
pick out,"na. 挑选；掘出；闻出；领会
 挑出；选出；选出，挑出，拣出"
lace,"n. 花边；鞋带；饰带；少量烈酒
vt. 饰以花边；结带子
vi. 系带子"
cut off,"na. 削除；截止；截断(退路等)；割下来
 切断；断绝；切掉"
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
mouthful,n. 一口，满口
enjoyment,n. 享受；乐趣；享有
convince,vt. 说服；使确信，使信服
be convinced of,"na. 确信
 承认；相信；深信"
convincing,"v. 使相信；使明白（convince的现在分词）
adj. 令人信服的；有说服力的"
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
actress,n. 女演员
amuse,vt. 娱乐；消遣；使发笑；使愉快
amusing,"adj. 有趣的，好玩的；引人发笑的
v. 逗乐；打发；使…高兴（amuse的ing形式）"
explanation,n. 说明，解释；辩解
detective,"n. 侦探
adj. 侦探的"
mountainous,adj. 多山的；巨大的；山一般的
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出"
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
rhythm,n. 节奏；韵律
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
in a mess,"na. 肮脏；混乱；困难
 乱七八糟；一团糟；凌乱"
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
drunk,"v. 喝酒（drink的过去分词）
adj. 喝醉了的"
statement,n. 声明；陈述，叙述；报表，清单
greet,vt. 欢迎，迎接；致敬，致意；映入眼帘
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
association,n. 协会，联盟，社团；联合；联想
dormitory,"n. 宿舍，学生宿舍
adj. 住宅区的"
canteen,n. 食堂，小卖部；水壶
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
curiously,adv. 好奇地
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
cheek,"n. 面颊，脸颊；臀部
vt. 无礼地向…讲话，对…大胆无礼"
defend,"vi. 保卫；防守
vt. 辩护；防护"
defend against,"na. 保卫；否认
 抵抗；抵御；防御"
defence,n. 防御；防卫；答辩；防卫设备
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
misunderstand,vt. 误解；误会
misunderstanding,n. 误解；误会；不和
dash,"n. 破折号；冲撞
vi. 猛冲；撞击
vt. 使…破灭；猛撞；泼溅"
adult,"n. 成年人
adj. 成年的；成熟的"
simply,adv. 简单地；仅仅；简直；朴素地；坦白地
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
be likely to, 可能；很可能；很有可能
in general,"na. 一般；大体上
 通常；一般来说；一般而言"
crossroads,n. 十字路口；交叉路口；聚会的中心地点（crossroad的复数形式）
zebra crossing,"n. 斑马线；人行横道
 人行横道线；人行道；斑马线过路处"
employee,n. 雇员；从业员工
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
misread,vt. 误解；看错；读错
facial,"n. 美容，美颜；脸部按摩
adj. 面部的，表面的；脸的，面部用的"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
at ease,"na. 自由自在；=stand at ease.
 稍息；安逸；舒适"
truly,adv. 真实地，不假；真诚地
false,"adj. 错误的；虚伪的；伪造的
adv. 欺诈地"
anger,"n. 怒，愤怒；忿怒
vt. 使发怒，激怒；恼火
vi. 发怒；恼火"
lose face, 丢脸，失去自尊与别人的信任，失去尊严/影响力/名望; 坍台; 现眼; 面上无光
turn one's back, 不愿帮助；在别人遇到困难时；不理会某人
fist,"n. 拳，拳头；笔迹；掌握；指标参见号
vt. 紧握；握成拳；用拳打"
yawn,"n. 哈欠；裂口
vt. 张开；打著哈欠说
vi. 打哈欠；裂开"
subjective,adj. 主观的；个人的；自觉的
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
cassette,n. 盒式磁带；暗盒；珠宝箱；片匣
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
various,adj. 各种各样的；多方面的
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
be famous for,"v. 因…出名
 因…而出名；因……而著名；因……而闻名"
whichever,"adj. 无论哪个；无论哪些
pron. 任何一个；无论哪个"
fairy tale,"n. 童话故事；虚构的故事；妄言
 神话；神话故事；说谎"
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
amusement,n. 消遣，娱乐；乐趣
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
attraction,n. 吸引，吸引力；引力；吸引人的事物
no wonder, 难怪；怪不得；不足为奇
tourism,n. 旅游业；游览
wherever,"conj. 无论在哪里；无论什么情况下
adv. 无论什么地方；究竟在哪里"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
craftsman,n. 工匠；手艺人；技工
engine,n. 引擎，发动机；机车，火车头；工具
bald,"adj. 秃顶的；光秃的；单调的；无装饰的
vi. 变秃"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
length,n. 长度，长；时间的长短；（语）音长
deed,"n. 行动；功绩；证书； 契据
vt. 立契转让"
knight,"n. 骑士，武士；爵士
vt. 授以爵位"
be modeled after,"模仿,仿造…"
tournament,n. 锦标赛，联赛；比赛
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
athletic,adj. 运动的，运动员的；体格健壮的
translator,n. 译者；翻译器
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
cloth,"n. 布；织物；桌布
adj. 布制的"
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的"
diver,n. 潜水者；跳水的选手；潜鸟
creature,n. 动物，生物；人；创造物
sunlight,n. 日光
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
in advance,"na. 预先；在先头
 事先；提前；事前"
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
get close to, 接近；靠近；与接近
come to life,"na. 苏醒过来
 复活；活跃起来；恢复生气"
admission,n. 承认；入场费；进入许可；坦白；录用
freeway,n. 高速公路
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
brochure,n. 手册，小册子
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
painter,n. 画家；油漆匠
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
 提前；推荐；表提出"
scientific,adj. 科学的，系统的
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
conclusion,n. 结论；结局；推论
draw a conclusion,"na. 引出结论
 得出结论；下结论；提出结论"
analyse,vt. 分析；分解；细察
infect,vt. 感染，传染
infectious,adj. 传染的；传染性的；易传染的
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
physician,n.  医师；内科医师
expose,vt. 揭露，揭发；使曝光；显示
expose ... to ...,
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
victim,n. 受害人；牺牲品；牺牲者
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
enquiry,n.  询问， 询盘
neighborhood,n. 附近；街坊；接近；街区
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
foresee,vt. 预见；预知
investigate,v. 调查；研究
investigation,n. 调查；调查研究
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽"
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
link ... to ...,
