abdicate,"vt. 退位；放弃
vi. 退位；放弃"
pinpoint,"n. 针尖；精确位置；极小之物
vt. 查明；精确地找到；准确描述
adj. 精确的；详尽的"
pirate,"n. 海盗；盗版；侵犯专利权者
vt. 掠夺；翻印；剽窃
vi. 做海盗；从事劫掠"
pivotal,"n. 关键事物；中心事物
adj. 关键的；中枢的；枢轴的"
placate,vt. 抚慰；怀柔；使和解
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
plaintiff,n. 原告
planetary,adj. 行星的
plankton,n. 浮游生物（总称）
plantation,"n. 栽植；殖民；大农场
adj. 适用于种植园或热带、亚热带国家的"
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
platform,n. 平台；月台，站台；坛；讲台
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
plow,"n.  犁；似犁的工具；北斗七星
vt.  犁；耕；开路
vi.  犁；耕地；破浪前进；开路"
plough,"n. 犁；耕地（等于plow）
vi. 用犁耕田；开路
vt. 犁；耕"
plume,"n. 羽毛
vt. 用羽毛装饰
vi. 骚首弄姿"
plummet,"n.  铅锤，坠子
vi. 垂直落下；（价格、水平等）骤然下跌"
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
plywood,n. 夹板，胶合板
pneumonia,n. 肺炎
pneumonic,adj. 肺的；肺炎的
poach,"vt. 水煮；偷猎；窃取；把…踏成泥浆
vi. 偷猎；侵犯；剽窃"
poacher,n. 偷猎者；侵入者；炖蛋锅
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
pollen,"n.  花粉
vt. 传授花粉给"
pollinate,vt. 对...授粉
pollutant,n. 污染物
polygraph,n. 测谎器；复写器；多种波动描记器
population,n. 人口； 种群， 群体；全体居民
porcelain,"n. 瓷；瓷器
adj. 瓷制的；精美的"
porpoise,n. 海豚；鼠海豚
portfolio,n. 公文包；文件夹；证券投资组合；部长职务
portrait,n. 肖像；描写；半身雕塑像
portray,vt. 描绘；扮演
posit,"n. 假设；设想
vt. 安置；假定"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
possibility,n. 可能性；可能发生的事物
postage,n. 邮资，邮费
postal,"n. 明信片
adj. 邮政的；邮局的"
posterity,n. 子孙，后裔；后代
potent,adj. 有效的；强有力的，有权势的；有说服力的
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
potter,"n. 陶艺家，制陶工人
vt. 闲混，虚度
vi. 闲逛；慢条斯理地做事"
poultry,"n. 家禽
家禽肉"
practical,adj. 实际的；实用性的
practitioner,n. 开业者，从业者，执业医生
pragmatic,adj. 实际的；实用主义的；国事的
prairie,n. 大草原；牧场
prank,"n. 恶作剧，开玩笑；戏谑
vt. 装饰；打扮
vi. 炫耀自己；胡闹"
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
precedence,n. 优先；居先
preceding,"v. 在...之前（precede的ing形式）
adj. 在前的；前述的"
precipitate,"n.  沉淀物
vt. 使沉淀；促成；猛抛；使陷入
adj. 突如其来的；猛地落下的；急促的
vi.  沉淀；猛地落下；冷凝成为雨或雪等"
precipitation,n.  沉淀， 沉淀物；降水；冰雹；坠落；鲁莽
precise,adj. 精确的；明确的；严格的
precursor,n. 先驱，前导
predate,vt. 在日期上早于（先于）
predation,n. 捕食；掠夺
predator,n.  捕食者； 食肉动物；掠夺者
predatory,adj. 掠夺的，掠夺成性的；食肉的；捕食生物的
predecessor,n. 前任，前辈
predicament,n. 窘况，困境；状态
predicate,"n. 谓语，述语
adj. 谓语的；述语的
vt. 断定为…；使…基于
vi. 断言，断定"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
prediction,n. 预报；预言
predisposition,n. 倾向；素质；易染病体质
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
predominantly,adv. 主要地；显著地
predominate,"vt. 支配，主宰；在…中占优势
vi. 占主导（或支配）地位；占优势"
preeminent,adj. 卓越的；超群的
preference,n. 偏爱，倾向；优先权
preferential,adj. 优先的；选择的；特惠的；先取的
prefigure,vt. 预示；预想
preflight,adj. （飞机、导弹、人造卫星等）起飞（或升空）前的，为（飞机等）起飞（或升空）作准备的
pregnancy,n. 怀孕；丰富，多产；意义深长
preindustrial,adj. 未工业化的，工业化前的
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
premature,"n. 早产儿；过早发生的事物
adj. 早产的；不成熟的；比预期早的"
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
preoccupation,n. 全神贯注，入神；当务之急；关注的事物；抢先占据；成见
prepay,vt. 预付；提前缴纳
preponderance,n. 优势；多数；占优势
prerequisite,"n. 先决条件
adj. 首要必备的"
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
presentation,n. 展示；描述，陈述；介绍；赠送
preservation,n. 保存，保留
preservative,"n. 防腐剂；预防法；防护层
adj. 防腐的；有保存力的；有保护性的"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
preside,"vi. 主持，担任会议主席
vt. 管理"
pressboard,n. 厚光面纸; 小熨烫板
prestige,n. 威望，声望；声誉
prestigious,adj. 有名望的；享有声望的
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
presuppose,vt. 假定；预料；以…为先决条件
pretax,adj. 纳税前的
prevail,vi. 盛行，流行；战胜，获胜
prevalence,n. 流行；普遍；广泛
prevalent,adj. 流行的；普遍的，广传的
preventive,"n. 预防药；预防法
adj. 预防的，防止的"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
priest,"n. 牧师；神父；教士
vt. 使成为神职人员；任命…为祭司"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
primate,"n. 大主教；灵长类的动物；首领
adj. 灵长目动物的；首要的"
primer,n. 初级读本；识字课本；原始物
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
primordial,adj. 原始的；根本的；原生的
princely,adj. 王子的，高贵的；慷慨的；豪华的
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
priority,n. 优先；优先权； 优先次序；优先考虑的事
pristine,adj. 原始的，古时的；纯朴的
privilege,"n. 特权；优待
vt. 给与…特权；特免"
privy,"n. 有利害关系的人；厕所
adj. 私人的；不公开的；秘密参与的"
probability,n. 可能性；机率； 或然率
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
procedure,n. 程序，手续；步骤
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
proceeds,n. 收入，收益；实收款项
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
proclaim,vt. 宣告，公布；声明；表明；赞扬
procreative,adj. 生产的，生殖的；有生殖力的
procure,"vt. 获得，取得；导致
vi. 取得"
prodigy,n. 奇迹，奇事；奇才；奇观；预兆
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
proficient,"n. 精通；专家，能手
adj. 熟练的，精通的"
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
profitability,n. 盈利能力；收益性；利益率
profitable,adj. 有利可图的；赚钱的；有益的
profound,adj. 深厚的；意义深远的；渊博的
prognosis,n.  预后；预知
progression,n. 前进；连续
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
prohibit,vt. 阻止，禁止
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
projection,n. 投射；规划；突出；发射；推测
prokaryote,n.  原核生物
proliferate,"vi. 增殖；扩散；激增
vt. 使激增"
proliferation,n. 增殖，扩散；分芽繁殖
prolonged,adj. 延长的；拖延的；持续很久的
prominence,n. 突出；显著；突出物；卓越
prominent,adj. 突出的，显著的；杰出的；卓越的
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
promotional,adj. 促销的；增进的；奖励的
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
pronounced,"v. 发音；宣告；断言（pronounce的过去分词）
adj. 显著的；断然的；讲出来的"
propagandistic,adj. 宣传的；宣传家的
propagate,"vt. 传播；传送；繁殖；宣传
vi. 繁殖；增殖"
propeller,n.  螺旋桨；推进器
property,n. 性质，性能；财产；所有权
prophet,n. 先知；预言者；提倡者
propitious,adj. 适合的；吉利的；顺利的
proponent,n. 支持者；建议者；提出认证遗嘱者
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
proportional,"n.  比例项
adj. 比例的，成比例的；相称的，均衡的"
proprietary,"n. 所有权；所有人
adj. 所有的；专利的；私人拥有的"
prorate,"vt. （美）按比例分配
vi. 按比例分配"
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
prosecutor,n. 检察官；公诉人； 起诉人；实行者
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
prospective,"n. 预期；展望
adj. 未来的；预期的"
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
prosperity,n. 繁荣，成功
protégé,
protein,"n. 蛋白质；朊
adj. 蛋白质的"
protestant,
protocol,"n. 协议；草案；礼仪
vt. 拟定
vi. 拟定"
proton,n.  质子
prototype,n. 原型；标准，模范
provenance,n. 出处，起源
provided,"conj. 假如；倘若
v. 提供；给予（provide的过去式）"
providing,"conj. 假如，以…为条件
v. 供给（provide的ing形式）；预备"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
provisional,"adj. 临时的，暂时的；暂定的
n. 临时邮票"
proviso,n. 附带条件；附文；限制性条款
provoke,vt. 驱使；激怒；煽动；惹起
proximity,n. 接近，邻近；接近；接近度，距离；亲近
prudent,adj. 谨慎的；精明的；节俭的
prudery,n. 假正经的行为；过分拘谨的言行
pseudonym,n. 笔名；假名
psyche,n. 灵魂；心智
psychological,adj. 心理的；心理学的；精神上的
psychopath,n. 精神病患者
pugnacious,adj. 好斗的，好战的
pulp,"n. 纸浆；果肉；黏浆状物质
vt. 使…化成纸浆；除去…的果肉
vi. 变成纸浆；成为浆状"
punishable,adj. 可罚的；该罚的
pup,"n. 小狗；幼畜
vt. 生（小狗等小动物）
vi. 生小狗"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
purchaser,n. 买方；购买者
purification,n. 净化；提纯；涤罪
Puritan,
purport,"n. 意义，主旨；意图
vt. 声称；意图；意指；打算"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
purview,n. 范围，权限；视界；条款
putty,"n. 油灰；氧化锡
vt. 用油灰填塞"
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
quadrant,n. 象限； 象限仪；四分之一圆
quadruple,"n. 四倍
adj. 四倍的；四重的
vt. 使…成四倍
vi. 成为四倍"
quail,"n. 鹌鹑
vi. 畏缩，胆怯；感到恐惧"
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
qualitative,adj. 定性的；质的，性质上的
quantitative,adj. 定量的；量的，数量的
quantum,n. 量子论；额；美国昆腾公司（世界领先的硬盘生产商）
quarantine,"n. 检疫；隔离；检疫期；封锁
vt. 检疫；隔离；使隔离
vi. 实行隔离"
quarry,"n. 采石场；猎物；来源
vt. 挖出；努力挖掘
vi. 费力地找"
quasar,n.  类星体；恒星状球体
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
questionnaire,n. 问卷；调查表
quiescent,adj. 静止的；不活动的；沉寂的
quiz,"n. 考查；恶作剧；课堂测验
vt. 挖苦；张望；对…进行测验"
quota,n. 配额；定额；限额
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
quotient,n.  商；系数；份额
raccoon,n. 浣熊；浣熊毛皮
racism,n. 种族主义，种族歧视；人种偏见
radiant,"n. 光点；发光的物体
adj. 辐射的；容光焕发的；光芒四射的"
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
radioactive,adj.  放射性的；有辐射的
radiocarbon,n.  放射性碳
radius,n. 半径，半径范围； 桡骨；辐射光线；有效航程
raffle,"n. 废物；抽彩售货
vt. 抽彩售货
vi. 抽彩"
ragtime,"n. 繁音拍子（多切分节奏的一种早期爵士乐）
adj. 滑稽的；不严肃的"
raid,"n. 袭击；突袭；搜捕；抢劫
vt. 袭击，突袭
vi. 对…进行突然袭击"
railroad,"n. 铁路；铁路公司
vt. 由铁道运输；铺设铁路；以捏造不实之罪使入狱
vi. 在铁路工作；乘火车旅行；筑铁路"
rally,"n. 集会；回复；公路赛车会
vt. 团结；集合；恢复健康、力量等
vi. 团结；重整；恢复；（网球等）连续对打"
ranch,"n. 大农场；大牧场
vi. 经营牧场；在牧场工作
vt. 经营牧场；在牧场饲养…"
rangeland,n. 牧场
ransom,"n. 赎金；赎身，赎回
vt. 赎回，赎；勒索赎金；救赎；得赎金后释放"
ratification,n. 批准；承认，认可
rating,"n. 等级；等级评定；额定功率
v. 对…评价（rate的ing形式）"
ratio,n. 比率，比例
ration,"n. 定量；口粮；配给量
vt. 配给；定量供应"
rational,"n. 有理数
adj. 合理的；理性的"
rationale,n. 基本原理；原理的阐述
reactor,n.  反应器； 反应堆；起反应的人
readily,adv. 容易地；乐意地；无困难地
realm,n. 领域，范围；王国
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
reasoning,"n. 推理；论证；评理
v. 推论；说服（reason的ing形式）
adj. 推理的"
rebut,"n. 驳回；提出反证
vt. 反驳；揭露；拒绝
vi. 反驳；揭露"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
receipt,"n. 收到；收据；收入
vt. 收到"
reception,n. 接待；接收；招待会；感受；反应
receptive,adj. 善于接受的；能容纳的
receptor,n.  受体；接受器；感觉器官
recession,n. 衰退；不景气；后退；凹处
recipe,n. 食谱； 处方；秘诀；烹饪法
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
reciprocal,"n.  倒数；互相起作用的事物
adj. 互惠的；相互的；倒数的，彼此相反的"
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
recluse,"n. 隐士；隐居者
adj. 隐居的"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
recommendation,n. 推荐；建议；推荐信
reconcile,vt. 使一致；使和解；调停，调解；使顺从
reconvene,"vt. 再召集；再召开
vi. 再聚会；再集会"
recoup,"vt. 收回；恢复；偿还；扣除
vi. 获得补偿；请求扣除"
recourse,n. 求援，求助； 追索权；依赖；救生索
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
recreation,n. 娱乐；消遣；休养
recreational,adj. 娱乐的，消遣的；休养的
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
rectangle,n. 矩形；长方形
recur,vi. 复发；重现；采用；再来；循环；递归
redirect,"n. 再直接询问
vt. 使改方向；重新寄送
adj. 再直接的"
redress,"n. 救济；赔偿；矫正
vt. 救济；赔偿；纠正；重新调整"
reef,"n. 暗礁； 矿脉；收帆
vt. 收帆；缩帆
vi. 缩帆；收帆"
referendum,n. 公民投票权；外交官请示书
referral,"n. n. 参照；提及；被推举的人；转诊病人
n. 引荐来源(指给某个网站带来了流量的其他网站）"
refine,vt. 精炼，提纯；改善；使…文雅
refiner,n. 精炼机；精制者，精炼者
refinery,n. 精炼厂；提炼厂；冶炼厂
reflective,adj. 反射的；反映的；沉思的
reflex,"n. 反射；反映；映像；回复；习惯性思维
adj. 反射的；反省的；反作用的；优角的"
refraction,n. 折射；折光
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
refuel,"vt. 补给燃料
vi. 重新得到燃料"
refugee,n. 难民，避难者；流亡者，逃亡者
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
refutation,n. 反驳；驳斥；辩驳
refute,vt. 反驳，驳斥；驳倒
regenerate,"vt. 使再生；革新
adj. 再生的；革新的
vi. 再生；革新"
regime,n. 政权，政体；社会制度；管理体制
regiment,"n. 团；大量
vt. 把…编成团；严格地管制"
regionalization,n. 区域化；分成地区；按地区安排
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
regressive,adj. 回归的；后退的；退化的
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
reimburse,vt. 偿还；赔偿
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
reinvest,"vt. 再投资于；再授给
vi. 再投资"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
rejection,n. 抛弃；拒绝；被抛弃的东西；盖帽
rekindle,"vt. 重新点燃；再点火
vi. 重新点燃"
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
relativity,n. 相对论；相关性；相对性
relay,"n.  继电器；接替，接替人员；驿马
vt. 转播；使接替；分程传递
vi. 转播；接替"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
relentless,adj. 无情的；残酷的；不间断的
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
reliance,n. 信赖；信心；受信赖的人或物
relic,n. 遗迹，遗物；废墟；纪念物
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
relinquish,vt. 放弃；放手；让渡
reluctant,adj. 不情愿的；勉强的；顽抗的
remainder,"n.  余数，残余；剩余物；其余的人
adj. 剩余的；吃剩的
vt. 廉价出售；削价出售
vi. 廉价出售；削价出售"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
reminiscent,"n. 回忆录作者；回忆者
adj. 怀旧的，回忆往事的；耽于回想的"
remnant,"n. 剩余
adj. 剩余的"
renaissance,n. 文艺复兴（欧洲14至17世纪）
renal,adj.  肾脏的， 肾的
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
renegade,"n. 叛徒；变节者；脱党者
vi. 背叛；脱离
adj. 叛徒的；背弃的；脱离的"
renounce,"n. 垫牌
vt. 宣布放弃；与…断绝关系；垫牌
vi. 放弃权利；垫牌"
renovation,n. 革新；修理；恢复活力
renown,"n. 声誉；名望
vt. 使有声望"
rental,"n. 租金收入，租金；租赁
adj. 租赁的；收取租金的"
reorganization,n. 改组；整顿；改编
repeal,"n. 废除；撤销
vt. 废除；撤销；废止；放弃；否定"
repertory,n. 储备；仓库；全部剧目
replacement,n. 更换；复位；代替者；补充兵员
replete,"n.  贮蜜蚁
adj. 充满的；装满的"
replicate,"n. 复制品；八音阶间隔的反覆音
vt. 复制；折叠
adj. 复制的；折叠的
vi. 重复；折转"
repousse,"n. 凸纹面，金属细工的
adj. （金属细工）模锻的，压花（装饰）的"
representation,n. 代表；表现；表示法；陈述
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
reproduction,n. 繁殖，生殖；复制；复制品
reptile,"n. 爬行动物；卑鄙的人
adj. 爬虫类的；卑鄙的"
republican,"n. 共和党人
adj. 共和党的
共和的"
repudiate,vt. 拒绝；否定；批判；与…断绝关系；拒付
rescind,vi. 解除；废除；撤回
resemble,vt. 类似，像
resent,vt. 怨恨；愤恨；厌恶
reservation,n. 预约，预订；保留
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
reservoir,n. 水库；蓄水池
reside,vi. 住，居住；属于
residency,n. 住处；住院医生实习期
residential,adj. 住宅的；与居住有关的
residual,"n. 剩余；残渣
adj. 剩余的；残留的"
residue,n. 残渣；剩余；滤渣
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
resonance,n.  共振；共鸣；反响
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
respective,adj. 分别的，各自的
respiratory,adj. 呼吸的
respire,"vt. 呼吸
vi. 呼吸"
resplendent,adj. 光辉的；华丽的
responsible,adj. 负责的，可靠的；有责任的
responsive,adj. 响应的；应答的；回答的
restitution,n. 恢复；赔偿；归还
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
restrain,vt. 抑制，控制；约束；制止
restrict,vt. 限制；约束；限定
restructure,vt. 调整；重建；更改结构
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
resurgence,n. 复活；再现；再起
resuscitation,n. 复苏；复兴；复活
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
retain,vt. 保持；雇；记住
retaliation,n. 报复；反击；回敬
retard,"n. 延迟；阻止
vt. 延迟；阻止；妨碍；使减速
vi. 减慢；受到阻滞"
retarded,adj. 智力迟钝的；发展迟缓的
retention,n. 保留；扣留，滞留；记忆力；闭尿
reticent,adj. 沉默的；有保留的；谨慎的
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
revamp,"n. 改进；换新鞋面
vt. 修补；翻新；修改"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
revenue,n. 税收，国家的收入；收益
reverence,"n. 崇敬；尊严；敬礼
vt. 敬畏；尊敬"
reversal,n. 逆转； 反转； 撤销
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
reversion,n. 逆转；回复；归还； 隔代遗传； 继承权
revert,"n. 恢复原状者
vt. 使回复原状
vi. 回复；重提；返祖遗传；归还"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
revitalize,vt. 使…复活；使…复兴；使…恢复生气
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
revolution,n. 革命；旋转；运行；循环
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
rewind,"n. 重绕；倒带器
vt. 倒回；重绕
vi. 倒回；重绕"
rhetoric,"n. 修辞，修辞学；华丽的词藻
adj. 花言巧语的"
rheumatic,"n. 风湿病；风湿病患者
adj. 风湿病的；风湿病引起的"
rhinoceros,n.  犀牛
rib,"n. 肋骨；排骨；肋状物
vt. 戏弄；装肋于"
ridge,"n. 山脊；山脉；屋脊
vt. 使成脊状；作垄
vi. 成脊状"
ridicule,"n. 嘲笑；笑柄；愚弄
vt. 嘲笑；嘲弄；愚弄"
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
rigor,n. 严厉；精确；苛刻；僵硬
rigorous,adj. 严格的，严厉的；严密的；严酷的
rim,"n. 边，边缘；轮辋；圆圈
vt. 作…的边，装边于
vi. 作…的边，装边于"
rinse,"n. 冲洗；漂洗； 染发剂；染发
vt. 漱；冲洗掉；漂净
vi. 冲洗掉；漂净"
ripple,"n. 波纹；涟漪； 涟波
vt. 在…上形成波痕
vi. 起潺潺声"
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
rivalry,n. 竞争；对抗；竞赛
robust,adj. 强健的；健康的；粗野的；粗鲁的
rodent,"n.  啮齿动物
adj. 啮齿类的；咬的，嚼的；侵蚀性的"
roost,"n. 栖木；鸟窝；群栖的禽鸟
vi. 栖息；安歇
vt. 使…栖息；为…提供歇息处"
rotate,"vt. 使旋转；使转动；使轮流
adj.  辐状的
vi. 旋转；循环"
rotational,adj. 转动的；回转的；轮流的
roughly,adv. 粗糙地；概略地
round,"n. 圆；循环；一回合；圆形物
prep. 附近；绕过；大约；在…周围
adj. 圆的；完全的；大概的；肥胖的
vt. 完成；围捕；绕行；弄圆
adv. 在周围；迂回地；朝反方向；挨个
vi. 进展；变圆；环行；发胖"
royalty,n. 皇室；版税；王权；专利税
rudder,n. 船舵；飞机方向舵
rudimentary,adj. 基本的；初步的；退化的；残遗的；未发展的
rug,n. 小地毯；毛皮地毯；男子假发
rugby,n. 英式橄榄球；拉格比（英格兰中部的城市）
rugged,adj. 崎岖的；坚固的；高低不平的；粗糙的
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
rumor,"n. 谣言；传闻
vt. 谣传；传说"
runner,n. 跑步者；走私者；推销员；送信人
rupture,"n. 破裂；决裂；疝气
vt. 使破裂；断绝；发生疝
vi. 破裂；发疝气"
sacralization,n. 骶骨化； 骶骨融合；神圣化
sacred,adj. 神的；神圣的；宗教的；庄严的
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
salable,adj. 畅销的；适于销售的；价格适当的
salient,"n. 凸角；突出部分
adj. 显著的；突出的；跳跃的"
saline,"n. 盐湖；碱盐泻药
adj. 盐的；含盐分的"
salinity,n. 盐度；盐分；盐性
salvage,"n. 打捞；海上救助；抢救财货；救难的奖金
vt. 抢救；海上救助"
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
samurai,n. （日）武士；武士阶级
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
sanctuary,n. 避难所；至圣所；耶路撒冷的神殿
sandbar,n. 沙洲；沙堤
sane,adj. 健全的；理智的； 神志正常的
sanitary,"n. 公共厕所
adj. 卫生的，清洁的"
