triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
empirical,adj. 经验主义的，完全根据经验的；实证的
period,"n. 周期，期间；时期；月经；课时；（语法学）句点，句号
adj. 某一时代的"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
permeate,"vt. 渗透，透过；弥漫
vi. 弥漫；透入；散布"
ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
persecute,vt. 迫害；困扰；同…捣乱
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
scarcely,adv. 几乎不，简直不；简直没有
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
scarf,"n. 围巾；嵌接，嵌接处；头巾领巾
vt. 披嵌接；用围巾围"
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
scene,n. 场面；情景；景象；事件
scenery,n. 风景；景色；舞台布景
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
acceptance,n. 接纳；赞同；容忍
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
accident,n. 事故；意外； 意外事件；机遇
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
accomplish,vt. 完成；实现；达到
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
accordance,n. 一致；和谐
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
 依照；根据…所说；依据"
accordingly,adv. 因此，于是；相应地；照著
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
accountant,n. 会计师；会计人员
accumulate,"vt. 积攒
vi. 累积；积聚"
accuracy,n.  精确度，准确性
accurate,adj. 精确的
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
accustomed,"v. 使习惯于（accustom的过去分词）
adj. 习惯的；通常的；独有的"
escalate,"vt. 使逐步上升
vi. 逐步增强；逐步升高"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
escort,"n. 陪同；护航舰；护卫队；护送者
vt. 护送；陪同；为…护航"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
essence,n. 本质，实质；精华；香精
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
eternal,adj. 永恒的；不朽的
ethnic,adj. 种族的；人种的
evacuate,"vt. 疏散，撤退；排泄
vi. 疏散；撤退；排泄"
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
fairly,adv. 相当地；公平地；简直
fairy,"n. 仙女，小精灵；漂亮姑娘
adj. 虚构的；仙女的"
faith,n. 信仰；信念；信任；忠实
faithful,adj. 忠实的，忠诚的；如实的；准确可靠的
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
false,"adj. 错误的；虚伪的；伪造的
adv. 欺诈地"
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
famine,n. 饥荒；饥饿，奇缺
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
peace,n. 和平；平静；和睦；秩序
peaceful,adj. 和平的，爱好和平的；平静的
pearl,"n. 珍珠；珍珠色；杰出者；珍品
adj. 镶珍珠的；珍珠状的
vt. 使成珠状；用珍珠装饰；使呈珍珠色
vi. 采珍珠；成珍珠状"
peasant,n. 农民；乡下人
pebble,"n. 卵石；水晶透镜
vt. 用卵石铺"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
embarrass,vt. 使局促不安；使困窘；阻碍
emigrate,"vi. 移居；移居外国
vt. 移民"
embody,vt. 体现，使具体化；具体表达
request,"n. 请求；需要
vt. 要求，请求"
require,vt. 需要；要求；命令
constrain,vt. 驱使；强迫；束缚
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
resolute,adj. 坚决的；果断的
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
respective,adj. 分别的，各自的
dilemma,n. 困境；进退两难；两刀论法
resolution,n.  分辨率；决议；解决；决心
diligent,adj. 勤勉的；用功的，费尽心血的
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
disastrous,adj. 灾难性的；损失惨重的；悲伤的
discourage,vt. 阻止；使气馁
discrepancy,n. 不符；矛盾；相差
disgrace,"n. 耻辱；丢脸的人或事；失宠
vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜"
meditation,n. 冥想；沉思，深思
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
negligible,adj. 微不足道的，可以忽略的
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
nourish,vt. 滋养；怀有；使健壮
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
norm,n. 标准，规范
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
organic,adj.  有机的；组织的；器官的；根本的
organism,n. 有机体；生物体；微生物
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
orthodox,"adj. 正统的；传统的；惯常的；东正教的
n. 正统的人；正统的事物"
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
repression,n. 抑制， 压抑；镇压
republic,n. 共和国；共和政体
reptile,"n. 爬行动物；卑鄙的人
adj. 爬虫类的；卑鄙的"
reputation,n. 名声，名誉；声望
reservation,n. 预约，预订；保留
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
shrewd,"n. 精明（的人）；机灵（的人）
adj. 精明的；狡猾的；机灵的"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
shrug,"n. 耸肩
vi. 耸肩
vt. 耸肩，耸肩表示"
skeleton,"n. 骨架，骨骼；纲要；骨瘦如柴的人
adj. 骨骼的；骨瘦如柴的；概略的"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
abundance,n. 充裕，丰富
abundant,adj. 丰富的；充裕的；盛产
homo sapien,
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
academy,n. 学院；研究院；学会；专科院校
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
acquaint,vt. 使熟悉；使认识
acquaintance,n. 熟人；相识；了解；知道
acquire,vt. 获得；取得；学到；捕获
bloom,"n. 花；青春；旺盛
vt. 使开花；使茂盛
vi. 开花；茂盛"
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
bureaucracy,n. 官僚主义；官僚机构；官僚政治
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
dwell,vi. 居住；存在于；细想某事
abolish,vt. 废除，废止；取消，革除
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
visual,adj. 视觉的，视力的；栩栩如生的
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
wisdom,n. 智慧，才智；明智；学识；至理名言
withhold,"vt. 保留，不给；隐瞒；抑制
vi. 忍住；克制"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
eminent,adj. 杰出的；有名的；明显的
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
envisage,vt. 正视，面对；想像
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
possession,n. 拥有；财产；领地；自制；着迷
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
rally,"n. 集会；回复；公路赛车会
vt. 团结；集合；恢复健康、力量等
vi. 团结；重整；恢复；（网球等）连续对打"
rational,"n. 有理数
adj. 合理的；理性的"
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
repel,vt. 击退；抵制；使厌恶；使不愉快
resultant,"n. 合力；结果； 生成物
adj. 结果的；合成的"
retain,vt. 保持；雇；记住
robust,adj. 强健的；健康的；粗野的；粗鲁的
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
sprinkle,"n. 撒，洒；少量
vt. 洒；微雨；散置
vi. 洒，撒；下稀疏小雨；喷撒"
stability,n. 稳定性；坚定，恒心
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
standpoint,n. 立场；观点
startle,"n. 惊愕；惊恐
vt. 使吓一跳；使惊奇
vi. 惊吓；惊跳；惊奇"
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
statistical,adj. 统计的；统计学的
statute,n.  法规；法令；条例
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
trait,n. 特性，特点；品质；少许
tramp,"n. 流浪者；沉重的脚步声；徒步旅行
vi. 流浪；践踏，踩；脚步沉重地行走
vt. 践踏，踩；走过"
unanimous,adj. 全体一致的；意见一致的；无异议的
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
unexpected,adj. 意外的，想不到的
unfold,"vi. 展开；显露
vt. 打开；呈现"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
vital,adj. 至关重要的；生死攸关的；有活力的
violent,adj. 暴力的；猛烈的
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
virtue,n. 美德；优点；贞操；功效
virus,n.  病毒；恶毒；毒害
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
wicked,adj. 邪恶的；恶劣的；不道德的；顽皮的
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
realm,n. 领域，范围；王国
fertilizer,n.  肥料；受精媒介物；促进发展者
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
feudal,adj. 封建制度的；领地的；世仇的
fiber,n. 纤维；光纤（等于fibre）
fierce,adj. 凶猛的；猛烈的；暴躁的
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
flavor,"n. 情味，风味；香料；滋味
vt. 加味于"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
sail,"n. 帆，篷；航行
vi. 航行；启航，开船
vt. 航行"
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
expertise,n. 专门知识；专门技术；专家的意见
spontaneous,adj. 自发的；自然的；无意识的
spouse,"n. 配偶
vt. 和…结婚"
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
contempt,n. 轻视，蔑视；耻辱
surpass,vt. 超越；胜过，优于；非…所能办到或理解
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
modify,"vt. 修改，修饰；更改
vi. 修改"
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
motivate,vt. 刺激；使有动机；激发…的积极性
mute,"adj. 哑的；沉默的；无声的
vt. 减弱……的声音；使……柔和
n. 哑巴；弱音器；闭锁音"
mutual,adj. 共同的；相互的，彼此的
mysterious,adj. 神秘的；不可思议的；难解的
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
novel,"adj. 新奇的；异常的
n. 小说"
nuisance,n. 讨厌的人；损害；麻烦事；讨厌的东西
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
nutrition,n. 营养，营养学；营养品
obedience,n. 顺从；服从；遵守
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
obsession,n. 痴迷；困扰； 强迫观念
obsolete,"adj. 废弃的；老式的
n. 废词；陈腐的人
vt. 淘汰；废弃"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
opportunity,n. 时机，机会
optical,adj. 光学的；眼睛的，视觉的
optimistic,adj. 乐观的；乐观主义的
optimum,"adj. 最适宜的
n. 最佳效果；最适宜条件"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
prominent,adj. 突出的，显著的；杰出的；卓越的
stamp,"n. 邮票；印记；标志；跺脚
vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
vi. 跺脚；捣碎；毁掉"
stoop,"n. 弯腰，屈背；屈服
vt. 辱没，堕落；俯曲
vi. 弯腰；屈服；堕落"
strive,vi. 努力；奋斗；抗争
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
tangle,"n. 纠纷；混乱状态
vt. 使纠缠；处于混乱状态
vi. 缠结；乱作一团"
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
thesis,n. 论文；论点
tribe,n. 部落；族；宗族；一伙
union,n. 联盟，协会；工会；联合
vanity,n. 虚荣心；空虚；浮华；无价值的东西
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
violate,vt. 违反；侵犯，妨碍；亵渎
vulgar,"n. 平民，百姓
adj. 粗俗的；通俗的；本土的"
worthwhile,adj. 值得做的，值得花时间的
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
admission,n. 承认；入场费；进入许可；坦白；录用
adverb,"n. 副词
adj. 副词的"
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
bizarre,adj. 奇异的（指态度，容貌，款式等）
blunt,"adj. 钝的，不锋利的；生硬的；直率的
vt. 使迟钝"
catastrophe,n. 大灾难；大祸；惨败
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
celebrity,n. 名人；名声
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
polish,
predecessor,n. 前任，前辈
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
protein,"n. 蛋白质；朊
adj. 蛋白质的"
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
reluctant,adj. 不情愿的；勉强的；顽抗的
saddle,"n. 鞍，鞍状物；车座；拖具
vt. 承受；使负担；装以马鞍
vi. 跨上马鞍"
safe,"n. 保险箱；冷藏室；纱橱
adj. 安全的；可靠的；平安的"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
substance,n. 物质；实质；资产；主旨
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
suffice,"vt. 使满足；足够…用；合格
vi. 足够；有能力"
suppress,vt. 抑制；镇压；废止
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
theoretical,adj. 理论的；理论上的；假设的；推理的
thorough,adj. 彻底的；十分的；周密的
sprout,"n. 芽；萌芽；苗芽
vt. 使发芽；使萌芽
vi. 发芽；长芽"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
avoid,vt. 避免；避开，躲避；消除
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
furious,adj. 激烈的；狂怒的；热烈兴奋的；喧闹的
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
generate,vt. 使形成；发生；生殖；产生物理反应
generalize,"vi. 形成概念
vt. 概括；推广；使...一般化"
genetic,adj. 遗传的；基因的；起源的
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
sympathize,vi. 同情，怜悯；支持
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
brace,"n. 支柱； 大括号；曲柄
vt. 支撑；振作起来；激励；撑牢
adj. 曲柄的
vi. 支持；打起精神"
fluent,adj. 流畅的，流利的；液态的；畅流的
senate,n. 参议院，上院；（古罗马的）元老院
fortunate,adj. 幸运的；侥幸的；吉祥的；带来幸运的
genuine,adj. 真实的，真正的；诚恳的
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
propel,vt. 推进；驱使；激励；驱策
tedious,adj. 沉闷的；冗长乏味的
portray,vt. 描绘；扮演
queer,"n. 同性恋者；怪人；伪造的货币
adj. 奇怪的；同性恋的；不舒服的；心智不平衡的
vt. 搞糟；使陷于不利地位"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
stale,"n. 尿
adj. 陈腐的；不新鲜的
vt. 使变旧；变得不新鲜
vi. 变陈旧；撒尿；变得不新鲜"
tolerant,adj. 宽容的；容忍的；有耐药力的
fertile,adj. 富饶的，肥沃的；能生育的
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
tilt,"n. 倾斜
vt. 使倾斜；使翘起
vi. 倾斜；翘起；以言词或文字抨击"
assassinate,vt. 暗杀；行刺
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
refine,vt. 精炼，提纯；改善；使…文雅
siege,"n. 围攻；包围；围城；不断袭击；长期努力
vt. 围攻；包围"
assure,vt. 保证；担保；使确信；弄清楚
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
attractive,adj. 吸引人的；有魅力的；引人注目的
haste,"n. 匆忙；急忙；轻率
vt. 赶快
vi. 匆忙；赶紧"
prevail,vi. 盛行，流行；战胜，获胜
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
rhythm,n. 节奏；韵律
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
conversion,n. 转换；变换； 兑换；改变信仰
glamour,"n. 魅力，魔力；迷人的美
vt. 迷惑，迷住"
prohibit,vt. 阻止，禁止
rouse,"n. 觉醒；奋起
vt. 唤醒；激起，使振奋；惊起
vi. 醒来；奋起"
