survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于"
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
actual,adj. 真实的，实际的；现行的，目前的
actually,adv. 实际上；事实上
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
so-called,adj. 所谓的；号称的
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
genuine,adj. 真实的，真正的；诚恳的
error,n. 误差；错误；过失
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
ridiculous,adj. 可笑的；荒谬的
overuse,"n. 过度使用
vt. 把…使用过度"
capacity,n. 能力；容量；资格，地位；生产力
capable,adj. 能干的，能胜任的；有才华的
capability,n. 才能，能力；性能，容量
enable,vt. 使能够，使成为可能；授予权利或方法
inability,n. 无能力；无才能
strength,n. 力量；力气；兵力；长处
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
qualification,n. 资格；条件；限制；赋予资格
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
skilled,adj. 熟练的；有技能的；需要技能的
trained,"v. 训练（train的过去分词）
adj. 培训；训练过的，受过培训的"
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
massive,adj. 大量的；巨大的，厚重的；魁伟的
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
considerable,adj. 相当大的；重要的，值得考虑的
considerably,adv. 相当地；非常地
tremendous,adj. 极大的，巨大的；惊人的；极好的
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
attribute,"n. 属性；特质
vt. 归属；把…归于"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
trait,n. 特性，特点；品质；少许
personality,n. 个性；品格；名人
personally,adv. 亲自地；当面；个别地；就自己而言
continuous,adj. 连续的，持续的；继续的；连绵不断的
consistent,adj. 始终如一的，一致的；坚持的
persistent,adj. 固执的，坚持的；持久稳固的
constantly,adv. 不断地；时常地
chronic,adj. 慢性的；长期的；习惯性的
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
lasting,"adj. 持久的；永恒的
n.  厚实斜纹织物
v. 持续；维持（last的ing形式）"
longevity,n. 长寿，长命；寿命
endless,adj. 无止境的；连续的；环状的；漫无目的的
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
improvement,n. 改进，改善；提高
enhance,vt. 提高；加强；增加
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
exceed,"vt. 超过；胜过
vi. 超过其他"
excessive,adj. 过多的，极度的；过分的
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
outweigh,vt. 比…重（在重量上）；比…重要；比…有价值
growth,n. 增长；发展；生长；种植
thrive,vi. 繁荣，兴旺；茁壮成长
prosperity,n. 繁荣，成功
developed,adj. 发达的（国家或地区）；成熟的
developmental,adj. 发展的；启发的
enrich,vt. 使充实；使肥沃；使富足
excellent,adj. 卓越的；极好的；杰出的
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
fascinating,"adj. 迷人的；吸引人的；使人神魂颠倒的
v. 使…着迷；使…陶醉（fascinate的ing形式）"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
deserve,"vi. 应受，应得
vt. 应受，应得"
charming,"adj. 迷人的；可爱的
v. 使陶醉（charm的现在分词）"
precious,adj. 宝贵的；珍贵的；矫揉造作的
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
exactly,adv. 恰好地；正是；精确地；正确地
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
precisely,adv. 精确地；恰恰
precise,adj. 精确的；明确的；严格的
accurate,adj. 精确的
accuracy,n.  精确度，准确性
adapt,"vi. 适应
vt. 使适应；改编"
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
suitable,adj. 适当的；相配的
reality,n. 现实；实际；真实
realistic,adj. 现实的；现实主义的；逼真的；实在论的
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
equally,adv. 同样地；相等地，平等地；公平地
inequality,n. 不平等；不同；不平均
equality,n. 平等；相等； 等式
relatively,adv. 相当地；相对地，比较地
counterpart,n. 副本；配对物；极相似的人或物
comparable,adj. 可比较的；比得上的
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
comparison,n. 比较；对照；比喻；比较关系
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
practical,adj. 实际的；实用性的
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
efficient,adj. 有效率的；有能力的；生效的
efficiency,n. 效率；效能；功效
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
properly,adv. 适当地；正确地；恰当地
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
acceptance,n. 接纳；赞同；容忍
acceptable,adj. 可接受的；合意的；可忍受的
hardly,adv. 几乎不，简直不；刚刚
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
rarely,adv. 很少地；难得；罕有地
empty,"n. 空车；空的东西
adj. 空的；无意义的；无知的；徒劳的
vt. 使失去；使…成为空的
vi. 成为空的；流空"
sufficient,adj. 足够的；充分的
insufficient,"adj. 不足的，不充足的；不胜任的；缺乏能力的
n. 不足；缺乏"
plenty,"n. 丰富，大量；充足
adj. 足够的，很多的
adv. 足够"
plentiful,adj. 丰富的；许多的；丰饶的；众多的
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
productivity,n. 生产力；生产率；生产能力
adequate,adj. 充足的；适当的；胜任的
inadequate,adj. 不充分的，不适当的
abundant,adj. 丰富的；充裕的；盛产
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
complexity,n. 复杂，复杂性；复杂错综的事物
complicated,adj. 难懂的，复杂的
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
exclude,vt. 排除；排斥；拒绝接纳；逐出
eliminate,vt. 消除；排除
elimination,n. 消除；淘汰；除去
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
deprive,vt. 使丧失，剥夺
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
stability,n. 稳定性；坚定，恒心
robust,adj. 强健的；健康的；粗野的；粗鲁的
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
toxic,adj. 有毒的；中毒的
pollute,vt. 污染；玷污；败坏
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
role,n. 角色；任务
member,n. 成员；会员；议员
couple,"n. 对；夫妇；数个
vt. 结合；连接；连合
vi. 结合；成婚"
president,n. 总统；董事长；校长；主席
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
housing,n. 房屋；住房供给； 外壳；遮盖物；机器等的防护外壳或外罩
citizen,n. 公民；市民；老百姓
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
resident,"n. 居民；住院医生
adj. 居住的；定居的"
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
candidate,n. 候选人，候补者；应试者
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
racial,adj. 种族的；人种的
applicant,n. 申请人，申请者；请求者
application,n. 应用；申请；应用程序；敷用
pupil,n. 学生； 瞳孔；未成年人
maker,n. 制造者；造物主；出期票人
guest,"n. 客人，宾客；顾客
adj. 客人的；特邀的，客座的
vt. 款待，招待
vi. 作客，寄宿"
entrepreneur,n. 企业家；承包人；主办者
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
civilization,n. 文明；文化
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
enemy,"n. 敌人，仇敌；敌军
adj. 敌人的，敌方的"
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
traveler,n. 旅行者；旅客；旅行推销员（等于traveller）
supervisor,n. 监督人， 管理人；检查员
holder,n. 持有人；所有人；固定器；（台、架等）支持物
servant,n. 仆人，佣人；公务员；雇工
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
weight,"n. 重量，重力；负担；砝码；重要性
vt. 加重量于，使变重"
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
per,prep. 每；经；按照；每一
series,n. 系列，连续； 串联；级数；丛书
speed,"n. 速度，速率；迅速，快速；昌盛，繁荣
vt. 加快…的速度；使成功，使繁荣
vi. 超速，加速；加速，迅速前行；兴隆"
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
mile,n. 英里；一英里赛跑；较大的距离
temperature,n. 温度；体温；气温；发烧
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
dozen,"n. 十二个，一打
adj. 一打的"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
pair,"n. 一对，一双，一副
vt. 把…组成一对"
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
length,n. 长度，长；时间的长短；（语）音长
load,"n. 负载，负荷；工作量；装载量
vi.  加载；装载；装货
vt. 使担负；装填"
pound,"n. 英镑；重击，重击声；兽栏；拘留所
vt. 捣烂；敲打；监禁，拘留
vi. 连续重击，猛击"
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
handful,n. 少数；一把；棘手事
calorie,n. 卡路里（热量单位）
ton,n. 吨；很多，大量
acre,n. 土地，地产；英亩
metric,"adj. 公制的；米制的；公尺的
n. 度量标准"
depth,n.  深度；深奥
unit,n. 单位，单元；装置； 部队；部件
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
multitude,n. 群众；多数
officer,"n. 军官，警官；公务员，政府官员；船长
vt. 指挥"
researcher,n. 研究员
research,"n. 研究；调查
vt. 研究；调查
vi. 研究；调查
"
professor,n. 教授；教师；公开表示信仰的人
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
profession,n. 职业，专业；声明，宣布，表白
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
expertise,n. 专门知识；专门技术；专家的意见
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
employee,n. 雇员；从业员工
employment,n. 使用；职业；雇用
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
employer,n. 雇主，老板
unemployment,n. 失业；失业率；失业人数
unemployed,adj. 失业的；未被利用的
engineer,"n. 工程师；工兵；火车司机
vt. 设计；策划；精明地处理
vi. 设计；建造"
engineering,"n. 工程，工程学
v. 设计；管理（engineer的ing形式）；建造"
engine,n. 引擎，发动机；机车，火车头；工具
workforce,n. 劳动力；工人总数，职工总数
workload,n. 工作量
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
retailer,n. 零售商；传播的人
educator,n. 教育家；教育工作者；教师
educational,adj. 教育的；有教育意义的
sociologist,n. 社会学家
reporter,n. 记者
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
secretary,n. 秘书；书记；部长；大臣
co-author,"n. 合著者
vt. 合著"
athlete,n. 运动员，体育家；身强力壮的人
architect,"n. 建筑师
缔造者"
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
neuroscientist,n. 神经系统科学家
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
strategy,n. 战略，策略
strategic,adj. 战略上的，战略的
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
topic,n. 主题（等于theme）；题目；一般规则；总论
conclusion,n. 结论；结局；推论
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
theory,n. 理论；原理；学说；推测
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
agenda,n. 议程；日常工作事项；日程表
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
means,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） "
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
investment,n. 投资；投入；封锁
investor,n. 投资者
price,"n. 价格；价值；代价
vt. 给……定价；问……的价格"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
expensive,adj. 昂贵的；花钱的
afford,vt. 给予，提供；买得起
affordable,adj. 负担得起的
spending,"n. 花费；开销
v. 花费；度过（spend的现在分词形式）"
fund,"n. 基金；资金；存款
vt. 投资；资助"
funding,"n. 提供资金；用发行长期债券的方法来收回短期债券
v. 提供资金；积存（fund的ing形式）"
debt,n. 债务；借款；罪过
fee,"n. 费用；酬金；小费
vt. 付费给……"
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
unpaid,adj. 未付款的； 未缴纳的；无报酬的
tuition,n. 学费；讲授
costly,adj. 昂贵的；代价高的
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
organization,n. 组织；机构；体制；团体
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
college,n. 大学；学院；学会
nation,n. 国家；民族；国民
national,"adj. 国家的；国民的；民族的；国立的
n. 国民"
nationwide,"adj. 全国范围的；全国性的
adv. 在全国"
agency,n. 代理，中介；代理处，经销处
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
department,n. 部；部门；系；科；局
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
union,n. 联盟，协会；工会；联合
authority,n. 权威；权力；当局
association,n. 协会，联盟，社团；联合；联想
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
bureau,n. 局，处；衣柜；办公桌
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
coalition,n. 联合；结合，合并
enterprise,n. 企业；事业；进取心；事业心
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
academy,n. 学院；研究院；学会；专科院校
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
cultural,adj. 文化的；教养的
degree,n. 程度，等级；度；学位；阶层
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
graduation,n. 毕业；毕业典礼；刻度，分度；分等级
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
curriculum,"n. 课程
总课程"
literature,n. 文学；文献；文艺；著作
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
literacy,n. 读写能力；精通文学
scholar,n. 学者；奖学金获得者
scholarship,n. 奖学金；学识，学问
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
seminar,n. 讨论会，研讨班
freshman,n. 新手，生手；大学一年级学生
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
formula,n.  公式，准则；配方；婴儿食品
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
standardized,"adj. 标准的；标准化的；定型的
v. 使合乎标准；按标准校准；制定标准（standardize的过去分词）"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
lifestyle,"n. 生活方式
保健的"
norm,n. 标准，规范
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
threshold,n. 入口；门槛；开始；极限；临界值
conservative,
mode,n. 模式；方式；风格；时尚
sale,n. 销售；出售；拍卖；销售额；廉价出售
customer,n. 顾客；家伙
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
commerce,n. 贸易；商业；商务
marketing,"n. 行销，销售
v. 出售；在市场上进行交易；使…上市（market的ing形式）"
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
consumer,n. 消费者；用户，顾客
consumption,n. 消费；消耗；肺痨
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
client,n.  客户；顾客；委托人
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
compensation,n. 补偿；报酬；赔偿金
businessman,n. 商人
digital,"n. 数字；键
adj. 数字的；手指的"
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
technological,adj. 技术的；工艺的
network,n. 网络；广播网；网状物
electronic,"adj. 电子的
n. 电子电路；电子器件"
electronics,n. 电子学；电子工业
software,n. 软件
technique,n. 技巧，技术；手法
technical,adj. 工艺的，科技的；技术上的；专门的
storage,n. 存储；仓库；贮藏所
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
robotic,"n. 机器人学
adj. 机器人的，像机器人的；自动的"
robotics,n. 机器人学
electric,"n. 电；电气车辆；带电体
adj. 电的；电动的；发电的；导电的；令人震惊的"
electricity,n. 电力；电流；强烈的紧张情绪
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
platform,n. 平台；月台，站台；坛；讲台
laptop,n. 膝上型轻便电脑，笔记本电脑
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
satellite,n. 卫星；人造卫星；随从；卫星国家
sensor,n. 传感器
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
automatically,"adj. 不经思索的
adv. 自动地；机械地；无意识地"
wealth,n. 财富；大量；富有
wealthy,"n. 富人
adj. 富有的；充分的；丰裕的"
income,n. 收入，收益；所得
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
earn,vt. 赚，赚得；获得，挣得；使得到；博得
revenue,n. 税收，国家的收入；收益
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
salary,"n. 薪水
vt. 给...加薪；给...薪水"
property,n. 性质，性能；财产；所有权
saving,"n. 节约；挽救；存款
prep. 考虑到；除...之外
adj. 节约的；挽救的；补偿的；保留的"
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
subsidy,n. 补贴；津贴；补助金
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
financial,adj. 金融的；财政的，财务的
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
economic,adj. 经济的，经济上的；经济学的
economy,n. 经济；节约；理财
economist,n. 经济学者；节俭的人
economics,n. 经济学；国家的经济状况
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
tax,"n. 税金；重负
vt. 向…课税；使负重担"
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
deficit,n. 赤字；不足额
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
currency,n. 货币；通货
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
monetary,adj. 货币的；财政的
bankruptcy,n. 破产
level,"n. 水平；标准；水平面
adj. 水平的；平坦的；同高的
vi. 瞄准；拉平；变得平坦
vt. 使同等；对准；弄平"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
status,n. 地位；状态；情形；重要身份
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
extent,n. 程度；范围；长度
political,adj. 政治的；党派的
politician,n. 政治家，政客
politics,n. 政治，政治学；政治活动；政纲
policy,n. 政策，方针；保险单
revolution,n. 革命；旋转；运行；循环
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
revolutionize,"vt. 发动革命；彻底改革；宣传革命
vi. 革命化；从事革命"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
voter,n. 选举人，投票人；有投票权者
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
election,n. 选举；当选；选择权；上帝的选拔
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
fiscal,adj. 会计的，财政的；国库的
Congress,
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
