bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
angel,"n. 天使；守护神；善人
vt. 出钱支持"
eagle,n. 鹰；鹰状标饰
agony,n. 苦恼；极大的痛苦；临死的挣扎
anguish,"n. 痛苦；苦恼
vt. 使极度痛苦
vi. 感到极度的痛苦"
anxious,adj. 焦虑的；担忧的；渴望的；急切的
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
anger,"n. 怒，愤怒；忿怒
vt. 使发怒，激怒；恼火
vi. 发怒；恼火"
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
acupuncture,"n. 针刺； 针刺疗法
vt. 对…施行针刺疗法"
punctual,adj. 准时的，守时的；精确的
pointless,adj. 无意义的；钝的；不尖的；不得要领的
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
appointment,n. 任命；约定；任命的职位
disappoint,vt. 使失望
disappointed,adj. 失望的，沮丧的；受挫折的
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
action,n. 行动；活动；功能；战斗；情节
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
actual,adj. 真实的，实际的；现行的，目前的
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
interaction,"n. 相互作用； 交互作用
n. 互动"
interactive,adj. 交互式的；相互作用的
interactivity, 相互作用
transaction,n. 交易；事务；办理；会报，学报
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
reaction,n. 反应，感应；反动，复古；反作用
reactive,adj. 反应的；电抗的；反动的
reactor,n.  反应器； 反应堆；起反应的人
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
enact,vt. 颁布；制定法律；扮演；发生
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
agency,n. 代理，中介；代理处，经销处
agenda,n. 议程；日常工作事项；日程表
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
arch,"n. 弓形，拱形；拱门
adj. 主要的
vt. 使…弯成弓形；用拱连接
vi. 拱起；成为弓形"
architect,"n. 建筑师
缔造者"
architecture,n. 建筑学；建筑风格；建筑式样；架构
archeology,n. 考古学（等于archaeology）
archaeology,"n. 考古学
考古学的"
hierarchy,n. 层级；等级制度
monarch,n. 君主，帝王；最高统治者
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
barber,"n. 理发师
vt. 为…理发；修整
vi. 当理发师"
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
barn,"n. 谷仓；畜棚；车库；靶（核反应截面单位）
vt. 把…贮存入仓"
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
ass,n. 屁股；驴子；蠢人
embarrass,vt. 使局促不安；使困窘；阻碍
embarrassment,n. 窘迫，难堪；使人为难的人或事物；拮据
assassinate,vt. 暗杀；行刺
assassin,n. 刺客，暗杀者
harass,vt. 使困扰；使烦恼；反复袭击
harassment,n. 骚扰；烦恼
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
bat,"n. 蝙蝠；球棒；球拍；批处理文件的扩展名
vt. 用球棒击球；击球率达…
vi. 轮到击球；用球棒击球"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
acrobat,n. 杂技演员，特技演员；随机应变者；翻云覆雨者，善变者
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
offense,n. 犯罪，过错；进攻；触怒；引起反感的事物
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
defend,"vi. 保卫；防守
vt. 辩护；防护"
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
defence,n. 防御；防卫；答辩；防卫设备
fend,"vi. 照料；供养；力争
vt. 谋生；保护；挡开；供养"
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
enforce,vt. 实施，执行；强迫，强制
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
effort,n. 努力；成就
afford,vt. 给予，提供；买得起
fort,"n. 堡垒；要塞；（美）边界贸易站
vt. 设要塞保卫
vi. 构筑要塞"
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
fortnight,n. 两星期
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
rein,"n. 缰绳；驾驭；统治；支配
vt. 控制；驾驭；勒住
vi. 勒住马"
realm,n. 领域，范围；王国
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
regime,n. 政权，政体；社会制度；管理体制
region,n. 地区；范围；部位
regional,adj. 地区的；局部的；整个地区的
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
regulate,vt. 调节，规定；控制；校准；有系统的管理
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
rigorous,adj. 严格的，严厉的；严密的；严酷的
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
rectify,vt. 改正；精馏；整流
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
direction,n. 方向；指导；趋势；用法说明
director,n. 主任，主管；导演；人事助理
directory,"n.  目录；工商名录；姓名地址录
adj. 指导的；咨询的"
rectangle,n. 矩形；长方形
benign,adj. 良性的；和蔼的，亲切的；吉利的
benevolent,adj. 仁慈的；慈善的；亲切的
benefactor,n. 恩人；捐助者；施主
bonus,n. 奖金；红利；额外津贴
malign,"vt. 诽谤，污蔑；中伤，说坏话
adj. 恶意的，恶性的；有害的"
malignant,"adj.  恶性的；有害的；有恶意的
n. 保王党员；怀恶意的人"
malfunction,"vi. 发生故障；不起作用
n. 故障；失灵；疾病"
grade,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化"
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
congratulate,vt. 祝贺；恭喜；庆贺
congratulation,n. 祝贺；贺辞
grateful,adj. 感谢的；令人愉快的，宜人的
gratitude,n. 感谢（的心情）；感激
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
centigrade,adj. 摄氏的； 摄氏温度的；百分度的
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
congress,n. 国会；代表大会；会议；社交
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
progressively,adv. 渐进地；日益增多地
regress,"n. 回归；退回
vi. 逆行，倒退；复归
vt. 使…倒退"
regressive,adj. 回归的；后退的；退化的
regression,n. 回归；退化；逆行；复原
during,prep. 在…的时候，在…的期间
duration,"n. 持续，持续的时间，期间
音长，音延"
durable,"n. 耐用品
adj. 耐用的，持久的"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
enduring,"adj. 持久的；能忍受的
v. 忍耐（endure的ing形式）"
endurance,n. 忍耐力；忍耐；持久；耐久
accident,n. 事故；意外； 意外事件；机遇
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
incidence,n. 发生率；影响； 入射；影响范围
incidental,"n. 附带事件；偶然事件；杂项
adj. 附带的；偶然的；容易发生的"
incidentally,adv. 顺便；偶然地；附带地
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
coincidence,n. 巧合；一致；同时发生
coincident,adj. 一致的；符合的；同时发生的
coincidental,adj. 巧合的；符合的；暗合的；一致的
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
casualty,n. 意外事故；伤亡人员；急诊室
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
occasional,adj. 偶然的；临时的；特殊场合的
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
catastrophe,n. 大灾难；大祸；惨败
catalyst,n.  催化剂；刺激因素
catholic,"n. 天主教徒；罗马天主教
adj. 天主教的；宽宏大量的"
cathedral,n. 大教堂
alcohol,n. 酒精，乙醇
alcoholic,"n. 酒鬼，酗酒者
adj. 酒精的，含酒精的"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
acceptance,n. 接纳；赞同；容忍
receive,"vt. 收到；接待；接纳
vi. 接收"
reception,n. 接待；接收；招待会；感受；反应
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
receiver,n. 接收器；接受者；收信机；收款员，接待者
receipt,"n. 收到；收据；收入
vt. 收到"
deceive,v. 欺骗；行骗
deceit,n. 欺骗；谎言；欺诈手段
deception,n. 欺骗，欺诈；骗术
deceptive,adj. 欺诈的；迷惑的；虚伪的
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
exception,n. 例外；异议
exceptional,"n. 超常的学生
adj. 异常的，例外的"
excerpt,"n. 摘录，引用
vt. 引用，摘录
vi. 摘录，引用"
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
concept,n. 观念，概念
conception,n. 怀孕；概念；设想；开始
conceit,"n. 自负；狂妄；幻想
vt. 幻想"
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
perception,n. 知觉； 感觉；看法；洞察力；获取
perceptive,adj. 感知的，知觉的；有知觉力的
perceptual,adj. 知觉的；感知的；有知觉的
anticipate,vt. 预期，期望；占先，抢先；提前使用
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
occupy,vt. 占据，占领；居住；使忙碌
occupation,n. 职业；占有；消遣；占有期
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
capable,adj. 能干的，能胜任的；有才华的
capability,n. 才能，能力；性能，容量
incapable,adj. 不能的；无能力的；不能胜任的
capacity,n. 能力；容量；资格，地位；生产力
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
capitalism,n. 资本主义
capitalist,"n. 资本家；资本主义者
adj. 资本主义的；资本家的"
captain,"n. 队长，首领；船长；上尉；海军上校
vt. 指挥；率领"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
disciplined,"adj. 遵守纪律的；受过训练的
v. 使有纪律（discipline的过去分词）；训导"
reciprocal,"n.  倒数；互相起作用的事物
adj. 互惠的；相互的；倒数的，彼此相反的"
ancestor,n. 始祖，祖先；被继承人
ancestry,n. 祖先；血统
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
primacy,n. 首位；卓越；大主教的职位
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
primeval,adj. 原始的；初期的（等于primaeval）
primaeval,adj. 原始的；远古的（等于primeval）
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
premier,"n. 总理，首相
adj. 第一的；最初的"
prince,n. 王子，国君；亲王；贵族
princess,n. 公主；王妃；女巨头
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
priority,n. 优先；优先权； 优先次序；优先考虑的事
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
success,n. 成功，成就；胜利；大获成功的人或事物
successor,n. 继承者；后续的事物
successive,adj. 连续的；继承的；依次的；接替的
succession,n. 连续；继位；继承权； 演替
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accessible,adj. 易接近的；可进入的；可理解的
inaccessible,adj. 难达到的；难接近的；难见到的
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
accede,vi. 加入；同意；就任
recede,"vi. 后退；减弱
vt. 撤回"
recession,n. 衰退；不景气；后退；凹处
exceed,"vt. 超过；胜过
vi. 超过其他"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
excessive,adj. 过多的，极度的；过分的
exceeding,"v. 超过；占优势（exceed的ing形式）
adj. 超越的；非常的；过度的"
exceedingly,adv. 非常；极其；极度地；极端
concede,"vi. 让步
vt. 承认；退让；给予，容许"
concession,n. 让步；特许（权）；承认；退位
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
proceeding,"n. 进行；程序；诉讼；事项
v. 开始；继续做；行进（proceed的ing形式）"
procedure,n. 程序，手续；步骤
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
processor,n.  处理器；处理程序；加工者
procession,"n. 队伍，行列；一列，一排；列队行进
vt. 沿著……行进
vi. 列队行进"
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
preceding,"v. 在...之前（precede的ing形式）
adj. 在前的；前述的"
precedent,"n. 先例；前例
adj. 在前的；在先的"
unprecedented,adj. 空前的；无前例的
predecessor,n. 前任，前辈
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
domain,n. 领域；域名；产业；地产
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
predominance,n. 优势；卓越
abdomen,n. 腹部；下腹；腹腔
democracy,n. 民主，民主主义；民主政治
democratic,adj. 民主的；民主政治的；大众的
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
demonstration,n. 示范；证明；示威游行
academy,n. 学院；研究院；学会；专科院校
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
condemn,vt. 谴责；判刑，定罪；声讨
decide,"vi. 决定，下决心
vt. 决定；解决；判决"
decisive,adj. 决定性的；果断的，坚定的
decision,n. 决定，决心；决议
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
concise,adj. 简明的，简洁的
precise,adj. 精确的；明确的；严格的
precisely,adv. 精确地；恰恰
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
scissors,"n. 剪刀；剪式跳法
v. 剪开；删除（scissor的第三人称单数）"
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
intersect,"vt. 横断，横切；贯穿
vi. 相交，交叉"
intersection,n. 交叉；十字路口；交集；交叉点
insect,n. 昆虫；卑鄙的人
segment,"n. 段；部分
vt. 分割
vi. 分割"
segregate,vt. 使隔离；使分离；在…实行种族隔离
aggregate,"n. 合计；集合体；总计
adj. 聚合的；集合的；合计的
vt. 集合；聚集；合计
vi. 集合；聚集；合计"
tail,"n. 尾巴；踪迹；辫子；燕尾服
adj. 从后面而来的；尾部的
vt. 尾随；装上尾巴
vi. 跟踪；变少或缩小"
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
tailor,"n. 裁缝
vt. 剪裁；使合适
vi. 做裁缝"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
division,n.  除法；部门；分配；分割；师（军队）；赛区
dividend,n. 红利；股息； 被除数；奖金
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
widow,"n. 寡妇；孀妇
vt. 使成寡妇"
whale,"n. 鲸；巨大的东西
vt. 猛揍；使惨败
vi. 捕鲸"
inhale,"vt. 吸入；猛吃猛喝
vi. 吸气"
exhale,"vt. 呼气；发出；发散；使蒸发
vi. 呼气；发出；发散"
hale,"adj. 矍铄的（尤指老人）；强壮的
vt. 迫使；猛拉
adv. 完全地
vi. 不断流出"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
proclaim,vt. 宣告，公布；声明；表明；赞扬
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
vocable,n. （无义）词，词外壳
vocabulary,n. 词汇；词表；词汇量
evoke,vt. 引起，唤起；博得
provoke,vt. 驱使；激怒；煽动；惹起
wake,"n. 尾迹；守夜；守丧
vt. 叫醒；激发
vi. 醒来；唤醒；警觉"
waken,"vt. 唤醒；使觉醒
vi. 醒来；觉醒"
awake,"adj. 醒着的
vt. 唤醒；使觉醒；激起，唤起
vi. 觉醒，意识到；醒来；被唤起"
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
professor,n. 教授；教师；公开表示信仰的人
profession,n. 职业，专业；声明，宣布，表白
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
prophet,n. 先知；预言者；提倡者
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
dictation,n. 听写；口述；命令
dictator,n. 独裁者；命令者
dictionary,n. 字典；词典
indicate,vt. 表明；指出；预示；象征
indication,n. 指示，指出；迹象；象征
indicative,"n. 陈述语气；陈述语气的动词形式
adj. 象征的；指示的；表示…的"
indicator,n. 指示器； 指示剂； 指示符；压力计
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
verdict,n. 结论；裁定
verify,vt. 核实；查证
doctrine,n. 主义；学说；教义；信条
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
announcement,n. 公告；宣告；发表；通告
denounce,vt. 谴责；告发；公然抨击；通告废除
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
pronunciation,n. 发音；读法
pronoun,n. 代词
renounce,"n. 垫牌
vt. 宣布放弃；与…断绝关系；垫牌
vi. 放弃权利；垫牌"
dialog,n. 对话；会话
dialogue,"n. 对话；意见交换
vt. 用对话表达
vi. 对话"
analogy,n. 类比；类推；类似
analog,"n.  模拟；类似物
adj.  模拟的；有长短针的"
analogue,"n. 类似物；类似情况；对等的人
adj. 类似的；相似物的；模拟计算机的"
apology,n. 道歉；谢罪；辩护；勉强的替代物
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
logical,adj. 合逻辑的，合理的；逻辑学的
allege,vt. 宣称，断言；提出…作为理由
allegiance,n. 效忠，忠诚；忠贞
legend,n. 传奇；说明；图例；刻印文字
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
obligation,n. 义务；职责；债务
religion,n. 宗教；宗教信仰
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
colleague,n. 同事，同僚
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
elite,n. 精英；精华；中坚分子
elitism,n. 精英主义；杰出人物统治论
diligent,adj. 勤勉的；用功的，费尽心血的
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
collection,n. 采集，聚集； 征收；收藏品；募捐
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
collectivism,n. 集体主义
recollect,v. 回忆，想起
recollection,n. 回忆；回忆起的事物
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
negligence,n. 疏忽；忽视；粗心大意
negligible,adj. 微不足道的，可以忽略的
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
intelligent,adj. 智能的；聪明的；理解力强的
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
intelligible,adj. 可理解的；明了的；仅能用智力了解的
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
selection,n. 选择，挑选；选集；精选品
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
legal,adj. 法律的；合法的；法定的；依照法律的
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
legacy,n. 遗赠，遗产
delegate,"n. 代表
vt. 委派…为代表"
legislate,"vt. 用立法规定；通过立法
vi. 立法；制定法律"
legislation,n. 立法；法律
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
legitimacy,n. 合法；合理；正统
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的"
justice,n. 司法，法律制裁；正义；法官，审判员
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
justification,n. 理由；辩护；认为有理，认为正当；释罪
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
jury,"n.  陪审团；评判委员会
adj. 应急的"
injure,vt. 伤害，损害
injury,n. 伤害，损害；受伤处
jurisdiction,n. 司法权，审判权，管辖权；权限，权力
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
judgment,n. 判断；裁判；判决书；辨别力
judgement,n. 意见；判断力； 审判；评价
judicial,adj. 公正的，明断的；法庭的；审判上的
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
adherence,n. 坚持；依附；忠诚
adhesion,n. 粘附；支持；固定
adhesive,"n. 粘合剂；胶黏剂
adj. 粘着的；带粘性的"
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
coherence,n. 一致；连贯性；凝聚
cohesive,adj. 凝聚的；有结合力的；紧密结合的；有粘着力的
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
hesitation,n. 犹豫
inherent,adj. 固有的；内在的；与生俱来的，遗传的
heir,n.  继承人；后嗣；嗣子
heritage,n. 遗产；传统；继承物；继承权
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
disclose,vt. 公开；揭露
disclosure,n.  披露；揭发；被揭发出来的事情
preclude,vt. 排除；妨碍；阻止
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
conclusion,n. 结论；结局；推论
conclusive,adj. 决定性的；最后的；确实的；确定性的
exclude,vt. 排除；排斥；拒绝接纳；逐出
exclusion,n. 排除；排斥；驱逐；被排除在外的事物
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
include,vt. 包含，包括
inclusive,adj. 包括的，包含的
enclose,vt. 围绕；装入；放入封套
enclosure,n. 附件；围墙；围场
seclude,vt. 使隔离，使隔绝
clause,n. 条款； 子句
core,
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
accordance,n. 一致；和谐
according,"adj. 相符的；一致的；相应的；和谐的；调和的
adv. 依照；根据；按照
v. 给予( accord的现在分词 )；使和谐一致；使符合；使适合"
accordingly,adv. 因此，于是；相应地；照著
concord,n. 和谐；和睦；一致；协调
discord,"n. 不和；不调和；嘈杂声
vi. 不一致；刺耳"
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
chord,n. 弦；和弦；香水的基调
