ambiguity,n. 含糊；不明确；暧昧；模棱两可的话
sumptuous,adj. 华丽的，豪华的；奢侈的
perk,"n. 小费；额外收入
vt. 使振作；打扮；竖起
vi. 振作；昂首"
glean,"vt. 收集（资料）；拾（落穗）
vi. 收集；拾落穗"
euphemism,n. 委婉语；委婉说法
lexicon,n. 词典，辞典
measles,n.  麻疹；风疹
goad,"n. 刺激；（赶牲口用的）刺棒；激励
vt. 刺激；激励；用刺棒驱赶；煽动"
inoculation,n.  接种；接木；接插芽
pundit,n. 专家；博学者；梵文学者
harry,vt. 折磨；掠夺；骚扰；使苦恼
metaphysical,adj. 形而上学的；超自然的；玄学派诗歌的
outspoken,adj. 坦率的，直言不讳的
wrangle,"n. 争论；吵嘴
vt. 争论；争吵；辩驳
vi. 争论；争吵"
hone,"n. 磨刀石；想念；抱怨
vt. 用磨刀石磨"
drawl,"n. 慢吞吞拉长调子的说话方式
vt. 慢吞吞地说
vi. 慢吞吞地说"
impart,vt. 给予（尤指抽象事物），传授；告知，透露
convent,n. 女修道院
terrain,n.  地形，地势；领域；地带
impede,vt. 阻碍；妨碍；阻止
reconnaissance,n.  侦察；勘测（等于reconnoissance）；搜索；事先考查
incite,vt. 煽动；激励；刺激
zealot,n. 狂热者；犹太教狂热信徒
multiple terrorist attacks,
masterly,"adj. 巧妙的，精巧的；名人的
adv. 巧妙地，熟练地；名人地"
inflame,"vt. 激怒；使燃烧；使发炎
vi. 燃烧；发炎；激动"
stalwart,"n. 坚定分子
adj. 坚定的；健壮的"
inter,vt. 埋；葬
rover,"n. 漫游者；流浪者；漂泊者
n. 罗孚（汽车品牌）"
jettison,"n. 投弃；投弃货物
vt. 投弃（船舶遇难时投弃货物以为减轻负载）"
affiliated,"v. 使隶属；加入（affiliate的过去分词）
adj. 附属的；有关连的"
stagnation,n. 停滞；滞止
jeopardy,n. 危险；（被告处于被判罪或受处罚的）危险境地
opium,"n. 鸦片；麻醉剂
adj. 鸦片的"
launder,"vt. 洗涤；清洗；洗黑钱（把来路可疑的钱弄得貌似合法）
vi. 洗涤；洗熨；耐洗
n. 流水槽"
liken,vt. 比拟；把…比作
abbey,n. 大修道院，大寺院；修道院中全体修士或修女
narrate,"vt. 叙述；给…作旁白
vi. 叙述；讲述"
persona,n. 人物角色；伪装的外表
staunch,"adj. 坚定的；忠诚的；坚固的
vt. 止住；止血"
affable,adj. 和蔼可亲的；友善的
pamper,vt. 纵容；使…过量；给…吃得过多
backer,n. 支持者；赞助人；援助者
patronize,vt. 以高人一等的态度对待；经常光顾，惠顾；资助；保护
peddle,"vt. 叫卖；兜售；散播
vi. 沿街叫卖；忙于琐事"
dope,"n. 笨蛋；麻醉药物；涂料
vt. 上涂料；服药
vi. 吸毒；吸毒成瘾
（俚）酷毙了"
rabid,adj. 激烈的；狂暴的；偏激的；患狂犬病的
sectarian,"n. 属于宗派的人；宗派心强的人；宗派主义者
adj. 宗派的；偏狭的；党派心强的"
perpetrate,vt. 犯（罪）；做（恶）
vandalism,n. 汪达尔人作风；故意毁坏文物的行为；破坏他人财产的行为
skirmish,"n. 小冲突，小规模战斗；小争论
vi. 进行小规模战斗；发生小争论"
quell,vt. 平息；镇压；减轻；消除
recoup,"vt. 收回；恢复；偿还；扣除
vi. 获得补偿；请求扣除"
centennial,"n. 百年纪念
adj. 一百年的"
reinstate,vt. 使恢复；使复原
misdemeanor,n. 轻罪；品行不端
injunction,n.  禁令；命令；劝告
relinquish,vt. 放弃；放手；让渡
renovate,vt. 更新；修复；革新；刷新
courthouse,n. 法院；（美）县政府所在地
replenish,vt. 补充，再装满；把…装满；给…添加燃料
requisite,"n. 必需品
adj. 必备的，必不可少的；需要的"
oil reserves,"un. 石油蕴藏量
 石油储备；石油储量；石油藏量"
replicate,"n. 复制品；八音阶间隔的反覆音
vt. 复制；折叠
adj. 复制的；折叠的
vi. 重复；折转"
disintegration,n. 瓦解，崩溃；分解
resurrect,"vt. 使复活；复兴；挖出
vi. 复活"
hyperbole,n. 夸张的语句；夸张法
opus,n. 作品
Greek,"n. 希腊语；希腊人
adj. 希腊的；希腊人的，希腊语的"
grudge,"n. 怨恨；恶意；妒忌
vt. 怀恨；吝惜；妒忌；不情愿做"
retaliate,"vi. 报复；回敬
vt. 报复"
revamp,"n. 改进；换新鞋面
vt. 修补；翻新；修改"
rendition,n. 译文；演奏；提供；引渡逃奴
English,"n. 英语；英国人；英文；英格兰人
adj. 英国人的；英国的；英文的
vt. 把…译成英语"
crackdown,n. 镇压；（美）制裁；强制取缔；惩罚
revoke,"n. 有牌不跟
vt. 撤回，取消；废除
vi. 有牌不跟"
counterfeit,"n. 赝品；冒牌货；伪造品
adj. 假冒的，伪造的；虚伪的
vt. 伪造，仿造；假装，伪装
vi. 仿造；假装"
CD,abbr. 光盘，激光唱片（Compact Disc）；呼叫设备（Calling Device）；中央地区（Central District）；商务部（Commerce Department）
compact disc,"n. 激光唱片
 光盘；压缩光盘，又称激光唱盘；光碟"
rout,"n. 溃败；暴动
vi. 搜寻
vt. 击溃"
fluke,"n. 侥幸；锚爪；意外的挫折
vt. 侥幸成功；意外受挫
vi. 侥幸成功"
salvage,"n. 打捞；海上救助；抢救财货；救难的奖金
vt. 抢救；海上救助"
sierra,n.  锯齿山脊；呈齿状起伏的山脉
a voice recorder,
scour,"n. 擦，冲刷；洗涤剂；（畜类等的）腹泻
vt. 擦亮，洗涤；冲洗，清除
vi. 冲刷；擦；腹泻"
epicenter,n. 震中；中心
annuity,n. 年金，养老金；年金保险；年金享受权
scuttle,"n. 天窗；煤桶；筐
vt. 使船沉没；破坏
vi. 逃避；急促地跑"
impasse,n. 僵局；死路
secede,"vt. 从…中脱离；割让
vi. 脱离；退出"
League of Nations,
spearhead,"n. 矛头；先锋；先锋部队
vt. 带头；做先锋"
prostitution,n. 卖淫；滥用；出卖灵魂
splice,"n. 接合；结婚
vt. 拼接；接合；使结婚"
perimeter,n. 周长；周界； 视野计
spurn,"n. 藐视，摒弃；踢开
vi. 摒弃；藐视
vt. 唾弃；冷落；一脚踢开"
preposterous,adj. 荒谬的；可笑的
paranoia,n.  偏执狂， 妄想狂
grow worse,
squander,"n. 浪费
vt. 浪费
vi. 浪费；漂泊"
patronage,n. 赞助；光顾；任免权
the Medici,
Italy,n. 意大利（欧洲南部国家）
stave,"n. 狭板；梯级；诗句；五线谱表
vi. 破碎；穿孔
vt. 延缓；击穿；凿孔于；压扁"
attrition,n. 摩擦；磨损；消耗
abstinence,n. 节制；节欲；戒酒；禁食
succumb,vi. 屈服；死；被压垮
Scotch,adj. 苏格兰人的；苏格兰语的
Scotch whisky,"na. 苏格兰威士忌酒
 一苏格兰威士忌；苏格威士忌；苏格兰产威士忌酒"
infringement,n. 侵犯；违反
thwart,"prep. 横过
n. 划手座；独木舟的横梁
vt. 挫败；反对；阻碍；横过
adj. 横放的；固执的
adv. 横过"
copyright infringement, 侵犯版权；版权侵犯；侵犯著作权
vie,"vi. 争；竞争
vt. 使针锋相对；提出...来竞争；以...作较量"
hegemony,n. 霸权；领导权；盟主权
Diet,
miscarriage,n.  流产；失败；误送
vindicate,vt. 维护；证明…无辜；证明…正确
a miscarriage of justice,"误 判(案),审判 不公(案)"
waive,vt. 放弃；搁置
eligibility,n. 适任，合格；被选举资格
conservationist,n. 自然资源保护论者
bemoan,"vt. 惋惜；为…恸哭
vi. 叹息"
oracle,n. 神谕；预言；神谕处；圣人
decipher,"n. 密电译文
vt. 解释（过去式deciphered，过去分词deciphered，现在分词deciphering，第三人称单数deciphers，名词decipherer，形容词decipherable）；译解"
genetics,n. 遗传学
delve,"n. 穴；洞
vi. 钻研；探究；挖
vt. 钻研；探究；挖"
downplay,vt. 不予重视；将...轻描淡写
cardiac,"n. 强心剂；强胃剂
adj. 心脏的；心脏病的；贲门的"
pathology,n. 病理（学）; 异常状态
chaplain,n. 牧师；专职教士
endear,vt. 使…受钟爱；使…亲密
evangelical,"n. 福音派信徒
adj. 福音的；福音派教会的；新教会的"
entreat,"vt. 恳求；请求
vi. 恳求；乞求"
lama,n. 喇嘛
espouse,vt. 支持；嫁娶；赞成；信奉
altruism,n. 利他；利他主义
dire,adj. 可怕的；悲惨的；极端的
etch,"n. 刻蚀；腐蚀剂
vt. 蚀刻；鲜明地描述；铭记
vi. 蚀刻"
archipelago,n. 群岛，列岛；多岛的海区
legion,"n. （古罗马）军团；众多；军队
adj. 众多的；大量的"
exult,vi. 狂喜，欢欣鼓舞；非常高兴
truce,"n. 停战；休战；休战协定
vt. 以休战结束；停止争执
vi. 停战"
bring about ...,
fathom,"n. 英寻（测量水深的长度单位）
vt. 看穿；彻底了解；测量…的深度"
lore,n. 知识；学问；全部传说；（动物的）眼光知识
tome,n. 册；大本书
loathe,vt. 讨厌，厌恶
incest,n. 乱伦；近亲通婚
mortify,"vt. 抑制；苦修；使…感屈辱
vi. 禁欲；苦行；约束"
snag,"n. 障碍；意外障碍；突出物
vt. 抓住机会；造成阻碍；清除障碍物
vi. 被绊住；形成障碍"
mull,"vt. 研磨；思索或思考某事物；使醉
n. 混乱；软薄布
vi. 深思熟虑"
fiasco,n. 惨败
farce,n. 闹剧；胡闹；笑剧
bidder,n. 投标人；出价人；命令者
rue,"n. 芸香；后悔
vt. 后悔；懊悔
vi. 后悔；悲伤"
Rembrandt,"伦布兰特(van Rijn , 1609-1669, 荷兰画家)"
squint,"n. 斜视；斜孔小窗；一瞥
adj. 斜视的；斜的
vt. 使斜眼；眯眼看
vi. 眯眼看；斜视；窥视；偏移"
writ,n.  令状；文书；法院命令
litigation,n. 诉讼；起诉
incarnation,n. 化身；道成肉身；典型
heyday,"n. 全盛期
int. 嘿！（表喜悦或惊奇等）"
swoon,"n. 昏晕；狂喜
vi. 昏晕；惊讶；着迷"
Dionysus,"n. 狄俄尼索斯(酒神, 即罗马神话中的Bacchus)"
unravel,"vt. 解开；阐明；解决；拆散
vi. 解决；散开"
schizophrenia,n.  精神分裂症
falcon,n.  猎鹰； 隼
fin,"n. 鳍；鱼翅；鳍状物
vt. 切除鳍；装上翅
vi. 猛挥鳍；潜泳"
mule,n. 骡；倔强之人，顽固的人；杂交种动物
catalyst,n.  催化剂；刺激因素
clout,"n. 破布；敲打；影响力；势力
vt. 给…打补钉；猛击"
anesthesia,n. 麻醉；麻木（等于anaesthesia）
antidote,n.  解毒剂；解药；矫正方法
biopsy,n. 活组织检查；活组织切片检查；切片检查法
chromosome,n.  染色体（形容词chromosomal，副词chromosomally）
containment,"n. 包含；牵制；容量；密闭度；抑制, 牵制；牵制  政策"
contraception,n. 避孕
cortex,n.  皮质；树皮；果皮
efficacy,n. 功效，效力
euthanasia,n. 安乐死；安乐死术
fetus,n. 胎儿，胎
genital,"n. 生殖器；外阴部
adj. 生殖的；生殖器的"
hypertension,n. 高血压；过度紧张
leukemia,n.  白血病
marrow,n. 髓，骨髓；精华；活力
menopause,n. 更年期；活动终止期
metabolism,n.  新陈代谢
mole,n. 鼹鼠；痣；防波堤；胎块；间谍
nausea,n. 恶心，晕船；极端的憎恶
neuron,n.  神经元，神经单位
nipple,n. 乳头，奶头；奶嘴
placebo,n. 安慰剂；为死者所诵的晚祷词
pore,"n. 气孔；小孔
vt. 使注视
vi. 细想；凝视；熟读"
reflex,"n. 反射；反映；映像；回复；习惯性思维
adj. 反射的；反省的；反作用的；优角的"
relapse,"n. 复发，再发；故态复萌；回复原状
vi. 故态复萌；旧病复发；再度堕落；再陷邪道"
retina,n.  视网膜
scalp,"n. 头皮；战利品
vt. 剥头皮
vi. 剥头皮"
tuberculosis,n. 肺结核；结核病
womb,"n.  子宫；发源地
vt. 容纳"
bravado,n. 虚张声势；冒险
clamor,"n. 喧闹，叫嚷；大声的要求
vt. 喧嚷着说出
vi. 喧嚷，发喧嚣声；持续地喊声"
complacency,n. 自满；满足；自鸣得意
contrition,n. 痛悔；悔悟
cynicism,n. 玩世不恭，愤世嫉俗；犬儒主义；冷嘲热讽
deference,n. 顺从；尊重
demeanor,n. 风度；举止；行为
derision,n. 嘲笑；嘲笑的对象
empathy,"n. 神入；移情作用；执着
n. 感同身受；同感；共鸣"
euphoria,n. 精神欢快， 欣快；兴高采烈；欣快症；幸福愉快感
funk,"n. 恐惧；怯懦；恐怖；臭味
vt. 害怕；畏缩；使闻到臭味
vi. 惊恐；畏缩；发出臭味"
furor,n. 狂热；激怒；喧闹；感动
glee,n. 快乐；欢欣；重唱歌曲
hallucination,n. 幻觉，幻想；错觉
homage,n. 敬意；尊敬；效忠
hunch,"n. 预感；大块；肉峰
vt. 耸肩；预感到；弯腰驼背
vi. 隆起；向前移动"
mirage,n. 海市蜃楼；幻想，妄想
misgiving,"n. 担忧；疑虑；不安
v. 担忧；使…疑虑；害怕（misgive的ing形式）"
ovation,n. 热烈欢迎；大喝采
phantom,"n. 幽灵；幻影；虚位
adj. 幽灵的；幻觉的；有名无实的"
rancor,n. 深仇；怨恨；敌意
remorse,n. 懊悔；同情
revulsion,n. 剧变；厌恶；强烈反感；抽回
solace,"n. 安慰；慰藉；安慰之物
vt. 安慰；抚慰；使快乐（过去式solaced，过去分词solaced，现在分词solacing，第三人称单数solaces）"
tantrum,n. 发脾气；发怒
tremor,n.  震颤；颤动
vengeance,n. 复仇；报复；报仇
whiff,"n. 一点点；单人小划艇；琴鲆属鱼；吸气或吹气
vt. 吸；喷出
vi. 喷气；垂钓；轻吹"
concerto,n. 协奏曲
embodiment,n. 体现；化身；具体化
tribune,n. 护民官；讲坛；看台；公民权利保护者
acronym,n. 首字母缩略词
banter,n. 无恶意的玩笑
benchmark,"n. 基准；标准检查程序
vt. 用基准问题测试（计算机系统等）"
calculus,n.  结石；微积分学
citation,n. 引用，引证； 传票；褒扬
commandment,n. 戒律；法令
compilation,n. 编译；编辑；汇编
conundrum,n. 难题；谜语
convergence,n.  收敛；会聚，集合
denomination,n. 面额；名称；教派
dictum,n. 格言；声明；法官的附带意见
doctorate,n. 博士学位；博士头衔
enigma,n. 谜，不可思议的东西
halo,"n. 光环；荣光
vt. 使有晕轮；围以光环
vi. 成晕轮"
heresy,n. 异端；异端邪说；异教
psyche,n. 灵魂；心智
pun,"n. 双关语；俏皮话
vt. 捣实敲打
vi. 说双关语；说俏皮话"
quantum,n. 量子论；额；美国昆腾公司（世界领先的硬盘生产商）
resurrection,n. 复活；恢复；复兴
sanctity,n. 圣洁；尊严；神圣不可侵犯性
savior,n. 救世主；救星；救助者
seminary,n. 神学院；学校；发源地；高级中学
upshot,n. 结果，结局；要点
verification,n. 确认，查证；核实
continuum,n.  连续统； 连续统一体；闭联集
courtship,n. 求爱；求婚；求爱期
flux,"n.  流量；变迁；不稳定；流出
vt. 使熔融；用焊剂处理
vi. 熔化；流出"
genealogy,n. 宗谱；血统；家系；系谱学
genesis,n. 发生；起源
hiatus,n. 裂缝，空隙；脱漏部分
omen,"n. 预兆；征兆
vt. 预示；有…的前兆；预告"
precursor,n. 先驱，前导
prelude,"n. 前奏；序幕；前奏曲
vt. 成为…的序幕；演奏…作为前奏曲
vi. 作为序曲；奏序曲"
respite,"n. 缓解；暂缓；暂时的休息；缓期执行
vt. 使缓解；使暂缓；使延期；缓期执行"
vigil,n. 守夜；监视；不眠；警戒
aspen,"n. 山杨
adj. 山杨的；类似白杨的；颤抖的"
birch,"n. 桦木；桦树；桦条
vt. 用桦条鞭打"
blight,"n. 枯萎病；荒芜
vi. 枯萎
vt. 破坏；使…枯萎"
garland,"n. 花环
vt. 戴花环"
graft,"n. 移植；嫁接；渎职
vt. 移植；嫁接；贪污
vi. 移植；嫁接；贪污
n. （非正式）脚踏实地地埋头苦干"
heather,"n. 石南属植物
adj. 杂色的；似石南的"
hull,"n. 船体；（果实的）外壳
vt.  去壳"
meteor,n. 流星； 大气现象
nitrogen,n.  氮
pod,"n. 蚕茧；豆荚
vt. 从豆荚中剥出
vi. 结豆荚"
pollen,"n.  花粉
vt. 传授花粉给"
ante,"vt. 下赌注；付款
vi. 下赌注；付款
n. 赌注；预付款"
assortment,n. 分类；混合物
bane,n. 毒药；祸害；灭亡的原因
décor,
demolition,n. 拆除（等于demolishment）；破坏；毁坏
forcing,"n. 强迫
v. 强迫（force的变形）；强制
adj. 强迫的；强制的；施加压力的"
fragmentation,n. 破碎；分裂； 存储残片
graffiti,n. 墙上乱写乱画的东西（graffito的复数形式）
grid,n. 网格；格子，栅格；输电网
hassle,"n. 困难，麻烦；激战
vt. 找麻烦，搅扰；与…争辩；使…烦恼
vi. 争论，争辩"
hindsight,n. 后见之明；枪的照门
incompetence,n. 无资格，不胜任；无能力；不适当；不熟练
knack,n. 诀窍；本领；熟练技术；巧妙手法
mannerism,n. 特殊习惯；矫揉造作；怪癖
orgy,n. 狂欢；放荡
puncture,"n. 穿刺；刺痕
vt. 刺穿；揭穿；削弱
vi. 被刺穿；被戳破"
quirk,n. 怪癖；急转；借口
rapport,n. 密切关系，交往；和谐一致
respectability,n. 体面；可尊敬；有社会地位
scourge,"n. 鞭；灾祸；鞭子；苦难的根源
vt. 鞭打；蹂躏；严斥；痛斥"
stealth,n. 秘密；秘密行动；鬼祟
stigma,n.  柱头；耻辱；污名；烙印；特征
arson,n. 纵火；纵火罪
backdrop,n. 背景；背景幕；交流声
bounty,"n. 慷慨；丰富；奖励金；赠款
vt. 发给…奖金等；为…而发给赏金
vi. 以赏金等形式发放"
complicity,n. 共谋；串通；共犯关系
confederate,"n. 同盟国，同盟者
adj. 同盟的，联合的
vt. 使联盟；使联合；同伙；帮凶
vi. 同盟；联合"
contingency,n. 偶然性； 意外事故；可能性； 意外开支；偶然式
debacle,n. 崩溃；灾害；解冻
disparity,n. 不同；不一致；不等
evasion,n. 逃避；回避；借口
extradition,n. 引渡；亡命者送还本国
feud,"n. 不和；争执；封地;（部落或家族间的）世仇
vi. 长期不和；长期争斗"
fiat,"n. 命令；许可；政法
vt. 批准；颁布
n. 菲亚特（意大利汽车品牌）"
glut,"n. （商品）供过于求；大量
vt. 使…充满；使…吃饱；过多供应
vi. 吃得过多"
imposition,n. 征收；强加；欺骗；不公平的负担
impunity,n. 不受惩罚；无患； 免罚
infusion,n. 灌输；浸泡；注入物；激励
loophole,n. 漏洞；枪眼；换气孔；射弹孔
malaise,n. 不舒服；心神不安
middleman,n. 中间人；经纪人；调解人
payroll,n. 工资单；在册职工人数；工资名单
probation,n. 试用；缓刑；查验
procurement,n. 采购；获得，取得
ransom,"n. 赎金；赎身，赎回
vt. 赎回，赎；勒索赎金；救赎；得赎金后释放"
registry,n. 注册；登记处；挂号处；船舶的国籍
roster,n. 花名册；执勤人员表；逐项登记表
tally,"n. 计数器；标签；记账
vi. 一致；记分
vt. 使符合；计算；记录"
ultimatum,n. 最后通牒；最后结论；基本原理
vindication,n. 辩护；证明无罪
waiver,n. 弃权，放弃；弃权证书
fodder,"n. 饲料；素材
vt. 喂"
regimen,n.  养生法；生活规则；政体；支配
aberration,n. 失常；离开正路，越轨
anomaly,n. 异常；不规则；反常事物
caliber,n.  口径；才干；水准（等于calibre）；器量
centerpiece,n. 中心装饰品；放在餐桌中央的摆饰
finesse,"n. 策略；纤细；灵巧
vt. 巧妙处理；以偷牌方式先出
vi. 偷牌；施展巧计"
glimmer,"n. 微光；闪光；少许
vi. 闪烁；发微光"
hallmark,"n. 特点；品质证明
vt. 给…盖上品质证明印记；使具有…标志"
horde,n. 一大群，群；游牧部落
parity,n. 平价；同等；相等；胎次；分娩
rectitude,n. 公正；诚实；清廉
rigor,n. 严厉；精确；苛刻；僵硬
spate,n. 洪水；一阵；大雨；突然迸发
spree,"n. 狂欢；无节制的狂热行为；欢闹
vi. 狂欢；狂饮"
stint,"n. 节约；定额，定量
vt. 节省；限制
vi. 紧缩，节省"
tinge,"n. 淡色；些许味道；风味
vt. 微染；使带气息"
abyss,n. 深渊；深邃，无底洞，地狱
arbor,n.  乔木；凉亭；藤架
ascendancy,n. 优势；支配地位（等于ascendency，ascendence）
bastion,n. 堡垒；棱堡
bedrock,n.  基岩；根底；基本原理
bower,n. 凉亭；树阴处
cache,"n. 电脑高速缓冲存储器；贮存物；隐藏处
vt. 隐藏；窖藏
vi. 躲藏"
chasm,n. 峡谷；裂口；分歧；深坑
culmination,n. 顶点；高潮
furrow,"n. 皱纹；犁沟；车辙
vt. 犁；耕；弄绉
vi. 犁田；开沟；犁出浪迹"
hump,"n. 驼峰；驼背；圆形隆起物
vt. 使隆起；使烦恼
vi. 隆起；弓起；努力；急速行进"
labyrinth,n. 迷宫； 迷路；难解的事物
milieu,n. 环境；周围；出身背景
pitfall,n. 陷阱，圈套；缺陷；诱惑
quagmire,n. 沼泽，沼泽地；无法脱身的困境
stalemate,"n. 僵局；陷于困境
vt. 使僵持；使陷入困境
vi. 僵持；陷入僵局"
tier,"n. 层，排；行，列；等级
vt. 使层叠
vi. 成递升排列"
torso,n. 躯干；裸体躯干雕像；未完成的作品；残缺不全的东西
trajectory,n.  轨道，轨线； 弹道
vanguard,n. 先锋；前锋科学卫星
warren,n. 养兔场；大杂院；拥挤的地区
watershed,"n. （美）流域；分水岭；集水区；转折点
adj. 标志转折点的"
alias,"n. 别名，化名
adv. 别名叫；化名为"
alumnus,n. 男校友；男毕业生
bard,n. 吟游诗人
boomer,n. 生育高峰中出生的人；赶往新兴地区安家的人；发出隆隆声者；发育完全的雄袋鼠
brethren,n.<旧>兄弟们，同胞；同党，会友
comer,n. 来者，来的人；有成功希望的人
entourage,n. 随从；周围；环境
guise,"n. 伪装；装束；外观
vt. 使化装
vi. 伪装"
heterosexual,"n. 异性恋的人
adj. 异性的；异性恋的"
mason,n. 梅森（男子名）
pedigree,"n. 血统；家谱
adj. 纯种的"
pseudonym,n. 笔名；假名
skinner,n. 剥皮工人；皮革商；骗子
surrogate,"n. 代理；代用品；遗嘱检验法官
adj. 代理的；替代的
vt. 代理；指定某人为自己的代理人"
upstart,"n. 暴发户；自命不凡的人；傲慢自负的人
adj. 暴富的；自命不凡的
vt. 使…突然跳起；使…崛起
vi. 突然跳起；崛起"
whore,"n. 娼妓，淫妇
vi. 卖淫，娼妓"
beacon,"n. 灯塔，信号浮标；烽火；指路明灯
vt. 照亮，指引
vi. 像灯塔般照耀"
buffer,"n.  缓冲区；缓冲器， 减震器
vt. 缓冲"
buttress,"n. 扶壁；拱壁；支撑物
vt. 支持；以扶壁支撑"
clamp,"n. 夹钳，螺丝钳
vt. 夹紧，固定住"
cobble,"n. 鹅卵石，圆石
vt. 修，拙劣地修补；铺鹅卵石，用圆石铺面"
cornerstone,n. 基础；柱石；地基
crate,"n. 板条箱；篓
vt. 将某物装入大木箱或板条箱中"
cuff,"n. 袖口，裤子翻边；手铐；一巴掌
vt. 给…上袖口；用巴掌打；给…带上手铐
vi. 殴斗，拳击"
dolly,"n. 洋娃娃；手推车；移动式摄影车；洗衣搅棒
vt. 用移动车移动
vi. 移动摄影车"
flagship,n. 旗舰；（作定语）一流；佼佼者
funnel,"n. 漏斗；烟囱
vt. 通过漏斗或烟囱等；使成漏斗形
vi. 通过漏斗等；成漏斗形"
gauntlet,n. 长手套；（古时士兵戴的）金属护手；夹道鞭笞的刑罚；交叉射击；严酷考验
grit,"n. 粗砂，砂砾砂砾，粗砂石；勇气；决心
vt. 研磨；在…上铺砂砾，覆以砂砾；咬紧牙关
vi. 摩擦作声"
luster,"n.  光泽；光彩
vi. 有光泽；发亮
vt. 使有光泽"
sheen,"n. 光辉，光泽，光彩
adj. 光辉的；有光泽的；华丽的
vi. 闪耀；发光"
shingle,"n. 墙面板；木瓦；小招牌（尤指医生或律师挂的营业招牌）；鹅卵石
vt. 用盖板覆盖"
sludge,n. 烂泥；泥泞；泥状雪；沉淀物；（海上）小浮冰
torpedo,"n. 鱼雷；水雷；油井爆破筒；电鳐；职业杀手
vt. 破坏；用鱼雷袭击"
zinc,"n. 锌
vt. 镀锌于…; 在…上镀锌"
adjoining,"adj. 邻接的；毗连的
v. 邻接（adjoin的ing形式）"
contingent,"n. 分遣队；偶然事件；分得部分；代表团
adj. 因情况而异的；不一定的；偶然发生的；可能的；依情况而定的；偶然的；有条件的"
disproportionate,"adj. 不成比例的
不成比例地"
eclectic,"n. 折衷派的人；折衷主义者
adj. 折衷的；选择的；折衷学派的
adj. 不拘一格的"
sparse,adj. 稀疏的；稀少的
sporadic,adj. 零星的；分散的；不定时发生的
towering,"adj. 高耸的；卓越的；激烈的
v. 高翔（tower的ing形式）"
ubiquitous,adj. 普遍存在的；无所不在的
unilateral,adj. 单边的； 单侧的；单方面的；单边音；（父母）单系的
vernacular,"n. 本地话，方言；动植物的俗名
adj. 本国的；地方的；用本地语写成的"
baroque,"n. 巴洛克风格；巴洛克艺术
adj. 巴洛克式的；结构复杂的，形式怪样的"
contemplative,adj. 沉思的；冥想的；默想的
nuptial,"adj. 婚礼的；结婚的；婚姻的
n. 婚礼"
parochial,adj. 教区的；狭小的；地方范围的
profane,"adj. 亵渎的；世俗的；异教的
vt. 亵渎；玷污"
prolific,adj. 多产的；丰富的
putative,adj. 推定的，假定的
quintessential,adj. 精髓的，精萃的
testimonial,"n. 证明书；推荐书
adj. 证明的；褒奖的；表扬的"
theological,adj. 神学的，神学上的
uncanny,adj. 神秘的；离奇的；可怕的
ailing,"adj. 生病的，身体不舒服的；体衰的
v. 生病；苦恼（ail的ing形式）"
burly,adj. 结实的；率直的；粗鲁的
comatose,adj. 昏迷的；昏睡状态的；麻木的；怠惰的
coronary,adj. 冠的；冠状的；花冠的
corporal,"n. 下士
adj. 肉体的，身体的"
hefty,"n. 体格健壮的人
adj. 重的；肌肉发达的；异常大的
adv. 强有力地；非常"
intestinal,adj. 肠的
intravenous,adj. 静脉内的
nasal,"adj. 鼻的；鼻音的
n. 鼻骨；鼻音；鼻音字"
neural,adj. 神经的；神经系统的；背的；神经中枢的
optic,"adj. 光学的；视觉的；眼睛的
n. 眼睛；镜片"
precocious,adj. 早熟的；过早发育的
spinal,"n. 脊椎麻醉
adj. 脊髓的；脊柱的；针的；脊骨的；尖刺的"
abrasive,"adj. 粗糙的；有研磨作用的；伤人感情的
n. 研磨料"
aggrieved,"v. 侵害，伤害（aggrieve的过去分词形式）；使悲痛
adj. 受委屈的，愤愤不平的；权利受到不法侵害的"
alluring,adj. 诱惑的，诱人的；迷人的，吸引人的
ambivalent,adj. 矛盾的；好恶相克的
apprehensive,adj. 忧虑的；不安的；敏悟的；知晓的
avid,adj. 渴望的，贪婪的；热心的
breathtaking,adj. 惊人的；惊险的；令人激动的
buoyant,adj. 轻快的；有浮力的；上涨的
distraught,adj. 发狂的；心烦意乱的
evocative,adj. 唤起的；唤出的
exuberant,adj. 繁茂的；生气勃勃的，充溢的
fervent,adj. 热心的；强烈的；炽热的；热烈的
giddy,"adj. 头晕的；眼花的；令人眼花缭乱的；轻浮的
vt. 使晕眩；使眼花缭乱
vi. 眼花；眩晕"
glum,adj. 阴沉的；忧郁的
grudging,adj. 勉强的；吝啬的
harrowing,"adj. 痛心的；悲惨的
v. 使痛苦（harrow的ing形式）；开拓"
heady,adj. 兴奋的；任性的；性急的；顽固的；使人头晕的；令人陶醉的
hilarious,adj. 欢闹的；非常滑稽的；喜不自禁的
humiliating,"adj. 丢脸的；羞辱性的
v. 使蒙耻（humiliate的ing形式）"
jubilant,adj. 欢呼的；喜洋洋的
morbid,adj. 病态的；由病引起的；恐怖的；病变部位的
obnoxious,adj. 讨厌的；可憎的；不愉快的
poignant,adj. 尖锐的；辛酸的；深刻的；切中要害的
poised,adj. 泰然自若的，镇定的；平衡的，均衡的；摆好姿势不动的，静止的
raucous,adj. 沙哑的；刺耳的；粗声的
rueful,adj. 可怜的；悲伤的；悔恨的
sardonic,adj. 讽刺的；嘲笑的，冷笑的
seductive,adj. 有魅力的；性感的；引人注意的
