rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
bacteria,n.  细菌
mental disease,"un. 精神疾患
 精神疾病；精神病；心理疾病"
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
medication,n. 药物；药物治疗；药物处理
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
herb,n. 香草，药草
painkiller,n. 止痛药
vitamin,n.  维生素； 维他命
antibiotic,"n. 抗生素，抗菌素
adj. 抗生的；抗菌的"
eyedrops,n. 眼药水；滴眼剂；眼泪（eyedrop的复数）
surgery,n. 外科；外科手术；手术室；诊疗室
operation,n. 操作；经营； 手术； 运算
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
treatment,n. 治疗，疗法；处理；对待
medical care,"un. 医疗
 医疗护理；医疗保健；医疗服务"
therapy,n. 治疗，疗法
side effect,"n. 副作用；意外结果；函数副作用
 没有副作用；副反应；副效应"
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
make an appointment,"n. 预约
 约会；预约挂号；约时间"
injection,n. 注射；注射剂；充血；射入轨道
vaccinate,"vt. 给…注射疫苗
vi. 接种疫苗
n. 被接种牛痘者"
acupuncture,"n. 针刺； 针刺疗法
vt. 对…施行针刺疗法"
bandage,"n. 绷带
vt. 用绷带包扎"
ice pack,"n. 冰袋（用于受伤等部位降温）
 大块浮冰群；冰敷；冰包"
ambulance,n.  救护车；战时流动医院
first-aid kit,n. 急救箱
X-ray,
eye,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看"
ear,"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗"
mouth,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话"
nose,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问"
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
leg,n. 腿；支柱
knee,"n. 膝盖，膝
vt. 用膝盖碰"
foot,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计"
catch a cold,"n. 感冒
 伤风；患感冒；着凉"
flu,n. 流感
sleeping sickness,"n. 非洲锥虫病
 昏睡病；睡眠病；嗜睡症"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
science,n. 科学；技术；学科；理科
arts,n. 文科
geography,n. 地理；地形
geology,n. 地质学；地质情况
biology,n. （一个地区全部的）生物；生物学
physics,n. 物理学；物理现象
chemistry,n. 化学；化学过程
mathematics,n. 数学；数学运算
statistics,n. 统计；统计学； 统计资料
business studies,"n. 企业管理研究；商学
 商科；商业研究；商务研究"
economics,n. 经济学；国家的经济状况
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
management,n. 管理；管理人员；管理部门；操纵；经营手段
politics,n. 政治，政治学；政治活动；政纲
literature,n. 文学；文献；文艺；著作
linguistics,n. 语言学
psychology,n. 心理学；心理状态
philosophy,n. 哲学；哲理；人生观
journalism,n. 新闻业，新闻工作；报章杂志
sociology,n. 社会学；群体生态学
anthropology,"n. 人类学
人类学家"
archaeology,"n. 考古学
考古学的"
astronomy,n. 天文学
engineering,"n. 工程，工程学
v. 设计；管理（engineer的ing形式）；建造"
primary school,"n. 小学
 本村小学；小学教育；小学组"
pupil,n. 学生； 瞳孔；未成年人
secondary school,"n. 中学；中等学校
 中学教育；高中；初中"
college,n. 大学；学院；学会
university,n. 大学；综合性大学；大学校舍
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
degree,n. 程度，等级；度；学位；阶层
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
freshman,n. 新手，生手；大学一年级学生
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
scholarship,n. 奖学金；学识，学问
tuition,n. 学费；讲授
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
module,n.  模块；组件；模数
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
seminar,n. 讨论会，研讨班
tutorial,"n. 个别指导
adj. 辅导的；家庭教师的，个别指导的"
semester,n. 学期；半年
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
orientation,n. 方向；定向；适应；情况介绍；向东方
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
campus,n. （大学）校园；大学，大学生活；校园内的草地
assessment,n. 评定；估价
evaluation,n. 评价； 评估；估价；求值
attendance,n. 出席；到场；出席人数；考勤
examination,n. 考试；检查；查问
quiz,"n. 考查；恶作剧；课堂测验
vt. 挖苦；张望；对…进行测验"
plus,"prep. 加，加上
n. 正号，加号；好处；附加额
adj. 正的；附加的"
failure,n. 失败；故障；失败者；破产
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
level,"n. 水平；标准；水平面
adj. 水平的；平坦的；同高的
vi. 瞄准；拉平；变得平坦
vt. 使同等；对准；弄平"
handout,n. 散发材料（免费发给的新闻通报）；上课老师发的印刷品；文字资料 	（会议上分发的）；施舍物
feedback,n. 反馈；成果，资料；回复
assignment,n. 分配；任务；作业；功课
written work, 书面作业；书面作品；笔头作业
presentation,n. 展示；描述，陈述；介绍；赠送
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
thesis,n. 论文；论点
dissertation,n. 论文，专题；学术演讲
proposal,n. 提议，建议；求婚
theory,n. 理论；原理；学说；推测
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
contents page,
literature review, 文献综述；文献回顾；文献探讨
conclusion,n. 结论；结局；推论
appendix,n. 附录；阑尾；附加物
extension,n. 延长；延期；扩大；伸展；电话分机
deadline,n. 截止期限，最后期限
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
investigation,n. 调查；调查研究
research,"n. 研究；调查
vt. 研究；调查
vi. 研究；调查
"
group discussion,"n. 小组讨论
 分组讨论；团体讨论；集体讨论"
observation,n. 观察；监视；观察报告
questionnaire,n. 问卷；调查表
confidentiality,n. 机密， 机密性
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
recorder,n. 录音机；记录器；记录员；八孔直笛
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
case study,"n. 个案研究；专题研究；案例研究
 案例分析；个案研究法；案例学习"
analysis,n. 分析；分解；验定
data,n. 数据（datum的复数）；资料
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
graph,"n. 图表；曲线图
vt. 用曲线图表示"
strategy,n. 战略，策略
technique,n. 技巧，技术；手法
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
specialist knowledge, 专业知识
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
revision,n.  修正；复习；修订本
preparation,n. 预备；准备
priority,n. 优先；优先权； 优先次序；优先考虑的事
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
field trip,"n. （常指学生进行的）野外考察
 实地考察；实地考察旅行；野外旅游"
argument,n. 论证；论据；争吵；内容提要
assumption,n. 假定；设想；担任；采取
expectation,n. 期待；预期；指望
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
measurement,n. 测量； 度量；尺寸；量度制
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
layout,n. 布局；设计；安排；陈列
bullet points, 要点；项目符号；条列要点
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
criteria,n. 标准，条件（criterion的复数）
amendment,n. 修正案；改善；改正
accurate,adj. 精确的
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
independent learning,
solution,n. 解决方案；溶液；溶解；解答
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
consequence,n. 结果；重要性；推论
international student, 留学生；国际学生；外国留学生
exchange student,"n. 交换生
 交换学生；交换留学生；交换的留学生"
mature student,"n. 成年学生（中学毕业几年后再读大学的学生）
 成人学生；成熟学生；长生"
student union,"na. (大学生)学生活动大楼
 学生会；学生活动中心；学生联会"
student representative,
student advisor,
faculty,n. 科，系；能力；全体教员
lecturer,n. 讲师，演讲者
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
professor,n. 教授；教师；公开表示信仰的人
mentor,"n. 指导者，良师益友
vt. 指导"
supervisor,n. 监督人， 管理人；检查员
instructor,n. 指导书；教员；指导者
administrator,n. 管理人；行政官
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
coordinator,n. 协调者； 协调器；同等的人或物
library,n. 图书馆，藏书室；文库
reception desk,"na. (旅馆的)接待处
 总服务台；前台；接待台"
circulation desk, 借书台；图书借还台；出纳台
overdue fine,滞纳金
loan period, 借期；贷款期限；借书期
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
self-access centre,
bookshelf,n. 书架
printer,n.  打印机；印刷工；印花工
photocopier,n. 影印机；复印机
computer lab, 微机室；电脑教室；机房
computer terminal,"un. 计算机终端设备
 电脑终端机；电脑查询终端；电子计算机终端机"
resources room,
multimedia room,
audio-visual room,
software,n. 软件
category,n. 种类，分类； 范畴
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
archive,"n. 档案馆；档案文件
vt. 把…存档"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
copyright,"n. 版权，著作权
adj. 版权的；受版权保护的
vt. 保护版权；为…取得版权"
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
journal article, 期刊论文；期刊文章；期刊文献
current issue,"un. 本期杂志
 现刊；现期杂志；近期杂志"
novel,"adj. 新奇的；异常的
n. 小说"
fiction,n. 小说；虚构，编造；谎言
version,n. 版本；译文；倒转术
reference book,"n. 参考书；工具书
 参考工具书；本参考书；参考类图书"
bibliography,n. 参考书目；文献目录
textbook,n. 教科书，课本
electronic book, 电子书；电子书籍；电子图书
editing,"v.  编辑（edit的ing形式）
adj. 编辑的"
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
card index,"n. 卡片目录（或索引）
 卡片索引；卡片式索引；卡式索引"
historian,n. 历史学家
mass media,"n. 大众传媒
 大众媒体；大众传播媒介；大众传播媒体"
law school, 法学院；法律学院；法科大学院
graduate school,"n. 研究生院
 研究所；研究院；研究生学院"
language lessons, 语文课；语言课；语言课程
speech,n. 演讲；讲话； 语音；演说
full-time,adj. 专职的；全日制的；全部时间的
part-time,"adj. 兼职的；部分时间的
adv. 兼职地；用部分时间地"
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
grade,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
note-taking skill,
paper,"n. 纸；论文；文件；报纸
adj. 纸做的
vt. 用纸糊；用纸包装
vi. 贴糊墙纸；发交通违章传票"
passage,n. 一段（文章）；走廊；通路
example,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例"
chapter,"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节"
cover page, 封面；封面页；首页
topic,n. 主题（等于theme）；题目；一般规则；总论
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
heading,"n. 标题；（足球）头球；信头
v. 用头顶（head的ing形式）"
subheading,n. 副标题
header,n. 头球；页眉；数据头；收割台
footer,"n. 页脚
懒散地工作
懒散工作的人
的缩写
以英尺标注高度的人或物"
key words,"un. 电码字；关键字
 关键词；关键词说话；关键词汇"
introduction,n. 介绍；引进；采用；入门；传入
result,"n. 结果；成绩；答案；比赛结果
vi. 结果；导致；产生"
timetable,n. 时间表；时刻表；课程表
director of studies, 教务长；督学；教学主任
information desk,"na. 问讯处
 服务台；问询处；问讯台"
return area,
due date,"n. 满期日
 预产期；临门凑一脚；到期日"
headphone,n. 双耳式耳机；头载数话器；戴在头上的收话器
visual guidance,视觉制导
magazine,n. 杂志；弹药库；胶卷盒
newspaper,"n. 报纸
报社
旧报纸"
dolphin,n. 海豚
whale,"n. 鲸；巨大的东西
vt. 猛揍；使惨败
vi. 捕鲸"
crocodile,n. 鳄鱼
eagle,n. 鹰；鹰状标饰
goose,"n. 鹅；鹅肉；傻瓜；雌鹅
vt. 突然加大油门；嘘骂"
kangaroo,n. 袋鼠
zebra,"n.  斑马
adj. 有斑纹的"
elephant,n. 象；大号图画纸
camel,"n.  骆驼；打捞浮筒；工作作风官僚
adj. 驼色的；暗棕色的
vi. 工作刻板平庸"
lion,n. 狮子；名人；勇猛的人；社交场合的名流
deer,n. 鹿
monkey,"n. 猴子；顽童
vi. 胡闹；捣蛋
vt. 嘲弄"
ape,"n.  猿；傻瓜；模仿者
vt. 模仿；抢台词
adj. 狂热的"
donkey,n. 驴子；傻瓜；顽固的人
rabbit,"n. 兔子，野兔
vt. 让…见鬼去吧
vi. 猎兔"
horse,"n. 马；骑兵；脚架；海洛因
vt. 使骑马；系马于；捉弄
vi. 骑马；作弄人"
sheep,n. 羊，绵羊；胆小鬼
goat,n. 山羊；替罪羊（美俚）；色鬼（美俚）
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
rat,"n. 鼠；卑鄙小人，叛徒
vi. 捕鼠；背叛，告密"
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
turtle,n. 龟，甲鱼；海龟
snake,"n. 蛇；阴险的人
vt. 拉（木材等）；迂回前进
vi. 迂回前进"
dinosaur,n. 恐龙；过时、落伍的人或事物
frog,"n. 青蛙； 辙叉；饰扣
vi. 捕蛙"
sea horse,n. 海马
duck,"n. 鸭子；鸭肉；（英）宝贝儿；零分
vt. 躲避；猛按…入水
vi. 闪避；没入水中"
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
hen,n. 母鸡；女人；雌禽
swan,"n. 天鹅；天鹅星座
vi. 游荡，闲荡"
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
ant,n. 蚂蚁
spider,n. 蜘蛛；设圈套者；三脚架
worm,"n. 虫，蠕虫；蜗杆；螺纹；小人物
vt. 使蠕动；给除虫；使缓慢前进
vi. 慢慢前进；蠕行"
mite,n. 极小量；小虫；小孩儿；微小的东西
species,"n.  物种；种类
adj. 物种上的"
die out,"na. 死绝
 灭绝；消失；逐渐消失"
wildlife,"n. 野生动植物
adj. 野生动植物的"
creature,n. 动物，生物；人；创造物
beast,n. 野兽；畜生，人面兽心的人
organism,n. 有机体；生物体；微生物
gene,n.  基因，遗传因子
mammal,n.  哺乳动物
cattle,n. 牛；牲畜（骂人的话）；家畜；无价值的人
livestock,n. 牲畜；家畜
reptile,"n. 爬行动物；卑鄙的人
adj. 爬虫类的；卑鄙的"
amphibian,"n.  两栖动物；水陆两用飞机；具有双重性格的人
adj. 两栖类的； 水陆两用的；具有双重性格的"
insect,n. 昆虫；卑鄙的人
pest,n. 害虫；有害之物；讨厌的人
parasite,n. 寄生虫；食客
coral,"n. 珊瑚；珊瑚虫
adj. 珊瑚的；珊瑚色的"
behaviour,n. 行为；习性；运行状况（=behavior）
hibernation,n. 冬眠；过冬；避寒
reproduction,n. 繁殖，生殖；复制；复制品
life cycle,"n. 生命周期；寿命（产品等从开发到使用完毕的一段时间）
 生活史；寿命周期；生活周期"
self-defense,n. 自卫；正当防卫；自卫权
instinctive reaction,本能反应
navigation,n. 航行；航海
diversity,n. 多样性；差异
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
habitat,n.  栖息地，产地
sanctuary,n. 避难所；至圣所；耶路撒冷的神殿
threat,n. 威胁，恐吓；凶兆
skin,"n. 皮肤；外皮
vt. 剥皮
vi. 愈合；长皮"
fur,"n. 皮，皮子；毛皮；软毛
n. 水垢
vt. 用毛皮覆盖；使穿毛皮服装"
feather,"n. 羽毛
vt. 用羽毛装饰
vi. 长羽毛"
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
tongue,"n. 舌头；语言
vt. 舔；斥责；用舌吹
vi. 说话；吹管乐器"
sense of smell,"un. 嗅觉
 味觉；嗅觉问题；敏锐的嗅觉"
food chain,"n. 食物链
 食品链；海洋食物链；事物链"
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
predator,n.  捕食者； 食肉动物；掠夺者
carnivorous,adj. 食肉的；肉食性的
footprint,n. 足迹；脚印
hunting,"n. 打猎；追逐；搜索
v. 狩猎；寻找（hunt的ing形式）；追捕
adj. 打猎的；振荡的"
vegetation,n. 植被；植物，草木；呆板单调的生活
forest,"n. 森林
vt. 植树于，使成为森林"
woodland,"n. 林地；森林
adj. 林地的；居住在森林中的"
willow,"n.  柳树； 柳木制品
adj. 柳木制的"
pine tree,"n. 松树
 望情树；常青树；松树简笔画"
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
leaf,"n. 叶子；（书籍等的）一张；扇页
vi. 生叶；翻书页
vt. 翻…的页，匆匆翻阅"
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
agriculture,n. 农业；农耕；农业生产；农艺，农学
irrigation,n. 灌溉； 冲洗；冲洗法
fibre,n. 纤维；纤维制品
bloom,"n. 花；青春；旺盛
vt. 使开花；使茂盛
vi. 开花；茂盛"
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
Asia,n. 亚洲
Africa,n. 非洲
America,n. 美洲（包括北美和南美洲）；美国
Europe,n. 欧洲
Antarctica,n. 南极洲
Oceania,n. 大洋洲
North Pole,
explorer,n. 探险家；勘探者；探测器；探针
environment,n. 环境，外界
surrounding,"n. 环境，周围的事物
adj. 周围的，附近的"
conservation,n. 保存，保持；保护
ecology,n. 生态学；社会生态学
nature,n. 自然；性质；本性；种类
planet,n. 行星
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
atmosphere,n. 气氛；大气；空气
climate,n. 气候；风气；思潮；风土
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
temperature,n. 温度；体温；气温；发烧
humid,adj. 潮湿的；湿润的；多湿气的
drought,n. 干旱；缺乏
storm,"n. 暴风雨；大动荡
vt. 猛攻；怒骂
vi. 起风暴；横冲直撞；狂怒咆哮"
shady,adj. 成荫的；阴暗的；名声不好的
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
organic,adj.  有机的；组织的；器官的；根本的
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
global warming,"n. 全球（气候）变暖；地球大气层变暖
 全球变暖；全球暖化；警惕全球变暖"
iceberg,n.  冰山；显露部分
rainfall,n. 降雨；降雨量
pollution,"n. 污染
污染物"
toxic,adj. 有毒的；中毒的
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
low-frequency noise,频噪声
insulation,n. 绝缘；隔离，孤立
soil conditioner,"na. 土壤改良剂
 土壤调理剂；土壤结构改良剂；土壤调节剂"
fertilizer,n.  肥料；受精媒介物；促进发展者
energy-efficient,adj. 节能的，节约能源的；高能效的
alternative energy, 替代能源；可替代能源；替代性能源
recycling,"n. （资源、垃圾的）回收利用
v. 回收；再循环利用（recycle的现在分词）"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
fragile,adj. 脆的；易碎的
erosion,n. 侵蚀，腐蚀
carbon dioxide,"n. 二氧化碳
 一氧化碳；二氧货碳；碳酐"
oxygen,n.  氧气， 氧
ozone layer,"n. 臭氧层
 臭气层；臭氧层破坏；因臭氧层"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
greenhouse effect,"n. 温室效应
 温室效用；造成温室效应；温室气体"
rubbish,"n. 垃圾，废物；废话
adj. 毫无价值的"
incineration plant, 焚烧车间；焚烧工厂；焚化厂
international cooperation,"un. 国际合作
 国际间的合作；国际交流；国际合作题材"
public awareness, 公众意识；公共意识；促进公众认知
breakthrough,n. 突破；突破性进展
shortage,n. 缺乏，缺少；不足
population,n. 人口； 种群， 群体；全体居民
ocean,n. 海洋；大量；广阔
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
resource,n. 资源，财力；办法；智谋
volcano,n. 火山
cliff,n. 悬崖；绝壁
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
wetland,n. 湿地；沼泽地
distortion,n. 变形； 失真；扭曲；曲解
atlas,n. 地图集；寰椎
boundary,n. 边界；范围；分界线
satellite,n. 卫星；人造卫星；随从；卫星国家
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
density,n. 密度
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
gravity,n. 重力，地心引力；严重性；庄严
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
bird nest,"un. 后钩脚尖悬垂；锅垢
 鸟巢；燕窝；鸟窝"
jaw,"n. 颌；下巴；狭窄入口；唠叨
vt. 教训；对…唠叨
vi. 教训；唠叨"
mane,n. （马等的）鬃毛
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
tail,"n. 尾巴；踪迹；辫子；燕尾服
adj. 从后面而来的；尾部的
vt. 尾随；装上尾巴
vi. 跟踪；变少或缩小"
fin,"n. 鳍；鱼翅；鳍状物
vt. 切除鳍；装上翅
vi. 猛挥鳍；潜泳"
palm tree,"n. 棕榈
 棕榈树；棕树；棕榈树图片"
grass,"n. 草；草地，草坪
vt. 放牧；使……长满草；使……吃草
vi. 长草"
flower,"n. 花；精华；开花植物
vt. 使开花；用花装饰
vi. 成熟，发育；开花；繁荣；旺盛"
weed,"n. 杂草，野草；菸草
vt. 除草；铲除
vi. 除草"
seaweed,n. 海藻，海草
sea level,"n. 海平面
 海面；海拔；平均海面"
weight,"n. 重量，重力；负担；砝码；重要性
vt. 加重量于，使变重"
length,n. 长度，长；时间的长短；（语）音长
depth,n.  深度；深奥
height,n. 高地；高度；身高；顶点
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
ancestor,n. 始祖，祖先；被继承人
originate,"vt. 引起；创作
vi. 发源；发生；起航"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
evolution,n. 演变；进化论；进展
revolution,n. 革命；旋转；运行；循环
tribe,n. 部落；族；宗族；一伙
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
isolation,n. 隔离；孤立； 绝缘； 离析
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
symbol,n. 象征；符号；标志
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
dwelling,"n. 住处；寓所
v. 居住（dwell的现在分词）"
settlement,n. 解决，处理； 结算；沉降；殖民
