solve,"vt. 解决；解答；溶解
vi. 作解答"
heroic,"n. 史诗；英勇行为
adj. 英雄的；英勇的；记叙英雄及其事迹的；夸张的"
assassinate,vt. 暗杀；行刺
response,n. 响应；反应；回答
normalization,n. 正常化；标准化；正规化；常态化
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
spontaneous,adj. 自发的；自然的；无意识的
nucleus,n. 核，核心；原子核
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
audio,adj. 声音的； 音频的， 声频的
philosopher,n. 哲学家；哲人
derive,"vt. 源于；得自；获得
vi. 起源"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
cashier,"n. 出纳员；司库；收银员
vt. 解雇；抛弃"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
awe,"n. 敬畏
vt. 使敬畏；使畏怯"
bibliography,n. 参考书目；文献目录
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
comrade,n. 同志；伙伴
alleviate,vt. 减轻，缓和
casualty,n. 意外事故；伤亡人员；急诊室
sustain,vt. 维持；支撑，承担；忍受；供养；证实
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
conceal,vt. 隐藏；隐瞒
cope,"n. 长袍
vi. 处理；对付；竞争"
rape,"n. 强奸，掠夺； 油菜；葡萄渣
vt. 强奸；掠夺，抢夺
vi. 犯强奸罪"
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
rash,"n.  皮疹；突然大量出现的事物
adj. 轻率的；鲁莽的；不顾后果的"
poetry,n. 诗；诗意，诗情；诗歌艺术
dump,"n. 垃圾场；仓库；无秩序地累积
vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销
vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等）"
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
dye,"n. 染料；染色
vt. 染；把…染上颜色
vi. 被染色"
journal,n. 日报，杂志；日记；分类账
ratio,n. 比率，比例
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
guilty,adj. 有罪的；内疚的
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦"
saw,"n. 锯子；谚语
v. see的过去式
vi. 锯；用锯；将某物锯成小块
vt. 看见；明白，了解；锯；锯成；锯开"
scandal,n. 丑闻；流言蜚语；诽谤；公愤
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
resident,"n. 居民；住院医生
adj. 居住的；定居的"
wicked,adj. 邪恶的；恶劣的；不道德的；顽皮的
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
democratic,adj. 民主的；民主政治的；大众的
afford,vt. 给予，提供；买得起
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
comparable,adj. 可比较的；比得上的
rectify,vt. 改正；精馏；整流
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
revolt,"n. 反抗；叛乱；反感
vt. 使反感；使恶心
vi. 反抗；反叛；反感，厌恶"
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的"
revolution,n. 革命；旋转；运行；循环
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
ounce,n. 盎司；少量；雪豹
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
outdoor,adj. 户外的；露天的；野外的（等于out-of-door）
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
inquiry,n. 探究；调查；质询
humiliate,vt. 羞辱；使…丢脸；耻辱
notify,vt. 通告，通知；公布
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
particle,n. 颗粒； 质点；极小量；小品词
allege,vt. 宣称，断言；提出…作为理由
clockwise,"adj. 顺时针方向的
adv. 顺时针方向地"
nourish,vt. 滋养；怀有；使健壮
fitting,"n. 装配，装置；试穿，试衣
adj. 适合的，适宜的；相称的"
peel,"n. 皮
v. 剥，剥落；削"
assess,vt. 评定；估价；对…征税
optical,adj. 光学的；眼睛的，视觉的
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
senator,n. 参议员；（古罗马的）元老院议员；评议员，理事
petty,adj. 琐碎的；小气的；小规模的
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
ribbon,"n. 带；缎带；（勋章等的）绶带；带状物；勋表
vt. 把…撕成条带；用缎带装饰
vi. 形成带状"
pharmacy,n. 药房；配药学，药剂学；制药业；一批备用药品
cargo,n. 货物，船货
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
bug,"n. 臭虫，小虫；故障；窃听器
vt. 烦扰，打扰；装窃听器
vi. 装置窃听器；打扰"
physiology,n. 生理学；生理机能
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
petroleum,n. 石油
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
bloody,"adj. 血腥的；非常的；嗜杀的，残忍的；血色的
vt. 使流血
adv. 很"
exception,n. 例外；异议
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
quantify,"vt. 量化；为…定量；确定数量
vi. 量化；定量"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
bloom,"n. 花；青春；旺盛
vt. 使开花；使茂盛
vi. 开花；茂盛"
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
vowel,"n. 元音；母音
adj. 元音的"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
buzz,"n. 嗡嗡声
vt. 使嗡嗡叫；暗中散布
vi. 作嗡嗡声；东奔西忙
n. 网络口碑（消费者或网民对于品牌、产品等广告主在乎的事情在网上发出的各种声音）"
prone,adj. 俯卧的；有…倾向的，易于…的
vibrate,"vt. 使振动；使颤动
vi. 振动；颤动；摇摆；踌躇"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
deprive,vt. 使丧失，剥夺
whoever,"pron. 无论谁；任何人
n. 《爱谁谁》（电影名）"
vulgar,"n. 平民，百姓
adj. 粗俗的；通俗的；本土的"
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
finite,"n. 有限之物
adj. 有限的；限定的"
scarcely,adv. 几乎不，简直不；简直没有
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
unfold,"vi. 展开；显露
vt. 打开；呈现"
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
peninsula,n. 半岛
rigorous,adj. 严格的，严厉的；严密的；严酷的
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
rely,vi. 依靠；信赖
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
detect,vt. 察觉；发现；探测
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
dispatch,"n. 派遣；急件
vt. 派遣；分派"
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
electron,n. 电子
imagination,n.  想象力；空想；幻想物
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
radar,n.  雷达，无线电探测器
instinct,"n. 本能，直觉；天性
adj. 充满着的"
pirate,"n. 海盗；盗版；侵犯专利权者
vt. 掠夺；翻印；剽窃
vi. 做海盗；从事劫掠"
arrogant,adj. 自大的，傲慢的
pistol,"n. 手枪；信号枪
vt. 用手枪射击"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
refine,vt. 精炼，提纯；改善；使…文雅
column,n. 纵队，列；专栏；圆柱，柱形物
equator,n. 赤道
transaction,n. 交易；事务；办理；会报，学报
antenna,n.  天线； 触角， 触须
gram,n. 克；鹰嘴豆（用作饲料）
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
analysis,n. 分析；分解；验定
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
ethnic,adj. 种族的；人种的
pop,abbr. 卖点广告（Point of Purchase）
eternal,adj. 永恒的；不朽的
cite,vt. 引用；传讯；想起；表彰
shear,"n.  切变；修剪；大剪刀
vi. 剪；剪切；修剪
vt. 剪；修剪；剥夺"
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
genius,n. 天才，天赋；精神
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
fright,"n. 惊吓；惊骇
vt. 使惊恐"
council,n. 委员会；会议；理事会；地方议会；顾问班子
motel,n. 汽车旅馆
wholly,adv. 完全地；全部；统统
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
mug,"n. 杯子；脸；苦读者
vi. 扮鬼脸，做怪相
vt. 行凶抢劫"
ensure,vt. 保证，确保；使安全
melody,n. 旋律；歌曲；美妙的音乐
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
chap,"n. 小伙子；家伙；龟裂
vt. 使皲裂
vi. 皲裂"
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
bait,"n. 饵；诱饵
vt. 引诱；在…中放诱饵；折磨
vi. 中途休息"
pad,"n. 衬垫；护具；便笺簿；填补
vi. 步行；放轻脚步走
vt. 填补；走"
masculine,"adj. 男性的；阳性的；男子气概的
n. 男性；阳性，阳性词"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
constrain,vt. 驱使；强迫；束缚
amplifier,n.  放大器，扩大器；扩音器
resource,n. 资源，财力；办法；智谋
memorandum,n. 备忘录；便笺
frequency,n. 频率；频繁
gracious,"adj. 亲切的；高尚的；和蔼的；雅致的
int. 天哪；哎呀"
myth,n. 神话；虚构的人，虚构的事
naked,adj. 裸体的；无装饰的；无证据的；直率的
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
bolt,"n. 螺栓，螺钉；闪电，雷电；门闩；弩箭;（布的）一匹，一卷
vt. 筛选；囫囵吞下；（把门、窗等）闩上；突然说出，脱口说出
vi. （门窗等）闩上，拴住；冲出，跳出；（马等的）脱缰；囫囵吞下
adv. 突然地；像箭似地；直立地"
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
recession,n. 衰退；不景气；后退；凹处
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
conquest,n. 征服，战胜；战利品
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
militant,"adj. 好战的
n. 富有战斗性的人；好斗者；激进分子"
ignorance,n. 无知，愚昧；不知，不懂
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
bundle,"n. 束；捆
vt. 捆
vi. 匆忙离开"
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
minimize,"vt. 使减到最少；小看，极度轻视
vi. 最小化"
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
simplicity,n. 朴素；简易；天真；愚蠢
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
mob,"n. 暴民，暴徒；民众；乌合之众
vt. 大举包围，围攻；蜂拥进入
vi. 聚众生事，聚众滋事"
era,n. 时代；年代；纪元
municipal,adj. 市政的，市的；地方自治的
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
mute,"adj. 哑的；沉默的；无声的
vt. 减弱……的声音；使……柔和
n. 哑巴；弱音器；闭锁音"
assure,vt. 保证；担保；使确信；弄清楚
clarity,n. 清楚，明晰；透明
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
clasp,"n. 扣子，钩子；握手
vt. 紧抱；扣紧；紧紧缠绕
vi. 扣住"
compete,vi. 竞争；比赛；对抗
classification,n. 分类；类别，等级
extent,n. 程度；范围；长度
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
cohesive,adj. 凝聚的；有结合力的；紧密结合的；有粘着力的
cue,"n. 提示，暗示；线索
vt. 给…暗示"
nickel,"n. 镍；镍币；五分镍币
vt. 镀镍于"
nickname,"n. 绰号；昵称
vt. 给……取绰号；叫错名字"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
complicated,adj. 难懂的，复杂的
oak,"n. 橡树；橡木色；橡木家具
adj. 栎树的；栎木制的"
oar,"n. 桨；橹；桨手
vt. 划（船）
vi. 划行"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
obstruct,"vt. 妨碍；阻塞；遮断
vi. 阻塞；设障碍"
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
subsequent,adj. 后来的，随后的
omit,vt. 省略；遗漏；删除；疏忽
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
detach,vt. 分离；派遣；使超然
desolate,"adj. 荒凉的；无人烟的
vt. 使荒凉；使孤寂"
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
pamphlet,n. 小册子
hitherto,adv. 迄今；至今
panorama,n. 全景，全貌；全景画；概论
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
pedal,"n. 踏板；脚蹬子
vi. 踩踏板；骑车
vt. 骑（自行车）；踩……的踏板
adj. 脚的；脚踏的"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
queer,"n. 同性恋者；怪人；伪造的货币
adj. 奇怪的；同性恋的；不舒服的；心智不平衡的
vt. 搞糟；使陷于不利地位"
intense,adj. 强烈的；紧张的；非常的；热情的
recede,"vi. 后退；减弱
vt. 撤回"
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
rap,"n. 轻敲
vi. 敲击；交谈
vt. 抢走；轻敲；敲击致使；使着迷"
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
divine,"n. 牧师；神学家
adj. 神圣的；非凡的；天赐的；极好的
vt. 占卜；预言；用占卜勘探
vi. 占卜；预言；使用占卜勘探矿"
shove,"n. 推；挤
vt. 挤；强使；撞；猛推"
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
dread,"n. 恐惧；可怕的人（或物）
vt. 惧怕；担心
adj. 可怕的
vi. 惧怕；担心"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
refugee,n. 难民，避难者；流亡者，逃亡者
bureau,n. 局，处；衣柜；办公桌
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
excessive,adj. 过多的，极度的；过分的
renovate,vt. 更新；修复；革新；刷新
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
soda,n. 苏打；碳酸水
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
shutter,"n. 快门；百叶窗；关闭物；遮板
vt. 为…装百叶窗；以百叶窗遮闭"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
solemn,adj. 庄严的，严肃的；隆重的，郑重的
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
burn,"n. 灼伤，烧伤；烙印
vt. 燃烧；烧毁，灼伤；激起…的愤怒
vi. 燃烧；烧毁；发热"
reproach,"n. 责备；耻辱
vt. 责备；申斥"
skillful,adj. 熟练的；巧妙的
disclose,vt. 公开；揭露
recur,vi. 复发；重现；采用；再来；循环；递归
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
skull,n. 头盖骨，脑壳
uneasy,adj. 不舒服的；心神不安的；不稳定的
vegetation,n. 植被；植物，草木；呆板单调的生活
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
slippery,adj. 滑的；狡猾的；不稳定的
lest,conj. 唯恐，以免；担心
stability,n. 稳定性；坚定，恒心
essence,n. 本质，实质；精华；香精
pit,"n. 矿井；深坑；陷阱；（物体或人体表面上的）凹陷；（英国剧场的）正厅后排；正厅后排的观众
vt. 使竞争；窖藏；使凹下；去…之核；使留疤痕
vi. 凹陷；起凹点"
responsible,adj. 负责的，可靠的；有责任的
assignment,n. 分配；任务；作业；功课
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
shave,"vi. 剃须，剃毛
vt. 剃，削去；修剪；切成薄片；掠
n. 刮脸，剃胡子；修面；<口>侥幸逃过，幸免；剃刀，刮刀"
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
introduction,n. 介绍；引进；采用；入门；传入
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
underestimate,"n. 低估
vt. 低估；看轻"
complement,"n. 补语；余角；补足物
vt. 补足，补助"
revenue,n. 税收，国家的收入；收益
cop,"n. 巡警，警官
vt. 抓住"
absence,n. 没有；缺乏；缺席；不注意
pope,n. 教皇，罗马教皇；权威，大师
formula,n.  公式，准则；配方；婴儿食品
copper,"n. 铜；铜币；警察
adj. 铜制的
vt. 镀铜"
naive,"adj. 天真的,幼稚的"
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
cord,"n. 绳索；束缚
vt. 用绳子捆绑"
summon,vt. 召唤；召集；鼓起；振作
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
elementary,adj. 基本的；初级的； 元素的
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
disturbance,n. 干扰；骚乱；忧虑
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
procession,"n. 队伍，行列；一列，一排；列队行进
vt. 沿著……行进
vi. 列队行进"
capable,adj. 能干的，能胜任的；有才华的
ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
heighten,"vt. 提高；增高；加强；使更显著
vi. 升高；变强"
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
proficiency,n. 精通，熟练
quench,"vt. 熄灭， 淬火；解渴；结束；冷浸
vi. 熄灭；平息"
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
exceed,"vt. 超过；胜过
vi. 超过其他"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
excerpt,"n. 摘录，引用
vt. 引用，摘录
vi. 摘录，引用"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
quiver,"n. 颤抖；箭袋；震动
vi. 颤抖；振动
vt. 使…颤动；抖动"
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
anonymous,adj. 匿名的，无名的；无个性特征的
exterior,"n. 外部；表面；外型；外貌
adj. 外部的；表面的；外在的"
mortal,"adj. 凡人的；致死的；终有一死的；不共戴天的
n. 人类，凡人"
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
strategy,n. 战略，策略
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
persevere,vi. 坚持；不屈不挠；固执己见（在辩论中）
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
generator,n. 发电机；发生器；生产者
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
ballot,"n. 投票；投票用纸；投票总数
vt. 使投票表决；拉选票
vi. 投票；抽签决定"
gently,adv. 轻轻地；温柔地，温和地
spacious,adj. 宽敞的，广阔的；无边无际的
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
hasty,"adj. 轻率的；匆忙的；草率的；懈怠的
"
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
hatred,n. 憎恨；怨恨；敌意
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
glamor,"n. 魅力；魔法；迷人的美（等于glamour）
vt. 迷惑；使有魅力（等于glamour）"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
intersection,n. 交叉；十字路口；交集；交叉点
unexpected,adj. 意外的，想不到的
refute,vt. 反驳，驳斥；驳倒
permeate,"vt. 渗透，透过；弥漫
vi. 弥漫；透入；散布"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
junction,n. 连接，接合；交叉点；接合点
