criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
mate,"n. 助手，大副；配偶；同事；配对物
vt. 使配对；使一致；结伴
vi. 交配；成配偶；紧密配合"
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
amiable,adj. 和蔼可亲的，亲切的
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
obtain,"vi. 获得；流行
vt. 获得"
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
tear,"vi. 流泪, 撕破
n. 眼泪, （撕破的）洞或裂缝, 撕扯
vt. 撕掉, 扯下, 扰乱"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
explicitly,adv. 明确地；明白地
liability,n. 责任；债务；倾向；可能性；不利因素
agreeable,adj. 令人愉快的；适合的；和蔼可亲的
headliner,n. 写标题的记者；头牌人物
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
notably,adv. 显著地；尤其
delectable,adj. 美味的；令人愉快的
preferable,adj. 更好的，更可取的；更合意的
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
related,"v. 叙述（relate过去式）
adj. 有关系的，有关联的；讲述的，叙述的"
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
transparent,adj. 透明的；显然的；坦率的；易懂的
verifiable,adj. 可证实的；能作证的；可检验的
criterion,n. （批评判断的）标准；准则；规范；准据
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
election,n. 选举；当选；选择权；上帝的选拔
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
prohibit,vt. 阻止，禁止
sue,"vt. 控告；请求
vi. 控告；提出请求"
hurricane,n. 飓风，暴风
briefing,"n. 简报；作战指示
v. 概述；作…的摘要（brief的现在分词）"
headquarters,n. 总部；指挥部；司令部
guideline,"n. 指导方针
参考"
disclose,vt. 公开；揭露
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
utter,"adj. 完全的；彻底的；无条件的
vt. 发出，表达；发射"
concise,adj. 简明的，简洁的
confirm,vt. 确认；确定；证实；批准；使巩固
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
specialized,"adj. 专业的；专门的
v. 专攻（specialize的过去分词）；使…专门化；详细说明"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
republican,"n. 共和党人
adj. 共和党的
共和的"
adequately,adv. 充分地；足够地；适当地
enforce,vt. 实施，执行；强迫，强制
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
hedge,"v. 用树篱笆围住；避免作正面答复
n. 对冲，套期保值；树篱；障碍"
troublesome,adj. 麻烦的；讨厌的；使人苦恼的
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
psychologist,n. 心理学家，心理学者
inertia,n.  惯性；惰性，迟钝；不活动
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
existential,adj. 存在主义的；有关存在的；存在判断的
innumerable,adj. 无数的，数不清的
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
chatter,"n. 唠叨；饶舌；（动物的）啁啾声；潺潺流水声
vt. 喋喋不休地说；使卡嗒卡嗒作声
vi. 唠叨；喋喋不休；（动物等）吱吱叫"
collaborate,vi. 合作；勾结，通敌
recovery,n. 恢复，复原；痊愈；重获
disappointing,"adj. 令人失望的；令人扫兴的
v. 令人失望（disappoint的ing形式）；辜负…的期望"
quarterly,"n. 季刊
adj. 季度的，按季度的；一年四次的
adv. 按季度， 一季一次地；纵横四分地"
pessimistic,adj. 悲观的，厌世的；悲观主义的
cite,vt. 引用；传讯；想起；表彰
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
afterward,adv. 以后，后来
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
habitat,n.  栖息地，产地
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
literary,adj. 文学的；书面的；精通文学的
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
bazaar,n. 集市；市场；义卖市场
ministry,n. （政府的）部门
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
denounce,vt. 谴责；告发；公然抨击；通告废除
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
unconstitutional,"adj. 违反宪法的
违反宪法地"
clause,n. 条款； 子句
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
fraudulent,adj. 欺骗性的；不正的
democracy,n. 民主，民主主义；民主政治
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
lately,adv. 近来，不久前
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
subsequent,adj. 后来的，随后的
tarnish,"n. 晦暗，无光泽；污点
vt. 玷污；使……失去光泽；使……变灰暗
vi. 失去光泽；被玷污；变灰暗"
frenetic,"n. 疯子；狂人
adj. 狂热的；发狂的"
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
fiction,n. 小说；虚构，编造；谎言
aspirant,"n. 有抱负的人；野心家
adj. 上进的；有野心的"
shabby,adj. 破旧的；卑鄙的；吝啬的；低劣的
evaluation,n. 评价； 评估；估价；求值
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
deport,vt. 驱逐出境；举止；放逐
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
successor,n. 继承者；后续的事物
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
meanwhile,"adv. 同时，其间
n. 其间，其时"
beneficial,adj. 有益的，有利的；可享利益的
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
competent,adj. 胜任的；有能力的；能干的；足够的
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
clamp,"n. 夹钳，螺丝钳
vt. 夹紧，固定住"
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
eventually,adv. 最后，终于
concede,"vi. 让步
vt. 承认；退让；给予，容许"
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
chunk,n. 大块；矮胖的人或物
revenue,n. 税收，国家的收入；收益
due to,"un. 由于；预定；因为；亏
 应归于；由於；由…引起"
diversion,n. 转移；消遣；分散注意力
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
virus,n.  病毒；恶毒；毒害
infection,n. 感染；传染；影响；传染病
poultry,"n. 家禽
家禽肉"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
simply,adv. 简单地；仅仅；简直；朴素地；坦白地
omit,vt. 省略；遗漏；删除；疏忽
entity,n. 实体；存在；本质
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
artist,n. 艺术家；美术家（尤指画家）；大师
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
subversive,"n. 危险分子；颠覆分子
adj. 破坏性的；从事颠覆的"
conman,  骗子
midst,"n. 当中，中间
prep. 在…中间（等于amidst）"
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
analysis,n. 分析；分解；验定
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
masterpiece,n. 杰作；绝无仅有的人
poetry,n. 诗；诗意，诗情；诗歌艺术
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
abnormal,adj. 反常的，不规则的；变态的
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
mixture,n. 混合；混合物；混合剂
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
cosmic,adj. 宇宙的（等于cosmical）
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
magnet,n. 磁铁； 磁体；磁石
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
portray,vt. 描绘；扮演
flair,n. 天资；天分；资质；鉴别力
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
myth,n. 神话；虚构的人，虚构的事
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
shore,"n. 海滨；支柱
vt. 支撑，使稳住；用支柱撑住"
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
uncontaminated,adj. 未被污染的；未沾染的
cult,n. 祭仪（尤其指宗教上的）；礼拜；狂热信徒
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
comply,vi. 遵守；顺从，遵从；答应
emission,n. （光、热等的）发射，散发；喷射；发行
in addition,"na. 加之
 另外；此外；又"
sociable,"n. 联谊会
adj. 社交的；好交际的；友善的"
extrovert,n. 外向；外倾者；性格外向者（等于extravert）
inhibited,"v. 抑制；控制（inhibit的过去分词）
adj. 抑制的；禁止的；羞怯的"
bone,"n. 骨；骨骼
vt. 剔去...的骨；施骨肥于
vi. 苦学；专心致志"
distinctive,adj. 有特色的，与众不同的
blade,n. 叶片；刀片，刀锋；剑
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
neuron,n.  神经元，神经单位
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
haze,"n. 阴霾；薄雾；疑惑
vt. 使变朦胧；使变糊涂
vi. 变朦胧；变糊涂"
gravity,n. 重力，地心引力；严重性；庄严
fluctuation,n. 起伏，波动
density,n. 密度
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
municipal,adj. 市政的，市的；地方自治的
rubbish,"n. 垃圾，废物；废话
adj. 毫无价值的"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
patch,"n. 眼罩；斑点；碎片；小块土地
vi. 打补丁
vt. 修补；解决；掩饰"
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
unevenly,adv. 不均衡地；不平坦地；不平行地
partially,adv. 部分地；偏袒地
mud,"vt. 弄脏；用泥涂
vi. 钻入泥中
n. 泥；诽谤的话；无价值的东西"
ascertain,vt. 确定；查明；探知
burglary,"n. 盗窃，夜盗；盗窃行为
v. 入室行窃"
strict,adj. 严格的；绝对的；精确的；详细的
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
cull,"n. 剔出来杀掉的动物；拣出的等外品
vt. 精选；采集（鲜花等）；剔除"
forthcoming,"n. 来临
adj. 即将来临的"
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
continued,"v. 继续；逗留；维持原状（continue的过去分词）
adj. 继续的；持久的"
milestone,n. 里程碑，划时代的事件
haste,"n. 匆忙；急忙；轻率
vt. 赶快
vi. 匆忙；赶紧"
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
upfront,"adj. 预付的；在前面的；正直的，坦率的
adv. 在前面；提前支付（工资）"
hurdle,"n. 障碍；栏；跳栏
vt. 克服
vi. 克服；跳过"
saving,"n. 节约；挽救；存款
prep. 考虑到；除...之外
adj. 节约的；挽救的；补偿的；保留的"
personally,adv. 亲自地；当面；个别地；就自己而言
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
quibble,"n. 谬论；双关语；遁辞
vi. 诡辩；挑剔；说模棱两可的话
vt. 对…诡辩"
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
coverage,n. 覆盖，覆盖范围；新闻报道
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
enrollment,n. 登记；入伍
ammunition,"n. 弹药；军火
vt. 装弹药于
vi. 装弹药"
series,n. 系列，连续； 串联；级数；丛书
showdown,n. 摊牌；紧要关头；最后一决胜负
elementary,adj. 基本的；初级的； 元素的
echo,"n. 回音；效仿
vt. 反射；重复
vi. 随声附和；发出回声"
trim,"n. 修剪；整齐；情形
vt. 修剪；整理；装点
adj. 整齐的
vi. 削减"
consequently,adv. 因此；结果；所以
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
training,"n. 训练；培养；瞄准；整枝
v. 训练；教养（train的ing形式）"
advisor,n. 顾问；指导教师；劝告者
cohesively,adv. 黏合地；聚合在一起地；团结地
counterpart,n. 副本；配对物；极相似的人或物
complaint,n. 抱怨；诉苦；疾病；委屈
breach,"n. 违背，违反；缺口
vt. 违反，破坏；打破"
compile,vt. 编译；编制；编辑； 汇编
database,n. 数据库，资料库
embassy,n. 大使馆；大使馆全体人员
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
prohibition,n. 禁止；禁令；禁酒；诉讼中止令
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
beware,"vt. 注意，当心；提防
vi. 当心，小心"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
underwhelming,"adj. 未给人留下深刻印象的；未激起人们热情的
v. 未留下深刻印象；未激起人们热情（underwhelm的ing形式）"
wheel,"n. 车轮；方向盘；转动
vt. 转动；使变换方向；给…装轮子
vi. 旋转；突然转变方向；盘旋飞行"
suspension,n. 悬浮；暂停；停职
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
mainly,adv. 主要地，大体上
repressed,"adj. 被压抑的；被抑制的
v. 抑制；镇压；约束（repress的过去分词）"
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
disgrace,"n. 耻辱；丢脸的人或事；失宠
vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜"
baggage,n. 行李； 辎重（军队的）
donor,"n. 捐赠者；供者；赠送人
adj. 捐献的；经人工授精出生的"
withhold,"vt. 保留，不给；隐瞒；抑制
vi. 忍住；克制"
base sth. on ...,
politician,n. 政治家，政客
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
violate,vt. 违反；侵犯，妨碍；亵渎
demean,vt. 贬低...的身分；举止
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
dizzying,"adj. 令人昏乱的；极快的；灿烂的
vt. 使人眼花撩乱（dizzy的现在分词）"
blur,"n. 污迹；模糊不清的事物
vt. 涂污；使…模糊不清；使暗淡；玷污
vi. 沾上污迹；变模糊"
morsel,n. 一口；（食物）少量
appetite,n. 食欲；嗜好
credential,n. 证书；凭据；国书
veteran,"n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的"
GOP,
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
terrified,"v. 使恐惧；恐吓（terrify的过去分词）
adj. 感到恐惧的；受惊吓的"
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
vaguely,adv. 含糊地；暧昧地；茫然地
surroundings,n. 环境；周围的事物
majority,n. 多数；成年
papist,n. 天主教徒；教皇制信奉者
succession,n. 连续；继位；继承权； 演替
widespread,adj. 普遍的，广泛的；分布广的
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
chilly,adj. 寒冷的；怕冷的
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
credibility,n. 可信性；确实性
rebrand,vt. 给…一个新名称，采用新名称，重塑
extinguish,vt. 熄灭；压制；偿清
scandal,n. 丑闻；流言蜚语；诽谤；公愤
reporter,n. 记者
revelation,n. 启示；揭露；出乎意料的事；被揭露的真相
knowingly,adv. 故意地；机警地，狡黠地
elusive,adj. 难懂的；易忘的；逃避的；难捉摸的
recess,"n. 休息；休会；凹处
vt. 使凹进；把…放在隐蔽处
vi. 休息；休假"
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
proceeding,"n. 进行；程序；诉讼；事项
v. 开始；继续做；行进（proceed的ing形式）"
indignant,adj. 愤愤不平的；义愤的
question,"n. 问题，疑问；询问；疑问句
vt. 询问；怀疑；审问
vi. 询问；怀疑；审问"
petition,"n. 请愿；请愿书；祈求； 诉状
vt. 请愿；请求；恳求
vi. 请愿；请求"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
whether,"conj. 是否；不论
pron. 两个中的哪一个"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
unanimously,adv. 全体一致地
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
repair,"n. 修理，修补；修补部位
vt. 修理；恢复；补救，纠正
vi. 修理；修复"
relation,n. 关系；叙述；故事；亲属关系
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
viewpoint,n. 观点，看法；视角
delightfully,adv. 欣然地，快乐地
thrust,"n.  推力；刺
vt. 插；插入；推挤
vi. 插入；用向某人刺去；猛然或用力推"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
hearing,"n. 听力；审讯，听讯
v. 听见（hear的ing形式）"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
brutalize,"vt. 残酷地对待；使像野兽般残忍，使变得残酷无情
vi. 变粗暴；变残忍"
rape,"n. 强奸，掠夺； 油菜；葡萄渣
vt. 强奸；掠夺，抢夺
vi. 犯强奸罪"
imagery,n. 像；意象；比喻；形象化
conservative,
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
credible,adj. 可靠的，可信的
substance,n. 物质；实质；资产；主旨
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
humiliate,vt. 羞辱；使…丢脸；耻辱
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
anthem,"n. 赞美诗；圣歌
vt. 唱圣歌庆祝；唱赞歌"
economics,n. 经济学；国家的经济状况
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
alongside,"prep. 在……旁边
adv. 在旁边"
era,n. 时代；年代；纪元
noticeable,adj. 显而易见的，显著的；值得注意的
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
rating,"n. 等级；等级评定；额定功率
v. 对…评价（rate的ing形式）"
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
aesthetic,adj. 美的；美学的；审美的，具有审美趣味的
immersion,n. 沉浸；陷入；专心
buffet,"n. 自助餐；小卖部；打击；猛烈冲击
adj. 自助的；自助餐的
vi. 斗争；奋勇前进
vt. 与…搏斗；连续猛击"
exclude,vt. 排除；排斥；拒绝接纳；逐出
council,n. 委员会；会议；理事会；地方议会；顾问班子
mediocre,adj. 普通的；平凡的；中等的
superficially,adv. 表面地；浅薄地
cataclysmic,adj. 大变动的；洪水的
bizarre,adj. 奇异的（指态度，容貌，款式等）
coincidence,n. 巧合；一致；同时发生
marry,"vt. 嫁；娶；与……结婚
vi. 结婚"
solemn,adj. 庄严的，严肃的；隆重的，郑重的
oath,n. 誓言，誓约；诅咒，咒骂
result,"n. 结果；成绩；答案；比赛结果
vi. 结果；导致；产生"
treatment,n. 治疗，疗法；处理；对待
manipulate,vt. 操纵；操作；巧妙地处理；篡改
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
malignant,"adj.  恶性的；有害的；有恶意的
n. 保王党员；怀恶意的人"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
graphic,adj. 形象的；图表的；绘画似的
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
seemingly,adv. 看来似乎；表面上看来
crucial,adj. 重要的；决定性的；定局的；决断的
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
marginal,adj. 边缘的；临界的；末端的
couple,"n. 对；夫妇；数个
vt. 结合；连接；连合
vi. 结合；成婚"
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
percentage,n. 百分比；百分率，百分数
whenever,"conj. 每当；无论何时
adv. 不论何时；随便什么时候"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
