actual,adj. 真实的，实际的；现行的，目前的
perspective,"n. 观点；远景；透视图
adj. 透视的"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
prospective,"n. 预期；展望
adj. 未来的；预期的"
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
respective,adj. 分别的，各自的
irrespective,adj. 无关的；不考虑的；不顾的
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
species,"n.  物种；种类
adj. 物种上的"
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
speciality,n. 专业，专长；特性
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
especially,adv. 特别；尤其；格外
specify,vt. 指定；详细说明；列举；把…列入说明书
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
specification,n. 规格；说明书；详述
specimen,n. 样品，样本；标本
speculate,"vi. 推测；投机；思索
vt. 推断"
spicy,adj. 辛辣的；香的，多香料的；下流的
conspicuous,adj. 显著的；显而易见的
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
suspicious,adj. 可疑的；怀疑的；多疑的
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
aspire,vi. 渴望；立志；追求
conspiracy,n. 阴谋；共谋；阴谋集团
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
inspiration,n. 灵感；鼓舞；吸气；妙计
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
prosperity,n. 繁荣，成功
prosperous,adj. 繁荣的；兴旺的
offspring,n. 后代，子孙；产物
sprinkle,"n. 撒，洒；少量
vt. 洒；微雨；散置
vi. 洒，撒；下稀疏小雨；喷撒"
sprout,"n. 芽；萌芽；苗芽
vt. 使发芽；使萌芽
vi. 发芽；长芽"
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
sticky,adj. 粘的；粘性的
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
sting,"n. 刺痛；讽刺，刺激；刺毛
vt. 刺；驱使；使…苦恼；使…疼痛
vi. 刺痛；被刺痛；感到剧痛"
stitch,"n. 针脚，线迹；一针
vt. 缝，缝合
vi. 缝，缝合"
constitute,vt. 组成，构成；建立；任命
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
destiny,n. 命运，定数，天命
destination,n. 目的地，终点
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
extinguish,vt. 熄灭；压制；偿清
distinct,adj. 明显的；独特的；清楚的；有区别的
distinction,n. 区别；差别；特性；荣誉、勋章
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
instinct,"n. 本能，直觉；天性
adj. 充满着的"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
superstition,n. 迷信
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
standpoint,n. 立场；观点
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
understand,"vi. 理解；懂得；熟悉
vt. 理解；懂；获悉；推断；省略"
understanding,"n. 谅解，理解；理解力；协议
v. 理解；明白（understand的ing形式）
adj. 了解的；聪明的；有理解力的"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
stadium,n. 体育场；露天大型运动场
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
instance,"n. 实例；情况；建议
vt. 举...为例"
instantaneous,adj. 瞬间的；即时的；猝发的
substance,n. 物质；实质；资产；主旨
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
stab,"n. 刺；戳；尝试；突发的一阵
vt. 刺；刺伤；戳；刺穿；直入
vi. 刺；刺伤；戳；刺痛"
stability,n. 稳定性；坚定，恒心
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
obstacle,n. 障碍，干扰；妨害物
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
statement,n. 声明；陈述，叙述；报表，清单
statesman,n. 政治家；国务活动家
statistical,adj. 统计的；统计学的
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
stationery,n. 文具；信纸
statue,"n. 雕像，塑像
vt. 以雕像装饰"
status,n. 地位；状态；情形；重要身份
statute,n.  法规；法令；条例
estate,n. 房地产；财产；身份
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
stocking,n. 长袜
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
storage,n. 存储；仓库；贮藏所
storey,n.  楼层；叠架的一层
story,"n. 故事；小说；新闻报道；来历；假话
vt. 用历史故事画装饰
vi. 说谎"
history,n. 历史，历史学；历史记录；来历
historic,adj. 有历史意义的；历史上著名的
historical,adj. 历史的；史学的；基于史实的
historian,n. 历史学家
instead,adv. 代替；反而；相反
install,vt. 安装；任命；安顿
installation,n. 安装，装置；就职
installment,n. 安装；分期付款；部分；就职
stale,"n. 尿
adj. 陈腐的；不新鲜的
vt. 使变旧；变得不新鲜
vi. 变陈旧；撒尿；变得不新鲜"
assure,vt. 保证；担保；使确信；弄清楚
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
reassure,vt. 使…安心，使消除疑虑
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
insurance,n. 保险；保险费；保险契约；赔偿金
ensure,vt. 保证，确保；使安全
surname,"n. 姓，姓氏；绰号，别名
vt. 给…起别名；给…姓氏"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
surgeon,n. 外科医生
surgery,n. 外科；外科手术；手术室；诊疗室
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
intact,adj. 完整的；原封不动的；未受损伤的
detach,vt. 分离；派遣；使超然
architect,"n. 建筑师
缔造者"
architecture,n. 建筑学；建筑风格；建筑式样；架构
detect,vt. 察觉；发现；探测
detective,"n. 侦探
adj. 侦探的"
detector,n. 探测器；检测器；发现者；侦察器
protect,vt. 保护，防卫；警戒
technical,adj. 工艺的，科技的；技术上的；专门的
technician,n. 技师，技术员；技巧纯熟的人
technique,n. 技巧，技术；手法
tendency,n. 倾向，趋势；癖好
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
tent,"n. 帐篷；住处；帷幕
vt. 用帐篷遮盖；使在帐篷里住宿
vi. 住帐蓬；暂时居住"
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
attendance,n. 出席；到场；出席人数；考勤
attention,n. 注意力；关心；立正！（口令）
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
extent,n. 程度；范围；长度
intend,"vi. 有打算
vt. 打算；想要；意指"
intention,n. 意图；目的；意向；愈合
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
retention,n. 保留；扣留，滞留；记忆力；闭尿
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
extensive,adj. 广泛的；大量的；广阔的
extension,n. 延长；延期；扩大；伸展；电话分机
intense,adj. 强烈的；紧张的；非常的；热情的
intensity,n. 强度；强烈； 亮度；紧张
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害"
often,adv. 常常，时常
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
tennis,n. 网球（运动）
decade,n. 十年，十年期；十
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
December,n. 十二月
decent,adj. 正派的；得体的；相当好的
decimal,"n. 小数
adj. 小数的；十进位的"
terrible,"adj. 可怕的；很糟的；令人讨厌的
adv. 很，非常"
terrify,vt. 恐吓；使恐怖；使害怕
terrific,adj. 极好的；极其的，非常的；可怕的
territory,n. 领土，领域；范围；地域；版图
timely,"adj. 及时的；适时的
adv. 及时地；早"
timber,n. 木材；木料
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
intimidate,vt. 恐吓，威胁；胁迫
timid,adj. 胆小的；羞怯的
daytime,n. 日间，白天
overtime,"n.  加班时间；延长时间；加时赛
adj. 超时的；加班的
vt. 使超过时间
adv. 加班地"
sometime,"adj. 以前的；某一时间的
adv. 改天；来日；在某一时候"
sometimes,adv. 有时，间或
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
underestimate,"n. 低估
vt. 低估；看轻"
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
temptation,n. 引诱；诱惑物
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
contempt,n. 轻视，蔑视；耻辱
temple,n. 庙宇；寺院；神殿；太阳穴
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
temperament,n. 气质，性情，性格；急躁
temperature,n. 温度；体温；气温；发烧
tempo,n. 速度，发展速度；拍子
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
tame,"adj. 驯服的；平淡的；乏味的；顺从的
vt. 驯养；使变得平淡；制服
vi. 变得驯服"
tiny,adj. 微小的；很少的
bulletin,"n. 公告，公报
vt. 公布，公告"
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
continual,adj. 持续不断的；频繁的
continuous,adj. 连续的，持续的；继续的；连绵不断的
captain,"n. 队长，首领；船长；上尉；海军上校
vt. 指挥；率领"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
container,n. 集装箱；容器
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
detain,vt. 拘留；留住；耽搁
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
entertainment,n. 娱乐；消遣；款待
obtain,"vi. 获得；流行
vt. 获得"
retain,vt. 保持；雇；记住
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
atom,n. 原子
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础"
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
customary,"n. 习惯法汇编
adj. 习惯的；通常的"
customer,n. 顾客；家伙
accustomed,"v. 使习惯于（accustom的过去分词）
adj. 习惯的；通常的；独有的"
tomato,n. 番茄，西红柿
tractor,n. 拖拉机；牵引机
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
attractive,adj. 吸引人的；有魅力的；引人注目的
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
distract,vt. 转移；分心
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
subtract,vt. 减去；扣掉
usage,n. 使用；用法；惯例
used,"v. 用（use的过去式）；（used to）过去常做
adj. 习惯的；二手的，使用过的"
useful,adj. 有用的，有益的；有帮助的
usual,adj. 通常的，惯例的；平常的
usually,adv. 通常，经常
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇"
blouse,"n. 宽松的上衣；女装衬衫
vt. 使…宽松下垂
vi. 宽松下垂"
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
evacuate,"vt. 疏散，撤退；排泄
vi. 疏散；撤退；排泄"
vague,adj. 模糊的；含糊的；不明确的；暧昧的
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
vain,adj. 徒劳的；自负的；无结果的；无用的
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
invaluable,adj. 无价的；非常贵重的
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
valid,adj. 有效的；有根据的；合法的；正当的
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
interval,n. 间隔；间距；幕间休息
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
prevalent,adj. 流行的；普遍的，广传的
valley,n. 山谷；流域；溪谷
advent,n. 到来；出现；基督降临；基督降临节
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
revenue,n. 税收，国家的收入；收益
convenient,adj. 方便的；适当的；近便的；实用的
convenience,n. 便利；厕所；便利的事物
convention,n. 大会； 惯例； 约定； 协定；习俗
conventional,adj. 符合习俗的，传统的；常见的；惯例的
event,n. 事件，大事；项目；结果
eventually,adv. 最后，终于
intervene,vi. 干涉；调停；插入
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
invent,vt. 发明；创造；虚构
invention,n. 发明；发明物；虚构；发明才能
inventory,n. 存货，存货清单；详细目录；财产清册
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
ventilate,vt. 使通风；给…装通风设备；宣布
van,"n. 先锋；厢式货车；增值网
vt. 用车搬运"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
vanity,n. 虚荣心；空虚；浮华；无价值的东西
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
invasion,n. 入侵，侵略；侵袭；侵犯
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
verb,"n. 动词；动词词性；动词性短语或从句
adj. 动词的；有动词性质的；起动词作用的"
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
adverb,"n. 副词
adj. 副词的"
verdict,n. 结论；裁定
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
beverage,n. 饮料
verify,vt. 核实；查证
versatile,adj. 多才多艺的；通用的，万能的；多面手的
version,n. 版本；译文；倒转术
versus,prep. 对；与...相对；对抗
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
very,"adv. 非常，很；完全
adj. 恰好是，正是；甚至；十足的；特有的"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
avert,vt. 避免，防止；转移
controversy,n. 争论；论战；辩论
controversial,adj. 有争议的；有争论的
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
conversely,adv. 相反地
conversion,n. 转换；变换； 兑换；改变信仰
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
diverse,adj. 不同的；多种多样的；变化多的
diversion,n. 转移；消遣；分散注意力
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
inverse,"n. 相反；倒转
adj. 相反的；倒转的
vt. 使倒转；使颠倒"
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
maneuver,"n.  机动；演习；策略；调遣
vi.  机动；演习；调遣；用计谋
vt.  机动；演习；用计；调遣"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
shiver,"n. 颤抖，战栗；碎片
vi. 颤抖；哆嗦；打碎
vt. 颤抖；打碎"
silver,"n. 银；银器；银币；银质奖章；餐具；银灰色
adj. 银的；含银的；有银色光泽的；口才流利的；第二十五周年的婚姻
vt. 镀银；使有银色光泽
vi. 变成银色"
universe,n. 宇宙；世界；领域
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
university,n. 大学；综合性大学；大学校舍
anniversary,n. 周年纪念日
volcano,n. 火山
volleyball,n. 排球
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
evolution,n. 演变；进化论；进展
involve,vt. 包含；牵涉；使陷于；潜心于
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
revolt,"n. 反抗；叛乱；反感
vt. 使反感；使恶心
vi. 反抗；反叛；反感，厌恶"
revolution,n. 革命；旋转；运行；循环
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
velocity,n. 速度
velvet,"adj. 天鹅绒的
n. 天鹅绒，丝绒；天鹅绒似的东西"
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
invariably,adv. 总是；不变地；一定地
variation,n. 变化； 变异，变种
variety,n. 多样；种类；杂耍；变化，多样化
various,adj. 各种各样的；多方面的
visa,"n. 签证
vt. 签发签证"
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
visual,adj. 视觉的，视力的；栩栩如生的
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈"
visitor,n. 访问者，参观者；视察者；候鸟
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
advisable,adj. 明智的，可取的，适当的
advice,n. 建议；忠告；劝告；通知
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
device,n. 装置；策略；图案
envisage,vt. 正视，面对；想像
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
invite,"n. 邀请
vt. 邀请，招待；招致"
vital,adj. 至关重要的；生死攸关的；有活力的
inevitable,adj. 必然的，不可避免的
invitation,n. 邀请；引诱；请帖；邀请函
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
vivid,adj. 生动的；鲜明的；鲜艳的
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
dividend,n. 红利；股息； 被除数；奖金
division,n.  除法；部门；分配；分割；师（军队）；赛区
evident,adj. 明显的；明白的
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
provided,"conj. 假如；倘若
v. 提供；给予（provide的过去式）"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
viewpoint,n. 观点，看法；视角
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
revelation,n. 启示；揭露；出乎意料的事；被揭露的真相
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
survival,n. 幸存，残存；幸存者，残存物
vigorous,adj. 有力的；精力充沛的
vegetable,"n. 蔬菜；植物；植物人
adj. 蔬菜的；植物的"
vegetarian,"n. 素食者；食草动物
adj. 素食的"
vegetation,n. 植被；植物，草木；呆板单调的生活
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
vest,"n. 背心；汗衫
vt. 授予；使穿衣
vi. 归属；穿衣服"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
investigate,v. 调查；研究
investment,n. 投资；投入；封锁
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
vicinity,n. 邻近，附近；近处
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
victim,n. 受害人；牺牲品；牺牲者
void,"n. 空虚；空间；空隙
adj. 空的；无效的；无人的
vt. 使无效；排放"
avoid,vt. 避免；避开，躲避；消除
victory,n. 胜利；成功；克服
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
convince,vt. 说服；使确信，使信服
province,n. 省；领域；职权
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
vocabulary,n. 词汇；词表；词汇量
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
vocation,n. 职业；天职；天命；神召
evoke,vt. 引起，唤起；博得
provoke,vt. 驱使；激怒；煽动；惹起
waterfall,n. 瀑布；瀑布似的东西
waterproof,"n. 防水材料
vt. 使防水
adj. 防水的，不透水的"
wet,"n. 雨天；湿气
adj.  潮湿的；有雨的
vt. 弄湿
vi. 变湿"
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
weary,"adj. 疲倦的；厌烦的；令人厌烦的
vt. 使疲倦；使厌烦
vi. 疲倦；厌烦"
tower,"n. 塔；高楼；堡垒
vi. 高耸；超越"
weep,"n. 哭泣；眼泪；滴下
vt. 哭泣；流泪；悲叹；流出或渗出液体
vi. 哭泣；流泪；哀悼；滴落；渗出液体"
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
sweat,"n. 汗；水珠；焦急；苦差使
vt. 使出汗；流出；使干苦活；剥削；藉出汗减轻；焦急地期待
vi. 出汗；辛苦工作；懊恼；结水珠"
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂
swear,"n. 宣誓；诅咒
vt. 发誓；咒骂
vi. 发誓，宣誓；诅咒"
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
well-known,adj. 著名的；众所周知的；清楚明白的
welcome,"n. 欢迎
vt. 欢迎
adj. 受欢迎的
int. 欢迎"
farewell,"n. 告别，辞别；再见；再会
adj. 告别的
int. 别了！（常含有永别或不容易再见面的意思）；再会！"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
wealth,n. 财富；大量；富有
wealthy,"n. 富人
adj. 富有的；充分的；丰裕的"
commonwealth,n. 联邦；共和国；国民整体
dwell,vi. 居住；存在于；细想某事
dwelling,"n. 住处；寓所
v. 居住（dwell的现在分词）"
towel,"n. 毛巾，手巾； 纸巾
vi. 用毛巾擦干身体
vt. 用毛巾擦"
aeroplane,n. 飞机（等于airplane）
aerospace,n. 航空宇宙； 航空航天空间
aerate,vt. 充气；让空气进入；使暴露于空气中
aerial,"n.  天线
adj. 空中的，航空的；空气的；空想的"
aeriform,adj. 无形的；空气状的；无实质的
aeromechanics,n. 航空力学；空气力学
aerology,n. 高空气象学
aerosphere,n. 大气层
antinuclear,adj. 反对使用核武器的
antimatter,n.  反物质
antiwar,adj. 反对战争的
ancestor,n. 始祖，祖先；被继承人
antenna,n.  天线； 触角， 触须
anticipate,vt. 预期，期望；占先，抢先；提前使用
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
anxious,adj. 焦虑的；担忧的；渴望的；急切的
antipathy,n. 反感；厌恶；憎恶；不相容
antithesis,n. 对立面；对照；对仗
antibacterial,"n. 抗菌剂；抗菌药
adj. 抗菌的"
antibody,n.  抗体
