looter,n. 抢劫者
everlasting,adj. 永恒的；接连不断的
blinking,"n. 闪烁；瞬目
adj. 眨眼的；闪光的；可恶的；十足的；一眨眼的
v. 眨眼睛；闪闪发光；对…视而不见（blink的ing形式）
adv. 非常；十足"
close-knit,adj. 紧密的；严谨的；紧密结合着的
firewall,"n. 防火墙
vt. 用作防火墙"
coy,"adj. 腼腆的；忸怩作态的；怕羞的
vt. 爱抚
vi. 忸怩作态"
chisel,"n. 凿子
vt. 雕，刻；凿；欺骗
vi. 雕，刻；凿；欺骗"
crosswise,adv. 横向；交叉地；斜地；成十字状地
surreptitiously,adv. 偷偷地；秘密地；不正当地
axiom,n.  公理；格言；自明之理
rile,vt. 激怒；搅浑；惹怒
implausible,adj. 难以置信的，不像真实的
sensuality,n. 好色；淫荡；喜爱感官享受
red-hot,"n. 热狗；法兰克福香肠
adj. 炽热的；最新的；热烈的；非常激动的"
tout,"vt. 兜售；招徕；刺探赛马情报
vi. 兜售；招徕顾客；拉选票
n. 侦查者；兜售者"
stilt,"n. 高跷；支柱，支撑物
vt. 使踏上高跷"
whereupon,"conj. 于是
adv. 因此"
absolve,vt. 免除；赦免；宣告…无罪
pompous,adj. 自大的；浮夸的；华而不实的；爱炫耀的
chromium,n.  铬（24号元素，符号Cr）
yearly,"n. 年刊；年鉴
adj. 每年的
adv. 每年；一年一次"
prohibited,"v. 禁止（prohibit的过去分词形式）
adj. 被禁止的"
drive-by,"n. 歹徒由所驾车中开枪；开车经过
adj. 顺路的；飞车而过的"
stew,"n. 炖，炖汤；烦恼；闷热；鱼塘
vt. 炖，炖汤；焖；忧虑；受闷热
vi. 炖，炖汤；焖；受闷热；忧虑"
optimization,n. 最佳化，最优化
overheated,"adj. 过热的；怒火中烧的
v. 使…过热；使…愤怒（overheat的过去分词）"
beau,"n. 花花公子；喜修饰者；情郎
adj. 美的；好的"
taper,"n. 细蜡烛，烛芯；逐渐变弱；锥形物
vi. 逐渐减少；逐渐变弱
vt. 逐渐减少；使成锥形"
nullify,vt. 使无效，作废；取消
psychedelic,"n. 迷幻剂
adj. 引起幻觉的"
distil,"vt. 蒸馏；提取…的精华；使渗出
vi. 蒸馏；提炼；渗出"
crucify,vt. 折磨；十字架上钉死；克制
garish,adj. 炫耀的；过分装饰的；过分鲜艳的
malt,"n. 麦芽；麦芽酒
adj. 麦芽的；含麦芽的，用麦芽作的
vt. 用麦芽处理"
washed,"v. 洗，洗涤（wash的过去分词）
adj. 洗过的"
regrettably,adv. 遗憾地；抱歉地；可悲地
alchemy,n. 点金术；魔力
condor,n. 秃鹫，秃鹰
materialistic,adj. 唯物主义的；唯物论的；金钱至上的
freelance,"n. 自由作家；自由记者
adj. 自由投稿的"
mighty,"adj. 有力的；强有力的；有势力的
adv. 很；极；非常
n. 有势力的人"
through,"prep. 通过；穿过；凭借
adj. 直达的；过境的；完结的
adv. 彻底；从头至尾"
splitting,"v. 裂开（split的现在分词）
adj. 极快的；爆裂似的，剧烈的；滑稽的"
rail,"n. 铁轨；扶手；横杆；围栏
vt. 铺铁轨；以横木围栏
vi. 抱怨；责骂"
centralize,"vt. 使集中；使成为…的中心；使集权
vi. 集中；实行中央集权"
tubular,adj. 管状的
exasperate,vt. 恶化；使恼怒；激怒
profusely,adv. 丰富地
digger,n. 挖掘机；挖掘者；矿工；以色相骗钱的女人；扒手
riverboat,n. 江轮；内河船只
necktie,n. 领带
devotional,adj. 虔诚的，祷告的；信仰的；献身的
kink,"n. 扭结；奇想；蜷缩
vi. 扭结
vt. 使扭结"
old,"adj. 陈旧的，古老的；年老的
n. 古时"
grating,"n.  光栅；摩擦，摩擦声；格子
adj. 刺耳的；磨擦的
v. 磨碎；擦响；激怒（grate的ing形式）"
shoddy,"n. 赝品；冒牌货；假装粗俗
adj. 假冒的；劣质的；卑劣的"
decorum,n. 礼仪；礼貌；端正；恪守礼仪
halibut,n.  大比目鱼（复数halibut）
drowsy,adj. 昏昏欲睡的；沉寂的；催眠的
scriptural,adj. 圣经的；手稿的；依据圣经的
floured,粉质的；撒上粉的；粉状的；磨碎的
millisecond,n. 毫秒
Quaker,
officiate,"vt. 主持（仪式）；行使（职务）；担任裁判
vi. 执行职务；主持宗教仪式；当体育比赛裁判"
jeez,int. 呀
squabble,"n. 争吵；口角
vt. 弄乱（排好的铅字）
vi. 发生口角；大声争吵"
spilled,溢出
matinee,n. 白天举行的音乐会；妇女便装之一种
gallant,adj. 英勇的，勇敢的；华丽的；雄伟的
wedlock,n. 婚姻；已婚状况
inasmuch,adv. 因……之故；由于……
co-chairman,n. 联合主席；共同主席
unmatched,adj. 无与伦比的；不相配的；无匹敌的
weeping,"n. 哭泣
adj. 哭泣的，滴水的；垂枝的
v. 哭泣；悲痛；哀悼（weep的ing形式）"
eon,n. 永世；无数的年代；极长时期
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
gargantuan,adj. 庞大的，巨大的
suffuse,vt. 充满；弥漫
lawless,adj. 非法的；无法律的
checkered,"adj. 多变的；有方格的；多波折的
v. 使交错；使交替变化（checker的过去分词）"
aquaculture,n.  水产养殖；水产业
corona,n.  电晕；日冕；冠状物
signifier,n. 信号物，记号；表示者
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
unconcerned,adj. 不关心的；无关的；无忧虑的
retard,"n. 延迟；阻止
vt. 延迟；阻止；妨碍；使减速
vi. 减慢；受到阻滞"
hyperbole,n. 夸张的语句；夸张法
theorem,n.  定理；原理
considerate,adj. 体贴的；体谅的；考虑周到的
gawk,"n. 呆子；腼腆的人
vi. 呆呆地看着"
tribulation,n. 苦难；磨难；忧患
bowler,n. 圆顶礼帽；投球手；玩滚球的人
lockout,n. 停工； 封锁
second-generation,n. 第二代
inflexible,adj. 顽固的；不可弯曲的；不屈挠的；不能转变的
docking,"n. 入坞
adj. 入坞的
v. 入港；为…设置船坞（dock的ing形式）"
nominally,adv. 名义上地；有名无实地
inquisitive,adj. 好奇的；好问的，爱打听的
gendered,adj. 依照性别而分类的
goddamn,adj. 该死的；讨厌的；受诅咒的
unsustainable,adj. 无法支撑的；不可证实的；不能成立的
uptown,"n. 住宅区
adj. 住宅区的
adv. （美）在住宅区；（美）在城镇非商业区"
velvety,adj. 天鹅绒般柔软的；醇和的，可口的
shuffle,"n. 洗牌，洗纸牌；混乱，蒙混；拖着脚走
v. 洗牌；推诿，推卸；拖曳，慢吞吞地走；搅乱"
uplift,"n. 举起，抬起；道德的向上；精神的高涨
vt. 提高；抬起
vi. 提高；上升；升起"
knitting,"n. 针织；编织物； 骨愈合
v. 编织；皱眉（knit的ing形式）"
CPA,abbr. 注册会计师（Certified Public Accountant）；民间财产代理人（Civilian Property Agent）；英联邦议会协会（Commonwealth Parliamentary Association）；每次激活的费用 (Cost per Action)
frailty,n. 虚弱；弱点；意志薄弱
mathematically,adv. 算术地，数学上地
inaccuracy,n. 错误；不精确
peptide,n. 肽
rafting,"n. 筏运； 成筏过程
v. 用筏运送（raft的ing形式）"
paratrooper,n. 伞兵
dopamine,n.  多巴胺（一种治脑神经病的药物）
maximal,adj. 最高的，最大的；最全面的
sunlit,adj. 阳光照射的；被日光照射了的
physiologist,n. 生理学家，生理学者
maestro,n. 大师；名家；大音乐家
ladle,"vt. 不分对象予以赠送；以杓舀取
n. 钢水包；杓子；长柄杓"
smudge,"n. 污点，污迹；烟熏火堆
vt. 弄脏，涂污；用浓烟熏
vi. 被弄脏；形成污迹"
sturgeon,n. 鲟鱼
constructivist,n. 构成主义者
futurist,"n. 未来主义者；未来派画家
adj. 未来主义的"
mutilation,n. 毁损；残缺；切断
brownstone,"n. 赤褐色砂石建筑；褐色砂石
adj. 上流社会的；富有阶级的"
balmy,adj. 芳香的；温和的；止痛的
desolation,n. 荒芜；忧伤；孤寂；废墟
allay,vt. 减轻；使缓和；使平静
radiance,n. 辐射；光辉；发光；容光焕发
shimmer,"n. 微光；闪光
vt. 使闪烁
vi. 闪烁；发闪烁的微光"
extravagance,n. 奢侈，浪费；过度；放肆的言行
harrowing,"adj. 痛心的；悲惨的
v. 使痛苦（harrow的ing形式）；开拓"
wow,"n. 极大的成功；一鸣惊人之举；魔兽世界(World of Warcraft)；失真
int. （表示极大的惊奇或钦佩）哇，呀"
reticent,adj. 沉默的；有保留的；谨慎的
drawl,"n. 慢吞吞拉长调子的说话方式
vt. 慢吞吞地说
vi. 慢吞吞地说"
criminally,adv. 刑法上；犯了罪地，有罪地
repentance,n. 悔改；后悔
unrecognized,adj. 未被承认的；未被认出的；未被认可的
busted,"v. 爆裂；破产；开除；崩溃（bust的过去分词形式）
adj. 被降级的；破产了的；失败了的"
aghast,adj. 吓呆的，惊骇的；吃惊的
aggregation,n.  聚合，聚集；聚集体，集合体
spotlight,"n. 聚光灯；反光灯；公众注意的中心
vt. 聚光照明；使公众注意"
sheepishly,adv. 羞怯地；愚蠢地
reminiscence,n. 回忆；怀旧；引起联想的相似事物
undiscovered,adj. 未被发现的；未勘探的
enmity,n. 敌意；憎恨
cannibalism,n. 食人；嗜食同类；残忍的行为
airstrike,n. 空袭；空中打击
cicada,n. 蝉
gregarious,adj. 社交的；群居的
outwardly,adv. 表面上；向外；外观上地
surly,adj. 乖戾的；板面孔的，无礼的；阴沉的
tuft,"n. 一簇；丛生植物；一丛
vt. 用丛毛装饰
vi. 丛生"
ramshackle,adj. 摇晃的；放荡的
liqueur,n. 利口酒；白酒；烧酒；香酒
invisibility,n. 看不见；看不见的东西；难看见
pursuer,n. 追求者；追捕者；研究者；原告
ebony,"n. 乌木，黑檀
adj. 乌木制的，黑檀木制的；似木的，黑檀木色的"
hour-long,长达一个小时的
ancillary,"n. 助手；附件
adj. 辅助的；副的；从属的"
dungeon,n. 地牢，土牢
computer-based,adj.  基于计算机的
dynamism,n. 活力；动态；物力论；推动力；精神动力作用
retainer,n. 保持器；家臣；保持者； 护圈；预付费用
blackmail,"n. 勒索，敲诈；勒索所得之款
vt. 勒索，敲诈"
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
firecracker,n. 鞭炮，爆竹
vilify,vt. 诽谤；中伤；轻视；贬低
subdivide,"vt. 把……再分，把……细分
vi. 细分，再分"
gloss,"n. 光彩；注释；假象
vt. 使光彩；掩盖；注释"
spraying,"n. 喷涂；喷雾；喷洒
v. 喷射；飞溅（spray的ing形式）"
spousal,"adj. 结婚的
n. 婚礼；结婚仪式"
slain,v. 杀死（slay的过去分词）
cancerous,adj. 癌的；生癌的；像癌的
automate,"vt. 使自动化，使自动操作
vi. 自动化，自动操作"
hulking,adj. 笨重的；粗陋的
islander,n. 岛上居民
stripped,"v. 剥夺（strip的过去分词形式）；脱衣；把…剪成条状
adj. 剥去的"
reversible,"adj. 可逆的；可撤消的；可反转的
n. 双面布料"
supremacist,"n. 至上主义者
adj. 至上主义者的"
fortitude,n. 刚毅；不屈不挠；勇气
importation,n. 进口；输入品
fiesta,n. 圣日，宗教节日；祭典；假日
restlessness,n. 坐立不安；不安定
distal,adj.  末梢的，末端的
rinsed,"adj. 被漂洗干净的；被冲洗掉的
v. 冲洗；漱口（rinse的过去分词）"
abolitionist,n. 废奴主义者；废除主义者
have,"aux. 已经
vt. 有；让；拿；从事；允许"
extra-virgin,特级初榨
ballgame,n. （美）棒球运动
medium-low,adj. 中低
overcast,"adj. 阴天的；阴暗的；愁闷的
vt. 使沮丧；包缝；遮蔽"
carmaker,n. 汽车制造商
low-wage,低工资
incurable,"n. 患不治之症者，不能治愈的人
adj. 不能治愈的；无可救药的"
tumbler,n. 不倒翁（玩具）；杂技演员；翻筋斗者；一杯的容量；滚筒；平底玻璃杯
wristwatch,n. 手表
ouster,n. 驱逐；剥夺；罢黜
hilt,n. 刀把，柄
open-minded,adj. 虚心的；思想开明的；无偏见的
organically,adv. 有机地；有组织地；器官上地
cognac,n. 法国白兰地
forty-four,四十四
behest,n. 命令；邀请；请求
unyielding,adj. 不屈的；坚强的； 不易弯曲的
cabaret,n. 卡巴莱歌舞表演；卡巴莱餐馆
herpes,n.  疱疹
derogatory,adj. 贬损的
weasel,"n. 鼬鼠；狡猾的人
vi. 逃避；含糊其辞"
trivialize,vt. 使平凡；使琐碎
adhesive,"n. 粘合剂；胶黏剂
adj. 粘着的；带粘性的"
defraud,"vi. 进行诈骗（过去式defrauded，过去分词defrauded，现在分词defrauding，第三人称单数defrauds，名词defraudation）
vt. 欺骗"
amalgam,n.  汞合金， 汞齐；混合物
Likert-type,
school-age,adj. 学龄的
inwardly,adv. 向内地；思想上；在内部
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
articulated,"v. 铰接（articulate的过去分词）；明确地表达；使相互连贯
adj. 铰接式的；清晰的；组织缜密的；有关节的"
cystic,adj. 囊的；膀胱的， 胆囊的；胞囊的
personification,n. 人格化；化身；拟人法（一种修辞手法）；象征
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
intensively,adv. 强烈地；集中地
awkwardness,n. 尴尬；笨拙
disinfectant,"n. 消毒剂
adj. 消毒的"
jurist,n. 法学家；法官；律师；法律著作家
co-pilot,n. 副驾驶；自动驾驶仪
preservative,"n. 防腐剂；预防法；防护层
adj. 防腐的；有保存力的；有保护性的"
courtly,adj. 尊严而有礼貌的；奉承的；有宫廷气派的，威严的
sizzling,"adj. 极热的
vi. 发咝咝声（sizzle的现在分词）"
hemorrhage,"n.  出血（等于haemorrhage）；番茄汁
vt.  出血
vi.  出血"
purple,"n. 紫色；紫袍
adj. 紫色的；帝王的；华而不实的
vt. 使成紫色
vi. 变成紫色"
all-day,adj. 全天的
claimant,n. 原告； 索赔人；提出要求者
baste,"n. 调味品；涂抹液
vt. 粗缝；在…上涂油；狠揍；大骂"
promiscuous,"adj. 混杂的；杂乱的
adv. 偶然地；胡乱地"
carol,"n. 颂歌，赞美诗；欢乐之歌
vi. 欢乐地歌唱；唱耶诞颂歌
vt. 欢唱；歌颂"
holocaust,n. 大屠杀；毁灭
life-saving,"n. 救生
adj. 救生的"
centuries-old,adj. 悠久的
dictum,n. 格言；声明；法官的附带意见
historiography,n. 编史；历史编纂学
ricotta,n. 意大利乳清干酪
empathetic,adj. 移情作用的；同感的（等于empathic）
seeing,"conj. 因为；由于；鉴于
n. 看见；视觉；观看；视力
v. 看见（see的ing形式）
adj. 看见的；有视觉的"
penicillin,n. 盘尼西林（青霉素）
exalt,"vt. 提升；提拔；赞扬；使得意
vi. 使人得意"
readable,adj. 可读的；易读的；读起来津津有味的
hyena,n.  鬣狗，土狼
rallying,汽车拉力赛（rally 的现在分词）
afield,adv. 在战场上；去野外；在远处；远离著
mystic,"adj. 神秘的；神秘主义的
n. 神秘主义者"
daffodil,"n. 水仙花
adj. 水仙花色的"
technicality,n. 学术性；专门性；术语，专门语
memorialize,vt. 纪念；请愿；提出请愿书
PSI,
viciously,adv. 邪恶地；敌意地
dehydrate,"vt. 使…脱水；使极其口渴；使丧失力量和兴趣等
vi. 脱水；去水"
reverend,"n. 教士
adj. 教士的；可尊敬的"
tightening,v. 拧紧；使绷紧；扣紧（tighten的ing形式）
outhouse,n. 外屋；屋外厕所；附属建筑物
carousel,"n. 旋转木马
行李传送带"
basal,adj. 基部的；基础的
alight,"adj. 烧着的；点亮着的
vi. 下来；飞落"
partition,"n. 划分，分开； 分割；隔墙；隔离物
vt.  分割；分隔；区分"
spiky,adj. 大钉一般的；装有大钉的；尖刻的；易怒的；有穗的
cheddar,n. （英国产的）切达干酪（干酪的一种）
subsist,"vi. 存在；维持生活
vt. 供养"
fruity,adj. 圆润的；有果味的；果实状的
untenable,adj. （论据等）站不住脚的；不能维持的；不能租赁的；难以防守的
corset,"n. （妇女用的）束腹，紧身褡；（中世纪流行的）紧身外套
vt. 给…穿上束腹；严格控制"
counterfeit,"n. 赝品；冒牌货；伪造品
adj. 假冒的，伪造的；虚伪的
vt. 伪造，仿造；假装，伪装
vi. 仿造；假装"
assessor,n. 评审员；确定税款的人；顾问
managing,"adj. 管理的；节约的；爱管闲事的
v. 管理；设法对付（manage的ing形式）"
referent,n. 指示物；指示对象
site,"n. 地点；位置；场所
vt. 设置；为…选址"
pester,vt. 纠缠，烦扰；使烦恼
disorderly,"adj. 混乱的，无秩序的；骚乱的；无法无天的
adv. 杂乱地，无秩序地"
loathing,"n. 嫌恶
adj. 厌恶的
vt. 讨厌（loathe的ing形式）"
platonic,adj. 理想的；柏拉图哲学的；不切实际的；纯精神友谊的
rebuke,"n. 非难，指责；谴责，鞭策
vt. 指责，非难；制止；使相形见绌"
snob,n. 势利小人，势利眼；假内行
smattering,"n. 一知半解；少数；略知
adj. 肤浅的；些许的；点滴的
v. 略知；肤浅地学习；粉碎（smatter的ing形式）"
mean-spirited,adj. 气量小的；心胸狭窄的；卑鄙的
resigned,"v. 辞职；顺从（resign的过去分词）
adj. 顺从的；已辞职的；己放弃的"
christen,vt. 为…命名；为…施洗礼
actuator,n.  执行机构；激励者；促动器
grapevine,n. 葡萄树；葡萄藤；小道消息；秘密情报网
cog,"n. 钝齿；雄榫
vi. 以雄榫连接；一致，吻合；掷骰子时作弊，诈骗
vt. 给…装配齿轮；以雄榫连接"
innermost,adj. 内心的；最里面的，最深处的；秘密的
incipient,adj. 初期的；初始的；起初的；发端的
weekly,"n. 周刊
adj. 每周的；周刊的；一周一次的
adv. 每周一次；逐周"
disparage,vt. 蔑视；毁谤
beef,"n. 牛肉；肌肉；食用牛；牢骚
vt. 养；加强
vi. 抱怨，告发；发牢骚"
aerodynamic,adj. 空气动力学的， 航空动力学的
thaw,"n. 解冻；融雪
vt. 使融解；使变得不拘束
vi. 融解；变暖和"
paralyzed,"v. 使麻痹；使无力；使失去勇气（paralyze的过去分词）
adj. 瘫痪的；麻痹的"
rippling,"adj. 潺潺流水般声音的；起涟漪的
v. 使起涟漪；呈波状起伏（ripple的ing形式）"
horny,adj. 角的；角状的；淫荡的
waistband,n. 束腰带，腰带
capricious,adj. 反复无常的；任性的
shaping,"n. 塑造；成形
v. 塑造（shape的ing形式）；（使）成形
adj. 塑造的；成形的"
nude,"adj. 裸的，裸体的；无装饰的；与生俱有的
n. 裸体；裸体画"
enforced,"v. 执行（enforce的过去分词）
adj. 实施的；强制执行的"
sharpness,n. 锐利； 清晰度；疾速；严厉
politicization,n. 政治化
well-worn,adj. 用旧了的；老生常谈的；平凡的
musing,"adj. 沉思的；瞑想的
v. 沉思；凝望（muse的ing形式）"
shaping,"n. 塑造；成形
v. 塑造（shape的ing形式）；（使）成形
adj. 塑造的；成形的"
world-famous,adj. 举世闻名的
melodramatic,adj. 夸张的；情节剧的；戏剧似的
sapphire,"n. 蓝宝石； 青玉；天蓝色
adj. 天蓝色的"
Ponce,
snappy,adj. 厉声说话的；生气勃勃的；时髦的；爽快的
undaunted,adj. 勇敢的，无畏的
hotbed,n. 滋长地，温床
stampede,"n. 惊跑；人群的蜂拥；军队溃败
vt. 使…惊逃；抢占
vi. 蜂拥；逃窜"
pacifist,"n. 和平主义者
adj. 非战主义的"
exhortation,n. 讲道词，训词；劝告
needlessly,adv. 不必要地；无用地
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
rev,"n. 发动机的旋转
vt. 使加速；增加
vi. 加快转速；增长"
peacemaker,n. 调解者；和事佬
moniker,n. 绰号；名字
allergen,n.  过敏原
treachery,n. 背叛；变节；背叛行为
congregational,adj. 会众的；公理教会的
colt,n. 柯尔特式自动手枪；柯尔特公司（美著名制枪厂商）
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
misbehavior,n. 品行不端；不礼貌（等于misbehaviour）
Inca,
genial,adj. 亲切的，友好的；和蔼的；适宜的
parent-child,adj. 父子关系；主从关系
magnolia,"n.  木兰；玉兰类的植物
adj. 木兰科的"
inhalation,n. 吸入；吸入药剂
afoot,"adj. 在进行中的；徒步的；准备中
adv. 在进行中，在准备中"
toolbox,n. 工具箱
horrid,adj. 可怕的；恐怖的；极讨厌的
forego,vt. 放弃；居先；在……之前
miscalculation,n. 算错；误算
extramarital,adj. 私通的，婚外的，通奸的
blindfold,"n. 障眼物，眼罩
adj. 轻率的，盲目的；看不清的；被蒙住眼睛的
vt. 蒙住…的眼睛；挡住…的视线；使…模糊不清
adv. 盲目地；鲁莽地，轻率地"
enamor,vt. 使迷恋，使倾心
Icelandic,"n. 冰岛语
adj. 冰岛的；冰岛人的；冰岛语的"
filming,"n. 拍摄；摄影；薄膜形成
v. 拍摄（film的ing形式）；以薄膜覆盖"
incendiary,"n. 燃烧弹；纵火犯，放火者；煽动者
adj. 煽动的；放火的，纵火的"
unproductive,adj. 非生产性的；徒劳的；不毛的；不生产的
rumpled,"adj. 凌乱的；弄皱的
v. 弄皱；弄乱（rumple的过去式）"
signatory,"n. 签约国；签名人
adj. 签署的；签约的"
overpriced,"adj. 定价过高的
n. 对…定价过高（overprice的过去分词）"
perversion,n. 反常；颠倒；曲解；误用；堕落
chemo,n. 化疗（等于chemotherapy）；化学疗法
weakening,"n. 弱化；疲软；衰减
v. 削弱（weaken的ing形式）"
ravages,"n. 毁坏后的残迹；劫掠后的残迹；破坏的结果（ravage的复数）
v. 破坏（ravage的第三人称单数形式）；毁坏"
scorpion,n. 蝎子；蝎尾鞭；心黑的人
brainwash,"n. 洗脑
vt. 对人洗脑；以宣传说服"
four-hour,adj. 4小时的
catchy,adj. 引人注意的；容易记住的；易使人上当的
mistreatment,n. 虐待
whisky,"n. 威士忌酒
adj. 威士忌酒的"
unplanned,adj. 意外的；在计划外的；未经筹划的
idiotic,adj. 白痴的；愚蠢的
underwriter,n. 保险公司；保险业者；承诺支付者；担保人
hearsay,"n. 传闻，谣言
adj. 传闻的，风闻的"
retool,"vt. 重组；重新装备
vi. 更换工具；重新装备；更换机械设备"
ascendancy,n. 优势；支配地位（等于ascendency，ascendence）
indie,"n. 独立经营的电影院等；独立制片人
adj. 独立的"
sameness,n. 相同；千篇一律；单调
wharf,"n. 码头；停泊处
vt. 使靠码头；为…建码头；把货卸在码头上
vi. 靠码头"
luminary,n. 发光体；杰出人物；知识渊博的人
sparingly,adv. 节俭地；保守地；爱惜地
reassign,vt. 再分配；再指定
materially,adv. 实质地；物质上；极大地
space-time,"n. 时空（等于space time）
adj. 时空的"
redneck,n. 乡下人；红脖子（指美国南方保守的露天劳动者）
copious,adj. 丰富的；很多的；多产的
rater,n. 估价者；评定等级的人
ineffectual,"n. 无用的人；无一技之长者
adj. 无效的，不起作用的；徒劳无益的"
shackle,"n. 束缚；桎梏；脚镣
vt. 束缚；加枷锁"
upshot,n. 结果，结局；要点
assertiveness,n. 魄力，自信
adaptability,n. 适应性；可变性；适合性
penitentiary,"n. 监狱；教养所；宗教裁判所
adj. 应处监禁的；监禁的；忏悔的（等于penitential）"
tantalizing,"adj. 撩人的；逗引性的；干着急的
v. 惹弄；逗弄人（tantalize的ing形式）"
mating,"n. （动物等的）交配，交尾；配套；（植物等的）杂交
v. 交配；使配对；使紧密配合（mate的现在分词）"
molester,n. 猥亵者；性骚扰者
blackmail,"n. 勒索，敲诈；勒索所得之款
vt. 勒索，敲诈"
dispersed,"v. 分散；传播（disperse的过去分词）
adj. 散布的；被分散的；被驱散的"
oeuvre,n. （法）全部作品；毕生之作
backtrack,"vi.  回溯；由原路返回；放弃
vt. 追踪；循迹调查"
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
enchanting,"adj. 迷人的；妩媚的
v. 使迷惑（enchant的ing形式）"
self-awareness,n. 自我意识
inordinate,adj. 过度的；无节制的；紊乱的
downsizing,n. 精简，裁员；缩小规模
petitioner,n. 请愿人；诉愿人；（英）离婚案原告
cusp,n. 尖头；尖端
diplomatically,adv. 在外交上；靠外交途径；圆滑地；婉转地
lurch,"n. 突然倾斜；蹒跚；挫折
vi. 倾斜；蹒跚
vt. 击败"
disavow,vt. 否认，否定；抵赖；拒绝对…的责任
knapsack,n. 背包
unwrap,vt. 打开
non-white,adj. 非白种的
head-to-head,"n. 白刃战；肉搏战；头接头
adj. 肉搏战的"
celeb,abbr. 名人（celebrity）
untitled,adj. 无称号的；无标题的；无权利的
alderman,n. 市议员；总督；市府参事；高级市政官
homely,adj. 家庭的；平凡的；不好看的
flowering,"n. 开花；饰以花
adj. 开花的"
informer,n. 告密者；通知者；控告人
full-service,"n. 全方位服务；完全服务
adj. 提供全面服务的"
meteorological,adj. 气象的；气象学的
idealize,"vt. 使理想化；理想化地描述
vi. 理想化；形成思想"
monopolize,vt. 垄断；独占；拥有…的专卖权
solicitor,n. 律师；法务官；募捐者；掮客
ingrain,"n. 固有品质；原纱染色；生染的纤维
adj. 生染的；原纱染色的；根深蒂固的
vt. 使…根深蒂固；就…原料染色；生染"
quiver,"n. 颤抖；箭袋；震动
vi. 颤抖；振动
vt. 使…颤动；抖动"
inexperience,n. 缺乏经验；无经验；不熟练
fluff,"n. 绒毛；错误；无价值的东西
vt. 念错；抖松；使…起毛
vi. 起毛；出错；变松"
fell,"n.  一季所伐的木材；折缝；兽皮
v. 掉下；摔倒；下垂；变坏（fall的过去式）
adj. 凶猛的；毁灭性的
vt. 砍伐；打倒；击倒"
boxed,"adj. 醉酒的
v. 装箱（box的过去分词）"
collarbone,n. 锁骨
hazelnut,n. 榛子；榛树
henceforth,adv. 今后；自此以后
pout,"n. 撅嘴；生气
vt. 撅嘴
vi. 撅嘴"
offshoot,n. 分支；支流；衍生物
wayside,"n. 路旁
adj. 路旁的"
outmoded,"adj. 过时的，不流行的
v. 使不流行（outmode的过去分词）"
discriminant,n.  判别式
intelligible,adj. 可理解的；明了的；仅能用智力了解的
consonant,"n. 辅音；辅音字母
adj. 辅音的；一致的；和谐的"
recklessly,adv. 鲁莽地；不顾一切地
banter,n. 无恶意的玩笑
canning,"n. 装罐；罐头制造
v. 把食物等装罐（can的ing形式）
adj. 罐头加工的；装罐头的"
smashed,"v. 粉碎（smash的过去式和过去分词）
adj. 破碎的；喝醉酒的"
rainstorm,n. 暴风雨，大暴雨
unicorn,n. 独角兽；麒麟
uncooked,adj. 未煮过的
tasteful,adj. 雅观的；有鉴赏力的；趣味高雅的；有滋味的
seaman,n. 海员，水手；水兵
inactivity,n. 静止；不活泼；休止状态；不放射性
racy,adj. 生动的；保持原味的；适于赛跑的；猥亵的
supersonic,"n. 超音速；超声波
adj. 超音速的；超声波的"
warming,"n. 加温，暖和；气温升高
v. 加温；兴奋；同情（warm的ing形式）
adj. 让人感到暖和的"
inlaid,"adj. 镶嵌的；嵌入的；镶饰的
v. 把…镶入；用镶嵌物装饰（inlay的过去分词形式）"
generality,n. 概论；普遍性；大部分
indulgent,adj. 放纵的；宽容的；任性的
racketeering,"n. 敲诈勒索；诈骗
v. 敲诈（racketeer的ing形式）；对…进行勒索"
chartered,"adj. 受特许的
v. 特许建立（charter的过去分词）"
chiropractor,n. 脊椎指压治疗者；脊椎按摩师
insensitivity,n. 感觉迟钝；不灵敏性；昏迷
keyword,n. 密码；关键字
misbehave,"vi. 作弊；行为不礼貌
vt. 使举止失礼；使行为不端"
delude,vt. 欺骗；哄骗；诱惑；迷惑；逃避；使失望
teak,n. 柚木
intelligently,adv. 聪明地，明智地
grumpy,"n. 脾气坏的人；爱抱怨的人
adj. 脾气暴躁的；性情乖戾的"
salesperson,n. 售货员
belch,"n. 打嗝；喷出物
vt. 打嗝；喷出
vi. 打嗝；喷出"
practicum,n. 实习课；实习科目
archdiocese,n. 大主教之管区
