aha,int. 啊哈（表示喜悦、轻蔑、惊讶等）
posterity,n. 子孙，后裔；后代
primly,adv. 拘谨地
queer,"n. 同性恋者；怪人；伪造的货币
adj. 奇怪的；同性恋的；不舒服的；心智不平衡的
vt. 搞糟；使陷于不利地位"
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
sidle,"n. 侧走；挨近
vt. 侧身而行；悄悄贴近
vi. 侧身而行；悄悄贴近"
simpleton,n. 傻子；笨蛋
straggly,adj. 散乱的；蔓延的；零乱四散的；七零八落的
surmise,"n. 推测；猜度
vt. 猜测；推测
vi. 猜测；认为"
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
temporal,"n. 世间万物；暂存的事物
adj. 暂时的；当时的；现世的"
transference,n. 转移；转让；调任
untouched,adj. 未受影响的；未改变的；未触动过的；不受感动的
vest,"n. 背心；汗衫
vt. 授予；使穿衣
vi. 归属；穿衣服"
wholesale,"n. 批发
adj. 批发的；大规模的
vt. 批发
adv. 大规模地；以批发方式
vi. 批发；经营批发业"
wring,"vt. 拧；绞；紧握；使痛苦；折磨
vi. 蠕动；扭动；感到痛苦；感到苦恼
n. 拧；绞；挤；扭动"
bone up on,"v. 对…下苦功；钻研
 努力研读；专心致志于；专心致志地学努力研读"
go mad,"na. 发狂
 发疯；疯了；变疯"
help out,"v. 帮助…摆脱困境；救出；协助
 帮忙；帮助解决困难；帮助克服困难"
on account of,"na. 因为
 由于；为了；基于"
polish up,"na. 完成；改善；同“polish”
 擦亮；磨光，擦亮；润色"
think highly of,"na. 尊重；评价极高
 看重；器重；高度评价"
toss off,"na. 一口喝干(酒)；敏捷地做好
 一饮而尽；轻而易举地处理；喝光"
absence,n. 没有；缺乏；缺席；不注意
accusation,n. 控告，指控；谴责
affidavit,n. 宣誓书
agony,n. 苦恼；极大的痛苦；临死的挣扎
ale,n. 麦芽酒
anguish,"n. 痛苦；苦恼
vt. 使极度痛苦
vi. 感到极度的痛苦"
asylum,n. 庇护；收容所，救济院
baseless,adj. 无根据的；无基础的
behold,"vt. 看；注视；把...视为
vi. 看
int. 瞧；看呀"
bitterly,adv. 苦涩地，悲痛地；残酷地；怨恨地
blackmail,"n. 勒索，敲诈；勒索所得之款
vt. 勒索，敲诈"
bribery,n.  贿赂；受贿；行贿
brutal,adj. 残忍的；野蛮的，不讲理的
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
candidacy,n. 候选资格；候选状态
clamor,"n. 喧闹，叫嚷；大声的要求
vt. 喧嚷着说出
vi. 喧嚷，发喧嚣声；持续地喊声"
climax,n. 高潮；顶点；层进法；极点
corruption,n. 贪污，腐败；堕落
corruptionist,"n. 行贿的人, 舞弊政治家"
deceased,"n. 死者； 被继承人
adj. 已故的
vi. 死亡（decease的过去式）"
delirium,n. 精神错乱；发狂，狂热；说谵语状态
democratic,adj. 民主的；民主政治的；大众的
disgraceful,adj. 不名誉的，可耻的
disheartening,使人沮丧的
drunken,adj. 喝醉的；酒醉的；常醉的
dub,"n. 笨蛋；鼓声
vt. 配音；轻点；打击；授予称号"
falsehood,n. 说谎；假话；不真实；错误的信仰
filthy,adj. 肮脏的；污秽的；猥亵的
gubernatorial,adj. 州长的；统治者的；地方长官的；总督的
heartless,adj. 无情的；无勇气的
incite,vt. 煽动；激励；刺激
infamous,adj. 声名狼藉的；无耻的；邪恶的；不名誉的
inmate,n. (尤指)同院病人；同狱犯人；同被(收容所)收容者
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
kangaroo,n. 袋鼠
liar,n. 说谎的人
liquor,"n. 酒，含酒精饮料；溶液；液体；烈酒
vi. 喝酒，灌酒
vt. 使喝醉"
listlessly,adv. 无精打采地；冷淡地
lunatic,"adj. 疯狂的；精神错乱的；愚蠢的
n. 疯子；疯人"
nominate,vt. 推荐；提名；任命；指定
obstruct,"vt. 妨碍；阻塞；遮断
vi. 阻塞；设障碍"
perjurer,n. 伪证者； 作伪证者；伪誓者
perjury,n. 伪证；伪誓；背信弃义
persecution,n. 迫害；烦扰
plantain,n. 车前草，香蕉之一种
rattlesnake,n.  响尾蛇
republican,"n. 共和党人
adj. 共和党的
共和的"
robbery,n. 抢劫，盗窃；抢掠
shameful,adj. 可耻的；不体面的；不道德的；猥亵的
shameless,adj. 无耻的；不要脸的；伤风败俗的
slander,"n. 诽谤；中伤
vt. 诽谤；造谣中伤"
snatcher,n. 绑架者；抢夺贼
suspiciously,adv. 怀疑地；猜疑地
undercurrent,n. 暗流；潜流
vile,adj. 卑鄙的；邪恶的；低廉的；肮脏的
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
withdrawal,n. 撤退，收回；提款；取消；退股
array of,
blame something on somebody,
blame something on something,
clear up,"na. 整顿；说明；(天气)转晴
 放晴；整理；清理"
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
 遇见；偶然遇见；碰到"
from time to time,"na. 时时
 有时；不时；不时地"
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
 撞倒；击倒；击落"
nail a lie, 拆穿谎言，拆穿西洋镜
send in,"na. 拿出；提出；递(名片)；送
 送来；呈报；提交"
set about,"na. 动手；开始；下手；着手
 散布；着手做某事；开始做"
slip away,"v. 悄没声息地溜走
 不要让明天溜走；消失；悄悄溜走"
take vengeance on, 报仇；向……复仇
take vengeance upon,
acme,n. 顶点，极点；最高点
allegation,n. 指控; 陈述，主张; 宣称; 陈词，陈述;
allied,"adj. 联合的；同盟的；与…同属一系
v. 联合（ally的过去分词）"
arrangement,n. 布置；整理；准备
arrogance,n. 自大；傲慢态度
assembly,n. 装配；集会，集合
atman,n. （印度教）灵魂；自我；呼吸
auspicious,adj. 吉兆的，吉利的；幸运的
bearing,"n.  轴承；关系；方位；举止
v. 忍受（bear的ing形式）"
compassionate,"adj. 慈悲的；富于同情心的
vt. 同情；怜悯"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
considerate,adj. 体贴的；体谅的；考虑周到的
core,
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
demerit,n. 缺点，短处；过失
den,"n. 贼窝，私室；兽穴，窝巢；小房间
vt. 把……赶进洞穴
vi. 藏到洞里；住在肮脏简陋的小房间里"
dignified,"adj. 庄严的；有尊严的；高贵的
v. 使高贵（dignify的过去式）"
emulation,n.  仿真；竞争；效法
execute,vt. 实行；执行；处死
faithfulness,n. 忠诚；诚实；正确
humility,n. 谦卑，谦逊
illusion,n. 幻觉，错觉；错误的观念或信仰
immemorial,adj. 远古的，古老的；无法追忆的
inconsistency,n. 不一致；易变
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
monarch,n. 君主，帝王；最高统治者
nirvana,n. 涅槃；天堂
penance,"n. 苦修；忏悔
vt. 使…以苦行赎罪"
pigmy,"n. 矮人；侏儒；俾格米人；微不足道的东西/人
adj. 矮小的；微少的；无足轻重的"
pious,adj. 虔诚的；敬神的；可嘉的；尽责的
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
preside,"vi. 主持，担任会议主席
vt. 管理"
procure,"vt. 获得，取得；导致
vi. 取得"
refute,vt. 反驳，驳斥；驳倒
reputed,"adj. 名誉好的；被普遍认为…的
v. 认为（repute的过去式和过去分词）"
respective,adj. 分别的，各自的
reverence,"n. 崇敬；尊严；敬礼
vt. 敬畏；尊敬"
sage,"n. 圣人；贤人；哲人
adj. 明智的；贤明的；审慎的"
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
sovereignty,n. 主权；主权国家；君主；独立国
stature,n. 身高，身材；（精神、道德等的）高度
superiority,n. 优越，优势；优越性
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
valor,n. 英勇；勇猛（等于valour）
venue,n. 审判地；犯罪地点；发生地点；集合地点
womb,"n.  子宫；发源地
vt. 容纳"
come forth,"na. 出来；涌现；提出
 出现；被公布；向前"
come forward,"na. 出来；出头；(候选人)出来候选；增长
 自告奋勇；站出来；挺身而出"
for want of,"na. 因缺少…
 因缺乏；因为缺乏；短缺"
from time immemorial, 自古以来，无法记忆的过去; 从古到今; 亘古及今; 旷古迄今
since time immemorial, 自古以来；古来
give out,"na. 发表；放出；分发
 发出；用完；用尽"
one and all,"na. 每个人；全都
 大家；全部；一概"
put somebody to shame, 使某人感到羞愧
to the core,"na. 到心
 彻底；彻底地；透顶的"
