abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
possession,n. 拥有；财产；领地；自制；着迷
poster,n. 海报，广告；招贴
postulate,"n. 基本条件；假定
vt. 假定；要求；视…为理所当然"
practicable,adj. 可用的；行得通的；可实行的
practical,adj. 实际的；实用性的
prayer,n. 祈祷，祷告；恳求；祈祷文
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
precipitate,"n.  沉淀物
vt. 使沉淀；促成；猛抛；使陷入
adj. 突如其来的；猛地落下的；急促的
vi.  沉淀；猛地落下；冷凝成为雨或雪等"
preclude,vt. 排除；妨碍；阻止
predecessor,n. 前任，前辈
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
pregnant,adj. 怀孕的；富有意义的
premature,"n. 早产儿；过早发生的事物
adj. 早产的；不成熟的；比预期早的"
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
preservative,"n. 防腐剂；预防法；防护层
adj. 防腐的；有保存力的；有保护性的"
preside,"vi. 主持，担任会议主席
vt. 管理"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
prestige,n. 威望，声望；声誉
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
pretext,"n. 借口；托辞
vt. 以…为借口"
prevalent,adj. 流行的；普遍的，广传的
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
prick,"n. 刺，扎；刺痛，刺伤；阴茎；锥
vt. 刺，戳；刺伤，刺痛；竖起
vi. 刺；竖起
adj. 竖起的"
priority,n. 优先；优先权； 优先次序；优先考虑的事
privacy,n. 隐私；秘密；隐居；隐居处
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
proclaim,vt. 宣告，公布；声明；表明；赞扬
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
profession,n. 职业，专业；声明，宣布，表白
proficient,"n. 精通；专家，能手
adj. 熟练的，精通的"
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
profitable,adj. 有利可图的；赚钱的；有益的
profound,adj. 深厚的；意义深远的；渊博的
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
prolong,vt. 延长；拖延
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
prone,adj. 俯卧的；有…倾向的，易于…的
propagate,"vt. 传播；传送；繁殖；宣传
vi. 繁殖；增殖"
propel,vt. 推进；驱使；激励；驱策
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
prophet,n. 先知；预言者；提倡者
proposition,"n.  命题；提议；主题；议题
vt. 向…提议；向…求欢"
prospective,"n. 预期；展望
adj. 未来的；预期的"
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
prototype,n. 原型；标准，模范
provoke,vt. 驱使；激怒；煽动；惹起
proximity,n. 接近，邻近；接近；接近度，距离；亲近
publicity,n. 宣传，宣扬；公开；广告；注意
purify,"vt. 净化；使纯净
vi. 净化；变纯净"
pursuit,n. 追赶，追求；职业，工作
qualification,n. 资格；条件；限制；赋予资格
quantify,"vt. 量化；为…定量；确定数量
vi. 量化；定量"
quarterly,"n. 季刊
adj. 季度的，按季度的；一年四次的
adv. 按季度， 一季一次地；纵横四分地"
queer,"n. 同性恋者；怪人；伪造的货币
adj. 奇怪的；同性恋的；不舒服的；心智不平衡的
vt. 搞糟；使陷于不利地位"
quench,"vt. 熄灭， 淬火；解渴；结束；冷浸
vi. 熄灭；平息"
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
questionable,adj. 可疑的；有问题的
questionnaire,n. 问卷；调查表
queue,"n. 队列；长队；辫子
vt. 将…梳成辫子；使…排队
vi. 排队；排队等候"
quiver,"n. 颤抖；箭袋；震动
vi. 颤抖；振动
vt. 使…颤动；抖动"
radiant,"n. 光点；发光的物体
adj. 辐射的；容光焕发的；光芒四射的"
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
raid,"n. 袭击；突袭；搜捕；抢劫
vt. 袭击，突袭
vi. 对…进行突然袭击"
rally,"n. 集会；回复；公路赛车会
vt. 团结；集合；恢复健康、力量等
vi. 团结；重整；恢复；（网球等）连续对打"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
ray,"n. 射线；光线；鳐形目(Rajiformes)鱼
vt. 放射；显出
vi. 放射光线；浮现"
readily,adv. 容易地；乐意地；无困难地
realistic,adj. 现实的；现实主义的；逼真的；实在论的
realization,n. 实现；领悟
reap,"vt. 收获，获得；收割
vi. 收割，收获"
recession,n. 衰退；不景气；后退；凹处
recipe,n. 食谱； 处方；秘诀；烹饪法
reciprocal,"n.  倒数；互相起作用的事物
adj. 互惠的；相互的；倒数的，彼此相反的"
reckless,adj. 鲁莽的，不顾后果的；粗心大意的
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
reconcile,vt. 使一致；使和解；调停，调解；使顺从
recreation,n. 娱乐；消遣；休养
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
rectify,vt. 改正；精馏；整流
recur,vi. 复发；重现；采用；再来；循环；递归
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
refreshing,"adj. 提神的；使清爽的；使人重新振作的
v. 使清新；恢复精神（refresh的ing形式）"
refugee,n. 难民，避难者；流亡者，逃亡者
refute,vt. 反驳，驳斥；驳倒
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
regime,n. 政权，政体；社会制度；管理体制
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
rejoice,"vi. 高兴；庆祝
vt. 使高兴"
relay,"n.  继电器；接替，接替人员；驿马
vt. 转播；使接替；分程传递
vi. 转播；接替"
relic,n. 遗迹，遗物；废墟；纪念物
remainder,"n.  余数，残余；剩余物；其余的人
adj. 剩余的；吃剩的
vt. 廉价出售；削价出售
vi. 廉价出售；削价出售"
renaissance,n. 文艺复兴（欧洲14至17世纪）
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
renovate,vt. 更新；修复；革新；刷新
repay,"vt. 回报；报复；付还
vi. 偿还；报答；报复"
repel,vt. 击退；抵制；使厌恶；使不愉快
reproach,"n. 责备；耻辱
vt. 责备；申斥"
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
reputation,n. 名声，名誉；声望
resent,vt. 怨恨；愤恨；厌恶
reside,vi. 住，居住；属于
resonance,n.  共振；共鸣；反响
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
restraint,n. 抑制，克制；约束
restrict,vt. 限制；约束；限定
retort,"n. 反驳，顶嘴；曲颈瓶
vi. 反驳，回嘴
vt. 反驳，反击"
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
revenue,n. 税收，国家的收入；收益
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
rigorous,adj. 严格的，严厉的；严密的；严酷的
rim,"n. 边，边缘；轮辋；圆圈
vt. 作…的边，装边于
vi. 作…的边，装边于"
rip,"n. 裂口，裂缝
vi. 裂开，被撕裂
vt. 撕；锯"
ripple,"n. 波纹；涟漪； 涟波
vt. 在…上形成波痕
vi. 起潺潺声"
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
robbery,n. 抢劫，盗窃；抢掠
robust,adj. 强健的；健康的；粗野的；粗鲁的
rot,"n. 腐烂；腐败；腐坏
vt. 使腐烂；使腐朽；使堕落
vi. 腐烂；腐败；堕落
int. （表示厌恶、蔑视、烦恼等）胡说；糟了"
rupture,"n. 破裂；决裂；疝气
vt. 使破裂；断绝；发生疝
vi. 破裂；发疝气"
rust,"n. 锈；生锈； 锈病
vt. 使生锈；腐蚀
vi. 生锈；成铁锈色；变迟钝"
sacred,adj. 神的；神圣的；宗教的；庄严的
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
saint,
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
savage,"n. 未开化的人；粗鲁的人；残暴成性的人
adj. 野蛮的；残酷的；狂怒的；荒凉的
vt. 乱咬；粗暴的对待"
saw,"n. 锯子；谚语
v. see的过去式
vi. 锯；用锯；将某物锯成小块
vt. 看见；明白，了解；锯；锯成；锯开"
scandal,n. 丑闻；流言蜚语；诽谤；公愤
scanty,adj. 缺乏的；吝啬的；仅有的；稀疏的
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
scrutiny,n. 详细审查；监视；细看；选票复查
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
seam,"n. 缝；接缝
vt. 缝合；接合；使留下伤痕
vi. 裂开；产生裂缝"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
seemingly,adv. 看来似乎；表面上看来
segment,"n. 段；部分
vt. 分割
vi. 分割"
segregate,vt. 使隔离；使分离；在…实行种族隔离
selection,n. 选择，挑选；选集；精选品
seminar,n. 讨论会，研讨班
sensation,n. 感觉；轰动；感动
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
sentimental,adj. 伤感的；多愁善感的；感情用事的；寓有情感的
shabby,adj. 破旧的；卑鄙的；吝啬的；低劣的
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
shaft,"n. 拍杆； 轴；箭杆；杆状物
vt. 利用；在……上装杆"
sharpen,"vt. 削尖；磨快；使敏捷；加重
vi. 尖锐；变锋利"
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
shepherd,"n. 牧羊人；牧师；指导者
vt. 牧羊；带领；指导；看管"
shipment,n. 装货；装载的货物
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
shrewd,"n. 精明（的人）；机灵（的人）
adj. 精明的；狡猾的；机灵的"
shrug,"n. 耸肩
vi. 耸肩
vt. 耸肩，耸肩表示"
shutter,"n. 快门；百叶窗；关闭物；遮板
vt. 为…装百叶窗；以百叶窗遮闭"
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
sin,"n. 罪恶；罪孽；过失
vt. 犯罪
vi. 犯罪；犯过失"
skeleton,"n. 骨架，骨骼；纲要；骨瘦如柴的人
adj. 骨骼的；骨瘦如柴的；概略的"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
skyscraper,n. 摩天楼，超高层大楼；特别高的东西
slack,"n. 煤末；峡谷
adj. 松弛的；疏忽的；不流畅的
vt. 放松；使缓慢
adv. 马虎地；缓慢地
vi. 松懈；减弱"
slap,"n. 掴；侮辱；掌击；拍打声
vt. 拍击；侮辱；掌击；掴…的耳光
vi. 掴；拍击
adv. 直接地；猛然地；恰好"
slaughter,"n. 屠宰，屠杀；杀戮；消灭
vt. 屠宰，屠杀；杀戮；使惨败"
sleeve,"n.  套筒， 套管；袖子， 袖套
vt. 给……装袖子；给……装套筒"
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
slogan,n. 标语；呐喊声
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
slum,"n. 贫民窟；陋巷；脏乱的地方
vi. （为猎奇或救济等）去贫民窟"
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
smuggle,"vt. 走私；偷运
vi. 走私，私运；偷带"
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
snatch,"n. 抢夺；抓举；小量
vt. 夺得；抽空做；及时救助
vi. 抢走；很快接受"
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
sober,"adj. 冷静的，清醒的；未醉的
vt. 使严肃；使醒酒，使清醒"
solidarity,n. 团结，团结一致
solidify,"vt. 团结；凝固
vi. 团结；凝固"
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
solution,n. 解决方案；溶液；溶解；解答
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
spacious,adj. 宽敞的，广阔的；无边无际的
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
spatial,adj. 空间的；存在于空间的；受空间条件限制的
speciality,n. 专业，专长；特性
species,"n.  物种；种类
adj. 物种上的"
specification,n. 规格；说明书；详述
specify,vt. 指定；详细说明；列举；把…列入说明书
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
spectacular,adj. 壮观的，惊人的；公开展示的
spectator,n. 观众；旁观者
spectrum,n. 光谱；频谱；范围；余象
speculate,"vi. 推测；投机；思索
vt. 推断"
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
spokesman,n. 发言人；代言人
sponge,"n. 海绵；海绵状物
vt. 抹掉；用海绵擦拭；讨得
vi. 采集海绵；过寄生生活；海绵般地吸收"
spontaneous,adj. 自发的；自然的；无意识的
spouse,"n. 配偶
vt. 和…结婚"
spy,"n. 间谍；密探
vt. 侦察；发现；暗中监视
vi. 侦察；当间谍"
stabilize,"vt. 使稳固，使安定
vi. 稳定，安定"
stainless,adj. 不锈的；纯洁的，未被玷污的；无瑕疵的
staircase,n. 楼梯
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
standardize,vt. 使标准化；用标准检验
standpoint,n. 立场；观点
startle,"n. 惊愕；惊恐
vt. 使吓一跳；使惊奇
vi. 惊吓；惊跳；惊奇"
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
stationery,n. 文具；信纸
statistics,n. 统计；统计学； 统计资料
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理"
stimulus,n. 刺激；激励；刺激物
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
stitch,"n. 针脚，线迹；一针
vt. 缝，缝合
vi. 缝，缝合"
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
streamlined,"v. 使成流线型；使合理化（streamline的过去式和过去分词）
adj. 流线型的；改进的；最新型的"
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
strive,vi. 努力；奋斗；抗争
stubborn,adj. 顽固的；顽强的；难处理的
studio,n. 工作室； 演播室；画室；电影制片厂
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
sturdy,"n. 羊晕倒病
adj. 坚定的；强健的；健全的"
subjective,adj. 主观的；个人的；自觉的
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
subsidiary,"n. 子公司；辅助者
adj. 附属的；辅助的"
subsidize,vt. 资助；给与奖助金；向…行贿
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
suburb,n. 郊区；边缘
sue,"vt. 控告；请求
vi. 控告；提出请求"
suffice,"vt. 使满足；足够…用；合格
vi. 足够；有能力"
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
suitcase,n.  手提箱；衣箱
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
summon,vt. 召唤；召集；鼓起；振作
superb,adj. 极好的；华丽的；宏伟的
superiority,n. 优越，优势；优越性
supersonic,"n. 超音速；超声波
adj. 超音速的；超声波的"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
suppress,vt. 抑制；镇压；废止
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
surpass,vt. 超越；胜过，优于；非…所能办到或理解
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
suspicious,adj. 可疑的；怀疑的；多疑的
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
swarm,"n. 蜂群；一大群
vi. 挤满；成群浮游；云集
vt. 挤满；爬"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
symmetry,n. 对称（性）；整齐，匀称
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
symphony,n. 交响乐；谐声，和声
symposium,n. 讨论会，座谈会；专题论文集；酒宴，宴会
symptom,n.  症状；征兆
synchronize,"vt. 使……合拍；使……同步
vi. 同步；同时发生"
synthesis,n. 综合， 合成；综合体
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
tangle,"n. 纠纷；混乱状态
vt. 使纠缠；处于混乱状态
vi. 缠结；乱作一团"
tar,"n. 焦油；柏油；水手
vt. 涂以焦油；玷污"
tariff,"n. 关税表；收费表
vt. 定税率；征收关税"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
temperament,n. 气质，性情，性格；急躁
tempo,n. 速度，发展速度；拍子
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
tendency,n. 倾向，趋势；癖好
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
terrace,"n. 平台；梯田；阳台
adj. （女服）叠层式的
vt. 使成梯田，使成阶地；使有平台屋顶
vi. 成阶地；成梯田；筑成坛"
terrain,n.  地形，地势；领域；地带
terrific,adj. 极好的；极其的，非常的；可怕的
terrify,vt. 恐吓；使恐怖；使害怕
testify,"vi. 作证；证明
vt. 证明，证实；作证"
testimony,n.  证词，证言；证据
textile,"n. 纺织品，织物
adj. 纺织的"
texture,n. 质地；纹理；结构；本质，实质
theft,n. 盗窃；偷；赃物
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
therapy,n. 治疗，疗法
thesis,n. 论文；论点
thorn,n. 刺； 荆棘
threshold,n. 入口；门槛；开始；极限；临界值
thrifty,adj. 节约的；茂盛的；成功的
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
throne,"n. 王座；君主；王权
vt. 使登王位
vi. 登上王座"
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
tile,"n. 瓷砖，瓦片
vt. 铺以瓦；铺以瓷砖"
tilt,"n. 倾斜
vt. 使倾斜；使翘起
vi. 倾斜；翘起；以言词或文字抨击"
timber,n. 木材；木料
timely,"adj. 及时的；适时的
adv. 及时地；早"
timid,adj. 胆小的；羞怯的
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
tow,"n. 拖；麻的粗纤维；拖曳所用之绳
vt. 拖；牵引；曳
vi. 被拖带；拖行"
tract,n. 束；大片土地，地带；小册子
trademark,"n. 商标
标志"
tragic,adj. 悲剧的；悲痛的，不幸的
trait,n. 特性，特点；品质；少许
transaction,n. 交易；事务；办理；会报，学报
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
transition,n. 过渡；转变； 转换；变调
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
traverse,"n. 穿过；横贯；横木
vt. 穿过；反对；详细研究；在…来回移动
vi. 横越；旋转；来回移动
adj. 横贯的"
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害"
tribe,n. 部落；族；宗族；一伙
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
trifle,"n. 琐事；蛋糕；少量
vt. 浪费；虚度
vi. 开玩笑；闲混；嘲弄"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
trivial,adj. 不重要的，琐碎的；琐细的
tuck,"n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
vt. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏
vi. 缝褶裥；缩拢；舒服地裹在里面；大口吃"
tug,"n. 拖船；拖曳；苦干
vt. 用力拉；较量；用拖船拖
vi. 用力拉；竞争；努力做"
tuition,n. 学费；讲授
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
turnover,"n. 翻覆； 营业额；流通量；半圆卷饼；失误
adj. 翻过来的；可翻转的"
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
twinkle,"n. 闪烁
vt. 使闪耀；闪耀
vi. 闪烁；发亮"
ultraviolet,"adj. 紫外的；紫外线的
n. 紫外线辐射，紫外光"
unanimous,adj. 全体一致的；意见一致的；无异议的
uncover,"vt. 发现；揭开；揭露
vi. 发现；揭示；揭去盖子"
underestimate,"n. 低估
vt. 低估；看轻"
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
undermine,vt. 破坏，渐渐破坏；挖掘地基
unemployment,n. 失业；失业率；失业人数
unfold,"vi. 展开；显露
vt. 打开；呈现"
unify,vt. 统一；使相同，使一致
untie,"vt. 解开；解决；使自由
vi. 解开；松开"
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
uphold,vt. 支撑；鼓励；赞成；举起
vapor,"n. 蒸汽；烟雾
vt. 使……蒸发；使……汽化
vi. 蒸发；吹牛；沮丧"
vegetarian,"n. 素食者；食草动物
adj. 素食的"
vegetation,n. 植被；植物，草木；呆板单调的生活
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
vein,"n. 血管；叶脉； 岩脉；纹理；翅脉；性情
vt. 使成脉络；象脉络般分布于"
vent,"n. （感情的）发泄；出口；通风孔
vt. 发泄感情；放出…；给…开孔
vi. 放出；（通过排泄等）减轻压力"
ventilate,vt. 使通风；给…装通风设备；宣布
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
verdict,n. 结论；裁定
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
