the,"art. 这；那
adv. 更加（用于比较级，最高级前）"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
highly,adv. 高度地；非常；非常赞许地
solution,n. 解决方案；溶液；溶解；解答
hate,"n. 憎恨；反感
vt. 憎恨；厌恶；遗憾
vi. 仇恨"
destroy,vt. 破坏；消灭；毁坏
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
treatment,n. 治疗，疗法；处理；对待
crazy,adj. 疯狂的；狂热的，着迷的
grocery,"n. 食品杂货店
食品杂货"
commitment,n. 承诺，保证；委托；承担义务；献身
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
onto,"prep. 在…之上；对…了解；映射到…上
adj. 映射的；自身的；映成的"
gradually,adv. 逐步地；渐渐地
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
monument,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑"
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
analyse,vt. 分析；分解；细察
entertainment,n. 娱乐；消遣；款待
frequently,adv. 频繁地，经常地；时常，屡次
knee,"n. 膝盖，膝
vt. 用膝盖碰"
exactly,adv. 恰好地；正是；精确地；正确地
Olympic,adj. 奥林匹斯山的，奥林匹亚的；奥林匹克的
directly,"conj. 一…就
adv. 直接地；立即；马上；正好地；坦率地"
seriously,adv. 认真地；严重地，严肃地
salary,"n. 薪水
vt. 给...加薪；给...薪水"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
unlike,"prep. 和…不同，不像
adj. 不同的，不相似的"
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
terrible,"adj. 可怕的；很糟的；令人讨厌的
adv. 很，非常"
pollute,vt. 污染；玷污；败坏
glass,"n. 玻璃；玻璃制品；镜子
vt. 反映；给某物加玻璃
vi. 成玻璃状"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
aspect,n. 方面；方向；形势；外貌
joke,"n. 玩笑，笑话；笑柄
vt. 开…的玩笑
vi. 开玩笑"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
discussion,n. 讨论，议论
floor,"n. 地板，地面；楼层；基底；议员席
vt. 铺地板；打倒，击倒；（被困难）难倒"
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
pet,"n. 宠物；生气；受宠爱的人
adj. 宠爱的
vt. 宠爱
vi. 生气；爱抚"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
mum,"adj. 沉默的
n. 妈妈（口语）；沉默；菊花
vi. 演哑剧
int. 别说话"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
sing,"n. 演唱；鸣声；呼啸声
vt. 唱；用诗赞颂；唱着使
vi. 唱歌；歌颂；鸣叫；呼号"
appointment,n. 任命；约定；任命的职位
seldom,adv. 很少，不常
friendship,n. 友谊；友爱；友善
pretty,"n. 有吸引力的事物（尤指饰品）；漂亮的人
adj. 漂亮的；可爱的；优美的
adv. 相当地；颇"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
piano,n. 钢琴
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
illness,n. 病；疾病
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
hungry,adj. 饥饿的；渴望的；荒年的；不毛的
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
rely,vi. 依靠；信赖
musical,"adj. 音乐的；悦耳的
n. 音乐片"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
registration,n. 登记；注册；挂号
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
unnecessary,adj. 不必要的；多余的，无用的
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
maker,n. 制造者；造物主；出期票人
fully,adv. 充分地；完全地；彻底地
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
technological,adj. 技术的；工艺的
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
reactor,n.  反应器； 反应堆；起反应的人
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
house-warming,n. 庆祝迁居的喜宴，乔迁喜宴
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
disapprove,"vi. 不赞成；不喜欢
vt. 不赞成；不同意"
employer,n. 雇主，老板
rapidly,adv. 迅速地；很快地；立即
berry,"n. 浆果（葡萄，番茄等）
vi. 采集浆果"
comparison,n. 比较；对照；比喻；比较关系
response,n. 响应；反应；回答
instance,"n. 实例；情况；建议
vt. 举...为例"
workshop,n. 车间；研讨会；工场；讲习班
journal,n. 日报，杂志；日记；分类账
creation,n. 创造，创作；创作物，产物
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
bookstore,n. 书店（等于bookshop）
widely,adv. 广泛地
biologist,n. 生物学家
obviously,"adv. 明显地
显然地"
generate,vt. 使形成；发生；生殖；产生物理反应
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
motivate,vt. 刺激；使有动机；激发…的积极性
employment,n. 使用；职业；雇用
workout,n. 锻炼；练习；试验
trainee,n. 练习生，实习生；受训者；新兵；训练中的动物
keeper,n. 监护人；饲养员；看守人；管理人
plaza,n. 广场；市场，购物中心
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
amazed,"v. 使…吃惊；把…弄糊涂（amaze的过去分词）
adj. 惊奇的，吃惊的"
embarrassed,"v. 使...困窘；使...局促不安（embarrass的过去分词形式）
adj. 尴尬的；窘迫的"
footstep,n. 脚步；脚步声；足迹
belief,n. 相信，信赖；信仰；教义
borrow,"vt. 借；借用
vi. 借；借用；从其他语言中引入"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
citizen,n. 公民；市民；老百姓
baseball,n. 棒球；棒球运动
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
achievement,n. 成就；完成；达到；成绩
silent,"n. 无声电影
adj. 沉默的；寂静的；无记载的"
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
luck,"n. 运气；幸运；带来好运的东西
vi. 靠运气，走运；凑巧碰上"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
knock,"vi. 敲；打；敲击
vt. 敲；打；敲击；批评
n. 敲；敲打；爆震声"
conclusion,n. 结论；结局；推论
sunshine,n. 阳光；愉快；晴天；快活
wet,"n. 雨天；湿气
adj.  潮湿的；有雨的
vt. 弄湿
vi. 变湿"
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
railway,"n. （英）铁路；轨道；铁道部门
vi. 乘火车旅行"
nobody,"pron. 无人，没有人；没有任何人
n. 无名小卒；小人物"
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
pop,abbr. 卖点广告（Point of Purchase）
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
consequence,n. 结果；重要性；推论
sunny,adj. 阳光充足的，和煦的；快活的；性情开朗的
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
explanation,n. 说明，解释；辩解
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
guidance,n. 指导，引导；领导
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
black,"n. 黑色；黑人；黑颜料
adj. 黑色的；黑人的；邪恶的
vt. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
vi. 变黑"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
corn,"n. （美）玉米；（英）谷物； 鸡眼
vt. 腌；使成颗粒"
marathon,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑"
salt,"n. 盐；风趣，刺激性
adj. 咸水的；含盐的，咸味的；盐腌的；猥亵的
vt. 用盐腌；给…加盐；将盐撒在道路上使冰或雪融化"
timetable,n. 时间表；时刻表；课程表
rice,"n. 稻；米饭
vt. 把…捣成米糊状"
dare,"n. 挑战；挑动
vt. 敢冒；不惧
vi. 敢；胆敢"
pleased,"adj. 高兴的；喜欢的；乐意做某事
v. 满意；愿意（please的过去分词形式）"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
banana,n. 香蕉；喜剧演员；大鹰钩鼻
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
rainy,adj. 下雨的；多雨的
awake,"adj. 醒着的
vt. 唤醒；使觉醒；激起，唤起
vi. 觉醒，意识到；醒来；被唤起"
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
penny,n. （美）分；便士
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
Christmas,n. 圣诞节；圣诞节期间
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
consumption,n. 消费；消耗；肺痨
leg,n. 腿；支柱
overcome,"vt. 克服；胜过
vi. 克服；得胜"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
platform,n. 平台；月台，站台；坛；讲台
waiter,n. 服务员，侍者
painter,n. 画家；油漆匠
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
slowly,adv. 缓慢地，慢慢地
valley,n. 山谷；流域；溪谷
chemistry,n. 化学；化学过程
vain,adj. 徒劳的；自负的；无结果的；无用的
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
container,n. 集装箱；容器
unfortunately,adv. 不幸地
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
predator,n.  捕食者； 食肉动物；掠夺者
instructor,n. 指导书；教员；指导者
clearly,adv. 清晰地；明显地；无疑地；明净地
misunderstand,vt. 误解；误会
evolution,n. 演变；进化论；进展
additional,adj. 附加的，额外的
reflection,n. 反射；沉思；映象
ambiguous,adj. 模糊不清的；引起歧义的
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
whichever,"adj. 无论哪个；无论哪些
pron. 任何一个；无论哪个"
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
meat,n. 肉，肉类（食用）
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
category,n. 种类，分类； 范畴
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
sky,"n. 天空；顶点
vt. 把…投向空中；把…挂得过高
vi. 踢或击高空球；把桨叶翘得过高；飞涨"
amuse,vt. 娱乐；消遣；使发笑；使愉快
harmful,adj. 有害的；能造成损害的
soft,"n. 柔性；柔软的东西；柔软部分
adj. 软的，柔软的；温柔的，温和的；软弱的；笨的
adv. 柔软地；温和地"
newly,adv. 最近；重新；以新的方式
tooth,"n. 牙齿
vt. 给……装齿
vi. 啮合"
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
officer,"n. 军官，警官；公务员，政府官员；船长
vt. 指挥"
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
none,"pron. 没有人；一个也没有；没有任何东西
adj. 没有的，一点没有的
adv. 决不，一点也不"
electronic,"adj. 电子的
n. 电子电路；电子器件"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
loud,"adj. 大声的，高声的；不断的；喧吵的
adv. 大声地，高声地，响亮地"
careful,adj. 仔细的，小心的
destination,n. 目的地，终点
danger,n. 危险；危险物，威胁
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
pole,
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
favourite,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
asleep,"adj. 睡着的；麻木的；长眠的
adv. 熟睡地；进入睡眠状态"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
agency,n. 代理，中介；代理处，经销处
zone,  地带、地区（德语）
orange,"adj. 橙色的；橘色的
n. 橙；橙色；桔子"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
double,"n. 两倍；双精度型
adj. 双重的；两倍的
vt. 使加倍
adv. 双重地；两倍地；弓身地
vi. 加倍，加倍努力；快步走"
sunlight,n. 日光
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
properly,adv. 适当地；正确地；恰当地
atmosphere,n. 气氛；大气；空气
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
everywhere,"n. 每个地方
adv. 到处"
merely,adv. 仅仅，只不过；只是
unwise,adj. 不明智的；愚蠢的；轻率的
construct,"n. 构想，概念
vt. 建造，构造；创立"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
delicious,adj. 美味的；可口的
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
recipe,n. 食谱； 处方；秘诀；烹饪法
everybody,pron. 每个人；人人
grammar,n. 语法；语法书
tent,"n. 帐篷；住处；帷幕
vt. 用帐篷遮盖；使在帐篷里住宿
vi. 住帐蓬；暂时居住"
beneficial,adj. 有益的，有利的；可享利益的
instrument,n. 仪器；工具；乐器；手段；器械
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
residence,n. 住宅，住处；居住
mouse,"n. 鼠标；老鼠；胆小羞怯的人
vt. 探出
vi. 捕鼠；窥探"
ton,n. 吨；很多，大量
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
maintain,vt. 维持；继续；维修；主张；供养
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
T-shirt,n. 短袖圆领汗衫
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
librarian,n. 图书馆员；图书管理员
emotional,adj. 情绪的；易激动的；感动人的
exam,n. 考试；测验
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
southern,"n. 南方人
adj. 南的；南方的"
income,n. 收入，收益；所得
highway,n. 公路，大路；捷径
totally,adv. 完全地
lend,"vt. 贷；增添，提供；把……借给
vi. 贷款"
unwilling,adj. 不愿意的；不情愿的；勉强的
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
error,n. 误差；错误；过失
glad,"adj. 高兴的；乐意的；令人高兴的；灿烂美丽的
vt. 使高兴"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
inspiration,n. 灵感；鼓舞；吸气；妙计
rail,"n. 铁轨；扶手；横杆；围栏
vt. 铺铁轨；以横木围栏
vi. 抱怨；责骂"
version,n. 版本；译文；倒转术
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
desktop,n. 桌面；台式机
injury,n. 伤害，损害；受伤处
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
deeply,adv. 深刻地；浓浓地；在深处
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
apparently,adv. 显然地；似乎，表面上
deserve,"vi. 应受，应得
vt. 应受，应得"
metre,n. 米；公尺；韵律
freezing,adj. 冰冻的；严寒的；冷冻用的
afford,vt. 给予，提供；买得起
reservation,n. 预约，预订；保留
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
presentation,n. 展示；描述，陈述；介绍；赠送
district,n. 区域；地方；行政区
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
bathroom,n. 浴室；厕所；盥洗室
permission,n. 允许，许可
shelf,n. 架子；搁板；搁板状物；暗礁
overnight,"adv. 通宵；突然；昨晚
adj. 晚上的；通宵的；前夜的
n. 头天晚上；一夜的逗留
vt. 连夜快递
vi. 过一夜"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
authority,n. 权威；权力；当局
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
king,"n. 国王；最有势力者；王棋
vi. 统治；做国王
vt. 立…为王
adj. 主要的，最重要的，最大的"
tonight,"n. 今晚
adv. 在今晚"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
dentist,"n. 牙科医生
牙医诊所"
painful,adj. 痛苦的；疼痛的；令人不快的
cautious,adj. 谨慎的；十分小心的
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
strict,adj. 严格的；绝对的；精确的；详细的
forever,adv. 永远；不断地；常常
hurry,"n. 匆忙，急忙
v. 仓促（做某事）；催促；（朝某方向）迅速移动；迅速处理"
gas,"n. 气体； 瓦斯；汽油；毒气
vt. 加油；毒（死）
vi. 加油；放出气体；空谈"
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
plenty,"n. 丰富，大量；充足
adj. 足够的，很多的
adv. 足够"
plate,"n. 碟；金属板；金属牌；感光底片
vt. 电镀；给…装甲"
helpful,adj. 有帮助的；有益的
lock,"vt. 锁，锁上；隐藏
vi. 锁；锁住；卡住
n. 锁；水闸；刹车"
expectation,n. 期待；预期；指望
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
wine,"n. 酒，葡萄酒；紫红色
vt. 请…喝酒
vi. 喝酒"
percentage,n. 百分比；百分率，百分数
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
shake,"n. 摇动；哆嗦
vt. 动摇；摇动；震动；握手
vi. 动摇；摇动；发抖"
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
suggestion,n. 建议；示意；微量，细微的迹象
entire,adj. 全部的，整个的；全体的
dessert,n. 餐后甜点；甜点心
furniture,n. 家具；设备；储藏物
cake,"n. 蛋糕；块状物；利益总额
vt. 使结块
vi. 结成块状"
ring,"n. 戒指；铃声，钟声；拳击场；环形物
vi. 按铃；敲钟；回响；成环形
vt. 按铃；包围；敲钟；套住"
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
creature,n. 动物，生物；人；创造物
alive,adj. 活着的；活泼的；有生气的
mouth,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话"
wildlife,"n. 野生动植物
adj. 野生动植物的"
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
practical,adj. 实际的；实用性的
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
precious,adj. 宝贵的；珍贵的；矫揉造作的
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
educate,"vt. 教育；培养；训练
vi. 教育；训练"
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
nutrition,n. 营养，营养学；营养品
nod,"n. 点头；打盹；摆动
vt. 点头；点头表示
vi. 点头；打盹；摆动"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
thick,"n. 最拥挤部分；活动最多部分；事物的粗大浓密部分
adj. 厚的；浓的；粗大的
adv. 密集地；浓浓地，厚厚地"
greet,vt. 欢迎，迎接；致敬，致意；映入眼帘
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
eager,adj. 渴望的；热切的；热心的
faith,n. 信仰；信念；信任；忠实
jam,"n. 果酱；拥挤；困境；扣篮
vt. 使堵塞；挤进，使塞满；混杂；压碎
vi. 堵塞；轧住"
chess,n. 国际象棋，西洋棋
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
actual,adj. 真实的，实际的；现行的，目前的
patience,n. 耐性，耐心；忍耐，容忍
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
recovery,n. 恢复，复原；痊愈；重获
oxygen,n.  氧气， 氧
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
receiver,n. 接收器；接受者；收信机；收款员，接待者
committee,n. 委员会
blind,"n. 掩饰，借口；百叶窗
adj. 盲目的；瞎的
vt. 使失明；使失去理智
adv. 盲目地；看不见地"
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
cream,n. 奶油，乳脂；精华；面霜；乳酪
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
cloudy,adj. 多云的；阴天的；愁容满面的
somebody,"n. 大人物；重要人物
pron. 有人；某人"
