identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
flutist,n. 笛手；横笛吹奏者（等于flautist）
influenza,n.  流行性感冒（简写flu）；家畜流行性感冒
flu,n. 流感
superfluous,adj. 多余的；不必要的；奢侈的
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
flutter,"n. 摆动；鼓翼；烦扰
vt. 拍；使焦急；使飘动
vi. 飘动；鼓翼；烦扰"
flux,"n.  流量；变迁；不稳定；流出
vt. 使熔融；用焊剂处理
vi. 熔化；流出"
influx,n. 流入；汇集；河流的汇集处
fleet,"n. 舰队；港湾；小河
adj. 快速的，敏捷的
vt. 消磨
vi. 飞逝；疾驰；掠过"
fleeting,"adj. 飞逝的；转瞬间的
v. 迅速移动（fleet的ing形式）"
flower,"n. 花；精华；开花植物
vt. 使开花；用花装饰
vi. 成熟，发育；开花；繁荣；旺盛"
floral,adj. 花的；植物的，植物群的；花似的
florid,adj. 绚丽的；气色好的
florist,n. 花商，种花人；花卉研究者
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
human,"n. 人；人类
adj. 人的；人类的"
humane,adj. 仁慈的，人道的；高尚的
humanity,n. 人类；人道；仁慈；人文学科
humanism,"n. 人道主义
adj. 人文主义的；人道主义的"
humanist,"n. 人道主义者；人类学者，人文学者；人文主义者
adj. 人文主义的；人道主义的"
humanitarian,"n. 人道主义者；慈善家；博爱主义者；基督凡人论者
adj. 人道主义的；博爱的；基督凡人论的"
inhumane,adj. 残忍的；无人情味的
inhumanity,n. 不人道，无人性；残暴
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
humiliate,vt. 羞辱；使…丢脸；耻辱
humiliating,"adj. 丢脸的；羞辱性的
v. 使蒙耻（humiliate的ing形式）"
humility,n. 谦卑，谦逊
humus,n. 腐殖质；腐植土
posthumous,adj. 死后的；遗腹的；作者死后出版的
homicide,n. 过失杀人；杀人犯
homage,n. 敬意；尊敬；效忠
lurch,"n. 突然倾斜；蹒跚；挫折
vi. 倾斜；蹒跚
vt. 击败"
nicotine,n.  尼古丁； 烟碱
poplar,n. 白杨；白杨木
rig,"n. 装备；钻探设备；服装； 帆装
vt. 操纵；装配；装扮；装上索具"
sheath,n. 鞘；护套；叶鞘；女子紧身服装
squall,"n. 暴风；麻烦；高声哭喊；尖叫
vt. 尖声叫着；大声哭喊；起风暴
vi. 嚎啕；尖叫"
tawdry,"n. 俗丽的东西；廉价而俗丽之物
adj. 非常华丽的；廉价而俗丽的"
verify,vt. 核实；查证
apoplexy,n.  中风
brood,"n. 一窝；一伙
vt. 孵；沉思"
coronation,n. 加冕礼
divulge,vt. 泄露；暴露
haunch,n. 腰部，腰；臀部
lunge,"n. 刺；跃进；刺进；套马索
vt. 刺；戳；使前冲
vi. 刺；突进"
niche,"n. 壁龛；合适的职业；有利可图的市场(或形势等)
vt. 放入壁龛"
pompous,adj. 自大的；浮夸的；华而不实的；爱炫耀的
rift,"n. 裂缝；不和； 裂口
vt. 使断裂；使分开
vi. 裂开"
shear,"n.  切变；修剪；大剪刀
vi. 剪；剪切；修剪
vt. 剪；修剪；剥夺"
squalid,adj. 肮脏的；污秽的；卑劣的
taut,"adj. 拉紧的；紧张的；整洁的
vt. 使纠缠；使缠结"
verdure,n. 碧绿
apex,n. 顶点；尖端
brooch,n. （女用的）胸针，领针
corollary,n. 推论；必然的结果
dither,"n. 发抖；递色； 高频脉动
vi. 踌躇；发抖；犹豫"
feckless,adj. 无效的；软弱的；没精神的；不负责任的；无气力的
furnace,n. 火炉，熔炉
hatchet,"n. 短柄小斧
vt. 用短柄小斧砍伐；扼杀"
lug,"n. 支托；接线片；耳状物
vt. 用力拉或拖
vi. 用力拉或拖"
nib,"n. 钢笔尖；嘴；鹅管笔的尖端
vt. 装尖头；削尖；插入"
nip,"vt. 夹；捏；剪断；冻伤；阻止
vi. 夹；捏；刺骨；小饮
n. 夹；捏；刺骨；小饮"
nipple,n. 乳头，奶头；奶嘴
nibble,"vi. 细咬；一点一点地咬；吹毛求疵
vt. 细咬；一点一点地咬；吹毛求疵
n. 轻咬；啃；细咬"
ribald,"n. 言谈粗俗的人；说下流话的人
adj. 下流的；言谈粗俗的"
sheaf,"n. 捆；束；扎
vt. 捆；束；扎"
taunt,"n. 嘲弄；讥讽
adj. 很高的
vt. 奚落；逗弄"
veranda,n. 走廊，游廊；阳台
aperture,n. 孔，穴；（照相机，望远镜等的）光圈，孔径；缝隙
broccoli,n. 花椰菜；西兰花
cornet,n. 短号；圆锥形纸袋
faze,vt. 打扰；使狼狈；折磨
furl,"n. 卷起，折叠；卷起之物
vt. 叠，卷收；收拢
vi. 收拢，卷起"
inculcate,vt. 教育；谆谆教诲；教授；反覆灌输
pollen,"n.  花粉
vt. 传授花粉给"
rhinoceros,n.  犀牛
shawl,"n. 围巾，长方形披巾
vt. 用披巾包裹"
squabble,"n. 争吵；口角
vt. 弄乱（排好的铅字）
vi. 发生口角；大声争吵"
ventral,"n. 腹鳍
adj. 腹侧的； 腹部的"
bristle,"n. 猪鬃；刚毛
vi. 发怒；竖起
vt. 使（毛发等）直立"
coop,"n. 鸡笼；小屋；捕鱼篓
vi. 值勤警察在警车里打瞌睡
vt. 把…关进笼子里；限制；拘禁"
dissipated,"adj. 消散的；沉迷于酒色的；闲游浪荡的；放荡的
vt. 消散；浪费（dissipate的过去式）"
fawn,"vi. 奉承
n. 小鹿；浅黄褐色；小动物
adj. 浅黄褐色的
vt. 生（小鹿或小动物）"
fawn,"vi. 奉承
n. 小鹿；浅黄褐色；小动物
adj. 浅黄褐色的
vt. 生（小鹿或小动物）"
funnel,"n. 漏斗；烟囱
vt. 通过漏斗或烟囱等；使成漏斗形
vi. 通过漏斗等；成漏斗形"
hassle,"n. 困难，麻烦；激战
vt. 找麻烦，搅扰；与…争辩；使…烦恼
vi. 争论，争辩"
incipient,adj. 初期的；初始的；起初的；发端的
neon,n. 霓虹灯；氖（10号元素，符号Ne）
polemic,"n. 争论；辩论者
adj. 好争论的"
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
feeble-minded,adj. 低能的；迟钝的（等于feebleminded）
mastermind,"vt. 策划
n. 优秀策划者；才子"
reminiscence,n. 回忆；怀旧；引起联想的相似事物
reminiscent,"n. 回忆录作者；回忆者
adj. 怀旧的，回忆往事的；耽于回想的"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
commentary,n. 评论；注释；评注；说明
commentate,"vt. 评论；解说；注释
vi. 评论时事；实况报道"
commentator,n. 评论员，解说员；实况播音员；时事评论者
demented,"adj. 发狂的，疯狂的；精神错乱的
v. 精神错乱；变得痴呆（dement的过去分词）"
vehement,adj. 激烈的，猛烈的；热烈的
mandarin,"n. （中国）普通话；国语；官话；满清官吏；柑橘
adj. 紧身马褂的"
hotel,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公"
hotelier,n. 旅馆老板
motel,n. 汽车旅馆
hostel,n. 旅社，招待所（尤指青年旅社）
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
hostess,n. 女主人，女老板；女服务员；舞女；女房东
hostage,n. 人质；抵押品
hospital,n. 医院
hospice,n. 收容所；旅客招待所；救济院
hospitalize,vt. 就医；送…进医院治疗
hospitality,n. 好客；殷勤
hospitable,adj. 热情友好的；（环境）舒适的
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
hostility,n. 敌意；战争行动
please,"int. 请（礼貌用语）
vt. 使喜欢；使高兴，使满意
vi. 讨人喜欢；令人高兴"
placid,adj. 平静的；温和的；沉着的
complacency,n. 自满；满足；自鸣得意
complacent,adj. 自满的；得意的；满足的
implacable,adj. 不能安抚的；难和解的；不能缓和的
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
remainder,"n.  余数，残余；剩余物；其余的人
adj. 剩余的；吃剩的
vt. 廉价出售；削价出售
vi. 廉价出售；削价出售"
remnant,"n. 剩余
adj. 剩余的"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
mansion,n. 大厦；宅邸
note,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
vt. 注意；记录；注解"
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
keynote,"n. 基调；主旨；主音
vt. 给…定基调；说明基本政策
vi. 作主旨发言"
notary,n.  公证人
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
noticeable,adj. 显而易见的，显著的；值得注意的
noteworthy,adj. 值得注意的；显著的
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
noted,"adj. 著名的；显著的；附有乐谱的
v. 注意；记下（note的过去式和过去分词）"
notorious,adj. 声名狼藉的，臭名昭著的
notoriety,n. 恶名；声名狼藉；丑名
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
notify,vt. 通告，通知；公布
notification,n. 通知；通告； 告示
note,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
vt. 注意；记录；注解"
connote,vt. 意味着；含言外之意
connotation,n. 内涵；含蓄；暗示，隐含意义；储蓄的东西（词、语等）
denote,vt. 表示，指示
notation,n. 符号；乐谱；注释；记号法
notion,n. 概念；见解；打算
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
slick,"n.  平滑器； 修光工具；通俗杂志
adj. 光滑的；华而不实的；聪明的；熟练的；老套的
adv. 灵活地；聪明地
vt. 使光滑；使漂亮
vi. 打扮整洁"
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
slither,"n. 滑动；滑行
vt. 使滑动
vi. 蜿蜒地滑行"
glide,"vi. 滑翔；滑行；悄悄地走；消逝
vt. 使滑行；使滑动
n. 滑翔；滑行；滑移；滑音"
glider,n.  滑翔机；滑翔员；滑翔导弹
skid,"n. 打滑； 刹车；滑轨，滑动垫木
vt. 刹住，使减速；滚滑
vi. 打滑"
gene,n.  基因，遗传因子
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
engender,"vt. 使产生；造成
vi. 产生；引起"
genetic,adj. 遗传的；基因的；起源的
genius,n. 天才，天赋；精神
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
ingenuity,"n. 心灵手巧，独创性；精巧；精巧的装置
n. 西门子公司将其品牌宣言“Ingenuity for life” 诠释为“博大精深 同心致远”"
congenial,adj. 意气相投的；性格相似的；适意的；一致的
genial,adj. 亲切的，友好的；和蔼的；适宜的
generic,adj. 类的；一般的；属的；非商标的
genuine,adj. 真实的，真正的；诚恳的
genocide,n. 种族灭绝；灭绝整个种族的大屠杀
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
homogeneity,n. 同质；同种；同次性（等于homogeneousness）
homogenize,"vt. 使均匀；使类同
vi. 变均匀"
heterogeneous,adj.  多相的；异种的； 不均匀的；由不同成分形成的
generate,vt. 使形成；发生；生殖；产生物理反应
generation,n. 一代；产生；一代人；生殖
generative,adj. 生殖的；生产的；有生殖力的；有生产力的
generator,n. 发电机；发生器；生产者
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
regenerate,"vt. 使再生；革新
adj. 再生的；革新的
vi. 再生；革新"
regeneration,n.  再生，重生；重建
regenerative,adj. 再生的，更生的；更新的
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
generosity,n. 慷慨，大方；宽宏大量
hydrogen,n.  氢
nitrogen,n.  氮
oxygen,n.  氧气， 氧
genesis,n. 发生；起源
indigenous,adj. 本土的；土著的；国产的；固有的
ingenuous,adj. 天真的；坦白的；正直的；朴实的
congenital,adj. 先天的，天生的；天赋的
benign,adj. 良性的；和蔼的，亲切的；吉利的
malign,"vt. 诽谤，污蔑；中伤，说坏话
adj. 恶意的，恶性的；有害的"
malignant,"adj.  恶性的；有害的；有恶意的
n. 保王党员；怀恶意的人"
malignancy,n. 恶性（肿瘤等）；恶意
pregnant,adj. 怀孕的；富有意义的
pregnancy,n. 怀孕；丰富，多产；意义深长
impregnate,"adj. 充满的；怀孕的
vt. 使怀孕；灌输；浸透"
impregnable,adj. 无法攻取的；不受影响的；要塞坚固的；不可受孕的
doctor,"vt. 修理；篡改，伪造；为…治病；授以博士学位
n. 医生；博士
vi. 就医；行医"
doctorate,n. 博士学位；博士头衔
docile,adj. 温顺的，驯服的；容易教的
doctrine,n. 主义；学说；教义；信条
indoctrinate,vt. 灌输；教导
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
didactic,adj. 说教的；教诲的
dogma,n. 教条，教理；武断的意见
dogmatic,adj. 教条的；武断的
heterodox,adj. 异端的；非正统的
orthodox,"adj. 正统的；传统的；惯常的；东正教的
n. 正统的人；正统的事物"
orthodoxy,n. 正统；正教；正统说法
unorthodox,adj. 非正统的；异端的；异教的
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
paradoxical,adj. 矛盾的；诡论的；似非而是的
alter,"vt. 改变，更改
vi. 改变；修改"
alteration,n. 修改，改变；变更
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
alias,"n. 别名，化名
adv. 别名叫；化名为"
alibi,"n. 不在场证明或辩解；托辞
v. 辩解；找托辞开脱"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
alienate,vt. 使疏远，离间；让与
adulterate,"adj. 通奸的；搀杂的
vt. 掺假"
adultery,n. 通奸，通奸行为
ulterior,adj. 将来的，较远的；在那边的；隐秘不明的
shanghai,
spurious,adj. 假的；伪造的；欺骗的
venison,n. 鹿肉；野味
antics,n. 滑稽动作；古怪姿态
brisk,"adj. 敏锐的，活泼的，轻快的；凛冽的
vt. 使……活泼；使……轻快；使……兴旺
vi. 活跃起来；变得轻快"
convulse,vt. 震撼；使剧烈震动；使抽搐
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
fauna,n. 动物群； 动物区系
funky,adj. 时髦的；畏缩的；恶臭的
hash,"n. 剁碎的食物；混杂，拼凑；重新表述
vt. 搞糟，把…弄乱；切细；推敲"
incinerate,"vt. 焚化；烧成灰
vi. 把……烧成灰；烧弃"
nebulous,adj. 朦胧的；星云的，星云状的
poise,"n. 平衡；姿势；镇静
vi. 平衡；准备好；悬着
vt. 使平衡；保持...姿势"
rhetoric,"n. 修辞，修辞学；华丽的词藻
adj. 花言巧语的"
shamble,"n. 蹒跚；摇晃的脚步
vi. 蹒跚地走；摇晃不稳；摇摇晃晃地走"
sprint,"n. 冲刺；短跑
vt. 全速奔跑
vi. 冲刺，全速跑"
tatters,"n. 破衣服；梭织者；碎片（tatter的复数）
v. 撕碎；把…穿破（tatter的三单形式）"
venereal,adj. 性病的；性交的；由性交传染的
anthem,"n. 赞美诗；圣歌
vt. 唱圣歌庆祝；唱赞歌"
brigade,"n. 旅；大部队；队列
vt. 把…编成旅；把…编成队"
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
disciple,n. 门徒，信徒；弟子
fatuous,adj. 愚笨的；昏庸的；发呆的；自满的
funk,"n. 恐惧；怯懦；恐怖；臭味
vt. 害怕；畏缩；使闻到臭味
vi. 惊恐；畏缩；发出臭味"
funk,"n. 恐惧；怯懦；恐怖；臭味
vt. 害怕；畏缩；使闻到臭味
vi. 惊恐；畏缩；发出臭味"
harry,vt. 折磨；掠夺；骚扰；使苦恼
incest,n. 乱伦；近亲通婚
lotus,n. 莲花（汽车品牌）
navel,n.  肚脐；中央；中心点
poach,"vt. 水煮；偷猎；窃取；把…踏成泥浆
vi. 偷猎；侵犯；剽窃"
revulsion,n. 剧变；厌恶；强烈反感；抽回
sham,"n. 假装；骗子；赝品
adj. 假的；虚假的；假装的
vt. 假装；冒充
vi. 假装；佯装"
sprain,"n. 扭伤
vt. 扭伤"
tartly,adv. 辛辣地；锋利地
vein,"n. 血管；叶脉； 岩脉；纹理；翅脉；性情
vt. 使成脉络；象脉络般分布于"
antelope,n. 羚羊；羚羊皮革
bridle,"n. 缰绳；马勒；系带；约束物
vt. 控制；给装马勒
vi. 昂首表示轻蔑；生气"
dire,adj. 可怕的；悲惨的；极端的
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
funicular,"adj. 索状的；纤维的
n. 索道缆车"
harpoon,"n. 鱼叉
vt. 用鱼叉叉；用鱼叉捕获"
impromptu,"n. 即兴曲；即席演出
adj. 即席的
adv. 即席地"
lop,"vt. 砍伐；剪去树枝
vi. 砍，删；闲荡；下垂
n. 剪下的树枝
adj. 垂下的"
nausea,n. 恶心，晕船；极端的憎恶
reverie,n. 幻想；沉思；幻想曲
shack,"n. 棚屋；小室
vi. 居住"
spout,"n. 喷口；水龙卷；水落管；水柱
vt. 喷出；喷射；滔滔不绝地讲；把…典当掉
vi. 喷出；喷射；滔滔不绝地讲"
tartan,"n. 格子呢（苏格兰）
adj. 格子呢的"
veer,"n. 转向；方向的转变
vt. 使转向；使顺风；使船尾向上风
vi. 转向；改变观点；风向顺时针转；调转船尾向上风"
anomaly,n. 异常；不规则；反常事物
brew,"n. 啤酒；质地
vi. 酿酒；被冲泡；即将发生
vt. 酿造；酝酿"
coniferous,adj. 结球果的；松柏科的
diphthong,n. 双元音；复合元音；元音连字
fastidious,adj. 挑剔的；苛求的，难取悦的；（微生物等）需要复杂营养地
fungus,n. 真菌，霉菌；菌类
impound,vt. 没收；拘留；将…关在圈中
loop,"vi. 打环；翻筋斗
n. 环；圈；弯曲部分；翻筋斗
vt. 使成环；以环连结；使翻筋斗"
naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
plutonium,n.  钚（94号元素）
revamp,"n. 改进；换新鞋面
vt. 修补；翻新；修改"
sever,"vt. 割断，断绝；分开；使分离
vi. 断；裂开；分离"
spore,"n. 孢子
vi. 长孢子"
tart,"n. 果馅饼；妓女
adj. 酸的；锋利的；尖刻的
vt. 打扮"
veal,n. 小牛（等于vealer）；小牛肉
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
marking,"n. 标志；打分；做记号；斑纹
v. 注意；作记号于；给…打分数（mark的ing形式）"
marked,"adj. 显著的；有记号的
v. 表示（mark的过去分词）；作记号；打分数"
remarkable,adj. 卓越的；非凡的；值得注意的
benchmark,"n. 基准；标准检查程序
vt. 用基准问题测试（计算机系统等）"
earmark,"n. 特征；耳上记号
vt. 在耳朵上做记号；标记"
hallmark,"n. 特点；品质证明
vt. 给…盖上品质证明印记；使具有…标志"
pockmark,"n. 麻子；凹坑
vt. 使留下痘疤；使有凹坑"
watermark,"n. 水印；水位标志
vt. 在…上印水印（图案）"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
marginal,adj. 边缘的；临界的；末端的
memory,n. 记忆，记忆力；内存， 存储器；回忆
commemorate,vt. 庆祝，纪念；成为…的纪念
memoir,n. 回忆录；研究报告；自传；实录
memorable,adj. 显著的，难忘的；值得纪念的
memorandum,n. 备忘录；便笺
memo,n. 备忘录
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
memorize,vt. 记住，背熟；记忆
memento,n. 纪念品，引起回忆的东西
remember,"vi. 记得，记起
vt. 记得；牢记；纪念；代…问好"
remembrance,n. 回想，回忆；纪念品；记忆力
pair,"n. 一对，一双，一副
vt. 把…组成一对"
repair,"n. 修理，修补；修补部位
vt. 修理；恢复；补救，纠正
vi. 修理；修复"
repairable,adj. 可修理的；可挽回的；可补偿的
irreparable,adj. 不能挽回的；不能修补的
reparation,n. 赔偿；修理；赔款
impair,vt. 损害；削弱；减少
par,"n. 标准；票面价值；平均数量
adj. 标准的；票面的"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
comparison,n. 比较；对照；比喻；比较关系
comparable,adj. 可比较的；比得上的
incomparable,"n. 盖世无双的人
adj. 无比的；无可匹敌的；不能比较的"
comparative,"n. 比较级；对手
adj. 比较的；相当的"
comparatively,adv. 比较地；相当地
parity,n. 平价；同等；相等；胎次；分娩
disparity,n. 不同；不一致；不等
disparate,"n. 无法相比的东西
adj. 不同的；不相干的；全异的"
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
overshadow,vt. 使失色；使阴暗；遮阴；夺去…的光彩
override,"vt. 推翻；不顾；践踏
n. 代理佣金"
oversight,n. 监督，照管；疏忽
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
overwhelming,"adj. 压倒性的；势不可挡的
v. 压倒；淹没（overwhelm的ing形式）；制服"
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
overweight,"adj. 超重的；过重的
vt. 使负担过重
n. 超重"
overtime,"n.  加班时间；延长时间；加时赛
adj. 超时的；加班的
vt. 使超过时间
adv. 加班地"
side,"n. 方面；侧面；旁边
adj. 旁的，侧的
vt. 同意，支持
vi. 支持；赞助；偏袒"
insider,n. 内部的人，会员；熟悉内情者
lopsided,adj. 不平衡的，倾向一方的
underside,n. 下面；阴暗面
upside,n. 优势，上面
sidelight,n. 侧灯，舷灯；趣闻；侧面射进来的光线
sidewalk,n. 人行道
sideways,"adj. 向侧面的；一旁的
adv. 向侧面地；向一旁"
sidle,"n. 侧走；挨近
vt. 侧身而行；悄悄贴近
vi. 侧身而行；悄悄贴近"
lateral,"adj. 侧面的，横向的
n. 侧部； 边音
vt. 横向传球"
quadrilateral,"n. 四边形
adj. 四边形的"
test,"n. 试验；检验
vt. 试验；测试
vi. 试验；测试"
attest,"vt. 证明；证实；为…作证
vi. 证明；作证"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
contestant,n. 竞争者；争辩者
detest,vt. 厌恶；憎恨
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
Protestant,"n. 新教；新教徒
adj. 新教的；新教徒的"
testament,n.  遗嘱；圣约；确实的证明
testator,n. 立遗嘱者
testify,"vi. 作证；证明
vt. 证明，证实；作证"
testimony,n.  证词，证言；证据
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
irregular,"n. 不规则物；不合规格的产品
adj. 不规则的；无规律的；非正规的；不合法的"
regularity,n. 规则性；整齐；正规；匀称
regulate,vt. 调节，规定；控制；校准；有系统的管理
deregulate,"vt. 解除对……的管制
vi. 解除控制"
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
overrule,vt. 否决；统治；对…施加影响
ruling,"n. 统治，支配；裁定
adj. 统治的；主要的；支配的；流行的，普遍的"
unruly,adj. 不守规矩的；任性的；难驾驭的
regal,adj. 帝王的；王室的；豪华的；庄严的
regency,n. 摄政；摄政统治；摄政权
regent,"n. 摄政王；摄政者；州立大学董事会董事；统治者
adj. 摄政的；统治的"
regime,n. 政权，政体；社会制度；管理体制
regiment,"n. 团；大量
vt. 把…编成团；严格地管制"
region,n. 地区；范围；部位
realm,n. 领域，范围；王国
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
royalist,"n. 保皇主义者；保皇党人
adj. 保皇主义的；保皇党人的"
royalty,n. 皇室；版税；王权；专利税
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
sovereignty,n. 主权；主权国家；君主；独立国
rein,"n. 缰绳；驾驭；统治；支配
vt. 控制；驾驭；勒住
vi. 勒住马"
assert,vt. 维护，坚持；断言；主张；声称
assertion,n. 断言，声明；主张，要求；坚持；认定
assertive,adj. 肯定的；独断的；坚定而自信的
dissertation,n. 论文，专题；学术演讲
exert,vt. 运用，发挥；施以影响
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
full-blown,adj. 成熟的；（花）盛开的；（帆等）张满的
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
bloom,"n. 花；青春；旺盛
vt. 使开花；使茂盛
vi. 开花；茂盛"
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
blade,n. 叶片；刀片，刀锋；剑
consist,vi. 由…组成；在于；符合
consistent,adj. 始终如一的，一致的；坚持的
consistency,n.  一致性；稠度；相容性
inconsistent,adj. 不一致的；前后矛盾的
insist,"vi. 坚持，强调
vt. 坚持，强调"
insistent,adj. 坚持的；迫切的；显著的；引人注目的；紧急的
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
persistence,n. 持续；固执；存留；坚持不懈；毅力
persistent,adj. 固执的，坚持的；持久稳固的
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
irresistible,adj. 不可抵抗的；不能压制的；极为诱人的
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
resistor,n.  电阻器
transistor,n. 晶体管（收音机）
subsist,"vi. 存在；维持生活
vt. 供养"
subsistence,n. 生活；生存；存在
anode,"n. 阳极（电解）
n. 正极（原电池）"
diode,n.  二极管
brash,"n. 骤雨；碎片；胃灼热
adj. 无礼的，傲慢的；仓促的，性急的"
confetti,n. （婚礼、狂欢节中抛撒的）五彩纸屑；（旧时狂欢节或庆祝场合抛撒的）糖果
farce,n. 闹剧；胡闹；笑剧
fumble,"n. 摸索；笨拙的处理；漏球
vi. 摸索；笨拙地行动；漏球
vt. 摸索；笨拙地做；漏接"
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
implore,"vt. 恳求或乞求
vi. 恳求或乞求"
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
plush,"adj. 豪华的；长毛绒做的；舒服的
n. 长毛绒"
retina,n.  视网膜
serum,n. 血清；浆液；免疫血清；乳清；树液
sporadic,adj. 零星的；分散的；不定时发生的
tarry,"n. 逗留
adj. 涂了焦油的
vt. 等待
vi. 等候；逗留；耽搁"
vat,
annul,vt. 取消；废除；宣告无效
braille,"n. 布莱叶（法国盲人教育家）；盲人用点字法
vt. 用盲字印"
condom,n. 避孕套；阴茎套
